@RELATION C0001459_C0004374

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20518490,"Energetic effects of magnesium in the recognition of adenosine nucleotides by the F(1)-ATPase beta subunit.Nucleotide-induced conformational changes of the catalytic beta subunits play a crucial role in the rotary mechanism of F(1)-ATPase. To gain insights into the energetic bases that govern the recognition of nucleotides by the isolated beta subunit from thermophilic Bacillus PS3 (Tbeta), the binding of this monomer to Mg(II)-free and Mg(II)-bound adenosine nucleotides was characterized using high-precision isothermal titration calorimetry. The interactions of Mg(II) with free ATP or <e>ADP</e> were also measured calorimetrically. A model that considers simultaneously the interactions of Tbeta with Mg.ATP or with ATP and in which ATP is able to bind two Mg(II) atoms sequentially was used to determine the formation parameters of the Tbeta-Mg.ATP complex from calorimetric data. This analysis yielded significantly different DeltaH(b) and DeltaS(b) values in relation to those obtained using a single-binding site model, while DeltaG(b) was almost unchanged. Published calorimetric data for the titration of Tbeta with Mg.ADP [Perez-Hernandez, G., et al. (2002) Arch. Biochem. Biophys. 408, 177-183] were reanalyzed with the ternary model to determine the corresponding true binding parameters. Interactions of Tbeta with Mg.ATP, ATP, Mg.ADP, or ADP were enthalpically driven. Larger differences in thermodynamic properties were observed between Tbeta-Mg.ATP and Tbeta-ATP complexes than between Tbeta-Mg.ADP and Tbeta-ADP complexes or between Tbeta-Mg.ATP and Tbeta-Mg.ADP complexes. These binding data, in conjunction with those for the association of Mg(II) with free nucleotides, allowed for a determination of the energetic effects of the metal ion on the recognition of adenosine nucleotides by Tbeta [i.e., Tbeta.AT(D)P + Mg(II) right harpoon over left harpoon Tbeta.AT(D)P-Mg]. Because of a more favorable binding enthalpy, Mg(II) is recognized more avidly by the Tbeta.ATP complex, indicating better stereochemical complementarity than in the Tbeta.ADP complex. Furthermore, a structural-energetic analysis suggests that Tbeta adopts a more closed conformation when it is bound to Mg.ATP than to ATP or Mg.ADP, in agreement with recently published NMR data [Yagi, H., et al. (2009) J. Biol. Chem. 284, 2374-2382]. Using published binding data, a similar analysis of Mg(II) energetic effects was performed for the free energy change of F(1) catalytic sites, in the framework of bi- or tri-site binding models.",M1
20457838,"Effect of purinergic receptor activation on Na+-K+ pump activity, excitability, and function in depolarized skeletal muscle.Activity-induced elevation of extracellular purines and pyrimidines has been associated with autocrine and paracrine signaling in many tissues. Here we investigate the effect of purinergic signaling for the excitability and contractility of depolarized skeletal muscle. Muscle excitability was experimentally depressed by elevating the extracellular K(+) from 4 to 10 mM, which reduced the tetanic force to 24 +/- 2% of the force at 4 mM K(+). Upon addition of 1 mM ATP, however, the force recovered to 65 +/- 8% of the control force (P &lt; 0.001, n = 5). A similar recovery was seen with <e>ADP</e>, but not with UTP or adenosine. The ATP-induced force recovery could be inhibited by P2Y(1) receptor antagonists (3 muM SCH-202676 or 1 muM MRS-2500). A fourfold increase in M-wave area demonstrated that the ATP-induced force recovery was associated with restoration of muscle excitability (P &lt; 0.05, n = 4). Experiments using (86)Rb(+) as a tracer for K(+) showed that ATP also induced a twofold increase in the activity of muscle Na(+)-K(+) pumps. The force recovery and the stimulation of the Na(+)-K(+) pump activity by ATP were inhibited by 50 muM of the phospholipase C inhibitor U-73122. It is concluded that purinergic signaling can increase the Na(+)-K(+) pump activity and improve force and excitability of depolarized skeletal muscles. This novel purinergic regulation may be important for the maintenance of muscle excitability during intense exercise, where the extracellular K(+) can increase substantially.",M1
20452885,"Whole blood coagulation and platelet activation in the athlete: a comparison of marathon, triathlon and long distance cycling.INTRODUCTION: Serious thrombembolic events occur in otherwise healthy marathon athletes during competition. We tested the hypothesis that during heavy endurance sports coagulation and platelets are activated depending on the type of endurance sport with respect to its running fraction. MATERIALS AND METHODS: 68 healthy athletes participating in marathon (MAR, running 42 km, n = 24), triathlon (TRI, swimming 2.5 km + cycling 90 km + running 21 km, n = 22), and long distance cycling (CYC, 151 km, n = 22) were included in the study. Blood samples were taken before and immediately after completion of competition to perform rotational thrombelastometry. We assessed coagulation time (CT), maximum clot firmness (MCF) after intrinsically activation and fibrin polymerization (FIBTEM). Furthermore, platelet aggregation was tested after activation with <e>ADP</e> and thrombin activating peptide 6 (TRAP) by using multiple platelet function analyzer. RESULTS: Complete data sets were obtained in 58 athletes (MAR: n = 20, TRI: n = 19, CYC: n = 19). CT significantly decreased in all groups (MAR -9.9%, TRI -8.3%, CYC -7.4%) without differences between groups. In parallel, MCF (MAR +7.4%, TRI +6.1%, CYC +8.3%) and fibrin polymerization (MAR +14.7%, TRI +6.1%, CYC +8.3%) were significantly increased in all groups. However, platelets were only activated during MAR and TRI as indicated by increased AUC during TRAP-activation (MAR +15.8%) and increased AUC during ADP-activation in MAR (+50.3%) and TRI (+57.5%). DISCUSSION: While coagulation is activated during physical activity irrespective of type we observed significant platelet activation only during marathon and to a lesser extent during triathlon. We speculate that prolonged running may increase platelet activity, possibly, due to mechanical alteration. Thus, particularly prolonged running may increase the risk of thrombembolic incidents in running athletes.",M1
20450882,"Structural changes associated with the acute thermal instability of Rubisco activase.Inhibition of photosynthesis by heat has been linked to the instability of the ribulose-1,5-bisphosphate carboxylase/oxygenase (Rubisco) chaperone, Rubisco activase. Examination of the recombinant enzyme showed that <e>ADP</e> and ATP protected against inactivation, whereas Mg(2+) promoted inactivation. Heating caused aggregation of Rubisco activase characterized by disruption of secondary structure content and formation of insoluble protein. In contrast, incubation at room temperature without nucleotide caused the active approximately 660 kDa protein to form a soluble, but inactive aggregate of &gt; 2 x 10(6) Da. Circular dichroism (CD) spectroscopy and fluorescence established that structural perturbations in the aggregate did not reduce alpha-helical content significantly. Differences in the thermal stability between wild type and mutant Rubisco activase were observed for the recombinant proteins and when the proteins were expressed in transgenic Arabidopsis. That the sensitivity of these plants to heat differs indicates that the thermal instability of Rubisco activase is a main determinant of the temperature-sensitivity of photosynthesis.",M1
20442322,"Acute elevation of plasma lipids does not affect ATP synthesis in human skeletal muscle.Prolonged elevation of plasma triglycerides and free fatty acids (FFA) reduces insulin-stimulated glucose disposal and myocellular flux through ATP synthase (fATPase). However, the early effects of lipids per se on fATPase are as yet unclear. Thus, this study examined glucose disposal and fATPase during 3 h of FFA elevation in the presence of low plasma insulinemia. Euglycemic pancreatic clamps with low-dose insulin supplementation (6 mU.m body surface area(-2).min(-1)) were performed in eight healthy men with (LIP) or without (CON) lipid infusion to measure whole body glucose disposal. (31)P/(1)H magnetic resonance spectroscopy of calf muscle was applied to quantify fATPase and concentrations of glucose 6-phosphate (G6P), inorganic phosphate (P(i)), phosphocreatine (PCr), <e>ADP</e>, pH, and IMCL before and during the clamps. Lipid infusion increased plasma FFA approximately twofold and decreased glucose disposal by approximately 50% (110-180 min: LIP 0.87 +/- 0.45 vs. CON 1.75 +/- 0.42 mg.kg(-1).min(-1), P = 0.002; means +/- SD). Intramyocellular G6P tended to rise only under control conditions, whereas PCr, ADP, pH, and IMCL remained unchanged from fasting in LIP and CON. Although P(i) concentrations increased by approximately 18%, fATPase remained unchanged from fasting during the clamps (LIP 10.2 +/- 2.2 vs. CON 10.5 +/- 2.6 micromol.g muscle(-1).min(-1), P = not significant). We conclude that 3 h of lipid elevation fail to affect ATP synthesis despite marked reduction of whole body glucose uptake. This suggests that lipid-induced insulin resistance results primarily from mechanisms decreasing glucose uptake rather than from direct interference of fatty acid metabolites with mitochondrial function.",M1
20441566,"Role of phosphoinositide 3-kinase beta in platelet aggregation and thromboxane A2 generation mediated by Gi signalling pathways.PI3Ks (phosphoinositide 3-kinases) play a critical role in platelet functional responses. PI3Ks are activated upon P2Y12 receptor stimulation and generate pro-aggregatory signals. P2Y12 receptor has been shown to play a key role in the platelet aggregation and thromboxane A2 generation caused by co-stimulation with Gq or Gz, or super-stimulation of Gi pathways. In the present study, we evaluated the role of specific PI3K isoforms alpha, beta, gamma and delta in platelet aggregation, thromboxane A2 generation and ERK (extracellular-signal-regulated kinase) activation. Our results show that loss of the PI3K signal impaired the ability of <e>ADP</e> to induce platelet aggregation, ERK phosphorylation and thromboxane A2 generation. We also show that Gq plus Gi- or Gi plus Gz-mediated platelet aggregation, ERK phosphorylation and thromboxane A2 generation in human platelets was inhibited by TGX-221, a PI3Kbeta-selective inhibitor, but not by PIK75 (a PI3Kalpha inhibitor), AS252424 (a PI3Kgamma inhibitor) or IC87114 (a PI3Kdelta inhibitor). TGX-221 also showed a similar inhibitory effect on the Gi plus Gz-mediated platelet responses in platelets from P2Y1-/- mice. Finally, 2MeSADP (2-methyl-thio-ADP)-induced Akt phosphorylation was significantly inhibited in the presence of TGX-221, suggesting a critical role for PI3Kbeta in Gi-mediated signalling. Taken together, our results demonstrate that PI3Kbeta plays an important role in ADP-induced platelet aggregation. Moreover, PI3Kbeta mediates ADP-induced thromboxane A2 generation by regulating ERK phosphorylation.",M1
20420312,"In vitro inhibitory activities of Lauraceae aporphine alkaloids.The in vitro anti-inflammatory effect of eight aporphine alkaloids isolated from the leaves of two Lauraceae plants (Pleurothyrium cinereum and Ocotea macrophylla) was evaluated through inhibition of two isozymes of cyclooxygenase (COX-1 and COX-2), 5-lipoxygenase (5-LOX), and platelet aggregation induced by PAF, AA and <e>ADP</e>. All alkaloids exhibited inhibitory activities against COX-2 (IC50 25.9-116 microM range) and PAF- and AA-induced platelet aggregation, while only four and three of them were good COX-1 and 5-LOX inhibitors, respectively. (+)-N-acetyl-nornantenine 6 was the most potent COX-2, 5-LOX, AA and PAF inhibitor.",M1
20394748,"Nucleotide-dependent behavior of single molecules of cytoplasmic dynein on microtubules in vitro.We visualized the nucleotide-dependent behavior of single molecules of mammalian native cytoplasmic dynein using fragments of dynactin p150 with or without its N-terminal microtubule binding domain. The results indicate that the binding affinity of dynein for microtubules is high in AMP-PNP, middle in <e>ADP</e> or no nucleotide, and low in ADP.Pi conditions. It is also demonstrated that the microtubule binding domain of dynactin p150 maintains the association of dynein with microtubules without altering the motile property of dynein in the weak binding state. In addition, we observed bidirectional movement of dynein in the presence of ATP as well as in ADP/Vi condition, suggesting that the bidirectional movement is driven by diffusion rather than active transport.",M1
20394442,"When is weaker better? Design of an <e>ADP</e> sensor with weak ADP affinity, but still selective against ATP.A simple ADP biosensor would be of broad usefulness in monitoring the large number of metabolic processes that produce ADP. Several new systems have been recently described including one in the current issue of ACS Chemical Biology that provides a simple readout of the ADP concentration without significant interference by ATP.",M1
20388712,"The Zn3 domain of human poly(<e>ADP</e>-ribose) polymerase-1 (PARP-1) functions in both DNA-dependent poly(ADP-ribose) synthesis activity and chromatin compaction.PARP-1 is involved in multiple cellular processes, including transcription, DNA repair, and apoptosis. PARP-1 attaches ADP-ribose units to target proteins, including itself as a post-translational modification that can change the biochemical properties of target proteins and mediate recruitment of proteins to sites of poly(ADP-ribose) synthesis. Independent of its catalytic activity, PARP-1 binds to chromatin and promotes compaction affecting RNA polymerase II transcription. PARP-1 has a modular structure composed of six independent domains. Two homologous zinc fingers, Zn1 and Zn2, form the DNA-binding module. Zn1-Zn2 binding to DNA breaks triggers catalytic activity. Recently, we have identified a third zinc binding domain in PARP-1, the Zn3 domain, which is essential for DNA-dependent PARP-1 activity. The crystal structure of the Zn3 domain revealed a novel zinc-ribbon fold and a homodimeric Zn3 structure that formed in the crystal lattice. Structure-guided mutagenesis was used here to investigate the roles of these two features of the Zn3 domain. Our results indicate that the zinc-ribbon fold of the Zn3 domain mediates an interdomain contact crucial to assembly of the DNA-activated conformation of PARP-1. In contrast, residues located at the Zn3 dimer interface are not required for DNA-dependent activation but rather make important contributions to the chromatin compaction activity of PARP-1. Thus, the Zn3 domain has dual roles in regulating the functions of PARP-1.",M1
20385092,"The conformational dynamics of the mitochondrial Hsp70 chaperone.Heat shock proteins 70 (Hsp70) represent a ubiquitous and conserved family of molecular chaperones involved in a plethora of cellular processes. The dynamics of their ATP hydrolysis-driven and cochaperone-regulated conformational cycle are poorly understood. We used fluorescence spectroscopy to analyze, in real time and at single-molecule resolution, the effects of nucleotides and cochaperones on the conformation of Ssc1, a mitochondrial member of the family. We report that the conformation of its <e>ADP</e> state is unexpectedly heterogeneous, in contrast to a uniform ATP state. Substrates are actively involved in determining the conformation of Ssc1. The J protein Mdj1 does not interact transiently with the chaperone, as generally believed, but rather is released slowly upon ATP hydrolysis. Analysis of the major bacterial Hsp70 revealed important differences between highly homologous members of the family, possibly explaining tuning of Hsp70 chaperones to meet specific functions in different organisms and cellular compartments.",M1
20382158,"The crystal structure of protein MJ1225 from Methanocaldococcus jannaschii shows strong conservation of key structural features seen in the eukaryal gamma-AMPK.In mammals, 5'-AMP-activated protein kinase (AMPK) is a heterotrimeric protein composed of a catalytic serine/threonine kinase subunit (alpha) and two regulatory subunits (beta and gamma). The gamma-subunit senses the intracellular energy status by competitively binding AMP and ATP and is thought to be responsible for allosteric regulation of the whole complex. We describe herein the crystal structure of protein MJ1225 from Methanocaldococcus jannaschii complexed to AMP, <e>ADP</e>, and ATP. Our data provide evidence of a strong conservation of the key functional features seen in the gamma-subunit of the eukaryotic AMPK, and more importantly, it reveals a novel AMP binding site, herein denoted as site E, which had not been previously described in cystathionine beta-synthase domains so far. Site E is located in a small cavity existing between the alpha-helices structurally equivalent to those disrupting the internal symmetry of each Bateman domain in gamma-AMPKs and shows striking similarities with a symmetry-related crevice of the mammalian enzyme that hosts the pathological mutation N488I.",M1
20380360,"The effect of a pneumatic tube transport system on platelet aggregation using optical aggregometry and the PFA-100.BACKGROUND: Pneumatic tube sample transport is widely used in hospitals because it is convenient and reduces turnaround times. However, the preanalytical effects of pneumatic tube transport of blood samples on platelet function analysis are not fully understood. METHODS: Blood samples from 15 healthy subjects were collected before and after treatment with acetylsalicylic acid. Sample tubes were transported by pneumatic tube transport while the corresponding sample tubes were hand-delivered. Platelet function analysis was performed in platelet rich plasma by optical aggregometry and in whole blood by the PFA-100. RESULTS: Using the collagen-induced optical aggregometry a significant decrease of the aggregation amplitude (n = 30) was observed in tubed samples in comparison to the corresponding hand-delivered samples (low collagen concentration: 52.5% vs 56.1%, p = 0.006; and high collagen concentration respectively: 63.9% vs 67.1%, p = 0.011). Additionally, a slight prolongation of the PFA-100TM closure time for the epinephrine/collagen and the <e>ADP</e>/collagen stimulation was found in the tubed samples compared to the hand-delivered samples. CONCLUSIONS: The results indicate that the pneumatic tube sample transport impairs the platelet aggregation. Therefore, we recommend the manual transport of whole blood samples which are collected for optical aggregometry or PFA-100 analysis.",M1
