@RELATION C0003372_C0002736

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
17911646,"OX40 controls functionally different T cell subsets and their resistance to depletion therapy.T cell depletion is a widely used approach in clinical transplantation. However, not all T cells are equally sensitive to depletion therapies and a significant fraction of T cells persists even after aggressive treatment. The functional attributes of such T cells and the mechanisms responsible for their resistance to depletion are poorly studied. In the present study, we showed that CD4(+) T cells that are resistant to polyclonal anti-lymphocyte serum (<e>ALS</e>) mediated depletion exhibit phenotypic features of memory cells and uniformly express OX40 on the cell surface. Studies using the foxp3gfp knockin mice revealed that the remaining CD4(+)OX40(+) cells consist of Foxp3(+) Tregs and Foxp3(-) T effector/memory cells. The ALS-resistant CD4(+)OX40(+) cells failed to mediate skin allograft rejection upon adoptive transferring into congenic Rag(-/-) mice, but removal of Foxp3(+) Tregs from the OX40(+) cells resulted in prompt skin allograft rejection. Importantly, OX40 is critical to survival of both Foxp3(+) Tregs and T effector/memory cells. However, OX40 exhibits opposing effects on the functional status of Foxp3(+) Tregs and T effector/memory cells, as stimulation of OX40 on T effector cells induced amplified cell proliferation but stimulation of OX40 on the Foxp3(+) Tregs impaired their suppressor functions. Our study demonstrates that OX40 is a critical molecule in regulating survival and functions of depletion-resistant T cells; and these findings may have important clinical implications.",M1
16904981,"Abrogation of recurrent autoimmunity in the NOD mouse: A critical role for host interleukin 4.BACKGROUND: We previously established a clinically relevant strategy to abrogate recurrent autoimmunity and enable long-term islet graft survival, involving antilymphocyte serum (<e>ALS</e>)-depletion of recipient T cells and intraportal administration of donor pancreatic lymph node cells (PLNCs) along with islet grafts. In this study, we investigated whether Th2 cytokines were required for the tolerizing ability of ALS/PLNC treatment in islet transplantation. METHODS: ALS-treated diabetic NOD recipient mice, and NOD recipient mice deficient in interleukin 4 (IL-4-/-) or 10 (IL-4/10-/-) were transplanted with NOR or NOD.scid islets intraportally along with donor PLNC. Blood glucose levels were monitored to access graft function, sections of graft-bearing livers were histologically examined, and ELISPOT assays were used to assess cytokine profile and frequency of islet-reactive CD4 T cells. RESULTS: We found that ALS/PLNC was not effective in prolonging islet graft survival in diabetic NOD hosts deficient in either IL-4 (NOD.IL-4-/-) or in IL-4 and IL-10 (NOD.IL4-/-/10-/-) (mean survival time, 36 days), contrasting the long-term survival of islet grafts in wild-type NOD mice (mean survival time, &gt; 80 days). In contrast, PLNC deficient in IL-4 promoted long-term graft survival in wild-type NOD hosts similar to that in wild-type PLNC. In wild-type NOD recipients of either wild-type PLNC or IL-4-/- PLNC, the host autoantigen-specific CD4 T cells produced predominately IL-4 coincident with long-term graft survival, whereas, in NOD.IL-4-/- recipients with rejected grafts, the autoreactive T cells produced interferon gamma and low amounts of IL-4. CONCLUSIONS: These data demonstrate that abrogation of recurrent autoimmunity requires host IL-4 and that manipulation of the autoreactive cytokine profile in long-term diabetes may be an effective strategy for islet transplant therapies.",M1
16713179,"Short administration of polyclonal anti-T cell antibody (<e>ALS</e>) in NOD mice with extensive insulitis prevents subsequent development of autoimmune diabetes.Treatment of overtly diabetic NOD mice with antilymphocyte serum (ALS), a polyclonal anti-T cell antibody, leads to cure of diabetes. Here, we investigated whether ALS-treatment of NOD mice after development of extensive insulitis prevents onset of diabetes. Female NOD mice were treated with two doses of ALS at 14, 19 or 23 weeks of age. No further treatment was given. In untreated female NOD mice, diabetes developed starting at 13 weeks and reached 68% by 37 weeks. ALS-treatment at 14, 19 or 23 weeks when histology showed progressive insulitis completely prevented onset of overt diabetes in 9/12, 11/12 or 12/12 mice, respectively. Intraperitoneal glucose tolerance tests in 43 week-old ALS-treated, diabetes-free mice showed a normal pattern. Co-adoptive transfer of lymphoid cells prepared from ALS-treated diabetes-free mice together with splenocytes from overtly diabetic NOD mice resulted in marked delay in diabetes onset in NOD.SCID mice, suggesting the presence of autoimmune regulatory cells in ALS-treated mice. Autoimmune regulatory cells were CD4(+)CD25(+), but not CD4(+)CD25(-), T cells. Thus, treatment of euglycemic individuals who already show signs of autoimmune diabetes with a short course of polyclonal anti-T cell antibody may effectively prevent onset of type 1 diabetes mellitus.",M1
16547248,"CD4+ regulatory T cells are spared from deletion by antilymphocyte serum, a polyclonal anti-T cell antibody.Broad T cell depletion has been used as an integral part of treatment in transplantation and autoimmune diseases. Following depletion, residual T cells undergo homeostatic proliferation and convert to memory-like T cells. In this study, we investigated the effect of T cell depletion by antilymphocyte serum (<e>ALS</e>), a polyclonal anti-T cell Ab, on CD4(+) regulatory T cells. After ALS treatment, CD4(+)CD25(+) T cells underwent proliferation and expressed a memory T cell marker, CD44. One week after ALS treatment, both CD25(+) and CD25(-) T cells exhibited increased suppression of alloresponses in vitro, which waned thereafter to the levels mediated by naive CD25(+) and CD25(-) T cells. By real-time PCR analyses, ALS treatment of CD4-deficient mice adoptively transferred with Thy1.2(+)CD4(+)CD25(+)Foxp3(+) and Thy1.1(+)CD4(+)CD25(-)Foxp3(-) T cells resulted in the appearance of Thy1.2(+)CD4(+)CD25(-)Foxp3(+) and Thy1.1(+)CD4(+)CD25(+)Foxp3(+) T cells, suggesting the conversion between CD25(+) and CD25(-) T cells. Naive CD25(+) T cells expressed a higher level of intracellular Bcl-x(L) than CD25(-) T cells. Up-regulation of the Bcl-x(L) molecule during ALS-induced homeostatic expansion further promoted survival of CD25(+) and, to a lessor degree, CD25(-) cells. These results indicate that CD25(+) T cells are spared from ALS-mediated deletion, with some CD25(+) T cells converting to CD25(-) T cells, and continue to exhibit regulatory activity. The concomitant presence of T cell deletion and continuous regulatory T cell activity may underlie the therapeutic effect of ALS, particularly in treatment of autoimmune diseases.",M1
16297056,"The effect of anti-lymphocyte serum on subpopulations of blood and tissue leucocytes: possible supplementary mechanisms for suppression of rejection and the development of opportunistic infections.Xenogeneic anti-lymphocyte serum (<e>ALS</e>) remains a major reagent for immunosuppression in clinical practice, but mechanisms of action and risks of opportunistic infection have not been considered in the context of innate immunity and its role in immune responsiveness. Rabbit anti rat ALS was administered intraperitoneally. Blood was taken for flow cytometry to establish absolute counts of leucocyte subsets. Tissues were harvested for immunohistology to evaluate interstitial dendritic cells and tissue macrophages. At day 2 of ALS therapy, T cells are completely depleted, as anticipated. B cells are undiminished and form approximately 90% of blood leucocytes. Monocytes and natural killer (NK) cells are substantially (approximately 80%), but not completely, depleted, and there is a trend for diminished numbers of putative dendritic cells. Neither interstitial dendritic cells nor tissue macrophages in heart are affected. The results at day 7 were very similar to day 2. Substantial depletion of blood monocytes and NK cells might attenuate the innate immune system, and represent a possible supplementary mechanism (in addition to T cell depletion) for suppression of rejection. It might be of particular importance in reducing defences against infections. Monitoring these parameters could be of clinical value.",M1
16201179,"[Induced tolerance to cardiac allografts with intrathymic injection of donor spleen cells]OBJECTIVE: To study the methods and mechanisms of immune tolerance in cardiac transplantation. METHODS: Male DA rat hearts were transplanted to male Lewis rats using Ono's model and randomly divided into four groups: untreated (group I), intrathymic injection of 2.5 x 10(7) DA splenocytes to Lewis rat (group II), intraperitoneal injection of 1 ml rabbit anti-rat lymphocyte serum (<e>ALS</e>) to Lewis recipient (group III), intrathymic injection of 2.5 x 10(7) DA splenocytes combined with intraperitoneal injection of 1 ml rabbit anti-rat lymphocyte serum (ALS) to Lewis recipient (group IV). 21 days later heart transplantation was performed. Mean survival time (MST), histological changes and mixed lymphocyte reaction (MLR) were measured after operation. RESULTS: In the group of intrathymic injection of spleen cells combined with ALS treatment, the survival time of heart allografts [MST: (81.8 +/- 7.6)d] was significantly longer than in the groups I [MST: (7.3 +/- 1.0) d], group II [MST:(7.8+/- 1.0)d], and group III [MST(8.2 +/- 1.2) d, P &lt; 0.01]. Only a few inflammatory cells infiltrated in cardiac allografts in group IV. MLR of group IV were significantly decreased compared with those of the normal control (P &lt; 0.01). CONCLUSIONS: The role of thymus as a special site for induction and maintenance of specific immunological unresponsiveness to organ allografts was confirmed. T cell clonal deletion may play an important role in this immune tolerance.",M1
16042064,"[The role of polyclonal anti-T-lymphocyte antibodies (ATG) in the kidney transplantation]The successes in the kidney transplantation are closely connected with the successes of the immunology and the advance of the immunosuppressive therapy. The main task of the modern immunosuppressive therapy is the insurance of medicines with a minimum nephro-toxicity, and the optimum protection regarding the adoptive body against an early reaction of rejection. The polycomponent anti-T-limphocitic antibodies (ATG) give us the opportunity of that. The polycomponent anti-T-limphocitic antibodies or the antilimphocitic serum (<e>ALS</e>) are xenogenetic polycomponent antibodies, that are directed to the human T-limphocites, i.e. antitimocitic globuline (ATG). They are received by immunization of rabbits or horses with human thymus limphoid cells. They are received for the first time by horses, and later on by rabbits. The last patent medicines have more powerful effect. In spite of the side effects of the polycomponent ATG, the patent medicine is used for inductive treatment after transplantation of organs and for a treatment of acutely rejection of the graft. We have treated 15 patients after kidney transplantation with ATG for a period of an year in the ward of kidney transplantation in The Clinic of Urology. The patients with transplantation are at the age of 21 to 50 years old, and by sex--11 male and 4 female patients. 9 of them are transplanted from alive donor and 6--from a dead body. We have applied the patent medicine of ATG Timoglobuline in a phial of 5 mg\ml intravenally in a bank of 500 ml physiological solution according to the weight and the blood test of the patients. We have applied a fourfold immunosuppressive therapy: Urbazon, Imuran, CyA(Neoral) +ATG. CONCLUSIONS: ATG is a mixture of monocomponent polyspecific antibodies, which, in spite of its side effects, has been applied successfully in transplantation for more than 30 years. In the course of many years anti-CD3 patent medicine OKT3 has been the only one monocomponent antibody for the treatment of an acute rejection of the graft for inductive therapy in transplanted patients.A chimerical (baziliksimab) and humanized (daklizumab) monocomponent antibodies of the alpha-chain of the receptor for IL-2 (CD25) are used for the prophylaxis of the episodes of acutely rejection of the transplanted kidney during the last 10 years. ATG does not consists of anti-CD25 antibodies. That is why the simultaneously application of ATG with baziliksimab or daklizumab is expected to have an additional effect with a complementary mechanism of efficacy.",M1
15919414,"The immunologic function of 1B2+ double negative (CD4-CD8-) T cells in the 2C transgenic mouse.BACKGROUND: 2C mice bearing the cytotoxic TCR for class I L(d) on a C57BL/6 (B6) background have a preponderance of 1B2+CD8+ T cells directed against L(d). These naive CD8+ T cells are not directly cytotoxic without prior in vivo or in vitro activation. However, after in vitro sensitization, they become highly cytotoxic and will acutely and specifically reject a tolerant L(d+) BALB/c heart graft. Anti-lymphocyte serum (<e>ALS</e>) treatment eliminates CD4+ and CD8+ cells and a large double negative (CD4-CD8-) 1B2+ non-cytotoxic transgenic cell population remains. The immunological function of this unique peripheral population of T cells is investigated in the 2C transgenic mouse. MATERIALS AND METHODS: To determine the activation characteristics of the 2C CD4-CD8- T cells, 2C peripheral T cells were analyzed for 1B2+, CD8+, and CD4+ marker by FACS before and 48-h after 0.5 cc ALS i.p. Similarly, in vitro, the response of these 2C CD4-CD8- T cells remaining after deletion of mature CD4+ and CD8+ T cells with ALS plus complement were evaluated by mixed lymphocyte culture and cytotoxic T lymphocyte after 7 days culture with BALB/c, IL-2, or BALB/c + IL-2. Parallel experiments were performed with control non-transgenic B6 mice. Following in vitro culture with BALB/c + IL-2, 2C CD4-CD8- T cells were injected into B6 mice with a tolerant BALB/c heart (tolerization via anti-CD4 mAb and intrathymic BALB/c) to determine their immunogenicity. RESULTS: While peripheral T cells in control B6 mice have &lt;5% CD4-CD8- cells, transgenic 2C mice have a significantly increased percentage at 29 to 35% (P &lt; 0.01). After the deletion of CD4+ and CD8+ T cells with either in vivo or in vitro ALS, 2C CD4-CD8- T cells increased to 96 to 99%. After 7-day culture, the 2C CD4-CD8- T cells decreased again to 33 to 38%. Simultaneously, 2C CD8+ T cells decreased from 56 to 62% to 0.1 to 3% after ALS treatment, but again increased to 61 to 70% after in vitro culture. Untreated 2C cells responded to IL-2 or BALB/c antigen equally well. However, after ALS treatment, CD4-CD8- T cells responded to IL-2 and IL-2 plus antigen, but not BALB/c antigen alone. Finally, CD4-CD8- T cells cultured for 7 days with BALB/c + IL-2 rejected the tolerant BALB/c heart in 5.3 +/- 0.3 days. CONCLUSION: In the periphery of transgenic 2C mice is a unique CD4-CD8- population of T cells bearing the transgenic specific marker 1B2. These non-cytotoxic cells can be optimally stimulated to develop marked specific L(d) cytotoxicity in parallel with the expression of the CD8+ epitope.",M1
15808566,"Effect of streptavidin on cardiac allograft prolongation is due to host T-Cell suppression.AIM: The aim of this study was to evaluate the effectiveness of streptavidin immunomodulation in the high-responder WF-to-Lewis combination. METHODS/RESULTS: We examined the effects of streptavidin on the proliferative response of T cells in coculture studies. Two to 200 microg/mL streptavidin significantly (P &lt; .001) suppressed the proliferation of Lewis T cells to WF by 76%-83% compared with untreated responders. Next, we studied the survival of WF cardiac allografts in Lewis recipients pretreated with streptavidin. A 5-day course of peritransplantation recipient treatment with streptavidin doses of 8, 12, 20, 40, and 60 mg/kg combined with single dose of 0.5 mL antilymphocyte serum (<e>ALS</e>) significantly (P &lt; .001) prolonged cardiac allograft survival from MST of 7 +/- 0.5 and 8 +/- 0.5 days in naive and ALS-treated controls to 15 +/- 1, 20 +/- 3, 16 +/- 3, 17 +/- 3, and 23 +/- 2 days, respectively. In contrast, posttransplantation administration of 80 mg/kg streptavidin resulted in animal death, suggesting toxicity of this dose. Additionally, 10 mg/kg or 20 mg/kg streptavidin administration for 10 consecutive days resulted in significant graft prolongation (MST of 18 +/- 1 and 21 +/- 1 days, respectively; P &lt; .001). CONCLUSION: Although peritransplantation streptavidin treatment is effective in prolonging rat cardiac allografts in the high-responder WF-to-Lewis combination, it does not induce permanent graft survival as observed in the low-responder combination of Lewis-to-ACI. Our finding of in vitro immunomodulatory effect of streptavidin on T-cell proliferation suggests that its in vivo effect is partly due to prevention of T-cell activation following antigen exposure.",M1
15548965,"Targeted T-cell depletion or CD154 blockade generates mixed hemopoietic chimerism and donor-specific tolerance in mice treated with sirolimus and donor bone marrow.BACKGROUND: The administration of donor specific bone marrow (DSBM) to mice conditioned with antilymphocyte serum (<e>ALS</e>) and sirolimus can result in stable multilineage mixed chimerism and long-term graft survival. This study seeks to determine if either the targeted depletion of CD4 and/or CD8 pos T cells or costimulation blockade can substitute for ALS and preserve the efficacy of this regimen. METHODS: C57BL/6 recipients of BALB/c skin allografts were treated with DSBM (150 x 10(6) cells), sirolimus (24 mg/kg intraperitonealy), and either ALS or various monoclonal antibodies (alphaCD4, alphaCD8, alphaCD154 alone or in combination). Recipient peripheral blood mononuclear cell (PBMC) depletion, donor chimerism, and deletion of donor reactive T cells were assessed using flow cytometry. The specificity of immunologic nonreactivity and the presence of immunoregulatory activity were assessed through a mixed lymphocyte reaction assay. RESULTS: The administration of ALS, sirolimus, and DSBM resulted in sustained recipient PBMC depletion, transient chimerism, and prolonged graft survival. The substitution of an equivalent degree and duration of targeted depletion of either CD4 or CD8 pos T cells alone for ALS failed to produce chimerism or prolonged graft survival. In contrast, depletion of both CD4 and CD8 pos T cells resulted in durable multilineage chimerism, indefinite allograft acceptance (&gt;350 days), and donor-specific tolerance to secondary skin grafts. Substitution of alphaCD154 monoclonal antibody for ALS also resulted in a state of mixed chimerism and donor specific tolerance. This tolerant state appears to be maintained at least partially through clonal deletion and suppression. CONCLUSION: Either combined CD4 and CD8 T-cell depletion or alphaCD154 blockade can effectively substitute for ALS in producing chimerism and tolerance in this model.",M1
