@RELATION C0006287_C0006012

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20456770,"[From classic to new bronchopulmonary dysplasia]Chronic lung damage (bronchopulmonary dysplasia (<e>BPD</e>)) is one of the most serious complications affecting preterm neonates. During the last decade the aetiology of BPD has changed. Whereas 'classic BPD' was characterised mainly by lung damage and fibrosis caused by oxygen toxicity and mechanical ventilation, 'new BPD' is characterised by a disorder in lung development. This aetiological shift has been brought about by improved survival in extremely premature infants as a result of, for instance, antenatal corticosteroid administration and postnatal surfactant therapy. New BPD requires a new therapeutic approach. Therapeutic options for developing BPD include caffeine, vitamin A and postnatal corticosteroids. Once BPD has occurred, diuretics and inhaled bronchodilators and corticosteroids may be useful. However, the available therapies decrease the risk of developing BPD by just a small percent. In the future, artificial surfactants and non-invasive ventilation may prove to be useful in the prevention of BPD.",M1
20415055,"[Airway resistance and urinary LTE4 in children with bronchopulmonary dysplasia. Preliminary report]OBJECTIVE: To assess airway resistance values and urinary leukotriene E4 (LTE4) concentrations before and after salbutamol inhalation in children with bronchopulmonary dysplasia (<e>BPD</e>). MATERIAL AND METHODS: Children with BPD were cross-sectionally studied to measure airway resistance by the interrupter technique (Rint), before and after inhaling 200 ig salbutamol, and to quantify urinary leukotriene E4 (LTE4) by immunoassay. RESULTS: Thirty one children with BPD (15 females) aged between 3 months and 9 years were studied. Our results showed that LTE4 did not correlate with Rint values (r = 0.12, p = 0.52) even after adjusting by gender, atopy history, steroid use, and gastroesophageal reflux. Likewise, LTE4 did not correlate with the degree of the airway response to salbutamol (r = -0.13, p = 0.50). A strong inverse association between age and Rint (r = -0.58, p &lt; 0.001) was observed. CONCLUSION: We concluded that urinary LTE, did not correlate with airway resistance or with the response to a bronchodilator drug in children with BPD, suggesting that leukotrienes are not involved in airway obstruction in this disease.",M1
20363459,"Quality improvement in respiratory care: decreasing bronchopulmonary dysplasia.Chronic lung disease (CLD) is one of the most common long-term complications in very preterm infants. Bronchopulmonary dysplasia (<e>BPD</e>) is the most common cause of CLD in infancy. Modern neonatal respiratory care has witnessed the emergence of a new BPD that exhibits decreased fibrosis and emphysema, but also decreased alveolar septation, and microvascular development. CLD encompasses the classic and the new BPD, and recognizes that lung injury can occur in term infants who need aggressive ventilatory support and who develop lung injury as a result, and that CLD is a multisystem disease. Controversy exists on whether quality improvement (QI) methods that implement multiple interventions will be effective in limiting pathology with multiple causes. Caution in generalization of QI findings is encouraged. QI methods toward improvement in CLD or any other outcome should be considered as a tool for implementing evidence and studying the effects of change in complex adaptive systems.",M1
20350435,"[Expression of high mobility group protein-B1 in mice with hyperoxia-induced bronchopulmonary dysplasia]OBJECTIVE: To study the effect of hyperoxia exposure on high mobility group protein-B1 (HMGB1) expression in neonatal mice and the role of HMGB1 in the pathogenesis of bronchopulmonary dysplasia (<e>BPD</e>). METHODS: C57BL/6 mice were randomly exposed to 60% O2 or air 1 day after birth. BPD was induced by 60% O2 exposure. The pulmonary tissue samples were harvested 3, 7 and 14 days after exposure. The pathologic changes of pulmonary tissues were observed by hematoxylin and eosin staining, Masson staining and radical alveolar count. The expression of HMGB1 protein in lungs was detected by immunofluorescence. The expression of HMGB1 mRNA was detected by real-time fluorescent quantitative PCR. RESULTS: In the BPD group, the lungs developed decreased alceolar septation, swollen alveolar epithelium, stroma edema, interstitial fibrosis and developmental lag when compared with the control group. These changes became more obvious with more prolonged hyperoxia exposure. The expression of HMGB1 protein and mRNA 7 and 14 days after exposure increased significantly in the BPD group compared with that in the control group. CONCLUSIONS: Hyperoxia exposure results in an increase in lung HMGB1 expression. The increased HMGB1 expression may be associated with the development of BPD.",M1
20204740,"Impaired vascular endothelial growth factor signaling in the pathogenesis of neonatal pulmonary vascular disease.Abstract Of diverse growth factors that contribute to normal lung development, vascular endothelial growth factor (VEGF) plays an especially prominent role in the normal growth and development of the pulmonary circulation in the fetus and newborn. Strong experimental and clinical data support the role of impaired VEGF signaling in the pathogenesis of two major clinical disorders of the developing lung circulation: persistent pulmonary hypertension of the newborn (PPHN) and bronchopulmonary dysplasia (<e>BPD</e>). These disorders are each characterized by impaired vascular growth, structure and reactivity, which are at least partly due to endothelial cell dysfunction. This chapter will briefly discuss VEGF signaling during normal lung development and how disruption of VEGF signaling contribute to the pathogenesis of neonatal pulmonary vascular disease in these settings.",M1
20184127,"[Predictor factors for the production of bronchopulmonary dysplasia in the preterm newborn]INTRODUCTION: The bronchopulmonary dysplasia (<e>BPD</e>) is a lung illness chronicle that is developed in preterm newborn (PTNB) mainly, secondary to multiple factors of risk which have not been studied completely. OBJECTIVE: To determine the predictors factors (of risk factors) for the production of BPD in the PTNB of 28 at 36 weeks of gestational age. MATERIAL AND METHODS: Eighty medical records from January 2004 to May 2006 of PTNB that there was received mechanical attendance to the ventilation (MAV) at least 24 hrs were reviewed retrospectively. They were divided in two groups: group A, PTNB that had BPD, composed of 40 patients (cases) and group B, PTNB with MAV but that had not developed BPD due to the procedure of 40 patients too (controls). It was used descriptive and inferential statistic. Odds ratio (OR) and multivariate analysis were used to study predictors factors. Statistical significance was considered with P &lt; 0.05. RESULTS: There was significant difference of the supply of the intravenous (i.v.) fluids the days 2, 3, 4 and 7 of extrauterine life (EUL), of the oxygen inspired fraction (FiO2) of in the day 7 of being had initiate the MAV, of the peak inspiratory pressure (PIP) in the day 1 and 3 of being had initiate the MAV everything to favor of the cases, with P &lt; 0.05. In the multivariate analysis was significative in the intake of i.v. fluids &gt; or = 140 mL x kg of weight x day to the fourth day of EUL, the oxygen arterial pressure (PaO2) &gt; 70 mm Hg for &gt; 4 days, reintubations number (two or more times) and the symptomatic patent ductus arteriosus (PDA), all with P &lt; 0.05. CONCLUSIONS: We concluded that, in critically sick PTNB, they exist one series of well-known risk factors but more specified in this study that they should avoid as much as possible; the handling of the liquids i.v. should be cautious, not to spend of 139 mL x kg x day to the 4th day of EUL, not to be so permissive with the PaO2 maintaining it in values &lt; or = 70 mm of Hg after four days, to avoid as much as possible the reintubations and to treat the but quick the symptomatic PDA still without that it is significant, to diminish this way, the risk of BPD.",M1
20175046,"[Significance of nitric oxide inhalation (NO) in preterm infants&lt; 34 weeks of gestation]In 2001, NO was approved as a therapeutic agent in Europe for the treatment of persistent pulmonary hypertension in late preterm infants &gt;34 weeks of gestational age and term newborns. Recent observational studies suggest, that preterm infants &lt;34 weeks of gestation with acute hypoxic lung failure could benefit from inhaled NO (iNO) by improved oxygenation. To date, 21 randomised-controlled trials have enrolled 3 336 preterm infants &lt;34 weeks of gestation for iNO treatment. Overall, iNO treatment does not reduce the rate of bronchopulmonary dysplasia (<e>BPD</e>) or death compared to controls. In addition, iNO treatment of preterm infants with hypoxic respiratory failure or increased risk of BPD does not affect the combined incidence of death and BPD. However, early prophylactic use of iNO in preterm infants with respiratory distress seems to improve survival without BPD or severe cerebral damage. Current data of long term neurological outcome of iNO-treated preterm infants do not seem to justify iNO administration. Outside of well designed clinical trials iNO-treatment of preterm infants can currently not be recommended.",M1
20138299,"Two-year neurodevelopmental outcomes of ventilated preterm infants treated with inhaled nitric oxide.OBJECTIVE: In a randomized multi-center trial, we demonstrated that inhaled nitric oxide begun between 7 and 21 days and given for 24 days significantly increased survival without bronchopulmonary dysplasia (<e>BPD</e>) in ventilated premature infants weighing &lt;1250 g. Because some preventative BPD treatments are associated with neurodevelopmental impairment, we designed a follow-up study to assess the safety of nitric oxide. STUDY DESIGN: Our hypothesis was that inhaled nitric oxide would not increase neurodevelopmental impairment compared with placebo. We prospectively evaluated neurodevelopmental and growth outcomes at 24 months postmenstrual age in 477 of 535 surviving infants (89%) enrolled in the trial. RESULTS: In the treated group, 109 of 243 children (45%) had neurodevelopmental impairment (moderate or severe cerebral palsy, bilateral blindness, bilateral hearing loss, or score &lt;70 on the Bayley Scales II), compared with 114 of 234 (49%) in the placebo group (relative risk, 0.92; 95% CI, 0.75-1.12; P = .39). No differences on any subcomponent of neurodevelopmental impairment or growth variables were found between inhaled nitric oxide or placebo. CONCLUSIONS: Inhaled nitric oxide improved survival free of BPD, with no adverse neurodevelopmental effects at 2 years of age.",M1
20121490,"The use of culture-independent tools to characterize bacteria in endo-tracheal aspirates from pre-term infants at risk of bronchopulmonary dysplasia.Although premature infants are increasingly surviving the neonatal period, up to one-third develop bronchopulmonary dysplasia (<e>BPD</e>). Despite evidence that bacterial colonization of the neonatal respiratory tract by certain bacteria may be a risk factor in BPD development, little is known about the role these bacteria play. The aim of this study was to investigate the use of culture-independent molecular profiling methodologies to identify potential etiological agents in neonatal airway secretions. This study used terminal restriction fragment length polymorphism (T-RFLP) and clone sequence analyses to characterize bacterial species in endo-tracheal (ET) aspirates from eight intubated pre-term infants. A wide range of different bacteria was identified in the samples. Forty-seven T-RF band lengths were resolved in the sample set, with a range of 0-15 separate species in each patient. Clone sequence analyses confirmed the identity of individual species detected by T-RFLP. We speculate that the identification of known opportunistic pathogens including S. aureus, Enterobacter sp., Moraxella catarrhalis, Pseudomonas aeruginosa and Streptococcus sp., within the airways of pre-term infants, might be causally related to the subsequent development of BPD. Further, we suggest that culture-independent techniques, such as T-RFLP, hold important potential for the characterization of neonatal conditions, such as BPD.",M1
20113663,"[Effects of prolonged exposure of high concentration of oxygen on expression of vascular endothelial growth factor and its receptors in neonatal rat lungs]OBJECTIVE: To study the effects of prolonged 75% oxygen exposure on the expression of vascular endothelial growth factor (VEGF) and its receptors (VEGFR1 and VEGFR2) in the neonatal rat lungs and to elucidate the effects of prolonged exposure of high concentration of oxygen on lung vascular development and its relationship with bronchopulmonary dysplasia (<e>BPD</e>). METHODS: Forty eight Sprague-Dawley rat pups were randomly exposed to air (control group) and 75% oxygen (experimental group) 12 hrs after birth. The rats were sacrificed 7, 14 and 21 days after exposure and their lungs were sampled. The lung sections were stained with hematoxylin and eosin for histological evaluation. Expression of VEGF, VEGFR1 and VEGFR2 protein and mRNA was detected by immunohistochemistry and RT-PCR. RESULTS: After being exposed to 75% oxygen for 21 days, lung tissues had pathological changes as 'new' BPD. Expressions of VEGF protein (10.9 + or - 2.7 vs 30.8 + or - 6.4), VEGFR1 protein (5.4 + or - 1.4 vs 15.6 + or - 3.4) and VEGFR2 protein (11.3 + or - 2.6 vs 21.7 + or - 4.5) on day 21 in the experimental group decreased significantly as compared with the control group (p&lt;0.05). The expression of VEGF mRNA (1.6 vs 3.3), VEGFR1 mRNA (0.4 vs 6.6) and VEGFR2 mRNA (0.5 vs 4.9) on day 21 in the experimental group also decreased significantly as compared with the control group (p&lt;0.05). CONCLUSIONS: Prolonged exposure of high concentration of oxygen may cause BPD possibly by inhibiting lung vascular development in neonatal rats.",M1
