@RELATION C0005902_C0036774

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20200147,"Body surface area for adjustment of drug dose.For many drugs, it is important to adjust the dose for individual patients. To estimate the dose, a patient's body weight or body surface area (<e>BSA</e>) is often used. BSA is difficult to measure directly, but may be calculated using formulae involving the patient's weight and height. Here we discuss BSA and when it is used in practice, in particular, for calculating drug doses in children and for cancer chemotherapy.",M1
20107905,"Body size adjustments for left ventricular mass by cardiovascular magnetic resonance and their impact on left ventricular hypertrophy classification.Methods to index left ventricular (LV) mass, measured by cardiovascular magnetic resonance (CMR), for body size have not been investigated. The purposes of this study were to develop allometric indices for LV mass measured by CMR and compare estimates of the prevalence and predictive value of LV hypertrophy defined by a new allometric height-weight index, LV mass/body surface area (<e>BSA</e>), height indices (a new allometric height index; and previously derived indices from echocardiographic measurements: LV mass/height(2), LV mass/height(2.7)), and non-indexed LV mass. 5,004 participants from the Multi-Ethnic Study of Atherosclerosis (MESA) with CMR measurements of LV mass and no clinical cardiovascular disease at baseline were followed for a median of 4.1 years. The new indices and limits for hypertrophy (95th percentile) were derived from 822 normal-weight, normotensive, non-diabetic MESA participants. 107 events (coronary heart disease or stroke) were observed. The estimated prevalence of hypertrophy at baseline and hazard ratio for event associated with hypertrophy were 8% and 2.4 with the new allometric height-weight index, 11% and 2.2 with LV mass/BSA, 23-24% and 2.0-2.1 with height indices, and 20% and 1.7 with non-indexed LV mass. A statistically significant difference was detected between the hazard ratios based on the new height-weight index and non-indexed LV mass. The prevalence of hypertrophy is higher for indices that do not account for weight. The predictive value of hypertrophy is significantly better with the new allometric height-weight index than with non-indexed LV mass and may be better than indices without weight.",M1
20099694,"How reliable is an effective orifice area indexed chart?BACKGROUND AND AIM OF THE STUDY: Patient-prosthesis mismatch (PPM) occurs when a valvular prosthesis is too small relative to the patient's body surface area (<e>BSA</e>). The presence of PPM results in increased transprosthetic gradients and may portend a worse prognosis. It has been shown that reliable effective orifice area (EOA) data can be used to accurately predict PPM, thus preventing its occurrence. The study aim was to assess the predictive abilities of an effective orifice area indexed (EOAI) chart--the Perimount Magna EOAI chart--in the prevention of PPM. METHODS: A retrospective comparison of projected versus calculated EOA values and the predicted versus actual incidence of PPM was conducted. Forty patients with a Perimount Magna aortic bioprosthesis implanted between 1st January 2006 and 31st March 2009, were identified. The sensitivity, specificity, positive-predictive value (PPV) and negative predictive value (NPV) were each calculated using the Perimount Magna EOAI chart, to assess how well it could predict the incidence of postoperative PPM. RESULTS: The Perimount Magna EOAI chart had a sensitivity of 35% for predicting postoperative PPM, and an NPV of 53%. The projected EOA-values were almost invariably larger than those actually measured; this resulted in a higher proportion of patients than in whom PPM was predicted preoperatively. This EOAI chart proved to be very specific, with specificity of 100% and a PPV of 100%. CONCLUSION: The Perimount Magna EOAI chart, based on mean EOA data from a small echocardiographic cohort, represents a poor method of predicting and preventing PPM. Rather, EOAI charts should be based on reliable EOA data that reproducibly predict the expected EOA for that prosthesis.",M1
20081264,"[Left ventricular mass in children in relation to body surface area]BACKGROUND: In spite of growing interest in the problem of left ventricular hypertrophy in children there is relatively little published data on normal values of the left ventricular mass (LVM) among data on normal values in the developmental age. AIM: To determine the normal values of LVM in infants and children in relation to body surface area (<e>BSA</e>), age (in months) and gender. MATERIAL AND METHODS: This study was carried out on 773 children (403 girls and 370 boys, aged from 2 weeks to 18 yrs). They were referred for echocardiographic investigations from paediatric and neonatal hospital departments, from outpatients clinics and primary schools. In all patients cardiovascular disease was excluded. LVM (in grams) was calculated in relation to BSA, age in months and sex. All echocardiographic studies were carried out by the same investigator, according to the American Society of Echocardiography (ASE) convention, modification 2D using, Philips HD14000 Ultrasonograph. The LVM values were calculated at the end of diastole from: left ventricle dimension (LVDd), interventricular septum thickness (IVSd) and thickness of the posterior wall of the left ventricle (LVPWd). Data were analysed in relation to the body surface area (in 17 consecutive intervals from 0.2 m(2) to 1.8 m(2)) and to age (in months) for all children and for girls and boys separately. LVM values were calculated as a mean +/- SD and extreme values 5 or 95 percentile. The results were accepted as normal when they did not exceed 2SD or 5(th) or 9(th) percentile. Statistic analysis was performed with the use of rank correlation Spearman test and Mann-Whitney U.test. RESULTS: The left heart ventricular mass was determined on the base of data from healty children aged 2 weeks to 18 years. A significant correlation of LVM with BSA and with age was found. There were no significant gender dependent differences in LVM values. Abnormal values exceeding the 95(th) percentile were present in 25 (3.2 %) examined children. CONCLUSIONS: 1. LVM values obtained in this study can be used as reference values. 2. No gender differences were found in LVM. 3. BSA is a good reference parameter in calculating LVM in children aged 2 weeks-18 years. Both BSA and age give high correlation with left ventricular hypertrophy, in children with left muscular ventricular mass exceeding 95 percentile or + 2SD, long term care in department of cardiology is recommended.",M1
20079934,"Obesity and smoking in patients with schizophrenia and normal controls: a case-control study.Cardiovascular risk factors, especially obesity and smoking are highly prevalent in patients with schizophrenia. Central obesity and the metabolic syndrome are conditions mostly attributed to the use of antipsychotic medication and lifestyle habits, and they constitute a significant health concern. Our study sample included 105 patients suffering from schizophrenia aged 36.25+/-10.03 and 156 normal control subjects aged 36.03+/-11.33. All patients were in- or out-patients of a private hospital. Clinical diagnosis was made according to DSM-IV-TR criteria. Height, weight, waist circumference and number of cigarettes smoked daily were recorded. Duration of illness was calculated based on records concerning the age of first onset of psychotic symptoms. Body Surface Area (<e>BSA</e>) and Body Mass Index (BMI) were calculated as well as % body fat, with the use of LifeWise Body Fat Analyzers No 63-1525. The results of analysis of variance suggested a significant main effect regarding diagnosis and sex as well as for their interaction. There were significant differences between patients and controls regarding body weight, waist circumference, BMI, BSA and % body fat, with patients, especially females, being more obese than controls. The results of the present study corroborate the increased prevalence of obesity in schizophrenia. The interpretation of this finding remains unclear.",M1
20043337,"Gender-related differences in coronary artery dimensions: a volumetric analysis.BACKGROUND: Women consistently have poorer revascularization outcomes and more coronary vascular complications compared to men. This has been attributed to smaller coronary arteries, though limited data exist to support this assumption. HYPOTHESIS: By using volumetric data obtained from multidetector cardiovascular computed tomography (CCT), we sought to determine to what extent gender influences coronary artery dimensions and test the hypothesis that women would have smaller coronary dimensions even after normalizing for body surface area and cardiac mass. METHODS: CCT examinations completed on a 64-slice scanner were identified from a university cardiovascular database. Data sets from 50 women and 44 men without coronary artery disease were selected for analysis. Cross-sectional areas of proximal and distal segments of the left anterior descending (LAD), circumflex (LCx), and right coronary artery (RCA) were measured, blinded to patient gender. Measurements were compared using 2-sample t tests and linear regression analysis techniques accounting for body surface area (<e>BSA</e>) and left ventricular (LV) mass. RESULTS: Analysis of cross-sectional coronary artery areas, unadjusted for BSA and LV mass showed smaller coronary artery size in women compared to men in the proximal portion of both the LAD (P = .01) and RCA (P = .002), but no significant difference in the remaining coronary segments. CONCLUSION: Gender significantly impacts proximal LAD and RCA size. Differences in coronary artery dimensions may explain some, but not all excess gender-related risk with coronary artery revascularization, underscoring the importance of considering multiple contributing factors.",M1
20029177,"Use of body surface area for assessing extracellular fluid volume and glomerular filtration rate in obesity.OBJECTIVE: To examine body surface area (<e>BSA</e>) for scaling extracellular fluid volume (ECV) in obesity. ECV varies less than glomerular filtration rate (GFR) in a clinical population and was therefore used as a surrogate for GFR on the grounds that if BSA is unsuitable for scaling GFR, it will also be unsuitable for ECV. METHODS: GFR was measured in 917 patients using (51)Cr-EDTA. GFR scaled to ECV was measured exclusively from the slope rate constant. ECV was calculated as GFR divided by GFR/ECV. RESULTS: BSA correlated strongly with body mass index (BMI). ECV correlated strongly with BSA but the intercept was significantly lower than zero, indicating a disproportionate relation. ECV/BSA correlated with BSA but not with BMI. ECV in obese subjects was significantly less than in non-obese subjects individually matched for BSA. ECV/BSA was similar between obese and lean subjects matched for GFR/ECV and height. CONCLUSIONS: For subjects of similar BSA, a high BMI decreases ECV (the 'obesity effect'). Subjects with high BMI generally have high BSA, which tends to increase ECV/BSA because of the disproportionate relation between ECV and BSA (the 'BSA effect'). These opposing effects serendipitously and erroneously create the impression that BSA is suitable for scaling ECV (and by implication, GFR) in obesity.",M1
20012996,"On the relationship between glomerular filtration rate and serum creatinine in children.The Schwartz formula (eGFR = kL/Scr, with k = 0.55) to determine the estimated glomerular filtration rate (eGFR) in children with chronic kidney disease (CKD), based on length (L) and serum creatinine (Scr) has recently been updated for enzymatic serum creatinine concentrations, resulting in k = 0.413. Based on a meta-analysis, we evaluated the validity of this updated equation and other published equations for healthy children. This is the first time that publicly available data for healthy children of uncorrected and body surface area (<e>BSA</e>)-corrected median GFR have been combined with median serum creatinine values and median lengths and weights from different sources in the literature to evaluate several statistical models to estimate GFR in children. For enzymatic serum creatinine, we show that the simple model for uncorrected GFR (uGFR = k'L(3)/Scr, with k' = 1.32 x 10(-5)) and the BSA-corrected GFR (cGFR = kL/Scr, analogous to the Schwartz formula), with an important age-dependent adaptation for k (k = 0.0414 x 1n (Age) + 0.3018), correlate extremely well with chromium-51-ethylenediamine tetra-acetic acid ((51)Cr-EDTA) data for children between 1 month and 14 years of age. With this age-dependent modification for k, presented here, the simple bedside calculation tool derived by Schwartz can be used for screening all children for CKD. When height information is not available, the Lund-Malmö equation is an excellent alternative.",M1
20005340,"Estimation of standard liver volume in Chinese adult living donors.AIM: To determine a formula predicting the standard liver volume based on body surface area (<e>BSA</e>) or body weight in Chinese adults. MATERIALS AND METHODS: A total of 115 consecutive right-lobe living donors not including the middle hepatic vein underwent right hemi-hepatectomy. No organs were used from prisoners, and no subjects were prisoners. Donor anthropometric data including age, gender, body weight, and body height were recorded prospectively. The weights and volumes of the right lobe liver grafts were measured at the back table. Liver weights and volumes were calculated from the right lobe graft weight and volume obtained at the back table, divided by the proportion of the right lobe on computed tomography. By simple linear regression analysis and stepwise multiple linear regression analysis, we correlated calculated liver volume and body height, body weight, or body surface area. RESULTS: The subjects had a mean age of 35.97 +/- 9.6 years, and a female-to-male ratio of 60:55. The mean volume of the right lobe was 727.47 +/- 136.17 mL, occupying 55.59% +/- 6.70% of the whole liver by computed tomography. The volume of the right lobe was 581.73 +/- 96.137 mL, and the estimated liver volume was 1053.08 +/- 167.56 mL. Females of the same body weight showed a slightly lower liver weight. By simple linear regression analysis and stepwise multiple linear regression analysis, a formula was derived based on body weight. All formulae except the Hong Kong formula overestimated liver volume compared to this formula. CONCLUSIONS: The formula of standard liver volume, SLV (mL) = 11.508 x body weight (kg) + 334.024, may be applied to estimate liver volumes in Chinese adults.",M1
19922057,"Body composition in 10-13-year-old children: a comparison between air displacement plethysmography and deuterium dilution.OBJECTIVE: Air diplacement plethysmography (ADP) has become increasingly popular to assess body composition in children. The aim of this study was to compare ADP with deuterium dilution and to investigate the effect of using child-specific prediction equations to correct raw body volume from ADP for thoracic gas volume (TGV) and body surface area (<e>BSA</e>). METHODS: Thirty-seven healthy Dutch children (17 girls, 20 boys) aged 10-13 years were recruited. Body volume was measured using the Bod Pod. Both adult and child-specific prediction equations were used to correct raw body volume from the Bod Pod for TGV and BSA. Total body water (TBW) was assessed using deuterium dilution. Child-specific densities and hydration fractions of fat-free mass were used to convert body volume and TBW to percentage fat mass (%FM). Correlation and agreement between methods was assessed using linear regression analysis and Bland-Altman plots. RESULTS: Despite a high correlation between the Bod Pod and deuterium dilution (R=0.91, p &lt;0.001), a significant difference was found between %FM obtained using the Bod Pod and deuterium dilution (p &lt;0.001), regardless of the equation used to correct raw body volume for TGV and BSA. Bland-Altman plots showed a systematic bias towards a smaller difference between techniques at higher %FM. CONCLUSION: Significant differences in %FM were found between both methods. Given the underlying assumptions to translate body volume or TBW to %FM, it is recommended to use a 3- or 4-compartment model when assessing body composition in children.",M1
