@RELATION C0085209_C0085105

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20350325,"A 2cM genome-wide scan of European Holstein cattle affected by classical <e>BSE</e>.BACKGROUND: Classical bovine spongiform encephalopathy (BSE) is an acquired prion disease that is invariably fatal in cattle and has been implicated as a significant human health risk. Polymorphisms that alter the prion protein of sheep or humans have been associated with variations in transmissible spongiform encephalopathy susceptibility or resistance. In contrast, there is no strong evidence that non-synonymous mutations in the bovine prion gene (PRNP) are associated with classical BSE disease susceptibility. However, two bovine PRNP insertion/deletion polymorphisms, one within the promoter region and the other in intron 1, have been associated with susceptibility to classical BSE. These associations do not explain the full extent of BSE susceptibility, and loci outside of PRNP appear to be associated with disease incidence in some cattle populations. To test for associations with BSE susceptibility, we conducted a genome wide scan using a panel of 3,072 single nucleotide polymorphism (SNP) markers on 814 animals representing cases and control Holstein cattle from the United Kingdom BSE epidemic. RESULTS: Two sets of BSE affected Holstein cattle were analyzed in this study, one set with known family relationships and the second set of paired cases with controls. The family set comprises half-sibling progeny from six sires. The progeny from four of these sires had previously been scanned with microsatellite markers. The results obtained from the current analysis of the family set yielded both some supporting and new results compared with those obtained in the earlier study. The results revealed 27 SNPs representing 18 chromosomes associated with incidence of BSE disease. These results confirm a region previously reported on chromosome 20, and identify additional regions on chromosomes 2, 14, 16, 21 and 28. This study did not identify a significant association near the PRNP in the family sample set. The only association found in the PRNP region was in the case-control sample set and this was not significant after multiple test correction. The genome scan of the case-control animals did not identify any associations that passed a stringent genome-wide significance threshold. CONCLUSIONS: Several regions of the genome are statistically associated with the incidence of classical BSE in European Holstein cattle. Further investigation of loci on chromosomes 2, 14, 16, 20, 21 and 28 will be required to uncover any biological significance underlying these marker associations.",M1
20214905,"A single step multiplex immunofluorometric assay for differential diagnosis of <e>BSE</e> and scrapie.Although there is no evidence that the European sheep population has been infected with bovine spongiform encephalopathy (BSE), distinguishing this from scrapie is paramount, given the association between BSE exposure and the human transmissible spongiform encephalopathy (TSE), variant Creutzfeldt-Jakob disease. The capability to differentially diagnose TSEs in sheep is thus essential in order to safeguard the food chain and human health. Biochemical methods for differentiating BSE and scrapie are largely reliant on assessment by Western blot (WB) analysis of the abnormal disease associated prion protein PrP(D) following partial proteolytic digestion. WB banding patterns obtained using a panel of antibodies enable different strain specific conformations of PrP(D) to be distinguished. This approach provides a robust confirmatory test but one which is not appropriate for high throughput screening. A simple, one step, bead array flow cytometry based multiplex immunofluorometric assay has been developed which is suitable for simultaneous screening and confirmation. Using a combination of antibodies directed towards three PrP epitopes enabled differential diagnosis of scrapie and BSE. Proof of principle studies indicated a high predictive value (100%) when applied to brain samples from control animals, BSE infected cattle and sheep naturally infected with scrapie or experimentally infected with BSE.",M1
20163615,"Gene and haplotype polymorphisms of the Prion gene (PRNP) in Japanese Brown, Japanese native and Holstein cattle.Polymorphisms in the prion protein gene (PRNP) are known to be associated with transmissible spongiform encephalopathies in human, sheep and goats. There is tentative association between PRNP promoter polymorphism and bovine spongiform encephalopathy (<e>BSE</e>) susceptibility in cattle. In this study, we genotyped for six bovine PRNP polymorphic sites including a 23-bp indel in the promoter, a 12-bp indel in the intron 1, two nonsynonymous single nucleotide polymorphisms (SNPs), octapeptide repeats in the coding region and a 14-bp indel in the 3'-untranslated region in 178 animals representing Japanese Brown, Kuchinoshima feral, Mishima, Japanese Shorthorn and Holstein. In 64 Japanese Brown cattle, three indel sites were polymorphic. All of the six sites were monomorphic in Kuchinoshima. The 23-bp and 12-bp indel sites were polymorphic in Mishima cattle. The 23-bp and 14-bp indel sites were polymorphic in Japanese Shorthorn cattle. Both SNP sites were monomorphic in all cattle examined in this study. At the 23-bp indel site, the genotype frequencies of Japanese Brown and Holstein breeds were similar to that of BSE affected cattle. We estimated 12 different haplotypes from these genotypic data. A '23-12-K6S14+' haplotype was the major haplotype in all populations, whose frequencies ranged from 0.50 to 1.00.",M1
20153480,"Characterization of strains of ovine transmissible spongiform encephalopathy with a short PrPd profiling method.Scrapie is the transmissible spongiform encephalopathy (TSE) that naturally affects sheep and goats; these species are also susceptible to experimental infection with the bovine spongiform encephalopathy (<e>BSE</e>) agent. Discrimination between different strains of sheep scrapie and ovine BSE has been achieved by descriptive and quantitative profiling of deposits of the disease-associated prion protein (PrPd) in different areas of the brain, but this process is time-consuming and difficult to standardize between laboratories. The present paper describes an alternative PrPd profiling method that is less demanding and addresses these difficulties. It is based on the scoring of similar 14 PrPd types in 11 precisely defined areas of the telencephalon. When applied to 48 archived cases of experimental sheep BSE, SSBP/1, CH1641 and natural scrapie, it gave comparable results to the original profiling method, previously conducted on the same brains, and allowed differentiation between the different infectious sources. This new 'short PrPd profiling' method has the advantages of being less time-consuming and easier to standardize, so that it can be readily adopted by different laboratories to provide comparable results.",M1
19954458,"Intraspecies transmission of L-type-like Bovine Spongiform Encephalopathy detected in Japan.It has been assumed that the agent causing <e>BSE</e> in cattle is a uniform strain (classical BSE); however, different neuropathological and molecular phenotypes of BSE (atypical BSE) have been recently reported. We demonstrated the successful transmission of L-type-like atypical BSE detected in Japan (BSE/JP24 isolate) to cattle. Based on the incubation period, neuropathological hallmarks, and molecular properties of the abnormal host prion protein, the characteristics of BSE/JP24 prion were apparently distinguishable from the classical BSE prion and closely resemble those of bovine amyloidotic spongiform encephalopathy prion detected in Italy.",M1
19949303,"In vitro amplification of prions from milk in the detection of subclinical infections.Prions can be amplified by serial protein misfolding cyclic amplification (sPMCA) from the milk of a high proportion of apparently healthy, scrapie exposed sheep with PRNP genotypes not previously associated with high disease penetrance. These data strongly suggest the widespread presence of subclinical scrapie infections within scrapie-exposed flocks containing sheep with a range of susceptible PRNP genotypes. These data also lead to the hypothesis that similar subclinical disease states may be common for other animal and human prion diseases. Furthermore, the application of sPMCA to milk provides a method to detect such subclinical disease. Here, we describe the high level amplification of bovine spongiform encephalopathy (<e>BSE</e>) prions from both ovine and bovine origin, a methodology that will facilitate the detection of any prions secreted within bovine and ovine milk during subclinical and clinical BSE disease.",M1
19933544,"Passive surveillance for <e>BSE</e> in Great Britain, 2005 to 2008.",M1
19915195,"Third atypical <e>BSE</e> case in Great Britain with an H-type molecular profile.",M1
19901284,"Evaluation of three rapid diagnostic tests used in bovine spongiform encephalopathy monitoring in Italy.In 2001, a compulsory active surveillance system was started in the European Union to assess the prevalence of bovine spongiform encephalopathy (<e>BSE</e>) in the cattle population. The aim of the current study was to report on the field performances of 3 rapid tests: a Western blot (WB), a chemiluminescence enzyme-linked immunosorbent assay (ELISA), and an immunochromatographic assay, routinely used at 3 laboratories of the Istituto Zooprofilattico Sperimentale of Lombardia and Emilia Romagna, over 8 years of BSE monitoring activity. A total of 2,802,866 samples from slaughtered animals and 202,453 samples from fallen stock were tested by 1 of 3 tests. Positive results of the rapid tests were confirmed by histopathological examination, immunohistochemistry, and confirmatory WB. The field performances (i.e., initial reactive and false-positive rates) and practical aspects regarding resources and applicability of the tests to high-throughput routine testing laboratories were evaluated. The 3 tests proved to be reliable tools when applied to slaughtered samples, showing no or very low false-positive rates (&lt;1 per 100,000 negative samples tested) and low retesting frequencies (0.02-0.26%). When samples from fallen stock were analyzed, performances of the immunochromatographic assay, and especially the chemiluminescence ELISA, were negatively affected, resulting in higher false-positive and retesting rates. On the other hand, both tests are less expensive, much easier to use, provide more rapid results, and adapt well to application in routine laboratories as compared with WB. In the authors' experience, the immunochromatographic assay was a good compromise between performance and convenience.",M1
19875887,"Prion protein gene polymorphism in healthy and <e>BSE</e>-affected Slovak cattle.Variation of the PrP gene was examined in healthy and BSE-affected Slovak cattle. According to previous studies, the 23-bp indel polymorphism is supposed to be associated with higher susceptibility to BSE. We investigated 301 samples from healthy cattle of various Slovak breeds and 24 samples obtained from tissues of BSE-affected cattle in Slovakia. We examined the PrP gene for the 23-bp indel polymorphism in the putative promoter region, 12-bp indel polymorphism in the first intron of the PrP gene, variations in number of octapeptide repeat units, and presence of the silent AAC&gt;AAT transition in codon 192 within the protein-coding region of the PrP gene. Altogether we found 23 different genotypes in the group of healthy cattle and only 6 genotypes in the group of BSE-affected cattle. Comparison of homozygotes for the 23-bp insertion and heterozygotes showed significant differences (P &lt; 0.05) in genotype distribution between the examined groups. Thereby the homozygous insertion genotype at the 23-bp indel polymorphism site in the promoter region of the prion protein gene seems to have a protective effect against BSE.",M1
