@RELATION C0011905_C1956346

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20443506,"Computer aided automatic detection of malignant lesions in diffuse optical mammography.PURPOSE: Computer aided detection (<e>CAD</e>) data analysis procedures are introduced and applied to derive composite diffuse optical tomography (DOT) signatures of malignancy in human breast tissue. In contrast to previous optical mammography analysis schemes, the new statistical approach utilizes optical property distributions across multiple subjects and across the many voxels of each subject. The methodology is tested in a population of 35 biopsy-confirmed malignant lesions. METHODS: DOT CAD employs multiparameter, multivoxel, multisubject measurements to derive a simple function that transforms DOT images of tissue chromophores and scattering into a probability of malignancy tomogram. The formalism incorporates both intrasubject spatial heterogeneity and intersubject distributions of physiological properties derived from a population of cancercontaining breasts (the training set). A weighted combination of physiological parameters from the training set define a malignancy parameter (M), with the weighting factors optimized by logistic regression to separate training-set cancer voxels from training-set healthy voxels. The utility of M is examined, employing 3D DOT images from an additional subjects (the test set). RESULTS: Initial results confirm that the automated technique can produce tomograms that distinguish healthy from malignant tissue. When compared to a gold standard tissue segmentation, this protocol produced an average true positive rate (sensitivity) of 89% and a true negative rate (specificity) of 94% using an empirically chosen probability threshold. CONCLUSIONS: This study suggests that the automated multisubject, multivoxel, multiparameter statistical analysis of diffuse optical data is potentially quite useful, producing tomograms that distinguish healthy from malignant tissue. This type of data analysis may also prove useful for suppression of image artifacts.",M1
20443501,"Assessing operating characteristics of <e>CAD</e> algorithms in the absence of a gold standard.PURPOSE: The authors examine potential bias when using a reference reader panel as  gold standard  for estimating operating characteristics of CAD algorithms for detecting lesions. As an alternative, the authors propose latent class analysis (LCA), which does not require an external gold standard to evaluate diagnostic accuracy. METHODS: A binomial model for multiple reader detections using different diagnostic protocols was constructed, assuming conditional independence of readings given true lesion status. Operating characteristics of all protocols were estimated by maximum likelihood LCA. Reader panel and LCA based estimates were compared using data simulated from the binomial model for a range of operating characteristics. LCA was applied to 36 thin section thoracic computed tomography data sets from the Lung Image Database Consortium (LIDC): Free search markings of four radiologists were compared to markings from four different CAD assisted radiologists. For real data, bootstrap-based resampling methods, which accommodate dependence in reader detections, are proposed to test of hypotheses of differences between detection protocols. RESULTS: In simulation studies, reader panel based sensitivity estimates had an average relative bias (ARB) of -23% to -27%, significantly higher (p-value &lt; 0.0001) than LCA (ARB--2% to -6%). Specificity was well estimated by both reader panel (ARB -0.6% to -0.5%) and LCA (ARB 1.4%-0.5%). Among 1145 lesion candidates LIDC considered, LCA estimated sensitivity of reference readers (55%) was significantly lower (p-value 0.006) than CAD assisted readers' (68%). Average false positives per patient for reference readers (0.95) was not significantly lower (p-value 0.28) than CAD assisted readers' (1.27). CONCLUSIONS: Whereas a gold standard based on a consensus of readers may substantially bias sensitivity estimates, LCA may be a significantly more accurate and consistent means for evaluating diagnostic accuracy.",M1
20443473,"Segmentation and quantification of pulmonary artery for noninvasive CT assessment of sickle cell secondary pulmonary hypertension.PURPOSE: Pulmonary arterial hypertension (PAH) is a progressive vascular disease that results in high mortality and morbidity in sickle cell disease (SCD) patients. PAH diagnosis is invasive via right heart catheterization, but manual measurements of the main pulmonary artery (PA) diameters from computed tomography (CT) have shown promise as noninvasive surrogate marker of PAH. The authors propose a semiautomated computer-assisted diagnostic (<e>CAD</e>) tool to quantify the main PA size from pulmonary CT angiography (CTA). METHODS: A follow-up retrospective study investigated the potential of CT and image analysis to quantify the presence of PAH secondary to SCD based on PA size. The authors segmented the main pulmonary arteries using a combination of fast marching level sets and geodesic active contours from smoothed pulmonary CTA images of 20 SCD patients with proven PAH by right heart catheterization and 20 matched negative controls. From the PA segmentation, a Euclidean distance map was calculated and an algorithm based on fast marching methods was used to compute subvoxel precise centerlines of the PA trunk (PT) and main left/right PA (PM). Maximum distentions of PT and PM were automatically quantified using the centerline and validated with manual measurements from two observers. RESULTS: The pulmonary trunk and main were significantly larger (p &lt; 0.001) in PAH/SCD patients (33.73 +/- 3.92 mm for PT and 25.17 +/- 2.90 for PM) than controls (27.03 +/- 2.94 mm for PT and 20.62 +/- 3.06 for PM). The discrepancy was qualitatively improved when vessels' diameters were normalized by body surface area (p &lt; 0.001). The validation of the method showed high correlation (mean R=0.9 for PT and R = 0.91 for PM) and Bland-Altman agreement (0.4 +/- 3.6 mm for PT and 0.5 +/- 2.9 mm for PM) between CAD and manual measurements. Quantification errors were comparable to intraobserver and interobserver variability. CAD measurements between two different users were robust and reproducible with correlations of R = 0.99 for both PT and PM and Bland-Altman agreements of -0.13 +/- 1.33 mm for PT and -0.08 +/- 0.84 mm for PM. CONCLUSION: Results suggest that the semiautomated quantification of pulmonary artery has sufficient accuracy and reproducibility for clinical use. CT with image processing and extraction of PA biomarkers show great potential as a surrogate indicator for diagnosis or quantification of PAH, and could be an important tool for drug discovery and noninvasive clinical surveillance.",M1
20443468,"Increasing computer-aided detection specificity by projection features for CT colonography.PURPOSE: A large number of false positives (FPs) generated by computer-aided detection (<e>CAD</e>) schemes is likely to distract radiologists' attention and decrease their interpretation efficiency. This study aims to develop projection-based features which characterize true and false positives to increase the specificity while maintaining high sensitivity in detecting colonic polyps. METHODS: In this study, two-dimensional projection images are obtained from each initial polyp candidate or volume of interest, and features are extracted from both the gray and color projection images to differentiate FPs from true positives. These projection features were tested to exclude different types of FPs, such as haustral folds, rectal tubes, and residue stool using a database of 325 patient studies (from two different institutions), which includes 556 scans at supine and/or prone positions with 347 polyps and masses sized from 5 to 60 mm. For comparison, several well-established features were used to generate a baseline reference. The experimental evaluation was conducted for large polyps (&gt; or = 10 mm) and medium-sized polyps (5-9 mm) separately. RESULTS: For large polyps, the additional usage of the projection features reduces the FP rate from 5.31 to 1.92 per scan at the comparable by-polyp sensitivity level of 93.1%. For medium-sized polyps, the FP rate is reduced from 8.89 to 5.23 at the sensitivity level of 80.6%. The percentages of FP reduction are 63.9% and 41.2% for the large and medium-sized polyps, respectively, without sacrificing detection sensitivity. CONCLUSIONS: The results have demonstrated that the new projection features can effectively reduce the FPs and increase the detection specificity without sacrificing the sensitivity. CAD of colonic polyps is supposed to help radiologists to improve their performance in interpreting computed tomographic colonography images.",M1
20054985,"Multiclass primal support vector machines for breast density classification.Parenchymal patterns defining the density of breast tissue are detected by advanced correlation pattern recognition in an integrated Computer-Aided Detection (<e>CAD</e>) and diagnosis system. Fractal signatures of density are modelled according to four clinical categories. A Support Vector Machine (SVM) in the primal formulation solves the multiclass problem using 'One-Versus-All' (OVA) and 'All-Versus-All' (AVA) decompositions, achieving 85% and 94% accuracy, respectively. Fully automated classification of breast density via a texture model derived from fractal dimension, dispersion, and lacunarity moves current qualitative methods forward to objective quantitative measures, amenable with the overarching vision of substantiating the role of density in epidemiological risk models of breast cancer.",M1
20043591,"[Application of computer aided diagnosis (<e>CAD</e>) in clinical imaging. Presentation of the value and current directions in CAD development in various imaging techniques based on literature review]Computer aided diagnosis (CAD) is a currently applied computerized analysis of medical images and is widely used as a tool in detection and differential diagnosis of abnormalities in medical imaging. In clinical practice CAD became a very useful implement in various imaging techniques such as mammography, radiography, CT, MRI or diagnostic ultrasound. CAD became also a major research subject in clinical radiology e.g. in detection of pulmonary nodules in chest CT or breast cancer on mammograms. CAD concept, unlike known from 1960s automated computer diagnosis concept (ACD), which is based on computer algorithms only takes into account equally the roles of physician and computer. Current directions in CAD development focus on continuous improvement of overall performance in detection of pathological lesions and assembling CAD schemes as packages implemented as a part of PACS system. The aim of this article is presentation of the concept of computer aided diagnosis, current opportunities of adopting CAD systems into various imaging techniques and new directions in CAD development.",M1
20033597,"Computer-assisted diagnosis of prostate cancer using DCE-MRI data: design, implementation and preliminary results.OBJECTS: We present computer-assisted diagnosis (<e>CAD</e>) software designed to improve prostate cancer detection using perfusion MRI data. METHODS: In addition to standard visualization features, this software allows for the 2D and multislice 2D contouring of suspicious areas based on a seeded region growing algorithm, and area labeling based on zonal anatomy. Tumor volume assessment and the semiquantitative analysis of DCE-MRI sequences can both be performed. We retrospectively analyzed DCE-MRI examinations of 100 patients and found 121 lesions showing a suspiciously high intensity with early enhancement in 84 of them. Seventy-one patients turned out to be malignant, whereas 50 were benign. Based on an analysis of the median wash-in and wash-out values of these foci, we designed a standardized 5-level cancer suspicion score (ranging from  probably benign  to  highly suspicious ). This comprehensive score provides a scaled likelihood of malignancy in the region of interest taking account of its location in relation to prostate zonal anatomy. We compared its accuracy with that of visual assessments of time-intensity curves performed by specialist and non-specialist radiologists. RESULTS: Parameters of the scoring algorithm were designed to provide the greatest possible sensitivity in our sample population. A re-substitution evaluation provided an Se/Sp of 100/45% for peripheral zone cancer, and 100/40% for transition zone cancer characterization. When identifying malignant areas using time-intensity curves data, this simple algorithm performed significantly better (AUC = 0.77) than a non-specialist (AUC = 0.57, P &lt; 0.0001) radiologist, and better than a trained (AUC = 0.70) radiologist, although this difference was not significant. CONCLUSION: Our new prostate MRI CAD software provides a standardized cancer suspicion score for suspicious foci detected in DCE-MRI T1-w images. Our results suggest that it may improve radiologists' performances in prostate cancer identification, especially when they are not specialized in prostate imaging.",M1
20033580,"Computer-aided detection of breast carcinoma in standard mammographic projections with digital mammography.PURPOSE: A retrospective evaluation of the ability of computer-aided detection (<e>CAD</e>) ability to identify breast carcinoma in standard mammographic projections. MATERIALS AND METHODS: Forty-five biopsy proven lesions in 44 patients imaged digitally with CAD applied at examination were reviewed. Forty-four screening BIRADS category 1 digital mammography examinations were randomly identified to serve as a comparative normal/control population. Data included patient age; BIRADS breast density; lesion type, size, and visibility; number, type, and location of CAD marks per image; CAD ability to mark lesions; needle core and surgical pathologic correlation. RESULTS: The CAD lesion/case sensitivity of 87% (n = 39), image sensitivity of 69% (n = 31) for mediolateral oblique view and 78% (n = 35) for the craniocaudal view was found. The average false positive rate in 44 normal screening cases was 2.0 (range 1-8). The 2.0 figure is based on 88 reported false positive CAD marks in 44 normal screening exams: 98% (n = 44) lesions proceeded to excision; initial pathology upgraded at surgical excision from in situ to invasive disease in 24% (n = 9) lesions. CONCLUSION: CAD demonstrated potential to detect mammographically visible cancers in standard projections for all lesion types.",M1
20033579,"Integration of computer-aided diagnosis/detection (<e>CAD</e>) results in a PACS environment using CAD-PACS toolkit and DICOM SR.PURPOSE: Picture Archiving and Communication System (PACS) is a mature technology in health care delivery for daily clinical imaging service and data management. Computer-aided detection and diagnosis (CAD) utilizes computer methods to obtain quantitative measurements from medical images and clinical information to assist clinicians to assess a patient's clinical state more objectively. CAD needs image input and related information from PACS to improve its accuracy; and PACS benefits from CAD results online and available at the PACS workstation as a second reader to assist physicians in the decision making process. Currently, these two technologies remain as two separate independent systems with only minimal system integration. This paper describes a universal method to integrate CAD results with PACS in its daily clinical environment. METHODS: The method is based on Health Level 7 (HL7) and Digital imaging and communications in medicine (DICOM) standards, and Integrating the Healthcare Enterprise (IHE) workflow profiles. In addition, the integration method is Health Insurance Portability and Accountability Act (HIPAA) compliant. SUMMARY: The paper presents (1) the clinical value and advantages of integrating CAD results in a PACS environment, (2) DICOM Structured Reporting formats and some important IHE workflow profiles utilized in the system integration, (3) the methodology using the CAD-PACS integration toolkit, and (4) clinical examples with step-by-step workflows of this integration.",M1
20033498,"Computer-aided diagnosis of lumbar disc pathology from clinical lower spine MRI.PURPOSE: Detection of abnormal discs from clinical T2-weighted MR Images. This aids the radiologist as well as subsequent <e>CAD</e> methods in focusing only on abnormal discs for further diagnosis. Furthermore, it gives a degree of confidence about the abnormality of the intervertebral discs that helps the radiologist in making his decision. MATERIALS AND METHODS: We propose a probabilistic classifier for the detection of abnormality of intervertebral discs. We use three features to label abnormal discs that include appearance, location, and context. We model the abnormal disc appearance with a Gaussian model, the location with a 2D Gaussian model, and the context with a Gaussian model for the distance between abnormal discs. We infer on the middle slice of the T2-weighted MRI volume for each case. These MRI scans are specific for the lumbar area. We obtain our gold standard for the ground truth from our collaborating radiologist group by having the clinical diagnosis report for each case. RESULTS: We achieve over 91% abnormality detection accuracy in a cross-validation experiment with 80 clinical cases. The experiment runs ten rounds; in each round, we randomly leave 30 cases out for testing and we use the other 50 cases for training. CONCLUSION: We achieve high accuracy for detection of abnormal discs using our proposed model that incorporates disc appearance, location, and context. We show the extendability of our proposed model to subsequent diagnosis tasks specific to each intervertebral disc abnormality such as desiccation and herniation.",M1
