@RELATION C0007578_C0178551

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20061033,"Noradrenaline reuptake inhibitors inhibit expression of chemokines IP-10 and RANTES and cell adhesion molecules VCAM-1 and ICAM-1 in the CNS following a systemic inflammatory challenge.Evidence suggests that noradrenaline has a tonic anti-inflammatory action in the central nervous system (CNS) via its ability to inhibit expression of inflammatory mediators from glial cells. Consequently it is suggested that noradrenaline may play an endogenous neuroprotective role in CNS disorders where inflammatory events contribute to pathology. Infiltration of peripheral immune cells into the brain is driven by increased chemokine and cell adhesion molecule (<e>CAM</e>) expression, and is known to exacerbate neuroinflammation and thereby contribute to the disease process in a number of neurodegenerative disease states. Here we demonstrate that treatment of rats with the noradrenaline reuptake inhibitors (NRIs) desipramine and atomoxetine, agents that increase extracellular noradrenaline in the CNS, suppressed chemokine and cell adhesion molecule (CAM) expression in rat brain following a systemic challenge with bacterial lipopolysaccharide (LPS). Specifically, these agents reduced expression of the chemokines, interferon-inducible protein-10 (IP-10, CXCL-10) and regulated upon activation normal T-cell expressed and secreted (RANTES, CCL-5), and the CAMs, vascular cell adhesion molecule-1 (VCAM-1) and intercellular adhesion molecule (ICAM-1) in cortex and hippocampus. The inhibitory action of NRIs on chemokines and CAM expression was mimicked by in vitro exposure of cultured glial cells to noradrenaline, but not to the NRIs themselves. These data indicate that the suppressive action of NRIs on chemokine and CAM expression that occurs in vivo is due to increased noradrenaline availability at glial cells, as opposed to a direct action of the drugs on glial cells per se. These results support the theory that noradrenaline has anti-inflammatory properties, and agents that increase noradrenaline availability in vivo can play a role in combating brain inflammation by reducing expression of chemokines and CAMs; molecules that facilitate leucocyte influx into the CNS.",M1
20052625,"SVEP1 is a novel marker of activated pre-determined skeletal muscle satellite cells.In this study we explored the expression pattern of SVEP1, a novel cell adhesion molecule (<e>CAM</e>), in bona fide satellite cells and their immediate progeny. We show that SVEP1 is expressed in activated satellite cells prior to their determination to the myogenic lineage. SVEP1 was also expressed during early phases of myogenic differentiation through the initial stage of myoblast fusion and myotube formation. The expression of SVEP1 was shown by immunostaining two cell culture systems: freshly isolated myofibers and primary myoblasts. Pax7 was used to pinpoint satellite cells situated in their niche on myofibers, and activated satellite cells were determined based on BrdU incorporation (Pax7(+)/BrdU(+)cells). MyoD marked satellite cells fated to undergo myogenesis as well as proliferating and differentiating myoblasts. Differentiating myoblasts and myotubes were identified based on their sarcomeric myosin expression. We showed that SVEP1 was specifically expressed in pre-determined activated satellite cells (Pax7(+)/ BrdU(+) /MyoD(-)) accounting for about 24% of total satellite cells. On the other hand, SVEP1 expression was absent in quiescent satellite cells (Pax7(+)/BrdU(-)/MyoD(-)). Moreover, based on MyoD/sarcomeric myosin co-expression SVEP1 was shown to be expressed throughout the early phases of myogenesis up until myoblast fusion and myotube formation. A decline in SVEP1 expression occurred upon myotube maturation. We suggest SVEP1 as a potential biomarker for pre-fated satellite cells. The impact of this finding is that it may allow scrutinizing signals that affect differentiation commitment. Thus, holds a therapeutic potential for maladies that involve deregulated stem cell fate-decision.",M1
19948502,"The CEACAM1 N-terminal Ig domain mediates cis- and trans-binding and is essential for allosteric rearrangements of CEACAM1 microclusters.Cell adhesion molecules (<e>CAMs</e>) sense the extracellular microenvironment and transmit signals to the intracellular compartment. In this investigation, we addressed the mechanism of signal generation by ectodomains of single-pass transmembrane homophilic CAMs. We analyzed the structure and homophilic interactions of carcinoembryonic antigen (CEA)-related CAM 1 (CEACAM1), which regulates cell proliferation, apoptosis, motility, morphogenesis, and microbial responses. Soluble and membrane-attached CEACAM1 ectodomains were investigated by surface plasmon resonance-based biosensor analysis, molecular electron tomography, and chemical cross-linking. The CEACAM1 ectodomain, which is composed of four glycosylated immunoglobulin-like (Ig) domains, is highly flexible and participates in both antiparallel (trans) and parallel (cis) homophilic binding. Membrane-attached CEACAM1 ectodomains form microclusters in which all four Ig domains participate. Trans-binding between the N-terminal Ig domains increases formation of CEACAM1 cis-dimers and changes CEACAM1 interactions within the microclusters. These data suggest that CEACAM1 transmembrane signaling is initiated by adhesion-regulated changes of cis-interactions that are transmitted to the inner phase of the plasma membrane.",M1
19807155,"Acteoside and 6-O-acetylacteoside downregulate cell adhesion molecules induced by IL-1beta through inhibition of ERK and JNK in human vascular endothelial cells.Acteoside, an active phenylethanoid glycoside of many medicinal plants and bitter tea, displays anti-inflammatory properties in vitro. However, it is unclear whether acteoside and similar compounds may inhibit the expression of cell adhesion molecules (<e>CAMs</e>), which plays a role in the pathogenesis of atherosclerosis and inflammation. Here, we found that acteoside, isoacteoside, and 6-O-acetylacteoside inhibited IL-1beta-activated expression of intercellular CAM-1 (ICAM-1) and vascular CAM-1 (VCAM-1) in human umbilical vein endothelial cells (HUVECs); the inhibitory potency was as follows: 6-O-acetylacteoside &gt; acteoside &gt; isoacteoside. Acteoside and 6-O-acetylacteoside also dose-dependently inhibited VCAM-1 gene promoter activity in IL-1beta-activated HUVECs. The inhibition of acteoside and 6-O-acetylacteoside on IL-1beta-activated expression of CAMs was manifested by decreased phosphorylation of extracellular signal-regulated kinase (ERK) and c-Jun N-terminal kinase (JNK). These results indicate that acteoside and 6-O-acetylacteoside may exert anti-inflammatory activities in vascular endothelium by inhibiting the expression of CAMs, primarily through decreased phosphorylation of ERK and JNK.",M1
19759376,"Differential associations between soluble cellular adhesion molecules and atherosclerosis in the Dallas Heart Study: a distinct role for soluble endothelial cell-selective adhesion molecule.OBJECTIVE: Endothelial cell-selective adhesion molecule (ESAM) is a junctional-type cellular adhesion molecule (<e>CAM</e>) that is uniquely expressed in vascular endothelium and activated platelets and mediates neutrophil and monocyte diapedesis across the endothelium. Given its role in endothelial pathobiology, we hypothesized that soluble ESAM (sESAM) would be independently associated with atherosclerosis and vascular stiffness. METHODS AND RESULTS: We measured sESAM, soluble intercellular adhesion molecule (sICAM)-1, and soluble vascular cell adhesion molecule (sVCAM)-1 in 3222 subjects participating in the Dallas Heart Study, a probability-based population sample. Coronary artery calcium (CAC) was measured by electron beam computed tomography, and abdominal aortic wall thickness (AWT), aortic plaque burden (APB), and aortic compliance (AC) by MRI. Increasing levels of sESAM were associated with all major cardiovascular risk factors as well as with inflammatory markers such as monocyte chemoattractant protein-1, but only weakly correlated with sICAM-1 and sVCAM-1. In multivariate analyses, sESAM was independently associated with prevalent CAC (OR 1.2 per SD increase, 95% CI 1.1 to 1.3; P=0.005), AWT (P=0.035), and AC (P=0.006), but not APB (P=0.15). In contrast, no independent associations were observed between sICAM-1 or sVCAM-1 and any of the atherosclerosis phenotypes. CONCLUSIONS: In this first reported clinical study of sESAM in humans, sESAM levels were independently associated with CAC, AWT, and AC, whereas sICAM-1 and sVCAM-1 were not. These findings support a unique role of this cellular adhesion molecule in atherosclerosis and suggest the need for further exploration of sESAM as a predictive biomarker and potential mediator of atherosclerosis.",M1
19596049,"The voltage-gated Na+ channel beta3 subunit does not mediate trans homophilic cell adhesion or associate with the cell adhesion molecule contactin.Voltage-gated Na(+) channel (VGSC) beta1 and beta2 subunits are multifunctional, serving as both channel modulators and cell adhesion molecules (<e>CAMs</e>). The purpose of this study was to determine whether VGSC beta3 subunits function as CAMs. The beta3 extracellular domain is highly homologous to beta1, suggesting that beta3 may also be a functional CAM. We investigated the trans homophilic cell adhesive properties of beta3, its association with the beta1-interacting CAM contactin, as well as its ability to interact with the cytoskeletal protein ankyrin. Our results demonstrate that, unlike beta1, beta3 does not participate in trans homophilic cell-cell adhesion or associate with contactin. Further, beta3 does not associate with ankyrin(G) in a heterologous system. Previous studies have shown that beta3 interacts with the CAM neurofascin-186 but not with VGSC beta1. Taken together, these findings suggest that, although beta1 and beta3 exhibit similar channel modulatory properties in heterologous systems, these subunits differ with regard to their homophilic and heterophilic CAM binding profiles.",M1
19589539,"Perioperative iloprost and endothelial progenitor cells in uremic patients with severe limb ischemia undergoing peripheral revascularization.The incidence of severe limb ischemia (SLI) is high among haemodialysis (HD) patients. Limb rescue rate after surgical revascularization is relatively poor compared with patients with normal renal function. Prostanoids are an interesting category as adjuvants to revascularization. New vessel growth develops not exclusively by proliferation of endothelial cells in vascular extremities but also by cells mobilized from the bone marrow (HSC), transformed into endothelial progenitor cells (EPC) contributing to both re-endothelialization and neovascularization. Basal number of HSC and EPC is significantly reduced in HD patients and correlated with a subsequent defective neovascularization. The aim of this study was to evaluate the effects of perioperative treatment with iloprost in uremic patients with acute ischemia of lower limbs, undergoing surgical revascularization, on endothelial progenitor cells, hypothesizing a possible biological mechanism induced by the prostanoids. A search was also made for vascular remodeling processes through the analysis of the concentrations of soluble adhesion molecules (i-<e>CAM</e>, v-CAM, e-selectin), biochemical markers of endothelial activation. Thirty HD patients with SLI undergoing peripheral revascularization were enrolled (15 were treated with iloprost and 15 with a placebo). Iloprost was administered as an intra-arterial bolus of 3000 ng over 1 to 3 min immediately after revascularization and in the same affected artery. Serum samples were taken before revascularization (T0), at 6 (T6) and 24 h (T24) after infusion to measure sICAM-1, sE-selectin, and sVCAM-1, and for quantification of HSC and EPC. Progenitors were identified by specific surface markers CD34+, CD133+ and VEGFR2+. Count was conducted using PROCOUNT performed in a TRUCOUNT tube and with a FACSort flow cytometer. Before revascularization, all patients showed a decreased number of HSC and EPC. After 6 h, HSC augmented significantly compared with T0 in both groups. The iloprost group attained a significant increase compared with the placebo group. HSC levels reduced drastically at T24. EPC augmented significantly compared with basal level after 24 h. In the iloprost group, the increase was considerable compared with the placebo group. A close negative correlation, assessed by Pearson coefficient (r), was found between HSC and EPC at T24 in the iloprost group (R = 0.82 P &lt; 0.01). Adhesion molecules had increased levels at T6 and T24 in both groups. Moreover, a close positive correlation, assessed by Pearson coefficient, was found between EPC and adhesion molecules in both groups but the iloprost group maintained a better statistical association. Revascularization stimulated HSC and EPC release from bone marrow but at a different time: HSC increased suddenly at 6 h and diminished to a minimal amount at T24, conversely, EPC increased significantly only at T24. Iloprost treatment was able to amplify this mechanism validating recent findings (North TE et al., [31]). Adhesion molecules as markers of endothelial activation and vascular development confirmed this tendency.",M1
19574774,"Overexpression of epithelial cell adhesion molecule in primary, metastatic, and recurrent/chemotherapy-resistant epithelial ovarian cancer: implications for epithelial cell adhesion molecule-specific immunotherapy.To evaluate the potential of epithelial cell adhesion molecule (Ep-<e>CAM</e>/TROP-1)-specific immunotherapy against epithelial ovarian carcinomas (EOCs), we have analyzed the expression of Ep-CAM at RNA and protein level in patients harboring primary, metastatic, and chemotherapy-resistant/recurrent EOC. Epithelial cell adhesion molecule expression was evaluated by real-time polymerase chain reaction and immunohistochemistry in 168 fresh-frozen biopsies and paraffin-embedded tissues. In addition, Ep-CAM surface expression was evaluated by flow cytometry in several freshly established ovarian carcinoma cell lines derived from patients harboring tumors resistant to chemotherapy in vivo as well as in vitro. Epithelial cell adhesion molecule transcript was found significantly overexpressed in primary, metastatic, and recurrent EOC when compared with normal human ovarian surface epithelium cell lines and fresh-frozen normal ovarian tissue (P &lt; 0.001). Similarly, by immunohistochemistry, Ep-CAM protein expression was found significantly higher in primary, metastatic, and recurrent EOC when compared with normal ovarian tissues. Of interest, metastatic/recurrent tumors were found to express significantly higher levels of Ep-CAM protein when compared with primary ovarian carcinomas (P &lt; 0.001). Finally, a high surface expression of Ep-CAM was found in 100% (5/5) of the chemotherapy-resistant ovarian carcinoma cell lines studied by flow cytometry. These results demonstrate high Ep-CAM overexpression in ovarian carcinoma, especially in metastatic and recurrent/chemotherapy-resistant ovarian disease. The lack of Ep-CAM expression on the chelomic epithelium in the peritoneal cavity, combined with the recent development of fully human monoclonal antibodies against this surface molecule, suggest Ep-CAM as a promising target for antibody-mediated therapies in ovarian carcinoma patients harboring tumors refractory to standard treatment modalities.",M1
19524419,"Budlein A from Viguiera robusta inhibits leukocyte-endothelial cell interactions, adhesion molecule expression and inflammatory mediators release.Budlein A has been reported to exert some analgesic and anti-inflammatory properties. In this study, we have evaluated its effect on LPS-induced leukocyte recruitment in vivo and the mechanisms involved in its anti-inflammatory activity. In vivo, intravital videomicroscopy was used to determine the effects of budlein A on LPS-induced leukocyte-endothelial cell interactions in the murine cremasteric microcirculation. In vitro, the effects of budlein A on LPS-induced cytokine, chemokine and nitrites release, T-cell proliferative response as well as cell adhesion molecule expression (<e>CAM</e>) were evaluated. In vivo, intraperitoneal administration of budlein A (2.6 mM/kg) caused a significant reduction of LPS-induced leukocyte rolling flux, adhesion and emigration by 84, 92 and 96% respectively. In vitro, T-cell proliferative response was also affected by budlein A. When murine J774 macrophages were incubated with the sesquiterpene lactone, LPS-induced IL-1beta, tumor necrosis factor-alpha (TNF-alpha) and keratinocyte-derived chemokine (KC) release were concentration-dependently inhibited. In human umbilical vein endothelial cells (HUVECs), budlein A also reduced the production of TNF-alpha, monocyte chemoattractant protein-1 (MCP-1), IL-8, nitrites and CAM expression elicited by LPS. Budlein A is a potent inhibitor of LPS-induced leukocyte accumulation in vivo. This effect appears to be mediated through inhibition of cytokine and chemokine release and down-regulation of CAM expression. Thus, it has potential therapeutic interest for the control of leukocyte recruitment that occurs in different inflammatory disorders.",M1
19482088,"The functional role of cell adhesion molecules in tumor angiogenesis.Cell adhesion molecules (<e>CAMs</e>) are cell surface glycoproteins that mediate the physical interactions between adjacent cells and between cells and the surrounding extracellular matrix. CAMs belong to different protein families, depending on their structural and functional properties. Furthermore, the expression of certain CAMs under physiological conditions is restricted to specific cell types. Besides playing a key homeostatic role in maintaining the architecture of quiescent tissues, CAMs have also to adapt to the microenvironmental changes that occur during certain physiological and pathological processes. This is best exemplified by cancer vascularization, where the expression and function of vascular CAMs are dynamically regulated in response to tissue alterations induced by tumor growth as well as by changes in the surrounding stroma. This enables endothelial cells (ECs) to leave the quiescent state and re-enter the angiogenic cascade. The latter is a multistep process carried out by different types of specialized ECs. This review describes the actual or supposed function of the various CAM subsets in the sequential series of events that underlie vascular changes during tumor angiogenesis. Notably, elucidating the mechanism of action of endothelial CAMs in cancer vasculature is expected to open new therapeutic avenues aimed at interfering with tumor growth and dissemination.",M1
