@RELATION C0209338_C0007022

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20112395,"Tumor necrosis factor neutralization results in disseminated disease in acute and latent Mycobacterium tuberculosis infection with normal granuloma structure in a cynomolgus macaque model.OBJECTIVE: An increased risk of tuberculosis has been documented in humans treated with tumor necrosis factor alpha (TNFalpha)-neutralizing agents. In murine models, impaired signaling by TNF causes exacerbation of both acute and chronic infection associated with aberrant granuloma formation and maintenance. This study was undertaken to investigate immune modulation in the setting of TNF neutralization in primary and latent tuberculosis in a non-human primate model. METHODS: Cynomolgus macaques 4 years of age or older were infected with Mycobacterium tuberculosis and subjected to clinical, microbiologic, immunologic, and radiographic examinations. Monkeys were classified as having active or latent disease 6-8 months after infection, based on clinical criteria. Monkeys used in acute infection studies were randomized to receive either adalimumab (prior to and during infection) or no treatment. Monkeys with latent infection that were randomized to receive TNF-neutralizing agent were given either an inhibitor of soluble TNF, recombinant methionyl human soluble TNF receptor I (p55-TNFRI), or adalimumab. Control monkeys with latent infection were given no treatment or saline. Data from previously studied monkeys with active or latent disease were also used for comparison. RESULTS: Administration of TNF-neutralizing agents prior to M tuberculosis infection resulted in fulminant and disseminated disease by 8 weeks after infection. Neutralization of TNF in latently infected cynomolgus macaques caused reactivation in a majority of animals as determined by gross pathologic examination and bacterial burden. A spectrum of dissemination was noted, including extrapulmonary disease. Surprisingly, monkeys that developed primary and reactivation tuberculosis after TNF neutralization had similar granuloma structure and composition to that of control monkeys with active disease. TNF neutralization was associated with increased levels of interleukin-12, decreased levels of <e>CCL4</e>, increased chemokine receptor expression, and reduced mycobacteria-induced interferon-gamma production in blood but not in the affected mediastinal lymph nodes. Finally, the first signs of reactivation often occurred in thoracic lymph nodes. CONCLUSION: These findings have important clinical implications for determining the mechanism of TNF neutralization-related tuberculosis.",M1
20046229,"Fat-storing multilocular cells expressing CCR5 increase in the thymus with advancing age: potential role for CCR5 ligands on the differentiation and migration of preadipocytes.Age-associated thymic involution is characterized by decreased thymopoiesis, adipocyte deposition and changes in the expression of various thymic microenvironmental factors. In this work, we characterized the distribution of fat-storing cells within the aging thymus. We found an increase of unilocular adipocytes, ERTR7(+) and CCR5(+ )fat-storing multilocular cells in the thymic septa and parenchymal regions, thus suggesting that mesenchymal cells could be immigrating and differentiating in the aging thymus. We verified that the expression of CCR5 and its ligands, CCL3, <e>CCL4</e> and CCL5, were increased in the thymus with age. Hypothesizing that the increased expression of chemokines and the CCR5 receptor may play a role in adipocyte recruitment and/or differentiation within the aging thymus, we examined the potential role for CCR5 signaling on adipocyte physiology using 3T3-L1 pre-adipocyte cell line. Increased expression of the adipocyte differentiation markers, PPARgamma2 and aP2 in 3T3-L1 cells was observed under treatment with CCR5 ligands. Moreover, 3T3-L1 cells demonstrated an ability to migrate in vitro in response to CCR5 ligands. We believe that the increased presence of fat-storing cells expressing CCR5 within the aging thymus strongly suggests that these cells may be an active component of the thymic stromal cell compartment in the physiology of thymic aging. Moreover, we found that adipocyte differentiation appear to be influenced by the proinflammatory chemokines, CCL3, CCL4 and CCL5.",M1
19917679,"CCR5 ligands modulate CXCL12-induced chemotaxis, adhesion, and Akt phosphorylation of human cord blood CD34+ cells.CXCL12 and its receptor CXCR4 play an important role in hematopoietic stem/progenitor cell (HSPC) migration from and retention within the bone marrow. HSPCs are very selective in their chemotactic response and undergo chemotaxis only in response to CXCL12. In addition to CXCR4, HSPCs express receptors for various other chemokines; however, the role of these receptors is not well understood. Freshly isolated CD34(+) cells (highly enriched for HSPCs) from cord blood (CB) express low levels of CCR5; however, if the cells were washed with acidic buffer before Ab staining to remove any ligand bound to CCR5, then nearly 80% of CD34(+) CB cells were found to express CCR5 on the cell surface. Although none of the CCR5 ligands investigated in this study (CCL3, <e>CCL4</e>, and CCL5) induced chemotaxis, at relatively high concentrations they transiently enhanced CXCL12-mediated chemotaxis of CD34(+) CB cells. In contrast, CXCL12-mediated adhesion of cells to VCAM-1-coated surfaces was reduced if CD34(+) CB cells were pretreated with these CCR5 ligands for 15 min. The effect of these chemokines on CXCL12-mediated responses was not at the level of CXCR4 expression, but on downstream signaling pathways elicited by CXCL12. Pretreatment with CCR5 chemokines enhanced CXCL12-mediated Akt phosphorylation, but down-modulated calcium flux in CD34(+) CB cells. Modulation of CXCL12-mediated responses of CD34(+) cells by CCR5 chemokines provides a possible mechanism that underlies movement of HSPCs during inflammation.",M1
19898927,"Chemokine expression patterns in the systemic and genital tract compartments are associated with HIV-1 infection in women from Benin.INTRODUCTION: Understanding the genital mucosal immunity and the factors involved in linking innate to adaptive immunity is crucial for the design of efficient preventive strategies against human immunodeficiency virus (HIV)-1. METHODS: Levels of both genital mucosal and blood chemokines were compared between 58 HIV-1-uninfected and 50 HIV-1-infected female commercial sex workers (CSWs) as well as 53 HIV-1-uninfected non-CSW control women at low risk for exposure, recruited in Cotonou, Benin. RESULTS: HIV-1-infected CSWs had significantly higher blood and genital levels of monocyte chemotactic protein (MCP-3/CCL7) and monokine induced by gamma interferon (MIG/CXCL9) compared with those in both the HIV-1-uninfected CSW and non-CSW groups. In the HIV-1-infected group, levels of MCP-3 and MIG were significantly higher in the genital mucosa than in the blood. However, the blood levels of macrophage inflammatory protein (MIP-1a/CCL3) and MIP-1b/<e>CCL4</e> were higher in HIV-1-uninfected CSWs compared with those in the other groups. CONCLUSION: Increased production of chemokines in the genital tract may favour the recruitment of HIV-1 target cells causing a mucosal environment that promotes viral replication and dissemination, whereas higher expression of beta-chemokines at the systemic level is associated with protection from HIV-1 infection.",M1
19841162,"FROUNT is a common regulator of CCR2 and CCR5 signaling to control directional migration.FROUNT is a known CCR2-binding protein that facilitates monocyte/macrophage infiltration. Here we report that FROUNT also binds to the C-terminal region of CCR5 and enhances CCR5-mediated cellular chemotaxis. We show that FROUNT overexpression enhances the directionality of chemotaxis, while FROUNT suppression results in impaired responsiveness. Furthermore, we found an increase in consolidated pseudopodium formation in FROUNT-overexpressing cells (FNT cells) on uniform stimulation with <e>CCL4</e> (MIP1-beta), a specific ligand of CCR5. In most FNT cells, one to two pseudopodia directed toward higher chemokine concentration were found, whereas most FNT-suppressed cells had multiple pseudopodia. The data indicate that FROUNT is involved in sensing and amplifying a shallow extracellular chemokine gradient that leads to a limited number of accurate pseudopodia directed toward the chemokine concentration. In addition to its separate roles in CCR2- and CCR5-mediated chemotaxis, FROUNT, as a common regulator of these receptors, possibly plays a crucial role in the recruitment of immune cells expressing these receptors.",M1
19735274,"Influence of early gut microbiota on the maturation of childhood mucosal and systemic immune responses.INTRODUCTION: Among sensitized infants, those with high, as compared with low levels, of salivary secretory IgA (SIgA) are less likely to develop allergic symptoms. Also, early colonization with certain gut microbiota, e.g. Lactobacilli and Bifidobacterium species, might be associated with less allergy development. Although animal and in vitro studies emphasize the role of the commensal gut microbiota in the development of the immune system, the influence of the gut microbiota on immune development in infants is unclear. OBJECTIVE: To assess whether early colonization with certain gut microbiota species associates with mucosal and systemic immune responses i.e. salivary SIgA and the spontaneous Toll-like receptor (TLR) 2 and TLR4 mRNA expression and lipopolysaccharide (LPS)-induced cytokine/chemokine responses in peripheral blood mononuclear cells (PBMCs). METHODS: Fecal samples were collected at 1 week, 1 month and 2 months after birth from 64 Swedish infants, followed prospectively up to 5 years of age. Bacterial DNA was analysed with real-time PCR using primers binding to Clostridium difficile, four species of bifidobacteria, two lactobacilli groups and Bacteroides fragilis. Saliva was collected at age 6 and 12 months and at 2 and 5 years and SIgA was measured with ELISA. The PBMCs, collected 12 months after birth, were analysed for TLR2 and TLR4 mRNA expression with real-time PCR. Further, the PBMCs were stimulated with LPS, and cytokine/chemokine responses were measured with Luminex. RESULTS: The number of Bifidobacterium species in the early fecal samples correlated significantly with the total levels of salivary SIgA at 6 months. Early colonization with Bifidobacterium species, lactobacilli groups or C. difficile did not influence TLR2 and TLR4 expression in PBMCs. However, PBMCs from infants colonized early with high amounts of Bacteroides fragilis expressed lower levels of TLR4 mRNA spontaneously. Furthermore, LPS-induced production of inflammatory cytokines and chemokines, e.g. IL-6 and <e>CCL4</e> (MIP-1 beta), was inversely correlated to the relative amounts of Bacteroides fragilis in the early fecal samples. CONCLUSION: Bifidobacterial diversity may enhance the maturation of the mucosal SIgA system and early intense colonization with Bacteroides fragilis might down-regulate LPS responsiveness in infancy.",M1
19664723,"Coxsackievirus B3 infection promotes generation of myeloid dendritic cells from bone marrow and accumulation in the myocardium.Myocarditis is associated with increased number of CD4+ T cells in the myocardium after coxsackievirus B3 (CVB3) infection. Previous studies show that CD11c+ myeloid dendritic cells (mDC) loaded with myosin could induce myocarditis. This study aims to investigate the generation and accumulation of mDC in CVB3-induced myocarditis. The presence of mDC in myocardium was detected by immunohistochemisty. Bone marrow-derived mDC were generated from uninfected and CVB3-infected mice. The percentage of CD11c+ mDC on cultured cells and mean fluorescence index (MFI) of double positive cells (CD11c+CD40+, CD11c+CD80+) were measured by flow cytometry. The expression of chemokine receptors (CCR5, CCR7) on mDC and chemokines (<e>CCL4</e>, CCL19) in the myocardium was detected. The migration of mDC in response to CCL4 or CCL19 was measured by chemotaxis assay. Mature mDC were elevated in the myocardium from CVB3-infected mice. The percentage of mDC generated from CVB3-infected group was increased. The MFI of CD11c+CD40+ and CD11c+CD80+ was increased in CVB3-infected group. The mDC showed a down-regulation of CCR5 and unaffected CCR7 mRAN levels associated with elevated CCL4 and CCL19 in the myocardium in CVB3-infected group. Numbers of migrating bone marrow-derived mDC from CVB3-infected mice were increased in vitro. We conclude that CVB3 infection induced the greater generation of mDC from bone marrow and accumulation of mature mDC in myocardial tissues. This migration was associated with increased levels of both CCL4 and CCL19 in the heart tissue. These suggest that blocking the migration of mDC may provide a novel therapy for myocarditis.",M1
19620252,"An arrestin-dependent multi-kinase signaling complex mediates MIP-1beta/<e>CCL4</e> signaling and chemotaxis of primary human macrophages.MIP-1beta/CCL4 is a principal regulator of macrophage migration and signals through CCR5. Several protein kinases are linked to CCR5 in macrophages including the src kinase Lyn, PI3K, focal adhesion related kinase Pyk2, and members of the MAPK family, but whether and how these kinases regulate macrophage chemotaxis are not known. To define the role of these signaling molecules, we examined the functions and interactions of endogenous proteins in primary human macrophages. Using siRNA gene silencing and pharmacologic inhibition, we show that chemotaxis in response to CCR5 stimulation by MIP-1beta requires activation of Pyk2, PI3K p85, and Lyn, as well as MAPK ERK. MIP-1beta activation of CCR5 triggered translocation of Pyk2 and PI3K p85 from the cytoplasm to colocalize with Lyn at the plasma membrane with formation of a multimolecular complex. We show further that arrestins were recruited into the complex, and arrestin down-regulation impaired complex formation and macrophage chemotaxis toward MIP-1beta. Together, these results identify a novel mechanism of chemokine receptor regulation of chemotaxis and suggest that arrestins may serve as scaffolding proteins linking CCR5 to multiple downstream signaling molecules in a biologically important primary human cell type.",M1
19491390,"B-cell antigen receptor signaling enhances chronic lymphocytic leukemia cell migration and survival: specific targeting with a novel spleen tyrosine kinase inhibitor, R406.Antigenic stimulation through the B-cell antigen receptor (BCR) is considered to promote the expansion of chronic lymphocytic leukemia (CLL) B cells. The spleen tyrosine kinase (Syk), a key component of BCR signaling, can be blocked by R406, a small-molecule Syk inhibitor, that displayed activity in CLL patients in a first clinical trial. In this study, we investigated the effects of BCR stimulation and R406 on CLL cell survival and migration. The prosurvival effects promoted by anti-IgM stimulation and nurselike cells were abrogated by R406. BCR triggering up-regulated adhesion molecules, and increased CLL cell migration toward the chemokines CXCL12 and CXCL13. BCR activation also enhanced CLL cell migration beneath marrow stromal cells. These responses were blocked by R406, which furthermore abrogated BCR-dependent secretion of T-cell chemokines (CCL3 and <e>CCL4</e>) by CLL cells. Finally, R406 inhibited constitutive and BCR-induced activation of Syk, extracellular signal-regulated kinases, and AKT, and blocked BCR-induced calcium mobilization. These findings suggest that BCR activation favors CLL cell homing, retention, and survival in tissue microenvironments. R406 effectively blocks these BCR-dependent responses in CLL cells, providing an explanation for the activity of R406 in patients with CLL.",M1
19479036,"CD152 (CTLA-4) determines CD4 T cell migration in vitro and in vivo.BACKGROUND: Migration of antigen-experienced T cells to secondary lymphoid organs and the site of antigenic-challenge is a mandatory prerequisite for the precise functioning of adaptive immune responses. The surface molecule CD152 (CTLA-4) is mostly considered as a negative regulator of T cell activation during immune responses. It is currently unknown whether CD152 can also influence chemokine-driven T cell migration. METHODOLOGY/PRINCIPAL FINDINGS: We analyzed the consequences of CD152 signaling on Th cell migration using chemotaxis assays in vitro and radioactive cell tracking in vivo. We show here that the genetic and serological inactivation of CD152 in Th1 cells reduced migration towards <e>CCL4</e>, CXCL12 and CCL19, but not CXCL9, in a G-protein dependent manner. In addition, retroviral transduction of CD152 cDNA into CD152 negative cells restored Th1 cell migration. Crosslinking of CD152 together with CD3 and CD28 stimulation on activated Th1 cells increased expression of the chemokine receptors CCR5 and CCR7, which in turn enhanced cell migration. Using sensitive liposome technology, we show that mature dendritic cells but not activated B cells were potent at inducing surface CD152 expression and the CD152-mediated migration-enhancing signals. Importantly, migration of CD152 positive Th1 lymphocytes in in vivo experiments increased more than 200% as compared to CD152 negative counterparts showing that indeed CD152 orchestrates specific migration of selected Th1 cells to sites of inflammation and antigenic challenge in vivo. CONCLUSIONS/SIGNIFICANCE: We show here, that CD152 signaling does not just silence cells, but selects individual ones for migration. This novel activity of CD152 adds to the already significant role of CD152 in controlling peripheral immune responses by allowing T cells to localize correctly during infection. It also suggests that interference with CD152 signaling provides a tool for altering the cellular composition at sites of inflammation and antigenic challenge.",M1
