@RELATION C0092801_C0002876

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
19890907,"Cytoreductive therapy in 108 adults with systemic mastocytosis: Outcome analysis and response prediction during treatment with interferon-alpha, hydroxyurea, imatinib mesylate or 2-chlorodeoxyadenosine.Cytoreductive therapy in systemic mastocytosis (SM) includes several drugs whose individual merit has not been well characterized. We retrospectively studied 108 Mayo Clinic patients who met the 2008 WHO diagnostic criteria for SM and received at least one cytoreductive drug. The numbers of patients who were evaluable for response to treatment with interferon-alpha with or without prednisone (IFN-alpha), hydroxyurea (HU), imatinib mesylate (IM) or 2-chlorodeoxyadenosine (2-<e>CdA</e>) were 40, 26, 22, and 22, respectively. The corresponding overall (major) response rates, according to recently published consensus criteria, were 53% (18%), 19% (0%), 18% (9%), and 55% (37%). The respective overall response rates in indolent SM, aggressive SM and SM associated with another clonal hematological nonmast cell lineage disease (SM-AHNMD) were 60%, 60%, 45% for IFN-alpha, 0, 0, 21% for HU, 14%, 50%, 9% for IM and 56%, 50%, 55% for 2-CdA. The absence of mast cell mediator release symptoms in IFN-alpha-treated patients and presence of circulating immature myeloid cells in 2-CdA-treated patients predicted inferior response. TET2 mutational status did not influence treatment response. Although the major response rates with these four cytoreductive agents were still suboptimal and HU was mainly used in patients with SM-AHNMD, the current study favors 2-CdA or IFN-alpha as first-line current therapy in SM and identifies patients who are likely to respond to such therapy.",M1
19764992,"Impaired up-regulation of polo-like kinase 2 in B-cell chronic lymphocytic leukaemia lymphocytes resistant to fludarabine and 2-chlorodeoxyadenosine: a potential marker of defective damage response.The functional evaluation of ataxia telangiectasia mutated (ATM) and p53 was recently developed in B-cell chronic lymphocytic leukaemia (B-CLL), a disease in which the response to DNA damage is frequently altered. We identified a novel biomarker of chemosensitivity based on the induction of DNA damage by the purine nucleoside analogues (PNA) fludarabine and 2-chlorodeoxyadenosine (<e>CdA</e>). Using genome-wide expression profiling, it was observed that, in chemosensitive samples, PNA predominantly increased the expression of p53-dependent genes, among which PLK2 was the most highly activated at early time points. Conversely, in chemoresistant samples, p53-dependent and PLK2 responses were abolished. Using a quantitative real time polymerase chain reaction, we confirmed that PNA dose- and time-dependently increased PLK2 expression in chemosensitive but not chemoresistant B-CLL samples. Analysis of a larger cohort of B-CLL patients showed that cytotoxicity induced by PNA correlated well with PLK2 mRNA induction. Interestingly, we observed that failure to up-regulate PLK2 following PNA and chemoresistance were not strictly correlated with structural alterations in the TP53 gene. In conclusion, we propose that testing PLK2 activation after a 24-h incubation with PNA could be used to investigate the functional integrity of DNA damage-response pathways in B-CLL cells, and predict clinical sensitivity to these drugs.",M1
19647871,"Expression of the human concentrative nucleotide transporter 1 (hCNT1) gene correlates with clinical response in patients affected by Waldenström's Macroglobulinemia (WM) and small lymphocytic lymphoma (SLL) undergoing a combination treatment with 2-chloro-2'-deoxyadenosine (2-<e>CdA</e>) and Rituximab.PURPOSE: Resistance to nucleoside analogues agents is likely to be multifactorial and could involve a number of mechanisms affecting drug penetration, metabolism and targeting. In vitro studies of resistant human cell lines have confirmed that human concentrative nucleoside transporter 1 (hCNT1)-deficient cells display resistance. EXPERIMENTAL DESIGN: We applied real-time PCR method to assess the mRNA expression of equilibrative and concentrative nucleoside transporter (hENT1, hCNT1), deoxycytidine and deoxyguanosine kinase (dCK, dGK), 5'-nucleotidase (5'-NT), ribonucleotide reductase catalytic and regulatory (RR1, RR2) subunits in bone marrow cells from 32 patients with Waldenström's Macroglobulinemia (WM) and small lymphocytic lymphoma (SLL) who received 2CdA-based chemotherapy. Responses to chemotherapy, were then correlated to the expression of these markers. RESULTS: All 32 patients enrolled expressed lower levels of hCNT1 as compared to healthy donors. In univariate analysis, lower expression level of hCNT1 (p=0.0021) and RR2 (p=0.02) correlated with response to chemotherapy. In particular, patients with low levels of hCNT1 achieved inferior clinical response. No significant correlation between these genes expression and age, stage of disease was found. This study suggests that nucleotidase expression levels can be used to identify subgroups of WM and SLL patients who will likely respond differently to a 2CdA-based therapy.",M1
19125089,"Treatment of refractory Langerhans cell histiocytosis (LCH) with a combination of 2-chlorodeoxyadenosine and cytosine arabinoside.The combination of 2-chlorodeoxyadenosine (2-<e>CDA</e>) and cytosine arabinoside (Ara-C) has been shown to be effective in children with refractory Langerhans cell histiocytosis (LCH). We have treated 5 patients with recurrent LCH with 2-CDA/Ara-C chemotherapy and closely followed immune and hematopoietic function. These patients display a decline in the absolute CD4, CD8, and natural killer cell number, decrease in the CD4/CD8 ratio. Septic events, including pneumocystis infection were present after most of the treatment courses (15/21). These data suggest that 2-CDA /Ara-C, should be considered in resistant and relapsed pediatric patients with LCH with high-risk multiorgan involvement. Consequent profound prolonged combined immune deficiency and myelosupression should be anticipated.",M1
19025975,"Activity of cladribine combined with cyclophosphamide in frontline therapy for chronic lymphocytic leukemia with 17p13.1/TP53 deletion: report from the Polish Adult Leukemia Group.BACKGROUND: The 17p13.1 deletion that causes loss of the p53-encoding TP53 gene is the most powerful predictor of a poor response to conventional therapy and shortened survival in patients with chronic lymphocytic leukemia (CLL). The results of this study have demonstrated that the cladribine and cyclophosphamide regimen may improve treatment results in this poor-risk patient population. METHODS: In this study, the authors retrospectively analyzed the efficacy and toxicity of 2-<e>CdA</e> with cyclophosphamide combination (the CC regimen) in 20 patients with previously untreated B-cell CLL who had 17p13.1 deletion reported to the Polish Adult Leukemia Group (PALG) registry. The CC regimen consisted of 2-CdA at a dose of 0.12 mg/kg and cyclophosphamide at a dose of 250 mg/m2 given intravenously for 3 consecutive days. The CC cycles were repeated at 28-day intervals for up to 6 cycles. RESULTS: Overall, 16 of 20 patients (80%) responded to CC therapy, including 10 patients (50%) who obtained a complete response and 6 patients (30%) who obtained a partial response. The median progression-free survival reached 23 months (95% confidence interval, 5-41 months). The overall survival probability at 2 years was 52.5% (95% confidence interval, 26%-79%). Treatment toxicity generally was acceptable. Infections were the most common grade 3/4 complications and occurred in 6 patients (30%). CONCLUSIONS: In this retrospective analysis, the results demonstrated that the CC regimen produced a relatively high response rate in patients with previously untreated CLL who had 17p13.1/TP53 deletion, although the response duration and survival were not satisfactory. It is possible that a combination of the CC regimen with p53-independent agents may improve treatment results in this poor-risk patient population.",M1
18497995,"2-Chloro-2'-deoxyadenosine-induced apoptosis in T leukemia cells is mediated via a caspase-3-dependent mitochondrial feedback amplification loop.2-Chloro-2'-deoxyadenosine (<e>CdA</e>; cladribine) is a chemotherapeutic agent used in the treatment of certain leukemias. However, the signalling events that govern CdA-mediated cytotoxicity in leukemia cells remain unclear. We show here that CdA treatment caused Jurkat human T leukemia cells to die via apoptosis in a dose- and time-dependent fashion. Bcl-2 overexpression protected Jurkat T leukemia cells from CdA-induced apoptosis and loss of mitochondrial transmembrane potential (Delta Psi m). Furthermore, mitochondria that were isolated from Jurkat T leukemia cells and then exposed to CdA showed a loss of Delta Psi m, indicating that CdA directly compromised outer mitochondrial membrane integrity. CdA treatment of Jurkat T leukemia cells resulted in the activation of caspase-3, -8, and -9, while inhibition of these caspases prevented the CdA-induced loss of Delta Psi m, as well as DNA fragmentation. In addition, caspase-3 inhibition prevented caspase-8 activation while caspase-8 inhibition prevented caspase-9 activation. Death receptor signalling was not involved in CdA-induced apoptosis since cytotoxicity was not affected by FADD-deficiency or antibody neutralization of either Fas ligand or tumor necrosis factor-related apoptosis-inducing ligand (TRAIL). Taken together, these data suggested that CdA-induced apoptosis in Jurkat T leukemia cells was mediated via a caspase-3-dependent mitochondrial feedback amplification loop. CdA treatment also increased p38 mitogen-activated protein (MAPK) and extracellular signal-regulated kinase 1 and 2 (ERK1/2) phosphorylation in Jurkat T leukemia cells. Although ERK1/2 inhibition did not affect CdA-mediated cytotoxicity, inhibition of p38 MAPK had an enhancing effect, which suggested a cytoprotective function for p38 MAPK. Agents that inhibit p38 MAPK might therefore increase the effectiveness of CdA-based chemotherapy.",M1
18470909,"Long-term results of the treatment of patients with mantle cell lymphoma with cladribine (2-<e>CDA</e>) alone (95-80-53) or 2-CDA and rituximab (N0189) in the North Central Cancer Treatment Group.BACKGROUND: The objective of this study was to test cladribine (2-CDA) alone and in combination with rituximab in patients with mantle cell lymphoma (MCL). METHODS: Patients with MCL were treated on 2 sequential trials. In Trial 95-80-53, patients received 2-CDA as initial therapy or at relapse. In Trial N0189, patients received combination 2-CDA and rituximab as initial therapy. In both trials, 2-CDA was administered at a dose of 5 mg/m2 intravenously on Days 1 through 5 every 4 weeks for 2 to 6 cycles, depending on response. In Trial N0189, rituximab 375 mg/m2 was administered on Day 1 of each cycle. RESULTS: Results were reported for 80 patients. Twenty-six previously untreated patients and 25 patients who had recurrent disease with a median age of 68 years received single-agent 2-CDA. The overall response rate (ORR) was 81% with 42% complete responses (CRs) in the previously untreated group. The median progression-free survival (PFS) was 13.6 months (95% confidence interval [95% CI], 7.2-22.1 months), and 81% of patients remained alive at 2 years. The ORR was 46% with a 21% CR rate in the recurrent disease group. The median PFS was 5.4 months (95% CI, 4.6-13.1 months), and 36% of patients remained alive at 2 years. Twenty-nine eligible patients with a median age of 70 years received 2-CDA plus rituximab. The ORR was 66% (19 of 29 patient), and the CR rate was 52% (15 of 29 patients). The median duration of response for patients who achieved a CR had not been reached at the time of the current report, and only 3 of the patients who achieved a CR developed recurrent disease at a median follow-up of 21.5 months. CONCLUSIONS: 2-CDA had substantial single-agent activity in both recurrent and untreated MCL, and the results indicated that it may be administered safely to elderly patients. The addition of rituximab to 2-CDA may increase the duration of response.",M1
18393777,"Recent clinical trials of cladribine in hematological malignancies and autoimmune disorders.The purine nucleoside analog - cladribine (2-chlorodeoxyadenosine, 2-<e>CdA</e>) is a cytotoxic agent with high activity in lymphoid and myeloid malignancies. It is also an effective drug in some autoimmune disorders. 2-CdA is usually administered intravenously in continuous or 2-hour infusion. Recently however, new formulation of this agent has been developed for subcutaneous and oral administration. 2-CdA is widely established as first line standard treatment for hairy cell leukemia. Moreover several clinical trials have demonstrated that this agent, used alone or in combination with other cytotoxic drugs, showed good efficacy and acceptable toxicity profile in the treatment of chronic lymphocytic leukemia, Waldenström macroglobulinemia, low-grade non-Hodgkin's lymphoma and acute myeloid leukemia. Moreover, some studies indicate that 2-CdA has some activity in progressive multiple sclerosis and other autoimmune disorders including autoimmune hemolytic anemia, rheumatoid arthritis, systemic lupus erythematosus, psoriasis and in patients with refractory factor VIII inhibitors. This review article will summarize the results of recent clinical trials with 2-CdA in hematological malignancies, multiple sclerosis and other autoimmune diseases.",M1
18322355,"Activity and toxicity of 2-<e>CDA</e> in Langerhans cell histiocytosis: a single institutional experience.BACKGROUND: Langerhans cell histiocytosis (LCH) is a rare disorder characterized by clonal proliferation of immature and abnormal bone marrow derived langerhans cells. Treatment is usually multimodal. Potent anti-monocyte as well as immunomodulatory activity of 2-CDA and its proven efficacy in many lymphoproliferative disorders has made 2-CDA a rational choice in treatment of LCH. AIM: To evaluate the efficacy and toxicity profile of 2-CDA in children with relapsed or refractory LCH. SETTING AND DESIGN: This is a pilot study and we present the initial data of the first seven patients treated at our institution. MATERIALS AND METHODS: Seven patients of relapsed and refractory LCH were enrolled from July 2000 to June 2004. The cohort of seven patients included six males and one female with a median age at initiation of cladribine was 2.25 years (range, 1.67 to 7.0 years). Three patients had received one prior chemotherapy regimen while the rest were heavily pretreated. Cladribine was administered over two hours IV daily for five days and repeated every four weeks. RESULTS: After a median of six courses of cladribine (range, 2 to 9), two (33%) patients achieved PR and two (33%) patients have SD on imaging but are clinically better. None experienced grade 3 or 4 hematologic toxicity. At a median follow-up of 19 months (range, 8 to 52 months), five patients remain alive and one patient has died. CONCLUSION: Our study shows that single agent 2-CDA is active and well-tolerated in children with relapsed or refractory LCH.",M1
18221024,"Older and new formulations of cladribine. Pharmacology and clinical efficacy in hematological malignancies.The purine nucleoside analog (PNA)--cladribine (2-<e>CdA</e>, 2-chlorodeoxyadenosine) is a cytotoxic agent of high efficacy in lymphoid and myeloid malignancies. This drug was approved by the FDA for treatment of hairy cell leukemia and in some European countries for treatment of refractory/relapsed chronic lymphocytic leukemia. 2-CdA is usually administered as continuous or intermittent intravenous infusion. Recently however, new formulations of this agent has been developed for subcutaneous and oral administration. In contrast to other PNA, 2-CdA is equally cytotoxic to both proliferating and quiescent cells and several pathways may be responsible for the mechanism of its action. In addition, recent data indicate that 2-CdA combined with other cytotoxic agents and monoclonal antibodies show synergistic proapoptotic and cytotoxic activity on lymphoid and myeloid neoplastic cells. This review article summarizes recent achievements in the understanding of 2-CdA mechanism of action, pharmacokinetics of different pharmaceutical formulations and its approved and possible future applications in the treatment of hematological malignancies. The most important recent patents concerning oral formulations of 2-CdA have been presented.",M1
