@RELATION C0265252_C0343084

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
17318637,"Altered neurodevelopment associated with mutations of RSK2: a morphometric MRI study of Coffin-Lowry syndrome.Coffin-Lowry syndrome (<e>CLS</e>) is a rare form of X-linked mental retardation caused by mutations of the RSK2 gene, associated with cognitive impairment and skeletal malformations. We conducted the first morphometric study of CLS brain morphology by comparing brain volumes from two CLS families with healthy controls. Individuals with CLS consistently showed markedly reduced total brain volume. Cerebellum and hippocampus volumes were particularly impacted by CLS and may be associated with specific interfamilial RSK2 mutations. We provide preliminary evidence that the magnitude of hippocampus volume deviation from that of controls may predict general cognitive outcome in CLS.",M1
17195803,"The musculoskeletal manifestations of the Coffin-Lowry syndrome.Coffin-Lowry syndrome (<e>CLS</e>) is a rare genetic disorder characterized by craniofacial abnormalities, mental retardation, short stature, and hypotonia. Patients with CLS may present with multiple musculoskeletal abnormalities. The purpose of this study was to identify and characterize the musculoskeletal findings in 10 patients with CLS. Eight patients presented with thoracolumbar kyphosis or kyphoscoliosis, with a mean Cobb angle of 45 degrees in the coronal plane and 31 degrees of thoracolumbar kyphosis. These may be progressive and difficult to treat, needing early surgical treatment. Close follow-up of the spinal deformities is strongly recommended to document progression. Sixty percent of the patients presented with bilateral flexible and painless planovalgus deformities. Hypoplasia of the ilium and hand deformities are common but do not seem to cause any functional problems. Observation is recommended for these asymptomatic hand, foot, and pelvic findings.",M1
17100996,"Mutations in the RSK2(RPS6KA3) gene cause Coffin-Lowry syndrome and nonsyndromic X-linked mental retardation.We describe three families with X-linked mental retardation, two with a deletion of a single amino acid and one with a missense mutation in the proximal domain of the RSK2(RPS6KA3) (ribosomal protein S6 kinase, 90 kDa, polypeptide 3) protein similar to mutations found in Coffin-Lowry syndrome (<e>CLS</e>). In two families, the clinical diagnosis had been nonsyndromic X-linked mental retardation. In the third family, although CLS had been suspected, the clinical features were atypical and the degree of intellectual disability much less than expected. These families show that strict reliance on classical clinical criteria for mutation testing may result in a missed diagnosis. A less targeted screening approach to mutation testing is advocated.",M1
17033934,"Deletion of the Coffin-Lowry syndrome gene Rsk2 in mice is associated with impaired spatial learning and reduced control of exploratory behavior.Coffin-Lowry Syndrome (<e>CLS</e>) is an X-linked syndromic form of mental retardation associated with skeletal abnormalities. It is caused by mutations of the Rsk2 gene, which encodes a growth factor regulated kinase. Gene deletion studies in mice have shown an essential role for the Rsk2 gene in osteoblast differentiation and function, establishing a causal link between Rsk2 deficiency and skeletal abnormalities of CLS. Although analyses in mice have revealed prominent expression of Rsk2 in brain structures that are essential for learning and memory, evidence at the behavioral level for an involvement of Rsk2 in cognitive function is still lacking. Here, we have examined Rsk2-deficient mice in two extensive batteries of behavioral tests, which were conducted independently in two laboratories in Zurich (Switzerland) and Orsay (France). Despite the known reduction of bone mass, all parameters of motor function were normal, confirming the suitability of Rsk2-deficient mice for behavioral testing. Rsk2-deficient mice showed a mild impairment of spatial working memory, delayed acquisition of a spatial reference memory task and long-term spatial memory deficits. In contrast, associative and recognition memory, as well as the habituation of exploratory activity were normal. Our studies also revealed mild signs of disinhibition in exploratory activity, as well as a difficulty to adapt to new test environments, which likely contributed to the learning impairments displayed by Rsk2-deficient mice. The observed behavioral changes are in line with observations made in other mouse models of human mental retardation and support a role of Rsk2 in cognitive functions.",M1
16879200,"Identification of novel mutations in the RSK2 gene (RPS6KA3) in patients with Coffin-Lowry syndrome.The Coffin-Lowry syndrome (<e>CLS</e>) is a rare X-linked semidominant syndrome characterized by severe psychomotor retardation, facial dysmorphism, digit abnormalities and progressive skeletal deformations. CLS is caused by mutations in a gene located in Xp22.2, RPS6KA3. This gene encodes for a growth factor-regulated serine/threonine protein kinase, RSK2 (ribosomal S6 kinase 2), acting in the Ras-mitogen-activated protein kinase signaling pathway. Mutations in the RPS6KA3 gene are extremely heterogeneous and lead to premature termination of translation and/or to loss of phosphotransferase activity of the RSK2 protein. Screening for RSK2 mutations is essential in most cases to confirm the diagnosis as well as for genetic counseling. Here we present 44 novel mutations in RSK2 causing CLS. The overall number of CLS mutations reported now is 128. Thirty-three percent of mutations are missense mutations, 15% nonsense mutations, 20% splicing errors and 29% short deletion or insertion events. Only four large deletions have so far been found. They are distributed throughout the RPS6KA3 gene, and the majority has been found in a single family. This study further confirms the high rate of new mutations at the RSK2 locus. It is important to consider the possibility of mosaicism when providing genetic counseling in CLS families.",M1
16691578,"A novel RSK2 (RPS6KA3) gene mutation associated with abnormal brain MRI findings in a family with Coffin-Lowry syndrome.Coffin-Lowry syndrome (<e>CLS</e>) is an X-linked mental retardation syndrome caused by defects in the RSK2 gene. We have identified a CLS family with four patients in two generations. The patients in this family, a mother and her three children (a male and two females), all have severe mental retardation with the typical CLS phenotype. In addition, brain MRI studies on the three siblings revealed abnormalities in deep subcortical white matter, thinning of the corpus callosum, hypoplastic cerebellar vermis, and asymmetry of the lateral ventricles. The degree of severity of the MRI findings correlated with the severity of mental retardation in the patients. Extensive mutation screening was performed on the entire RSK2 gene in this family. Twenty-two exons including the intron/exon junctions were amplified by PCR and subsequently sequenced on both strands. A novel mutation, a two-nucleotide insertion (298 ins TG), was identified. The insertion creates a stop codon at codon 100, resulting in a 99 amino acid truncated RSK2 protein. All patients tested have the same mutation, and no other mutation could be found in the RSK2 gene from the proband. The mutation was confirmed by PCR/RFLP. X-chromosome inactivation assay on the female patients revealed significant skewing toward inactivation of the normal RSK2 allele. Thus, this novel mutation is likely to be responsible for the unusual clinical presentation in this family, which includes full phenotypic expression in females and unique brain MRI abnormalities. The pathological function of the mutation and genotype/phenotype correlation between the mutation and this unusual clinical presentation await further clarification.",M1
15668049,"The movement disorders of Coffin-Lowry syndrome.Coffin-Lowry syndrome (<e>CLS</e>) is an X-linked semi-dominant condition with learning difficulties and dysmorphism caused by mutations in the gene RSK2. Originally, epilepsy was reported as a feature. We and others have since described predominantly sound-startle induced drop attacks that have been labelled 'cataplexy', abnormal startle response and hyperekplexia. We sought to clarify why there should be controversy over the type of paroxysmal events. Review of the literature and our patients confirmed that each centre had studied only a small numbers of individuals (mean = 2). The type of movement disorder varied both with age and between individuals. One individual might have more than one movement disorder. One of our adult patients had several types of movement disorder and epilepsy that merged seamlessly: there was true cataplexy triggered by telling a joke, something close to cataplexy ('cataplexy') triggered by sound-startle, a predominantly hypertonic reaction varying from hyperekplexia to a more prolonged tonic reaction resembling startle epilepsy, and true unprovoked epileptic seizures. In the large database of the Coffin-Lowry Syndrome Foundation family support group, 34 of 170 (20%) individuals with CLS and known age had 'drop attacks' and an additional 9 (5%) of these had additional epileptic seizures. The onset of such events was usually after age 5 years, prevalence peaking at 15-20 years (27%). Many became wheelchair bound as a result. This unique combination of more than one non-epileptic movement disorder and epilepsy deserves further semiological and genetic study both for the patients with CLS and for the wider implications.",M1
15214012,"Cardiomyopathy in Coffin-Lowry syndrome.Coffin-Lowry syndrome (<e>CLS</e>) is a rare but well-documented X-linked disorder characterized by small size, developmental delay/mental retardation, and characteristic facial and skeletal findings in affected males. The phenotype in affected females is far more variable and can include developmental differences, obesity, and characteristic facial and skeletal differences. Cardiac anomalies are reported in less than 20% of affected males, with cardiomyopathy being one of the rare but reported complications of this disorder. However, cardiomyopathy is not well characterized in CLS. Here, we report on a 14-year-old boy with physical and developmental findings consistent with CLS who presented with a relatively sudden onset of signs of congestive heart failure due to a restrictive cardiomyopathy; an endomyocardial biopsy demonstrated non-specific hypertrophic myocyte alterations consistent with cardiomyopathy. This is the first description of the histology and electron microscopy of cardiomyopathy in CLS.",M1
14973203,"Delineation of the mechanisms of aberrant splicing caused by two unusual intronic mutations in the RSK2 gene involved in Coffin-Lowry syndrome.Coffin-Lowry syndrome (<e>CLS</e>) is caused by mutations in the RSK2 gene encoding a protein kinase of the Ras signalling pathway. We have studied two point mutations which cause aberrant splicing but do not concern the invariant GT or AG nucleotides of splice sites. The first, an A--&gt;G transition at position +3 of the 5' splice site of exon 6, results in vivo and in vitro in exon skipping and premature translation termination. The natural 5' splice site, although intrinsically weak, is not transactivated under normal conditions. Consequently, replacement of an A/U by a G/U base pairing with U1 snRNA reduces its strength below a critical threshold. The second mutation, an A--&gt;G transition 11 nt upstream of exon 5, creates a new AG near the natural 3' splice site. In vitro this synthetic 3' AG is used exclusively by the splicing machinery. In vivo this splicing event is also observed, but is underestimated because the resulting RSK2 mRNA contains premature stop codons which trigger the nonsense-mediated decay process. We show that a particular mechanism is involved in the aberrant splicing of exon 5, implying involvement of the natural 3' AG during the first catalytic step and the new 3' AG during the second step. Thus, our results explain how these mutations cause severe forms of CLS.",M1
12859401,"Syndromes of disordered chromatin remodeling.Syndromes of disordered 'chromatin remodeling' are unique in medicine because they arise from a general deregulation of DNA transcription caused by mutations in genes encoding enzymes which mediate changes in chromatin structure. Chromatin is the packaged form of DNA in the eukaryotic cell. It consists almost entirely of repeating units, called nucleosomes, in which short segments of DNA are wrapped tightly around a disk-like structure comprising two subunits of each of the histone proteins H2A, H2B, H3 and H4. Histone proteins are covalently modified by a number of different adducts (i.e. acetylation and phosphorylation) that regulate the tightness of the DNA-histone interactions. Mutations in genes encoding enzymes that mediate chromatin structure can result in a loss of proper regulation of chromatin structure, which in turn can result in deregulation of gene transcription and inappropriate protein expression. In this review we present examples of representative genetic diseases that arise as a consequence of disordered chromatin remodeling. These include: alpha-thalassemia/mental retardation syndrome, X-linked (ATR-X); Rett syndrome (RS); immunodeficiency-centromeric instability-facial anomalies syndrome (ICF); Rubinstein-Taybi syndrome (RSTS); and Coffin-Lowry syndrome (<e>CLS</e>).",M1
