@RELATION C0553730_C0008838

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
16342107,"Calcium pyrophosphate deposition disease mimicking polymyalgia rheumatica: a prospective followup study of predictive factors for this condition in patients presenting with polymyalgia symptoms.OBJECTIVE: To assess the characteristics of calcium pyrophosphate deposition disease (<e>CPDD</e>) with proximal involvement mimicking polymyalgia rheumatica (PMR), and to identify the best predictive factors for the presence of a clinical pattern of CPDD in patients presenting with polymyalgia symptoms. METHODS: Patients diagnosed with either PMR or CPDD at the Rheumatology Division of Hospital Meixoeiro (Vigo, Spain) over a 7-year period (1997-2003) were prospectively followed for at least 12 months. RESULTS: The study group comprised 118 patients with PMR features and 112 patients with CPDD. Eighty-two of the 118 patients with PMR manifestations were diagnosed as having pure PMR, and 36 met the diagnostic criteria for both PMR and CPDD. Patients with CPDD mimicking PMR were older (P = 0.02) and had peripheral arthritis more frequently (P = 0.004) than those with pure PMR. Radiologic osteoarthritic changes in the hands and knees, including more advanced radiologic grade of knee osteoarthritis, and tendinous calcifications were more frequent in patients with PMR/CPDD (P &lt; 0.001). The best predictive factors for the occurrence of this atypical pattern of CPDD in a patient presenting with PMR features were the age at diagnosis and the presence of tibiofemoral osteoarthritis, tendinous calcifications, and ankle arthritis. CONCLUSION: Involvement of proximal joints may be the clinical presentation of CPDD. CPDD should be included in the spectrum of diseases mimicking PMR. The presence of tibiofemoral osteoarthritis, tendinous calcifications, and ankle arthritis are clues that may alert the clinician to the presence of CPDD in an elderly patient presenting with PMR manifestations.",M1
15474392,"Familial calcium pyrophosphate dihydrate deposition disease. A Tunisian kindred.INTRODUCTION: Familial calcium pyrophosphate dihydrate deposition disease (<e>CPDD</e>) is uncommon, with about 50 affected families identified to date in the world. Genetic studies in familial CPDD are focusing on the ANKH gene. We report a new Tunisian kindred with CPDD. PATIENTS AND METHODS: The development of CPDD in a patient who was only 35 years of age prompted a family study. A medical history, physical examination, and radiographs were performed in 103 family members older than 18 years. RESULTS: Fifteen family members had CPDD. There were 10 men and five women, with a mean age of 59.4 years. Onset was usually in the third or fourth decade. Four clinical patterns were found: Five patients had pseudogout, five had pseudoosteoarthritis, three had asymptomatic disease, and two had pseudorheumatoid arthritis. Inheritance was autosomal dominant with low penetrance. No associations with specific HLA antigens were found. The disease was mild. These characteristics fit the description of Gaucher type 1 familial CPDD. CONCLUSION: Inherited autosomal dominant CPDD with low penetrance was found in 15 members of a Tunisian kindred. The disease was mild. We are planning a genetic study including tests for ANKH gene mutations in this kindred.",M1
15336755,"Chondrocalcinosis of the wrist.Calcium Pyrophosphate Dihydrate Deposition (<e>CPDD</e>) disease has characteristic radiographic features including soft tissue calcification, joint space narrowing, bone sclerosis, subchondral cyst formation without osteophyte formation, and large intraosseous geodes. Triangular fibrocartilage calcification is frequently found and isolated scapho-trapezio-trapezoid (STT) arthritis is specific for CPDD. Distal radio-ulnar (DRUJ), isolated midcarpal joint and piso-triquetral joint involvement also occur. 127 patients were reviewed. Seventy-eight had symptomatic STT joint arthritis, for which 36 underwent surgery. Twenty-two patients had a SLAC wrist deformity for which ten underwent surgery. Eight patients had isolated midcarpal arthritis for which three midcarpal arthrodeses, two four-bone arthrodeses and two carpal tunnel releases were performed. Nineteen patients had a generalized arthritis and seven of the patients underwent surgery: four-corner arthrodesis+scaphoidectomy (one case), carpal tunnel release (two cases) extensor synovectomy (two cases) and trigger finger release (two cases).",M1
15140740,"Massive calcium pyrophosphate dihydrate crystal deposition disease: a cause of pain of the temporomandibular joint.Calcium pyrophosphate dihydrate deposition (<e>CPDD</e>) disease is a disorder that occasionally affects the temporomandibular joint (TMJ) and temporal bone, causing pain (66.6% of cases), swelling (50%), trismus (36.8%), and hearing loss (22.2%). Diagnosis of CPDD is challenging because clinical symptoms and imaging features are not characteristic and may mimic a chondrosarcoma. When the diagnosis of CPDD of the TMJ is under consideration, conventional radiographs of the wrist or the knee may contribute to the final diagnosis. Imaging features of CPDD are discussed with a review of the literature.",M1
12068153,"A case of calcium pyrophosphate dihydrate crystal deposition disease presenting as an acute polyarthritis.We report a case of calcium pyrophosphate dihydrate crystal deposition disease (<e>CPDD</e>) presenting as an acute polyarthritis. A 66-yr-old woman was admitted with a 5-day history of fever and multiple joint pain including wrists, elbows, shoulders, knees, and ankles developed 5 days before admission. Her plain radiographs of wrists, elbows, shoulders, knees, and ankles showed chondrocalcinosis. The pubic symphysis, lumbar intervertebral discs, and both hip joints, which were asymptomatic, also had calcium deposits. The compensated polarized microscopic examination of the joint fluid, aspirated from the right knee revealed intracellular and extracellular weakly positive birefringent crystals, confirming the CPDD. This case showed that CPDD may manifest as an acute polyarthritis mimicking acute onset rheumatoid arthritis.",M1
11344817,"Proteus mirabilis septic monoarthritis in a patient with <e>CPDD</e>.",M1
11254235,"Osteoarthritis of the scaphoidtrapezium joint: an early sign of calcium pyrophosphate dihydrate disease.The aim of this study was to determine the value of scaphoidtrapezium osteoarthritis (ST osteoarthritis) as an early sign of calcium pyrophosphate dihydrate disease (<e>CPDD</e>) in a cohort of patients undergoing surgery for osteoarthritis of the first carpometacarpal joint. We examined whether patients with cartilage calcification of the wrist at the time of operation had ST osteoarthritis, indicating CPDD at an earlier time (retrospective study), and whether patients with ST osteoarthritis but without cartilage calcification at the time of surgery develop radiological or clinical signs of CPDD at a later time (prospective study). From 1 January 1989 to 31 December 1995 a total of 169 patients (from an orthopaedic clinic) with a diagnosis of osteoarthritis of the first carpometacarpal joint were included in the study; 167 underwent surgery and two were treated without. Of the 16 patients showing calcification on surgery and therefore included in the retrospective study, 12 had prior radiographs, of which eight showed ST osteoarthritis. Among these, four had no concomitant cartilage calcification in the prior radiographs. Of the 32 patients in the prospective group having ST osteoarthritis but no calcifications at the time of surgery, 27 could be clinically examined. Of these, two showed cartilage calcifications on the follow-up radiographs of the hands. The presence of ST osteoarthritis is a helpful diagnostic finding for the diagnosis of CPDD, especially in cases without radiographic cartilage or fibrocartilage calcification of the wrist. ST osteoarthritis may then point to the correct diagnosis.",M1
11206349,"Degeneration of the scaphoid-trapezium joint: a useful finding to differentiate calcium pyrophosphate deposition disease from osteoarthritis.This study aimed to determine whether osteoarthritis of the scaphoid-trapezium joint (ST osteoarthritis) is associated with calcium pyrophosphate deposition disease (<e>CPDD</e>) in an elderly population with or without concomitant polyarthritis of the finger joints (FIPO). An age- and gender matched case-control study was performed at a university hospital outpatient clinic. Cases and controls were identified from a clinical registry. The case ascertainment process included: (1) chart review for evidence of pyrophosphate crystals from arthrocentesis and/or cartilage calcifications and (2) blinded reading of hand X-rays by three observers for calcification of the triangular fibrocartilage and/or cartilage calcification around the spatium triangulare. Osteoarthritis was graded from 0 to 4 according to the Standard Atlas of Radiographs. The association of ST osteoarthritis with the diagnosis was examined using chi2 tests or the Wilcoxon rank sum test as appropriate. From 65 potential cases, 30 fulfilled the inclusion/exclusion criteria whereas from 185 potential controls, 81 fulfilled the inclusion/exclusion criteria. Thirty controls were matched to cases for gender and age. ST osteoarthritis was much more severe in CPDD (median: 3.0) than in patients with FIPO (median: 0.3) and was strongly associated with the diagnosis (odds ratio 13.8; CI 3.4-59.8). Definite ST osteoarthritis identified CPDD with a sensitivity of 83% and a specificity of 73% with regard to FIPO. It was concluded that the presence of ST osteoarthritis is a helpful diagnostic finding for the diagnosis of CPDD in an elderly, predominantly female population with a high prevalence of FIPO. Especially in cases without radiographic cartilage or fibrocartilage calcification of the wrist, ST osteoarthritis may point to the correct diagnosis.",M1
9195122,"Prospective 6-month, double-blind trial of hydroxychloroquine treatment of <e>CPDD</e>.",M1
7887424,"Linkage of early-onset osteoarthritis and chondrocalcinosis to human chromosome 8q.Calcium pyrophosphate-deposition disease (<e>CPDD</e>), also called  chondrocalcinosis  or  pseudogout,  is a disorder characterized by the deposition of calcium-containing crystals in joint tissue, which leads to arthritis-like symptoms. The presence of these crystals in joint tissue is a common finding in the elderly, and, in this population, there is a poor correlation with joint pain. In contrast, early-onset CPDD has been described in several large families in which the disease progresses to severe degenerative osteoarthritis (OA). In these families, an autosomal dominant mode of inheritance is observed, with an age at onset between the 2d and 5th decades of life. In this report, we describe a large New England family with early-onset CPDD and severe degenerative OA. We found genetic linkage between the disease in this family and chromosome 8q, with a multipoint lod score of 4.06. These results suggest that a defective gene at this location causes the disease in this family.",M1
