@RELATION C0007789_C0033477_C0008925

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2, M3}

@DATA
20434617,"Test-retest reliability of discrete gait parameters in children with cerebral palsy.OBJECTIVES: To examine the test-retest reliability of discrete gait parameters in children with cerebral palsy (<e>CP</e>) in Gross Motor Function Classification System (GMFCS) levels I, II, and III; to calculate the measurement error between testing sessions of these parameters in the total sample and within GMFCS subgroups using the standard error of measurement; and to evaluate the minimal detectable change (MDC) to identify discrete gait parameters that are most sensitive to change in children with CP. DESIGN: Test-retest reliability study. SETTING: Rehabilitation facility with human movement laboratory. PARTICIPANTS: Ambulatory children with CP (N=28). INTERVENTIONS: Not applicable. MAIN OUTCOME MEASURES: Intraclass correlation coefficients (ICCs), standard error of measurement, and MDC of discrete gait parameters. RESULTS: Parameters measured in the sagittal plane and temporal-spatial parameters were highly reliable across all GMFCS levels (ICC range, .84-.97), while test-retest reliability in the frontal and transverse planes varied from poor to excellent (ICC range, .46-.91). Using MDC as a guide, hip and pelvis parameters in the transverse and frontal planes were least responsive for GMFCS levels I and III (MDC ranges, 8.3 degrees -18.0 degrees and 2.7 degrees -23.4 degrees , respectively), whereas ankle kinematics were the least responsive for level II (MDC range, 8.2 degrees -11.9 degrees ). Reliability was dependent on mobility level, with children in GMFCS level III exhibiting greater test-retest variability overall. CONCLUSIONS: Our findings suggest that select discrete gait parameters measured using computerized gait analysis are reliable and potentially responsive measures of performance and can be used as outcome measures in intervention studies.",M1
20425296,"Psychiatric complications in cerebral palsy.Cerebral palsy (<e>CP</e>) is a disorder of motor and posture impairment resulting from brain injury prior to completion of cerebral development. It affects 2 to 3 per 1000 individuals. CP is also associated with sensory, behavioral, cognitive, and emotional sequelae. Few systematic studies of psychiatric comorbidities in children and adolescents with CP have been conducted, as the main focus of concern has been on the physical disabilities. This has diverted attention from treatable psychiatric syndromes. Proper psychiatric evaluation of children with CP is an important task, as appropriate interventions can help them reach their full potential and enhance the quality of their lives and those of their families. We report the case of an individual with CP with behavioral and emotional symptoms to illustrate the diagnostic complexity involved. The case highlights the importance of engaging in a comprehensive diagnostic psychiatric evaluation process to assess and suggest treatment options for accompanying comorbid psychiatric conditions.",M1
20415771,"Socio-economic inequalities in cerebral palsy prevalence in the United Kingdom: a register-based study.Evidence is unclear as to whether there is a socio-economic gradient in cerebral palsy (<e>CP</e>) prevalence beyond what would be expected from the socio-economic gradient for low birthweight, a strong risk factor for CP. We conducted a population-based study in five regions of the UK with CP registers, to investigate the relationship between CP prevalence and socio-economic deprivation, and how it varies by region, by birthweight and by severity and type of CP. The total study population was 1 657 569 livebirths, born between 1984 and 1997. Wards of residence were classified into five quintiles according to a census-based deprivation index, from Q1 (least deprived) to Q5 (most deprived). Socio-economic gradients were modelled by Poisson regression, and region-specific estimates combined by meta-analysis. The prevalence of postneonatally acquired CP was 0.14 per 1000 livebirths overall. The mean deprivation gradient, expressed as the relative risk in the most deprived vs. the least deprived quintile, was 1.86 (95% confidence interval [95% CI 1.19, 2.88]). The prevalence of non-acquired CP was 2.22 per 1000 livebirths. For non-acquired CP the gradient was 1.16 [95% CI 1.00, 1.35]. Evidence for a socio-economic gradient was strongest for spastic bilateral cases (1.32 [95% CI 1.09, 1.59]) and cases with severe intellectual impairment (1.59 [95% CI 1.06, 2.39]). There was evidence for differences in gradient between regions. The gradient of risk of CP among normal birthweight births was not statistically significant overall (1.21 [95% CI 0.95, 1.54]), but was significant in two regions. There was non-significant evidence of a reduction in gradients over time. The reduction of the higher rates of postneonatally acquired CP in the more socioeconomically deprived areas is a clear goal for prevention. While we found evidence for a socio-economic gradient for non-acquired CP of antenatal or perinatal origin, the picture was not consistent across regions, and there was some evidence of a decline in inequalities over time. The steeper gradients in some regions for normal birthweight cases and cases with severe intellectual impairment require further investigation.",M1
20412253,"Determinants of responsiveness to botulinum toxin, casting, and bracing in the treatment of spastic equinus in children with cerebral palsy.AIM: The objective was to determine whether specific intrinsic (age, pattern of cerebral palsy [<e>CP</e>], child's motivation) and extrinsic (number of treatments, parenting stress) characteristics were associated with responsiveness to botulinum toxin A (BoNT-A) injections in children with CP 3 months after injection into the gastrocnemius muscle. METHOD: Children with hemiplegia or diplegia recruited from a BoNT-A programme were evaluated before and 3 months following injection of BoNT-A into the gastrocnemius. Outcome measures included muscle tone, range of motion, gait pattern, level of ambulation, gross motor function, and functional independence. Determinants of responsiveness to BoNT-A considered were age, number of treatments, distribution of CP, parenting stress, and motivation. RESULTS: Thirty-one children were recruited (17 males, 14 females)--22 with hemiplegia and nine with diplegia. Twenty-eight were classified at Gross Motor Function Classification System (GMFCS) level I and three at level III. The mean age was 6 years 4 months (SD 2y 11mo). Younger age (p=0.015) and fewer number (p=0.024) of BoNT-A treatments were associated with greater change in gross motor function. Child's motivation and parenting stress were significantly associated with improvements in muscle tone (p=0.006-0.017), passive range of motion (p=0.008-0.033), gait pattern (p=0.005-0.042), level of ambulation (p=0.001-0.043), and functional independence (p=0.004-0.027). INTERPRETATION: The results indicate that child, family, and treatment characteristics influence the degree of responsiveness to BoNT-A treatment. The contribution of contextual factors (personal and environmental) on responsiveness may be underappreciated in children with CP.",M1
20398394,"Study of the therapeutic effects of an advanced hippotherapy simulator in children with cerebral palsy: a randomised controlled trial.BACKGROUND: Although hippotherapy treatment has been demonstrated to have therapeutic effects on children with cerebral palsy, the samples used in research studies have been very small. In the case of hippotherapy simulators, there are no studies that either recommend or advise against their use in the treatment of children with cerebral palsy. The aim of this randomised clinical study is to analyse the therapeutic effects or the contraindications of the use of a commercial hippotherapy simulator on several important factors relating to children with cerebral palsy such as their motor development, balance control in the sitting posture, hip abduction range of motion and electromyographic activity of adductor musculature. METHODS/DESIGN: The study is a randomised controlled trial. It will be carried out with a sample of 37 children with cerebral palsy divided into two treatment groups. Eligible participants will be randomly allocated to receive either (a) Treatment Group with hippotherapy simulator, maintaining sitting posture, with legs in abduction and rhythmic movement of the simulator or (b) Treatment Group maintaining sitting posture, with legs in abduction and without rhythmic movement of the simulator. Data collection and analysis: all measurements will be carried out by a specially trained blind assessor. To ensure standardization quality of the assessors, an inter-examiner agreement will be worked out at the start of the study. The trial is funded by the Department of Research, Innovation and Development of the Regional Government of Aragon (Official Bulletin of Aragon 23 July 2007), project number PM059/2007. DISCUSSION: Interest in this project is due to the following factors: Clinical originality (there are no previous studies analysing the effect of simulators on the population group of children with <e>CP</e>, nor any studies using as many variables as this project); Clinical impact (infantile cerebral palsy is a chronic multisystemic condition that affects not only the patient but also the patient's family and their close circle of friends); Practical benefits (the development of an effective treatment is very important for introducing this element into the rehabilitation of these children). TRIAL REGISTRATION: Current Controlled Trials ISRCTN03663478.",M1
20382296,"Evaluation of the catch in spasticity assessment in children with cerebral palsy.OBJECTIVE: To evaluate whether the catch in clinical spasticity assessment in cerebral palsy (<e>CP</e>) is the consequence of a sudden velocity-dependent increase in muscle activity, resulting from hyperexcitability of the stretch reflex in spasticity. DESIGN: Cross-sectional study. SETTING: A special school for children with physical disabilities. PARTICIPANTS: Children with CP (N=20; age range, 5-14y; mean weight +/- SD, 35+/-14kg; mean length +/- SD, 139+/-19cm). INTERVENTIONS: Spasticity assessment tests (using slow and fast passive stretch) were performed in the medial hamstrings, soleus, and medial gastrocnemius muscles of the children by 2 experienced examiners. MAIN OUTCOME MEASURES: Surface electromyography (EMG) was recorded and joint motion was simultaneously measured using 2 inertial sensors. The encounter of a catch by the examiner was compared with the presence of a sudden increase in muscle activity ( burst ). The average rectified value (ARV) of the EMG signal was calculated for each test. RESULTS: The study shows a sudden increase in muscle activity in fast passive stretch, followed by a catch (hamstrings 100%, soleus 95%, gastrocnemius 84%). The ARV in slow passive stretch was significantly lower. CONCLUSIONS: The results confirm that in children with CP, an increase in muscle activity is primarily responsible for a catch in fast passive muscle stretch.",M1
20367519,"Changes in trunk and head stability in children with cerebral palsy after hippotherapy: a pilot study.Hippotherapy (HPOT) is a therapy that uses horse movement. This pilot investigation objectively evaluated the efficacy of HPOT in improving head/trunk stability in children with cerebral palsy (<e>CP</e>). The participants were six children with spastic diplegia and six children without disability. Head and trunk stability was challenged by using a motorized barrel and measured by a video motion capture system before and after a 12-week intervention of 45 min of HPOT a week. The variables measured were anterior-posterior (AP) translation of the head, and spine at five points and average AP head angles. At pre-testing, children with CP demonstrated significant differences in AP translation and AP head rotation compared with children without disability. Following HPOT, children with CP demonstrated significant reductions in head rotation and AP translation at C7, eye, and vertex. At post-testing, translation at C7 did not differ significantly between children with CP and children without disability. After HPOT intervention, children with CP reduced their AP head rotation and translation, suggesting that they had increased stability of the head and trunk in response to perturbations at the pelvis. The findings suggest that HPOT might improve head and trunk stability in children with CP.",M1
20367518,"Reliability of the functional mobility scale for children with cerebral palsy.This study examined inter-rater reliability of the Functional Mobility Scale (FMS) for children with cerebral palsy (<e>CP</e>) and the presence of rater bias. A consecutive sample of 118 children with CP, 2-18 years old (mean 10.3 years, SD 3.6), was recruited from a hospital setting. Children were classified using the gross motor function classification system (GMFCS) with 13 in Level I, 49 in Level II, 44 in Level III, and 12 in Level IV. Each child was independently scored on the FMS by two raters. Raters were randomly assigned from a sample of 44 orthopaedic surgeons, hospital-based physiotherapists, and community-based physiotherapists. Quadratic weighted kappa coefficients for mobility ratings varied from 0.86 to 0.92 for the three distances, indicating substantial chance corrected agreement. Levels of agreement were similar when administering the scale in person and by telephone, suggesting that the FMS can be administered by either method. There was a tendency for surgeons to rate mobility higher than physiotherapists, however, only one of the comparisons was statistically significant. The FMS is a reliable tool that can be used by clinicians to assess mobility in children with CP.",M1
20357589,"Development of calcaneal gait without prior triceps surae lengthening: an examination of predictive factors.BACKGROUND: Although equinus is more common in cerebral palsy (<e>CP</e>), the prevalence of calcaneal gait (CG) has been reported at more than 30% among patients with CP, even in the absence of prior surgical intervention. The goal of this study was to identify patient characteristics predictive of the development of CG in patients without prior triceps surae lengthening. METHODS: Gait data were reviewed for 58 participants with bilateral involvement owing to CP (116 limbs) who had 2 gait analysis tests with no triceps surae lengthening between tests. None of the patients exhibited CG at the initial gait study. Patients were grouped according to whether or not they exhibited CG patterns at the second test. Factors potentially predictive of calcaneal gait patterns were compared statistically between groups. RESULTS: CG was shown by 24/116 extremities (21%) at the second study. The CG group experienced greater increase in body weight and body mass index between tests (P=0.006 and 0.03 respectively). Passive dorsiflexion range with the knee flexed was significantly greater in the CG group (P=0.008). The CG group also showed a tendency toward greater plantarflexor weakness, although this only approached statistical significance (P=0.08) likely owing to small sample size. Age, CP subtype, time to follow-up, hamstring range, selective motor control, and gross motor functional level were not predictive. CONCLUSIONS: Patients who undergo (or have potential to undergo) significant weight gain, and have tendencies toward excessive passive dorsiflexion with the knee flexed may be at risk for development of CG over time. In such patients, treatment regimens should include therapy to maintain or improve plantarflexor strength, and methods to prevent overstretching the plantarflexors. Nonsurgical treatments for triceps surae contractures, such as serial casting, may be preferable, to avoid hastening development of calcaneal crouch gait over time. LEVEL OF EVIDENCE: Prognostic study---Level III (case-control).",M1
20350360,"Intracranial transplant of olfactory ensheathing cells in children and adolescents with cerebral palsy: a randomized controlled clinical trial.Successful repair of damage in cerebral palsy (<e>CP</e>) needs effective clinical interventions other than simply symptomatic treatments. To elucidate the feasibility of using olfactory ensheathing cells (OECs) to treat CP in children and adolescents, we conducted a randomized controlled clinical trial (RCT) on 33 patients. The patients were randomly assigned into two groups (treatment group, n = 18; control group, n = 15), and OECs derived from aborted fetal tissue were injected into the bilateral corona radiata in the frontal lobes (a key point for neural network restoration, KPNNR). The Gross Motor Function Measure (GMFM-66) and the Caregiver Questionnaire Scale were used to evaluate the patients' neurological function and overall health status. Among the 14 patients who completed the 6-month study, six received the cell transplantation and the other eight served as controls. In OEC treatment group, GMFM-66 scores were 26.67 +/- 25.33 compared with 19.00 +/- 20.00 for the control group. Concurrently, the Caregiver Questionnaire Scale score decreased to 77.83 +/- 15.99 in the treatment group in comparison to 138.66 +/- 64.06 of the control group. This trial, albeit small in sample size, indicates OEC KPNNR transplantation is effective for functional improvement in children and adolescents with CP, yet without obvious side effects. This small-scale study suggests that the procedure may be a plausible alternative method to treat this not yet curable disorder, and we urge further evaluation with a large-scale RCT.",M1
