@RELATION C0022661_C0010132

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20364702,"[Role of free radical oxidation in the development of cardiovascular events in chronic renal failure]AIM: to refine a role of free radical oxidation (FRO), anemia, and endothelial dysfunction in the development of cardiovascular events in patients with chronic renal failure (<e>CRF</e>) at diferent stages of the disease. SUBJECTS AND METHODS: Eighty-six patients, including 46 (53%) women and 40 (47%) men with Stages II-IV CRF, were examined. The patients' mean age was 43.6 +/- 14 years. Echocardiography, measurements of the blood levels of hemoglobin, albumin, cholesterol, and uric acid, and determination of blood electrolytic composition were made. Blood creatinine concentrations in the group averaged 0.3 mmol/l. Glomerular filtration rate (GFR) calculated from the Cockroft-Goult formula averaged 33.96 +/- 13 ml/min; the duration of CRF was 9.3 +/- 1.6 years. Anemia was detected in 46 (53%) patients. Iron metabolism was estimated from serum ferritin levels. Special studies involved determination of FRO--malondialdehyde (MDA) and the activities of catalase and superoxide dismutase (SOD) in plasma and serum. The plasma concentrations of endohelin-1 (ET-1), thromboxane A2, and prostacyclin were measured by radioimmunoassay. Results. The higher concentrations of MDA and the decreased activities of catalase and SOD, i.e., FRO, correlated with the progression of renal failure. There were also increases in the levels of ET-1 and thromboxane A, and a reduction in the concentration of prostacyclin as blood creatinine levels elevated. Left ventricular hypertrophy was found in 43 (50%) of the 86 patients. Its severity depended on the decrease of creatine phosphokinase and the severity of anemia and arterial hypertension. There was a stable correlation between the changes in left ventricular myocardial mass, MDA levels, and catalase and SOD activities. CONCLUSION: The higher level of MDA and the lower activities of catalase and SOD in patients with CRF, which correlate with diminished renal function, confirm that the disease is closely associated with FRO, that, by aggravating anemia and endothelial dysfunction, affects the magnitude of morphological and functional changes in the cardiovascular system in patients with CRF patients.",M1
20199183,"Multiple antioxidants and L-arginine modulate inflammation and dyslipidemia in chronic renal failure rats.The kidney is an important source of L-arginine, the endogenous precursor of nitric oxide (NO). Surgical problems requiring extensive renal mass reduction (RMR) decrease renal NO production, leading to multiple hemodynamic and homeostatic disorders manifested by hypertension, oxidative stress, and increased inflammatory cytokines. Using the RMR model of chronic renal failure (<e>CRF</e>), we assessed the effects of twelve weeks' administration of L-arginine and/or a mixture of antioxidants (L-carnitine, catechin, vitamins E and C) on plasma cytokines, soluble intercellular adhesion molecule-1 (sICAM-1), nitrate and nitrites (NO(2)/NO(3)), lipid profile, blood pressure, and renal function. CRF rats showed increased plasma IL-1 alpha, IL1-beta, IL-6, TNF-alpha, and sICAM-1 levels and decreased anti-inflammatory cytokines IL-4 and 10 levels, hypertension, and dyslipidemia. L-arginine treatment improved kidney functions, decreased systolic blood pressure, and decreased inflammatory cytokines levels. Antioxidants administration decreased inflammatory cytokines and sICAM-1 levels and increased IL-4 levels. Combined use of both L-arginine and the antioxidant mixture were very effective in their tendency to recover normal values of kidney functions, plasma cytokines, sICAM-1, blood pressure, NO(2)/NO(3), cholesterol, and triglycerides concentrations. Indeed, the effects of L-arginine and the antioxidants on the reduction of proinflammatory cytokines may open new perspectives in the treatment of uremia.",M1
20078664,"Feasibility of endoscopic submucosal dissection for patients with chronic renal failure on hemodialysis.BACKGROUND: Endoscopic submucosal dissection (ESD) is expected as a curative method for node-negative gastrointestinal cancers. Little is known about ESD for patients with end-stage chronic renal failure (<e>CRF</e>) on hemodialysis. We aimed to evaluate the efficacy and safety of ESD for patients with CRF on hemodialysis. METHODS: Ten consecutive patients with 12 lesions who underwent ESD (stomach, seven; colorectum, three) between March 2002 and August 2007 were retrospectively investigated in terms of the technical feasibility and complications. RESULTS: All the lesions were resected in a single piece and en-bloc and R0 resection rate was 100%. Histology revealed that all the lesions fulfilled the criteria of node-negative cancers. Delayed bleeding requiring blood transfusion on the day after ESD, and shunt occlusion, which necessitated a radiological intervention 7 days after ESD, occurred in one stomach case. Delayed perforation followed by emergency surgery 2 days after ESD occurred in one colorectal case. CONCLUSIONS: ESD for CRF patients may be technically feasible, but substantial risks should be considered. Early detection of late-onset complications is essential with intensive medical check-up for at least 1 week in order to prevent complications from becoming severe.",M1
20071461,"Impact of Cyclin B2 and Cell division cycle 2 on tubular hyperplasia in progressive chronic renal failure rats.To clarify the specific molecular events of progressive tubular damage in chronic renal failure (<e>CRF</e>), we conducted microarray analyses using isolated proximal tubules from subtotally nephrectomized (Nx) rats as a model of CRF. Our results clearly demonstrated time-dependent changes in gene expression profiles localized to proximal tubules. The expression of mitosis-specific genes Cyclin B2 and Cell division cycle 2 (Cdc2) was significantly and selectively increased in the proximal tubules during the compensated period but decreased to basal level in the end-stage period. Administration of everolimus, a potent inhibitor of mammalian target of rapamycin, markedly reduced compensatory hypertrophy and hyperplasia of epithelial cells, which was accompanied by complete abolishment of the expression of Cyclin B2 and Cdc2 enhancement; renal function was then severely decreased. Treatment with the Cdc2 inhibitor 2-cyanoethyl alsterpaullone clearly decreased epithelial cell hyperplasia, based on staining of phosphorylated histone H3 and Ki-67, while hypertrophy was not inhibited. In conclusion, we have demonstrated roles of Cyclin B2 and Cdc2 in the epithelial hyperplasia in response to Nx. These results advance the knowledge of the contribution of cell cycle regulators, especially M phase, in pathophysiology of tubular restoration and/or degeneration, and these two molecules are suggested to be a marker for the proliferation of proximal tubular cells in CRF.",M1
20063701,"[Analysis of the food rations of predialysis patients with chronic renal failure receiving essential amino acid ketoanalogues]The aim of the study was to analyse daily food rations of patients with chronic renal failure (<e>CRF</e>) receiving a supplement containing essential amino acid ketoanalogues (EAAK). The study was carried out on 60 patients with CRF of different etiology. During the progression of CRF, decline of consumption of products being the source of protein and limitation of consumption of products high in energy were observed. This can lead to protein-energy malnutrition. The results of the research emphasize the necessity of providing patients with CRF constant dietician care that would assure possibility to adjust diet to individual needs of every patient as well as to modify it, if necessary, and that would have significant influence on prolongation of the phase of predialysis treatment as well as on better preparation to dialysis.",M1
20043530,"Chronic renal failure in Jamaican children--an update (2001-2006).OBJECTIVE: This study evaluated the incidence, epidemiology, aetiology and outcome of chronic renal failure (<e>CRF</e>) in Jamaican children &lt; 12 years old between 2001 and 2006. METHODS: The required data on all children who fulfilled inclusion criteria were obtained from their medical records at the University Hospital of the West Indies, Bustamante Hospital for Children and from practitioners in hospitals serving children islandwide. RESULTS: Eighteen new children (72.2% male) presented with CRF. The cumulative annual incidence was 4.61/million child population under age 12 years or 1.14/million total population. Congenital urological disease (44.5%) was the commonest cause of CRF, followed by glomerulonephritis (33.3%). Half of the cases of glomerulonephritis were secondary to HIV-associated nephropathy. Although all children with posterior urethral valves were diagnosed before age 6 months and promptly treated, renal failure present at birth proved irreversible. The mean age at diagnosis of CRF was 6.72 years. Ten children (55.6%) were already in CRF at first presentation with renal disease. Of these, the five with non-urological disease were already in End Stage Renal Disease (ESRD). Mortality was 44.4%. Five children died in ESRD without the benefit of dialysis. CONCLUSION: The incidence of CRF has increased from the 1985-2000 local study and is mainly due to urological pathology which progresses despite early diagnosis and treatment. Non-urological renal disease is presenting too late for therapeutic intervention. Greater public awareness of symptoms of renal disease is needed. Children's access to dialysis is unpredictable. A paediatric dialysis and transplantation programme is needed.",M1
20015406,"Hepatitis G virus infection in Egyptian children with chronic renal failure (single centre study).BACKGROUND: Hepatitis G virus (HGV) is an RNA virus. It is mainly transmitted through exposure to contaminated blood although other routes may also exist. Patients with chronic renal failure (<e>CRF</e>) are at high risk of acquiring HGV because they require frequent blood transfusions. Ongoing HGV infection can be only diagnosed by demonstrating viremia in patient sample by reverse transcriptase (RT) PCR. Antibodies to the envelop protein E2 (anti E2) of HGV is an indicator of virus clearance and testify past HGV contact. This cross sectional study was done to assess the frequency of HGV exposure (ongoing and past infection) in Egyptian children with CRF and to study the possible risk factors of infection. METHODS: This study included 100 children with CRF [34 on regular haemodialysis (HD) and 66 before the start of dialysis (predialysis)]. All patients sera were tested for HGV RNA by RT-PCR, anti E2, hepatitis C virus (HCV) antibody, hepatitis B surface antigen (HBsAg), and hepatitis B core antibody (HBcAB). Twenty five healthy children of matched age &amp; sex were used as controls. RESULTS: HGV RNA was positive in 9 (26.5%) of HD and 9 (13.6%) of predialysis children. Anti E2 was positive in 14 (41.2%) of HD and 19 (28.8%) of predialysis children.In comparison to controls; CRF (n = 100); HD and predialysis children had significantly higher prevalence of anti E2 [4% VS 33% for all CRF cases; (p = 0.002)&amp; 41.2% (p = 0.002) and 28.8% (p = 0.01); for HD and predialysis groups; respectively]. HGV RNA was significantly more prevalent only in HD children in comparison to controls (p = 0.03). HD and predialysis children did not have significant difference in the prevalence of HGV RNA (p = 0.16) or anti E2 (p = 0.26).HGV exposure was not correlated with positivity of anti HCV (p = 0.32), HCV RNA (0.09), HBsAg/HBcAB (p = 1), age (p = 0.06), or gender (p = 0.83). It was significantly correlated with duration of the disease (p &lt; 0.001). Ongoing HGV infection was significantly more prevalent with frequent blood transfusion (p &lt; 0.001). There were no significant differences in serum levels of ALT (p = 0.09), total bilirubin (p = 0.1) and albumin (p = 0.06) in children with ongoing infection in comparison to healthy controls. CONCLUSIONS: The frequency of HGV exposure in Egyptian children with CRF appears to be high and is mainly related to frequent blood transfusions and longer disease duration. HGV infection in these children is not associated with significant changes in hepatic biochemical parameters.",M1
20007296,"Down-regulation of liver drug-metabolizing enzymes in a murine model of chronic renal failure.Drug metabolism could be altered in patients with chronic renal failure (<e>CRF</e>). In rats, this phenomenon is related to a decrease in liver cytochrome P450 (P450) and phase II enzymes, particularly N-acetyltransferase 2 (NAT2). This study attempted to determine the effects of CRF on liver P450 isoforms and NAT2 expressions by using a CRF mouse model. Two groups of mice were studied: CRF induced by 3/4 nephrectomy and control. Liver protein expression and mRNA levels of the major P450 isoforms involved in drug metabolism (CYP1A2, 2C29, 2D, 2E1, and 3A11) and NAT2 were measured by Western blot and real-time polymerase chain reaction (PCR), respectively. CYP3A activity was also assessed by the N-demethylation of erythromycin. Results showed a significant reduction in the protein expression of CYP1A2 (56%), 2C29 (31%), and 3A11 (37%) in CRF mice compared with control animals. Real-time PCR revealed a similar reduction in mRNA levels of CYP1A2, 2C29, and 3A11 (59, 56, and 37%, respectively), in CRF mice. There was no significant modification in protein expression and mRNA of CYP2D and 2E1. Compared with control animals, CRF mice displayed a 25% reduction in N-demethylation of erythromycin. For NAT2, protein expression decreased by 33% and mRNA levels decreased by 23%. In conclusion, this study demonstrates that protein expression of liver CYP1A2, CYP2C29, and CYP3A11 is down-regulated in CRF mice, secondary to reduced gene expression. Phase II enzymes are similarly affected by CRF. Our results will allow the use of knockout mice to determine the mechanism underlying CRF-induced down-regulation of liver drug-metabolizing enzymes.",M1
19938555,"[Evaluate curative effect of chronic renal failure by methods of Bushen Jianpi Huoxue Paidu]OBJECTIVE: The evaluation of curative effect of <e>CRF</e> by Bushen Jianpi Huoxue Paidu and combination western medicine. METHOD: Gather articles mainly of VIP Information and Wanfang Data of the decade to cure CRF by Bushen Jianpi Huoxue Paidu and combination western medicine with random controlled way, and geostatistical analyse with RevMan4. 2 downloading from Cochrane Collaboration. RESULT: The control group was 3.82 (95% CI, 2.72-5.38), in neurofunction 2 al impairment. The serum creatinine SMD = -0.72 (95% CI, -1.08-(-)0.35). Urea Nitrogen WMD = -3.32 (95% CI, -4.34-(-)2.29), P &lt; 0.05. CONCLUSION: In addition to the routine treatment, the method of Bushen Jianpi Huoxue Paidu can be used by using some Chinese drugs to enhance the clinical effect.",M1
19929425,"Chromosome instability in patients with chronic renal failure.OBJECTIVE: The aim of this study was to investigate the frequency of sister chromatid exchanges (SCEs), the presence of cytostaticity, cytotoxicity, and therefore, the possible genetic instability in patients with chronic renal failure (<e>CRF</e>) in human cultured peripheral blood lymphocytes. METHODS: Peripheral blood lymphocytes were cultured from 32 patients with CRF (average 55.2 years) and 18 healthy blood donors (average 44.6 years), and the SCE method was applied afterward. The increase in SCE frequency was evaluated as an immediate DNA damage index, while the reduction in the values of the proliferating rate indices was evaluated as a cytostatic index and the mitotic indices as a cytotoxic index was also measured. RESULTS: A significant increase in the SCE frequencies along with a significant reduction in mitotic indices was observed in patients with CRF compared with the controls. It is notable that there was no significant difference in SCE levels among patients with CRF and cancer, and patients with CRF alone. CONCLUSIONS: This study illustrates increased genetic instability in patients with CRF. These results could also be of a great importance in early diagnosis to prognosticate a possible generation of neoplasm in the future.",M1
