@RELATION C0238052_C0010583

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20450308,"Cerebrotendinous xanthomatosis (<e>CTX</e>): an association of pulverulent cataracts and pseudo-dominant developmental delay in a family with a splice site mutation in CYP27A1--a case report.PURPOSE: A 15-year-old boy with developmental delay presented to the pediatric ophthalmology clinic with bilateral pulverulent cataracts. The family was examined for developmental delay, cataracts and systemic problems. METHODS: The parents were consanguineous and originally from Bangladesh. All the children were born in the UK. The mother and 5 children had developmental delay. Three children had global developmental delay, diarrhea and pulverulent cataracts. Two children had microcephaly, developmental delay, constipation and no cataracts. The mother did not have microcephaly, cataracts or gastrointestinal problems. Linkage analysis via autozygosity testing was performed for detection of loci and candidate genes. The patients with cataracts were segregated with homozygous mutations in the CYP27A1 (G to A substitution at position +1 of intron 6). RESULTS: The complex nature of this family's findings suggested that it had an unusual autosomal dominant condition with variable expression. Autozygosity testing demonstrated that three members had Cerebrotendinous xanthomatosis (CTX), which is inherited in an autosomal recessive manner. The aetiology of the developmental delay in other family members remains unknown. CONCLUSIONS: Cerebrotendinous xanthomatosis is a rare autosomal recessive condition that can result in neurological deficits and early death if left untreated. In view of the reversible nature of the condition with appropriate treatment, there needs to be a high level of suspicion of CTX for any child with cataracts and developmental delay even if the pattern of inheritance is not straightforward at initial assessment.",M1
20414172,"Cerebrotendinous xanthomatosis presenting with severe externalized disorder: improvement after one year of treatment with chenodeoxycholic Acid.Cerebrotendinous xanthomatosis (<e>CTX</e>) is a rare inborn disorder of sterol storage with autosomal recessive inheritance and a variable clinical presentation. We describe two siblings with an early psychiatric presentation of CTX-associated attention-deficit/hyperactivity disorder and oppositional defiant disorder, also associated with a mild intellectual disability and major behavioral impairments. In both cases, treatment with chenodeoxycholic acid improved externalized symptoms and a partial recovery of cognitive impairments was observed. This suggests that CTX is potentially reversible, demonstrating the need for early diagnosis and treatment of this disorder before irreversible neurological lesions can occur.",M1
19808031,"ESI-MS/MS quantification of 7alpha-hydroxy-4-cholesten-3-one facilitates rapid, convenient diagnostic testing for cerebrotendinous xanthomatosis.BACKGROUND: The genetic disorder cerebrotendinous xanthomatosis (<e>CTX</e>) frequently remains undiagnosed for many years. Left untreated CTX is associated with the development of cataracts, xanthomas and severe neurological dysfunction. The method routinely used to screen for CTX is GC-based measurement of elevated 5alpha-cholestanol from hydrolyzed plasma. A plasma test for CTX utilizing ESI-MS/MS methodology would be beneficial. METHODS: Development of rapid, simple LC-ESI-MS/MS methodology to test plasma for CTX is described. Two hour Girard derivatization allowed for 7alpha-hydroxy-4-cholesten-3-one quantification by isotope dilution LC-ESI-MS/MS within 12 min from un-hydrolyzed affected patient plasma (5 microl). RESULTS: Adequate sensitivity and reproducibility were achieved for quantification of 7alpha-hydroxy-4-cholesten-3-one, which demonstrated improved utility as a diagnostic marker of disease and to monitor treatment compared to 5alpha-cholestanol. The mean plasma concentration of 7alpha-hydroxy-4-cholesten-3-one in untreated CTX-affected patients (n=6) was 107-fold that in unaffected subjects (n=9), with the lowest concentration in affected patients &gt;10-fold the highest concentration in unaffected subjects. CONCLUSION: Quantification of the bile acid precursor 7alpha-hydroxy-4-cholesten-3-one with LC-ESI-MS/MS is a novel approach to improved diagnostic testing of plasma for CTX, amenable to high-throughput analysis and automated sample handling. Development of ESI-MS/MS methodology should make CTX testing more widely available and facilitate easier diagnosis of CTX.",M1
19696711,"Cerebrotendinous xanthomatosis (<e>CTX</e>): a treatable lipid storage disease.Cerebrotendinous xanthomatosis (CTX) is a rare autosomal recessive lipid storage disease with multi-organ involvement. The clinical manifestations usually start at infancy and develop during the first and second decades of life; infantile-onset diarrhea may be the earliest clinical manifestation of CTX. Additional clinical manifestations are juvenile cataracts, tendon xanthomas, and multiple progressive neurological symptoms. Systemic manifestations that are often found include osteoporosis, heart involvement and premature arteriosclerosis. CTX is caused by mutations in the sterol 27 hydroxylase gene (CYP27) on chromosome 2q35-qter, which is responsible for conversion of cholesterol to cholic and chenodeoxycholic acid. Reduced synthesis of cholic and chenodeoxycholic acid results in failed feedback inhibition of cholesterol production, which in turn leads to increased serum cholestanol concentration and elevated urinary bile alcohols. Early treatment with chenodeoxycholic acid (CDCA) prevents the clinical symptoms and prevents deterioration. Although CTX is rare world wide, genetic islands of high frequency have been reported. In this review we would like to familiarize the reader with this fatal inborn error of metabolism that is possibly under-diagnosed and is preventable once recognized and treated.",M1
19457308,"[Cerebrotendinous xanthomatosis: report of 4 patients]Cerebrotendinous xanthomatosis (<e>CTX</e>) is an uncommon autosomal recessive disease caused by mutation of the CYP27A1 gene. It is characterized by the presence of xanthomas in different tissues, principally brain and tendon, due to the accumulation of beta-cholestanol. Diagnosis is confirmed by measurement of serum beta-cholestanol and urinary bile alcohol levels. Therapy with chenodeoxycholic acid has been shown to be the most effective treatment and can halt progression of the disease. We present 4 patients with a history of neurological disorders since childhood and who were diagnosed with CTX after developing tendon xanthomas. Although diagnostic suspicion depends to a large extent on recognition of tendon xanthomas, these are not an early sign of the disease, which can present with neurological disorders, cataracts, and chronic diarrhea. Early diagnosis of CTX therefore rests on measurement of serum beta-cholestanol levels, even in absence of tendon xanthomas.",M1
18051740,"Cerebrotendinous xanthomatosis: a treatable cause of metabolic ataxia.Cerebrotendinous xanthomatosis is an exceptionally rare condition in Indian subcontinent, however, it is potentially treatable if diagnosed. We present and discuss the clinical presentation and investigations in a case of cerebrotendinous xanthomatosis (<e>CTX</e>).",M1
17697869,"Mutational analysis of CYP27A1: assessment of 27-hydroxylation of cholesterol and 25-hydroxylation of vitamin D.The CYP27A1 gene encodes a mitochondrial enzyme that modulates the acidic biosynthetic pathway for bile acids beginning with the 27-hydroxylation of cholesterol. CYP27A1 also 25-hydroxylates vitamin D(3). Gene mutations cause cerebrotendinous xanthomatosis (<e>CTX</e>), an autosomal recessive disorder, and may cause 25-hydroxyvitamin D deficiency and early-onset osteoporosis and fractures in affected patients. To examine the effects of mutations of CYP27A1 on vitamin D and cholesterol hydroxylating activity, recombinant CYP27A1 and mutant complementary DNAs produced by site-directed mutagenesis were stably expressed in either Escherichia coli or COS-1 cells. Activities of wild-type and mutant enzymes were determined with cholesterol, vitamin D(3), and 1alpha-hydroxyvitamin D(3) (1alphaOHD(3)) as substrates. Of the 15 mutants tested, 11 expressed protein and 4 expressed little or no protein. Functional heme activity, estimated by reduced CO difference spectra at 450 nm, was absent in 12 mutants. When expressed in E. coli, 3 mutants, K226R, D321G, and P408S, each known to cause clinically CTX, showed modest decreases in reduced CO spectra peak and either no change or decreases of less than 50% in hydroxylation of cholesterol, vitamin D(3), and 1alphaOHD(3) compared with wild type. When expressed transiently in COS-1 cells, each of these mutants showed 25-hydroxylation activity for 1alphaOHD(3) as well as wild type. Thus, 3 mutants, K226R, D321G, and P408S, known to occur clinically with nonfunctioning mutants, hydroxylated cholesterol, vitamin D(3), and 1alphaOHD(3). How they contribute to the pathogenesis of CTX despite being biologically active in vitro remains to be determined.",M1
17603722,"Cerebrotendinous xanthomatosis in a Saudi Arabian family-genotyping and long-term follow-up.A Saudi Arabian family is described in which there were 2 siblings with typical features of cerebral xanthomatosis <e>CTX</e> including premature cataracts, xanthomata of the Achilles tendons, neuro-psychiatric disturbances, and atherosclerosis. The 2 patients were homozygous for a point mutation in the mitochondrial 27-hydroxylase gene CYP27A1, OMIM 606530 located in the splice site of intron 6, where G was exchanged for A IVS6+1G&gt;A. Their parents were cousins, 5 siblings were healthy, 2 were heterozygous for the mutation, and one showed the wild-type genotype. The father was heterozygous for the mutation, while the other family members were not tested. The progress of the 2 CTX patients over 14 years is described; firstly when they were receiving treatment with chenodeoxycholic acid; when this medication was not available, and later when it was restored. A hereditary hyperlipidemia was also present in this family. It is suggested that when this occurs with CTX, a more serious illness results that merits more aggressive dual therapy.",M1
17553741,"Rifampicin-induced CYP3A4 activation in <e>CTX</e> patients cannot replace chenodeoxycholic acid treatment.Cerebrotendinous xanthomatosis (CTX) is a rare neurodegenerative disorder with cholestanol accumulation resulting from mutations in the sterol 27-hydroxylase gene (CYP27A). Conventional treatment includes chenodeoxycholic acid and HMG-CoA reductase inhibitors. Mice with disrupted Cyp27A (Cyp27 KO) do not show elevated cholestanol levels nor develop CTX manifestations. This phenomenon was proposed to be due to murine CYP3A overexpression leading to an alternative pathway for degradation of bile alcohols including cholestanol. Our objective was to examine the influence of CYP3A4 induction on cholestanol elimination in CTX patients. Rifampicin (600 mg/day x 7 days), known to induce the PXR, and thereby to increase CYP3A activity, was used. The degree of CYP3A4 induction was assessed by comparing midazolam pharmacokinetics before and after rifampicin treatment. Cholestanol levels and cholestanol/cholesterol ratios were assayed during the experimental period and compared to a 3 weeks period without treatment. The results show that despite 60% increase in CYP3A4 activity following rifampicin treatment, there is no significant change in cholestanol levels. We conclude that up-regulated expression of CYP3A affects cholestanol elimination in mice differently as compared to its effect in CTX patients. Therefore, CYP3A4 inducers cannot replace chenodeoxycholic acid for the treatment of CTX.",M1
17444890,"Unique patient with cerebrotendinous xanthomatosis. Evidence for presence of a defect in a gene that is not identical to sterol 27-hydroxylase.Cerebrotendinous xanthomatosis (<e>CTX</e>) is a rare autosomal recessive disorder believed to be exclusively caused by mutations in the CYP27A1 gene coding for the enzyme sterol 27-hydroxylase. Common findings in CTX are tendon xanthomas, cataracts and progressive neurological dysfunction. Here, we characterize an adult female patient with tendon xanthomas and classic biochemical findings of CTX (i.e. high levels of bile alcohols and cholestanol and extremely low levels of 27-hydroxycholesterol in plasma). Additionally, sterol 27-hydroxylase activity in cultured monocyte-derived macrophages from this patient was &lt;5% of normal. Sequencing the CYP27A1 gene uncovered that the patient is heterozygous for two previously undescribed base substitutions in exon 8, C478A and C479A, which are expected to affect the haeme-binding domain of the enzyme. When expressed in HEK293 cells, the corresponding protein had only 8% of normal enzymatic activity. No other mutation was found in the open reading frame of the CYP27A1 gene, intron-exon boundaries or in the 5'-untranslated region up to 5000 bp distal to the translational start site. Sequencing mRNA isolated from leucocytes from the patient revealed a 1 : 1 ratio of mutated and nonmutated species, with total mRNA levels that were not significantly different from the controls. It is concluded that the patient is heterozygous for two mutations affecting one allele of the CYP27A1 gene and with at least one additional yet undefined gene that is of critical importance for the activity of sterol 27-hydroxylase.",M1
