@RELATION C1260899_C0025923

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20054847,"Genetic variants in the noncoding region of RPS19 gene in Diamond-Blackfan anemia: potential implications for phenotypic heterogeneity.Mutations in the RPS19 gene have been identified in 25% of individuals affected by Diamond-Blackfan anemia (<e>DBA</e>), a congenital erythroblastopenia characterized by an aregenerative anemia and a variety of malformations. More than 60 mutations in the five coding exons of RPS19 have been described to date. We previously reported a mutation (c.-1 + 26G&gt;T) and an insertion at -631 upstream of ATG (c.-147_-146insGCCA) in the noncoding region. Because DBA phenotype is extremely heterogeneous from silent to severe and because haploinsufficiency seems to play a role in this process, it is likely that genetic variations in the noncoding regions affecting translation of RPS19 can modulate the phenotypic expression of DBA. However, to date, very few studies have addressed this question comprehensively. In this study, we performed detailed sequence analysis of the RPS19 gene in 239 patients with DBA and 110 of their relatives. We found that 6.2% of the patients with DBA carried allelic variations upstream of ATG: 3.3% with c.-1 + 26G&gt;T; 2.5% with c.-147_-146insGCCA; and 0.4% with c.-174G&gt;A. Interestingly, the c.-147_-146insGCCA, which has been found in a black American and French Caribbean control population, was not found in 500 Caucasian control chromosomes we studied. However, it was found in association with the same haplotype distribution of four intronic polymorphisms in our patients with DBA. Although a polymorphism, the frequency of this variant in the patients with DBA and its association with the same haplotype raises the possibility that this polymorphism and the other genetic variations in the noncoding region could play a role in DBA pathogenesis.",M1
20022637,"Ocular and orbital manifestations of the inherited bone marrow failure syndromes: Fanconi anemia and dyskeratosis congenita.PURPOSE: The inherited bone marrow failure syndromes (IBMFS) are a heterogeneous group of genetic disorders that share the inability of the bone marrow to produce an adequate number of blood cells. The 4 most frequent syndromes are Fanconi anemia (FA), dyskeratosis congenita (DC), Diamond-Blackfan anemia (<e>DBA</e>), and Shwachman-Diamond syndrome (SDS). All 4 syndromes have been associated with various physical abnormalities. As part of a genotype/phenotype/cancer susceptibility study, we determined the prevalence of ophthalmic manifestations in these 4 syndromes. DESIGN: Cross-sectional study of a patient cohort. PARTICIPANTS: Seventy-five patients with an IBMFS and 121 of their first-degree relatives were seen in the National Eye Institute, National Institutes of Health, from 2001 to 2007. The patient group included 22 with FA, 28 with DC, 19 with DBA, and 6 with SDS. METHODS: Every participant underwent a complete ophthalmic evaluation and digital facial photography with an adhesive paper ruler on the patient's forehead for an internal measure of scale. Interpupillary distance (IPD), inner canthal distance (ICD), outer canthal distance (OCD), palpebral fissure length (PFL), and corneal diameter (CD) were measured. Thirteen of the 22 patients with FA underwent axial length (AL) measurements by A-scan ultrasonography. MAIN OUTCOME MEASURES: Type and prevalence of ophthalmic manifestations. RESULTS: Ninety-five percent of patients with FA had at least 1 abnormal parameter, and 25% of patients had at least 4 abnormal parameters. Eighty-two percent of patients had small palpebral fissures, 69% of patients had simple microphthalmia, 64% of patients had small OCD, 55% of patients had microcornea, 28% of patients had ptosis, and 6% of patients had epicanthal folds. In patients with DC, abnormalities of the lacrimal drainage system (29%) were the most prevalent findings, followed by retinal abnormalities (pigmentary changes, retinal neovascularization, retinal detachment, exudative retinopathy) in 21%, cicatricial entropion with trichiasis and blepharitis in 7% each, and sparse eyelashes and congenital cataract in 3.5% each. No significant ophthalmic abnormalities were seen in patients with DBA or SDS. CONCLUSIONS: Syndrome-specific ocular findings are associated with FA and DC and may antedate diagnosis of the specific syndrome. Early recognition of these abnormalities is important for optimal management.",M1
19958353,"Pathogenesis of the erythroid failure in Diamond Blackfan anaemia.Diamond Blackfan anaemia (<e>DBA</e>) is a severe congenital failure of erythropoiesis. Despite mutations in one of several ribosome protein genes, including RPS19, the cause of the erythroid specificity is still a mystery. We hypothesized that, because the chromatin of late erythroid cells becomes condensed and transcriptionally inactive prior to enucleation, the rapidly proliferating immature cells require very high ribosome synthetic rates. RNA biogenesis was measured in primary mouse fetal liver erythroid progenitor cells; during the first 24 h, cell number increased three to fourfold while, remarkably, RNA content increased sixfold, suggesting an accumulation of an excess of ribosomes during early erythropoiesis. Retrovirus infected siRNA RPS19 knockdown cells showed reduced proliferation but normal differentiation, and cell cycle analysis showed a G1/S phase delay. p53 protein was increased in the knockdown cells, and the mRNA level for p21, a transcriptional target of p53, was increased. Furthermore, we show that RPS19 knockdown decreased MYB protein, and Kit mRNA was reduced, as was the amount of cell surface KIT protein. Thus, in this small hairpin RNA murine model of DBA, RPS19 insufficient erythroid cells may proliferate poorly because of p53-mediated cell cycle arrest, and also because of decreased expression of the key erythroid signalling protein KIT.",M1
19953637,"A novel initiation codon mutation in the ribosomal protein S17 gene (RPS17) in a patient with Diamond-Blackfan anemia.Diamond-Blackfan anemia (<e>DBA</e>) is an inherited bone marrow failure syndrome characterized by pure red cell aplasia, various congenital anomalies, and cancer predisposition. We report a novel mutation in the RPS17 gene in a Korean patient with DBA. The mutation occurred in the translation initiation codon, changing Atg to Gtg (c.1A&gt;G), thus disrupting the natural start of the RPS17 protein biosynthesis. This is the third case of DBA from a RPS17 mutation in the literature and is the second case of a RPS17 mutation in the translation initiation codon, following c.2T&gt;G.",M1
19915471,"Diamond Blackfan anemia 2008-2009: broadening the scope of ribosome biogenesis disorders.PURPOSE OF REVIEW: Diamond Blackfan anemia (<e>DBA</e>) is an inherited bone marrow failure syndrome characterized by erythroid failure, congenital anomalies and predisposition to cancer. Recently, the notion of DBA as a disorder of ribosome biogenesis has been clarified. Correlations between molecular underpinnings and disease pathophysiology, while elusive, are beginning to emerge. Advances in these areas will be explored in this review. RECENT FINDINGS: All known genes mutated in DBA encode ribosomal proteins associated with either the small (RPS) or large (RPL) subunit and in these cases ribosomal protein haploinsufficiency gives rise to the disease. The number of genes affected, their potential interactions with the environment and modifier genes, and the myriad of potential signaling pathways linking abortive ribosome synthesis to cell-cycle regulators may all contribute to disease heterogeneity. Genotype/phenotype relationships emerging over the past year promise to shed light on these complex interrelationships and their role in DBA pathophysiology. SUMMARY: The nosology of DBA has recently expanded to include two distinct disease categories: a classical inherited bone marrow failure syndrome and a 'ribosomopathy'. The description of DBA as a ribosomopathy has provided a context for scientific inquiry analogous to the description of Fanconi anemia as a disorder of DNA repair.",M1
19816270,"Curvilinear mandibular distraction in a patient with mandibulofacial dysostosis associated with Diamond-Blackfan anemia.Diamond-Blackfan anemia (<e>DBA</e>) is a congenital erythroid aplasia or hypoplasia presenting in infancy as a macrocytic anemia. It has been linked to a gene defect resulting in the absence of specific ribosomal proteins that enable erythroid maturation. Treacher Collins syndrome is also associated with defective ribosomal biogenesis. Fifty percent of patients with DBA also present with additional physical abnormalities including growth delay, craniofacial abnormalities, upper limp abnormalities, cardiac defects, urogenital malformations, and cleft palate. Upper airway obstruction may be a complication from craniofacial disorders and may be responsible for life-threatening sleep apnea that may result in pneumonia or respiratory failure. This report is of a patient with DBA who presented at birth with respiratory distress secondary to tongue-based obstruction of the airway due to mandibulofacial dysostosis leading to need for intubation. In an effort to avoid a tracheostomy, the patient underwent bilateral internal mandibular osteodistraction on day 4 of life with a latency period of 0 days and a distraction at a rate of 2 mm/d for 10 days until a class 3 dental occlusion existed with 5 mm of overcorrection. In addition, the patient was born with choanal atresia that was repaired at day 30 of life. After completion of the mandibular distraction, the patient has avoided tracheostomy and is now 6 months of age. Recent polysomnogram has demonstrated no significant apnea or hypopnea.",M1
19810012,"Severe iron overload in Blackfan-Diamond anemia: a case-control study.Chronic iron overload is a serious complication in transfusion-dependent patients. Few studies have addressed this issue in Diamond-Blackfan anemia (<e>DBA</e>). We describe a retrospective analysis of iron overload, and its related complications in 31 transfusion-dependent Italian DBA patients whose records included one or more evaluation of liver iron concentration (LIC) by means of noninvasive magnetic liver susceptometry with a superconductive quantum interference device (SQUID). This cohort is also matched with a group of transfusion-dependent beta-thalassemia major patients to look for differences. A severe iron overload was observed in 54% patients, especially among those inadequately chelated. The DBA patients displayed a significantly higher LIC than the regularly chelated beta-thalassemics. This difference may have been attributable to nonoptimal chelation (late onset, type, dose, prescription, and compliance), or an unknown biological mechanism that lead to an early severe iron overload. We therefore suggest that all transfusion patients should have an accurate record of their iron intake, a regular monitoring of iron overload, in order to start chelation when a critical transfusion load is reached, and to test the efficacy/compliance of chelation treatment. Physicians taking care of transfusion-dependent DBA patients must be concerned about the frequent and early complications such as cardiac toxicity. Am. J. Hematol., 2009. (c) 2009 Wiley-Liss, Inc.",M1
19770060,"Congenital disorders of ribosome biogenesis and bone marrow failure.Diamond Blackfan anemia (<e>DBA</e>) is a congenital bone marrow (BM) failure syndrome that typically results in macrocytic anemia within the first year of life. DBA is also associated with birth defects, increased incidence of cancer, and other cytopenias. Shwachman-Diamond syndrome (SDS) is a multisystem disease characterized by exocrine pancreatic dysfunction, impaired hematopoiesis, and leukemia predisposition. Other clinical features include skeletal, immunologic, hepatic, and cardiac disorders. Treatment for these BM failure syndromes, including stem cell transplantation (SCT), will be discussed in this review.",M1
19765279,"Fibroblasts from patients with Diamond-Blackfan anaemia show abnormal expression of genes involved in protein synthesis, amino acid metabolism and cancer.BACKGROUND: Diamond-Blackfan anaemia (<e>DBA</e>) is a rare inherited red cell hypoplasia characterised by a defect in the maturation of erythroid progenitors and in some cases associated with malformations. Patients have an increased risk of solid tumors. Mutations have been found in several ribosomal protein (RP) genes, i.e RPS19, RPS24, RPS17, RPL5, RPL11, RPL35A. Studies in haematopoietic progenitors from patients show that haplo-insufficiency of an RP impairs rRNA processing and ribosome biogenesis. DBA lymphocytes show reduced protein synthesis and fibroblasts display abnormal rRNA processing and impaired proliferation. RESULTS: To evaluate the involvement of non-haematopoietic tissues in DBA, we have analysed global gene expression in fibroblasts from DBA patients compared to healthy controls. Microarray expression profiling using Affymetrix GeneChip Human Genome U133A 2.0 Arrays revealed that 421 genes are differentially expressed in DBA patient fibroblasts. These genes include a large cluster of ribosomal proteins and factors involved in protein synthesis and amino acid metabolism, as well as genes associated to cell death, cancer and tissue development. CONCLUSION: This analysis reports for the first time an abnormal gene expression profile in a non-haematopoietic cell type in DBA. These data support the hypothesis that DBA may be due to a defect in general or specific protein synthesis.",M1
19689926,"Ribosomal protein S19 and S24 insufficiency cause distinct cell cycle defects in Diamond-Blackfan anemia.Diamond-Blackfan anemia (<e>DBA</e>) is a severe congenital anemia characterized by a specific decrease of erythroid precursors. The disease is also associated with growth retardation, congenital malformations, a predisposition for malignant disease and heterozygous mutations in either of the ribosomal protein (RP) genes RPS7, RPS17, RPS19, RPS24, RPL5, RPL11 and RPL35a. We show herein that primary fibroblasts from DBA patients with truncating mutations in RPS19 or in RPS24 have a marked reduction in proliferative capacity. Mutant fibroblasts are associated with extended cell cycles and normal levels of p53 when compared to w.t. cells. RPS19 mutant fibroblasts accumulate in the G1 phase, whereas the RPS24 mutant cells show an altered progression in the S phase resulting in reduced levels in the G2/M phase. RPS19 deficient cells exhibit reduced levels of Cyclin-E, CDK2 and retinoblastoma (Rb) protein supporting a cell cycle arrest in the G1 phase. In contrast, RPS24 deficient cells show increased levels of the cell cycle inhibitor p21 and a seemingly opposing increase in Cyclin-E, CDK4 and CDK6. In combination, our results show that RPS19 and RPS24 insufficient fibroblasts have an impaired growth caused by distinct blockages in the cell cycle. We suggest this proliferative constraint to be an important contributing mechanism for the complex extra-hematological features observed in DBA.",M1
