@RELATION C0010980_C0950121_C0085104

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2, M3}

@DATA
19517101,"Pharmacokinetics of chlorproguanil, dapsone, artesunate and their major metabolites in patients during treatment of acute uncomplicated Plasmodium falciparum malaria.OBJECTIVE: Chlorproguanil (CPG)-dapsone (<e>DDS</e>)-artesunate was in development for the treatment of uncomplicated Plasmodium falciparum malaria. The pharmacokinetics of CPG, DDS, artesunate and their metabolites chlorcycloguanil (CCG), monoacetyl dapsone (MADDS) and dihydroartemisinin (DHA) were investigated in patients with P. falciparum given CPG-DDS alone or plus artesunate. METHODS: Adult patients from Malawi and The Gambia taking part in a phase II clinical trial were randomised to receive a 3-day treatment of CPG-DDS alone (2/2.5 mg/kg/day) or plus 1, 2 or 4 mg/kg/day artesunate. Blood samples for pharmacokinetic analysis were collected up to 24 h post-first dose. RESULTS: The pharmacokinetic analysis included 115 patients. For CPG, there was no significant effect of artesunate on C(max) or AUC(0-24), except the 90% confidence interval (CI) for AUC(0-24) for the 4 mg/kg artesunate dose was slightly below that for the standard bioequivalence range (90% CI 0.78, 1.11); this was not considered clinically relevant. Artesunate increased the CCG AUC(0-24) by 6-17% and C(max) by 0-16%. Artesunate had no significant effect on the rate or extent of absorption of DDS. For MADDS, artesunate increased the AUC(0-24) by 13-47% and C(max) by 8-45%. For 1, 2 and 4 mg/kg artesunate dosing, artesunate AUC(0-infinity) was 64.6, 151 and 400 ng.h/ml and C(max) 48.9, 106 and 224 ng/ml respectively; DHA AUC(0-infinity) was 538, 1,445 and 3,837 ng.h/ml and C(max) 228, 581 and 1,414 ng/ml respectively. Using a power model, the point estimates of slope were greater than 1 for artesunate AUC(0-t) by 16% and C(max) by 5% and for DHA by 39 and 21% respectively. CONCLUSION: Artesunate did not significantly affect CPG or DDS pharmacokinetics. For CCG and MADDS, small to moderate increases in exposure with artesunate dosing were observed. There was a greater than proportional increase in artesunate and DHA exposure with increasing artesunate dose. These effects are not considered to be clinically relevant. It should be noted that the CPG-DDS-artesunate programme has now been stopped following unacceptable haematological toxicity in patients with glucose-6-phosphate dehydrogenase deficiency during a phase III trial. In addition, the CPG-DDS combination has been withdrawn from clinical use.",M1
18713254,"A possible inhibitory action of diaminodiphenyl sulfone on tumour necrosis factor-alpha production from activated mononuclear cells on cutaneous lupus erythematosus.BACKGROUND: We have previously reported that diaminodiphenyl sulfone (<e>DDS</e>; dapsone) can bring about significant clinical improvement in patients with cutaneous lupus erythematosus (CLE). However, the pharmacological actions of DDS in the skin lesion of patients with CLE are still unknown. OBJECTIVE: In this study, we aimed to clarify the pharmacological actions of DDS on CLE. METHODS: We conducted an in vitro study to examine the effects of DDS on the mRNA expression and production of cytokines on lipopolysaccharide-stimulated peripheral blood mononuclear cells. Results. DDS suppressed mRNA expression of tumour necrosis factor (TNF)-alpha and significantly decreased the level of TNF-alpha in culture supernatant. CONCLUSIONS: DDS may exert an anti-inflammatory action by suppressing TNF-alpha produced by activated mononuclear cells.",M1
18713227,"Hansen's disease in Portugal: multibacillary patients treated between 1988 and 2003.BACKGROUND: There is an estimate low incidence of patients with Hansen's disease in Portugal. Following the 1982 World Health Organization (WHO) recommendations, extended multidrug therapy (MDT) was started for multibacillary (MB) patients. Patients were then treated with rifampicine (RFP), clofazimine (CLF) and dapsone (<e>DDS</e>) for a minimum of 2 years or until smear negativity. The aim of this study was to evaluate MDT efficacy in our patient population. METHODS: Retrospective and descriptive study of 102 MB patients who underwent MDT from 1988 to 2003. RESULTS: The number of new MB patients has gradually increased since 1960, the first year of our consultation, due mostly to a rise in imported cases. Overall, 34% of the subjects were immigrants, mainly from former Portuguese Colonies. Forty-six patients had previously received monotherapy with DDS (mean duration of this treatment, 22 years). Relapse after MDT occurred in 9 cases (8.8%), but importantly, all relapsed cases were smear negative at least on one occasion after the end of treatment, suggesting these were true relapses rather than treatment failures. CONCLUSIONS: Despite the 2-year WHO-MDT regimen, patients with MB disease clearly face the possibility of relapse. We propose that any reduction in the duration of therapy such as the recently proposed 6-month standard MDT is likely to increase the relapse rate even further. Important issues for future consideration are the needs to identify those at risk of relapse and in need of alternative antimicrobial treatment with a prolonged clinical follow-up.",M1
18602405,"Dapsone induces oxidative stress and impairs antioxidant defenses in rat liver.Dapsone (<e>DDS</e>) is currently used in the treatment of leprosy, malaria and in infections with Pneumocystis jirovecii and Toxoplasma gondii in AIDS patients. Adverse effects of DDS involve methemoglobinemia and hemolysis and, to a lower extent, liver damage, though the mechanism is poorly characterized. We evaluated the effect of DDS administration to male and female rats (30 mg/kg body wt, twice a day, for 4 days) on liver oxidative stress through assessment of biliary output and liver content of reduced (GSH) and oxidized (GSSG) glutathione, lipid peroxidation, and expression/activities of the main antioxidant enzymes glutathione peroxidase, superoxide dismutase, catalase and glutathione S-transferase. The influence of DDS treatment on expression/activity of the main DDS phase-II-metabolizing system, UDP-glucuronosyltransferase (UGT), was additionally evaluated. The involvement of dapsone hydroxylamine (DDS-NHOH) generation in these processes was estimated by comparing the data in male and female rats since N-hydroxylation of DDS mainly occurs in males. Our studies revealed an increase in the GSSG/GSH biliary output ratio, a sensitive indicator of oxidative stress, and in lipid peroxidation, in male but not in female rats treated with DDS. The activity of all antioxidant enzymes was significantly impaired by DDS treatment also in male rats, whereas UGT activity was not affected in any sex. Taken together, the evidence indicates that DDS induces oxidative stress in rat liver and that N-hydroxylation of DDS was the likely mediator. Impairment in the activity of enzymatic antioxidant systems, also associated with DDS-NHOH formation, constituted a key aggravating factor.",M1
18477230,"Neutrophilic, urticaria-like erythema associated with immunoglobulin A monoclonal gammopathy of undetermined significance.A 70-year-old-male had suffered from non-pruritic, erythematous eruptions on the trunk for 3 months without any general symptoms. The individual lesions lasted for several days. Laboratory investigation showed marked elevation of serum immunoglobulin A (2235 mg/dL) with monoclonal gammopathy (IgA k-type). Monoclonal gammopathy of undetermined significance was diagnosed. Histopathological examination of the eruption revealed diffuse neutrophilic infiltration with leukocytoclasia in the dermis. There was no vasculitis. Treatment with antihistamines alone was not effective. Diaphenyl sulfone (<e>DDS</e>) at 75 mg/day dramatically improved the skin lesions. A similar case of urticarial erythema associated with IgA myeloma has been previously reported. We suggest that neutrophilic, urticaria-like erythema associated with IgA monoclonal gammopathy may be regarded as a new entity.",M1
18320064,"Open-label comparative clinical study of chlorproguanil-dapsone fixed dose combination (Lapdap) alone or with three different doses of artesunate for uncomplicated Plasmodium falciparum malaria.The objective of this study was to determine the appropriate dose of artesunate for use in a fixed dose combination therapy with chlorproguanil-dapsone (CPG-<e>DDS</e>) for the treatment of uncomplicated falciparum malaria. METHODS: Open-label clinical trial comparing CPG-DDS alone or with artesunate 4, 2, or 1 mg/kg at medical centers in Blantyre, Malawi and Farafenni, The Gambia. The trial was conducted between June 2002 and February 2005, including 116 adults (median age 27 years) and 107 children (median age 38 months) with acute uncomplicated Plasmodium falciparum malaria. Subjects were randomized into 4 groups to receive CPG-DDS alone or plus 4, 2 or 1 mg/kg of artesunate once daily for 3 days. Assessments took place on Days 0-3 in hospital and follow-up on Days 7 and 14 as out-patients. Efficacy was evaluated in the Day 3 per-protocol (PP) population using mean time to reduce baseline parasitemia by 90% (PC90). A number of secondary outcomes were also included. Appropriate artesunate dose was determined using a pre-defined decision matrix based on primary and secondary outcomes. Treatment emergent adverse events were recorded from clinical assessments and blood parameters. Safety was evaluated in the intent to treat (ITT) population. RESULTS: In the Day 3 PP population for the adult group (N = 85), mean time to PC90 was 19.1 h in the CPG-DDS group, significantly longer than for the +artesunate 1 mg/kg (12.5 h; treatment difference -6.6 h [95%CI -11.8, -1.5]), 2 mg/kg (10.7 h; -8.4 h [95%CI -13.6, -3.2]) and 4 mg/kg (10.3 h; -8.7 h [95%CI -14.1, -3.2]) groups. For children in the Day 3 PP population (N = 92), mean time to PC90 was 21.1 h in the CPG-DDS group, similar to the +artesunate 1 mg/kg group (17.7 h; -3.3 h [95%CI -8.6, 2.0]), though the +artesunate 2 mg/kg and 4 mg/kg groups had significantly shorter mean times to PC90 versus CPG-DDS; 14.4 h (treatment difference -6.4 h [95%CI -11.7, -1.0]) and 12.8 h (-7.4 h [95%CI -12.9, -1.8]), respectively. An analysis of mean time to PC90 for the Day 14 PP and ITT populations was consistent with the primary analysis. Treatment emergent, drug-related adverse events were experienced in 35.3% (41/116) of adults and 70.1% (75/107) of children; mostly hematological and gastroenterological. The nature and incidence of adverse events was similar between the groups. No dose-related changes in laboratory parameters were observed. Nine serious adverse events due to any cause occurred in five subjects including two cases of hemolysis believed to be associated with drug treatment (one adult, one child). One adult died of anaphylactic shock, not associated with investigational therapy. CONCLUSIONS: CPG-DDS plus artesunate demonstrated advantages over CPG-DDS alone for the primary efficacy endpoint (mean time to PC90) except in children for the 1 mg/kg artesunate dose. Based on a pre-defined decision matrix, the primary endpoint in the child group supported an artesunate dose of 4 mg/kg. Secondary endpoints also supported a 4 mg/kg artesunate dose to take forward into the remainder of the development program. TRIAL REGISTRATION: ClinicalTrials.gov NCT00519467.",M1
18309716,"Dapsone induced acute photosensitivity dermatitis; a case report and review of literature.Dapsone is one of the main constituents of anti-leprosy treatment and has been in use for various dermatological and non-dermatological indications since the 1940s. Dapsone-induced photosensitivity is a rare complication. Only 11 cases seem to have been reported in the literature. We report a case of dapsone-induced photosensitivity in an Indian patient with leprosy, and briefly review the literature. Dapsone (diaminodiphenyl sulphone or <e>DDS</e>) is the most commonly used anti-leprosy drug since the 1940s. Apart from leprosy, it is used for various other infectious and non- infectious dermatoses as well as for prevention of Pneumocystis carinii pneumonia in HIV infected patients. It is one of the main constituents of multidrug therapy (MDT) in leprosy by virtue of its anti-mycobacterial properties. It acts by interference with folate metabolism. Because of its inhibitory effect in neutrophil chemotaxis and neutrophilic oxygen burst, it acts as a potent anti-inflammatory agent. Documented cutaneous adverse effects of dapsone include generalised maculopapular rash, exfoliative dermatitis, toxic epidermal necrolysis, erythema multiforme, erythema nodosum, pustular and acneiform skin eruptions. Photosensitivity dermatitis is a very rare side-effect of dapsone and to the best of our knowledge, only 11 cases have been reported in the literature to date.",M1
17553916,"Detection of haptenated proteins in organotypic human skin explant cultures exposed to dapsone.Bioactivation of parent drug to reactive metabolite(s) followed by protein haptenation has been suggested to be a critical step in the elicitation of cutaneous drug reactions. Although liver is believed to be the primary organ of drug bioactivation quantitatively, other organs including skin may also metabolize drugs. Cultured human epidermal keratinocytes and dermal fibroblasts have been shown to be capable of bioactivating sulfonamides and sulfones, giving rise to haptenated proteins. It is, however, unclear whether metabolic events in these isolated cells reflect bioactivation in vivo. Hence, split-thickness human skin explants were exposed to dapsone (<e>DDS</e>) or its arylhydroxylamine metabolite (dapsone hydroxylamine, D-NOH) and probed for protein haptenation. DDS and D-NOH were applied either epicutaneously or mixed in the medium (to mimic its entry into skin from the systemic circulation). DDS-protein adducts were readily detected in skin explants exposed to either DDS or D-NOH. Adducts were detected mainly in the upper epidermal region in response to epicutaneous application, whereas adducts were formed all over the explants when DDS/D-NOH were mixed in the culture medium. In addition, adducts were visible in HLA-DR+ cells, indicating their presence in the dendritic cell population in the skin. Our results demonstrate the ability of intact human skin to bioactivate DDS leading to protein haptenation.",M1
17220235,"Formation and uptake of arylhydroxylamine-haptenated proteins in human dendritic cells.Bioactivation of sulfonamides and the subsequent formation of haptenated proteins is believed to be a critical step in the development of hypersensitivity reactions to these drugs. Numerous lines of evidence suggest that the presence of such adducts in dendritic cells (DCs) migrating to draining lymph nodes is essential for the development of cutaneous reactions to xenobiotics. Our objective was to determine the ability of human DCs to form drug-protein covalent adducts when exposed to sulfamethoxazole (SMX), dapsone (<e>DDS</e>), or their arylhydroxylamine metabolites [sulfamethoxazole hydroxylamine (S-NOH) and dapsone hydroxylamine (D-NOH)] and to take up preformed adduct. Naive and immature CD34+ KG-1 cells were incubated with SMX, DDS, or metabolites. Formation of haptenated proteins was probed using confocal microscopy and ELISA. Cells were also incubated with preformed adduct (drug-bovine serum albumin conjugate), and uptake was determined using confocal microscopy. Both naive and immature KG-1 cells were able to bioactivate DDS, forming drug-protein adducts, whereas cells showed very little protein haptenation when exposed to SMX. Exposure to S-NOH or D-NOH resulted in protein haptenation in both cell types. Both immature and naive KG-1 cells were able to take up preformed haptenated proteins. Thus, DCs may acquire haptenated proteins associated with drugs via intracellular bioactivation, uptake of reactive metabolites, or uptake of adduct formed and released by adjacent cells (e.g., keratinocytes).",M1
16857728,"Enzyme-mediated protein haptenation of dapsone and sulfamethoxazole in human keratinocytes: I. Expression and role of cytochromes P450.Cutaneous drug reactions (CDRs) are among the most common adverse drug reactions and are responsible for numerous minor to life-threatening complications. Several arylamine drugs, such as sulfamethoxazole (SMX) and dapsone (<e>DDS</e>), undergo bioactivation, resulting in adduction to cellular proteins. These adducted proteins may initiate the immune response that ultimately results in a CDR. Recent studies have demonstrated that normal human epidermal keratinocytes (NHEKs) can bioactivate these drugs, resulting in protein haptenation. We sought to identify the enzyme(s) responsible for this bioactivation in NHEKs. Using immunofluorescence confocal microscopy and an adduct-specific enzyme-linked immunosorbent assay (ELISA), we found that N-acetylation of the primary amine of SMX and DDS markedly reduced the level of protein haptenation in NHEKs. Detection of mRNA and/or protein confirmed the presence of CYP3A4, CYP3A5, and CYP2E1 in NHEKs. In contrast, although a faint band suggestive of CYP2C9 protein was detected in one NHEK sample, a CYP2C9 message was not detectable. We also examined the ability of chemical inhibitors of cytochromes P450 (aminobenzotriazole and 1-dichloroethylene) and cyclooxygenase (indomethacin) to reduce protein haptenation when NHEKs were incubated with SMX or DDS by either confocal microscopy or ELISA. These inhibitors did not significantly attenuate protein adduction with either SMX or DDS, indicating that cytochromes P450 and cyclooxygenase do not play important roles in the bioactivation of these xenobiotics in NHEKs and thus suggesting the importance of other enzymes in these cells.",M1
