@RELATION C0011848_C0032246

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
19779766,"Langerhans cell histiocytosis with multifocal bone lesions: comparative clinical features between single and multi-systems.Langerhans cell histiocytosis (LCH) can be a single system or multi-system disease. Both disease types can be associated with multi-focal bone lesions, but their bone involvement patterns have not been compared systematically. Of the new pediatric LCH cases enrolled into the JLSG-02 study during 2002-2007, 67 cases of single system multifocal bone (SMFB) LCH and 97 cases of multi-system bone (MSB) LCH were analyzed to determine if the bone involvement patterns differ in these two types, and whether these differences correlate with outcome. Statistical analysis was performed with Mann-Whitney U test, Fisher's exact test, and other measures. Onset ages were higher for SMFB (P &lt; 0.001), but the two types did not differ in the number of bone lesions per patient. The skull was most frequently affected in both types, followed by the spine. Lesions in the temporal bone (P = 0.002), ear-petrous bone (P &lt; 0.001), orbita (P = 0.003), and zygomatic bone (P = 0.016) were significantly more common in MSB. The two types did not differ in response to treatment, but MSB was associated with a significantly higher incidence of diabetes insipidus (<e>DI</e>) (P &lt; 0.001). Novel measures are required in preventing the development of DI in MSB-type LCH patients with  risk  bone lesions.",M1
19380027,"Acute myeloid leukemia and diabetes insipidus with monosomy 7.The predisposition of monosomy 7 to diabetes insipidus (<e>DI</e>) in acute myeloid leukemia (AML) led us to ask whether AML associated with monosomy 7 and DI will differ from AML associated with other karyotype aberrations and DI and whether the outcome of patients with AML and DI will differ from those without DI. We describe 2 patients from Roswell Park Cancer Institute and discuss 29 additional cases from the literature. AML with monosomy 7 and DI (n = 25) had a trend towards a lower complete remission (p = 0.0936) and worse survival (p = 0.0480) than AML with other karyotype changes and DI (n = 6). Further, AML with monosomy 7 and DI had worse complete remission rate and overall survival than AML with monosomy 7 but without DI. In conclusion, it appears that AML with monosomy 7 and DI is a disease entity with specifically poor outcome.",M1
19364693,"Diabetes insipidus, panhypopituitarism, and severe mental status deterioration in a patient with chordoid glioma: case report and literature review.OBJECTIVE: To describe a rare progressive case of chordoid glioma clinically masquerading as idiopathic diabetes insipidus (<e>DI</e>). METHODS: We describe the clinical, radiographic, and laboratory findings of the study patient and briefly review the relevant literature. RESULTS: A 41-year-old woman was referred to our center for evaluation of worsening mental status changes, a newly diagnosed suprasellar mass, and possible endocrine dysfunction. Three years earlier, a physician at another institution diagnosed idiopathic DI and prescribed desmopressin. At that time, laboratory workup and magnetic resonance imaging (MRI) revealed no brain lesions or other hormonal irregularities. Slow, progressive symptomatology in the following 3 years included mental status changes, nonhealing skin lesions, recurrent infections, temperature dysregulation, and midsection weight gain. She became withdrawn and emotionally labile and developed a flat affect, short-term memory loss, poor concentration, and sleep disturbance. MRI revealed a 2.2 x 2.1 x 1.9-cm suprasellar region lesion. Biopsy samples from the third ventricular lesion revealed a circumscribed glial tumor. Chordoid glioma is a rare tumor, and the 50 previously reported cases have been located in the suprasellar region. This is the third reported case of a chordoid glioma positive for neurofilament protein, which brings into question the hypothesis of a single phenotype for glial tumors. Tumors in this region frequently result in endocrine dysfunction that prompts patients to seek medical attention. CONCLUSIONS: There is no formally recognized treatment protocol for chordoid glioma, and postoperative mortality and morbidity is high. Our report emphasizes the necessity of close follow-up of patients after a diagnosis of idiopathic DI. Early detection of any evolving occult hypothalamic-pituitary stalk lesion may improve outcome.",M1
19199508,"Incidence, clinical manifestations, and course of water and electrolyte metabolism disturbances following transsphenoidal pituitary adenoma surgery: a prospective observational study.OBJECT: The authors prospectively studied the incidence, spectrum of clinical manifestations, course, and risk factors of water and electrolyte disturbances (WEDs) following transsphenoidal pituitary adenoma surgery. METHODS: From the preoperative day to the 14th postoperative day, 57 successive patients undergoing transsphenoidal adenomectomy were monitored daily for body weight, balance of fluids, serum electrolytes, plasma osmolality, plasma antidiuretic hormone (ADH) levels, urinary sodium excretion, urinary osmolality, and subjective sensation of thirst. The type of adenoma operated on and the intraoperative manipulation of the neurohypophysis were also recorded. RESULTS: Fifty-seven patients (mean age 55 years, 61.4% females) harbored 30 clinically hormone-inactive and 27 hormone-secreting pituitary adenomas. Postoperative WED occurred in 75.4% of the patients: in 38.5% as isolated diabetes insipidus (<e>DI</e>); in 21% as isolated hyponatremia; and in 15.7% as combined DI-hyponatremia. The maximum of medians of diuresis (5.750 L) in patients with isolated DI occurred on postoperative Day 2. Nadir of medians of hyponatremia (132 mmol/L) in patients with isolated hyponatremia occurred on postoperative Day 9. In patients with combined DI-hyponatremia, maximum of medians of diuresis (5.775 L) occurred on the 2nd day and nadir of medians of hyponatremia (130 mmol/L) on the 10th postoperative day. Altogether, 8.7% of the patients had to be treated with desmopressin because of DI persisting for &gt;3 months. Of all the patients with hyponatremia, 42.8% were treated by transient fluid-intake restriction due to an IH of &lt;130 mmol/L with or without clinical symptomatology. Transient acute renal failure occurred in one of these patients. Generally, the occurrence of postoperative WEDs was linked to the intraoperative manipulation of the neurohypophysis. Increased thirst correlated significantly with DI (p=0.001 and 0.02, respectively) and decreased thirst with the hyponatremic episode in patients with combined DI-hyponatremia (p=0.003). Decreased urine osmolality correlated significantly with the presence of DI (p=0.023). Electrolyte-free water clearance and urinary Na+ excretion were not correlated with DI and hyponatremia. Antidiuretic hormone was not suppressed during hyponatremia. CONCLUSIONS: Water and electrolyte disturbances occurred in the majority of patients undergoing transsphenoidal adenomectomy and were usually transient. Diabetes insipidus is more frequent than hyponatremia. Diabetes insipidus usually occurs during the 1st postoperative day and resolves in the majority of cases within 10 days. In few patients, DI may persist and require therapy with ADH analogs. Hyponatremia usually occurs at the end of the 1st postoperative week and resolves in most cases within 5 days. Very few patients will need treatment other than fluid-intake restriction to avoid serious complications. Thus, careful monitoring of the WEDs in patients undergoing transsphenoidal pituitary adenoma surgery is mandatory for the first 10 postoperative days.",M1
19112432,"Breast cancer with diabetes insipidus.Diabetes insipidus (<e>DI</e>) is a rare clinical condition, which is usually caused by neurohypophyseal or pituitary stalk infiltration in cancer patients. CASE REPORT: we present a 62-year old metastatic breast cancer woman with DI. She admitted to the hospital because of nausea, vomiting, polyuria and polydipsia, while she was on no cytotoxic medication. She had no electrolyte imbalance except mild hypernatremia. The CT scan of the brain yielded a suspicious area in pituitary gland. A pituitary stalk metastasis was found on magnetic resonance imaging (MRI) of pituitary. Water deprivation test was compatible with DI. A clinical response to nasal vasopressin was achieved. CONCLUSIONS: Cancer patients who have symptoms such as nausea, vomiting, polyuria and polydipsia while they are not on chemotherapy should be evaluated for not only metabolic complications like hypercalcemia but also posterior pituitary or stalk metastasis MRI could be the choice of imaging for pituitary metastasis.",M1
18599930,"Central diabetes insipidus: clinical profile and factors indicating organic etiology in children.OBJECTIVE: To evaluate the profile of children with central diabetes insipidus (<e>DI</e>) and identify factors indicating organic etiology. DESIGN: Retrospective chart review. SETTING: Tertiary referral hospital. SUBJECTS: Fifty-nine children with central DI (40 boys, 19 girls). METHODS: Features of organic and idiopathic central DI were compared using students t test and chi square test. Odds ratio was calculated for factors indicating organic etiology. RESULTS: Diagnosis included post-operative central DI (13, 22%), central nervous system (CNS) malformations (5, 8.6% holoprosencephaly 4 and hydrocephalus 1), histiocytosis (11, 18.6%), CNS pathology (11, 18.6%; craniopharyngioma 3, empty sella 2, germinoma 2, neuro-tuberculosis 2, arachnoid cyst 1 and glioma 1) and idiopathic central DI (19, 32.2%). Children with organic central DI were diagnosed later (7.8+/- 3.1 years against 5.3+/-2.4 years, P=0.03) and had lower height standard deviation score (-2.7+/-1.0 versus -1.0+/- 1.0, P&lt;0.001) compared to idiopathic group. A greater proportion of children with organic central DI had short stature (81.8% against 10.5%, P &lt;0.001, odds ratio 38.25), neurological features (45.5% against 0%, p 0.009) and anterior pituitary hormone deficiency (81.8% against 5.3%, P&lt;0.001, odds ratio 81) compared to idiopathic group. A combination of short stature and onset after five years of age led to discrimination of organic central DI from idiopathic group in all cases. CONCLUSION: Organic central DI should be suspected in children presenting after the age of five years with growth retardation and features of anterior pituitary deficiency.",M1
18502321,"Neuropeptide Y in the arcuato-paraventricular pathway and diet selection in the vasopressin-deficient Brattleboro rat.Neuropeptide Y (NPY) is one of the most important brain peptides involved in feeding behavior. It influences both food choice and fluid homeostasis. The paraventricular and arcuate nuclei belong to the main pathway through which NPY stimulates carbohydrate intake. In this study, we measured NPY in various hypothalamic microdissected areas in Brattleboro <e>di</e>/di rats, a rat model of diabetes insipidus with specific dietary preferences. We confirmed that this rat is characterized by an increased fat intake (+10%; p&lt;0.001) and a decreased carbohydrate intake (-10%; p&lt;0.001) leading to a completely different dietary profile than that of di/+ controls. This profile was associated with a decrease in NPY in the paraventricular nucleus (-33%; p&lt;0.005) and in the ventromedial nucleus (-24%; p&lt;0.002). Intake of carbohydrate was negatively correlated with the gradient of NPY concentration between the arcuate and paraventricular nuclei. NPY could therefore contribute to the qualitative changes of feeding behavior in the Brattleboro rat through altered transport/release of the peptide and participate in the balance of neuropeptides that determines food choice in this strain of rat.",M1
18433729,"[MRI imaging of the neural pituitary]The main illness of the neural pituitary is diabetes insipidus (<e>DI</e>). MRI is essential if DI occurs during childhood, in order to highlight malignant germinoma prognosis of which remains excellent if the diagnosis is made as early as possible. In adults, primary intracranial tumours causing DI include craniopharyngioma, or pineal tumours. Infiltrative histiocytosis is another frequent aetiology. One third of previously considered idiopathic DI is in fact auto-immune. Early MRI findings advocate for such a diagnosis. Finally, meticulous analysis of the neural pituitary imaging may avoid several pitfalls and help the analysis of adenopituitary abnormalities.",M1
17952274,"Syndromes related to sodium and arginine vasopressin alterations in post-operative neurosurgery.BACKGROUND: Cerebral salt wasting syndrome (CSWS), syndrome of inappropriate antidiuretic hormone secretion (SIADH) and diabetes insipidus (<e>DI</e>) are frequently found in postoperative neurosurgery. PURPOSE: To identify these syndromes following neurosurgery. METHOD: The study included 30 patients who had been submitted to tumor resection and cerebral aneurysm clipping. Sodium levels in serum and urine and urine volume were measured daily up to the 5th day following surgery. Plasma arginine vasopressin (AVP) was measured on the first, third and fifth days post-surgery. RESULTS: CSWS was found in 27/30 patients (90%), in 14 (46.7%) of whom it was associated with a reduction in the levels of plasma AVP (mix syndrome). SIADH was found in 3/30 patients (10%). There was no difference between the two groups of patients. CONCLUSION: CSWS was the most common syndrome found, and in half the cases it was associated with DI. SIADH was the least frequent syndrome found.",M1
17927955,"Hypothalamic galanin and plasma leptin and ghrelin in the maintenance of energy intake in the Brattleboro rat.Galanin, ghrelin, and leptin are three peptides involved in feeding regulation and more particularly in fat intake. The Brattleboro (<e>di</e>/di) rat is a genetic model of diabetes insipidus characterized by a preference for fat when it is in a food choice situation. Here, we measured hypothalamic galanin concentrations, plasma ghrelin and leptin and dietary preferences of adult di/di Brattleboro rats, di/+ and Long-Evans controls. The Brattleboro rats weighed significantly less than the di/+ rats (-18%; P&lt;0.001). The fat-to-carbohydrate intake ratio was significantly greater in Brattleboro rats than in di/+ (P&lt;0.02) when the rats could choose between a high-fat diet and a high-carbohydrate diet. Galanin concentrations were significantly lower in di/di rats than in di/+ rats in the paraventricular nucleus (-56%; P&lt;0.001), but not in the arcuate nucleus. Plasma leptin was significantly lower in the di/di rats than in the di/+ rats (3.49+/-0.20 vs. 6.94+/-0.49 ng/ml; P&lt;0.001). Plasma ghrelin concentrations were significantly lower in Long-Evans rats than in the di/di rats (-21%; P&lt; 0.01). Given that galanin mRNA is overexpressed in the paraventricular nucleus of Brattleboro rats, these data are consistent with increased release of the peptide. In the Brattleboro rat, this overactive galanin system and the variations of ghrelin and leptin maintain an orexigenic drive favoring a preferential intake of fat which provides the animal with enough energy for its metabolism.",M1
