@RELATION C0013961_C0015063

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20520588,"Public health surveillance using emergency medical service logs - U.S.--Mexico land border, El Paso, Texas, 2009.In 2008, approximately 358 million travelers entered the United States, of whom 206 million arrived via land ports of entry (POEs) on the U.S.--Mexico border. Effective response to infectious diseases of public health importance among travelers requires timely identification and reporting to state and federal health authorities. Currently, notifications are made primarily by U.S. Customs and Border Protection (CBP) officers to CDC quarantine stations. However, CBP personnel have competing priorities and limited public health training.To evaluate the utility of monitoring emergency medical service (<e>EMS</e>) dispatch and response logs for ill travelers with symptoms or signs suggestive of infectious diseases, CDC screened medical records of patients transported by EMS during 2009 from the four POEs in El Paso, Texas. The screening was conducted using commercial software that monitors EMS logs and sends alerts in real time based on preestablished criteria (i.e., records containing keywords suggesting infectious diseases). Records that met the criteria were forwarded to El Paso Quarantine Station personnel and reviewed within 24 hours. If a reportable infectious disease was suspected, the final diagnosis was requested from the receiving hospital.This report summarizes the results of the evaluation, which found that, of 50,779 EMS responses in the city of El Paso, 455 (0.9%) records met alert criteria, 86 (0.2%) needed diagnostic confirmation, and nine (&lt;0.1%) were for reportable infectious diseases. Monitoring EMS logs can enhance detection of travelers with serious infections at POEs but requires additional screening and follow-up by CDC.",M1
20491315,"Education resource guide. Ten years after: <e>EMS</e>' Education Agenda in 2010.",M1
20467997,"Canadian operational and emotional prehospital readiness for a tactical violence event.Providing prehospital care poses unique risks. Paramedics are essentially the only medical personnel who are routinely at the scene of violent episodes, and they are more likely to be assaulted than are other prehospital personnel. In addition to individual acts of violence, emergency medical services (<e>EMS</e>) providers now need to cope with tactical violence, defined as the deployment of extreme violence in a non-random fashion to achieve tactical or strategic goals. This study reviewed two topics; the readiness of EMS crews for violence in their environment and the impact of violence on the EMS crew member. This latter also evaluated the access and effectiveness of emotional support available to caregivers exposed to violent episodes. The results of the survey indicate a significant lack of preparedness for situations involving tactical violence. A total of 89% of respondents either had never had such training or had been trained more than one year ago. Thirty-six percent of respondents had never engaged in a field exercise with other responding agencies, and 4.5% of respondents were not aware of who would be in charge in such an event. In addition, this study indicates that EMS crews are exposed to events with significant emotional impacts without access to appropriate training and adequate support.",M1
20467994,"Where there are no emergency medical services-prehospital care for the injured in Mumbai, India.INTRODUCTION: In a populous city like Mumbai, which lacks an organized prehospital emergency medical services (<e>EMS</e>) system, there exists an informal network through which victims arrive at the trauma center. This baseline study describes the prehospital care and transportation that currently is available in Mumbai. METHODS: A prospective trauma database was created by interviewing 170 randomly selected patients from a total of 454 admitted over a two-month period (July-August 2005) at a Level-I, urban, trauma center. RESULTS: The injured victim in Mumbai usually is rescued by a good Samaritan passer-by (43.5%) and contrary to popular belief, helped by the police (89.7%). Almost immediately after rescue, the victim begins transport to the hospital. No one waits for the EMS ambulance to arrive, as there is none. A taxi cab is the most popular substitute for the ambulance (39.3%). The trauma patient in India usually is a young man in his late-twenties, from a lower socioeconomic class. He mostly finds himself in a government hospital, as private hospitals are reluctant to provide trauma care to the seriously injured. The injured who do receive prehospital care receive inadequate and inappropriate care due to the high cost of consumables in resuscitation, and in part due to the providers' lack of training in emergency care. Those who were more likely to receive prehospital care suffered from road traffic injuries (odds ratio (OR) = 2.3) and those transported by government ambulances (OR = 10.83), as compared to railway accident victims (OR = 0 .41) and those who came by taxi (OR = 0.54). CONCLUSIONS: Currently, as a result of not having an EMS system, prehospital care is a citizen responsibility using societal networks. It is easy to eliminate this system and shift the responsibility to the state. The moot point is whether the state-funded EMS system will be robust enough in a resource-poor setting in which public hospitals are poorly funded. Considering the high funding cost of EMS systems in developed countries and the insufficient evidence that prehospital field interventions by the EMS actually have improved outcomes, Mumbai must proceed with caution when implementing advanced EMS systems into its congested urban traffic. Similar cities, such as Mexico City and Jakarta, have had limited success with implementing EMS systems. Perhaps reinforcing the existing network of informal providers of taxi drivers and police and with training, funding quick transport with taxes on roads and automobile fuels and regulating the private ambulance providers, could be more cost-effective in a culture in which sharing and helping others is not just desirable, but is necessary for overall economic survival.",M1
20451059,"Peace, love &amp; <e>EMS</e> reflecting on mass care at the 1969 Woodstock festival.",M1
20451057,"The urban jungle wilderness medicine meets non-rural <e>EMS</e>.",M1
20432988,"Clueless in Nashville. Even after decades in <e>EMS</e>, some lessons haven't quite sunk in.",M1
20432985,"Shooting: what <e>EMS</e> providers need to know. The assessment and treatment of victims of gunshot wounds.",M1
20399377,"The ABCs of TBI. Evidence-based guidelines for adult traumatic brain injury care.The images of Olympic athlete Nodar Kumaritasvili flying off his luge and contacting a fixed steel beam at the recent Winter Olympics in Vancouver, British Columbia, were shocking. But the resultant injuries and death of the young athlete were not surprising to <e>EMS</e> personnel who witnessed the incident, because training and experience with similar mechanisms of injury intuitively teach us that these types of patients are susceptible to traumatic brain injury (TBI). Worldwide, TBI is the leading injury cause of death and permanent disability. In the U.S. alone, 1.4 million cases of TBI present to emergency services every year. Many more cases go unreported and untreated. These TBIs lead to 235,000 hospitalizations and, ultimately, 50,000 deaths.(1) For instance, blunt trauma alone kills 1% of those affected, but when a TBI is also involved, the mortality rate increases to 30%.(2) Some 50% of those who die from TBI do so within the first two hours of injury, making emergent prehospital intervention critical.(3) Preventing secondary injury by proper prehospital management can save brain function and lives.",M1
20399376,"Critical thinking a new approach to patient care.As <e>EMS</e> responders, we're challenged with complex patient care situations, and we often make decisions using past experiences, protocols and medical consultation to guide us through treatment  mazes.  Using our natural problem-solving process, we tend to see a problem and think about similar past experiences, which we believe will help us implement a workable solution to the problem.(1,2,3) As we strive toward patient care excellence, however, we need to also look for the best solution for our patient care needs. Research continues to reveal that EMS responders may benefit from increasing their practice of critical thinking, problem-solving and decision-making in initial and continuing education.(4-13) Studies are finding that increased practice and exposure to triage, airway management and medication administration decision-making will allow us to achieve an increased quality of patient care.(7,14-22) Research has also found many reasons for patient care deficiencies, but a common theme is that EMS students and providers may not be getting enough practice or exposure to thinking  outside of the box  in difficult, critical-thinking scenarios.(12,14,18,20,21,23-25) This lack of exposure is why EMS educators should continue to challenge students with skills practice and competency assessments. Even with minimal time and practice in the classroom and clinical settings, EMS educators and instructors should infuse the curriculum with complex scenarios and problems to stimulate students' critical thinking and problem-solving skills.(26-30) This can be accomplished by using patient simulation, team-based thinking scenarios, realistic scenarios with variable outcomes and student-group-facilitated presentations.(12) All of these combined will have a greater meaning to students as they navigate through the many requirements to achieve competence and real-life experience in the patient care setting.(31) In response to this need, EMS educational materials are placing more emphasis on critical thinking and encouraging educators to challenge students to think through complex patient care situations.(28,32,33) THOUGHT PROCESS &amp; DECISION-MAKING MODELS: These critical thinking and problem solving skills can't be taught by using only local protocols as gospel in the classroom, nor should we be teaching by a  cookbook  methodology alone.(12) Problem solving and decision-making processes in the public safety professions have developed and evolved over many years, allowing researchers to explore the thought processes decision-makers use when confronted with real-life situations.(1,2,34,35).",M1
