@RELATION C0026019_C0014921

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20336511,"The role of electron microscopy in the rapid diagnosis of viral infections--review.Electron microscopy (<e>EM</e>) allows fast visualization of viruses in a wide range of clinical specimens. Viruses are grouped into families based on their morphology. Viruses from various families look distinctly and these morphological variances are the basis for identification of viruses by EM. The identification to the family level is often sufficient for the clinician or recognition of an unknown infectious agent. Diagnostic EM has two advantages over enzyme-linked immunosorbent assay and nucleic acid amplification tests. After a simple and fast negative staining, EM allows fast morphological identification and differential diagnosis of infectious agents contained in the specimen without the need for special considerations and/or reagents. Nevertheless, EM has the disadvantage of being unsuitable as a screening method.",M1
20303958,"Imaging of organelles by electron microscopy reveals protein-protein interactions in mitochondria and chloroplasts.Ongoing progress in electron microscopy (<e>EM</e>) offers now an opening to visualize cells at the nanoscale by cryo-electron tomography (ET). Large protein complexes can be resolved at near-atomic resolution by single particle averaging. Some examples from mitochondria and chloroplasts illustrate the possibilities with an emphasis on the membrane organization. Cryo-ET performed on non-chemically fixed, unstained, ice-embedded material can visualize specific large membrane protein complexes. In combination with averaging methods, 3D structures were calculated of mitochondrial ATP synthase at 6 nm resolution and of chloroplast photosystem II at 3.5 nm.",M1
20165942,"Analysis of particulate contaminations of infusion solutions in a pediatric intensive care unit.PURPOSE: To examine the physical properties and chemical composition of particles captured by in-line microfilters in critically ill children, and to investigate the inflammatory and cytotoxic effects of particles on endothelial cells (HUVEC) and macrophages in vitro. METHODS: Prospective, observational study of microfilters following their use in the pediatric intensive care unit. In vitro model utilizing cytokine assays to investigate the effects of particles on human endothelial cells and murine macrophages. RESULTS: Twenty filter membranes from nine patients and five controls were examined by electron microscopy (<e>EM</e>) and energy dispersion spectroscopy (EDX). The average number of particles found on the surface of the used membranes was 550 cm(2). EDX analysis confirmed silicon as a major particle constituent. Half of the filter membranes showed conglomerates containing an unaccountable number of smaller particles. In vitro, glass particles were used to mimic the high silicon content particles. HUVEC and murine macrophages were exposed to different contents of particles, and cytokine levels were assayed to assess their immune response. Levels of interleukin-1beta, interleukin-6, interleukin-8, and tumor necrosis factor alpha were suppressed. CONCLUSIONS: Particle contamination of infusion solutions exists despite a stringent infusion regiment. The number and composition of particles depends on the complexity of the applied admixtures. Beyond possible physical effects, the suppression of macrophage and endothelial cell cytokine secretion in vitro suggests that microparticle infusion in vivo may have immune-modulating effects. Further clinical trials are necessary to determine whether particle retention by in-line filtration has an influence on the outcome of intensive care patients.",M1
20118404,"Abnormal VWF modifies megakaryocytopoiesis: studies of platelets and megakaryocyte cultures from patients with von Willebrand disease type 2B.von Willebrand factor (VWF) is an essential mediator of platelet adhesion to the vessel wall, but little is known about its role in megakaryocytopoiesis. VWF and its platelet receptor, glycoprotein Ibalpha (GPIbalpha), are both expressed during megakaryocyte (MK) maturation. This study was designed to evaluate whether the enhanced VWF-GPIbalpha interactions typical of patients with von Willebrand disease type 2B (VWD2B) modify platelet production. Platelets from 9 patients with VWD2B with 7 different gain-of-function mutations were examined by electron microscopy (<e>EM</e>) and immunofluorescence labeling. For the patients with VWD2B, EM characteristically showed variable numbers of structurally abnormal giant platelets, sometimes in agglutinates. Cultures of MKs from controls performed with or without purified VWF confirmed a positive influence of VWF on platelet production with specific inhibition by an antibody blocking VWF binding to GPIbalpha. VWD2B MK cultures examined by EM showed a disorganized demarcation membrane system and abnormal granule distribution. They produced platelets with structural abnormalities typical of VWD2B. Confocal examination of MK revealed limited extension of pseudopods with few large proplatelets. These results confirm that megakaryocytopoiesis is modified by the enhanced VWF-GPIbalpha interactions. These data obtained for controls and patients with VWD2B suggest a novel regulatory role of VWF-GPIbalpha interactions in platelet production.",M1
20062530,"Structure of the hDmc1-ssDNA filament reveals the principles of its architecture.In eukaryotes, meiotic recombination is a major source of genetic diversity, but its defects in humans lead to abnormalities such as Down's, Klinefelter's and other syndromes. Human Dmc1 (hDmc1), a RecA/Rad51 homologue, is a recombinase that plays a crucial role in faithful chromosome segregation during meiosis. The initial step of homologous recombination occurs when hDmc1 forms a filament on single-stranded (ss) DNA. However the structure of this presynaptic complex filament for hDmc1 remains unknown. To compare hDmc1-ssDNA complexes to those known for the RecA/Rad51 family we have obtained electron microscopy (<e>EM</e>) structures of hDmc1-ssDNA nucleoprotein filaments using single particle approach. The EM maps were analysed by docking crystal structures of Dmc1, Rad51, RadA, RecA and DNA. To fully characterise hDmc1-DNA complexes we have analysed their organisation in the presence of Ca2+, Mg2+, ATP, AMP-PNP, ssDNA and dsDNA. The 3D EM structures of the hDmc1-ssDNA filaments allowed us to elucidate the principles of their internal architecture. Similar to the RecA/Rad51 family, hDmc1 forms helical filaments on ssDNA in two states: extended (active) and compressed (inactive). However, in contrast to the RecA/Rad51 family, and the recently reported structure of hDmc1-double stranded (ds) DNA nucleoprotein filaments, the extended (active) state of the hDmc1 filament formed on ssDNA has nine protomers per helical turn, instead of the conventional six, resulting in one protomer covering two nucleotides instead of three. The control reconstruction of the hDmc1-dsDNA filament revealed 6.4 protein subunits per helical turn indicating that the filament organisation varies depending on the DNA templates. Our structural analysis has also revealed that the N-terminal domain of hDmc1 accomplishes its important role in complex formation through domain swapping between adjacent protomers, thus providing a mechanistic basis for coordinated action of hDmc1 protomers during meiotic recombination.",M1
20025794,"Single-particle reconstruction of biological macromolecules in electron microscopy--30 years.This essay gives the autho's personal account on the development of concepts underlying single-particle reconstruction, a technique in electron microscopy of macromolecular assemblies with a remarkable record of achievements as of late. The ribosome proved to be an ideal testing ground for the development of specimen preparation methods, cryo-<e>EM</e> techniques, and algorithms, with discoveries along the way as a rich reward. Increasingly, cryo-EM and single-particle reconstruction, in combination with classification techniques, is revealing dynamic information on functional molecular machines uninhibited by molecular contacts.",M1
20004160,"Averaging of electron subtomograms and random conical tilt reconstructions through likelihood optimization.The reference-free averaging of three-dimensional electron microscopy (3D-<e>EM</e>) reconstructions with empty regions in Fourier space represents a pressing problem in electron tomography and single-particle analysis. We present a maximum likelihood algorithm for the simultaneous alignment and classification of subtomograms or random conical tilt (RCT) reconstructions, where the Fourier components in the missing data regions are treated as hidden variables. The behavior of this algorithm was explored using tests on simulated data, while application to experimental data was shown to yield unsupervised class averages for subtomograms of groEL/groES complexes and RCT reconstructions of p53. The latter application served to obtain a reliable de novo structure for p53 that may resolve uncertainties about its quaternary structure.",M1
19965615,"An optimized negative-staining protocol of electron microscopy for apoE4 POPC lipoprotein.Apolipoprotein E (apoE), one of the major protein components of lipoproteins in the peripheral and central nervous systems, regulates cholesterol metabolism through its interaction with members of the low density lipoprotein receptor family. One key to understanding apoE function is determining the structure of lipid-bound forms of apoE. Negative-staining (NS) electron microscopy (<e>EM</e>) is an easy and rapid approach for studying the structure and morphology of lipid-bound forms of apoE. However, an artifact of using the conventional NS protocol is that the apoE phospholipid particles form rouleaux. In this study, we used cryo-electron microscopy (cryo-EM) to examine apoE4 palmitoyl-oleoylphosphatidylcholine (POPC) particles in a frozen-hydrated native state. By comparing the particle sizes and shapes produced by different NS protocols to those produced by cryo-EM, we propose an optimized protocol to examine apoE4 POPC particles. Statistical analysis demonstrated that the particle sizes differ by less than 5% between the optimized protocol and the cryo-EM method, with similar shapes. The high contrast and fine detail of particle images produced using this optimized protocol lend themselves to the structural study of lipid-bound forms of apoE.",M1
19935684,"Reconstitution of both steps of Saccharomyces cerevisiae splicing with purified spliceosomal components.The spliceosome is a ribonucleoprotein machine that removes introns from pre-mRNA in a two-step reaction. To investigate the catalytic steps of splicing, we established an in vitro splicing complementation system. Spliceosomes stalled before step 1 of this process were purified to near-homogeneity from a temperature-sensitive mutant of the RNA helicase Prp2, compositionally defined, and shown to catalyze efficient step 1 when supplemented with recombinant Prp2, Spp2 and Cwc25, thereby demonstrating that Cwc25 has a previously unknown role in promoting step 1. Step 2 catalysis additionally required Prp16, Slu7, Prp18 and Prp22. Our data further suggest that Prp2 facilitates catalytic activation by remodeling the spliceosome, including destabilizing the SF3a and SF3b proteins, likely exposing the branch site before step 1. Remodeling by Prp2 was confirmed by negative stain <e>EM</e> and image processing. This system allows future mechanistic analyses of spliceosome activation and catalysis.",M1
19923921,"Investigating autophagy: quantitative morphometric analysis using electron microscopy.Autophagy is a compensatory pathway involving isolation and subsequent degradation of cytosolic material and organelles in eukaryotic cells.(1) The autophagic process can provide a  housekeeping  function by removing damaged proteins and organelles in a selective or nonselective fashion in order to exert a protective effect following stress.(2) Remarkably, after being discovered to be much more of a targeted process than a random one, the role of autophagy became implicated in many normal cellular and disease processes.(3) Several methodologies are routinely employed to monitor the entire autophagic process.(4) Microtubule-associated protein light chain 3, a mammalian homolog of yeast Atg8, has been widely used as a specific marker to monitor autophagy in numerous cell types.(5) While monitoring autophagic flux is extremely important, it is also beneficial to perform a detailed analysis by electron microscopy (<e>EM</e>) to evaluate changes in various autophagic structures, quantify the areas involved, and determine if any particular organelle(s) or area of the cell cytoplasm is being targeted for degradation.(6) The following article describes methods to localize and quantify subcellular areas of autophagy using transmission EM. Also discussed are methods for subcellular localization of specific proteins by employing immunogold EM; this method becomes particularly useful in detecting early changes in cellular homeostasis that may occur before later signs of cellular insult can be observed morphologically.",M1
