@RELATION C0015214_C0008310

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20427158,"Inhibition dysfunction in depression: event-related potentials during negative affective priming.The study aimed to investigate whether depressed patients show impairment of valence-dependent inhibition and its neurophysiological correlates. Event-related potentials (<e>ERPs</e>) were collected from 18 patients with unipolar depression and 18 normal controls during an affective negative priming task. A less effective inhibition in patients was specific for negative information. These behavioral effects were paralleled by ERP differences. In addition to the overall reduced P2 amplitude for negative trials and the overall reduced late positive component (LPC) amplitude for positive and negative trials in patients, ERP differences in different conditions for each group were also found. The patients showed reduced central-parietal P2 amplitude and shorter LPC latency in response to negative experimental targets, whereas the controls showed larger left central P2 amplitude and delayed LPC latency in response to negative experimental targets. No such effects were found for positive targets. These results suggest that the inhibition dysfunction of negative affect influences the earlier attention allocation stage and the later evaluation stage in depressed patients.",M1
20403632,"EEG theta and alpha responses reveal qualitative differences in processing taxonomic versus thematic semantic relationships.Despite the importance of semantic relationships to our understanding of semantic knowledge, the nature of the neural processes underlying these abilities are not well understood. In order to investigate these processes, 20 healthy adults listened to thematically related (e.g., leash-dog), taxonomically related (e.g., horse-dog), or unrelated (e.g., desk-dog) noun pairs as their EEG was recorded. The data were analyzed using both event-related potentials (<e>ERP</e>) and event-related spectral perturbation (ERSP) analyses. The spatiotemporal ERP and ERSP results were analyzed further with principal component analysis (PCA). When comparing unrelated to related word pairs, the expected N400 effect was confirmed, as well as differences in theta and alpha oscillations. When comparing thematically and taxonomically related word pairs, the ERP revealed no significant differences, but the ERSP did. Specifically, theta power increased over right frontal areas for thematic versus taxonomic relationships and alpha power increased over parietal areas for taxonomic versus thematic relationships. The different oscillatory patterns over different brain regions suggest that thematic and taxonomic relationships engage distinct neural processes. Specifically, thematic relationships engage memory processes, while taxonomic relationships may require additional inhibitory or attention processes.",M1
20400937,"High density event-related potential data acquisition in cognitive neuroscience.Functional magnetic resonance imaging (fMRI) is currently the standard method of evaluating brain function in the field of Cognitive Neuroscience, in part because fMRI data acquisition and analysis techniques are readily available. Because fMRI has excellent spatial resolution but poor temporal resolution, this method can only be used to identify the spatial location of brain activity associated with a given cognitive process (and reveals virtually nothing about the time course of brain activity). By contrast, event-related potential (<e>ERP</e>) recording, a method that is used much less frequently than fMRI, has excellent temporal resolution and thus can track rapid temporal modulations in neural activity. Unfortunately, ERPs are under utilized in Cognitive Neuroscience because data acquisition techniques are not readily available and low density ERP recording has poor spatial resolution. In an effort to foster the increased use of ERPs in Cognitive Neuroscience, the present article details key techniques involved in high density ERP data acquisition. Critically, high density ERPs offer the promise of excellent temporal resolution and good spatial resolution (or excellent spatial resolution if coupled with fMRI), which is necessary to capture the spatial-temporal dynamics of human brain function.",M1
20395549,"Brain sensitivity to print emerges when children learn letter-speech sound correspondences.The acquisition of reading skills is a major landmark process in a human's cognitive development. On the neural level, a new functional network develops during this time, as children typically learn to associate the well-known sounds of their spoken language with unfamiliar characters in alphabetic languages and finally access the meaning of written words, allowing for later reading. A critical component of the mature reading network located in the left occipito-temporal cortex, termed the  visual word-form system  (VWFS), exhibits print-sensitive activation in readers. When and how the sensitivity of the VWFS to print comes about remains an open question. In this study, we demonstrate the initiation of occipito-temporal cortex sensitivity to print using functional MRI (fMRI) (n = 16) and event-related potentials (<e>ERP</e>) (n = 32) in a controlled, longitudinal training study. Print sensitivity of fast (&lt;250 ms) processes in posterior occipito-temporal brain regions accompanied basic associative learning of letter-speech sound correspondences in young (mean age 6.4 +/- 0.08 y) nonreading kindergarten children, as shown by concordant ERP and fMRI results. The occipito-temporal print sensitivity thus is established during the earliest phase of reading acquisition in childhood, suggesting that a crucial part of the later reading network first adopts a role in mapping print and sound.",M1
20390603,"Neurophysiological markers for child emotion regulation from the perspective of emotion-cognition integration: current directions and future challenges.Neuroscientific research on emotion regulation suggests that the interplay between emotion and cognition may be fundamental to the ability to adaptively regulate emotions. Although emotion and cognition have historically been considered to be in opposition, more recent research suggests that they are also integrated, coordinated, and complementary. In this article, I review studies showing that scalp-recorded event related potentials (<e>ERPs</e>) reflecting emotion-cognition integration can be used as clinically meaningful indices of emotion regulation in children and adults, and have the potential to serve as biomarkers for emotion regulation and risk for specific affective disorders. Drawing on neuroscience and behavioral research, I propose a model in which ERP measures of emotion-cognition integration rather than opposition is the guiding principle for detecting neural markers for emotion regulation. Suggestions for a future research agenda are then presented.",M1
20390601,"Electrophysiological correlates of cognitive control and the regulation of shyness in children.Shyness is associated with social-emotional maladjustment in some, but not all, children. The ability to flexibly regulate attention under conditions of potential conflict may protect shy children from developing internalizing problems. In the current study, the associations between shyness, the N2 event related potential (<e>ERP</e>) response, and social-emotional adjustment were examined in a sample of 36 typically developing 9- to 13-year-old children. It was hypothesized that the N2 amplitude, an ERP measure associated with aspects of cognitive and attention control, would moderate the associations between shyness and social-emotional functioning (negative attribution style, social self-perceptions, social anxiety). Shyness was unrelated to behavioral or ERP measures collected during a modified Flanker task; however, shyness and N2 amplitude were alone and in combination associated with all three measures of social adjustment. In general, shyness was associated with poor outcomes primarily among children with relatively large amplitude, or enhanced, N2 responses. The results are discussed in terms of the role of conflict sensitivity in the regulation of attention and emotions associated with shyness and the importance of studying the combined influences of reactive and self-regulatory aspects of temperament in relation to adjustment in childhood.",M1
20390599,"Event-related potentials, emotion, and emotion regulation: an integrative review.Progress in the study of emotion and emotion regulation has increasingly been informed by neuroscientific methods. This article focuses on two components of the event-related potential (<e>ERP</e>)--the P300 and the late positive potential (LPP)--and how they can be used to understand the interaction between the more automatic and controlled processing of emotional stimuli. Research is reviewed exploring: the dynamics of emotional response as indexed at early and late latencies; neurobiological correlates of emotional response; individual and developmental differences; ways in which the LPP can be utilized as a measure of emotion regulation. Future directions for the application of ERP/electroencephalogram (EEG) in achieving a more complete understanding of emotional processing and its regulation are presented.",M1
20368087,"N400 elicited by incongruent ending words of Chinese idioms in healthy adults.BACKGROUND: Prior research about N400 has been mainly based on English stimuli, while the cognitive processing of Chinese characters is still unclear. The aim of the present study was to further investigate the semantic processing of Chinese idioms. METHODS: Event related potentials (<e>ERP</e>) component N400 was elicited by 38 pairs of matching (congruent) and mismatching (incongruent) ended Chinese idioms: ending words with same phoneme but different shape and meaning (sPdSdM), with similar shape but different phoneme and meaning (sSdPdM), with same meaning but different phoneme and shape (sMdPdS), and words with different phoneme, shape and meaning (dPdSdM) and recorded by Guangzhou Runjie WJ-1 ERP instruments. In 62 right-handed healthy adults (age 19 - 50 years), N400 amplitudes and latencies were compared between matching and mismatching conditions at Fz, Cz and Pz. RESULTS: N400 showed a midline distribution and could be elicited in electrodes Fz, Cz and Pz. The mean values of N400 latencies and amplitudes were obtained for matching and mismatching ending words in healthy adults. Significant differences were found in N400 latencies and amplitudes in matching and mismatching ending-words idioms in healthy adults (P &lt; 0.05). Compared with matching ending-words idioms, N400 latencies were prolonged and the amplitudes were increased in mismatching ones. N400s elicited by different types of stimuli showed different latencies and amplitudes, and longest N400 latency and largest N400 amplitude were elicited by ending-words with dPdSdM. No gender difference was found of N400 latency and amplitude in this study (P &gt; 0.05). CONCLUSIONS: Compared with English stimuli, Chinese ideographic words could provide more flexible stimuli for N400 research in that the words have 3-dimension changes - phoneme, shape and meaning. Features of N400 elicited by matching and mismatching ending words in Chinese idioms are mainly determined by the meaning of the word. Some issues of N400 elicited by Chinese characters deserve further research.",M1
20338218,"Negativity bias of the self across time: an event-related potentials study.To investigate the neural basis of self-evaluation across time as a function of emotional valence, event-related potentials were recorded among participants instructed to make self-reference judgments when evaluating their past, present and future selves. Results showed that, when evaluating present and past selves, negative words elicited a more positive <e>ERP</e> deflection in the time window between 650ms and 800ms (LPC) relative to positive words. However, when evaluating the future selves, there was no significant difference on the amplitude of the LPC evoked by negative versus positive words. Findings provided evidence for the effect of emotional valence on the self across time at a neurophysiological level and identified the time course of negative bias in the temporal self. More specifically, people were inclined to be relatively less negative and optimistic about their future self but had mixed emotions about past and present selves.",M1
20307904,"Do u txt? Event-related potentials to semantic anomalies in standard and texted English.Texted English is a hybrid, technology-based language derived from standard English modified to facilitate ease of communication via instant and text messaging. We compared semantic processing of texted and standard English sentences by recording event-related potentials in a classic semantic incongruity paradigm designed to elicit an N400 effect. In participants fluent in both text and standard English, an N400 effect was elicited in both the texted and standard English conditions. The amplitude and distribution of the N400 effect (300-500ms) in the texted and standard English conditions were similar, but the text semantic incongruity effect was characterized by a delayed peak latency and an extended duration into the 500-700ms epoch. This pattern of results replicates previous findings regarding differences in the N400 effect in native and non-native language processing, but for the first time extends the bilingual <e>ERP</e> literature to include the technological phenomenon of texted English.",M1
