@RELATION C0014563_C0014582

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20229679,"Changes in platelets and anticoagulant protein activity during adenosine-exercise single-photon emission computed tomography stress test.INTRODUCTION: Activation of haemostasis during physical stress or during myocardial ischemia could be an important mechanism to trigger coronary and stent thrombosis. We examined changes in haemostatic parameters and its association with myocardial ischemia during adenosine-exercise-SPECT (adeno-EX) stress test in coronary patients at least 4 months after coronary stenting. OBJECTIVE: The aim of this study was to examine relationship between changes in haemostatic parameters and stress induced myocardial ischemia quantified by perfusion scintigraphy in stented coronary patients. METHODS: Thirty-seven patients on dual antiplatelet therapy (26 on clopidogrel plus aspirin and 11 on aspirin only) 4-8 months after successful intracoronary stent implantation were enrolled in the study. We determined the levels of platelet aggregability (PA) on ADP (PA-ADP) and epinephrine (PA-<e>EPI</e>), beta-thromboglobulin, platelet factor-4, protein C (PC) and antithrombin (AT) before and 15 minutes after intravenous injection of 150 micro/kg adenosine for4 minutes concomitant with supine ergo-bicycle exercise test for 50 W. The size of stress perfusion defect was measured 15 minutes after stress and in rest 4 hours later by 99mTc-tetrofosmin single photon emission computed tomography (SPECT) within 17 myocardial segments. RESULTS: There were no differences between haemostatic parameters before and after stress. A significant myocardial ischemia after exercise was registered in 12 patients on combined antiaggregation therapy and in 5 patients on aspirin. In this preliminary report, because of a small number of patients in the aspirin group we did not analyse difference in the levels of haemostatic markers and their correlations with the size of perfusion defect. The only significant difference between measured haemostatic parameters in the patients with stress induced ischemia compared to the patients without it, was a lower level of AT activity after stress (81.0% vs. 87.5%; p = 0.027). Antithrombin activity before stress had significant negative correlation with the size of perfusion defect in rest (R2 = 0.219; p = 0.016) and PC activity before stress had significant linear correlation with stress perfusion defect (R2 = 0.248; p = 0.010). CONCLUSION: Baseline activities of natural anticoagulant proteins AT and PC are associated with the size of myocardial perfusion defect during adeno-EX-SPECT test. Patients with significant stress-induced ischemia had lower levels of AT activity after stress.",M1
20202559,"<e>Epi</e>-Shugarcaine with plain balanced salt solution for prophylaxis of intraoperative floppy-iris syndrome.",M1
20070242,"Pharmacokinetic and local toxicity studies of liposome-encapsulated and plain mepivacaine solutions in rats.The pharmacokinetics and the local toxicity of commercial and liposome-encapsulated mepivacaine formulations injected intra-orally in rats were studied. Animals were divided in groups (n = 4-6) and treated with 0.1 mL of the formulations: 2% mepivacaine with 1:100,000 epinephrine (MVC(2%<e>EPI</e>)), 3% mepivacaine (MVC(3%)), and 2% liposome-encapsulated mepivacaine (MVC(LUV)). The results showed that the 2% liposome-encapsulated mepivacaine reduced C(max), prolonged AUC(0-infinity) and t(1/2) compared with 3% plain and 2% vasoconstritor-associated mepivacaine, after intraoral injection. In addition, it was also observed that liposomal mepivacaine might protect the tissue against local inflammation evoked by plain or vasoconstrictors-associated mepivacaine, giving supporting evidence for its safety and possible clinical use in dentistry.",M1
20031290,"Felypressin, but not epinephrine, reduces myocardial oxygen tension after an injection of dental local anesthetic solution at routine doses.PURPOSE: The aim of this study was to evaluate the effect of epinephrine (<e>Epi</e>) or felypressin (Fely) contained in dental local anesthetics on myocardial oxygen balance. MATERIALS AND METHODS: Male Japanese White tracheotomized rabbits were anesthetized with isoflurane. Three doses of 0.18, 0.36, and 0.72 mL of 2% lidocaine hydrochloride containing 1:80,000 Epi or 3% prilocaine hydrochloride containing Fely 0.03 IU/mL were injected into the rabbit tongue muscle. These doses were equivalent to 2, 4, and 8 of dental local anesthetic cartridges in humans weighing 50 kg by body weight correction, respectively. Heart rate, blood pressure, aortic blood flow, myocardial tissue blood flow, and myocardial tissue oxygen tension were continuously monitored. Data were recorded immediately before and 10, 20, 30, and 60 minutes after the injection. RESULTS: Heart rate decreased in the Fely group. Systolic blood pressure increased in the Epi group, and diastolic blood pressure increased in both groups. Aortic blood flow and myocardial tissue blood flow increased, whereas myocardial tissue oxygen tension did not change in the Epi group. In contrast, aortic blood flow, myocardial tissue blood flow, and myocardial tissue oxygen tension decreased in the Fely group. CONCLUSION: It is suggested that Fely, but not Epi, decreases myocardial oxygen tension and aggravates myocardial oxygen demand/supply balance even after an injection of dental local anesthetic solution at routine doses.",M1
19923980,"Impact of genetic polymorphisms on platelet function and aspirin resistance.Genetic polymorphisms may affect platelets' responses to the antiplatelet therapy. Our aim was to determine the role of genetic polymorphisms on aspirin resistance in patients with coronary heart disease (CHD). A total of 126 consecutive patients (35-85 years old, 32% women) with chronic stable CHD was enrolled in the study. Platelet function assays were realized by the platelet function analyzer (PFA)-100 with collagen and epinephrine (Col/<e>Epi</e>) and collagen and adenosine diphosphate (Col/ADP) cartridges. Aspirin resistance was defined as having a closure time of less than 186 s with Col/Epi cartridges despite regular aspirin therapy. Factor V, prothrombin, factor XIII, beta-fibrinogen, plasminogen activator inhibitor I (PAI-1), glycoprotein IIIa, methylene tetrahydrofolate reductase, ACE and ApoB gene polymorphisms were determined by three consecutive steps: isolation and amplification of DNA and reverse hybridization. We determined that 30 patients (23.8%) had aspirin resistance by the PFA-100. Mean closure time measured with the Col/ADP cartridges was 74 +/- 12 s (51-104 s). Ten of the 30 patients with aspirin resistance were women (33.3%). Genetic polymorphisms were determined in 30 aspirin-resistant and 17 aspirin-sensitive patients. No statistically significant relationship was determined between aspirin resistance and the genetic panel. In our study we did not determine a significant relationship between the aspirin resistance and factor V, prothrombin, factor XIII, beta-fibrinogen, PAI-1, glycoprotein IIIa, methylene tetrahydrofolate reductase, ACE and ApoB gene polymorphisms.",M1
19788899,"Standard object recognition memory and  what  and  where  components: Improvement by post-training epinephrine in highly habituated rats.The present work examined whether post-training systemic epinephrine (<e>EPI</e>) is able to modulate short-term (3h) and long-term (24 h and 48 h) memory of standard object recognition, as well as long-term (24 h) memory of separate  what  (object identity) and  where  (object location) components of object recognition. Although object recognition training is associated to low arousal levels, all the animals received habituation to the training box in order to further reduce emotional arousal. Post-training EPI improved long-term (24 h and 48 h), but not short-term (3 h), memory in the standard object recognition task, as well as 24 h memory for both object identity and object location. These data indicate that post-training epinephrine: (1) facilitates long-term memory for standard object recognition; (2) exerts separate facilitatory effects on  what  (object identity) and  where  (object location) components of object recognition; and (3) is capable of improving memory for a low arousing task even in highly habituated rats.",M1
19664643,"Modification of endothelial biology by acute and chronic stress hormones.OBJECTIVE: An increasing number of studies have examined the role of emotional stress and coronary heart disease; the underlying pathophysiology is still poorly understood. The present study was designed to evaluate the relationship between acute (<e>epi</e>- and norepinephrine) and chronic stress hormones (dexamethasone, beta-endorphin, corticotropin releasing hormone) and endothelial dysfunction. METHODS: Human microvascular endothelial cells were incubated with stress hormones for 6 and 24 h. ET-1 release and ADMA were quantified via ELISA, NO release by using cell permeable 4.5-diaminofluorescein diacetate (DAF2-DA), oxidative stress fluometrically by the ROS-sensitive carboxy-H2-DCFDA method, mitochondrial metabolic activity by using the colorimetric assay WST-1, ET-1 receptor type A (ET(A)R) protein expression by Western blot, and cell proliferation activity was assessed by the colorimetric assay BrdU. RESULTS: With respect to analysed acute and chronic stress hormones, ET-1 release was significantly increased. Likewise, protein expression was enhanced after long term incubation (24 h) with norepinephrine and dexamethasone. In contrast, endothelial NO-levels were only influenced by short term stimulation of dexamethasone (upregulation of NO release) and norepinephrine (downregulation of NO release), whereas modified NO concentration mimics altered mitochondrial metabolic activity. Unexpectedly, both oxidative stress and cell proliferation were not modified by stress hormones. CONCLUSION: Results suggest that acute and chronic stress hormones induce a significant ET-1 release whereas NO release remained mainly unchanged. The imbalance of pro- and antiatherosclerotic factors may play a pivotal role in the initiation of stress-related endothelial dysfunction up to myocardial infarction.",M1
19656409,"Effect of the dietary supplement Meltdown on catecholamine secretion, markers of lipolysis, and metabolic rate in men and women: a randomized, placebo controlled, cross-over study.BACKGROUND: We have recently reported that the dietary supplement Meltdown increases plasma norepinephrine (NE), epinephrine (<e>EPI</e>), glycerol, free fatty acids (FFA), and metabolic rate in men. However, in that investigation measurements ceased at 90 minutes post ingestion, with values for blood borne variables peaking at this time. It was the purpose of the present investigation to extend the time course of measurement to 6 hours, and to include women within the design to determine if sex differences to treatment exist. METHODS: Ten men (24 +/- 4 yrs) and 10 women (22 +/- 2 yrs) ingested Meltdown or a placebo, using a randomized, cross-over design with one week separating conditions. Blood samples were collected immediately before supplementation and at one hour intervals through 6 hours post ingestion. A standard meal was provided after the hour 3 collection. Samples were assayed for EPI, NE, glycerol, and FFA. Five minute breath samples were collected at each time for measurement of metabolic rate and substrate utilization. Area under the curve (AUC) was calculated. Heart rate and blood pressure were recorded at all times. Data were also analyzed using a 2 (sex) x 2 (condition) x 7 (time) repeated measures analysis of variance, with Tukey post hoc testing. RESULTS: No sex x condition interactions were noted for AUC for any variable (p &gt; 0.05). Hence, AUC data are collapsed across men and women. AUC was greater for Meltdown compared to placebo for EPI (367 +/- 58 pg x mL(-1) x 6 hr(-1) vs. 183 +/- 27 pg x mL(-1) x 6 hr(-1); p = 0.01), NE (2345 +/- 205 pg x mL(-1) x 6 hr(-1) vs. 1659 +/- 184 pg x mL(-1) x 6 hr(-1); p = 0.02), glycerol (79 +/- 8 microg x mL)-1) x 6 hr(-1) vs. 59 +/- 6 microg x mL(-1) x 6 hr(-1); p = 0.03), FFA (2.46 +/- 0.64 mmol x L(-1) x 6 hr(-1) vs. 1.57 +/- 0.42 mmol x L(-1) x 6 hr(-1); p = 0.05), and kilocalorie expenditure (439 +/- 26 kcal x 6 hrs(-1) vs. 380 +/- 14 kcal x 6 hrs(-1); p = 0.02). No effect was noted for substrate utilization (p = 0.39). Both systolic and diastolic blood pressure (p &lt; 0.0001; 1-16 mmHg), as well as heart rate (p = 0.01; 1-9 bpm) were higher for Meltdown. No sex x condition x time interactions were noted for any variable (p &gt; 0.05). CONCLUSION: Ingestion of Meltdown results in an increase in catecholamine secretion, lipolysis, and metabolic rate in young men and women, with a similar response for both sexes. Meltdown may prove to be an effective intervention strategy for fat loss, assuming individuals are normotensive and their treatment is monitored by a qualified health care professional.",M1
19542503,"Interrelationships among growth, endocrine, immune, and temperament variables in neonatal Brahman calves.Interrelationships among growth, endocrine, immune, and temperament variables were assessed in neonatal Brahman calves. The velocity upon exiting a working chute (exit velocity) of an animal was measured and used as an objective indicator of temperament to classify calves as calm, intermediate, or temperamental. Calves (n = 116) were weighed weekly between d 0 and 21 to 24, and blood samples were collected for plasma and serum on d 0, 1, 2, 7, 14, and 21 to 24 after birth to measure concentrations of immunoglobulins, cortisol, and epinephrine (<e>EPI</e>). Body weight increased from d 0 through d 21 to 24 (P &lt; 0.001) with bulls (n = 60) having greater BW than heifers (n = 56; P = 0.02). Serum concentrations of cortisol were greatest on d 0 before declining (P &lt; 0.001) over the ensuing 21 to 24 d and were not related to temperament (P = 0.89) or sex (P = 0.97). Concentrations of EPI were affected by time, with an increase in EPI concentrations in temperamental bulls between 2 and 14 d of age (P &lt; 0.008). Concentrations of EPI were not affected by temperament (P = 0.44) or sex (P = 0.68). Serum immunoglobulin concentrations peaked on d 1 before declining (P &lt; 0.01) but were not related to temperament (P = 0.40 to 0.68). Of the stress hormones measured (cortisol and EPI), only cortisol was associated with the early performance of the calf. Calf BW at d 21 to 24 and BW gain were positively associated with serum immunoglobulin concentrations, yet negatively associated with concentrations of cortisol. Serum immunoglobulin concentrations were negatively correlated with cortisol concentrations (r = -0.28; P = 0.003), yet positively associated with EPI concentrations (r = 0.51; P = 0.003). During the neonatal period in this study, there was no relationship of temperament with passive immunity or stress hormone concentrations; however, growth was positively associated with passive immunity and negatively associated with stress hormones. Measuring exit velocity as early in life as d 21 to 24 fails to accurately predict temperament at weaning in over 40% of Brahman calves. Our conclusion is that measurement of exit velocity should be done nearer to the time of weaning than to birth. These data can be beneficial in developing best management practices for young calves.",M1
19497958,"Adrenergic activation of electrogenic K+ secretion in guinea pig distal colonic epithelium: desensitization via the Y2-neuropeptide receptor.Adrenergic activation of electrogenic K+ secretion in isolated mucosa from guinea pig distal colon was desensitized by peptide-YY (PYY). Addition of PYY or neuropeptide-Y (NPY) to the bathing solution of mucosae in Ussing chambers suppressed the short-circuit current (Isc) corresponding to electrogenic Cl- secretion, whether stimulated by epinephrine (<e>epi</e>), prostaglandin-E2 (PGE2), or carbachol (CCh). Neither peptide markedly inhibited the large transient component of synergistic secretion (PGE2 + CCh). Sustained Cl- secretory Isc was inhibited approximately 65% by PYY or NPY, with IC50s of 4.1 +/- 0.9 nM and 9.4 +/- 3.8 nM, respectively. This inhibition was eliminated by BIIE0246, an antagonist of the Y2-neuropeptide receptor (Y2-NpR), but not by Y1-NpR antagonist BVD10. Adrenergic sensitivity for activation of K+ secretion in the presence of Y2-NpR blockade by BIIE0246 was (EC50s) 2.9 +/- 1.2 nM for epi and 13.3 +/- 1.0 nM for norepinephrine, approximately fourfold greater than in the presence of PYY. Expression of mRNA for both Y1-NpR and Y2-NpR was indicated by RT-PCR of RNA from colonic mucosa, and protein expression was indicated by immunoblot. Immunoreactivity (ir) for Y1-NpR and Y2-NpR was distinct in basolateral membranes of columnar epithelial cells in the crypts of Lieberkühn as well as intercrypt surface epithelium. Adrenergic nerves in proximity with crypts were detected by ir for dopamine-beta-hydroxylase, and a portion of these nerves also contained NPY(ir). BIIE0246 addition increased secretagog-activated Isc, consistent with in vitro release of either PYY or NPY. Thus PYY and NPY were able to suppress Cl- secretory capacity and desensitize the adrenergic K+ secretory response, providing a direct inhibitory counterbalance against secretory activation.",M1
