@RELATION C0015683_C0015923

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20219977,"The positive effects of growth hormone-releasing peptide-6 on weight gain and fat mass accrual depend on the insulin/glucose status.Ghrelin and GH secretagogues, including GH-releasing peptide (GHRP)-6, stimulate food intake and adiposity. Because insulin modulates the hypothalamic response to GH secretagogues and acts synergistically with ghrelin on lipogenesis in vitro, we analyzed whether insulin plays a role in the metabolic effects of GHRP-6 in vivo. Streptozotocin-induced diabetic rats received saline, GHRP-6, insulin, or insulin plus GHRP-6 once daily for 8 wk. Rats receiving saline suffered hyperglycemia, hyperphagia, polydipsia, and weight loss. Insulin, but not GHRP-6, improved these parameters (P &lt; 0.001 for all), as well as the diabetes-induced increase in hypothalamic mRNA levels of neuropeptide Y and agouti-related peptide and decrease in proopiomelanocortin. Cocaine amphetamine-related transcript mRNA levels were also reduced in diabetic rats, with GHRP-6 inducing a further decrease (P &lt; 0.03) and insulin an increase. Diabetic rats receiving insulin plus GHRP-6 gained more weight and had increased epididymal fat mass and serum leptin levels compared with all other groups (P &lt; 0.001). In epididymal adipose tissue, diabetic rats injected with saline had smaller adipocytes (P &lt; 0.001), decreased fatty acid synthase (<e>FAS</e>; P &lt; 0.001), and glucose transporter-4 (P &lt; 0.001) and increased hormone sensitive lipase (P &lt; 0.001) and proliferator-activated receptor-gamma mRNA levels (P &lt; 0.01). Insulin normalized these parameters to control values. GHRP-6 treatment increased FAS and glucose transporter-4 gene expression and potentiated insulin's effect on epididymal fat mass, adipocyte size (P &lt; 0.001), FAS (P &lt; 0.001), and glucose transporter-4 (P &lt; 0.05). In conclusion, GHRP-6 and insulin exert an additive effect on weight gain and visceral fat mass accrual in diabetic rats, indicating that some of GHRP-6's metabolic effects depend on the insulin/glucose status.",M1
20193134,"High glucose induces differentiation and adipogenesis in porcine muscle satellite cells via mTOR.The present study investigated whether the mammalian target of rapamycin (mTOR) signal pathway is involved in the regulation of high glucose-induced intramuscular adipogenesis in porcine muscle satellite cells. High glucose (25 mM) dramatically increased intracellular lipid accumulation in cells during the 10-day adipogenic differentiation period. The expressions of CCAAT/enhancer binding protein-alpha (C/EBP-alpha) and fatty acid synthase (<e>FAS</e>) protein were gradually enhanced during the 10-day duration while mTOR phosphorylation and sterol-regulatory-element-binding protein (SREBP)-1c protein were induced on day 4. Moreover, inhibition of mTOR activity by rapamycin resulted in a reduction of SREBP-1c protein expression and adipogenesis in cells. Collectively, our findings suggest that the adipogenic differentiation of porcine muscle satellite cells and a succeeding extensive adipogenesis, which is triggered by high glucose, is initiated by the mTOR signal pathway through the activation of SREBP-1c protein. This process is previously uncharacterized and suggests a cellular mechanism may be involved in ectopic lipid deposition in skeletal muscle during type 2 diabetes.",M1
20173758,"Insulin therapy stimulates lipid synthesis and improves endocrine functions of adipocytes in dietary obese C57BL/6 mice.AIM: To evaluate whether insulin intervention could affect the metabolic and endocrine functions of adipose tissue. METHODS: C57BL/6 mice were fed on a high-fat-diet for 12-16 weeks to induce insulin resistance. Insulin intervention was administered in the high-fat-diet mice for 4 weeks at 12 weeks (early insulin treatment) or 16 weeks (late insulin treatment). Intraperitoneal glucose tolerance tests were performed before and after insulin treatment. Expression levels of factors involved in the triglyceride synthesis and endocrine functions of adipose tissue including phosphoenolpyruvate carboxykinase (PEPCK-C), fatty acid synthase (<e>FAS</e>), aquaporin 7 (AQP7), adiponectin, visfatin, and interleukin-6 (IL-6) were determined by Western blot. RESULTS: In the obese mice, glucose tolerance was impaired; triglyceride content was increased in the liver tissue; protein expression of FAS and adiponectin was decreased; expression of visfatin was increased in adipose tissue. After 4-week insulin treatment, glucose tolerance was improved; triglyceride content was decreased in the liver and skeletal muscle; expression of PEPCK-C, FAS, and adiponectin was increased in the adipose tissue; IL-6 and AQP7 expression was reduced in the fat. Early insulin treatment had better effect in increasing the expression of FAS and PEPCK-C and decreasing the expression of IL-6. CONCLUSION: These results indicate that insulin can target adipocytes for improvement of insulin sensitivity through stimulating triglyceride synthesis and partly improving endocrine functions.",M1
20173757,"A mutant of HBx (HBxDelta127) promotes hepatoma cell growth via sterol regulatory element binding protein 1c involving 5-lipoxygenase.AIM: Previously, we identified a natural mutant of hepatitis B virus X gene (HBx) with a deletion from 382 to 401 base pairs (termed HBxDelta127), which could potently enhance growth of hepatoma cells. In this study, we further investigated the mechanism of increased hepatoma cell growth that was mediated by HBxDelta127. METHODS: We examined the effect of HBxDelta127 on the transcription factor sterol regulatory element-binding protein 1c (SREBP-1c) and fatty acid synthase (<e>FAS</e>) in a model of HepG2-XDelta127 (or H7402-XDelta127) cells, which was stably transfected with HBxDelta127 gene in a human hepatoma HepG2 (or H7402) cell line. RESULTS: Relative to wild type HBx, HBxDelta127 was able to potently activate SREBP-1c at the levels of promoter activity, mRNA and protein by a luciferase reporter gene assay, RT-PCR and Western blot analysis. Then, using the treatment with MK886, a specific 5-lipoxygenases (5-LOX) inhibitor, (or 5-LOX siRNA) we identified that 5-LOX was responsible for the upregulation of SREBP-1c by luciferase reporter gene assay, RT-PCR and Western blot analysis. Because FAS was a target gene of SREBP-1c, we further showed that HBxDelta127 was able to strongly activate the promoter activity of FAS and upregulated the mRNA expression level of FAS as well, by luciferase reporter gene assay and RT-PCR. In function, flow cytometry analysis revealed that FAS contributed to the growth of hepatoma cells that was mediated by HBxDelta127, using cerulenin (a FAS inhibitor). CONCLUSION: HBxDelta127 promotes hepatoma cell growth through activating SREBP-1c involving 5-LOX.",M1
20148945,"Peptides from purified soybean beta-conglycinin inhibit fatty acid synthase by interaction with the thioesterase catalytic domain.Fatty acid synthase (<e>FAS</e>) is uniquely expressed at high levels in cancer cells and adipose tissue. The objectives of this study were to identify, purify and validate soy FAS inhibitory peptides and to predict their binding modes. Soy peptides were isolated from hydrolysates of purified beta-conglycinin by co-immunoprecipitation and identified using LC-MS/MS. Three peptides, KNPQLR, EITPEKNPQLR and RKQEEDEDEEQQRE, inhibited FAS. The biological activity of these peptides was confirmed by their inhibitory activity against purified chicken FAS (IC(50) = 79, 27 and 16 mum, respectively) and a high correlation (r = -0.7) with lipid accumulation in 3T3-L1 adipocytes. The FAS inhibitory potency of soy peptides also correlated with their molecular mass, pI value and the number of negatively charged and hydrophilic residues. Molecular modeling predicted that the large FAS inhibitory peptides (EITPEKNPQLR and RKQEEDEDEEQQRE) bond to the thioesterase domain of human FAS with lower interaction energies (-442 and -353 kcal.mol(-1), respectively) than classical thioesterase inhibitors (Orlistat, -91 kcal.mol(-1) and C75, -51 kcal.mol(-1)). Docking studies suggested that soy peptides blocked the active site through interactions within the catalytic triad, the interface cavity and the hydrophobic groove in the human FAS thioesterase domain. FAS thioesterase inhibitory activities displayed by the synthetic soy peptides EITPEKNPQLR and RKQEEDEDEEQQRE (IC(50) = 10.1 +/- 1.6 and 10.7 +/- 4.4 mum, respectively) were higher than C75 (58.7 mum) but lower than Orlistat (0.9 mum). This is the first study to identify FAS inhibitory peptides from purified beta-conglycinin hydrolysates and predict their binding modes at the molecular level, leading to their possible use as nutraceuticals.",M1
20126469,"A mutant of hepatitis B virus X protein (HBxDelta127) promotes cell growth through a positive feedback loop involving 5-lipoxygenase and fatty acid synthase.Hepatocellular carcinoma (HCC) is one of the most common malignant tumors worldwide. Hepatitis B virus X protein (HBx) contributes to the development of HCC, whereas HBx with COOH-terminal deletion is a frequent event in the HCC tissues. Previously, we identified a natural mutant of HBx-truncated 27 amino acids at the COOH-terminal (termed HBxDelta127), which strongly enhanced cell growth. In the present study, we focused on investigating the mechanism. Accordingly, fatty acid synthase (<e>FAS</e>) plays a crucial role in cancer cell survival and proliferation; thus, we examined the signaling pathways involving FAS. Our data showed that HBxDelta127 strongly increased the transcriptional activities of FAS in human hepatoma HepG2 and H7402 cells. Moreover, we found that 5-lipoxygenase (5-LOX) was responsible for the up-regulation of FAS by using MK886 (an inhibitor of 5-LOX) and 5-LOX small interfering RNA. We observed that HBxDelta127 could upregulate 5-LOX through phosphorylated extracellular signal-regulated protein kinases 1/2 and thus resulted in the increase of released leukotriene B4 (LTB4, a metabolite of 5-LOX) by ELISA. The additional LTB4 could upregulate the expression of FAS in the cells as well. Interestingly, we found that FAS was able to upregulate the expression of 5-LOX in a feedback manner by using cerulenin (an inhibitor of FAS). Collectively, HBxDelta127 promotes cell growth through a positive feedback loop involving 5-LOX and FAS, in which released LTB4 is involved in the up-regulation of FAS. Thus, our finding provides a new insight into the mechanism involving the promotion of cell growth mediated by HBxDelta127.",M1
20074555,"Evaluation of inhibition of fatty acid synthase by ursolic acid: positive cooperation mechanism.The inhibitory effect of ursolic acid (UA) on fatty acid synthase (<e>FAS</e>, EC 2.3.1.85) was investigated. We found that UA potently inhibited the activity of FAS with a half-inhibitory concentration value (IC(50)) of 6.0 microg/ml. The inhibition kinetic results showed that the inhibition of FAS by UA was competitive against acetyl-CoA and malonyl-CoA, but uncompetitive to NADPH. UA at low concentration slowly inactivated FAS, but FAS was fast inactivated by high concentration of UA in a positive cooperative manner. Moreover, NADPH significantly enhanced the inactivation of FAS by low concentration of UA, but NADPH slightly decreased the inactivation of FAS by high concentration of UA. Taken together, the results suggest that ursolic acid decreases the FAS activity through inactivation of acetyl/malonyl transferase. The combination of NADPH and KR domain promotes the inhibitory effect of UA on FAS.",M1
20043266,"The 10t,12c isomer of conjugated linoleic acid inhibits fatty acid synthase expression and enzyme activity in human breast, colon, and prostate cancer cells.The objective of this study was to determine whether downregulation of fatty acid synthase (<e>FAS</e>) expression and/or inhibition of its activity by the two major CLA isomers, 10t,12c and 9c,11t CLA, could contribute to their inhibitory effect on the growth of human breast (MCF-7), colon (HT-29) and prostate (LNCaP) cancer cell lines. We first confirmed and extended the results of others showing that the inhibitory action of CLA on proliferation is dependent on the cell type as well as the structure of the isomer, the 10,12 isomer being a more potent inhibitor than the 9,11 isomer in the concentration range 25-100 microM. By Western analysis, we showed that 10,12 CLA downregulated FAS expression in all of the cell lines in a concentration-dependent manner, but the 9,11 isomer had no effect. Both isomers inhibited FAS enzyme activity, but 10,12 CLA was again more potent than the 9,11 isomer. Our results suggest that downregulation of FAS by 10,12 CLA, but not by the 9,11 isomer, as well as inhibition of FAS enzyme activity by both isomers, may contribute to growth inhibition of cancer cells but only at relatively high concentrations.",M1
20021705,"Effect of prebiotic fibre supplementation on hepatic gene expression and serum lipids: a dose-response study in JCR:LA-cp rats.Prebiotic fibres have been proposed to promote weight loss and lower serum cholesterol; however, the mechanisms are not fully understood. The aim of the present research was to identify possible mechanisms through which prebiotic fibres improve serum lipids. Lean and obese JCR:La-cp rats aged 8 weeks consumed one of three diets supplemented with 0, 10 or 20 % prebiotic fibre for 10 weeks. Rats were anaesthetised and a fasting blood sample was taken for lipid analysis. Real-time PCR was used to determine gene expression for cholesterol and fatty acid regulatory genes in liver tissue. Liver and caecal digesta cholesterol and TAG content were quantified. Both doses of prebiotic fibre lowered serum cholesterol levels by 24 % in the obese hyperlipidaemic rats (P &lt; 0.05). This change was associated with an increase in caecal digesta as well as an up-regulation of genes involved in cholesterol synthesis and bile production. Additionally, there was a 42 % reduction in TAG accumulation in the liver of the obese rats with 10 % prebiotic diet (P &lt; 0.05); however, no change in liver fatty acid synthase (<e>FAS</e>). Prebiotic fibres appear to lower cholesterol levels through increased cholesterol excretion in the form of bile and inhibit the accumulation of TAG in the liver through a mechanism unrelated to FAS. These effects appear to be limited to the obese model and particularly the 10 % dose. The present work is significant as it provides insight into the mechanisms of action for prebiotic fibres on lipid metabolism and furthers the development of dietary treatments for hypercholesterolaemia.",M1
19874137,"Inhibitory effects of thioethers on fatty acid synthase and 3T3-L1 cells.Thioethers are the main flavor compounds found in Liliaceae Allium vegetables and have been shown to have beneficial effects against several diseases correlated with metabolic syndrome. The inhibitory effects of six thioethers on fatty acid synthase (<e>FAS</e>) were investigated. Dose-dependent and time-dependent inhibitions of FAS by one trisulfide and two disulfides were revealed. Diallyl trisulfide (DATS, IC(50) = 8.37 microM) was the most active of these thioethers. Inhibition kinetics, substrate protection analysis, and stoichiometric assay revealed that DATS interacted with both essential sulfhydryl groups on the acyl-carrier protein and beta-ketoacyl synthase domain of FAS to inactivate the enzyme. The inactivation by DATS represented affinity-labeling kinetics. The active thioethers also inhibited the differentiation and lipid accumulation of 3T3-L1 preadipocytes, and the effect was related to their inhibition of FAS. It is suggested that the inhibition on FAS by thioethers and Allium vegetables is an important factor for their effects against metabolic syndrome.",M1
