@RELATION C0016410_C0015625

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20308400,"Characterization of folate-dependent enzymes and indices of folate status in laying hens supplemented with folic acid or 5-methyltetrahydrofolate.The conversion of folic acid (<e>FA</e>) to the biologically active 5-methyltetrahydrofolate (5-MTHF) is necessary for the deposition of folate in the egg. A study was conducted to compare egg folate concentrations, indices of folate status, and activities of folate-dependent enzymes in response to equimolar intake of either FA or 5-MTHF in laying hens. Forty-eight laying hens, 24 wk of age, from 2 different strains (Shaver White and Shaver Brown) were randomly assigned to receive 1 of 3 (n = 8 per strain) dietary treatments: 1) basal diet with no supplemental folate, 2) basal diet + 10 mg/kg of FA, or 3) basal diet + 11.3 mg/kg of 5-MTHF for 3 wk. A completely randomized design with 3 dietary treatments and 2 laying hen strains in a 3 x 2 factorial arrangement was used. Data were subjected to ANOVA, using the PROC GLM procedure of SAS. Plasma homocysteine, serum, and egg folate concentrations; hepatic serine hydroxymethyltransferase; and methionine synthase activity were affected by dietary folate supplementation but not by its form (FA and 5-MTHF). Relative to control hens, plasma homocysteine was decreased (P &lt; 0.05) by 14.2%, whereas serum and egg folate were increased (P &lt; 0.05) by 78.3 and 61.8%, respectively, in hens consuming either folate compound. Hepatic serine hydroxymethyltransferase and methionine synthase activity were increased and decreased (P &lt; 0.05), respectively, in folate-fed birds compared with control-fed birds. Hepatic dihydrofolate reductase was influenced by both the addition and form of dietary folate, being higher (P &lt; 0.05) in FA-fed birds than in 5-MTHF and control-fed birds. Feed efficiency was improved (P &lt; 0.05) in 5-MTHF-fed birds relative to FA-fed birds. Strain of hen influenced serum folate and plasma homocysteine concentrations but not other indices of folate metabolism. Overall, FA and 5-MTHF have equivalent effects in enhancing egg folate concentrations and improving folate status in laying hens. Also, supplementation and form of folate may modulate the activity of folate-dependent enzymes.",M1
20206253,"Vigabatrin (VGB) administered during late gestation lowers maternal folate concentration and causes pregnancy loss, fetal growth restriction and skeletal hypoplasia in the mouse.Vigabatrin (VGB) has several therapeutic advantages over older antiepileptic drugs (AED), but there is a lack of information about its potential reproductive toxicologic effects. Our aim was to evaluate the consequences of VGB administered during late gestation on fetal growth and development in the mouse. Based on the results of our previous study, we administered groups of mice a single dose of 450 mg/kg VGB on one of gestation days (GD) 15, 16 or 17. Fetuses were collected on GD 18. VGB groups had a significant incidence of fetal death, abortion, intrauterine growth restriction (IUGR), and hypoplasia of the axial skeleton, metacarpals, metatarsal and phalanges. Abortion was characterized by visible hemorrhagic expulsion of the embryos with their membranes. Maternal plasma folate (<e>FA</e>) and vitamin B12 concentrations were found to be markedly reduced within 12h of VGB treatment. Mice were supplemented with FA from GD 12 through GD 17 with or without a single dose of VGB on GD 15. This group had no abortions. Their fetuses had better body weight and lower frequency of IUGR than those of the non-supplemented VGB group. These data suggest that reductions in maternal FA and vitamin B12 concentrations play an important role in fetal loss, IUGR and skeletal hypoplasia induced by VGB during late gestation in the mouse. In view of the finding that a significant maternal toxicity is associated with this dose regimen, additional groups of mice were treated with 350 mg/kg VGB during embryogenesis and late gestation. This treatment was found to be maternally nontoxic. However, this low dose also resulted in significant fetal loss and IUGR when treatment occurred during late gestation. These data support the hypothesis that late gestation is particularly susceptible to VGB-induced fetal loss and IUGR in the mouse.",M1
20175948,"Folic acid supplementation in pregnant women.INTRODUCTION: Folic acid (<e>FA</e>) deficiency is associated with neural tube defects (NTD). In a non-risk pregnancy, The Danish National Board of Health recommends FA supplementation from planned pregnancy until three months after conception. We explored pregnant women's knowledge about and actual supplementation with FA and related this to education, number of pregnancies and age. MATERIAL AND METHODS: Eighty-four consecutive pregnant women with a midwife consultation were included in the period 25-28 August 2008. All filled in a unified questionnaire. RESULTS: 82% had knowledge of FA supplementation and 89% received FA supplementation. 51% followed national recommendations. We found a statistically significant correlation between higher educational level and knowledge about FA supplementation, actual supplementation of FA and FA supplementation in accordance with national recommendations. No statistical associations were found between number of pregnancies or age and any FA-related parameters. Family, friends, general practitioner (GP) and the internet were the main information sources. CONCLUSION: Correct FA supplementation is quite low; conversely, knowledge about and actual FA supplementation are fairly high. Further intervention is necessary to increase the level of correct FA supplementation. Women with a low educational level--which may herald low socio-economic status--seem to form a suitable target group for information campaigns. Multiple pregnancies or higher age should not be perceived as indicators of a higher information level. Dissemination of information to the pregnant women including family, friends, GPs or the internet is recommended.",M1
20134159,"Moderate or supranormal folic acid supplementation does not exert a protective effect for homocysteinemia and methylation markers in growing rats.BACKGROUND/AIMS: Folic acid (<e>FA</e>) deficiency/supplementation effects seem to be dependent on age group and/or physiological status. The aim was to evaluate changes associated with rapid growth in relation to methionine metabolism in rats. METHODS: Four groups (n = 10 each) of male Sprague Dawley rats (5 weeks old) were on diets that varied in their FA content: 0 mg FA/kg diet (deficient), 2 mg FA/kg diet (control), 8 mg FA/kg diet (moderate supplementation), 40 mg FA/kg diet (supranormal supplementation). Animals were fed ad libitum for 30 days. Biomarkers of methionine metabolism and antioxidant status were evaluated. RESULTS: Serum total homocysteine concentration increased (p &lt; 0.01) in FA deficient animals, with no differences between the supplemented groups. The hepatic 'methylation ratio' (S-adenosylmethionine/S-adenosylhomocysteine) of the FA content groups reached similar values, which were significantly higher compared to the deficient group. The brain 'methylation ratio', however, remained unmodified independently of FA content in the diet. FA deficiency induced hepatic DNA hypomethylation, and supranormal FA supplementation exerted the most protective effect (p &lt; 0.01). Serum folate levels increased according to FA dietary level, whereas no differences were seen for vitamin B(12) and vitamin B(6). CONCLUSIONS: FA deficiency compromises methionine metabolism whereas supplementation does not show an additional positive effect compared to the control diet in growing animals.",M1
20117198,"Folate mediated histidine derivative of quaternised chitosan as a gene delivery vector.Folate targeted gene delivery vectors showed enhanced accumulation in folate receptor expressing tumor model. In the present work, the water solubility and transfection efficiency of chitosans were improved by modifying the depolymerised trimethylated chitosans with histidine moiety. Folate mediated targeting was induced by conjugating poly(ethylene glycol)-folate (PEG-<e>FA</e>) on histidine modified chitosan polymer having low molecular weight of 15 kDa and high degree of quaternisation (HTFP15-H). The zeta potential and size of the HTFP15-H/pDNA nanoparticles were determined using dynamic light scattering technique and the results were confirmed by transmission electron microscopy (TEM). The morphology of the nanoparticles was found spherical in shape having core-shell nanostructure. The HTFP15-H derivative found to buffer in the pH range from 10 to 4. The blood compatibility in terms of percentage hemolysis, erythrocyte aggregation and also by platelet activation was found to be significantly improved compared to the control vector PEI. At a concentration of 10 microg the derivative promote the cell growth up to 139% compared to control at normal cell growing conditions. The transfection efficiency in KB cell line, which over expresses the folate receptor (FR) in presence of 10% fetal bovine serum (FBS) was also found to be comparable to the control. Moreover the enhanced cellular and nuclear uptake due to the conjugation of both folic acid and histidine makes it a potential vector for gene delivery applications.",M1
20060418,"Folic acid and soybean isoflavone combined supplementation protects the post-neural tube closure defects of rodents induced by cyclophosphamide in vivo and in vitro.To evaluate the neuroprotective effect of folic acid (<e>FA</e>) and soybean isoflavone (SIF) combined supplementation on the post-neural tube closure of rodents induced by cyclophosphamide (CPA) in vitro and in vivo, pregnant rats were randomly divided into control, model, solo-FA intervention, solo-SIF intervention and co-intervention of FA and SIF groups. Rats in solo-intervention groups and co-intervention group were treated with FA 0.7 mg/kg, SIF 160 mg/kg and FA 0.7 mg/kg+SIF 160 mg/kg at the duration of pregnancy, respectively. On the 13th day of gestation, control rats were given physiological saline and the other four groups were treated with CPA12.5mg/kg. On the 14th day of gestation, three rats selected randomly from every group were executed and the ultrastructure, DNA damage and the proteins expressions of Bcl-2, Bax and P53 on embryo brains were checked. The rest of the rats were executed on the 20th day, the frequency of neural tube closure defects and fetus' development indices were measured. In addition, T-SOD, MDA and NO in serum of the pregnant rats were checked. In vitro, the effect of FA and genistein on the apoptosis was determined. Compared with the model group, the malformation incidence was lower but fetus' development indices were higher in the combination treated group. The combination decreased the damage of CPA, such as damaged nuclear DNA, early apoptotic morphological changes, Bax and P53 expressions on embryo brains and in vivo. Furthermore, T-SOD activity in serum of the pregnant rats increased and the levels of MDA and NO decreased in the combined supplementation group. Our study indicates the neuroprotection of FA and SIF combined administration is superior to solo treatment. Decrease of DNA damage and neuron apoptosis involved in the mechanisms. Furthermore, the up-regulation of Bcl-2 and the down-regulation of Bax and P53 proteins also participate in the effect.",M1
20054435,"Optimization of the preparation process of vinblastine sulfate (VBLS)-loaded folate-conjugated bovine serum albumin (BSA) nanoparticles for tumor-targeted drug delivery using response surface methodology (RSM).Response surface methodology (RSM) was used to optimize the process of preparing bovine serum albumin (BSA) nanoparticles by desolvation, then the resulting BSA nanoparticles (BSANPs) were conjugated with folate to produce a drug carrier system that can specifically target tumors. The anticancer drug, vinblastine sulfate (VBLS), was loaded to this tumor-specific drug carrier system for the purpose of overcoming the nonspecific targeting characteristics and side effects of the drug. A central composite design was applied for modeling the process, which was composed of four independent variables, namely BSA concentration, the rate of adding ethanol (ethanol rate), ethanol amount, and the degree of crosslinking. The mean particle size and residual amino groups of the BSANPs were chosen as response variables. The interactive effects of the four independent variables on the response variables were studied. The characteristics of the nanoparticles; such as amount of folate conjugation, drug entrapment efficiency, drug-loading efficiency, surface morphology and release kinetics in vitro were investigated. Optimum conditions for preparing desired BSANPs, with a mean particle size of 156.6 nm and residual amino groups of 668.973 nM/mg, were obtained. The resulting folate-conjugated BSANPs (<e>FA</e>-BSANPs) showed a drug entrapment efficiency of 84.83% and drug-loading efficiency of 42.37%, respectively, and the amount of folate conjugation was 383.996 microM/g BSANPs. The results of this study indicate that using FA-BSANPs as a drug carrier system could be effective in targeting VBLS-sensitive tumors in the future.",M1
20036904,"Emax model and interaction index for assessing drug interaction in combination studies.Applying the Emax model in a Lowe additivity model context, we analyze data from a combination study of trimetrexate (TMQ) and AG2034 (AG) in media of low and high concentrations of folic acid (<e>FA</e>). The Emax model provides a sufficient fit to the data. TMQ is more potent than AG in both low and high FA media. At low TMQ:AG ratios, when a smaller amount of the more potent drug (TMQ) is added to a larger amount of the less potent drug (AG), synergy results. When the TMQ:AG ratio reaches 0.4 or larger in low FA medium, or when the TMQ:AG ratio reaches 1 or larger in high FA medium, synergy is weakened and drug interaction becomes additive. In general, synergistic effect in a dilution series is stronger at higher doses that produce stronger effects (closer to 1-Emax) than at lower dose levels that produce weaker effects (closer to 1). The two drugs are more potent in the low compared to the high FA medium. Drug synergy, however, is stronger in the high FA medium.",M1
20035998,"A molecular receptor targeted, hydroxyapatite nanocrystal based multi-modal contrast agent.Multi-modal molecular imaging can significantly improve the potential of non-invasive medical diagnosis by combining basic anatomical descriptions with in-depth phenotypic characteristics of disease. Contrast agents with multifunctional properties that can sense and enhance the signature of specific molecular markers, together with high biocompatibility are essential for combinatorial molecular imaging approaches. Here, we report a multi-modal contrast agent based on hydroxyapatite nanocrystals (nHAp), which is engineered to show simultaneous contrast enhancement for three major molecular imaging techniques such as magnetic resonance imaging (MRI), X-ray imaging and near-infrared (NIR) fluorescence imaging. Monodispersed nHAp crystals of average size approximately 30 nm and hexagonal crystal structure were in situ doped with multiple rare-earth impurities by a surfactant-free, aqueous wet-chemical method at 100 degrees C. Doping of nHAp with Eu(3+) (3 at%) resulted bright near-infrared fluorescence (700 nm) due to efficient (5)D(0)-(7)F(4) electronic transition and co-doping with Gd(3+) resulted enhanced paramagnetic longitudinal relaxivity (r(1) approximately 12 mM(-1) s(-1)) suitable for T(1) weighted MR imaging together with approximately 80% X-ray attenuation suitable for X-ray contrast imaging. Capability of MF-nHAp to specifically target and enhance the signature of molecular receptors (folate) in cancer cells was realized by carbodiimide grafting of cell-membrane receptor ligand folic acid (<e>FA</e>) on MF-nHAp surface aminized with dendrigraft polymer, polyethyleneimine (PEI). The FA-PEI-MF-nHAp conjugates showed specific aggregation on FR(+ve) cells while leaving the negative control cells untouched. Nanotoxicity evaluation of this multifunctional nHAp carried out on primary human endothelial cells (HUVEC), normal mouse lung fibroblast cell line (L929), human nasopharyngeal carcinoma (KB) and human lung cancer cell line (A549) revealed no apparent toxicity even upto relatively higher doses of 500 microg/mL and 48 h of incubation. Flow-cytometry based reactive oxygen species (ROS) analysis also showed no significant levels of ROS generation in the nHAp treated cells. The tri-modal contrast imaging functionality together with molecular receptor targeting capability and biocompatibility makes MF-nHAp a promising biomineral contrast agent for combinatorial molecular imaging.",M1
20033930,"Functional graphene oxide as a nanocarrier for controlled loading and targeted delivery of mixed anticancer drugs.A simple synthetic route for the preparation of functional nanoscale graphene oxide (NGO), a novel nanocarrier for the loading and targeted delivery of anticancer drugs, is reported. The NGO is functionalized with sulfonic acid groups, which render it stable in physiological solution, followed by covalent binding of folic acid (<e>FA</e>) molecules to the NGO, thus allowing it to specifically target MCF-7 cells, human breast cancer cells with FA receptors. Furthermore, controlled loading of two anticancer drugs, doxorubicin (DOX) and camptothecin (CPT), onto the FA-conjugated NGO (FA-NGO) via pi-pi stacking and hydrophobic interactions is investigated. It is demonstrated that FA-NGO loaded with the two anticancer drugs shows specific targeting to MCF-7 cells, and remarkably high cytotoxicity compared to NGO loaded with either DOX or CPT only. Considering that the combined use of two or more drugs, a widely adopted clinical practice, often displays much better therapeutic efficacy than that of a single drug, the controlled loading and targeted delivery of mixed anticancer drugs using these graphene-based nanocarriers may find widespread application in biomedicine.",M1
