@RELATION C0242994_C0079504

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
19654026,"Production and characterization of monoclonal antibodies against the recombinant nucleoprotein of Araucaria hantavirus.Hantaviruses are rodent-borne RNA viruses that cause hemorrhagic fever with renal syndrome (HFRS) or hantavirus pulmonary syndrome (<e>HPS</e>). From the first detection of infection in Brazil in 1993 until 2009, 1161 cases of HPS have been reported, with mortality rates of around approximately 40%. Currently, due to the absence of a vaccine or specific antiviral therapy, the only way to reduce mortality by hantavirus infection is a fast and precise diagnosis that allows for supportive clinical health care. To improve the detection of hantavirus infection, we developed monoclonal antibodies (Mabs) against the nucleoprotein (rNDelta85) of the Araucaria hantavirus strain (ARAUV). The specificity of generated Mabs for rNDelta85 was demonstrated by western blot, indirect immunofluorescence and immunohistochemistry. These are the first monoclonal antibodies to be produced and characterized against the South American hantavirus strain, and may be of special interest in the development of diagnostic assays and epidemiological studies.",M1
19531307,"Knowledge and practices about hantavirus pulmonary syndrome in a cluster of Japanese communities in Argentina.OBJECTIVES: To provide information on hantavirus pulmonary syndrome (<e>HPS</e>) knowledge and practices among a cluster of the rural Japanese communities near La Plata in central Argentina, an area with confirmed HPS cases. Particular emphasis was placed on testing the hypothesis that there would be differences between household use of HPS prevention measures based on the head-of-household's knowledge of HPS. METHODS: A questionnaire was designed in three sections: (1) household demographic characteristics, (2) HPS knowledge, and (3) HPS preventive measures. Questionnaires were given to the household head or other adult representing the household at an HPS prevention seminar sponsored by the Japanese Association of La Plata in February 2007. Total HPS knowledge scores were dichotomized into high (equal to or more than the median knowledge score) and low (less than the median). Differences between the two household groups were categorized, according to the degree of HPS knowledge, and analyzed. RESULTS: The 86 households that responded accounted for about 72% of the total study households in the area. The median knowledge score of 5 (range: 0-9, of 10) divided the study households into two groups: high knowledge score group (n = 40) and low knowledge score group (n = 46). The findings suggest an association between a household's accurate HPS knowledge and its respective use of HPS preventive measures. CONCLUSIONS: The findings of the study have important implications for taking further steps toward improved HPS management and prevention strategies.",M1
19395308,"Evidence of circulation of Laguna Negra-like hantavirus in the Central West of Brazil: case report.BACKGROUND: Hantavirus pulmonary syndrome has been reported with increasing frequency in some Brazilian regions, but information about viral genetic identification is still limited. Recently, the state of Mato Grosso, in the Legal Amazon of Brazil, experienced a growing number of hantavirus pulmonary syndrome (<e>HPS</e>) cases but the genetic characterization of the causative hantavirus is still missing. OBJECTIVES: Our goal was to identify the hantavirus strain involved in a fatal HPS case in the Central region of Brazil. STUDY DESIGN: Nested RT-PCR was conducted on blood clot samples from an HPS patient from Mato Grosso. PCR-positive samples were sequenced, and the resulting sequences were compared with reference samples. Viral antigens were detected by immunohistological analyses in lung and liver tissues. RESULTS: Analyses of the viral RNA isolated from the patient identified a Laguna Negra (LN)-like virus as the causative agent and histological analysis of lung sections were compatible with the genetic characterization. CONCLUSIONS: This is the first report of circulation and human infection by a Laguna Negra-like hantavirus in Brazil.",M1
18619568,"A serosurvey for hantavirus infection in wild rodents from the states of Rio de Janeiro and Pernambuco, Brazil.Sera from 269 rodents obtained during the routine surveillance operations in plague areas of Rio de Janeiro and Pernambuco states, Brazil were tested by ELISA for specific IgG antibodies against a recombinant nucleocapsid (N) protein of Araraquara hantavirus. ELISA-positive sera were submitted to reverse transcriptase-polymerase chain reaction (RT-PCR) for amplification of the virus genome and later sequencing for identification of the viral variant. The samples from the state of Pernambuco were antibody negative, and although four from Rio de Janeiro were ELISA-positive, they failed to yield viral cDNA by RT-PCR. This is the first report of the presence of antibodies to a hantavirus among rodents from Rio de Janeiro and suggests the possibility of human cases of hantavirus pulmonary syndrome (<e>HPS</e>) in that state, although no case has yet been reported.",M1
18497244,"[Hantavirus infections]Hantaviruses are enveloped single-stranded ribonucleic acid (RNA) viruses that belong to the family Bunyaviridae. They are widely distributed and maintained in populations of specific insectivores or rodent host species (mice or rats). In their natural host, hantaviruses develop persistent and asymptomatic infections with lifelong virus shedding in excreta. Transmission to humans occurs via direct contact with faeces, urine and saliva of infected rodents, in particular by inhaling virus contaminated aerosol. There are a variety of virus types that occur in different geographic areas, dependent on the natural distribution of the host. Unlike asymptomatic infection in rodents, several types of hantaviruses cause acute febrile diseases in humans, known as haemorrhagic fever with renal syndrome (HFRS) and hantavirus pulmonary syndrome (<e>HPS</e>). In Germany, human hantavirus infections frequently represent as nephropathia epidemica (NE), a generally mild HFRS form with influenza-like symptoms such as fever, myalgia, headache and gastrointestinal disorders. Kidney failure, a characteristic sign of hantavirus infections, is also common. German NE cases are primarily caused by Puumala viruses (PUUV) which naturally persist in the bank vole, a mouse species that is widely distributed in the whole area of Germany. During 2005 and 2007, in several regions of Southern and Western Germany there was an unexpected increase in PUUV-associated NE cases. Currently, 1687 symptomatic hantavirus infections have been reported until the end of 2007, which is the highest number of hantavirus diseases in Germany since the introduction of the German infection protective law (Deutsches Infektionsschutzgesetz) in 2001. Treatment of hantavirus infections is mainly supportive and involves intensive medical care. A specific antiviral therapy with ribavirin has been shown to be successful for treatment of HFRS patients in the early stage of disease. In Germany, there is no licensed vaccine applicable for the prevention of hantavirus diseases. Anti-infectious measures are, therefore, regarded to be the most effective strategy to prevent illnesses due to these emerging RNA viruses.",M1
19736383,"Hantavirus infection: a review and global update.Hantaviruses have the potential to cause two different types of diseases in human: hemorrhagic fever with renal syndrome (HFRS) and hantavirus pulmonary syndrome (<e>HPS</e>). HFRS, initially described clinically at the turn of the 20th century, occurs endemically in the Asian and European continents, while HPS, recognized as a clinical entity since 1993, represents the prototype of emerging diseases occurring in the Western hemisphere. Approximately 150,000 to 200,000 cases of HFRS are hospitalized each year world wide, with most of the cases occurring in the developing countries. The case fatality rate of HFRS varies from &lt;1% to 12% depending on the viruses. Although HPS is much smaller in number than HFRS, with approximately 200 HPS cases per year in the Americas, the average case fatality rate is 40%. The reported cases of hantaviral infection is increasing in many countries and new hantavirus strains have been increasingly identified worldwide, which constitutes a public health problem of increasing global concern. Hantaviral infection might be underestimated due to its asymptomatic and non-specific mild infection, and the lack of simple standardized laboratory diagnostics in hospitals, especially in the developing countries. This review summarizes the current knowledge on virology, epidemiology, clinical manifestation, laboratory diagnostics, treatment and prevention of hantaviruses and hantaviral infections.",M1
18032485,"Immune serum produced by DNA vaccination protects hamsters against lethal respiratory challenge with Andes virus.Hantavirus pulmonary syndrome (<e>HPS</e>) is a highly pathogenic disease (40% case fatality rate) carried by rodents chronically infected with certain viruses within the genus Hantavirus of the family Bunyaviridae. The primary mode of transmission to humans is thought to be inhalation of excreta from infected rodents; however, ingestion of contaminated material and rodent bites are also possible modes of transmission. Person-to-person transmission of HPS caused by one species of hantavirus, Andes virus (ANDV), has been reported. Previously, we reported that ANDV injected intramuscularly causes a disease in Syrian hamsters that closely resembles HPS in humans. Here we tested whether ANDV was lethal in hamsters when it was administered by routes that more accurately model the most common routes of human infection, i.e., the subcutaneous, intranasal, and intragastric routes. We discovered that ANDV was lethal by all three routes. Remarkably, even at very low doses, ANDV was highly pathogenic when it was introduced by the mucosal routes (50% lethal dose [LD(50)], approximately 100 PFU). We performed passive transfer experiments to test the capacity of neutralizing antibodies to protect against lethal intranasal challenge. The neutralizing antibodies used in these experiments were produced in rabbits vaccinated by electroporation with a previously described ANDV M gene-based DNA vaccine, pWRG/AND-M. Hamsters that were administered immune serum on days -1 and +5 relative to challenge were protected against intranasal challenge (21 LD(50)). These findings demonstrate the utility of using the ANDV hamster model to study transmission across mucosal barriers and provide evidence that neutralizing antibodies produced by DNA vaccine technology can be used to protect against challenge by the respiratory route.",M1
17848067,"Emergence and persistence of hantaviruses.Hantaviral diseases have been recognized for hundreds of years but, until 1976, they had not been associated with an infectious agent. When Lee and colleagues isolated what is now known as Hantaan virus, the techniques they introduced allowed further investigations into the etiology of the classical hantavirus disease, hemorrhagic fever with renal syndrome (HFRS), now known to be caused by any of multiple hantaviruses. The discovery of hantavirus pulmonary syndrome (<e>HPS</e>) in the New World, and that it also can be caused by any of multiple hantaviruses (family Bunyaviridae, genus Hantavirus), has opened an entire field of epidemiologic, virologic, molecular, behavioral, and ecologic studies of these viruses. There appears to be a single hantavirus-single rodent host association, such that understanding the idiosyncrasies of each rodent host species and the ecologic variables that affect them are recognized as critical if we are to reduce human risk for infection. This chapter summarizes what is known about hantaviruses with regard to history of these viruses, their taxonomy, recognized geographical distribution, ecologic factors impacting their maintenance and spread of hantaviruses, effect of rodent behavior on hantavirus transmission, influence of host factors on susceptibility to and transmission of hantaviruses, and transmission of hantaviruses from rodents to humans. In addition, we summarize all these complexities and provide suggestions for future research directions.",M1
17655929,"Hantavirus infection in East Asia.Hantaviruses are enveloped RNA viruses that belong to the Hantavirus genus of the family Bunyaviridae. These viruses persistently infect their rodent reservoirs without causing disease. The virus is transmitted to humans via the inhalation of infectious aerosols generated from contaminated animal secretions or through the contaminated saliva of animal bites. Hantaviruses cause haemorrhagic fever with renal syndrome in Euro-Asia, and hantavirus pulmonary syndrome (<e>HPS</e>) in North and South America. Here, we review the epidemiology and epizootiology of hantavirus infection in Asian countries.",M1
17475651,"Temporal analysis of Andes virus and Sin Nombre virus infections of Syrian hamsters.Andes virus (ANDV) and Sin Nombre virus (SNV) are rodent-borne hantaviruses that cause a highly lethal hemorrhagic fever in humans known as hantavirus pulmonary syndrome (<e>HPS</e>). There are no vaccines or specific drugs to prevent or treat HPS, and the pathogenesis is not understood. Syrian hamsters infected with ANDV, but not SNV, develop a highly lethal disease that closely resembles HPS in humans. Here, we performed a temporal pathogenesis study comparing ANDV and SNV infections in hamsters. SNV was nonpathogenic and viremia was not detected despite the fact that all animals were infected. ANDV was uniformly lethal with a mean time to death of 11 days. The first pathology detected was lymphocyte apoptosis starting on day 4. Animals were viremic and viral antigen was first observed in multiple organs by days 6 and 8, respectively. Levels of infectious virus in the blood increased 4 to 5 logs between days 6 and 8. Pulmonary edema was first detected ultrastructurally on day 6. Ultrastructural analysis of lung tissues revealed the presence of large inclusion bodies and substantial numbers of vacuoles within infected endothelial cells. Paraendothelial gaps were not observed, suggesting that fluid leakage was transcellular and directly attributable to infecting virus. Taken together, these data imply that HPS treatment strategies aimed at preventing virus replication and dissemination will have the greatest probability of success if administered before the viremic phase; however, because vascular leakage is associated with infected endothelial cells, a therapeutic strategy targeting viral replication might be effective even at later times (e.g., after disease onset).",M1
