@RELATION C0010343_C0018810

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
17600937,"Distribution of human papillomavirus types in different histological subtypes of cervical adenocarcinoma.Little information is available regarding distribution of HPV types in different histological subtypes of adenocarcinoma (AC). Thus, in this study we examined the frequency of high-risk (<e>hr</e>) HPV types in AC, adenocarcinoma in situ (AIS) and adenosquamous carcinoma (ADSQ). A total of 102 cases of primary cervical adenocarcinoma (26 AIS and 76 invasive AC) obtained from pathology files from 1995-2006 were histologically subtyped. Our results demonstrated that endocervical type occupied the major subtype of AC (22/66) followed by ADSQ (17/66) where as in the group of AIS endocervical type (12/23) was followed by intestinal type of AIS (7/23). Successful DNA extraction was obtained in 89 samples; 81 out of 89 (91.0%) tested positive for HPV DNA. The prevalence of HPV DNA in AIS, AC and ADSQ was 91.3% (21/23), 90.9% (60/66) and 94.1% (16/17), respectively. We found HPV 18 type to be the most predominant type in AIS (11/21) and AC (17/60) followed by HPVof undeternmined type in AIS (3/21) and HPV 16 in AC (9/60) as the sole viral type. HPV 18 was most frequently detected type in all histological subtypes of AIS and AC. We have detected HPV DNA in all 5 samples of clear cell carcinoma (CCC), although other studies have reported a highly variable prevalence of HPVDNA in CCC. The most prevalent HPV type in ADSQ was HPV-16 followed by HPV 33 as single type. The observed overall predominance of HPV 18 in AIS (chi(2) = 6.109, p&lt; or = 0.025) and AC (chi(2) = 8.927, p&lt; or =0.01) as well as of HPV 16 in ADSQ (chi(2) = 10.164, p &lt; or = 0.01) was statistically significant. Our data revealed statistically significant predominance of single hrHPV infections in AIS (16/21; chi(2) = 11.523, p &lt; 0.001) and AC (37/60; X2 = 6.533, p &lt; 0.025) whereas multiple hrHPV infections were more abundant in AC comparing to AIS (23/81and 5/81, respectively; chi(2) = 13.989, p&lt; or =0.001).",M1
17598510,"Retrospective study of the prevalence of high-risk human papillomaviruses among Croatian women.The infection with Human papillomavirus (HPV) is the necessary cause for cervical cancer. There are at least 15 High-Risk (<e>HR</e>) HPV types that are significantly associated with progression of cervical intraepithelial neoplasia to cervical cancer. Since previous studies showed that the prevalence of HPV in cervical cancers varies among different geographic regions, we wanted to investigate the prevalence of HPV types in Croatia, especially low abundant HR HPV types. By means of consensus primers directed polymerase chain reaction (PCR), we analysed cervical DNA samples of 2,136 Croatian women, mostly with abnormal cervical smears, in order to detect the presence of HPV Type-specific primers were then used to determine Low-Risk (LR) HPV types 6/11 and HR HPV types 16, 18, 31, 33, 45, 52 and 58. Out of 2,136 specimens, 1,255 (58.8%) were positive for HPV More than half of positive samples were typed (64.5%) and 35.5% still remained untyped. Multiple HPV infections were found in 10.3% of the cases. The most prevalent type, including both single and multiple infections, was HPV16 with the prevalence of 15.9%, followed by HPV types 31, 6/11, 33, 18, 52, 45 and 58 with 8.7%, 7.1%, 4.5%, 3.8%, 2.3%, 1.2% and 1.1%, respectively. The significant increase of frequency from Low-grade Squamous Intraepithelial Lesions (LSIL) to High-grade Squamous Intraepithelial Lesions (HSIL) was observed for HR HPV types 16, 18, 31 and 33 but not 45, 52 and 58. The frequency of unknown HPV types was almost the same in cervical specimens of women with LSIL and those with HSIL, 19.8% and 21.1%, respectively. The prevalence of HPV infection rate decreased significantly with patient age from 68.5% (age group 12 to 24 years) to 38.8% (age group 45 to 54 years). But, in women aged 55 or older the overall prevalence increased to 56.6%. Our results indicate that prevalence of HR HPV types in Croatia is similar to other countries. We suggest that HPV positive women in Croatia should be closely monitored by typing for HR HPV types: 16, 18, 31, 33, 45, 52 and 58.",M1
17598509,"Human papillomavirus DNA typing in the cervical specimens among women of Split and Dalmatian County.Human papillomavirus (HPV) infection is the main cause of cervical cancer, the second most common cancer in women worldwide. More than 200 types of HPV have been described, and within this range more than 40 types attack epithelium of genital tract. The types that were most commonly related to the development of cervical cancer are called high-risk types (<e>HR</e> HPV). There are very few studies about HPV prevalence in Croatia and there is an absolute lack of data for Split and Dalmatian County. Therefore, during a 6 month period, we routinely screened 570 women for HPV DNA at the Educational Public Health Institute of Split and Dalmatian County. HR HPV was detected in cervical exfoliated cells, by using Hybrid Capture 2 HPV DNA test. Out of the total number of tested women, 200 (35%) of them were positive to HR HPV Polymerase chain reaction (PCR) based assays were employed for HR HPV genotyping in positive specimens. The following frequency was observed: HPV 16 in 10%, HPV 18 in 6.1%, HPV 31 in 2.6%, HPV 33 in 1.9%, HPV 52 in 1.4%, HPV 59 in 0.7%, HPV 45 in 0.4% specimens, while 11.9% of tested specimens currently remained untyped. It is necessary to expand this study to a larger number of women, in order to better evaluate genital HPV types distribution among women in this region.",M1
16617594,"Marked improvement in survival among adult Croatian AIDS patients after the introduction of highly active antiretroviral treatment.We compared the survival of patients following the first AIDS event in Croatia from the period 1986-1996 to the period 1997-2000. A total of 72 (81.8%) out of 88 patients from 1986-1996 and 18 (32.1%) out of 56 from 1997-2000 died. Survival following the first AIDS-defining illness markedly improved in the period 1997-2000 compared to the period 1986-1996 (adjusted Hazard Ratio (<e>HR</e>) for patients surviving more than 6 months: 0.11, 95% confidence interval (95% CI) = 0.04-0.29). A CD4+ cell count of &lt; 100 x 10(6)/L was an independent risk factor for patients surviving up to 2 years (adjusted HR = 1.96, 95% CI = 1.1-3.43, p = 0.02). Patients with tuberculosis or fungal infections had a longer survival when compared to other diagnosis (adjusted HR = 0.53, 95% CI = 0.32-0.90, p = 0.01). However, despite dramatic survival benefit of combination antiretroviral therapy, mortality at six months following the first AIDS event was similar in the two study periods and the one-year probability of death was still substantial (27.2%) in the period 1997-2000.",M1
16617590,"Impact of war on central nervous system tumors incidence--a 15-year retrospective study in Istria County, Croatia.The aim of study was to analyze epidemiological features of central nervous system (CNS) tumors diagnosed in Istria County, Croatia, with a particular emphasis on incidence dynamics during the wartime (1991-1995). The data were extracted from the medical records of patients with CNS tumors admitted to the Department of Neurology of Pula General Hospital in the period from the 1st January 1986 to the 31st December 2000, N = 364. For calculation of rates, we used data from the 2001 Croatian consensus http://www.dzs.<e>hr</e>/Eng/Census/census2001.htm. Data are presented as counts and incidence rates (IRs) per 100,000 persons-years in the case of annual rates. Annual incidence rates are shown as  raw  incidence rates and smoothed 5-year rolling average rates. The examined patient-related variables were: sex, age, occupation, premorbidity and comorbidity, with a particular emphasis on psychosomatic disorders and negative habits. The analyzed tumor-related variables included clinical manifestation, localization, and applied diagnostic and therapeutic methods. Primary tumors were separated from the metastatic, and the latter were analysed with respect to their site of origin. The lowest incidence of CNS tumors (10 patients) was reported in 1990, and the highest (42 patients) in 1993. The incidence dynamics of CNS tumors showed a rapidly progressive increase over the 1991-1995 period, followed by the return to average values. The access to a better and more readily available diagnostics may only partially explain this phenomenon. Therefore, we analyzed other factors that may have contributed towards the rapid increase in the number of CNS tumors, such as its coincidence with the war or psychotrauma. The results confirm the observational clinical hypothesis of an extreme increase in the number of CNS tumors during the period under consideration.",M1
16417191,"Probability distribution on the parse trees.Paper describes probability distribution on the parse trees of natural language by using Bayesian networks. First parts of the paper describes probabilistic context-free grammar and parse trees. In the second part of the paper, Bayesian network was modelled and joint probability distribution on their vertex. On these theoretical ideas, in the third part, we describe our model tested on Database of grammatical sentences of Croatian language (http:/ /infoz.ffzg.<e>hr</e> / tepes /). At the end was presented a backward procedure and evaluation of our results.",M1
16417190,"Causal Bayesian network for tagging syntactical structure of Croatian sentences.Paper describes tagging syntactical structure of Croatian language sentences using causal Bayesian network. In the first part of the paper we describe Bayesian model for tagging sentences. Base on this idea, we will test our model on Croatian language sentences on Database of grammatical sentences of Croatian language (http://infoz.ffzg.<e>hr</e> / tepes /). This paper is result of our new research connected with the paper hidden Markov model for tagging of Croatian language texts for project Linguistic Analysis of The European languages and the paper Probability distribution on the parse trees for the project Annotated database and syntactic structure of Croatian languages.",M1
16095201,"[Informatics system at the Croatian Institute of Health Insurance today and plans for future]Basic information is provided on the informatics system at the Croatian Institute of Health Insurance (CIHI). The focus is on the newwork infrastructure, which connects 130 locations 24 hours on line and installed hardware and software equipment at CIHI. A modern network infrastructure makes technical basis of modern informatics system. Technical data on the safe and reliable communication system with FR telecommunication capacity are presented. UNIX servers at the headquaters and branch offices, INFORMIX database and the own application ZOROH provide a basis for core business. Active Directory, web pages www.hzzo-net.<e>hr</e>, Intranet and CIHI IT portal are the main parts of the modern CIHI office info subsystem. Basic information is given about the system for production and.distribution of health insurance cards--plastic cards with magnetic strip for basic and additional health insurance. Informatics Department of CIHI has issued more than 13,000,000 basic health insurance cards and over 1,500,000 additional health insurance cards. Data storage and reporting system as part of the CIHI informatics system is essential for analyzing and planning health insurance business. CIHI IT has created a modern reporting system with: (a) superior performance and power of analytical and reporting possibilities; (b) scalable and flexible platform; (c) proactive reporting (Web, SMS, WAP, e-mail, fax, voice); (d) web interface for users. The presentation is concluded with basic information on the current projects such as introduction of digital signature in CIHI and plans for the introduction of smart cards instead of plastic cards with magnetic strip. Today, CIHI IT plays the major role in the process of health system computerization in Croatia. CIHI is technically and personnel equipped for computerization of the entire health system. The informatics system of CIHI can serve as a backbone for the informatics health system in the future.",M1
15038219,"[First online continuing tele-education in gastroenterology in Croatia]The expansion and popularity of the Internet created the expansion of tele-medicine, with tele-education as its important part. Such on-line distance learning is especially important for diseases being in the focus of public health interest, as diseases of the gastrointestinal, hepatobiliary and pancreatic system due to their frequency. Therefore, in this study is shown the  TIGEL project of tele-interventional gastroenterology  that was launched in May 2001 at the Center for Interventional Gastroenterology, Department of Gastroenterology, University Department of Medicine, Zagreb University Hospital Center. The project includes creation of a web site at the server of the Zagreb University School of Medicine (www.mef.<e>hr</e>/edumed/gastro/index.html), and among the most important goals of the project is continuous medical tele-education in gastroenterology. Beside description of the project, one of the founders of continuous on-line medical education in Croatia, this work describes many advantages but also some still unsolved questions considering medical tele-education, a very promising but still developing way of education.",M1
12955910,"Database of sentences of Croatian language.The aim of this paper is to investigate morphological and syntactical levels of sentences of Croatian Language. Morphological grammatical level is represented by 16 categories and 47 features with theirs value. Syntactical level is represented with constituent structure trees of sentences. Database has 1001 grammatical sentences of Croatian literature. Database of sentences is the result of theoretical research in computational linguistics. This study extends the analysis of the linguistic data in anthropology in Croatian. Access to database is through the Internet on the address: http://infoz.ffzg.<e>hr</e>/tepes.",M1
