@RELATION C0021540_C0043117

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
18976223,"Purification and characteristics of functional properties of soluble nucleoside triphosphatase (apyrase) from bovine brain.Soluble NTPase, differing in its properties from known proteins exhibiting NTPase activity, was purified from bovine brain to homogeneity. The enzyme has pH optimum at 7.5 and shows absolute dependence on bivalent cations and broad substrate specificity towards nucleoside-5 -tri- and -diphosphates, characteristics of apyrases. The NTPase follows Michaelis-Menten kinetics in the range of investigated substrate concentrations, the apparent K(m) values for UTP, <e>ITP</e>, GTP, CTP, CDP, and ATP being 86, 25, 41, 150, 500, and 260 microM, respectively. According to gel-filtration and SDS-PAGE data, the molecular mass of the enzyme is 60 kD. The NTPase is localized in the cytosol fraction and expressed in different bovine organs and tissues. Total NTPase activity of extracts of bovine organs and tissues decreases in the following order: liver &gt; heart &gt; skeletal muscle &gt; lung &gt; brain &gt; spleen &gt; kidney ~ small intestine. The enzyme activity can be regulated by acetyl-CoA, alpha-ketoglutarate, and fructose-1,6-diphosphate acting as activators in physiological concentrations, whereas propionate exhibits an inhibitory effect.",M1
17976651,"Molecular basis of the antimutagenic activity of the house-cleaning inosine triphosphate pyrophosphatase RdgB from Escherichia coli.Inosine triphosphate pyrophosphatases, which are ubiquitous house-cleaning enzymes, hydrolyze noncanonical nucleoside triphosphates (inosine triphosphate (<e>ITP</e>) and xanthosine triphosphate (XTP)) and prevent the incorporation of hypoxanthine or xanthine into nascent DNA or RNA. Here we present the 1.5-A-resolution crystal structure of the inosine triphosphate pyrophosphatase RdgB from Escherichia coli in a free state and in complex with a substrate (ITP+Ca(2+)) or a product (inosine monophosphate (IMP)). ITP binding to RdgB induced a large displacement of the alpha1 helix, closing the enzyme active site. This positions the conserved Lys13 close to the bridging oxygen between the alpha- and beta-phosphates of the substrate, weakening the P(alpha)-O bond. On the other side of the substrate, the conserved Asp69 is proposed to act as a base coordinating the catalytic water molecule. Our data provide insight into the molecular mechanisms of the substrate selectivity and catalysis of RdgB and other ITPases.",M1
17044594,"[Nucleoside-5'-triphosphate hydrolysis in the liver and kidney of rats with chronic alloxan diabetes]Activity and some properties of a soluble enzyme hydrolyzing nucleoside-5'-triphosphates were studied in the liver and kidney of normal and diabetic rats. The enzyme activity was shown to be reduced by 34% (p &lt; 0.01) in the liver extracts of diabetic animals, while no difference was observed in the kidney. When <e>ITP</e> was used as substrate, the apparent Michaelis constant of the enzyme was significantly lower in the liver of controls as compared to experimental rats (32.3 +/- 1.3 microM and 54.3 +/- 1.0 microM, respectively, p &lt; 0.01). The KM values of the enzyme in the kidney were not distinguishable in both groups. NTPase exhibits maximal activity at pH 7.0 and has a broad substrate specificity with respect to different nucleoside-5'-tri- and diphosphates. Molecular mass of the enzyme was estimated by gel filtration to be 63.7 +/- 0.9 kD.",M1
16216582,"Identification of an ITPase/XTPase in Escherichia coli by structural and biochemical analysis.Inosine triphosphate (<e>ITP</e>) and xanthosine triphosphate (XTP) are formed upon deamination of ATP and GTP as a result of exposure to chemical mutagens and oxidative damage. Nucleic acid synthesis requires safeguard mechanisms to minimize undesired lethal incorporation of ITP and XTP. Here, we present the crystal structure of YjjX, a protein of hitherto unknown function. The three-dimensional fold of YjjX is similar to those of Mj0226 from Methanococcus janschii, which possesses nucleotidase activity, and of Maf from Bacillus subtilis, which can bind nucleotides. Biochemical analyses of YjjX revealed it to exhibit specific phosphatase activity for inosine and xanthosine triphosphates and have a possible interaction with elongation factor Tu. The enzymatic activity of YjjX as an inosine/xanthosine triphosphatase provides evidence for a plausible protection mechanism by clearing the noncanonical nucleotides from the cell during oxidative stress in E. coli.",M1
15951247,"Characterization of an ecto-ATPase activity in Cryptococcus neoformans.Cryptococcus neoformans is the causative agent of pulmonary cryptococcosis and cryptococcal meningoencephalitis, which are major clinical manifestations in immunosuppressed patients. In the present study, a surface ATPase (ecto-ATPase) was identified in C. neoformans yeast cells. Intact yeasts hydrolyzed adenosine-5'-triphosphate (ATP) at a rate of 29.36+/-3.36nmol Pi/hx10(8) cells. In the presence of 5 mM MgCl(2), this activity was enhanced around 70 times, and an apparent K(m) for Mg-ATP corresponding to 0.61mM was determined. Inhibitors of phosphatases, mitochondrial Mg(2+)-ATPases, V-ATPases, Na(+)-ATPases or P-ATPases had no effect on the cryptococcal ATPase, but extracellular impermeant compounds reduced enzyme activity in living cells. ATP was the best substrate for the cryptococcal ecto-enzyme, but it also efficiently hydrolyzed inosine 5'-triphosphate (<e>ITP</e>), cytidine 5'-triphosphate (CTP), guanosine 5'-triphosphate (GTP) and uridine-5'-triphosphate (UTP). In the presence of ATP, C. neoformans became less susceptible to the antifungal action of fluconazole. Our results are indicative of the occurrence of a C. neoformans ecto-ATPase that may have a role in fungal physiology.",M1
15655502,"Positive interaction of the beta2-agonist CHF 4226.01 with budesonide in the control of bronchoconstriction induced by acetaldehyde in the guinea-pigs.Pretreatment of anaesthetized guinea-pigs with either CHF 4226.01 (8-hydroxy-5-[(1R)-1-hydroxy-2-[N-[(1R)-2-(p-methoxyphenyl)-1-methylethyl]amino]ethyl] carbostyril hydrochloride), formoterol or budesonide reduced acetaldehyde (AcCHO)-evoked responses in the lungs with a rank order of potency CHF 4226.01 (ED(50) values, from 1.88 to 3.31 pmol) &gt; formoterol (ED(50) values, from 3.03 to 5.51 pmol) &gt;&gt; budesonide (ED(50) values, from 335 to 458 nmol). The duration of action of CHF 4226.01 in antagonizing the airway obstruction elicited by AcCHO was also substantially longer than formoterol (area under the curve) at 10 pmol, 763+/-58 and 480+/-34, respectively; P&lt;0.01). Continuous infusion of a subthreshold dose of AcCHO enhanced the intratracheal pressure (<e>ITP</e>) increases caused by subsequent challenges with substance P (from 9.7+/-0.8 to 27.5+/-1.6 cm H(2)O as a peak, P&lt;0.001). Pretreatment with either CHF 4226.01 or formoterol prevented the sensitizing effect of AcCHO on substance P responses (ED(50) values, 2.85 and 6.11 pmol, respectively; P&lt;0.01). The ED(50) value of budesonide (396 nmol) in preventing AcCHO-evoked ITP increase was reduced when this glucocorticoid was combined with 0.1 pmol CHF 4226.01 (ED(50) 76 nmol; P&lt;0.001). CHF 4226.01/budesonide was two-fold more effective (P&lt;0.01) than the formoterol/budesonide combination. These results suggest that CHF 4226.01/budesonide, by optimizing each other's beneficial potential in the control of pulmonary changes caused by AcCHO in the guinea-pigs, may represent a new fixed combination in asthma.",M1
15280443,"Cloning, up-regulation, and mitogenic role of porcine P2Y2 receptor in coronary artery smooth muscle cells.Previous work has shown up-regulation of a UTP-sensitive P2Y receptor in porcine coronary smooth muscle cells (CSMC) of organ-cultured arteries. However, the molecular identity and functional role of this putative receptor remained undefined. Here we report the cloning of the cDNA for this receptor that encodes an open reading frame for a protein of 373 amino acids with the highest homology to the human P2Y(2) receptor (84%). Heterologous expression of this receptor in 1321N1 cells revealed a novel pharmacology in that UTP and <e>ITP</e> were full agonists and UTP was more potent and efficacious than ATP for increasing intracellular [Ca(2+)] and extracellular signal-regulated kinase phosphorylation. Stimulation of subcultured CSMC with UTP, ITP, or ATP induced a concentration-dependent increase in cellular DNA content, protein synthesis, cell number, and proliferating cell nuclear antigen expression, indicating a mitogenic role for P2Y(2) receptors. This was supported by the finding that the treatment of CSMC with antisense oligonucleotides to the cloned cDNA sequence significantly inhibited UTP- and ATP-induced DNA and protein synthesis. In addition, reverse transcription-polymerase chain reaction analysis showed that P2Y(2) receptor mRNA was dramatically increased in cells of organ-cultured arteries compared with freshly harvested arteries, whereas the P2Y(6) receptor mRNA level was unchanged, and the P2Y(4) receptor mRNA was undetectable. This P2Y(2) subtype-specific up-regulation was confirmed in cells of coronary arteries stented in vivo. In conclusion, we have cloned the porcine P2Y(2) receptor with novel pharmacology and demonstrated that this receptor is up-regulated in CSMC of in vitro organ cultures or in vivo stented coronary arteries to mediate the mitogenic effects of nucleotides.",M1
15167706,"Adverse drug reactions to azathioprine therapy are associated with polymorphism in the gene encoding inosine triphosphate pyrophosphatase (ITPase).Adverse drug reactions to azathioprine (AZA), the pro-drug of 6-mercaptopurine (6-MP), occur in 15% to 28% of patients and the majority are not explained by thiopurine methyltransferase (TPMT) deficiency. Inosine triphosphate pyrophosphatase (ITPase) deficiency results in the benign accumulation of the inosine nucleotide <e>ITP</e>. 6-MP is activated through a 6-thio-IMP intermediate and, in ITPase deficient patients, potentially toxic 6-thio-ITP is predicted to accumulate. The association between polymorphism in the ITPA gene and adverse drug reactions to AZA therapy was studied in patients treated for inflammatory bowel disease. Sixty-two patients with inflammatory bowel disease suffering adverse drug reactions to AZA therapy were genotyped for ITPA 94C&gt;A and IVS2 + 21A&gt;C polymorphisms, and TPMT*3A, *3C, *2 polymorphisms. Genotype frequencies were compared to a consecutive series of 68 controls treated with AZA for a minimum of 3 months without adverse effect. The ITPA 94C&gt;A deficiency-associated allele was significantly associated with adverse drug reactions [odds ratio (OR) 4.2, 95% confidence interval (CI) 1.6-11.5, P = 0.0034]. Significant associations were found for flu-like symptoms (OR 4.7, 95% CI 1.2-18.1, P = 0.0308), rash (OR 10.3, 95% CI 4.7-62.9, P = 0.0213) and pancreatitis (OR 6.2,CI 1.1-32.6, P = 0.0485). Overall, heterozygous TPMT genotypes did not predict adverse drug reactions but were significantly associated with a subgroup of patients experiencing nausea and vomiting as the predominant adverse reaction to AZA therapy (OR 5.5, 95% CI 1.4-21.3, P = 0.0206). Polymorphism in the ITPA gene predicts AZA intolerance. Alternative immunosuppressive drugs, particularly 6-thioguanine, should be considered for AZA-intolerant patients with ITPase deficiency.",M1
12842880,"Three-strand exchange by the Escherichia coli RecA protein using <e>ITP</e> as a nucleotide cofactor: mechanistic parallels with the ATP-dependent reaction of the RecA protein from Streptococcus pneumoniae.The RecA protein from Escherichia coli promotes an ATP-dependent three-strand exchange reaction between a circular single-stranded DNA (ssDNA) and a homologous linear double-stranded (dsDNA). We have now found that under certain conditions, the RecA protein is also able to promote the three-strand exchange reaction using the structurally related nucleoside triphosphate, ITP, as the nucleotide cofactor. However, although both reactions are stimulated by single-stranded DNA-binding (SSB) protein, the ITP-dependent reaction differs from the ATP-dependent reaction in that it is observed only at low SSB protein concentrations, whereas the ATP-dependent reaction proceeds efficiently even at high SSB protein concentrations. Moreover, the circular ssDNA-dependent ITP hydrolysis activity of the RecA protein is strongly inhibited by SSB protein (suggesting that SSB protein displaces RecA protein from ssDNA when ITP is present), whereas the ATP hydrolysis activity is uninhibited even at high SSB protein concentrations (because RecA protein is resistant to displacement by SSB protein when ATP is present). These results suggest that SSB protein does not stimulate the ITP-dependent strand exchange reaction presynaptically (by facilitating the binding of RecA protein to the circular ssDNA substrate) but may act postsynaptically (by binding to the displaced strand that is generated when the circular ssDNA invades the linear dsDNA substrate). Interestingly, the mechanistic characteristics of the ITP-dependent strand exchange reaction of the E. coli RecA protein are similar to those of the ATP-dependent strand exchange reaction of the RecA protein from Streptococcus pneumoniae. These findings are discussed in terms of the relationship between the dynamic state of the RecA-ssDNA filament and the mechanism of the SSB protein-stimulated three-strand exchange reaction.",M1
12167477,"Distinct interactions of G(salpha-long), G(salpha-short), and G(alphaolf) with GTP, <e>ITP</e>, and XTP.The G(s)-proteins G(salpha-short) (G(salphaS)) and G(salpha-long) (G(salphaL)), and the olfactory G(s) protein (G(alphaolf)) mediate activation of adenylyl cyclase by the beta(2)-adrenoceptor (beta(2)AR). Early studies showed that the purine nucleotides GTP, ITP, and XTP differentially support receptor-mediated adenylyl cyclase activation in various native membrane systems, but those findings have remained unexplained thus far. We systematically analyzed the effects of GTP, ITP, and XTP on the coupling of the beta(2)AR to G(salphaS), G(salphaL), and G(alphaolf), respectively, using fusion proteins expressed in Sf9 insect cells. Fusion proteins ensure defined receptor/G-protein stoichiometry and efficient coupling. At all three fusion proteins, GTP, ITP, and XTP exhibited unique profiles with respect to their potency and efficacy at disrupting high-affinity agonist binding and supporting adenylyl cyclase activation by partial and full agonists. Our data can be interpreted in two ways: (i) GTP, ITP, and XTP may stabilize different active conformations in various G(s)-proteins, or (ii) GTP, ITP, and XTP may differ from one another in the kinetics of interaction with various G(s)-proteins. Regardless of which of the two explanations is correct, our present data demonstrate that GTP, ITP, and XTP are highly efficient regulators of signal transduction mediated through a specific G-protein. Also discussed is the possibility that G-protein activation by ITP and XTP may be of relevance in Lesch-Nyhan syndrome, a defect of the purine salvage pathway associated with abnormalities in various neurotransmitter systems.",M1
