@RELATION C0079786_C0919482

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
19031451,"Immunotherapy of HIV-infected patients with Gc protein-derived macrophage activating factor (GcMAF).Serum Gc protein (known as vitamin D3-binding protein) is the precursor for the principal macrophage activating factor (<e>MAF</e>). The MAF precursor activity of serum Gc protein of HIV-infected patients was lost or reduced because Gc protein is deglycosylated by alpha-N-acetylgalactosaminidase (Nagalase) secreted from HIV-infected cells. Therefore, macrophages of HIV-infected patients having deglycosylated Gc protein cannot be activated, leading to immunosuppression. Since Nagalase is the intrinsic component of the envelope protein gp120, serum Nagalase activity is the sum of enzyme activities carried by both HIV virions and envelope proteins. These Nagalase carriers were already complexed with anti-HIV immunoglobulin G (IgG) but retained Nagalase activity that is required for infectivity. Stepwise treatment of purified Gc protein with immobilized beta-galactosidase and sialidase generated the most potent macrophage activating factor (termed GcMAF), which produces no side effects in humans. Macrophages activated by administration of 100 ng GcMAF develop a large amount of Fc-receptors as well as an enormous variation of receptors that recognize IgG-bound and unbound HIV virions. Since latently HIV-infected cells are unstable and constantly release HIV virions, the activated macrophages rapidly intercept the released HIV virions to prevent reinfection resulting in exhaustion of infected cells. After less than 18 weekly administrations of 100 ng GcMAF for nonanemic patients, they exhibited low serum Nagalase activities equivalent to healthy controls, indicating eradication of HIV-infection, which was also confirmed by no infectious center formation by provirus inducing agent-treated patient PBMCs. No recurrence occurred and their healthy CD + cell counts were maintained for 7 years.",M1
18329161,"Modulation of protein stability by O-glycosylation in a designed Gc-<e>MAF</e> analog.The post-translational modification of proteins by the covalent attachment of carbohydrates to specific side chains, or glycosylation, is emerging as a crucial process in modulating the function of proteins. In particular, the dynamic processing of the oligosaccharide can correlate with a change in function. For example, a potent macrophage-activating factor, Gc-MAF, is obtained from serum vitamin D binding protein (VDBP) by stepwise processing of the oligosaccharide attached to Thr 420 to the core alpha-GalNAc moiety. In previous work we designed a miniprotein analog of Gc-MAF, MM1, by grafting the glycosylated loop of Gc-MAF on a stable scaffold. GalNAc-MM1 showed native-like activity on macrophages (Bogani 2006, J. Am. Chem. Soc. 128 7142-43). Here, we present data on the thermodynamic stability and conformational dynamics of the mono- and diglycosylated forms. We observed an unusual trend: each glycosylation event destabilized the protein by about 1 kcal/mol. This effect is matched by an increase in the mobility of the glycosylated forms, as evaluated by molecular dynamics simulations. An analysis of the solvent-accessible surface area shows that glycosylation causes the three-helix bundle to adopt conformations in which the hydrophobic residues are more solvent exposed. The number of hydrophobic contacts is also affected. These two factors, which are ultimately explained with a change in occupancy for conformers of specific side chains, may contribute to the observed destabilization.",M1
18058096,"Immunotherapy of metastatic colorectal cancer with vitamin D-binding protein-derived macrophage-activating factor, GcMAF.Serum vitamin D binding protein (Gc protein) is the precursor for the principal macrophage-activating factor (<e>MAF</e>). The MAF precursor activity of serum Gc protein of colorectal cancer patients was lost or reduced because Gc protein is deglycosylated by serum alpha-N-acetylgalactosaminidase (Nagalase) secreted from cancerous cells. Deglycosylated Gc protein cannot be converted to MAF, leading to immunosuppression. Stepwise treatment of purified Gc protein with immobilized beta-galactosidase and sialidase generated the most potent macrophage-activating factor (GcMAF) ever discovered, but it produces no side effect in humans. Macrophages treated with GcMAF (100 microg/ml) develop an enormous variation of receptors and are highly tumoricidal to a variety of cancers indiscriminately. Administration of 100 nanogram (ng)/ human maximally activates systemic macrophages that can kill cancerous cells. Since the half-life of the activated macrophages is approximately 6 days, 100 ng GcMAF was administered weekly to eight nonanemic colorectal cancer patients who had previously received tumor-resection but still carried significant amounts of metastatic tumor cells. As GcMAF therapy progressed, the MAF precursor activities of all patients increased and conversely their serum Nagalase activities decreased. Since serum Nagalase is proportional to tumor burden, serum Nagalase activity was used as a prognostic index for time course analysis of GcMAF therapy. After 32-50 weekly administrations of 100 ng GcMAF, all colorectal cancer patients exhibited healthy control levels of the serum Nagalase activity, indicating eradication of metastatic tumor cells. During 7 years after the completion of GcMAF therapy, their serum Nagalase activity did not increase, indicating no recurrence of cancer, which was also supported by the annual CT scans of these patients.",M1
17935130,"Immunotherapy of metastatic breast cancer patients with vitamin D-binding protein-derived macrophage activating factor (GcMAF).Serum vitamin D3-binding protein (Gc protein) is the precursor for the principal macrophage activating factor (<e>MAF</e>). The MAF precursor activity of serum Gc protein of breast cancer patients was lost or reduced because Gc protein was deglycosylated by serum alpha-N-acetylgalactosaminidase (Nagalase) secreted from cancerous cells. Patient serum Nagalase activity is proportional to tumor burden. The deglycosylated Gc protein cannot be converted to MAF, resulting in no macrophage activation and immunosuppression. Stepwise incubation of purified Gc protein with immobilized beta-galactosidase and sialidase generated probably the most potent macrophage activating factor (termed GcMAF) ever discovered, which produces no adverse effect in humans. Macrophages treated in vitro with GcMAF (100 pg/ml) are highly tumoricidal to mammary adenocarcinomas. Efficacy of GcMAF for treatment of metastatic breast cancer was investigated with 16 nonanemic patients who received weekly administration of GcMAF (100 ng). As GcMAF therapy progresses, the MAF precursor activity of patient Gc protein increased with a concomitant decrease in serum Nagalase. Because of proportionality of serum Nagalase activity to tumor burden, the time course progress of GcMAF therapy was assessed by serum Nagalase activity as a prognostic index. These patients had the initial Nagalase activities ranging from 2.32 to 6.28 nmole/min/mg protein. After about 16-22 administrations (approximately 3.5-5 months) of GcMAF, these patients had insignificantly low serum enzyme levels equivalent to healthy control enzyme levels, ranging from 0.38 to 0.63 nmole/min/mg protein, indicating eradication of the tumors. This therapeutic procedure resulted in no recurrence for more than 4 years.",M1
16768713,"Adjuvant effect of mushroom glucan and bovine lactoferrin upon Aeromonas hydrophila vaccination in catla, Catla catla (Hamilton).Mushroom glucan and bovine lactoferrin (Lf), known for their immunostimulatory potential, were used as adjuvant in conjunction with a formalin-killed Aeromonas hydrophila vaccine in catla, Catla catla. In vitro antigen-specific responsiveness of catla leucocytes and protective responses against experimental challenge with homologous antigen were monitored following immunization. Antigen-specific proliferation, 'macrophage activating factor' (<e>MAF</e>) production and antibody production were significantly higher in fish injected with glucan adjuvanted vaccine. Lf adjuvanted preparations showed a weak proliferative response and MAF production, although the antibody production was significantly higher than the controls. A good degree of protection was achieved with the glucan adjuvanted vaccine. However, in spite of producing significant anti-A. hydrophila antibody, Lf adjuvanted vaccine did not confer any protection following challenge with A. hydrophila. The potential of adjuvanticity of mushroom glucan and bovine Lf in intraperitoneal vaccination is discussed.",M1
16734450,"A designed glycoprotein analogue of Gc-<e>MAF</e> exhibits native-like phagocytic activity.Rational protein design has been successfully used to create mimics of natural proteins that retain native activity. In the present work, de novo protein engineering is explored to develop a mini-protein analogue of Gc-MAF, a glycoprotein involved in the immune system activation that has shown anticancer activity in mice. Gc-MAF is derived in vivo from vitamin D binding protein (VDBP) via enzymatic processing of its glycosaccharide to leave a single GalNAc residue located on an exposed loop. We used molecular modeling tools in conjunction with structural analysis to splice the glycosylated loop onto a stable three-helix bundle (alpha3W, PDB entry 1LQ7). The resulting 69-residue model peptide, MM1, has been successfully synthesized by solid-phase synthesis both in the aglycosylated and the glycosylated (GalNAc-MM1) form. Circular dichroism spectroscopy confirmed the expected alpha-helical secondary structure. The thermodynamic stability as evaluated from chemical and thermal denaturation is comparable with that of the scaffold protein, alpha3W, indicating that the insertion of the exogenous loop of Gc-MAF did not significantly perturb the overall structure. GalNAc-MM1 retains the macrophage stimulation activity of natural Gc-MAF; in vitro tests show an identical enhancement of Fc-receptor-mediated phagocytosis in primary macrophages. GalNAc-MM1 provides a framework for the development of mutants with increased activity that could be used in place of Gc-MAF as an immunomodulatory agent in therapy.",M1
16400520,"Inhibition of angiogenesis by vitamin D-binding protein: characterization of anti-endothelial activity of DBP-<e>maf</e>.Angiogenesis is a complex process involving coordinated steps of endothelial cell activation, proliferation, migration, tube formation and capillary sprouting with participation of intracellular signaling pathways. Regulation of angiogenesis carries tremendous potential for cancer therapy. Our earlier studies showed that vitamin D-binding protein-macrophage activating factor (DBP-maf) acts as a potent anti-angiogenic factor and inhibits tumor growth in vivo. The goal of this investigation was to understand the effect of DBP-maf on human endothelial cell (HEC) and the mechanism of angiogenesis inhibition. DBP-maf inhibited human endothelial cell (HEC) proliferation by inhibiting DNA synthesis (IC(50) = 7.8 +/- 0.15 microg/ml). DBP-maf significantly induced S- and G0/G1-phase arrest in HEC in 72 h. DBP-maf potently blocked VEGF-induced migration, tube-formation of HEC in a dose dependent manner. In addition, DBP-maf inhibited growth factor-induced microvessel sprouting in rat aortic ring assay. Moreover, DBP-maf inhibited VEGF signaling by decreasing VEGF-mediated phosphorylation of VEGFR-2 and ERK1/2, a downstream target of VEGF signaling cascade. However, Akt activation was not affected. These studies collectively demonstrate that DBP-maf inhibits angiogenesis by blocking critical steps such as HEC proliferation, migration, tube formation and microvessel sprouting. DBP-maf exerts its effect by inhibiting VEGR-2 and ERK1/2 signaling cascades. Understanding the cellular and molecular mechanisms of anti-endothelial activity of DBP-maf will allow us to develop it as an angiogenesis targeting novel drug for tumor therapy.",M1
16342171,"Macrophage/microglia activation factor expression is restricted to lesion-associated microglial cells after brain trauma.After traumatic brain lesion, microglial cells are rapidly activated, migrate toward the sites of injury, and cause secondary damage that accounts for most of the loss of brain function. In the present study, we have characterized a new macrophage/microglia activation factor (<e>MAF</e>). Using the monocytic cell line U937, we were able to demonstrate that MAF is upregulated after TPA-induced differentiation into macrophages. We have generated a specific antibody against MAF. In BV-2 microglial cells, MAF is partially co-localized with IB4, a classical microglial marker. In addition, we have analyzed the in vivo expression patterns of MAF after entorhinal cortex lesion. We were able to show a substantial upregulation of MAF on selected CD11b(+) and IB4(+) macrophages/microglial cells in the deafferented hippocampus and in the perilesional region, while no MAF expression was detectable on the contralateral side. Confocal microscopy revealed a lysosome-like expression pattern in BV-2 cells, as well as in ECL-associated macrophages/microglial cells in vivo. Furthermore, we were able to demonstrate that U937 cells with downregulated MAF converted slower and to a significantly reduced extent to the macrophageal phenotype after TPA treatment. In addition, MAF downregulation in BV-2 microglial cells substantially reduced the phagocytotic uptake of dextran beads. Our data indicate that MAF is expressed in selected macrophages/microglial cells around the lesion and in the degenerating hippocampus after ECL. Furthermore, MAF expression in monocytic cells seems to play a functional role in the differentiation to a phagocytosing phenotype and may be, at least partially, required for phagocytotic activity, specifically in lesioned tissue after brain trauma.",M1
16337134,"Possible implication of macrophages in the regulation of cytochrome P450 activities in carp (Cyprinus carpio).Macrophages play a key role in the regulation of cytochrome P450 activity induced by immunostimulants in mammals. We investigated the effects of immunostimulants (LPS, dextran sulfate and tilorone) on biotransformation and macrophage activities in carp. The major effect of LPS was its capacity to inhibit 3-MC-induced cytochrome P450 activities in the liver and head kidney. Basal phase I activities were reduced by tilorone and dextran sulfate in immune organs. Tilorone and dextran sulfate differently modulated total cytochrome P450 contents and P4501A activities suggesting differential sensitivity for P450 classes. In immune organs, tilorone and dextran sulfate inhibited basal EROD activity. Tilorone inhibited 3-MC-induced EROD activity whereas dextran sulfate enhanced this activity. LPS and dextran sulfate increased ROS production by macrophages and all the immunostimulants induced macrophage activating factor (<e>MAF</e>) production. This study demonstrates for the first time in fish the capacity of CYP-regulated immunostimulants to activate macrophages and provides initial insight into the capacity of macrophages to regulate CYP activity induced by immunostimulants in fish.",M1
16149447,"[Macrophage activating factor (<e>MAF</e>)]",M1
