@RELATION C0162804_C0007129

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
15842799,"[Study on loss of heterozygosity and microsatellite instability in hepatocellular carcinoma]OBJECTIVE: To investigate the role of loss of heterozygosity (LOH) in tumor suppressor genes (TSG) and microsatellite instability (MSI) in hepatocarcinogenesis, as well as their correlation with clinicopathologic features. METHODS: LOH in 6 TSG (APC, DCC, <e>MCC</e>, OGG1, p53 and RB1) was detected in 36 informative cases of hepatocellular carcinoma (HCC), among 92 surgically resected HCC. Thirteen polymorphic microsatellite markers were also studied in 15 of these cases by microdissection-based PCR amplification and direct DNA sequencing. The correlation between genetic alterations and clinicopathologic features was analyzed. RESULTS: The overall incidence of LOH in HCC was 41.7% (15/36). There was no LOH in MCC gene. 46.2% (6/13) microsatellites showed LOH in 9 of the 15 cases of HCC (60%). Certain clinicopathologic differences were observed between cases (number = 7) with LOH in APC, OGG1 and DCC ( type I ) and cases (number = 8) with LOH in p53 and RB1 ( type II ). The mean tumor size of these two types was 2.9 (+/- 1.7) cm and 7.2 (+/- 3.4) cm, respectively (P &lt; 0.01); and the mean survival was 72.0 (+/- 38.6) months, and 51.0 (+/- 30.4) months, respectively (P &lt; 0.05). CONCLUSIONS: Compared with MSI pathway, LOH pathway plays a more important role in the development of HCC. A multistep hepatocarcinogenesis is likely, with LOH in APC, OGG1 and DCC ( type I ) being an early event and LOH in p53 and RB1 ( type II ) being a late event. On the other hand, MCC gene seems to play no role in the whole process.",M1
12901725,"Loss of heterozygosity at APC and <e>MCC</e> genes of oral cancer and leukoplakia tissues from Indian tobacco chewers.BACKGROUND: Loss of heterozygosity (LOH) at tumor suppressor genes, such as adenomatous polyposis coli (APC) and mutated in colon cancer (MCC) genes, is one of the early events in carcinogenesis of oral tissue in Caucasian and Chinese patients. We wanted to check whether it is also true in Indian oral pre-cancer and cancer patients. METHODS: Loss of heterozygosity at APC and MCC genes was investigated in 57 and 40 unrelated primary oral leukoplakia (a pre-cancerous lesion) and squamous cell carcinomas (SCC), respectively, by polymerase chain reaction. RESULTS: In these samples, most of the leukoplakia patients had tobacco smoking habit whereas majority of cancer patients had tobacco chewing habit. LOH at APC gene was observed in 4 of 16 (25%) and 1 of 29 (3%) informative tumor and leukoplakia DNAs from tobacco chewers, respectively. LOH at MCC gene was not detected either in tumor or in leukoplakia DNAs. CONCLUSION: This infrequent LOH at APC gene of pre-cancer and cancer tissues suggests that it may not be an early event in oral carcinogenesis in these patients.",M1
12901620,"Study of loss of heterozygosity at DCC and APC/<e>MCC</e> genetic loci of gastric cancer.In order to assess the role of the changes of DCC and APC/MCC genes in the development and progression of gastric cancer, the loss of heterozygosity (LOH) of these genetic loci was investigated in 45 surgical specimens of gastric cancer with PCR-RFLP. The rate of LOH was 30.0% (9/30) at APC/MCC gene and 33.3% (15/45) at DCC gene. LOH was found in both intestinal and gastric types of gastric cancer and the rate of LOH of DCC gene was significantly higher in stages III to approximately IV gastric cancer (48.0%) than in stages I to approximately II (15.0%) (P&lt;0.05). LOH of APC/MCC gene could be found in both early and advanced stages of gastric cancer. These findings suggest that changes of DCC and APC/MCC genes are involved in the development and progression of the intestinal and gastric types of gastric cancer.",M1
11776787,"[The possible role of loss of heterozygosity at APC, <e>MCC</e> and DCC genetic loci in esophageal carcinoma]OBJECTIVE: To investigate the alterations of APC, MCC and DCC genes in human esophageal carcinoma. METHODS: A total of 46 human esophageal cancer specimens were analyzed for the loss of heterozygosity (LOH) at APC, MCC and DCC genetic loci by means of polymerase chain reaction and restriction fragment length polymorphism. RESULTS: The incidence of LOH was 29.0%(9/31) at APC locus, 33.3%(8/24) at MCC locus, and 32.4%(12/37) at DCC locus, respectively. However, there was no statistically significant correlation between LOH at these three loci with such clinical parameters as pathological types, tumor size, invasiveness, and lymph-node metastasis. CONCLUSION: These data suggest that LOH at APC, MCC and DCC loci in esophageal carcinoma is, to certain extent, a common genetic alteration which might play a role in esophageal carcinogenesis.",M1
11338478,"Allelic loss involving the tumor suppressor genes APC and <e>MCC</e> and expression of the APC protein in the development of dysplasia and carcinoma in Barrett esophagus.Samples of Barrett metaplastic specialized epithelium (SE), low-grade dysplasia (LGD), high-grade dysplasia (HGD), and invasive adenocarcinoma (CA) derived from 36 esophagectomy specimens were studied for loss of heterozygosity (LOH) in APC and MCC and for expression of APC protein. Of 18 cases that were heterozygous (informative) for APC, LOH was found in none of 14 SE samples, 2 of 8 LGD samples, 3 of 11 HGD samples, and 5 of 17 CA samples. Immunohistochemically, markedly reduced expression of APC protein (&lt; 50% positive cells) was found in 3 of 19 HGD samples and 4 of 35 CA samples but not in SE or LGD samples. Of 17 cases informative for the MCC gene, LOH was detectable in 1 of 14 SE samples, none of 7 LGD samples, none of 9 HGD samples, and 4 of 16 CA samples. Allelic loss of APC and/or loss of APC protein expression occurs earlier in the metaplasia-dysplasia-carcinoma sequence in Barrett esophagus than LOH in the MCC gene. The determination of alterations at APC or MCC would be of limited importance for the surveillance of patients with Barrett esophagus.",M1
10605402,"Infrequent loss of heterozygosity of APC/<e>MCC</e> and DCC genes in gastric cancer showing DNA microsatellite instability.AIM: To investigate the role of DNA microsatellite instability (MSI) in gastric carcinogenesis by studying associations between MSI status, clinicopathological features, and loss of genetic loci. METHODS: Six microsatellite loci and loss of heterozygosity at APC, DCC, and MCC were analysed by polymerase chain reaction based methods in 53 cases of advanced gastric cancer. RESULTS: MSI was observed in 32.1% of gastric carcinomas (17/53) and 20% of foci of intestinal metaplasia (3/15). Seven gastric carcinomas (13.7%) were MSI-high (MSI-H) (three loci or more) and 10 (18.9%) were MSI-low (MSI-L) (one or two loci). The frequency of MSI-H was higher in intestinal (25.0%) than in diffuse carcinomas (3.7%) (p &lt; 0.05). None of the MSI-H tumours showed loss of heterozygosity at APC, MCC, or DCC loci. CONCLUSIONS: MSI may have an important and early role in a subset of gastric cancers, particularly the intestinal type. The MSI-H subset of gastric cancer has features in common with its colorectal counterpart, whereas MSI-L and microsatellite stable cancers appear to develop through the loss of heterozygosity pathway.",M1
10404094,"Genomic instability and alterations in Apc, <e>Mcc</e> and Dcc in Hong Kong patients with colorectal carcinoma.Our aim was to reveal the significance of tumor-suppressor genes and genomic instability in 99 Hong Kong Chinese colorectal carcinoma (CRC) patients by PCR-LOH analysis and PCR-PTT assay. The frequencies of allelic loss of Apc, Mcc and Dcc and of APC truncation were 31.3% (15/48), 11.6% (5/43), 44.4% (20/45) and 46/93 (49.5%), respectively. The frequency of Apc LOH was similar to, the Mcc LOH was lower than, and the Dcc LOH was higher than that reported for Caucasians and Japanese. In Hong Kong CRC patients, the replication error-positive (RER(+)) phenotype occurred with a frequency of 10% (10/99), which was similar to other results using microsatellite markers where RER(+) frequencies ranged from 11% to 28%. The rates of genetic alteration in RER(+) tumors were lower in tumors harboring p53, Mcc and Dcc alterations; similar in Apc; and higher in Ki-ras tumors compared with RER(-) tumors, though these differences did not achieve statistical significance. None of the biomarkers examined were predictive of survival independently, but strong trends confirming earlier observations of associations between RER(+) phenotypes with proximal tumor location and poorly differentiated tumor status were noted. The RER(+) phenotype was correlated significantly to the less aggressive Duke's stage B and improved prognosis. Additionally, tumors with RER(+) phenotypes were positively correlated with young age and sex. Our results support the observation that a subset of younger male CRC patients in Hong Kong may develop CRC via the RER pathway and show differences in RER status and sex. A significantly higher percentage of older Hong Kong Chinese CRC patients had APC truncations. Int. J. Cancer (Pred. Oncol.) 84:404-409, 1999.",M1
9473770,"Decreased expression of the adenomatous polyposis coli (Apc) and mutated in colorectal cancer (<e>Mcc</e>) genes in mouse lung neoplasia.A decrease in the intracellular concentrations of the transcripts for some tumor suppressor genes has been found during murine lung tumorigenesis; for p15INK4b and p16INK4a, this was due to homozygous deletions. We report here a decrease in the mRNA levels of the mutated in colorectal cancer (Mcc) and adenomatous polyposis coli (Apc) genes in mouse lung tumors and some neoplastic cell lines. This was assessed both by northern blotting and reverse transcriptase-polymerase chain reaction of RNA isolated from lung tumors that had been induced by urethane, N-nitrosodiethylamine, or 3-methylcholanthrene in (A/J x C57BL/6) F1 or A/J mice. A reduced amount of both Mcc and Apc messages was also seen when two neoplastic cell lines, a spontaneous transformant (E9) and a line derived from a chemically induced solid tumor (82-132), were compared with two independently derived nontumorigenic cell lines (E10 and C10); E9 was derived from E10, and all of these lines are probably of alveolar type 2 cell origin. A cell line derived from a chemically induced papillary lung tumor probably of bronchiolar Clara cell origin (LM2) had Mcc mRNA levels similar to those of C10 and E10 but reduced Apc mRNA levels. A line (p53-823) derived from a papillary tumor that arose in a mouse with a mutated p53 transgene had a reduced amount of the Mcc gene product only. These differential changes in the relative amounts of Apc and Mcc messages in LM2 and p53-823) cells may serve as useful models for studying the regulation of their expression. Both messages had half-lives of 6-9 h in normal E10 and neoplastic E9 cells, so decreased message stability does not account for these reductions. This is the first report of estimated degradation rates of these mRNAs. Apc and Mcc message content did not vary as a function of growth status of the cell lines. Single-strand conformation polymorphism analysis did not reveal mutations in Apc coding regions known to have a high mutation frequency in human colon tumors. Loss of heterozygosity of Apc and Mcc was not found in tumors that developed in the F1 mice, implying a lack of allelic deletions. These changes in tumor suppressor gene expression may contribute to the development and maintenance of neoplasia in lung epithelium.",M1
9250932,"Loss of heterozygosity of APC and <e>MCC</e> genes in oral squamous cell carcinomas in Taiwan.Loss of heterozygosity (LOH) at adenomatous polyposis coli (APC) and mutated in colon cancer (MCC) genes was investigated in 37 untreated human primary oral squamous cell carcinomas (SCCs) using the polymerase chain reaction. LOH was observed in 14 of 26 (53.8%) heterozygous (informative) patients at APC and 9 of 13 (69.2%) heterozygous patients at MCC&gt; Homozygous deletion of MCC was detected in one patient. Of the 37 patients, 29 were informative at APC or MCC or both; LOH at APC and/or MCC was detected in 68.9% (20/29) of the cases. Ten cases were informative for both genes; LOH at both loci was found in only three of these cases. LOH at the APC and/or MCC was found in both early and advanced stages of oral SCCs. No significant correlation was observed between LOH at the APC and/or MCC locus and the patients' tobacco/betel quid consumption, tumour location, TNM status, or histological differentiation. These results suggest that LOH at the APC and/or MCC may be an early event and may play a role in the pathogenesis of human oral SCCs in Taiwan.",M1
8855982,"Infrequent alterations of the APC and <e>MCC</e> genes in gastric cancers from British patients.We examined 26 gastric carcinomas from British patients for mutations of the APC gene using a single-strand conformation polymorphism (SSCP) and heteroduplex assay in conjunction with the protein truncation test (PTT). In addition, we performed loss of heterozygosity (LOH) analysis of the APC and MCC genes. We detected an inactivating somatic mutation in one gastric tumour. LOH of APC was observed in one of 12 informative cases (8%) and of MCC in two of 20 cases (10%). We thus find that alteration of the APC and MCC genes are infrequent in gastric cancers from the British population. Tumour-suppressor genes on other chromosomes must play a more significant role in the development of these tumours.",M1
