@RELATION C0025235_C0024487

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
19146041,"Melkersson-Rosenthal Syndrome with migraine-like headaches treated with minocycline: a case report and review of the literature.Cheilitis granulomatosa (CG), which presents clinically as persistent lip swelling, is characterized histologically by noncaseating granulomatous inflammation of unknown origin. CG may also be part of the classic triad of the Melkersson-Rosenthal Syndrome (<e>MRS</e>) and alone is considered by some to be an oligosymptomatic form of MRS. We report a case of CG associated with migraine-like headaches in a 44-year-old woman. The clinical presentation, histologic findings, and subsequent treatment are described. A brief review of the literature also is provided.",M1
19027510,"Melkersson-Rosenthal syndrome revisited as a misdiagnosed disease.PURPOSE: We aimed to attract our college's attention to the Melkersson-Rosenthal syndrome (<e>MRS</e>), which has been an infrequently encountered subject in otolaryngology journals during the last 10 years. MATERIALS AND METHODS: A retrospective review of the last 10 years' patient database was performed to find patients with MRS. The medical files, treatment charts, and radiological and histopathological records of these patients were reviewed. RESULTS: The study group consisted of 3 MRS patients who had been misdiagnosed for 9, 10, and 16 years. Two of them have had the symptoms since adolescence. All of them presented orofacial edema and fissured tongue, whereas first two also had recurrent facial paralysis. Characteristic histopathological features were noted in 1 patient. Electromyography (EMG) was done in 1 patient who underwent facial decompressiom. All patients responded to either systemic or intralesional corticosteroid treatment. CONCLUSIONS: In the daily practice of an otolaryngologist, it is not usual to diagnose a patient as having MRS. We consider that this is partly because of misdiagnosis. We therefore believe that this study will supply an additional aspect to otolaryngologists, in the scope of recurrent facial paralysis and orofacial edema in both children and adults.",M1
18927530,"Hashimoto's thyroiditis in Melkersson-Rosenthal syndrome patient: casual association or related diseases?Melkersson-Rosenthal syndrome (<e>MRS</e>) is a rare disorder of unknown etiology. MRS is classically defined as a triad of recurrent orofacial edema, relapsing paralysis of the facial nerve, and fissured tongue. The authors present the case of a 52-year-old woman with orofacial swelling and facial pain attacks. The patient reported to suffer of hypothyroidism and laboratory findings disclosed free triiodothyronine (FT(3)), free thyroxine (FT(4)), and thyrotropin (TSH) altered. Endocrinological consult led to the diagnosis of Hashimoto's thyroiditis. Antithyroper-oxidase antibodies (anti-TPO) were highly elevated and thyroid function tests had evidenced a clinically significant hypothyroidism. A link between MRS and immunological disorders such as sarcoidosis, Crohn's disease, unilateral anterior uveitis and multiple sclerosis was documented. The literature did not report any association between Hashimoto's thyroiditis and Melkersson-Rosenthal syndrome. The presence of the anti-TPO antibodies in the case reported here could suggest a possible correlation between immunological alteration characteristic of autoimmune thyroiditis and MRS.",M1
18685938,"Anesthetic management of patients with Melkersson Rosenthal syndrome.Melkersson Rosenthal Syndrome (<e>MRS</e>) is a rare disorder characterized by relapsing facial paralysis, persistent or recurrent orofacial edema, and lingua plicata. It may cause difficult airway, drug allergy, and angioedema. In our anesthetic management of two patients with MRS, preanesthetic immunological blood examination and skin tests for hypersensitivity to anesthetic drugs were applied. Because the principal goal is to avoid all factors that may stimulate, an allergic reaction, anesthetic drugs known to trigger urticaria were avoided. Body and operating room temperatures, changes of which may trigger allergic reactions, were kept constant during the perioperative period. Emergency precautions were taken for probable angioedema. MRS is a rare syndrome, and if its manifestations are misunderstood as simple facial paralysis, it may be overlooked by anesthesiologists. Anesthesiologists must be careful of several problems in patients with MRS.",M1
18477847,"Melkersson-Rosenthal syndrome and acquired C1 inhibitor deficiency.BACKGROUND: Melkersson-Rosenthal syndrome (<e>MRS</e>) is a rare disease whose full-blown form is characterized by orofacial swelling, facial palsy and lingua plicata. OBJECTIVE: To investigate the complement system as well as its role in patients with MRS. METHODS: Seven patients presenting at this hospital between November 2002 and May 2003 and meeting the diagnostic criteria according to Hornstein were evaluated retrospectively. The investigations included clinical signs, an analysis of the complement system including levels of CH50, C3, C4, C1 inhibitor (INH) functions and C1-INH antigen detection. RESULTS: Two female patients showed isolated low levels of functional C1-INH as determined by duplicate tests. Both patients took estrogen-progestin contraceptives. CONCLUSION: Since deficiency in plasma protease C1-INH is known to lead to recurrent angioedema, we hypothesize that low levels of functional C1-INH may have contributed to the orofacial swelling in the 2 patients.",M1
18241724,"Melkersson-Rosenthal syndrome.OBJECTIVES: To study characteristics of Melkersson-Rosenthal syndrome (<e>MRS</e>) patients with facial palsy (FP) and differences in patients treated at the Departments of Otorhinolaryngology and Dermatology. METHODS: Clinical picture of MRS was studied from patient charts at two departments. Patients with FP received a questionnaire and were examined. Tissue biopsies were searched for non-necrotizing granulomatous infiltrations typical of MRS and blood DNA for UNC-93B1 gene mutations predisposing to herpesvirus infection. RESULTS: At the Department of Otorhinolaryngology, all 18 MRS patients had FP, 9 the triad form. Two patients revealed non-necrotizing granulomatous infiltrations during acute edema episodes; another two had association with uveitis. Edema was rarely persistent and did not dominate the clinical picture. No UNC-93B1 mutations were found. At the Department of Dermatology, 2 patients had triad MRS and 15 had monosymptomatic granulomatous cheilitis with persistent edema and typical MRS histology. CONCLUSION: The clinical picture of MRS with FP differed from the current knowledge of edema-dominated MRS. More studies focusing on MRS with FP would broaden our understanding of the syndrome.",M1
18208738,"[Melkersson-Rosenthal syndrome treated with clofazimine]Melkersson-Rosenthal syndrome (<e>MRS</e>) is a triad of facial palsy, lingua plicata and chronic orofacial swelling. Mono- and oligosymptomatic forms are common and cheilitis granulomatosa is often considered a monosymptomatic form of MRS. In advanced stages the histological findings are noncaseating granulomas. The etiology remains unclear and treatment is difficult. A few uncontrolled studies have shown corticosteroids and clofazimine to be effective. We report on a 31 year-old man with complete MRS who responded well to treatment with clofazimine.",M1
18035003,"Melkersson-Rosenthal syndrome with isolated immunoglobulin E hypogammaglobulinaemia.Melkersson-Rosenthal syndrome (<e>MRS</e>) is a rare disorder classically presenting with a triad of recurrent orofacial swelling, facial palsy and a fissured tongue. This case report describes a case of MRS in a patient with isolated immunoglobulin E (IgE) hypogammaglobulinaemia. The 52-year-old woman presented with puffy eyelids, lower lip swelling and right facial nerve palsy. Fissures of the tongue were also noted. On investigation she was found to have a markedly low serum IgE level. This case report clearly indicates that IgE-mediated reactions do not play a significant role in the development of MRS.",M1
17969476,"Literature replete with <e>MRS</e> cases.",M1
17891875,"Familiar with <e>MRS</e>.",M1
17577330,"Expression of protease-activated receptor-1 and -2 in orofacial granulomatosis.OBJECTIVE: Orofacial granulomatosis (OFG) is a rare condition characterized by non-caseating granulomas in the orofacial region. Protease-Activated Receptors (PARs) play a role in inflammatory diseases in diverse human tissues. The aim of the study was to investigate the expression of PAR-1, PAR-2, MMP-2, MMP-9, COX-1, and COX-2 in tissues taken from OFG patients. METHODS: PAR-1, PAR-2, MMP-2, MMP-9, COX-1, and COX-2 expression was evaluated by immunohistochemistry in biopsies taken from oral Crohn's disease (five cases), Melkersson-Rosenthal syndrome (<e>MRS</e>) (six cases), cheilitis granulomatosa (five cases) and normal oral mucosa (five cases). RESULTS: PAR-1 was observed in mononuclear inflammatory cells in edematous/lichenoid lesions, whereas a strong PAR-2 immunostaining was detected in epithelioid histiocytes and giant cells in granulomatous lesions, irrespective of the clinical features (Crohn vs MRS). MMPs and COX-2 were expressed in the inflammatory component of edematous/lichenoid lesions and markedly overexpressed in granulomatous lesions. COX-1 was weakly and variably expressed in both edematous/lichenoid and granulomatous lesions. CONCLUSION: Thus, PAR-1 and PAR-2 expressions were related to the intensity and type of inflammatory response but not to the type of clinical lesion. Simultaneous overexpression of PARs, MMPs and COXs suggests synergism among these proinflammatory receptors and enzymes.",M1
