@RELATION C0027819_C0398791

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20145112,"High-risk neuroblastoma tumors with 11q-deletion display a poor prognostic, chromosome instability phenotype with later onset.Analysis of chromosomal aberrations is used to determine the prognosis of neuroblastomas (<e>NBs</e>) and to aid treatment decisions. MYCN amplification (MNA) alone is an incomplete poor prognostic factor, and chromosome 11q status has recently been included in risk classification. We analyzed 165 NB tumors using high-density SNP microarrays and specifically compared the high-risk groups defined by MNA (n = 37) and 11q-deletion (n = 21). Median patient age at diagnosis was 21 months for MNA tumors and 42 months for 11q-deletion tumors, and median survival time after diagnosis was 16 months for MNA and 40 months for 11q deletion. Overall survival (at 8 years) was approximately 35% in both groups. MNA and 11q deletion were almost mutually exclusive; only one case harbored both aberrations. The numbers of segmental aberrations differed significantly; the MNA group had a median of four aberrations, whereas the 11q-deletion group had 12. The high frequency of chromosomal breaks in the 11q-deletion group is suggestive of a chromosomal instability phenotype gene located in 11q; one such gene, H2AFX, is located in 11q23.3 (within the 11q-deletion region). Furthermore, in the groups with segmental aberrations without MNA or 11q deletion, the tumors with 17q gain have worse prognosis than those with segmental aberrations without 17q gain, which have a favorable outcome. This study has implications for therapy in different risk groups and stresses that genome-wide microarray analyses should be included in clinical management to fully evaluate risk, aid diagnosis, and guide treatment.",M1
20101209,"Molecular pathogenesis of peripheral neuroblastic tumors.Neuroblastoma (NB) is an embryonal cancer of the sympathetic nervous system observed in early childhood, characterized by a broad spectrum of clinical behaviors, ranging from spontaneous regression to fatal outcome despite aggressive therapies. NB accounts for 8-10% of pediatric cancers and 15% of the deaths attributable to malignant conditions in children. Interestingly, NB may occur in various contexts, being mostly sporadic but also familial or syndromic. This review focuses on recent advances in the identification of the genes and mechanisms implicated in NB pathogenesis. Although the extensive characterization of the genomic aberrations recurrently observed in sporadic <e>NBs</e> provides important insights into the understanding of the clinical heterogeneity of this neoplasm, analysis of familial and syndromic cases also unravels essential clues on the genetic bases of NB. Recently, the ALK gene emerged as an important NB gene, being implicated both in sporadic and familial cases. The identification of gene expression signatures associated with patient's outcome points out the potential of using gene expression profiling to improve clinical management of patients suffering from NB. Finally, based on recent observations integrating genomic analyses, biological data and clinical information, we discuss possible evolution/progression schemes in NB.",M1
20006005,"Risks and benefits of ending of mass screening for neuroblastoma at 6 months of age in Japan.PURPOSE: The mass screening (MS) for neuroblastoma (NB) at 6 months of age in Japan was discontinued in 2004. This study assessed the risks and benefits of MS based on an analysis of NB detected before or after discontinuation of MS in Japan. METHODS: The clinical features and Brodeur's genetic type based on MYCN, DNA ploidy, and other genetic aberrations were assessed in 113 NB patients (20 cases after and 93 cases [55 MS cases] before the discontinuation of MS) older than 6 months treated at one institution since 1985. RESULTS: The 20 patients with <e>NBs</e> detected after MS was discontinued ranged in age from 7 to 67 months, 12 patients were stage 4, and 11 patients would have been detected at 6 months of age if they had undergone MS. The Brodeur's genetic type of these 20 patients showed that 30% (6/20) were type 1 (low risk), 55% (11/20) were type 2A (intermediate risk), and 15% (3/20) were type 2B (high risk). Of 93 patients with NB detected before MS was discontinued, 60% (56/93) were type 1, 18% (17/93) were type 2A, and 22% (20/93) were type 2B. Among the type 2A patients, 82% (9/11) of the patients detected after MS was discontinued showed stage 4, whereas only 50% (9/18) of those diagnosed before MS was discontinued were stage 4. The genetic analysis using single nucleotide polymorphism (SNP) array for type 2A showed that the pattern of genetic aberration was equivalent in those detected either before or after MS was discontinued. CONCLUSIONS: There was a decrease of type 1 and an increase of type 2A NB in patients after MS was discontinued in Japan. These results suggest that most of the type 1 detected by MS has regressed, and most of the type 2A detected by MS has appeared sporadically as advanced NB in patients older than 1 year.",M1
19787053,"Lysosomal-associated protein multispanning transmembrane 5 gene (LAPTM5) is associated with spontaneous regression of neuroblastomas.BACKGROUND: Neuroblastoma (NB) is the most frequently occurring solid tumor in children, and shows heterogeneous clinical behavior. Favorable tumors, which are usually detected by mass screening based on increased levels of catecholamines in urine, regress spontaneously via programmed cell death (PCD) or mature through differentiation into benign ganglioneuroma (GN). In contrast, advanced-type NB tumors often grow aggressively, despite intensive chemotherapy. Understanding the molecular mechanisms of PCD during spontaneous regression in favorable NB tumors, as well as identifying genes with a pro-death role, is a matter of urgency for developing novel approaches to the treatment of advanced-type NB tumors. PRINCIPAL FINDINGS: We found that the expression of lysosomal associated protein multispanning transmembrane 5 (LAPTM5) was usually down-regulated due to DNA methylation in an NB cell-specific manner, but up-regulated in degenerating NB cells within locally regressing areas of favorable tumors detected by mass-screening. Experiments in vitro showed that not only a restoration of its expression but also the accumulation of LAPTM5 protein, was required to induce non-apoptotic cell death with autophagic vacuoles and lysosomal destabilization with lysosomal-membrane permeabilization (LMP) in a caspase-independent manner. While autophagy is a membrane-trafficking pathway to degrade the proteins in lysosomes, the LAPTM5-mediated lysosomal destabilization with LMP leads to an interruption of autophagic flux, resulting in the accumulation of immature autophagic vacuoles, p62/SQSTM1, and ubiqitinated proteins as substrates of autophagic degradation. In addition, ubiquitin-positive inclusion bodies appeared in degenerating NB cells. CONCLUSIONS: We propose a novel molecular mechanism for PCD with the accumulation of autophagic vacuoles due to LAPTM5-mediated lysosomal destabilization. LAPTM5-induced cell death is lysosomal cell death with impaired autophagy, not cell death by autophagy, so-called autophagic cell death. Thus LAPTM5-mediated PCD is closely associated with the spontaneous regression of <e>NBs</e> and opens new avenues for exploring innovative clinical interventions for this tumor.",M1
19615087,"Regulation of MYCN expression in human neuroblastoma cells.BACKGROUND: Amplification of the MYCN gene in neuroblastoma (NB) is associated with a poor prognosis. However, MYCN-amplification does not automatically result in higher expression of MYCN in children with NB. We hypothesized that the discrepancy between MYCN gene expression and prognosis in these children might be explained by the expression of either MYCN-opposite strand (MYCNOS) or the shortened MYCN-isoform (DeltaMYCN) that was recently identified in fetal tissues. Both MYCNOS and DeltaMYCN are potential inhibitors of MYCN either at the mRNA or at the protein level. METHODS: Expression of MYCN, MYCNOS and DeltaMYCN was measured in human NB tissues of different stages. Transcript levels were quantified using a real-time reverse transcriptase polymerase chain reaction assay (QPCR). In addition, relative expression of these three transcripts was compared to the number of MYCN copies, which was determined by genomic real-time PCR (gQPCR). RESULTS: Both DeltaMYCN and MYCNOS are expressed in all <e>NBs</e> examined. In NBs with MYCN-amplification, these transcripts are significantly higher expressed. The ratio of MYCN:DeltaMYCN expression was identical in all tested NBs. This indicates that DeltaMYCN and MYCN are co-regulated, which suggests that DeltaMYCN is not a regulator of MYCN in NB. However, the ratio of MYCNOS:MYCN expression is directly correlated with NB disease stage (p = 0.007). In the more advanced NB stages and NBs with MYCN-amplification, relatively more MYCNOS is present as compared to MYCN. Expression of the antisense gene MYCNOS might be relevant to the progression of NB, potentially by directly inhibiting MYCN transcription by transcriptional interference at the DNA level. CONCLUSION: The MYCNOS:MYCN-ratio in NBs is significantly correlated with both MYCN-amplification and NB-stage. Our data indicate that in NB, MYCN expression levels might be influenced by MYCNOS but not by DeltaMYCN.",M1
19584241,"Inhibition of S-adenosylmethionine decarboxylase by inhibitor SAM486A connects polyamine metabolism with p53-Mdm2-Akt/protein kinase B regulation and apoptosis in neuroblastoma.S-adenosylmethionine decarboxylase (AdoMetDC) is an essential enzyme of polyamine (PA) biosynthesis, and both AdoMetDC and PA levels are often up-regulated in cancer cells. The second-generation inhibitor SAM486A inhibits AdoMetDC enzyme activity and has been evaluated in phase II clinical cancer trials. However, little is known about the mechanism of action and potential use of this therapeutic drug in the treatment of the pediatric cancer neuroblastoma (NB). Here, we show that p53 wild-type NB cells are highly sensitive to SAM486A treatment. Most notably, SAM486A treatment resulted in the rapid accumulation of proapoptotic proteins p53 and Mdm2. Concomitant with the increase of proteins at endogenous levels, the in vivo phosphorylation of p53 at residues Ser(46)/Ser(392) and Mdm2 at residue Ser(166) was observed. Moreover, the antiapoptotic protein Akt/protein kinase B was down-regulated and also dephosphorylated at residue Ser(473) in a dose- and time-dependent manner and NB cells entered apoptotic cell death. The results presented in this study highlight the importance of PA homeostasis and provide a direct link between PA metabolism and apoptotic cell signaling pathways in p53 wild-type NB cells. PA inhibitors such as SAM486A may be effective alternative agents for the treatment of <e>NBs</e> with or without MYCN amplification.",M1
19348682,"Co-regulated expression of HAND2 and DEIN by a bidirectional promoter with asymmetrical activity in neuroblastoma.BACKGROUND: HAND2, a key regulator for the development of the sympathetic nervous system, is located on chromosome 4q33 in a head-to-head orientation with DEIN, a recently identified novel gene with stage specific expression in primary neuroblastoma (NB). Both genes are expressed in primary NB as well as most NB cell lines and are separated by a genomic sequence of 228 bp. The similar expression profile of both genes suggests a common transcriptional regulation mediated by a bidirectional promoter. RESULTS: Northern Blot analysis of DEIN and HAND2 in 20 primary <e>NBs</e> indicated concurrent expression levels of the two genes, which was confirmed by microarray analysis of 236 primary NBs (Pearson's correlation coefficient r = 0.65). While DEIN expression in the latter cohort was associated with stage 4S (p = 0.02), HAND2 expression was not associated with tumor stage. In contrast, both HAND2 and DEIN transcript levels were highly associated with age at diagnosis &lt;12 months (p = 0.001). The intergenic region shows substantial homology in different species (89%, 72% and 53% identity between human and mouse, chicken and zebrafish, respectively) and contains many highly conserved putative transcription factor binding sites. Using luciferase reporter gene constructs, asymmetrical bidirectional promoter activity was found in four NB cell lines: In DEIN orientation, an average 3.4 fold increase in activity was observed as compared to the promoterless vector, whereas an average 15.4 fold activation was detected in HAND2 orientation. The presence of two highly conserved putative regulatory elements, one of which was shown to enhance HAND2 expression in branchial arches previously, displayed weak repressor activity for both genes. CONCLUSION: HAND2 and DEIN represent a gene pair that is tightly linked by a bidirectional promoter in an evolutionary highly conserved manner. Expression of both genes in NB is co-regulated by asymmetrical activity of this promoter and modulated by the activity of two cis-regulatory elements acting as weak repressors. The concurrent quantitative and tissue specific expression of HAND2 and DEIN suggests a functional link between both genes.",M1
19011468,"Rare occurrence of PHOX2b mutations in sporadic neuroblastomas.Neuroblastomas (<e>NBs</e>) are frequent solid tumors in childhood for which no specific genetic marker linked to their development has been identified to date. PHOX2b, which regulates the autonomic neuron development, has been associated with the development of autonomic diseases, and has been considered a potential candidate gene for neural crest-derived tumors such as NB. To ascertain the role of the PHOX2b gene in NB development, we have sequenced the complete PHOX2b coding region in tumors from 69 patients with sporadic NB, while 130 blood donors served as negative controls and 9 NB cell lines as positive controls. We found a missense deletion in exon 3 in a cell line. A further silent mutation in exon 3 (c.870C&gt;A) was observed in 3 tumors but in none of the controls. A new polymorphism in intron 1 (IVS1-114 G&gt;A) was observed in 31 tumor samples (44.9%) and in 68 controls (52.3%). We did not find any conclusive association of the polymorphisms or mutations in PHOX2b with the development of NB, although the large confidence intervals neither substantiate nor exclude a role for this gene in the tumor etiology.",M1
18923191,"Presence of 1q gain and absence of 7p gain are new predictors of local or metastatic relapse in localized resectable neuroblastoma.We have addressed the search of novel genetic prognostic markers in a selected cohort of patients with stroma-poor localized resectable neuroblastoma (NB) who underwent relapse or progression (group 1) or complete remission (group 2) over a minimum follow-up of 32 months from diagnosis. Twenty-three Italian patients with localized resectable NB (stages 1 and 2) diagnosed from 1994 through 2005 were studied. All patients received surgical treatment. Chemotherapy was administered only to the three stage 2 patients who had MYCN-amplified tumors. High-resolution array-comparative genomic hybridization (CGH) DNA copy-number analysis technology was used to identify novel prognostic markers. Chromosome 1p36.22p36.32 loss and 1q22qter gain, detected almost exclusively in group 1 patients, were significantly associated with poor event-free survival (EFS) (p = 0.0024 and p = 0.024, respectively). In contrast, patients with 7p11.2p22 gain, who belonged predominantly to group 2, had a significantly better EFS (p = 0.015). The frequency of 17q gain or 3p and 11q losses did not differ significantly in group 1 versus group 2 <e>NBs</e>. The sensitive technique allowed us to define the smallest region of 1p deletion. In conclusion, 1q22qter gain and 7p11.2p22 gain might represent new prognostic markers in localized resectable NB, but the small study size and the retrospective nature of the findings warrant further validation of the results in larger studies.",M1
18520032,"Useful markers for detecting minimal residual disease in cases of neuroblastoma.Neuroblastoma (NB), which is a malignant tumor of young children derived from neural crest cells that occurs in children, exhibits a wide range of clinical behaviors, from spontaneous regression to rapid progression. Advanced NB patients have a poor prognosis, and recently, autologous bone marrow transplantation (BMT) and autologous peripheral blood stem cell transplantation (PBSCT) have been attempted to improve the prognosis of these patients. In this study, we attempted to detect the expression of tyrosine hydroxylase (TH), neuroendocrine protein gene product (PGP) 9.5, ELAVL-4 and GD2 synthetase (GALGT), all of which are highly expressed in <e>NBs</e>, by the reverse transcription-polymerase chain reaction (RT-PCR) technique in order to detect minimal residual disease (MRD) in the bone marrow (BM) and peripheral blood (PB). Analysis of various tumor cell lines (Ewing's sarcoma, hepatoma, leukemias, and breast cancer cell lines in addition to NBs), and human normal samples (BM and PB cells) revealed that TH was the most specific marker for the detection of NB. On the other hand, PGP9.5 was the most sensitive marker, and was detected even when there was only one positive cell per 10(7) negative cells. We concluded that TH is a better marker before the diagnosis of NB while PGP9.5 is a better marker to detect MRD after the diagnosis. Here, we describe our results on useful markers to detect MRD in patients with NB.",M1
