@RELATION C0028768_C0029421

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20480704,"Dysfunctional belief domains related to obsessive-compulsive disorder: a further examination of their dimensionality and specificity.International consensus has been achieved on the existence of several dysfunctional beliefs underlying the development and/ or maintenance of the Obsessive-Compulsive Disorder (<e>OCD</e>). Nevertheless, questions such as the dimensionality of the belief domains and the existence of OCD-specific dysfunctional beliefs still remain inconclusive. The present paper addresses these topics through two different studies. Study 1: A series of confirmatory factor analyses (N = 573 non-clinical subjects) were carried out on the Obsessive Beliefs Spanish Inventory-Revised (OBSI-R), designed to assess dysfunctional beliefs hypothetically related to OCD. An eight-factor model emerged as the best factorial solution: responsibility, over-importance of thoughts, thought-action fusion-likelihood, thought action fusion-morality, importance of thought control, overestimation of threat, intolerance of uncertainty and perfectionism. Study 2: The OBSI-R and other symptom measures were administered to 75 OCD patients, 22 depressed patients, and 25 non-OCD anxious patients. Results indicated that, although OCD patients differed from their non-clinical counterparts on all of the OBSI-R subscales, no evidence of OCD-specificity emerged for any of the belief domains measured, as the OCD subjects did not differ from the other two clinical groups of patients.",M1
20437583,"Cerebellar morphology in Tourette syndrome and obsessive-compulsive disorder.OBJECTIVE: Neuroanatomical and functional imaging studies have identified the cerebellum as an integral component of motor and language control. Few studies, however, have investigated the role of the cerebellum in Tourette syndrome (TS), a condition defined by the presence of semi-involuntary movements and sounds. METHODS: Magnetic resonance imaging was conducted in 163 persons with TS and 147 control participants. Multivariate linear regression models were used to explore effects on cerebellar surface morphology and underlying volumes for the main diagnosis effects of TS as well as comorbid obsessive-compulsive disorder (<e>OCD</e>) and attention-deficit/hyperactivity disorder. Additionally, the correlations of symptom severity with cerebellar morphology were also assessed. RESULTS: The TS group demonstrated reduced volumes of the cerebellar hemispheres bilaterally that derived primarily from reduced gray matter in crus I and lobules VI, VIIB, and VIIIA. These decreased regional volumes accompanied increasing tic symptom severity and motoric disinhibition as demonstrated by a finger tapping test. Males had reduced volumes of these same regions compared with females, irrespective of diagnosis. Comorbid OCD was associated with relative enlargement of these regions in proportion to the increasing severity of OCD symptoms. INTERPRETATION: The cerebellum is involved in the pathogenesis of TS and tic-related OCD. Baseline gender differences in cerebellar morphology may in part account for the more prevalent expression of TS in males.",M1
20421587,"Streptococcal infection, Tourette syndrome, and <e>OCD</e>: is there a connection? PANDAS: horse or zebra?",M1
20418887,"Slitrk5 deficiency impairs corticostriatal circuitry and leads to obsessive-compulsive-like behaviors in mice.Obsessive-compulsive disorder (<e>OCD</e>) is a common psychiatric disorder defined by the presence of obsessive thoughts and repetitive compulsive actions, and it often encompasses anxiety and depressive symptoms. Recently, the corticostriatal circuitry has been implicated in the pathogenesis of OCD. However, the etiology, pathophysiology and molecular basis of OCD remain unknown. Several studies indicate that the pathogenesis of OCD has a genetic component. Here we demonstrate that loss of a neuron-specific transmembrane protein, SLIT and NTRK-like protein-5 (Slitrk5), leads to OCD-like behaviors in mice, which manifests as excessive self-grooming and increased anxiety-like behaviors, and is alleviated by the selective serotonin reuptake inhibitor fluoxetine. Slitrk5(-/-) mice show selective overactivation of the orbitofrontal cortex, abnormalities in striatal anatomy and cell morphology and alterations in glutamate receptor composition, which contribute to deficient corticostriatal neurotransmission. Thus, our studies identify Slitrk5 as an essential molecule at corticostriatal synapses and provide a new mouse model of OCD-like behaviors.",M1
20414874,"[The neurobiology of obsessive-compulsive disorder: new findings from functional magnetic resonance imaging (I)]INTRODUCTION: In recent years, neuroscience has shown a growing interest in applying its methods to furthering the knowledge of psychiatric disorders, and one of the fundamental tools used to do so are neuroimaging techniques. Yet, in general, few studies have been conducted in which functional magnetic resonance has been applied in this field and findings are sometimes contradictory. AIMS: In this first part of our work we review the specialised bibliography and present a critical discussion on the scientific literature published to date on neuroimaging and neuropsychology of one of the most widely studied disorders from a neurobiological point of view, namely, obsessive-compulsive disorder (<e>OCD</e>). DEVELOPMENT: The article outlines the basic aspects of neurobiological research into OCD, which has focused more especially on studying the cortico-striato-thalamic system. Results of this research suggest the existence of a deficit in the response inhibition as the possible cognitive substrate underlying the symptoms of OCD. In the second part, we will review the papers dealing with the use of this neuroimaging technique that have been indexed in the most commonly used medical databases on the topic since 1996. CONCLUSIONS: Response inhibition seems to be an important cognitive domain when it comes to explaining this disorder. Most studies suggest that the prefrontal cortex (orbitofrontal and cingulate), the basal ganglia and the thalamus are related with the pathogenesis of OCD.",M1
20414175,"Clinical features and treatment characteristics of compulsive hoarding in Japanese patients with obsessive-compulsive disorder.INTRODUCTION: Compulsive hoarding has been studied primarily in Western countries. Here we sought to examine compulsive hoarding in Japanese patients with obsessive-compulsive disorder (<e>OCD</e>). The heterogeneous nature of hoarding was also investigated. METHODS: One hundred and sixty-eight OCD outpatients were initially assessed to determine the presence or absence of compulsive hoarding, and whether hoarding was primary or secondary to another symptom dimension for which they had received treatment for 1 year. RESULTS: Of the participants, 54 patients were found to have compulsive hoarding. Hoarders were significantly more likely than non-hoarding patients to have more severe psychopathology including elevated severity of OCD symptoms, poorer insight, higher prevalence of comorbid schizotypal or obsessive-compulsive personality disorder, closer association with symmetry dimension, and poorer treatment outcome. Comparisons of subjects with primary and secondary hoarding found that the former group had more severe clinical features, while the latter group hoarded a wider variety of items, including apparently bizarre ones. CONCLUSION: The prevalence and clinical characteristics of compulsive hoarding in OCD subjects was similar to those reported in Western countries, supporting its trans-cultural consistency. The distinction between primary and secondary hoarding in OCD is clinically useful, and may contribute to the debate about whether hoarding should be a separate diagnostic entity.",M1
20405764,"When exposures go wrong: troubleshooting guidelines for managing difficult scenarios that arise in exposure-based treatment for obsessive-compulsive disorder.Cognitive-behavioral therapy (CBT) with exposure and ritual prevention (ERP) is widely accepted as the most effective psychological treatment for obsessive compulsive disorder (<e>OCD</e>). However, the extant literature and treatment manuals cannot fully address all the variations in client presentation, the diversity of ERP tasks, and how to negotiate the inevitable therapeutic challenges that may occur. Within this article, we attempt to address common difficulties encountered by therapists employing exposure-based therapy in areas related to: 1) when clients fail to habituate to their anxiety, 2) when clients misjudge how much anxiety an exposure will actually cause, 3) when incidental exposures happen in session, 4) when mental or covert rituals interfere with treatment, and 5) when clients demonstrate exceptionally high sensitivities to anxiety. The goal of this paper is to bridge the gap between treatment theory and practical implementation issues encountered by therapists providing CBT for OCD.",M1
20402454,"The Brazilian Portuguese version of the Saving Inventory-Revised: internal consistency, test-retest reliability, and validity of a questionnaire to assess hoarding.Pathological hoarding results in clutter that precludes normal activities and creates distress or dysfunction. It may lead to an inability to complete household functions, health problems, social withdrawal, and even death. The aim of this study was to describe the validation of the Brazilian version of the hoarding assessment instrument, the Saving Inventory-Revised. Sixty-five patients with obsessive-compulsive disorder (<e>OCD</e>) and 70 individuals from the community were assessed using the Structured Clinical Interview for the Diagnosis of DSM-IV (clinical sample), the Saving Inventory-Revised, the Obsessive-Compulsive Inventory-Revised, the Beck Depression Inventory, and the Beck Anxiety Inventory. The Brazilian version of the Saving Inventory-Revised exhibited high internal consistency (Cronbach's alpha = .94 for OCD and .84 for controls), high to moderate test-retest reliability and, using the hoarding dimension of the Obsessive-Compulsive Inventory-Revised as a reference point, high to moderate convergent validity. The Saving Inventory-Revised total scores also correlated significantly with comorbid anxiety and depressive symptoms.",M1
20399341,"A case-control study of sex differences in strategic processing and episodic memory in obsessive-compulsive disorder.Although clinical and genetic data for obsessive-compulsive disorder (<e>OCD</e>) support the hypothesis of sexual dimorphism, the neuropsychological findings remain inconclusive. The aim of our study was to determine whether there are differences in cognitive performance between men and women with OCD as compared with healthy controls (HCs). A neuropsychological battery was administered to 50 patients with OCD (31 men and 19 women) and 50 HCs matched by sex, age, and educational level with patients. We evaluated intelligence, attention, episodic memory, and use of organizational strategies during encoding of verbal and nonverbal information. Male patients scored worse than controls did in measures of nonverbal memory tasks, whereas the cognitive performance of women with OCD was consistent with that of their HC counterparts. These results suggest a distinct pattern of cognitive dysfunction specific to the patients' sex.",M1
20399339,"Impact of obsessive-compulsive disorder comorbidity on the sociodemographic and clinical features of patients with bipolar disorder.BACKGROUND: In this study, our aim is to determine the prevalence rates of obsessive-compulsive disorder (<e>OCD</e>) comorbidity and to assess the impact of OCD comorbidity on the sociodemographic and clinical features of patients with bipolar disorder (BD). METHODS: Using the Yale-Brown Obsessive Compulsive Scale Symptom Checklist and Structured Clinical Interview for Diagnostic and Statistical Manual of Mental Disorders, Fourth Edition-IV/Clinical Version on bipolar patients, 2 groups, BD with OCD comorbidity (BD-OCD) and BD without OCD comorbidity, were formed. These groups were compared for sociodemographic and clinical variables. RESULTS: Of 214 patients with BD, 21.9% of them had obsession and/or compulsion symptoms and 16.3% had symptoms at the OCD level. Although there was no statistically significant difference between the frequency of comorbid OCD in BD-I (22/185, 11.9%) and BD-II (3/13, 23.1%) patients, but OCD was found to be significantly high in BD not otherwise specified (10/16, %62.5) patients than BD-I (P &lt; .001) and BD-II (P = .03). Six patients (17.1%) of the BD-OCD group had chronic course (the presence of at least 1 mood disorder episode with a duration of longer than 2 years), whereas the BD without OCD group had none, which was statistically significant. There were no statistically significant differences between BD-OCD and BD without OCD groups in terms of age, sex, education, marital status, polarity, age of BD onset, presence of psychotic symptoms, presence of rapid cycling, history of suicide attempts, first episode type, and predominant episode type. LIMITATIONS: Main limitation of our study was the assessment of some variables based on retrospective recall. CONCLUSIONS: Our study confirms the high comorbidity rates for OCD in BD patients. Future studies that examine the relationship between OCD and BD using a longitudinal design may be helpful in improving our understanding of the mechanism of this association.",M1
