@RELATION C0079941_C0013570

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20479244,"A viral assembly factor promotes AAV2 capsid formation in the nucleolus.The volume available in icosahedral virus capsids limits the size of viral genomes. To overcome this limitation, viruses have evolved strategies to increase their coding capacity by using more than one <e>ORF</e> while keeping the genome length constant. The assembly of virus capsids requires the coordinated interaction of a large number of subunits to generate a highly ordered structure in which the viral genome can be enclosed. To understand this process, it is essential to know which viral and nonviral components are involved in the assembly reaction. Here, we show that the adeno-associated virus (AAV) encodes a protein required for capsid formation by means of a nested, alternative ORF of the cap gene. Translation is initiated at a nonconventional translation start site, resulting in the expression of a protein with a calculated molecular weight of 23 kDa. This protein, designated assembly-activating protein (AAP), is localized in the host cell nucleolus, where AAV capsid morphogenesis occurs. AAP targets newly synthesized capsid proteins to this organelle and in addition fulfils a function in the assembly reaction itself. Sequence analysis suggests that also all other species of the genus Dependovirus encode a homologous protein in their cap gene. The arrangement of different ORFs that encode capsid proteins and an assembly factor within the same mRNA facilitates a timely coordinated expression of the components involved in the assembly process.",M1
20455466,"[Study of coding sequences of variable regions in smallpox virus genome]Potential <e>ORFs</e> were sought in the extended segments of terminal variable regions in the variola virus genome. These ORFs underwent a detailed structural and functional analysis and were compared both between themselves and with homologous ORFs of various orthopoxviruses. The most conservative and heterogeneous ORFs of 70 VARV strains were detected. The unique for VARV ORF (111 a.a) was revealed for Helder and Mary strains of the Russian collection. In addition, only in the Helder strain, ORF D14L was disintegrated into two separate ORFs. A number of ambiguities were found in the current databases for VARV ORF. The dominating type of evolution was ascertained to be stabilizing selection for analyzed ORF. It has been established that VARV ORF C3L, unlike other poxviral orthologs, undergoes an adaptive selection. These findings suggest that this gene plays an important role in human VARV adaptation.",M1
20455463,"[Integration of influenza A virus NSP gene into baculovirus genome and its expression in insect cells]Segment NS in all human influenza A viruses and in the part of avian and animal ones was found to contain an additional (beside NS1 and NEP) long open reading frame (<e>ORF</e>) enabling to code a polypeptide of 18-26 kD in different strains. This ORF, in contrast to the NS1 and NEP, locates in positive sense orientation in the negative polarity genomic NS RNA segment and the encoded protein is referred NSP (Negative Strand Protein). Here, the NSP gene of human influenza A/WSN/33 (H1N1) virus was inserted into genomic DNA of baculovirus (insect nuclear polyhedrosis virus) and insect H5 cells (ovary cell line of Trichoplusia ni) were infected with the obtained chimeric virus. The NSP gene appeared to express 19 kD polypeptide which was intracellularly stable and accumulated predominantly in the cytoplasm of infected H5 cells. These data indicate that the NSP gene possesses sense sequence which is able to direct a physiological synthesis of stable protein in eukaryotic cells.",M1
20427513,"Translational repression by PUF proteins in vitro.PUF (Pumilio and FBF) proteins provide a paradigm for mRNA regulatory proteins. They interact with specific sequences in the 3' untranslated regions (UTRs) of target mRNAs and cause changes in RNA stability or translational activity. Here we describe an in vitro translation assay that reconstitutes the translational repression activity of canonical PUF proteins. In this system, recombinant PUF proteins were added to yeast cell lysates to repress reporter mRNAs bearing the 3'UTRs of specific target mRNAs. PUF proteins from Saccharomyces cerevisiae and Caenorhabditis elegans were active in the assay and were specific by multiple criteria. Puf5p, a yeast PUF protein, repressed translation of four target RNAs. Repression mediated by the HO 3'UTR was particularly efficient, due to a specific sequence in that 3'UTR. The sequence lies downstream from the PUF binding site and does not affect PUF protein binding. PUF-mediated repression was sensitive to the distance between the <e>ORF</e> and the regulatory elements in the 3'UTR: excessive distance decreased repression activity. Our data demonstrate that PUF proteins function in vitro across species, that different mRNA targets are regulated differentially, and that specific ancillary sequences distinguish one yeast mRNA target from another. We suggest a model in which PUF proteins can control translation termination or elongation.",M1
20361666,"[Differentiation of geographic biovariants of smallpox virus by PCR]Comparative analysis of amino acid and nucleotides sequences of <e>ORFs</e> located in extended segments of the terminal variable regions in variola virus genome detected a promising locus for viral genotyping according to the geographic origin. This is ORF O1L of VARV. The primers were calculated for synthesis of this ORF fragment by PCR, which makes it possible to distinguish South America-Western Africa genotype from other VARV strains. Subsequent RFLP analysis reliably differentiated Asian strains from African strains (except Western Africa isolates). This method has been tested using 16 VARV strains from various geographic regions. The developed approach is simple, fast and reliable.",M1
20348260,"Negative regulation of expression of the nitrate assimilation nirA operon in the heterocyst-forming cyanobacterium Anabaena sp. strain PCC 7120.In the filamentous, heterocyst-forming cyanobacterium Anabaena sp. strain PCC 7120, expression of the nitrate assimilation nirA operon takes place in the absence of ammonium and the presence of nitrate or nitrite. Several positive-action proteins that are required for expression of the nirA operon have been identified. Whereas NtcA and NtcB exert their action by direct binding to the nirA operon promoter, CnaT acts by an as yet unknown mechanism. In the genome of this cyanobacterium, open reading frame (<e>ORF</e>) all0605 (the nirB gene) is found between the nirA (encoding nitrite reductase) and ntcB genes. A nirB mutant was able to grow at the expense of nitrate as a nitrogen source and showed abnormally high levels of nirA operon mRNA both in the presence and in the absence of nitrate. This mutant showed increased nitrate reductase activity but decreased nitrite reductase activity, an imbalance that resulted in excretion of nitrite, which accumulated in the extracellular medium, when the nirB mutant was grown in the presence of nitrate. A nirA in-frame deletion mutant also showed a phenotype of increased expression of the nirA operon in the absence of ammonium, independent of the presence of nitrate in the medium. Both NirB and NirA are therefore needed to keep low levels of expression of the nirA operon in the absence of an inducer. Because NirB is also needed to attain high levels of nitrite reductase activity, NirA appears to be a negative element in the nitrate regulation of expression of the nirA operon in Anabaena sp. strain PCC 7120.",M1
20233419,"Characterization of the ovine ribosomal protein SA gene and its pseudogenes.BACKGROUND: The ribosomal protein SA (RPSA), previously named 37-kDa laminin receptor precursor/67-kDa laminin receptor (LRP/LR) is a multifunctional protein that plays a role in a number of pathological processes, such as cancer and prion diseases. In all investigated species, RPSA is a member of a multicopy gene family consisting of one full length functional gene and several pseudogenes. Therefore, for studies on RPSA related pathways/pathologies, it is important to characterize the whole family and to address the possible function of the other RPSA family members. The present work aims at deciphering the RPSA family in sheep. RESULTS: In addition to the full length functional ovine RPSA gene, 11 other members of this multicopy gene family, all processed pseudogenes, were identified. Comparison between the RPSA transcript and these pseudogenes shows a large variety in sequence identities ranging from 99% to 74%. Only one of the 11 pseudogenes, i.e. RPSAP7, shares the same open reading frame (<e>ORF</e>) of 295 amino acids with the RPSA gene, differing in only one amino acid. All members of the RPSA family were annotated by comparative mapping and fluorescence in situ hybridization (FISH) localization. Transcription was investigated in the cerebrum, cerebellum, spleen, muscle, lymph node, duodenum and blood, and transcripts were detected for 6 of the 11 pseudogenes in some of these tissues. CONCLUSIONS: In the present work we have characterized the ovine RPSA family. Our results have revealed the existence of 11 ovine RPSA pseudogenes and provide new data on their structure and sequence. Such information will facilitate molecular studies of the functional RPSA gene taking into account the existence of these pseudogenes in the design of experiments. It remains to be investigated if the transcribed members are functional as regulatory non-coding RNA or as functional proteins.",M1
20228577,"Cloning of a 9-cis-epoxycarotenoid dioxygenase gene and the responses of Caragana korshinskii to a variety of abiotic stresses.Abscisic acid (ABA) regulates plant adaptive responses to various environmental stresses. Oxidative cleavage of cis-epoxycarotenoids catalyzed by 9-cis-epoxycarotenoid dioxygenase (NCED) is the main regulatory step in the biosynthesis of ABA in higher plants. Using RACE technology, a full-length cDNA-encoding NCED gene was isolated and characterized from the leaves of Caragana korshinskii (Peashrub). The 2442-bp full-length CkNCED1 had a 1818-bp <e>ORF</e>, which encodes a peptide of 605 amino acids. The deduced amino acid sequence of CkNCED1 protein shared high identity with other NCEDs. Southern blot analysis revealed that the gene CkNCED1 was a single copy in the genome of C. korshinskii. When C. korshinskii plants were exposed to a water deficit, ABA accumulation was followed by large increases in CkNCED1 mRNA in leaves and stems, but only a moderate increase in the roots. Conversely, rehydration of stressed leaves caused a rapid decrease in CkNCED1 mRNA and ABA levels. RT-PCR and Quantitative real-time PCR analysis showed that salt stress rapidly induced the strong expression of CkNCED1 in leaves and roots of C. korshinskii, as well as ABA accumulation. The expression of CkNCED1 and ABA accumulation was also induced by cold stress and the application of exogenous ABA. Taken together, these results suggest that CkNCED1 likely plays a primary role in the biosynthesis of ABA in C. korshinskii.",M1
20221838,"Complete genomic sequence of a Tobacco rattle virus isolate from Michigan-grown potatoes.Tobacco rattle virus (TRV) causes stem mottle on potato leaves and necrotic arcs and rings in potato tubers, known as corky ringspot disease. Recently, TRV was reported in Michigan potato tubers cv. FL1879 exhibiting corky ringspot disease. Sequence analysis of the RNA-1-encoded 16-kDa gene of the Michigan isolate, designated MI-1, revealed homology to TRV isolates from Florida and Washington. Here, we report the complete genomic sequence of RNA-1 (6,791 nt) and RNA-2 (3,685 nt) of TRV MI-1. RNA-1 is predicted to contain four open reading frames, and the genome structure and phylogenetic analyses of the RNA-1 nucleotide sequence revealed significant homologies to the known sequences of other TRV-1 isolates. The relationships based on the full-length nucleotide sequence were different from than those based on the 16-kDa gene encoded on genomic RNA-1 and reflect sequence variation within a 20-25-aa residue region of the 16-kDa protein. MI-1 RNA-2 is predicted to contain three <e>ORFs</e>, encoding the coat protein (CP), a 37.6-kDa protein (ORF 2b), and a 33.6-kDa protein (ORF 2c). In addition, it contains a region of similarity to the 3' terminus of RNA-1, including a truncated portion of the 16-kDa cistron. Phylogenetic analysis of RNA-2, based on a comparison of nucleotide sequences with other members of the genus Tobravirus, indicates that TRV MI-1 and other North American isolates cluster as a distinct group. TRV M1-1 is only the second North American isolate for which there is a complete sequence of the genome, and it is distinct from the North American isolate TRV ORY. The relationship of the TRV MI-1 isolate to other tobravirus isolates is discussed.",M1
20209896,"[Cloning and characterization of geranylgeranyl diphosphate synthase gene of Salvia miltiorrhia]OBJECTIVE: To obtain geranylgeranyl diphosphate synthase gene of Salvia miltiorrhiza, and conduct bioinformatic and transcript expression analysis of the cloned SmGGPS1 gene. METHOD: The degenerate primers were designed based on the conservative regions of GGPS protein sequences from public databases. The target gene was obtained from root of S. miltiorrhiza by use of homologous cDNA amplification and RACE technologies. The sequence alignment was performed using BLAST. The open reading frame was identified by use of the <e>ORF</e> Finder. The protein domains were defined by use of Prosite software and the signal peptide sequence was predicted by Target P1.1. MEGA4.0 was used to conduct multiple amino acid sequence alignment and construct the phylogenetic tree. Roots and leaves at the seedlings stage and roots, stems, leaves, buds and flowers in the flowering stage were sampled for transcript analysis. Semi-quantitative RT-PCR was used to detect the gene expression level. The complete gene of GGPS was obtained from S. miltiorrhiza genomic DNA by PCR using the cDNA-derived specific primer. The gene structure of GGPS was analyzed by comparison of the genomic DNA and its cDNA. RESULT: The obtained 1 298 bp SmGGPS1 cDNA sequence contains an 1095 bp ORF, encoding 364 amino acids. It is predicted that it has a plastid targeting signal peptide of approximately 52 amino acid at the N-terminal end. It is to believe that this is the polyprenyl synthetase signature, and nucleic acid sequence comparison revealed that SmGGPS1 ORF has more than 60% identity to the reported GGPS. RT-PCR semi-quantitative analysis showed that the gene expresses in the all tested tissues, and with much higher level of expression in the leaves in the flowering stage. SmGGPS1 has a 397 bp intron. CONCLUSION: For the first time the cloning of geranylgeranyl diphosphate synthase gene from S. miltiorrhiza was reported, and it provides a good basis for further functional study of SmGGPS1.",M1
