@RELATION C0033036_C0949780

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
19082196,"Electrocardiographic changes in patients with cutaneous leishmaniasis treated with systemic glucantime.INTRODUCTION: Antimonial compounds are regarded as the treatment of choice for cutaneous leishmaniasis (CL). Systemic administration of these drugs has some side effects including cardio toxicity and electrocardiogram (EKG) changes. The objective of our study was to evaluate EKG changes in the patients with CL treated with systemic glucantime. MATERIALS AND METHODS: One hundred and thirty-one patients were enrolled in this prospective study. All of the selected patients had confirmed CL and were candidates for treatment with systemic glucantime. The patients were treated with systemic glucantime and EKG was performed before, during (weekly) and 1 month after cessation of the treatment. All of the collected data were analysed using SPSS software. RESULTS: The most common change was prolonged QT interval that was seen in 19% of the patients. ST depression occurred in 6.1% of the patients. Minimal ST elevation occurred in 3% and inverted T was observed in 7.4% of the patients. Single premature atrial contraction (<e>PAC</e>) and single premature ventricular contraction (PVC) occurred in 0.7% and 2.29% of patients, respectively. Bradycardia was observed in 10.6% and left bundle branch block in 0.7% of the patients. All of these changes reversed after stopping the treatment except 1 case with left bundle branch block that lasted for 1 month after the treatment. CONCLUSIONS: Our results showed that treatment with glucantime can induce many ECG changes as QT prolongation have significant risk. We suggest that ECG monitoring should be performed in high-risk patients undergoing glucantime treatment with special attention to ECG changes mostly prolonged QT interval.",M1
18777737,"[Fetal arrhythmias: premature atrial contractions and supraventricular tachycardia]Fetal arrhythmias form a complicating factor in 1-2% of all pregnancies and in 10% of those cases morbidity or even mortality is encountered. The most frequent occurring arrhythmias are premature atrial contractions (<e>PAC</e>). These are usually benign phenomena which resolve spontaneously, but require some follow-up to exclude the development of supraventricular tachycardias (SVT). SVTs are rare but are frequently complicated by fetal congestive heart failure or even fetal death. Timely prenatal pharmacotherapeutic intervention is generally advised to return to an adequate heart rate, preferably sinus rhythm. This study reports on the local experience with these forms of pathologies: of the 26 fetuses encountered with PAC or/and SVT between 2003 and 2005, none experienced serious complications, while 6 required pharmacotherapeutic intervention with sotalol.",M1
18577814,"ECG-edit function in multidetector-row computed tomography coronary arteriography for patients with arrhythmias.BACKGROUND: ECG-gating is necessary for cardiac computed tomography, but is not suitable for arrhythmias, so the aim of this study was to evaluate the usefulness of the ECG-edit function for this purpose. METHODS AND RESULTS: Of 1,221 patients undergoing 64-row multidetector-row computed tomography coronary angiography (coronary MDCT), 123 patients (28 atrial fibrillation (Af), 39 premature atrial contractions (<e>PAC</e>), 42 premature ventricular contractions (PVC), 3 PAC + PVC, 10 sinus arrhythmias (SA), and a second-degree atrioventricular block (2 degrees AVB)) had arrhythmias necessitating the ECG-edit function. Short R-R interval was deleted and mid-diastolic phases were selected from the long R-R intervals using the  R+absolute time  method. In the present study, the reconstructed images were evaluated using a triple-grade scale A-C, representing excellent, acceptable, and unacceptable image quality. Image quality, categorized as A, B and C, respectively, was 50%, 36% and 14% for the 28 patients with Af; 56%, 36% and 8% for the 39 PAC patients, and 65%, 33% and 2% in the 42 PVC patients. None of the scans of the PAC + PVC, SA, and 2 degrees AVB patients was ranked as C. CONCLUSIONS: The ECG-edit function is useful for reconstructing coronary MDCT images in many arrhythmias, and provides clinically acceptable images in most cases.",M1
17478949,"[Characterizations of atrial contractions triggering paroxysmal atrial fibrillation and the effect of atrial fibrillation prevention pacing]OBJECTIVE: To evaluate the electrocardiographic characterizations of atrial contractions(AC) triggering paroxysmal atrial fibrillation(AF), and to explore the effects of AF prevention pacing on their electrocardiographic characterizations. METHODS: Twenty-four patients with the implantation of AF therapy pacemaker(Vitatron 900E) were analyzed by AC triggering paroxysmal AF with Holter monitoring in the study. AC compluing interval, compensatory pause and frequency 2 minutes before the AF or during the AC were compared between the induced paroxysmal AF group and noinduced paroxysmal AF group, and the preventive effect of AF on the post-<e>PAC</e> response program was investigated. RESULTS: There was significant difference in the AC compluing interval [(352.3 +/-30.4) vs (421.8 42.5)ms], compensatory pause [(963 +/-109) vs (733 +/-124) ms], and frequency [(34.8 +/-18.9) vs (12.7 +/-8.7)/min] 2 minutes before the AF or during the AC in the induced paroxysmal AF group, compared with those in the noinduced paroxysmal AF group (all P&lt;0.05). The AF of 7 patients were controlled by atrial overdrive pacing therapy, 17 patients by post-AC-response or/and post-exercise control therapy, 6 patients by the above therapy combining with cordarone (0.2g/d). CONCLUSION: AC triggering paroxysmal AF is related to the compluing interval, compensatory pause and frequency 2 minutes before the paroxysmal AF or during the AC, AF prevention pacing may be helpful for the paroxysmal AF induced by AC.",M1
16731470,"Identification of  substrate fibrillators  and  trigger fibrillators  by pacemaker diagnostics.BACKGROUND: The population of patients likely to respond to selected pacing algorithms for maintenance of sinus rhythm is unknown. OBJECTIVES: The purpose of this study was to identify patients with specific onset patterns of paroxysmal atrial fibrillation (AF). METHODS: Dual-chamber pacemakers with advanced diagnostic functions were implanted in 112 patients with conventional indications for antibradycardia pacing and a history of paroxysmal AF. Pacemaker diagnostic data were analyzed after 97.5 +/- 40.9 days. According to the frequency of premature atrial contractions (<e>PACs</e>) during the 5 minutes before AF onset, patients were assigned to one of three groups: group A (high PAC activity), group B (moderate PAC activity), or group C (low PAC activity). RESULTS: AF burden was lower in group A (4.6% +/- 2.4%) than group B (15.8% +/- 3.0%, P = .003) and group C (15.5% +/- 3.1%, P = .003). Fewer AF episodes occurred in group A (2.1 +/- 1.3 per day) than group B (3.8 +/- 1.2 per day, P = .006). Mean AF episode duration was shorter in group A (11.4 +/- 10.2 hours) than group C (41.4 +/- 27.5 hours, P = .03). CONCLUSION: The coincidence of low PAC activity before AF onset, high AF burden, and extended arrhythmia episode duration appears to be the consequence of a high atrial substrate factor. In these  substrate fibrillators,  the efficacy of pacing algorithms for maintenance of sinus rhythm may be limited. In contrast,  trigger fibrillators  exhibiting low AF burden despite high PAC incidence may represent the target population for specific PAC-suppressing pacing algorithms.",M1
16635992,"Supraventricular ectopy and recurrence of atrial fibrillation after electrical cardioversion.AIMS: Paroxysmal atrial fibrillation (AF) is usually preceded by a premature atrial complex (<e>PAC</e>). We hypothesized that patients with a high frequency of atrial ectopic activity after restoration of sinus rhythm following direct current cardioversion would be more likely to experience recurrence of AF. METHODS AND RESULTS: Forty-four patients with documented persistent AF were studied. A 24 h Holter recording was performed from the day of external direct current cardioversion. Patients were reviewed at 1 week, 1 month, and 6 months. After 6 months, 59% of patients had experienced a recurrence of AF. Neither the frequency of PACs nor the frequency or duration of supraventricular tachycardia (SVT) episodes predicted AF recurrence (P=0.60, 0.30, and 0.42, respectively). There was a trend towards maximum rate of SVT predicting recurrence of AF (P=0.08). CONCLUSION: Frequency of supraventricular ectopy or the number and length of SVT runs in the 24 h after restoration of sinus rhythm are not strong predictors of recurrence of AF after electrical cardioversion. A larger study would be required to detect a small predictive effect.",M1
16627441,"Onset mechanism of paroxysmal atrial fibrillation detected by ambulatory Holter monitoring.AIMS: The aim of this study was to evaluate the mechanisms of induction of paroxysmal atrial fibrillation (PAF) by analysis of its onset recorded on Holter monitoring (HM). METHODS AND RESULTS: One hundred and seven HM were evaluated in 90 patients (mean age 67.7, cardiac disease in 31.1%), with one or more self-terminating episodes of PAF, lasting &gt;or=30 s. Two hundred and thirty-three episodes of PAF were detected. A triggering premature atrial complex (<e>PAC</e>) was present in 222/233 episodes (95.3%); 118/233 episodes were preceded by a bradyarrhythmic event (BE) or a post-extrasystolic pause (50.6%). According to the polarity of the ectopic P-wave, triggering PACs were left atrial origin in 74.3%, right atrial in 15.3%, not determined in 10.4% of cases. Coupling interval (CI) of triggering PACs was shorter in episodes preceded by BEs; it was shorter than that of non-triggering PACs. Frequency of PACs was significantly higher in the hour preceding the onset of PAF. During the day, three periods of higher frequency of PAF onsets were found from noon to 2 p.m., 6 p.m. to 2 a.m., and 4 a.m. to 6 a.m. Heart rate variability analysis showed a vagal prevalence in the 5 min preceding the onset of arrhythmia, both in the time and in the frequency domain. CONCLUSION: Paroxysmal atrial fibrillation is generally triggered by a PAC, with left atrial origin in two-thirds of cases: CI and neuroendocrine balance are factors affecting the induction of the arrhythmia.",M1
16195623,"Premature atrial complex with P'R prolongation indicates multiple atrioventricular nodal pathways.BACKGROUND: The goal of the present study was to test if ambulatory Holter recordings can predict the electrophysiologic study (EPS) findings in patients with supraventricular tachycardia (SVT). METHODS AND RESULTS: The study involved 110 patients with SVT who underwent Holter recording, and then EPS. The hypotheses were that (1) a P'R interval of premature atrial complexes (<e>PACs</e>) between 280 and 400 ms in the Holter recordings predicted dual atrioventricular nodal (AVN) pathways, (2) P'R interval &gt;400 ms predicted triple or more AVN pathways, and (3) SVT initiated by a single PAC suggested easy SVT induction during the EPS. The EPS revealed dual AVN pathways in 14 (93%) of 15 patients with P'R intervals between 280 and 400 ms on the Holter recordings, and triple or more AVN pathways in 18 (90%) of 20 patients with P'R intervals &gt;400 ms. In addition, a single extrastimulus easily induced SVT during the EPS in 11 (85%) of 13 patients in whom SVT was initiated by a single PAC during Holter recording. CONCLUSION: The ambulatory Holter recording criteria specifically predicted the EPS findings, thereby providing useful advance information.",M1
15881235,"[The relationship between supraventricular arrhythmia after coronary artery bypass grafting and autonomic nerve system]We evaluated the relationship between supraventricular arrhythmia after coronary artery bypass grafting (CABG) and autonomic nerve system. Holter electrocardiogram was recorded in 57 postoperative patients. The heart rate variability was analyzed in 25 premature atrial contraction (<e>PAC</e>) cases and 4 atrial fibrillation (AF) cases. Sixty minutes just before the onset of PAC/AF were devided into 12 equal parts, and NN 50, RMSSD, HF, LF/HF were measured respectively. NN 50, RMSSD and HF were each used as an indicator to show the parasympathetic nerve (PSN) activity, and LF/HF as an indicator to show the sympathetic nerve (SN) activity. The mean value of the former 6 parts was compared to that of the latter 6 parts. As for 25 PAC cases, PAC occurred under the dominance of PSN in 30% of the cases, under the dominance of SN in 10% of the cases and under the balanced condition of both nerves in 60% of the cases. As for 4 AF cases, AF occurred under the parasympathetic condition in 3 cases and under the sympathetic condition in 1 case. These results show that supraventricular arrhythmia after CABG is associated with PSN system.",M1
15534799,"Potential role of body surface ECG mapping for localization of atrial fibrillation trigger sites.Catheter ablation has revolutionized the clinical management of atrial fibrillation (AF) by offering a curative treatment option for this highly prevalent arrhythmia. Ablation therapy is aimed at electrical isolation of the pulmonary veins (PVs) as a means to prevent rapidly firing focal activation within the PVs from penetrating into the left atrium (LA) and initiate reentrant wavelet propagation. However, non-PV AF trigger sites may be present and lead to unsuccessful ablation or post-ablation AF recurrences. Infrequent trigger firing and the difficulty or inability to induce focal trigger activity in the electrophysiology laboratory limits invasive catheter-based mapping of non-PV trigger sites. Identification of AF trigger sites using the surface electrocardiogram (ECG) P wave morphology is feasible but conventional 12-lead scalar recordings do not offer the resolving power to provide discrete regional localization to potentially target catheter ablation. The present paper includes a review of preliminary clinical data on the use of a 65-lead ECG mapping system (Resolution Medical, Inc) for the non-invasive localization of AF trigger sites. This method utilizes a unique previously developed reference database of 34 mean paced P wave integral map patterns which are each specific to activation arising from a discrete segment in the LA and right atrium (RA). Trigger site localization is obtained by matching the P wave integral map morphology of a premature atrial contraction (<e>PAC</e>) with the reference database of 34 mean paced P wave integral map patterns.",M1
