@RELATION C0037019_C0032172

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
16772807,"Neuropharmacologic distinction of neurogenic orthostatic hypotension syndromes.BACKGROUND: Neurogenic orthostatic hypotension (OH) characterizes pure autonomic failure (<e>PAF</e>), multiple system atrophy (MSA), and Parkinson disease (PD) with autonomic failure. We used neuropharmacologic probes that might distinguish these diseases based on loss of sympathetic noradrenergic nerves in PAF and PD + OH but not in MSA, and related the results to neurochemical and neuroimaging findings in the same patients. METHODS: Patients with neurogenic OH (PD + OH; N = 35), MSA (N = 41), and PAF (N = 12) received iv trimethaphan (TRI), which inhibits sympathetic nerve traffic, or yohimbine (YOH), which stimulates sympathetic traffic. Dependent measures included blood pressure, plasma norepinephrine (NE) levels, and interventricular septal myocardial radioactivity after iv injection of the sympathoneural imaging agent, 6-[F]fluorodopamine. RESULTS: The PD + OH and PAF groups had smaller pressor responses to YOH (12 +/- 8 and 13 +/- 1 mm Hg) and depressor responses to TRI (-14 +/- 8 and -17 +/- 7 mm Hg) than did the MSA group (43 +/- 8 mm Hg, -57 +/- 8 mm Hg; P = 0.01, P = 0.03). The PD + OH and MSA groups did not differ in NE responses to YOH and TRI. The depressor response to TRI, the pressor response to YOH, and the blood pressure difference between YOH and TRI all correlated positively with myocardial 6-[F]fluorodopamine-derived radioactivity. CONCLUSIONS: The PD + OH resembles PAF and differs from MSA in hemodynamic responses to drugs that alter NE release from sympathetic nerves. The results fit with sympathetic noradrenergic denervation in PD + OH and PAF but not in MSA.",M1
16438986,"Cerebral vasomotor reactivity in Parkinson's disease, multiple system atrophy and pure autonomic failure.Parkinson's disease (PD), multiple system atrophy (MSA) and pure autonomic failure (<e>PAF</e>) are neurodegenerative disorders frequently associated with orthostatic hypotension and syncope, though with different underlying mechanisms. Cerebral hemodynamic responses in these three neurodegenerative diseases are still incompletely studied and it is possible that they would be differentially affected. We measured blood flow velocity (BFV) in the middle cerebral artery (MCA) and vertebral artery (VA) in patients with these disorders and investigated whether cerebral vasomotor reactivity (VMR) differs in these three disorders. Twenty-four patients (9 with PD, 10 with MSA and 5 with PAF) were studied. VMR was assessed in the MCA and VA, using transcranial Doppler (TCD) and Diamox test (injection of 1 g acetazolamide i.v.) with the patients in a recumbent position. The percent difference between BFV before and after acetazolamide injection was defined as VMR% and the results were compared by ANOVA. The mean MCA and VA blood flow velocities were similar in the three disorders and within normal limits for our laboratory. The mean MCA VMR values were 37.5+/-24.0%, 27.9+/-28.0% and 38.0+/-33.9% in PD, MSA and PAF, respectively. The VA VMR values were 22.9+/-23.6%, 32.4+/-38.0% and 18.9+/-18.3%, respectively, with no significant differences between the groups. We conclude that BFV is normal in PD, MSA and PAF and that the VMR, as investigated by TCD and the Diamox test, did not disclose differences in cerebral vasomotor responses between these conditions.",M1
16269589,"Cardiac and extracardiac sympathetic denervation in Parkinson's disease with orthostatic hypotension and in pure autonomic failure.The uptake of 6-(18)F-fluorodopamine by cardiac noradrenergic nerves enables visualization of the sympathetic innervation of the left ventricular myocardium by PET. Patients with Parkinson's disease (PD) and orthostatic hypotension (OH) (PD+OH) or with pure autonomic failure (<e>PAF</e>) have markedly decreased myocardial 6-(18)F-fluorodopamine-derived radioactivity, consistent with cardiac sympathetic denervation, a phenomenon that neurochemical, neuropharmacologic, and, most recently, postmortem neuropathologic studies have confirmed. In this study, we examined whether 6-(18)F-fluorodopamine can visualize sympathetic innervation in extracardiac organs and, if so, whether patients with PD+OH or PAF have neuroimaging evidence of extracardiac noradrenergic denervation. METHODS: To validate the method, healthy volunteers underwent 6-(18)F-fluorodopamine scanning of the head, thorax, and abdomen, with or without treatment with desipramine to block sympathoneural uptake of catecholamines. (13)N-Ammonia scanning was used to address possible group differences in 6-(18)F-fluorodopamine delivery by blood perfusion. RESULTS: Desipramine treatment was associated with decreased 6-(18)F-fluorodopamine-derived radioactivity in the heart, renal cortex, and thyroid gland but not in the liver, spleen, renal pelvis, or salivary glands. Both the PD+OH group and the PAF group had decreased 6-(18)F-fluorodopamine-derived radioactivity in the heart (P &lt; 0.0001) and renal cortex (P = 0.02 and P = 0.005, respectively). The PD+OH group also had decreased radioactivity in the thyroid gland (P = 0.01). Neither group had decreased radioactivity in the other organs, after correction for (13)N-ammonia-derived radioactivity. CONCLUSION: 6-(18)F-Fluorodopamine scanning visualizes sympathetic innervation in the heart, renal cortex, and thyroid gland. Both PD+OH and PAF involve decreased noradrenergic innervation that is most prominent in the heart but is also detectable in extracardiac organs.",M1
15548493,"The effects of water ingestion on orthostatic hypotension in two groups of chronic autonomic failure: multiple system atrophy and pure autonomic failure.BACKGROUND: Oral ingestion of water increases seated blood pressure in patients with chronic autonomic failure by mechanisms that remain unclear. As orthostatic hypotension is common in chronic autonomic failure, and is not always adequately controlled by medication, the potential benefits of water ingestion on standing blood pressure were studied in two types of autonomic failure: multiple system atrophy (MSA), in which the lesion is central and pre-ganglionic, and pure autonomic failure (<e>PAF</e>), in which the lesion is post-ganglionic. METHODS: In 14 patients with autonomic failure (seven PAF and seven MSA) standing blood pressure and heart rate were measured before, and 15 and 35 minutes after ingestion of 480 ml distilled water. Patients remained seated for 15 minutes after water ingestion, with beat to beat cardiovascular indices measured with the Portapres II device with subsequent Modelflow analysis. RESULTS: Standing prior to water ingestion caused a significant fall in blood pressure in all patients. After water ingestion there was a rise in seated blood pressure. Seated and standing blood pressure at 15 and 35 minutes after water ingestion was significantly higher than before water, with an improvement in orthostatic symptoms. The time to first significant rise in seated blood pressure occurred at 5 minutes post water ingestion in PAF and at 13 minutes in MSA. These increases were accompanied by increases in total peripheral resistance, reaching significance by 5 minutes in PAF and 13 minutes in MSA. There were no significant changes in cardiac output, stroke volume, or ejection fraction. CONCLUSIONS: Water is thus beneficial in improving standing BP in AF, acting within 15 minutes in both MSA and PAF. The earlier onset of the pressor effect in PAF may reflect the differing lesion site and underlying pathophysiology between these conditions.",M1
12707437,"Plasma levels of catechols and metanephrines in neurogenic orthostatic hypotension.BACKGROUND: Neurogenic orthostatic hypotension (NOH) usually results from deficient release of the sympathetic neurotransmitter norepinephrine (NE) when the patient stands up. In pure autonomic failure (<e>PAF</e>) and PD with NOH, sympathetic denervation can explain this deficiency, whereas in multiple-system atrophy (MSA), deficient baroreflex regulation of sympathetic traffic to intact terminals probably causes the NOH. From the concept of a unitary sympathoadrenomedullary system, one might predict parallel sympathoneural and adrenomedullary abnormalities in NOH. OBJECTIVE: To test the concept of parallel sympathoneural and adrenomedullary abnormalities in NOH by simultaneous measurements of plasma levels of catechols and metanephrines. METHODS: Antecubital venous blood drawn via an indwelling cannula with the subject supine was assayed for catecholamines (NE, epinephrine [EPI]), dihydroxyphenylglycol (DHPG), and metanephrines (normetanephrine [NMN] and metanephrine [MN]) in patients with PAF, PD + NOH, or MSA + NOH. Control subjects had PD lacking NOH or were normal volunteers at least 35 years old. Cardiac sympathetic innervation was assessed by 6-[18F]fluorodopamine PET scanning. RESULTS: The three NOH groups differed clearly in patterns of plasma catechols and metanephrines. The PAF group had low NE, DHPG, NMN, EPI, and MN levels, the group with MSA + NOH had generally normal levels, and the PD + NOH group low NMN levels and low DHPG levels for given NE levels but normal mean NE, EPI, and MN levels. All patients with PAF or PD + NOH had markedly decreased 6-[18F]fluorodopamine-derived radioactivity throughout the left ventricular myocardium; all patients with MSA + NOH had normal radioactivity. CONCLUSIONS: PAF involves generalized loss of sympathoadrenomedullary cells, MSA + NOH intact sympathoadrenomedullary cells, and PD + NOH intact adrenomedullary cells but organ-selective sympathetic denervation, especially in the heart.",M1
12390954,"Modulation of QT interval during autonomic nervous system blockade in humans.BACKGROUND: It is thought that the autonomic nervous system modulates QT interval, but traditional autonomic blockade combining propranolol and atropine has produced conflicting results. We used the alternative approach of interrupting neurotransmission at the level of autonomic ganglia to determine its effect on the QT interval. METHODS AND RESULTS: We infused trimethaphan at increasing doses (0.5 to 10 mg/min IV) while monitoring heart rate, heart rate variability spectra, QT interval, and blood pressure in 10 normal volunteers, 9 patients with multiple system atrophy (MSA), and 8 patients with pure autonomic failure (<e>PAF</e>). The QT interval was corrected for heart rate using Bazett's formula (QTc). Patients with PAF had very low heart rate variability and a prolonged QTc at baseline (465+/-8 ms) compared with patients with MSA (448+/-6 ms) and normal subjects (432+/-6 ms). In normal subjects, trimethaphan dose-dependently prolonged QTc (to 469+/-7 ms), decreased RR interval (995+/-45 to 670+/-35 ms), and abolished heart rate variability. In MSA patients, trimethaphan also prolonged QTc (to 463+/-7 ms) and reduced heart rate variability but did not significantly change RR interval (from 813+/-38 to 801+/-39). CONCLUSIONS: Autonomic blockade prolongs QT interval in normal subjects to a similar duration as in PAF patients. Furthermore, blocking residual autonomic tone in PAF patients is associated with a further increase in QT interval length. Patients with MSA have greater residual sympathetic tone and greater prolongation of the QT interval during ganglionic blockade than PAF patients.",M1
8899251,"Neurohumoral, peptidergic and biochemical responses to supine exercise in two groups with primary autonomic failure: Shy-Drager syndrome/multiple system atrophy and pure autonomic failure.The neurohumoral, peptidergic and biochemical responses to supine leg exercise were studied in two groups with primary autonomic failure: Shy-Drager syndrome (SDS, n = 15) and pure autonomic failure (<e>PAF</e>, n = 15), to determine if these accounted for exercise-induced hypotension and the greater blood pressure (BP) fall in PAF. Responses were compared to normal subjects (controls, n = 15), in whom BP rose with exercise. Resting plasma noradrenaline (NA) was higher in controls than SDS, and was lowest in PAF. With exercise, NA increased in controls, with a small rise in SDS, but no change in PAF. Resting plasma adrenaline (A) was higher in controls and SDS than PAF, with no change during exercise. Plasma dopamine was unrecordable at all stages in all groups. Resting plasma renin activity (PRA) was higher in controls than SDS and PAF, and was unchanged with exercise in all groups. Plasma insulin, C-peptide and serum growth hormone (GH) were similar at rest and with exercise in the three groups. Plasma glucose was higher at rest in SDS and PAF, and increased with exercise in all three groups. In conclusion, neither exercise-induced hypotension, nor the differences between SDS and PAF could be related to abnormalities in the release of A, PRA, insulin, glucose or GH. The abnormal NA response to exercise was consistent with the BP fall being due to inadequate compensatory sympathetic activity. In SDS, the small NA increase, in the presence of supersensitivity, may have reduced their BP fall as compared to PAF. These results suggest that impaired sympathetic neural activity is a key factor in exercise-induced hypotension.",M1
7675004,"[Autonomic failure as the cause of vertigo and syncope]BACKGROUND: Vertigo and syncope often occur during orthostatic conditions. A possible cause is asympathicotonic dysregulation with a fall of blood pressure and no increase in heart rate. After the exclusion of secondary disturbances of autonomic innervation. g. in diabetes mellitus, and pharmacological side effects, e.g. tricyclic antidepressants, primary reasons must be considered. We present 2 cases of primary autonomic failure. PATIENTS: Patient 1 had Parkinson-syndrome, impaired bladder function and orthostatic dysregulation with a maximal drop of blood pressure to 60/40 mm Hg. Patient 2 showed orthostatic dysregulation with a minimal blood pressure of 70/30 mm Hg without further symptoms, in a tilt table examination catecholamines were measured during orthostatic conditions. Patient 1 had normal, and patient 2 very low resting catecholamine plasma levels. Neither patient reacted with a rise of plasma catecholamines when tilted to an upright position. These findings are diagnostic of multiple system atrophy (MSA) in patient 1 and pure autonomic failure (<e>PAF</e>) in patient 2. DISCUSSION: In PAP only dysautonomic symptoms are found. It has a favourable prognosis. MSA consists of an autonomic dysregulation in combination with parkinsonism, cerebellary and bulbar symptoms, prognosis quo ad vitam is poor. Diagnosis is often established by a tilt table examination and radiology findings, and is often late. Treatment of both diseases consists of pharmacological, e.g. fludrocortisone, vasopressin analogues and ergotamine tartrate as well as non-pharmacological blood pressure stabilizing measures.",M1
7796074,"Postural hypotension enhanced by exercise in patients with chronic autonomic failure.The effect of supine exercise on blood pressure (BP), measured while recumbent and after head-up postural change, was investigated in three groups with marked postural hypotension due to chronic autonomic failure: 15 with associated neurological impairment (Shy-Drager syndrome, SDS, multiple system atrophy); 15 with pure autonomic failure (<e>PAF</e>) and two with a deficiency of the enzyme dopamine beta hydroxylase (DBH deficiency). Fifteen normal subjects were controls. In controls, exercise increased supine BP, and there was no postural fall before or after exercise. In SDS and PAF, however, exercise produced a substantial fall in BP, which was greater in PAF. In both groups, BP fell to a lower level on standing after than before exercise. In DBH deficiency, there was little change in BP with exercise, but BP fell to a lower level on standing after exercise. In all three groups with autonomic failure, there were more symptoms of postural hypotension on standing after exercise. The influence of exercise on both supine and postural BP, therefore, should be considered in the clinical and laboratory assessment of autonomic dysfunction.",M1
7602525,"Abnormal cardiovascular and catecholamine responses to supine exercise in human subjects with sympathetic dysfunction.1. The cardiovascular and catecholamine responses to supine leg exercise were measured in fifteen normal subjects (controls) and in three groups with sympathetic dysfunction: fifteen with central failure (Shy-Drager syndrome; SDS), fifteen with peripheral failure (pure autonomic failure; <e>PAF</e>) and two with isolated dopamine beta-hydroxylase deficiency (DBH deficiency). 2. With exercise, blood pressure increased in controls, fell markedly in SDS and PAF and was unchanged in DBH deficiency. After exercise, blood pressure rapidly returned to baseline in controls, but remained low in SDS and PAF. With exercise, heart rate increased more in controls than SDS or PAF; the response varied in DBH deficiency. 3. With exercise, cardiac output increased similarly in controls, SDS and PAF, with a larger increase in DBH deficiency. Vascular resistance fell less in controls than SDS, PAF and DBH deficiency. 4. With exercise, plasma noradrenaline increased in controls only; plasma adrenaline remained unchanged in all groups. In DBH deficiency, plasma noradrenaline and adrenaline were undetectable, but plasma dopamine was elevated and rose further with exercise. 5. Supine exercise substantially lowered blood pressure in sympathetic failure due to SDS and PAF. In DBH deficiency blood pressure was unchanged; this lack of fall may have been due to vasoconstriction induced by dopamine and other substances released from otherwise intact sympathetic terminals, or to preserved cardiac vagal function.",M1
