@RELATION C0429865_C0149576_C0078944_C0030625_C0030131

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2, M3, M4, M5}

@DATA
20537299,"Principal-component analysis for assessment of population stratification in mitochondrial medical genetics.Although inherited mitochondrial genetic variation can cause human disease, no validated methods exist for control of confounding due to mitochondrial population stratification (PS). We sought to identify a reliable method for PS assessment in mitochondrial medical genetics. We analyzed mitochondrial SNP data from 1513 European American individuals concomitantly genotyped with the use of a previously validated panel of 144 mitochondrial markers as well as the Affymetrix 6.0 (n = 432), Illumina 610-Quad (n = 458), or Illumina 660 (n = 623) platforms. Additional analyses were performed in 938 participants in the Human Genome Diversity Panel (HGDP) (Illumina 650). We compared the following methods for controlling for PS: haplogroup-stratified analyses, mitochondrial principal-component analysis (<e>PCA</e>), and combined autosomal-mitochondrial PCA. We computed mitochondrial genomic inflation factors (mtGIFs) and test statistics for simulated case-control and continuous phenotypes (10,000 simulations each) with varying degrees of correlation with mitochondrial ancestry. Results were then compared across adjustment methods. We also calculated power for discovery of true associations under each method, using a simulation approach. Mitochondrial PCA recapitulated haplogroup information, but haplogroup-stratified analyses were inferior to mitochondrial PCA in controlling for PS. Correlation between nuclear and mitochondrial principal components (PCs) was very limited. Adjustment for nuclear PCs had no effect on mitochondrial analysis of simulated phenotypes. Mitochondrial PCA performed with the use of data from commercially available genome-wide arrays correlated strongly with PCA performed with the use of an exhaustive mitochondrial marker panel. Finally, we demonstrate, through simulation, no loss in power for detection of true associations with the use of mitochondrial PCA.",M1
20506827,"[NMR-spectroscopy-based metabonomic approach to analysis of Siwutang, a novel prescription, treated blood deficiency in mice]OBJECTIVE: To discover the characteristic changes of metabolic profiles in C57 mice with cyclophosphamide induced blood deficiency and the effect of Siwutang. METHOD: An integrated metabonomic study using high-resolution 1H nuclear magnetic resonance (NMR) spectroscopy has been applied to investigate the metabolic profiles of serum, aqueous and lipidic extracts of thoracic gland, spleen, bone marrow obtained from control, model group (intraperitoneal injection of cyclophosphamide at a dose of 250 mg x kg(-1)) and Siwutang treated model group. The NMR spectra were integrated in segments of 0.04 ppm and then analyzed by principal component analysis (<e>PCA</e>) using SIMCA-P software to visualize the similarities and differences in metabolic profiles between these groups. RESULT: PCA result showed conspicuous difference in the metabolic profiles between groups. Compared with the control group, the model group contained lower concentration of lactate, 3-hydroxybutyrate, choline, glucose, and higher concentration of VLDL/LDL, leucine/isoleucine in serum. Lower concentration of taurine choline, Fbeta:RCH2CH2CO, Epi-coprostanol and lactate were found in both in thoracic gland extracts and spleen extracts. And in spleen extracts, we also found the lower concentration of 3-HB. In the extracts of bone marrow, the lower concentration of lactate, choline, glucosee were observed. When they were dosed with Siwutang 10 g x kg(-1) x d(-1) for 7 days, the effects above-mentioned were reversed. CONCLUSION: The injury established by injecting CTX is a kind of proper model to develop further metabonomics researches. The damage of mitochondria, disorder of energy metabolism and osmoregulation are observed in cyclophosphamide caused blood deficiency model by NMR-based-metabonomics method, and the Siwutang can improve these effects.",M1
20450408,"Dimension reduction in human functioning and disability outcomes research: graphical models versus principal components analysis.PURPOSE: The complexity of rehabilitation outcomes in terms of functioning and disability leads to the need for dimension reduction in relation to specific research or clinical problems. Several statistical procedures are at hand. This article examines whether and to what extent principal component analysis (<e>PCA</e>) and graphical models differ in the dimension reduction of data based on the International Classification of Functioning, Disability and Health (ICF). METHODS: Using a data set of 1048 persons with spinal cord injury from 14 different countries as a case in point, this article compares the solutions in dimension reduction generated with a graphical model based on least average shrinkage selection operator (LASSO) regression on one hand and with a PCA on the other. RESULTS: Some factors extracted with the PCA properly match the clusters found with the graphical model, while in others less commonality can be found. In general, overlap ranges from 9 to 100% with 75% on average. Many of the discovered clusters or factors, i.e. dimensions, are compatible with the ICF structure, particularly in activity and participation. CONCLUSION: Functioning is a multidimensional, complex and dynamic outcome. We recommend being careful with dimension reduction based on statistical procedures alone. Theoretical considerations and clinical significance should always guide statistics. Stability of emergent dimensions that are compatible with theoretical or clinical considerations is a most important point. At least two different statistical procedures for dimension reduction, for instance PCA and LASSO regression, should be applied to conservatively select those dimensions that stay stable with both procedures.",M1
20416036,"Principal components analysis based control of a multi-DoF underactuated prosthetic hand.BACKGROUND: Functionality, controllability and cosmetics are the key issues to be addressed in order to accomplish a successful functional substitution of the human hand by means of a prosthesis. Not only the prosthesis should duplicate the human hand in shape, functionality, sensorization, perception and sense of body-belonging, but it should also be controlled as the natural one, in the most intuitive and undemanding way. At present, prosthetic hands are controlled by means of non-invasive interfaces based on electromyography (EMG). Driving a multi degrees of freedom (DoF) hand for achieving hand dexterity implies to selectively modulate many different EMG signals in order to make each joint move independently, and this could require significant cognitive effort to the user. METHODS: A Principal Components Analysis (<e>PCA</e>) based algorithm is used to drive a 16 DoFs underactuated prosthetic hand prototype (called CyberHand) with a two dimensional control input, in order to perform the three prehensile forms mostly used in Activities of Daily Living (ADLs). Such Principal Components set has been derived directly from the artificial hand by collecting its sensory data while performing 50 different grasps, and subsequently used for control. RESULTS: Trials have shown that two independent input signals can be successfully used to control the posture of a real robotic hand and that correct grasps (in terms of involved fingers, stability and posture) may be achieved. CONCLUSIONS: This work demonstrates the effectiveness of a bio-inspired system successfully conjugating the advantages of an underactuated, anthropomorphic hand with a PCA-based control strategy, and opens up promising possibilities for the development of an intuitively controllable hand prosthesis.",M1
20411594,"Prediction of Parkinson's disease tremor onset using a radial basis function neural network based on particle swarm optimization.Deep Brain Stimulation (DBS) has been successfully used throughout the world for the treatment of Parkinson's disease symptoms. To control abnormal spontaneous electrical activity in target brain areas DBS utilizes a continuous stimulation signal. This continuous power draw means that its implanted battery power source needs to be replaced every 18-24 months. To prolong the life span of the battery, a technique to accurately recognize and predict the onset of the Parkinson's disease tremors in human subjects and thus implement an on-demand stimulator is discussed here. The approach is to use a radial basis function neural network (RBFNN) based on particle swarm optimization (PSO) and principal component analysis (<e>PCA</e>) with Local Field Potential (LFP) data recorded via the stimulation electrodes to predict activity related to tremor onset. To test this approach, LFPs from the subthalamic nucleus (STN) obtained through deep brain electrodes implanted in a Parkinson patient are used to train the network. To validate the network's performance, electromyographic (EMG) signals from the patient's forearm are recorded in parallel with the LFPs to accurately determine occurrences of tremor, and these are compared to the performance of the network. It has been found that detection accuracies of up to 89% are possible. Performance comparisons have also been made between a conventional RBFNN and an RBFNN based on PSO which show a marginal decrease in performance but with notable reduction in computational overhead.",M1
20403632,"EEG theta and alpha responses reveal qualitative differences in processing taxonomic versus thematic semantic relationships.Despite the importance of semantic relationships to our understanding of semantic knowledge, the nature of the neural processes underlying these abilities are not well understood. In order to investigate these processes, 20 healthy adults listened to thematically related (e.g., leash-dog), taxonomically related (e.g., horse-dog), or unrelated (e.g., desk-dog) noun pairs as their EEG was recorded. The data were analyzed using both event-related potentials (ERP) and event-related spectral perturbation (ERSP) analyses. The spatiotemporal ERP and ERSP results were analyzed further with principal component analysis (<e>PCA</e>). When comparing unrelated to related word pairs, the expected N400 effect was confirmed, as well as differences in theta and alpha oscillations. When comparing thematically and taxonomically related word pairs, the ERP revealed no significant differences, but the ERSP did. Specifically, theta power increased over right frontal areas for thematic versus taxonomic relationships and alpha power increased over parietal areas for taxonomic versus thematic relationships. The different oscillatory patterns over different brain regions suggest that thematic and taxonomic relationships engage distinct neural processes. Specifically, thematic relationships engage memory processes, while taxonomic relationships may require additional inhibitory or attention processes.",M1
20398334,"Integrative analysis of gene expression and copy number alterations using canonical correlation analysis.BACKGROUND: With the rapid development of new genetic measurement methods, several types of genetic alterations can be quantified in a high-throughput manner. While the initial focus has been on investigating each data set separately, there is an increasing interest in studying the correlation structure between two or more data sets. Multivariate methods based on Canonical Correlation Analysis (CCA) have been proposed for integrating paired genetic data sets. The high dimensionality of microarray data imposes computational difficulties, which have been addressed for instance by studying the covariance structure of the data, or by reducing the number of variables prior to applying the CCA. In this work, we propose a new method for analyzing high-dimensional paired genetic data sets, which mainly emphasizes the correlation structure and still permits efficient application to very large data sets. The method is implemented by translating a regularized CCA to its dual form, where the computational complexity depends mainly on the number of samples instead of the number of variables. The optimal regularization parameters are chosen by cross-validation. We apply the regularized dual CCA, as well as a classical CCA preceded by a dimension-reducing Principal Components Analysis (<e>PCA</e>), to a paired data set of gene expression changes and copy number alterations in leukemia. RESULTS: Using the correlation-maximizing methods, regularized dual CCA and PCA+CCA, we show that without pre-selection of known disease-relevant genes, and without using information about clinical class membership, an exploratory analysis singles out two patient groups, corresponding to well-known leukemia subtypes. Furthermore, the variables showing the highest relevance to the extracted features agree with previous biological knowledge concerning copy number alterations and gene expression changes in these subtypes. Finally, the correlation-maximizing methods are shown to yield results which are more biologically interpretable than those resulting from a covariance-maximizing method, and provide different insight compared to when each variable set is studied separately using PCA. CONCLUSIONS: We conclude that regularized dual CCA as well as PCA+CCA are useful methods for exploratory analysis of paired genetic data sets, and can be efficiently implemented also when the number of variables is very large.",M1
20397396,"Comparative study of microbial community structure in different filter media of constructed wetland.Comparisons of microbial community structure, in eight filter media of zeolites, anthracite, shale, vermiculite, ceramic filter media, gravel, steel slag and bio-ceramic, were undertaken by analyzing the phospholipid fatty acid (PLFA) composition. A total of 20 fatty acids in the range of C11 to C20 were determined but only 13 PLFAs were detected in steel slag. They consist of saturated fatty acids, branched fatty acids, monounsaturated fatty acids, and polyunsaturated fatty acids. The variation of fatty acids was revealed in the relative proportions of these fatty acids in different media. The aerobic prokaryotes were the predominant group in all media. The PLFA composition showed significant differences among the eight different media by Tukey's honestly test. It was found that steel slag was significantly different in the microbial community as compared to other filter media, probably due to its alkaline effluent. Steel slag alone is probably not a good choice of substratum in constructed wetlands. The principle components analysis (<e>PCA</e>) showed that zeolites, bio-ceramic, shale and vermiculite had a similar microbial community structure while steel slag and ceramic filter media were distinct from other media.",M1
20391592,"Rapid characterization of high/low producer CHO cells using matrix-assisted laser desorption/ionization time-of-flight.An intact-cell mass spectrometry (ICM) method using matrix-assisted laser desorption/ionization time-of-flight (MALDI-TOF) was evaluated for the screening of stable recombinant Chinese hamster ovary (CHO) cell lines, an important mammalian cell line in bioprocessing. With rapid and simple cell pretreatments, viabilities of cells could be rapidly distinguished on the different fingerprints of mass spectra. Detectable m/z values on cell surfaces and their relative intensities were processed by two biostatistical methods, principle components analysis (<e>PCA</e>) and partial least squares (PLS), with promising results. Discrimination among cell lines with different expressed recombinant proteins or different productivities could be achieved. The ICM method has the advantage of providing multiple parameters simultaneously and possesses the potential to become a powerful method for routine monitoring of bioprocesses.",M1
20390876,"Estimation of the lake water pollution by determination of 18 elements using ICP-MS method and their statistical analysis.Eighteen elements (Al, As, Ba, Ca, Cd, Co, Cr, Cu, K, Li, Mg, Mn, Na, Ni, Pb, Sb, Sr and Zn) were determined in water taken from Malta Lake. All the analyses were made using the inductively coupled plasma mass spectrometry method (ICP-MS). In our investigations we focused on the variability of the element content in water from a number of sampling stations and over different seasons. The obtained results were submitted to statistical analysis. First, the results were interpreted using the analysis of variance test (ANOVA). This has revealed differences in concentration for the majority of elements with regard to seasons. Then, cluster analysis (CA) and factor analysis (FA) were applied to explore similarities between sampling stations. Neither of these have demonstrated any grouping. Finally, factor analysis and principal component analysis (<e>PCA</e>), applied to show the grouping of elements, revealed how different sampling stations are related to each other.",M1
