@RELATION C0032447_C0033223

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20526953,"Evidence of weak contaminant-related oxidative stress in glaucous gulls (Larus hyperboreus) from the Canadian Arctic.Environmental contaminants are transported over great distances to Arctic ecosystems, where they can accumulate in wildlife. Whether contaminant concentrations in wildlife are sufficient to produce adverse effects remains poorly understood. Exposure to contaminants elevates oxidative stress with possible fitness consequences. The glaucous gull (Larus hyperboreus), an Arctic top predator, was used as a bioindicator for investigating relationships between contaminant levels (organochlorines and polychlorinated biphenyls [OC/<e>PCB</e>], mercury [Hg], and selenium [Se]) and measures of oxidative stress (glutathione [GSH] metabolism and lipid peroxidation) in Canadian Arctic ecosystems. Contaminant levels were low and associations between contaminant exposure and oxidative stress were weak. Nevertheless, glutathione peroxidase activity rose with increasing hepatic Se concentrations, levels of thiols declined as Hg and OC/PCB levels rose, and at one of the two study sites levels of lipid peroxidation were elevated with increasing levels of hepatic Hg. These results suggest the possibility of a deleterious effect of exposure to contaminants on gull physiology even at low contaminant exposures.",M1
20526952,"Natural mixtures of persistent organic pollutants (POP) increase weight gain, advance puberty, and induce changes in gene expression associated with steroid hormones and obesity in female zebrafish.In the present study, developmental and reproductive effects of lifelong exposure to environmental relevant concentrations of two natural mixtures of persistent organic pollutants (POP) were investigated using classical and molecular methods in a controlled zebrafish model. The mixtures used were extracted from burbot (Lota lota) liver originating from freshwater systems in Norway: one mixture with high levels and one mixture with background levels of polybrominated diphenyl ethers (PBDE), polychlorinated biphenyls (<e>PCB</e>), and dichlorodiphenyltrichloroethane metabolites (DDT). The concentration of POP measured in the zebrafish ranged from levels detected in wild fish from Lake Mjøsa to concentrations reported in human and wildlife populations, indicating that the experimental fish were exposed to concentrations comparable with wild fish. Phenotypic effects observed in both exposure groups included earlier onset of puberty, increased male/female sex ratio, and differences in body weight at 5 mo of age. Interestingly, genome-wide transcription profiling showed changes in regulation of genes involved in endocrine signaling and growth. The transcriptomics changes include key regulator genes for steroid hormone functions (ncoa3), and growth (c/ebp, ncoa3). The effects observed in the experimental zebrafish model raise the question whether chemical pollution represents a risk to reproductive health of wild fish inhabitating the freshwater system.",M1
20471608,"Flow cytometry-based method for isolating live bacteria with meta-cleavage activity on dihydroxy compounds of biphenyl.A new method for isolating targeted live bacterial cells was established with the use of cell sorting by flow cytometry (FCM) based on the fluorescence of the intermediate metabolite of biphenyl degradation. During biphenyl degradation, a <e>PCB</e> degrader, Comamonas testosteroni TK102, produces a meta-cleavage intermediate metabolite, 2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoic acid (HOPDA), which emits green fluorescence. HOPDA was produced from 2,3-dihydroxy biphenyl as a substrate, but it was not appropriate for labeling cells because it was released from the cells into the medium. When we used 4-n-butylbiphenyl and 4-n-heptylbiphenyl, we found that the cells produced and accumulated 2,3-dihydroxy intermediate metabolites. By the addition of synthesized 2,3-dihydroxy-4'-butylbiphenyl (2,3-DHBBP), we were able to label the cells with strong green fluorescence, suggesting the persistence of fluorescent intermediate metabolite in the cells by the introduction of the alkyl tail. 2,3-DHBBP was then used to label strain TK102 and the cells were sorted with FCM. The sorting efficiency of FCM was defined as the percentage of colony numbers per sorting events. Strain TK102 cells were successfully enriched by 4.1-fold from the mixture with environmental indigenous bacteria with a sorting efficiency of 7.3%. The method we present here serves as a basic technique for the specific and direct isolation of live bacterial cells which contain dioxygenases active on dihydroxylated aromatic compounds.",M1
20446689,"Levels of polychlorinated biphenyls in human adipose tissue samples from southeast China.This paper presents a comprehensive study of polychlorinated biphenyl (<e>PCB</e>) levels and homologue profiles in human adipose tissues among residents of Southeast China. A large number of samples (n = 303) were selected for a number of PCB congeners (n = 62) which were analyzed by highly sensitive gas chromatography-tandem mass spectrometry (GC-MS/MS). The total mean PCB concentrations were 27.2 microg/kg fat (n = 159) in Anhui Province and 17.2 microg/kg fat (n = 144) in Jiangsu Province. A significant correlation was observed between age and PCB levels but not found between gender and PCB levels. The relationship between the environmental contaminant levels and the PCB concentration in adipose tissue was also investigated. It was found that the higher PCB concentrations in human adipose tissue were associated with the higher environmental PCB levels in the corresponding regions. The PCB homologue profiles of the human adipose tissue in China are different from those in the world, similarly to the different PCB homologue pattern between Chinese and global soils. The concept of the urban fractionation effect in the environment may be applicable to explain the PCB homologue profiles and PCB levels in the human adipose tissues collected from different provinces in China. The data presented in this study can provide useful information on human exposures to PCBs in the general population of Southeast China.",M1
20441148,"Dust from U.K. primary school classrooms and daycare centers: the significance of dust as a pathway of exposure of young U.K. children to brominated flame retardants and polychlorinated biphenyls.Polybrominated diphenyl ethers (PBDEs), hexabromocyclododecanes (HBCDs), tetrabromobisphenol-A (TBBP-A), and polychlorinated biphenyls (<e>PCBs</e>) were measured in floor dust from U.K. child daycare center and primary school classrooms (n = 43, 36 for PCBs). Concentrations of HBCDs exceeded significantly (p &lt; 0.05) those reported previously for U.K. houses and offices, while those of TBBP-A exceeded significantly those in U.K. cars and offices. PCB concentrations were statistically indistinguishable from those in U.K. house dust but lower than in U.S. classroom dust, while BDEs 47, 99, 100, 153, 196, 197, 203, and 209 in classrooms were significantly below concentrations in U.K. cars. Exposure of young U.K. children via classroom dust exceeds that of U.K. adults via office dust for all contaminants monitored. Overall dust exposure of young U.K. children was estimated including car, classroom, and house dust. Exposure to TBBP-A was well below a U.K. health-based limit value (HBLV). Though no HBLVs exist for non-dioxin-like PCBs and HBCDs; dust exposure to PCBs fell well below U.K. dietary and inhalation exposure. Contrastingly, a high-end estimate of HBCD dust exposure exceeded U.K. dietary exposure substantially. Moreover, high-end estimates of dust exposure to BDE-99 and BDE-209 (4.3 and 13000 ng/kg bw/day, respectively) exceeded HBLVs of 0.23-0.30 and 7000 ng/kg bw/day respectively.",M1
20429583,"Binary mixture effects by PBDE congeners (47, 153, 183, or 209) and <e>PCB</e> congeners (126 or 153) in MCF-7 cells: biochemical alterations assessed by IR spectroscopy and multivariate analysis.Target organisms are continuously and variously exposed to contaminant mixtures in the environment. We noted that treatment with brominated diphenyl ether (BDE)47 or polychlorinated biphenyl (PCB)126 (toxic equivalency factor [TEF] = 0.1) induces similar alterations in MCF-7 cells when these were determined using attenuated total reflection Fourier-transform infrared (ATR-FTIR) spectroscopy with multivariate analysis. Because this method appears sensitive enough to signature low-dose effects, we examined how various test agents interact in binary mixtures to induce cell alterations. MCF-7 cells were exposed for 24 h to low concentrations (10(-12) M) of polybrominated diphenyl ether (PBDE) congeners (47, 153, 183, or 209) with or without the coplanar PCB126 or nonplanar PCB153. Following treatment, ethanol-fixed cellular material was interrogated using ATR-FTIR spectroscopy; derived IR spectra in the biochemical-cell fingerprint region (1800 cm(-1)-900 cm(-1)) were then subjected to principal component analysis-linear discriminant analysis. Assuming that if two test agents independently induce the same cell alteration that in combination they'll give rise to an additive effect, we examined predicted versus observed differences in induced alterations by binary mixtures. Compared to corresponding control clusters, treatment with PBDE congener plus PCB126 appeared to cancel out their respective induced alterations. However, treatment with binary mixtures including PCB153 gave rise to an enhanced segregation. Our findings suggest that test agents which mediate their cellular effects via similar mechanisms might result in inhibition within a binary mixture whereas independently acting agents could exacerbate induced alterations in overall cell status.",M1
20426459,"Polychlorinated biphenyls and their hydroxylated metabolites (OH-<e>PCBs</e>) in the blood of toothed and baleen whales stranded along Japanese coastal waters.In this study, we determined the residue levels and patterns of polychlorinated biphenyls (PCBs) and hydroxylated PCBs (OH-PCBs) in the blood from eight species of toothed whales and three species of baleen whales stranded along the Japanese coast during 1999-2007. Penta- through hepta-chlorinated PCB congeners were the dominant homologue groups in all cetaceans. In contrast, specific differences in the distribution of dominant OH-PCB isomers and homologues were found among the cetacean species. In five species of toothed whales (melon-headed whale, Stejneger's beaked whale, Pacific white-sided dolphin, Blainville's beaked whale, and killer whale), the predominant homologues were OH-penta-PCBs followed by OH-tetra-PCBs and OH-tri-PCBs. The predominant homologues of finless porpoise and beluga whale were OH-penta-PCBs followed by OH-hexa-PCBs and OH-tri-PCBs. The predominant OH-PCB isomers were para-OH-PCBs such as 4OH-CB26, 4'OH-CB25/4'OH-CB26/4OH-CB31, 4OH-CB70, 4'OH-CB72, 4'OH-CB97, 4'OH-CB101/4'OH-CB120, and 4OH-CB107/4'OH-CB108 in toothed whales. In three baleen whales (common minke whale, Bryde's whale, and humpback whale) and in sperm whale (which is a toothed whale), OH-octa-PCB (4OH-CB202) was the predominant homologue group accounting for 40-80% of the total OH-PCB concentrations. The differences in concentrations and profiles of OH-PCBs may suggest species-specific diets, metabolic capability, and the transthyretin (TTR) binding specificity. These results reveal that the accumulation profiles of OH-PCBs in cetacean blood are entirely different from the profiles found in pinnipeds, polar bear, and humans.",M1
20408536,"Elevated body burdens of PBDEs, dioxins, and <e>PCBs</e> on thyroid hormone homeostasis at an electronic waste recycling site in China.A cross-sectional study of 25 sample sets (each set consisted of maternal serum and cord whole blood) from 50 pregnant women in zone A (n = 25 from exposed group) and zone B (n = 25 from reference group) was conducted to examine the association between thyroid hormone (TH) levels and PBDE, PCDD/F, and PCB exposures. Thyroid hormones TT3, TT4, and TSH levels were measured in maternal serum at 16 weeks of gestation. The concentrations of PBDEs, PCDD/Fs, and PCBs were determined by isotope dilution HRGC/HRMS in cord blood samples. Body burdens of the three contaminants in cord blood in zone A (median: summation sigma TEQ-PCDD/Fs 0.041, summation operator TEQ-PCBs 0.022 pg WHO-TEQ/g, summation operator PBDEs 23.4 pg/g whole weight, respectively) were significantly higher than those from the reference area (median: summation sigma TEQ-PCDD/Fs 0.014, summation sigma TEQ-PCBs 0.0041 pg WHO-TEQ/g, summation sigma PBDEs 16.15 pg/g, respectively) (p &lt; 0.05). Levels of TT4 and TSH in serum in zone A were significantly lower than those in zone B (p &lt; 0.05). A negative correlation was found between TT4 levels and body burdens of PCDD/Fs and PCBs. However, there was no significant association of concentration of PBDEs and levels of the three thyroid hormones. Our results suggest that electronic waste (e-waste) recycling contributes to high body burdens of PBDEs, PCDD/Fs, and PCBs and affects thyroid hormone homeostasis in humans. The potential health risk for neonates still needs further investigation.",M1
20406653,"Polychlorinated biphenyl-induced VCAM-1 expression is attenuated in aortic endothelial cells isolated from caveolin-1 deficient mice.Exposure to environmental contaminants, such as polychlorinated biphenyls (<e>PCBs</e>), is a risk factor for the development of cardiovascular diseases such as atherosclerosis. Vascular cell adhesion molecule-1 (VCAM-1) is a critical mediator for adhesion and uptake of monocytes across the endothelium in the early stages of atherosclerosis development. The upregulation of VCAM-1 by PCBs may be dependent on functional membrane domains called caveolae. Caveolae are particularly abundant in endothelial cell membranes and involved in trafficking and signal transduction. The objective of this study was to investigate the role of caveolae in PCB-induced endothelial cell dysfunction. Primary mouse aortic endothelial cells (MAECs) isolated from caveolin-1-deficient mice and background C57BL/6 mice were treated with coplanar PCBs, such as PCB77 and PCB126. In addition, siRNA gene silencing technique was used to knockdown caveolin-1 in porcine vascular endothelial cells. In MAECs with functional caveolae, VCAM-1 protein levels were increased after exposure to both coplanar PCBs, whereas expression levels of VCAM-1 were not significantly altered in cells deficient of caveolin-1. Furthermore, PCB-induced monocyte adhesion was attenuated in caveolin-1-deficient MAECs. Similarly, siRNA silencing of caveolin-1 in porcine endothelial cells confirmed the caveolin-1-dependent VCAM-1 expression. Treatment of cells with PCB77 and PCB126 resulted in phosphorylation of extracellular signal-regulated kinase-1/2 (ERK1/2), and pharmacological inhibition of ERK1/2 diminished the observed PCB-induced increase in monocyte adhesion. These findings suggest that coplanar PCBs induce adhesion molecule expression, such as VCAM-1, in endothelial cells, and that this response is regulated by caveolin-1 and functional caveolae. Our data demonstrate a critical role of functional caveolae in the activation and dysfunction of endothelial cells by coplanar PCBs.",M1
20394812,"<e>PCB</e>-153 exposure coordinates cell cycle progression and cellular metabolism in human mammary epithelial cells.2,2',4,4',5,5'-Hexachlorobiphenyl (PCB-153) is a non-metabolizable environmental chemical contaminant commonly found in breast milk of PCB exposed individuals, suggesting that chronic exposure to PCB-153 could have adverse health effects. We have shown previously that PCB-153 increased reactive oxygen species levels in non-tumorigenic MCF-10A human mammary epithelial cells, which were associated with DNA damage, growth inhibition, and cytotoxicity. This study investigates the hypothesis that PCB-153 exposure coordinates cell cycle progression and cellular metabolism by inhibiting cyclin D1 accumulation. PCB-153 treated MCF-10A cells exhibited a dose and time dependent decrease in cyclin D1 protein levels. The decrease in cyclin D1 protein levels was associated with an inhibition in AKT and GSK-3beta phosphorylation, which correlated with an increase in cyclin D1-T286 phosphorylation. Fibroblasts carrying a mutant form of cyclin D1 (T286A) were resistant to PCB-153 induced degradation of cyclin D1. Pre-treatment of cells with a proteasome inhibitor (MG132) suppressed PCB-153 induced decrease in cyclin D1 protein levels. Interestingly, suppression in cyclin D1 accumulation was associated with an increase in cellular glucose consumption, and hexokinase II and pyruvate kinase protein levels. These results suggest that cyclin D1 coordinates cell cycle progression and cellular metabolism in PCB-153 treated non-tumorigenic human mammary epithelial cells.",M1
