@RELATION C0162638_C0022521

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20169397,"Non-caspase proteases: triggers or amplifiers of apoptosis?Caspases are the most important effectors of apoptosis, the major form of programmed cell death (<e>PCD</e>) in multicellular organisms. This is best reflected by the appearance of serious development defects in mice deficient for caspase-8, -9, and -3. Meanwhile, caspase-independent PCD, mediated by other proteases or signaling components has been described in numerous publications. Although we do not doubt that such cell death exists, we propose that it has evolved later during evolution and is most likely not designed to execute, but to amplify and speed-up caspase-dependent cell death. This review shall provide evidence for such a concept.",M1
20155628,"Induction of caspase-independent programmed cell death by vitamin E natural homologs and synthetic derivatives.Current observations in the literature suggest that vitamin E may be a suitable candidate for cancer chemotherapy. To investigate this further, we examined the ability of the vitamin E natural homologs [alpha-, beta-, gamma-, delta-tocopherols (alpha-TOC, beta-TOC, gamma-TOC, delta-TOC) and alpha-, beta-, gamma-, delta-tocotrienols (alpha-TT, beta-TT, gamma-TT, delta-TT)] and their corresponding succinate synthetic derivatives [alpha-, beta-, gamma-, delta-tocopheryl succinates and alpha-, beta-, gamma-, delta-tocotrienyl succinates (alpha-TS, beta-TS, gamma-TS, delta-TS)] to induce cell death in AR- (DU145 and PC3) and AR+ (LNCaP) prostate cancer cell lines. The most effective of all the natural homologs of vitamin E was determined to be delta-TT, whereas delta-TS was the most potent of all the natural and synthetic compounds of vitamin E examined. Both gamma-TT and delta-TT induced caspase activity selectively in AR+ LNCaP cells, suggesting a possible role for AR for the activation of caspase-dependent programmed cell death (CD-<e>PCD</e>). More important, however, gamma-TT, delta-TT, gamma-TS, and delta-TS activated dominant caspase-independent programmed cell death (CI-PCD) in all prostate cancer cell lines examined. Thus, vitamin E homologs and synthetic derivatives may find applications in the treatment of prostate tumors that are resistant to caspase-activating therapeutic agents.",M1
20122248,"Antimicrobial peptaibols, novel suppressors of tumor cells, targeted calcium-mediated apoptosis and autophagy in human hepatocellular carcinoma cells.BACKGROUND: Hepatocellular carcinoma (HCC) is one of the most common cancers in the world which is highly chemoresistant to currently available chemotherapeutic agents. Thus, novel therapeutic targets are needed to be sought for the successful treatment of HCC. Peptaibols, a family of peptides synthesized non-ribosomally by the Trichoderma species and other fungi, exhibit antibiotic activities against bacteria and fungi. Few studies recently showed that peptaibols exerted cytotoxicity toward human lung epithelial and breast carcinoma cells. However, the mechanism involved in peptaibol-induced cell death remains poorly understood. RESULTS: Here, we showed that Trichokonin VI (TK VI), a peptaibol from Trichoderma pseudokoningii SMF2, induced growth inhibition of HCC cells in a dose-dependent manner. It did not obviously impair the viability of normal liver cells at lower concentration. Moreover, the suppression of cell viability resulted from the programmed cell death (<e>PCD</e>) with characteristics of apoptosis and autophagy. An influx of Ca2+ triggered the activation of mu-calpain and proceeded to the translocation of Bax to mitochondria and subsequent promotion of apoptosis. On the other hand, typically morphological characteristics consistent with autophagy were also observed by punctate distribution of MDC staining and the induction of LC3-II, including extensive autophagic vacuolization and enclosure of cell organelles by these autophagosomes. More significantly, specific depletion of Bak expression by small RNA interfering (siRNA) could partly attenuate TK VI-induced autophagy. However, siRNA against Bax led to increased autophagy. CONCLUSION: Taken together, these findings showed for the first time that peptaibols were novel regulators involved in both apoptosis and autophagy, suggesting that the class of peptaibols might serve as potential suppressors of tumor cells.",M1
20121450,"Viral-induced systemic necrosis in plants involves both programmed cell death and the inhibition of viral multiplication, which are regulated by independent pathways.Resistant plants respond rapidly to invading avirulent plant viruses by triggering a hypersensitive response (HR). An HR is accompanied by a restraint of virus multiplication and programmed cell death (<e>PCD</e>), both of which have been observed in systemic necrosis triggered by a successful viral infection. Here, we analyzed signaling pathways underlying the HR in resistance genotype plants and those leading to systemic necrosis. We show that systemic necrosis in Nicotiana benthamiana, induced by Plantago asiatica mosaic virus (PlAMV) infection, was associated with PCD, biochemical features, and gene expression patterns that are characteristic of HR. The induction of necrosis caused by PlAMV infection was dependent on SGT1, RAR1, and the downstream mitogen-activated protein kinase (MAPK) cascade involving MAPKKKalpha and MEK2. However, although SGT1 and RAR1 silencing led to an increased accumulation of PlAMV, silencing of the MAPKKKalpha-MEK2 cascade did not. This observation indicates that viral multiplication is partly restrained even in systemic necrosis induced by viral infection, and that this restraint requires SGT1 and RAR1 but not the MAPKKKalpha-MEK2 cascade. Similarly, although both SGT1 and MAPKKKalpha were essential for the Rx-mediated HR to Potato virus X (PVX), SGT1 but not MAPKKKalpha was involved in the restraint of PVX multiplication. These results suggest that systemic necrosis and HR consist of PCD and a restraint of virus multiplication, and that the latter is induced through unknown pathways independent from the former.",M1
20107599,"Persistent ER stress induces the spliced leader RNA silencing pathway (SLS), leading to programmed cell death in Trypanosoma brucei.Trypanosomes are parasites that cycle between the insect host (procyclic form) and mammalian host (bloodstream form). These parasites lack conventional transcription regulation, including factors that induce the unfolded protein response (UPR). However, they possess a stress response mechanism, the spliced leader RNA silencing (SLS) pathway. SLS elicits shut-off of spliced leader RNA (SL RNA) transcription by perturbing the binding of the transcription factor tSNAP42 to its cognate promoter, thus eliminating trans-splicing of all mRNAs. Induction of endoplasmic reticulum (ER) stress in procyclic trypanosomes elicits changes in the transcriptome similar to those induced by conventional UPR found in other eukaryotes. The mechanism of up-regulation under ER stress is dependent on differential stabilization of mRNAs. The transcriptome changes are accompanied by ER dilation and elevation in the ER chaperone, BiP. Prolonged ER stress induces SLS pathway. RNAi silencing of SEC63, a factor that participates in protein translocation across the ER membrane, or SEC61, the translocation channel, also induces SLS. Silencing of these genes or prolonged ER stress led to programmed cell death (<e>PCD</e>), evident by exposure of phosphatidyl serine, DNA laddering, increase in reactive oxygen species (ROS) production, increase in cytoplasmic Ca(2+), and decrease in mitochondrial membrane potential, as well as typical morphological changes observed by transmission electron microscopy (TEM). ER stress response is also induced in the bloodstream form and if the stress persists it leads to SLS. We propose that prolonged ER stress induces SLS, which serves as a unique death pathway, replacing the conventional caspase-mediated PCD observed in higher eukaryotes.",M1
20094801,"Apoptotic-like regulation of programmed cell death in plants.In plants, apoptotic-like programmed cell death (<e>PCD</e>) can be distinguished from other forms of plant cell death by protoplast condensation that results in a morphologically distinct cell corpse. In addition, there is a central regulatory role for the mitochondria and the degradation of the cell and its contents by PCD associated proteases. These distinguishing features are shared with animal apoptosis as it is probable that plant and animal cell death programmes arose in a shared unicellular ancestor. However, animal and plant cell death pathways are not completely conserved. The cell death programmes may have been further modified after the divergence of plant and animal lineages leading to converged, or indeed unique, features of their respective cell death programmes. In this review we will examine the features of apoptotic-like PCD in plants and examine the probable conserved components such as mitochondrial regulation through the release of apoptogenic proteins from the mitochondrial intermembrane space, the possible conserved or converged features such as  caspase-like  molecules which drive cellular destruction and the emerging unique features of plant PCD such as chloroplast involvement in cell death regulation.",M1
20075938,"Apoptosis in yeast: triggers, pathways, subroutines.A cell's decision to die is controlled by a sophisticated network whose deregulation contributes to the pathogenesis of multiple diseases including neoplastic and neurodegenerative disorders. The finding, more than a decade ago, that baker's yeast (Saccharomyces cerevisiae) can undergo apoptosis uncovered the possibility to investigate this mode of programmed cell death (<e>PCD</e>) in a model organism that combines both technical advantages and a eukaryotic 'cell room.' Since then, numerous exogenous and endogenous triggers have been found to induce yeast apoptosis and multiple yeast orthologs of crucial metazoan apoptotic regulators have been identified and characterized at the molecular level. Such apoptosis-relevant orthologs include proteases such as the yeast caspase as well as several mitochondrial and nuclear proteins that contribute to the execution of apoptosis in a caspase-independent manner. Additionally, physiological scenarios such as aging and failed mating have been discovered to trigger apoptosis in yeast, providing a teleological interpretation of PCD affecting a unicellular organism. Due to its methodological and logistic simplicity, yeast constitutes an ideal model organism that is efficiently helping to decipher the cell death regulatory network of higher organisms, including the switches between apoptotic, autophagic, and necrotic pathways of cellular catabolism. Here, we provide an overview of the current knowledge about the apoptotic subroutine of yeast PCD and its regulation.",M1
20075858,"Function of endoplasmic reticulum calcium ATPase in innate immunity-mediated programmed cell death.Programmed cell death (<e>PCD</e>) initiated at the pathogen-infected sites during the plant innate immune response is thought to prevent the development of disease. Here, we describe the identification and characterization of an ER-localized type IIB Ca(2+)-ATPase (NbCA1) that function as a regulator of PCD. Silencing of NbCA1 accelerates viral immune receptor N- and fungal-immune receptor Cf9-mediated PCD, as well as non-host pathogen Pseudomonas syringae pv. tomato DC3000 and the general elicitor cryptogein-induced cell death. The accelerated PCD rescues loss-of-resistance phenotype of Rar1, HSP90-silenced plants, but not SGT1-silenced plants. Using a genetically encoded calcium sensor, we show that downregulation of NbCA1 results in the modulation of intracellular calcium signalling in response to cryptogein elicitor. We further show that NbCAM1 and NbrbohB function as downstream calcium decoders in N-immune receptor-mediated PCD. Our results indicate that ER-Ca(2+)-ATPase is a component of the calcium efflux pathway that controls PCD during an innate immune response.",M1
20061552,"Tomato 14-3-3 protein 7 positively regulates immunity-associated programmed cell death by enhancing protein abundance and signaling ability of MAPKKK {alpha}.Programmed cell death (<e>PCD</e>) is triggered when Pto, a Ser-Thr protein kinase, recognizes either the AvrPto or AvrPtoB effector from Pseudomonas syringae pv tomato. This PCD requires mitogen-activated protein kinase kinase kinase (MAPKKK alpha ) as a positive regulator in tomato (Solanum lycopersicum) and Nicotiana benthamiana. To examine how PCD-eliciting activity of the tomato MAPKKK alpha protein is regulated, we screened for MAPKKK alpha -interacting proteins in tomato and identified a 14-3-3 protein, TFT7. Virus-induced gene silencing using the TFT7 gene in N. benthamiana compromised both Pto- and MAPKKK alpha -mediated PCD, and coexpression of TFT7 with tomato MAPKKK alpha enhanced MAPKKK alpha -mediated PCD. TFT7 was also required for PCD associated with several other disease resistance proteins and contributed to resistance against P. syringae pv tomato. Coexpression of TFT7 with MAPKKK alpha in vivo caused increased accumulation of the kinase and enhanced phosphorylation of two MAP kinases. TFT7 protein contains a phosphopeptide binding motif that is present in human 14-3-3 epsilon, and substitutions in this motif abolished interaction with MAPKKK alpha in vivo and also the PCD-enhancing activity of TFT7. A 14-3-3 binding motif, including a putative phosphorylated Ser-535, is present in the C-terminal region of MAPKKK alpha. An S535A substitution in MAPKKK alpha reduced interaction with TFT7 and both PCD-eliciting ability and stability of MAPKKK alpha. Our results provide new insights into a role for 14-3-3 proteins in regulating immunity-associated PCD pathways in plants.",M1
20040274,"Programmed cell death and apoptosis in aging and life span regulation.Increasing evidence suggests an important role for programmed cell death (<e>PCD</e>) pathways in aging phenotypes across species. PCD is critical to the homeostasis of tissues maintained by cell division, for example, the blood and the lining of the gut. During aging, accumulated cellular damage and non-optimal systemic signaling can cause too little cell death (hyperproliferation and cancer), or too much cell death (tissue atrophy and ectopic cell death), thereby limiting tissue function and life span. For these reasons PCD pathways are promising targets for interventions in aging and aging-related diseases: reactivation of PCD may be beneficial in clearing cancerous and senescent cells, whereas inhibiting PCD may help prevent muscle atrophy and nervous system degeneration.",M1
