@RELATION C0032305_C0030855_C0031381

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2, M3}

@DATA
20509902,"Infrequent detection of Pneumocystis jirovecii by PCR in oral wash specimens from TB patients with or without HIV and healthy contacts in Tanzania.BACKGROUND: In tuberculosis (TB) endemic parts of the world, patients with pulmonary symptoms are managed as  smear-negative TB patients  if they do not improve on a two-week presumptive, broad-spectrum course of antibiotic treatment even if they are TB microscopy smear negative. These patients are frequently HIV positive and have a higher mortality than smear-positive TB patients. Lack of access to diagnose Pneumocystis jirovecii pneumonia might be a contributing reason. We therefore assessed the prevalence of P. jirovecii by PCR in oral wash specimens among TB patients and healthy individuals in an HIV- and TB-endemic area of sub-Saharan Africa. METHODS: A prospective study of 384 patients initiating treatment for sputum smear-positive and smear-negative TB and 100 healthy household contacts and neighbourhood controls. DNA from oral wash specimens was examined by PCR for P. jirovecii. All patients delivered sputum for TB microscopy and culture. Healthy contacts and community controls were clinically assessed and all study subjects were HIV tested and had CD4 cell counts determined. Clinical status and mortality was assessed after a follow-up period of 5 months. RESULTS: 384 patients and 100 controls were included, 53% and 8% HIV positive respectively. A total number of 65 patients and controls (13.6%) were at definitive risk for <e>PCP</e> based on CD4 counts &lt;200 cells per mm3 and no specific PCP prophylaxis. Only a single patient (0.3% of the patients) was PCR positive for P. jirovecii. None of the healthy household contacts or neighbourhood controls had PCR-detectable P. jirovecii DNA in their oral wash specimens regardless of HIV-status. CONCLUSIONS: The prevalence of P. jirovecii as detected by PCR on oral wash specimens was very low among TB patients with or without HIV and healthy individuals in Tanzania. Colonisation by P. jirovecii was not detected among healthy controls. The present findings may encourage diagnostic use of this non-invasive method.",M1
20378904,"Prognostic value of C-reactive protein in HIV-infected patients with Pneumocystis jirovecii pneumonia.C-reactive protein (CRP) is a sensitive marker of inflammation and tissue damage. We aimed to describe CRP responses in HIV-infected patients presenting with Pneumocystis pneumonia (<e>PCP</e>), bacterial pneumonia (BP) and pulmonary tuberculosis (TB) and, in patients with PCP, to identify if elevated CRP has prognostic significance. Data obtained by case-note review of consecutive HIV-infected adults with acute respiratory episodes included admission CRP (elevated &gt;5 mg/L), haemoglobin, white blood count, CD4 count and partial pressure of oxygen in the blood (PaO(2)), presence of pulmonary co-pathology/intercurrent infection and outcome (survival). Median (range) CRP in patients with BP = 120 mg/L (&lt;5-620 mg/L), TB = 44 mg/L (&lt;5-256.3 mg/L) and PCP = 35 mg/L (&lt;5-254 mg/L). CRP was elevated in 93/103 (90.3%) patients with PCP; six patients died; and all had an elevated CRP. PaO(2) and CRP values were associated as follows: average CRP levels declined by 10% (95% confidence interval [CI] 0.20%) per kPa increase in PaO(2) = 0.002. Factors associated with death were higher CRP, odds ratio (OR) (95% CI) = 5.30 (1.61 to 17.51) per 100 mg/L increase, P = 0.006 and haemoglobin, OR (95% CI) = 0.52 (0.29 to 0.93) per g/dL, P = 0.033. CRP is elevated in the majority of HIV-infected patients with PCP, BP and TB. Admission CRP measurement lacks specificity, but in PCP elevations of CRP are associated with disease severity (PaO(2)) and poor outcome and might be used prognostically, together with other mortality risk factors; further prospective evaluation is needed.",M1
20194450,"A survey of rheumatologists' practice for prescribing pneumocystis prophylaxis.OBJECTIVE: Pneumocystis pneumonia (<e>PCP</e>) occurs in immunocompromised hosts, in both the presence and absence of human immunodeficiency virus (HIV) infection, with substantial morbidity and a heightened mortality. We assessed practice patterns among rheumatologists for prescribing PCP prophylaxis. METHODS: Invitations to an online international survey were e-mailed to 3150 consecutive members of the American College of Rheumatology. RESULTS: Completed surveys were returned by 727 (23.1%) members. Among respondents, 505 (69.5%) reported prescribing prophylaxis. Factors associated with significantly higher frequency of prescribing PCP prophylaxis included female gender (OR 1.47, p = 0.03), US-based (OR 1.77, p = 0.004), academic-based (OR 2.75, p &lt; 0.001), in practice less than 10 years (OR 4.08, p &lt; 0.001), having previously treated PCP (OR 2.62, p &lt; 0.001), and in a practice with a higher proportion of patients maintained on chronic glucocorticoids (OR 2.04, p &lt; 0.001) or other immunosuppressant medications (OR 3.19, p = 0.003). In multivariate analysis, rheumatologists early in their careers and those with academic and US-based practices were more likely to prescribe prophylaxis. Among prescribers, the most important determinants for issuing prophylaxis were treatment regimen (68.6%), rheumatologic diagnosis (9.3%), and medication dosage (8.3%). CONCLUSION: Nearly one-third (30%) of the rheumatologists surveyed reported that they never prescribed PCP prophylaxis. While the patient characteristics for which prophylaxis was prescribed varied widely, physician demographics were strongly predictive of PCP prophylaxis use. These findings suggest that development of consensus guidelines might influence clinical decision-making regarding PCP prophylaxis in HIV-negative patients with rheumatologic diagnoses.",M1
20173272,"Racial variations in care and outcomes for inpatient HIV-related pneumocystis pneumonia.Racial disparities in HIV-care include the disproportionate impact of HIV/AIDS on African Americans. We conducted a retrospective review of 1,855 cases at 78 hospitals in nine cities to evaluate racial variations in inpatient care for AIDS-related Pneumocystis pneumonia (<e>PCP</e>) shortly after the introduction of highly active anti-retroviral therapies. While inpatient HIV-related PCP mortality was comparable between Whites and Hispanics (p=0.94), African Americans were less likely than Whites to die in-hospital (AOR 0.69, 95% CI 0.48, 0.99) and more likely to receive timely anti-PCP medications (AOR 1.67, 95% CI 1.21, 2.30) and timely corticosteroids (AOR 1.46, 95% CI 1.17, 1.82). Findings were compared with those from our study involving 1,547 patients at 82 hospitals in five cities over the first decade of the AIDS epidemic. In contrast to the first study, in the second decade African Americans were more likely to receive timely and appropriate therapy for HIV-related PCP, and resultantly were more likely to survive the hospitalization.",M1
20154431,"Comparison of clinical and radiological features of pneumocystis pneumonia between malignancy cases and acquired immunodeficiency syndrome cases: a multicenter study.BACKGROUND: The clinical features of pneumocystis pneumonia (<e>PCP</e>) differ according to the predisposing factors responsible for immunosuppression. Although PCP in patients with acquired immunodeficiency syndrome (AIDS) has been extensively described, its characteristics in non-AIDS patients, such as those with malignancies, are not thoroughly documented. STUDY OBJECTIVE: To characterize and compare the clinical and imaging features of PCP in patients with malignancies with those in AIDS patients. DESIGN: A multi-center retrospective study. PATIENTS AND MEASUREMENTS: We evaluated the clinical and radiological features of PCP in 21 patients with malignancies and in 17 with AIDS. Clinical presentation, serum markers, oxygenation, CT findings, and outcome were examined. RESULTS: The patients with malignancies showed shorter durations of symptoms before PCP was diagnosed. The levels of serum markers and the oxygenation index did not differ. CT showed diffuse or widespread ground-glass opacity (GGO) in all of the patients evaluated. None of the AIDS patients demonstrated consolidation, whereas half of the patients with malignancy showed consolidation along with GGO. The extent of GGO scored on CT images was significantly greater in the AIDS patients. No correlation was observed between the CT findings and other clinical parameters. All of the AIDS patients recovered from PCP, whereas six patients with malignancies died within a month after the onset of PCP. CONCLUSION: The characteristics of the CT images differed between the patient groups with different underlying disorders, although it remains to be determined whether CT findings are associated with other clinical features or are predictive of the outcome of PCP.",M1
20126455,"Echinocandin treatment of pneumocystis pneumonia in rodent models depletes cysts leaving trophic burdens that cannot transmit the infection.Fungi in the genus Pneumocystis cause pneumonia (<e>PCP</e>) in hosts with debilitated immune systems and are emerging as co-morbidity factors associated with chronic diseases such as COPD. Limited therapeutic choices and poor understanding of the life cycle are a result of the inability of these fungi to grow outside the mammalian lung. Within the alveolar lumen, Pneumocystis spp., appear to have a bi-phasic life cycle consisting of an asexual phase characterized by binary fission of trophic forms and a sexual cycle resulting in formation of cysts, but the life cycle stage that transmits the infection is not known. The cysts, but not the trophic forms, express beta -1,3-D-glucan synthetase and contain abundant beta -1,3-D-glucan. Here we show that therapeutic and prophylactic treatment of PCP with echinocandins, compounds which inhibit the synthesis of beta -1,3-D-glucan, depleted cysts in rodent models of PCP, while sparing the trophic forms which remained in significant numbers. Survival was enhanced in the echincandin treated mice, likely due to the decreased beta -1,3-D-glucan content in the lungs of treated mice and rats which coincided with reductions of cyst numbers, and dramatic remodeling of organism morphology. Strong evidence for the cyst as the agent of transmission was provided by the failure of anidulafungin-treated mice to transmit the infection. We show for the first time that withdrawal of anidulafungin treatment with continued immunosuppression permitted the repopulation of cyst forms. Treatment of PCP with an echinocandin alone will not likely result in eradication of infection and cessation of echinocandin treatment while the patient remains immunosuppressed could result in relapse. Importantly, the echinocandins provide novel and powerful chemical tools to probe the still poorly understood bi-phasic life cycle of this genus of fungal pathogens.",M1
20113271,"Imaging characteristics of pneumocystis pneumonia after renal transplantation.Identification of Pneumocysis pneumonia (<e>PCP</e>) after renal transplantation has a great impact on early diagnosis and therapy, which could decrease its mortality. Due to a lack of characteristic clinical symptoms, imaging modalities became very important in the diagnosing PCP. Thirteen PCP patients after renal transplantation were reviewed. They underwent a series of chest radiographs and chest high-resolution CT scans. The common radiological presentations were bilateral diffuse symmetrical ground-glass and consolidation opacities, followed by pneumoceles or air-filled cysts or linear or reticular shadows. Ground-glass attenuations were showed clearly on HRCT in 13 patients, while only 6 on CXR. Pneumoceles or cysts (n = 8) were seen only on HRCT. Air-filled cysts or pneumoceles within bilateral diffuse symmetrical ground-glass and consolidation opacities may be the characteristic of this disease. If combined with clinical data, the diagnosis of PCP could be established.",M1
20049469,"Radiological features of Pneumocystis jirovecii Pneumonia in immunocompromised patients with and without AIDS.The aim of this study was to compare chest computerized tomography (CT) findings of Pneumocystis jirovecii pneumonia (<e>PCP</e>) in immunocompromised patients with and without acquired immune deficiency syndrome (AIDS). Chest CT findings and clinical parameters of 38 consecutive immunocompromised patients, nine with AIDS and 29 with other causes of immunosuppression, were characterized and compared. PCP in patients without AIDS was diagnosed after a significantly shorter time interval from symptom onset: 8 +/- 6 vs. 18 +/- 1.0 days (p = 0.024). From a radiographic point of view, non-AIDS patients had a significantly higher proportion of diffuse ground glass lesions, 86 vs. 44% (p = 0.02), and a lower proportion of cystic lesions, 3 vs. 56% (p = 0.015). The two subgroups did not differ in smoking status and the number of pack-years. On multivariant analysis, only the presence of AIDS was found to be a risk factor for the formation of pulmonary cystic lesions. Different immune reactions to the parasite P. jirovecii in immunocompromised patients with and without AIDS results in a different time lag between symptoms and a correspondingly different radiographic pattern: widespread ground glass opacities in the former and cystic lesions in the latter.",M1
20020829,"Current understanding of Pneumocystis immunology.Pneumocystis jirovecii is the opportunistic fungal organism that causes Pneumocystis pneumonia (<e>PCP</e>) in humans. Similar to other opportunistic pathogens, Pneumocystis causes disease in individuals who are immunocompromised, particularly those infected with HIV. PCP remains the most common opportunistic infection in patients with AIDS. Incidence has decreased greatly with the advent of HAART. However, an increase in the non-HIV immunocompromised population, noncompliance with current treatments, emergence of drug-resistant strains and rise in HIV(+) cases in developing countries makes Pneumocystis a pathogen of continued interest and a public health threat. A great deal of research interest has addressed therapeutic interventions to boost waning immunity in the host to prevent or treat PCP. This article focuses on research conducted during the previous 5 years regarding the host immune response to Pneumocystis, including innate, cell-mediated and humoral immunity, and associated immunotherapies tested against PCP.",M1
19949093,"Anti-CD3 antibody decreases inflammation and improves outcome in a murine model of Pneumocystis pneumonia.The T cell-mediated immune response elicited by Pneumocystis plays a key role in pulmonary damage and dysfunction during Pneumocystis carinii pneumonia (<e>PcP</e>). Mice depleted of CD4(+) and CD8(+) T cells prior to infection are markedly protected from PcP-related respiratory deficit and death, despite progressive lung infection. However, the therapeutic effectiveness of Ab-mediated disruption of T cell function in mice already displaying clinical symptoms of disease has not been determined. Therefore, a murine model of PcP-related immune reconstitution inflammatory syndrome was used to assess whether Ab to the pan-T cell molecule CD3 is effective for reducing the severity of PcP when administered after the onset of disease. Mice that received anti-CD3 Ab exhibited a rapid and dramatic halt in the PcP-associated pulmonary function decline within 1 week after treatment, and a striking enhancement of survival rate compared with mice receiving the control Ab. Physiologic improvement in anti-CD3 treated mice was associated with a significant reduction in the number of CD4(+) and CD8(+) T cells recovered in lung lavage fluid. This effectiveness of anti-CD3 was noted whether the mice also received antibiotic therapy with trimethoprim-sulfamethoxazole. These data suggest that monoclonal Ab-mediated disruption of T cell function may represent a specific and effective adjunctive therapy to rapidly reverse the ongoing pathologic immune response occurring during active PcP. Thus, the anti-human CD3 monoclonal Ab OKT3, which is already in clinical use, has the potential to be developed as an adjunctive therapy for PcP.",M1
