@RELATION C0031858_C0030779

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20363988,"Oxytocin both increases proliferative response of peripheral blood lymphomonocytes to phytohemagglutinin and reverses immunosuppressive estrogen activity.BACKGROUND: It has been shown that the neurohypophyseal peptide oxytocin is present in the human thymus and in vitro it can mimic interleukin (IL)-2 action in the induction of interferon-gamma production. In the present study, we tested the capacity of oxytocin to modulate the response of peripheral blood mononuclear cells (PBMCs) to phytohemagglutinin (<e>PHA</e>) and its ability to change the membrane expression of IL-2 receptor CD25 and the CD95 activation marker. Furthermore, whether oxytocin was able to reverse the inhibition of PBMC blastic response and CD25 expression induced by estradiol benzoate (E(2)B) was studied. PATIENTS AND METHODS: Fifteen healthy women were studied with a mean age of 33.8 years, no previous pregnancies, all in the early follicular phase of the cycle with normal values of circulating estrogens. RESULTS: The addition of oxytocin (1x10(-10) M, 1x10(-11) M, 1x10(-12) M) significantly increased the PBMC blastic response to PHA as well as the expression of both CD25 and CD95. These results were due to interaction of oxytocin with its specific receptor since the addition of an oxytocin antagonist completely reversed the oxytocin activity. In contrast, E(2)B induced a marked decrease of PHA-stimulated PBMC cell cycle progression and CD25 expression: the inhibitory effect of E(2)B was significantly counteracted by low concentrations of oxytocin. CONCLUSION: The present results support the hypothesis that neuropeptides may act as a link in the network between the immune and the neuroendocrine systems.",M1
20349749,"Blood transport method for chromosome analysis of residents living near Semipalatinsk nuclear test site.A study was conducted to compare the storage conditions and transportation period for blood samples collected from residents living in areas near the Semipalatinsk nuclear test site (SNTS). Experiments were performed to simulate storage and shipping environments. Phytohaemagglutinin (<e>PHA</e>)-stimulated blood was stored in 15-ml tubes (condition A: current transport method) in the absence or in 50-ml flasks (condition B: previous transport method) in the presence of RPMI-1640 and 20% fetal bovine serum (FBS). Samples were kept refrigerated at 4 degrees C and cell viability was assessed after 3, 8, 12 and 14 days of storage. RPMI-1640, 20% FBS and further PHA were added to blood samples under condition A in 50-ml flasks for culture. Whole-blood samples under condition B were directly incubated without further sub-culturing process, neither media nor PHA were added, to adopt a similar protocol to that employed in the previous transport method. Samples in condition A and condition B were incubated for 48 hr at 37 degrees C and their mitotic index was determined. The results showed that viable lymphocytes were consistent in both storage conditions but the mitotic index was higher in condition A than in condition B. Although further confirmation studies have to be carried out, previous chromosomal studies and the present experiment have shown that PHA-stimulated blood could be stored without culture medium for up to 8 days under condition A. The present results will be useful for cytogenetic analysis of blood samples that have been transported long distances wherever a radiation accident has occurred.",M1
20210081,"Immunostimulatory acivity of Calophyllum brasiliense, Ipomoea pes-caprae and Matayba elaeagnoides demonstrated by human peripheral blood mononuclear cells proliferation.This study evaluates the effect of methanol extracts of three Brazilian medicinal plants on in vitro proliferation of human mononuclear cells. Lymphoproliferation assay was carried out by incubating human peripheral blood mononuclear cells from healthy donors (1 x 10(6) cells/mL) with extracts of Calophyllum brasiliense (roots), Ipomoea pes-caprae (whole plant) and Matayba elaeagnoides (bark), both at 10, 50, 100 and 200 microg/mL, alone or with phytohemagglutinin (<e>PHA</e>, 5 microg/mL), in 96-well microplates at 37 degrees C with 5% CO2, for 72 h. The quantification of cell proliferation assay was performed by blue tetrazolium (MTT) reduction with reading at 540 nm. Cells incubated with only the culture medium were used as negative control for cell proliferation, while the positive control consisted of cells and PHA. The results suggest that the extracts of all three studied plants induce T lymphocyte proliferation. I. pes-caprae showed immunostimulatory activity three times higher than the C. brasiliense extract, while that of the M. elaeagnoides extract was 1.5 times higher. The results demonstrate immunostimulatory effects of these three plants, therefore the continuity of these studies is recommended, in order to determine the active principles.",M1
20163586,"Mobiloization of intracellular calcium ions in chicken and rat lymphocytes induced by T cell mitogens.Cytosolic Ca(2+) is known to be an important factor in intracellular signaling pathways that regulate several cellular functions. The present study was designed to measure the intracellular concentrations of Ca(2+) ([Ca(2+)](i)) in T cell mitogen-stimulated chicken lymphocytes, and to compare the results with those in rat lymphocytes. [Ca(2+)](i) was increased in the thymocytes, splenocytes and bursacytes of chickens, and in the thymocytes and splenocytes of rats following exposure to the mitogens phytohaemagglutinin (<e>PHA</e>) and concanavalin A (ConA). Increases were greatest in the thymocytes followed by the splenocytes and bursacytes. The PHA-induced changes in the thymocytes and splenocytes were similar in chickens and rats, but the ConA-induced increases were significantly lower in the chickens than rats. Pretreatment with EGTA before the application of PHA and ConA completely suppressed the rise in [Ca(2+)](i) in all the chicken lymphocytes, indicating that the increases that occurred in PHA- and ConA-treated chicken lymphocytes could be entirely attributed to the influx of extracellular Ca(2+). On the other hand, the PHA- and ConA-induced increase in [Ca(2+)](i) in rat lymphocytes was not completely suppressed by EGTA, indicating the recruitment of Ca(2+) from the intracellular Ca(2+) pool. The results suggest species differences in the Ca(2+)-based responses to T cell mitogens between chicken lymphocytes and rat lymphocytes.",M1
20103721,"zeta-Crystallin is a bcl-2 mRNA binding protein involved in bcl-2 overexpression in T-cell acute lymphocytic leukemia.The human antiapoptotic bcl-2 gene has been discovered in t(14;18) B-cell leukemias/lymphomas because of its overexpression caused at a transcriptional control level by the bcl-2/IgH fusion gene. We were the first to disclose the post-transcriptional control of bcl-2 expression mediated by interactions of an adenine + uracil (AU)-rich element (ARE) in the 3'-UTR of bcl-2 mRNA with AU-binding proteins (AUBPs). Here, we identify and characterize zeta-crystallin as a new bcl-2 AUBP, whose silencing or overexpression has impact on bcl-2 mRNA stability. An increased Bcl-2 level observed in normal phytohemagglutinin (<e>PHA</e>)-activated T lymphocytes, acute lymphatic leukemia (ALL) T-cell lines, and T cells of patients with leukemia in comparison with normal non-PHA-activated T lymphocytes was concomitant with an increase in zeta-crystallin level. The specific association of zeta-crystallin with the bcl-2 ARE was significantly enhanced in T cells of patients with ALL, which accounts for the higher stability of bcl-2 mRNA and suggests a possible contribution of zeta-crystallin to bcl-2 overexpression occurring in this leukemia.",M1
20003431,"Aqueous extracts from dietary supplements influence the production of inflammatory cytokines in immortalized and primary T lymphocytes.BACKGROUND: Congaplex and Immuplex are dietary supplements that have been traditionally used to support immune system function. The purpose of these experiments was to determine whether Congaplex and Immuplex affect immune function using primary and immortalized T lymphocytes. METHODS: Immortalized CEM and Jurkat T lymphocytes and primary peripheral mononuclear blood cells (PBMCs) were treated with the aqueous extracts from Congaplex and Immuplex to determine the effects of these products on cytokine production in activated T lymphocytes. RESULTS: Congaplex enhanced phytohemagglutinin/phorbol 12-myristate 13-acetate (<e>PHA</e>/PMA) stimulation of both CEM and Jurkat cells as measured by the production of cytokines, while Immuplex suppressed PHA/PMA-induced production of cytokines, with the exception of interleukin (IL)-8 which was enhanced by Immuplex. In vitro treatment of PBMCs from 10 healthy donors with Congaplex or Immuplex decreased PHA-stimulated production of interferon (IFN)-gamma but increased the production of IL-13. CONCLUSIONS: While the effects of Congaplex and Immuplex differed in these two models, these data demonstrate that the aqueous extracts from these two dietary supplements can affect the inflammatory response of T lymphocytes.",M1
19967526,"In vivo functional tests for assessing immunotoxicity in birds.Various methods have been adapted for assessing the effects of environmental contaminants on the structure and function of the immune system in wild and captive birds. This chapter describes two integrative functional assays that have been adapted to a variety of avian species and have proven to be sensitive biomarkers for immunotoxicological effects. The phytohemagglutinin (<e>PHA</e>) skin test measures T cell-mediated immunity. PHA is injected intra- or sub-dermally into the wing web of the elbow joint (or interdigitary skin or wattle). The PHA stimulates T lymphocytes to release cytokines that cause an inflammatory influx of leukocytes and fluid. The thickness of the wing web is measured before and 24 h after injection. A stimulation index, which reflects T cell function, is calculated as the increase in skin thickness caused by the PHA minus the increase caused by an injection of phosphate buffered saline (PBS) in the other wing web. In addition to its sensitivity to contaminants, ecological studies have shown that the PHA skin response is positively associated with rates of survival and colonization of new areas (i.e., ability to found new local populations) in wild birds.The sheep red blood cell (SRBC) hemagglutination assay measures the antibody response to immunization with SRBC antigens, integrating the functions of B lymphocytes, helper T lymphocytes, and macrophages. A SRBC suspension is injected i.v., and a blood sample is collected approximately 6 days later. Plasma (or serum) from the blood sample is serially diluted in a microtiter plate, and SRBCs are added. The magnitude of the antibody response is defined as the titer - the highest dilution of plasma in which the concentration of antibody is sufficient to agglutinate the SRBCs. Both IgM and IgG titers can be measured. This avian test is very similar in principle to the anti-SRBC ELISA and splenic plaque forming assays used for immunotoxicological testing in rodents. However, this avian hemagglutination assay does not require a species-specific secondary antibody (as does the ELISA), and this minimally invasive, nonlethal procedure is amenable to studies of protected species, as opposed to the splenic assay. The PHA and SRBC assays have been employed successfully in both the laboratory and field. In ecological studies birds must be recaptured 24 h or 6 days after the initial injections, limiting their use in some species. However, their sensitivity to a variety of contaminants and their ease of adaptability to a variety of species have made the PHA and SRBC tests some of the most commonly used assays for screening and monitoring immunotoxicity in birds.",M1
19965584,"Reduced prostaglandin F2 alpha release from blood mononuclear leukocytes after oral supplementation of omega3 fatty acids: the OmegAD study.Omega-3 fatty acids, e.g., dokosahexaenoic acid (DHA) and eikosapentaenoic acid (EPA), ameliorate inflammatory reactions by various mechanisms, but the role of prostaglandins remains unclear. Our aim was to determine if dietary supplementation with a DHA-rich fish oil influenced the release of PGF(2alpha) from peripheral blood mononuclear cells (PBMC). In the OmegAD study, 174 Alzheimer disease patients received either 1.7 g DHA plus 0.6 g EPA or a placebo daily for six months. PBMCs from the 21 (9 on fish oil and 12 on placebo) first-randomized patients were stimulated with either lipopolysaccharide (LPS) or phytohemagglutinin (<e>PHA</e>) before and after 6 months. Our results showed that plasma concentrations of DHA and EPA increased significantly at 6 months in the omega-3 group. PGF(2alpha) release from LPS- (but not from PHA-) stimulated PBMC was significantly diminished in this group; no change was noted in the placebo group. PGF(2alpha) changes correlated inversely with changes in plasma DHA and EPA. Decreased IL-6 and IL-1(beta) levels correlated with decreased PGF(2alpha) levels. The stimulus-specific PGF(2alpha) release from PBMC after 6 months of oral supplementation with the DHA-rich fish oil might be one event related to reduced inflammatory reactions associated with omega-3 fatty acid intake.",M1
19922801,"Establishment of an IFN-gamma specific reporter cell line in fish.An interferon (IFN)-gamma responsive stable cell line RTG-3F7 has been developed for rainbow trout by modifying the RTG-2 cell line through transfection with a plasmid construct (pGL4.14[luc2/hygro]-PrTAP2) containing a promoter element from the IFN-gamma responsive gene TAP2 linked to a luciferase reporter gene and a hygromycin resistance gene. Following transfection single clones were selected in 96 well plates using hygromycin B, and those showing specific activation after rIFN-gamma stimulation were maintained. Five clones that showed the highest reporter activity to rIFN-gamma were incubated with different stimuli to examine specificity. No significant induction of luciferase was observed following exposure to recombinant type I IFN, LPS, <e>PHA</e> or poly I:C. The cell line was responsive to rIFN-gamma at concentrations between 150 pg and 20 ng ml(-1). Supernatants of primary cultures of head kidney leucocytes stimulated with PHA, known to induce IFN-gamma gene expression, were also used to assess the reporter activity of the stable cell line. A dose-dependent induction of the promoter activity was observed with these supernatants indicating the presence of IFN-gamma. These results indicate that the stable cell line RTG-3F7 is an excellent tool for monitoring the presence of trout IFN-gamma in biological samples, and in addition, enables the study of intracellular signalling pathways of IFNs, their receptor interactions, and other closely related signalling networks.",M1
19922798,"Characterization of grass carp (Ctenopharyngodon idellus) Foxp1a/1b/2: evidence for their involvement in the activation of peripheral blood lymphocyte subpopulations.Foxp subfamily belongs to the Fox family of winged-helix transcription factors and plays critical roles in multiple biological processes including development and immunoregulation. However, little is known about the regulation and function of Foxp subfamily in fish immune system. In this study, we obtained the complete cDNAs of grass carp Foxp1a, Foxp1b and Foxp2. They possess the conserved leucine zipper domain, zinc finger domain and forkhead domain when compared with their mammalian counterparts, except that Foxp1a lacks the forkhead domain. Real-time RT-PCR analysis showed that their transcripts were mainly found in thymus, spleen and peripheral blood lymphocytes (PBLs). In grass carp PBLs, both LPS and <e>PHA</e> were effective in elevating Foxp1b mRNA levels but had no effect on Foxp1a mRNA, while only PHA affected Foxp2 mRNA expression. Using the same cell model, PHA was revealed to up-regulate mRNA expression of T-cell marker genes (CD4-like, CD8alpha and CD8beta) but not B-cell marker gene (IgM). Unlike PHA, LPS increased IgM mRNA level but did not affect T-cell marker gene expression. These findings suggest that PHA and LPS may act on distinct lymphocyte subpopulations in grass carp PBLs and provide evidence for the involvement of Foxp1b and Foxp2 in the activation of different lymphocyte subpopulations in grass carp.",M1
