@RELATION C0151636_C0032624

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20146783,"Rest premature ventricular contractions on routine ECG and prognosis in heart failure patients.BACKGROUND: Premature ventricular contractions (<e>PVC</e>) at rest are frequently seen in heart failure (HF) patients but conflicting data exist regarding their importance for cardiovascular (CV) mortality. This study aims to evaluate the prognostic value of rest PVCs on an electrocardiogram (ECG) in patients with a history of clinical HF. METHODS AND RESULTS: We considered 352 patients (64 + or - 11 years; 7 females) with a history of clinical HF undergoing treadmill testing for clinical reasons at the Veterans Affairs Palo Alto Health Care System (VAPAHCS) (1987-2007). Patients with rest PVCs were defined as having &gt; or = 1 PVC on the ECG prior to testing (n = 29; 8%). During a median follow-up period of 6.2 years, there were 178 deaths of which 76 (42.6%) were due to CV causes. At baseline, compared to patients without rest PVCs, those with rest PVCs had a lower ejection fraction (EF) (30% vs 45%) and the prevalence of EF &lt; or = 35% was higher (75% vs 41%). They were more likely to have smoked (76% vs 55%).The all-cause and CV mortality rates were significantly higher in the rest PVCs group (72% vs 49%, P = 0.01 and 45% vs 20%, P = 0.002; respectively). After adjusting for age, beta-blocker use, rest ECG findings, resting heart rate (HR), EF, maximal systolic blood pressure, peak HR, and exercise capacity, rest PVC was associated with a 5.5-fold increased risk of CV mortality (P = 0.004). Considering the presence of PVCs during exercise and/or recovery did not affect our results. CONCLUSION: The presence of PVC on an ECG is a powerful predictor of CV mortality even after adjusting for confounding factors.",M1
20020350,"The use of bayesian networks for heart beat classification.This work proposes to use a static Bayesian network as a tool to support medical decision in the on-line detection of Premature Ventricular Contraction beats (<e>PVC</e>) in electrocardiogram (ECG) records, which is a well known cardiac arrhythmia available for study in standard ECG databases. The main motivation to use Bayesian networks is their capability to deal with the uncertainty embedded in the problem (the medical reasoning itself frequently embeds some uncertainty). Indeed, the probabilistic inference is quite suitable to model this kind of problem, for considering its random character; as a consequence, random variables are used to propagate the uncertainty embedded in the problem. Some topologies of static Bayesian networks are implemented and tested in this work, in order to find out the one more suitable to the problem addressed. The results of such tests are discussed in details along the text, and the conclusions are highlighted.",M1
20003019,"Safety and feasibility of real time adenosine myocardial contrast echocardiography with emphasis on induction of arrhythmias: a study in healthy volunteers and patients with stable coronary artery disease.INTRODUCTION: Some studies reported an increased incidence of premature ventricular complexes (<e>PVCs</e>) during triggered myocardial contrast echocardiography (MCE) using high-intensity ultrasound destruction. Whether PVCs are also induced by real time MCE using low emission power, is unknown. The aim of the study was to assess the occurrence of arrhythmias during real time adenosine MCE in healthy volunteers and patients with stable coronary artery disease (CAD). METHODS: Fifty healthy volunteers and 26 patients with stable CAD underwent real time MCE using Sonovue and power pulse inversion (ATL 5000) at rest and during adenosine stress. The occurrence of premature atrial complexes (PAC) and PVCs was analyzed before and during MCE using ECG-tracings from videotapes. RESULTS: In healthy subjects, the occurrence of PVCs at baseline (0.04 +/- 0.23 PVCs/min) was similar at rest (0.04 +/- 0.23 PVCs/min, P = NS), and adenosine stress (0.03 +/- 0.14, P = NS). In CAD patients, the occurrence of PVCs at baseline was 0.30 +/- 0.76 PVC/min, compared to 0.29 +/- 0.74 at rest (P = NS), and 0.34 +/- 0.74 during adenosine stress (P = NS). The number of subjects demonstrating PVCs did not increase during MCE. The occurrence of PACs during MCE was not increased compared to baseline. CONCLUSION: Real time MCE using low emission power does not increase the occurrence of premature complexes in healthy volunteers or CAD patients.",M1
19879531,"Impact of radiofrequency ablation of frequent post-infarction premature ventricular complexes on left ventricular ejection fraction.BACKGROUND: Frequent idiopathic premature ventricular complexes (<e>PVC</e>) are associated with a reversible form of cardiomyopathy. The effect of frequent PVCs on left ventricular function has not been evaluated in post-infarction patients. OBJECTIVE: This study sought to evaluate the value of post-infarction PVC ablation and possible determinants of a reversible cardiomyopathy. METHODS: Thirty consecutive patients (24 men, age 61 +/- 12, left ventricular ejection fraction [LVEF] 0.36 +/- 0.12) with remote myocardial infarction referred for implantable cardioverter-defibrillator (ICD) implantation for primary prevention of sudden death or for management of symptomatic ventricular tachycardia or PVCs were evaluated. Fifteen patients with a high PVC burden (&gt;or=5% of all QRS complexes on 24-h Holter monitor) underwent mapping and ablation of PVCs before ICD implantation. The remaining 15 patients served as a control group. LVEF was assessed by echocardiography, and scar burden was assessed by cardiac magnetic resonance imaging with delayed enhancement (DE-MRI) in both groups. RESULTS: PVC ablation was successful in 15 of 15 patients and reduced the mean PVC burden from 22 +/- 12% to 2.6 +/- 5.0% (P &lt;.001). After the procedure, LVEF increased significantly from 0.38 +/- 0.11 to 0.51 +/- 0.09 in the PVC ablation group (P = .0001). In the control group, LVEF remained unchanged within the same time frame (0.34 +/- 0.14 vs. 0.33 +/- 0.15; P = .6). Patients with frequent PVCs had a significantly smaller scar burden by DE-MRI compared with control patients. Five of the patients with frequent PVCs underwent ICD implantation. CONCLUSION: Post-infarction patients with frequent PVCs may have a reversible form of cardiomyopathy. DE-MRI may identify patients in whom the LVEF may improve after ablation of frequent PVCs.",M1
19816869,"Depressive symptoms and risk factors in Chinese patients with premature ventricular contractions without structural heart disease.HYPOTHESIS: Our objective was to study depressive symptoms and potential risk factors in Chinese persons with premature ventricular contractions (<e>PVCs</e>) without structural heart disease. METHODS: The Zung self-rating depression scale (ZSDS) was used to assess depressive symptoms. Correlations between depressive symptoms and sociodemographic and medical factors were analyzed by logistic regression. BACKGROUND: Prevalence of depressive symptoms in coronary heart disease (CHD) is higher that in the general population and those for the majority of other chronic symptoms in patients with premature ventricular contractions (PUCS). RESULTS: Of 1,144 patients with PVCs (488 males, 656 females), age 51 +/- 23 years, disease duration 1 mo - 23 y, a total of 309 (27%) patients were categorized as having depressive symptoms. Depressive symptoms increased with age, income, education level, nationality, PVC count/24h, society support, and settlement type (p &lt; 0.05). Univariate logistic regression showed that being female, level of education, age, settlement type, and PVC count/24h significantly correlated with depressive symptoms (p &lt; 0.05). Multivariate logistic regression indicated that 5 variables-female sex, education level, settlement type, age, and PVC count/24h significantly and independently related with depressive symptoms (p &lt; 0.05). CONCLUSIONS: In the Chinese population, depressive symptoms in subjects with PVCs were frequent. The village settlement type, female sex, age, PVC count/24h, and education level were independent risk factors for depressive symptoms. Further research on the relationship between PVCs and depressive symptoms in China is necessary.",M1
19796340,"Premature ventricular contractions arising from the intramural ventricular septum.A 68-year-old man with symptomatic idiopathic premature ventricular contractions (<e>PVCs</e>) underwent electrophysiological testing. Radiofrequency catheter ablation was unsuccessful at the earliest endocardial ventricular activation site in the left coronary cusp. Epicardial mapping via the cardiac veins was then performed. Balloon-occluded coronary sinus venography revealed the small branches of the anterior interventricular vein. Mapping with a microcatheter revealed the earliest ventricular activation and perfect pace map at the distal portion of the septal perforating branch, suggesting an intramural ventricular septal PVC origin. Catheter ablation was abandoned because of the inaccessibility of the ablation catheter to that site via the venous system.",M1
19758851,"Robust detection of premature ventricular contractions using a wave-based Bayesian framework.Detection and classification of ventricular complexes from the ECG is of considerable importance in Holter and critical care patient monitoring, being essential for the timely diagnosis of dangerous heart conditions. Accurate detection of premature ventricular contractions (<e>PVCs</e>) is particularly important in relation to life-threatening arrhythmias. In this paper, we introduce a model-based dynamic algorithm for tracking the ECG characteristic waveforms using an extended Kalman filter. The algorithm can work on single or multiple leads. A  polargram --a polar representation of the signal--is introduced, which is constructed using the Bayesian estimations of the state variables. The polargram allows the specification of a polar envelope for normal rhythms. Moreover, we propose a novel measure of signal fidelity by monitoring the covariance matrix of the innovation signals throughout the filtering procedure. PVCs are detected by simultaneous tracking the signal fidelity and the polar envelope. Five databases, including 40 records from MIT-BIH arrhythmia database, are used for differentiating normal, PVC, and other beats. Performance evaluation results show that the proposed method has an average detection accuracy of 99.10%, aggregate sensitivity of 98.77%, and aggregate positive predictivity of 97.47%. Furthermore, the method is capable of 100% accuracy for records that contain only PVCs and normal sinus beats. The results illustrate that the method can contribute to, and enhance the performance of clinical PVC detection.",M1
19721133,"GAP-134 ([2S,4R]-1-[2-aminoacetyl]4-benzamidopyrrolidine-2-carboxylic acid) prevents spontaneous ventricular arrhythmias and reduces infarct size during myocardial ischemia/reperfusion injury in open-chest dogs.The antiarrhythmic dipeptide, GAP-134, ([2S,4R]-1[2-aminoacetyl]-4-benzamido-pyrrolidine-2-carboxylic acid) was evaluated in canine ischemia/reperfusion model. In dogs subjected to 60-minute ischemia and 4-hour reperfusion, GAP-134 was administered 10 minutes before reperfusion as a bolus + intravenous (IV) infusion. The doses administered were 0.25 microg/kg bolus + 0.19 microg/kg per hour infusion; 2.5 microg/kg + 1.9 microg/kg per hour; 25 mg/kg + 19 mg/kg per hour; 75 mg/kg + 57 mg/kg per hour. Ventricular ectopy was quantified during reperfusion, including premature ventricular contractions (<e>PVC</e>) and ventricular tachycardia (VT). Total incidence of VT was reduced significantly with the 2 highest doses of GAP-134 (1.7 + 0.8; 2.2 + 1.4 events; P &lt; .05) compared to controls (23.0 + 6.1). Total PVCs were reduced significantly from 11.1 + 1.6% in control animals to 2.0% + 0.7% and 1.8% + 0.8% after the 2 highest doses of GAP-134. Infarct size, expressed as percentage of left ventricle, was reduced significantly from 19.0% + 3.5% in controls to 7.9% + 1.5% and 7.1% + 0.8% (P &lt; .05) at the 2 highest doses of GAP-134. GAP-134 is an effective antiarrhythmic agent with potential to reduce ischemia/reperfusion injury.",M1
19553746,"Misleading ECG appearance of AV block due to concealed AV nodal conduction caused by interpolated ventricular ectopic beats.Concealed conduction commonly occurs when a retrogradely conducted interpolated ectopic impulse enters the atrioventricular (AV) node; thus, the next sinus beat is not conducted to the ventricle or conducted with a prolonged PR interval because of increased refractoriness of AV conduction system. A 67-year-old man had complaints of exertional fatigue and palpitations at rest. His blood pressure was 110/70 mmHg and heart rate was 78 beats/min. Auscultation revealed a mild systolic murmur at the apex and an irregular rhythm. His electrocardiogram was normal, except for the presence of frequent premature ventricular complexes (<e>PVC</e>) of right bundle branch block morphology. Echocardiographic examination showed only grade-1 mitral regurgitation. Further evaluation with 24-h Holter monitoring showed frequent interpolated PVCs in bigeminal rhythm. Progressive prolongation of the PR interval was observed after each PVC, which ended with Mobitz type I AV block. The patient was treated with metoprolol which resulted in immediate and marked improvement in the symptoms. Control Holter recording showed very rare PVCs, without PR prolongation or AV block.",M1
19429571,"Prognostic significance of frequent premature ventricular contractions originating from the ventricular outflow tract in patients with normal left ventricular function.BACKGROUND: Recently, it has been reported that frequent premature ventricular contractions (<e>PVCs</e>) may be associated with causing heart failure in patients with left ventricular (LV) dysfunction. However, the prognostic significance of frequent PVCs in asymptomatic patients with a normal LV function is unclear. METHODS: Two hundred and thirty-nine consecutive patients presenting with frequent PVCs (&gt;1000 beats/day) originating from the right or left ventricular outflow tract without any detectable heart disease were enrolled in the study. Structural heart disease was ruled out by echocardiography and cardiac magnetic resonance imaging, and Holter-ECG monitoring was repeated two or three times to evaluate the PVC prevalence at the initial evaluation. All patients were followed up for at least 4 years, and further observation was continued if possible. RESULTS: During an observation period of 5.6 (1.7) years, no patients exhibited any serious cardiac events. Although there was no significant change in the mean LV ejection fraction (LVEF) and mean LV diastolic dimension (LVDd), there was a significant negative correlation between the PVC prevalence and DeltaLVEF (p&lt;0.001) and positive correlation between the PVC prevalence and DeltaLVDd (p&lt;0.001). When the development of LV dysfunction was defined as DeltaLVEF&gt;-6%, 13 patients exhibited LV dysfunction. For the prediction of the development of LV dysfunction, PVC prevalence and LVEF at the initial evaluation were independent predicting factors (p&lt;0.01). CONCLUSION: Although the prognosis in patients with frequent PVCs was considered relatively benign, attention should be paid to the progression of the LV dysfunction during a long-term observation, especially in patients with a high PVC prevalence.",M1
