@RELATION C0002893_C0003873

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20022110,"Differences in the distribution of subtypes according to the WHO classification 2008 between Japanese and German patients with refractory anemia according to the FAB classification in myelodysplastic syndromes.We reported the different clinical features between Japanese and German refractory anemia (<e>RA</e>) patients in FAB classification. We re-analyzed the clinical features by WHO classification revised in 2008. The frequencies of refractory cytopenia with unilineage dysplasia (RCUD) and myelodysplastic syndrome-unclassified (MDS-U) with pancytopenia in Japanese patients were higher than in German patients (p&lt;0.001). Refractory cytopenia with multilineage dysplasia patients showed the most unfavorable prognosis in both countries. The higher frequencies of MDS-U with pancytopenia and RCUD in Japanese patients may influence the different clinical characteristics between Japanese and German FAB-RA patients.",M1
19563026,"[Re-evaluation of classification of myelodysplastic syndromes with low percentage bone marrow blasts]OBJECTIVE: To apply the WHO criteria and the minimal diagnostic criteria to the classification of myelodysplastic syndromes (MDS) with low percentage (&lt; 0.050) bone marrow (BM) blasts. METHODS: Two hundred and ten MDS patients with less than 0.050 BM blasts diagnosed between 1988 and 2005 according to FAB criteria were retrospectively reclassified with WHO criteria (2001) and minimal diagnostic criteria. RESULTS: According to the WHO criteria, 5 patients were diagnosed as refractory anemia (<e>RA</e>), 7 as refractory anemia with ringed sideroblasts (RARS), 76 as refractory cytopenia with multilineage dysplasia (RCMD), 9 as RCMD-RS, 35 as MDS-unclassified (MDS-U), 3 as 5q - syndromes, and the rest 75 patients could not be classified suitably. Among the latter 75 patients 16 BM smears showed dysplasia in more than 2 cell lineage but only unilineage cytopenia in peripheral blood (PB). Nine of them were reclassified as RCMD after followed up for more than half a year. Forty-four BM smears showed erythroid dysplasia only, but bicytopenia or pancytopenia in PB. Twenty-seven of them were classified as RCMD after follow-up. Fifteen BM smears not showed dysplasia in any myeloid lineage were reclassified as MDS (5 patients), HS-MDS (5 patients) and idiopathic cytopenia of uncertain significance (ICUS) (5 patients) according to the MDS minimal diagnostic criteria. CONCLUSION: According to WHO criteria (2001), RA is the least diagnosis in MDS. The minimal diagnostic criteria for MDS classification of patients not fulfilled the standard criteria of MDS.",M1
19499580,"Treatment of children with refractory anemia: the Japanese Childhood MDS Study Group trial (MDS99).BACKGROUND: Although hematopoietic stem cell transplantation (HSCT) is offered as a curative therapy for pediatric myelodysplastic syndrome (MDS), it may cause severe complications and mortality. Several reports have shown the efficacy of immunosuppressive therapy (IST) in adult patients with refractory anemia (<e>RA</e>), but its safety and efficacy remains to be fully elucidated in childhood RA. PROCEDURE: Eleven children diagnosed with RA and enrolled on a prospective multicenter trial conducted by the Japanese Childhood MDS Study Group were eligible for analysis. If patients showed transfusion dependent or suffered from infection due to neutropenia, they received IST consisting of antithymocyte globulin (ATG), cyclosporine (CyA), and methylprednisolone (mPSL). RESULTS: Eight children received IST, 2 received only supportive therapy, and one underwent HSCT without IST. Five (63%) of eight children who received IST showed hematological response. Of note, one patient showed the disappearance of monosomy 7 after IST. Responders were significantly younger than non-responders (29 months vs. 140 months; P = 0.03). No severe adverse events related to IST were reported in this study. Of 6 children with chromosomal abnormalities who received IST, four showed hematological response. The probability of failure-free and overall survival at 5 years was 63 +/- 17% and 90 +/- 9% respectively. CONCLUSION: IST is likely to be a safe and effective modality for childhood RA.",M1
19411106,"The significance of bone marrow cell morphology and its correlation with cytogenetic features in the diagnosis of MDS-<e>RA</e> patients.Besides cytopenia, dysplasia is crucial characteristic of MDS-RA. To summarize the morphological features that contribute to the diagnosis of MDS-RA, 48 RA patients with abnormal karyotype were analyzed for the features of morphological and cytogenetical abnormalities and the relationships between them. 46 MDS-RA patients with normal karyotype and 207 patients with non-MDS anemia were enrolled into control groups. More conspicuous and diverse dysplasia can be found in abnormal karyotype MDS-RA than those in control groups (P&lt;0.05). Apparent dysplasia in granulocyte and megakaryocytoid lineages may provide valuable evidence for the diagnosis. Dysplasia occurred more frequently in patients with severe chromosome abnormalities.",M1
19148135,"Erythroid precursors from patients with low-risk myelodysplasia demonstrate ultrastructural features of enhanced autophagy of mitochondria.Recent studies in erythroid cells have shown that autophagy is an important process for the physiological clearance of mitochondria during terminal differentiation. However, autophagy also plays an important role in removing damaged and dysfunctional mitochondria. Defective mitochondria and impaired erythroid maturation are important characteristics of low-risk myelodysplasia. In this study we therefore questioned whether the autophagic clearance of mitochondria might be altered in erythroblasts from patients with refractory anemia (<e>RA</e>, n=3) and RA with ringed sideroblasts (RARS, n=6). Ultrastructurally, abnormal and iron-laden mitochondria were abundant, especially in RARS patients. A large proportion (52+/-16%) of immature and mature myelodysplastic syndrome (MDS) erythroblasts contained cytoplasmic vacuoles, partly double membraned and positive for lysosomal marker LAMP-2 and mitochondrial markers, findings compatible with autophagic removal of dysfunctional mitochondria. In healthy controls only mature erythroblasts comprised these vacuoles (12+/-3%). These findings were confirmed morphometrically showing an increased vacuolar surface in MDS erythroblasts compared to controls (P&lt;0.0001). In summary, these data indicate that MDS erythroblasts show features of enhanced autophagy at an earlier stage of erythroid differentiation than in normal controls. The enhanced autophagy might be a cell protective mechanism to remove defective iron-laden mitochondria.",M1
19136196,"Defective cytotoxicity of T lymphocytes in myelodysplastic syndrome.OBJECTIVE: The capacity of mononuclear blood cells to form autoreactive cytotoxic T lymphocytes was investigated in order to elucidate the mechanism of successful immunosuppressive therapy in some myelodysplastic syndrome (MDS) patients (autoreactivity studies). The failure in autoreactivity studies raised the question of alloreactive cytotoxic T lymphocyte formation in MDS (alloreactivity studies). MATERIALS AND METHODS: Sixteen MDS patients and relevant controls were examined. Autoreactive lymphocytes directed against autologous bone marrow mononuclear cells and alloreactive lymphocytes directed against unrelated third-party cells were tested using cytotoxicity assay. In addition, we used one-way mixed lymphocyte reaction, human androgen receptor test for clonality detection, and enzyme-linked immunosorbent assay kits for tumor necrosis factor and interferon-gamma testing. RESULTS: We did not confirm the presence of autoreactive T cells in eight of nine MDS patients tested. The response to allogeneic cells was impaired in 11 of 16 MDS patients, more often in refractory anemia (<e>RA</e>; 80%) than in RA with ring sideroblasts (40%). Interestingly, the response to allogeneic cells in mixed lymphocyte reaction was normal in all MDS patients. T lymphocytes were polyclonal in all but one patient. Tumor necrosis factor and interferon-gamma level in supernatants of mononuclear cells was significantly reduced in RA. CONCLUSION: The presumed autoaggressive T cells were not confirmed in MDS in our experimental arrangement. Alloreactivity studies demonstrated the impairment of effector cytotoxic phase of cell-mediated immunological reaction in MDS, namely in RA. The significance of our finding of defective cytotoxicity for pathogenesis, clinical course, and even for therapy is discussed together with other immunological defects reported so far.",M1
19080358,"Prognostic analysis of refractory anaemia in adult myelodysplastic syndromes.BACKGROUND: Patients with myelodysplastic syndrome (MDS) display a very diverse pattern. In this study, we investigated prognostic factors and survival rate in adult patients with MDS refractory anaemia (MDS-<e>RA</e>) diagnosed according to French-American-British classification and evaluated the International Prognostic Scoring System (IPSS) for Chinese patients. METHODS: A multi-center study on diagnosis of MDS-RA was conducted to characterize the clinical features of Chinese MDS patients. The morphological criteria for the diagnosis of MDS-RA were first standardized. Clinical data of 307 MDS-RA patients collected from Shanghai, Suzhou and Beijing from 1995 to 2006 were analyzed using Kaplan-Meier curve, log rank and Cox regression model. RESULTS: The median age of 307 MDS-RA cases was 52 years. The frequency of 2 or 3 lineage cytopenias was 85.6%. Abnormal karyotype occurred in 35.7% of 235 patients. There were 165 cases (70.2%) in the good IPSS cytogenetic subgroup, 44 cases (18.7%) intermediate and 26 cases (11.1%) poor. IPSS showed 20 (8.5%) categorized as low risk, 195 cases (83.0%) as intermediate-I risk and 20 cases (8.5%) as intermediate-II risk. The 1-, 2-, 3-, 4- and 5-year survival rates were 90.8%, 85.7%, 82.9%, 74.9% and 71.2% respectively. Fifteen cases (4.9%) transformed to acute myeloid leukaemia (median time 15.9 months, range 3 - 102 months). Lower white blood cell count (&lt; 1.5 x 10(9)/L), platelet count (&lt; 30 x 10(9)/L) and cytogenetic abnormalities were independent prognostic factors by multivariate analysis, but age (= 65 years), IPSS cytogenetic subgroup and IPSS risk subgroup were not independent prognostic factors associated with survival time. CONCLUSIONS: Chinese patients were younger, and had lower incidence of cytogenetic abnormalities, more severe cytopenias but a more favourable prognosis than Western patients. The major prognostic factors were lower white blood cell count, lower platelet count and fewer abnormal karyotypes. The international prognostic scoring system risk group was not an independent prognostic factor for Chinese myelodysplastic syndrome patients with refractory anaemia patients.",M1
18691343,"Clinical significance of Th1/Th2 ratio in patients with myelodysplastic syndrome.In this study, we attempted to evaluate the clinical significance of T helper 1 (Th1)/T helper 2 (Th2) ratio in patients with myelodysplastic syndrome (MDS), five refractory anaemia (<e>RA</e>), four refractory anaemia with ringed sideroblasts (RARS), 31 refractory cytopenia with multilineage dysplasia (RCMD), nine refractory anaemia with excess blast-1 (RAEB-1) and seven refractory anaemia with excess blast-2 (RAEB-2). Intracellular interleukin-4 (Th2 cytokine) and interferon-gamma (Th1 cytokine) production was assessed in CD4+ T lymphocytes activated by phorbol 12-myristate 13-acetate and ionomycin using flow cytometry. Mean Th1/Th2 ratios in each MDS group were as follows: RA/RARS, 8.8 (95% CI, 5.8-11.8), RCMD, 14.7 (95% CI, 9.5-19.9), RAEB-1, 10.6 (95% CI, 4.6-16.6), RAEB-2, 12.8 (95% CI, 3.0-22.7) and control 12.8 (95% CI, 9.6-16.1). There were no significant differences in Th1/Th2 ratio in the RA/RARS, RCMD, RAEB-1 and RAEB-2 subgroups when compared to controls. Because Th1/Th2 ratio in the RCMD group was widely distributed, we divided RCMD patients according to Th1/Th2 ratio into three groups (low, normal and high Th1/Th2 groups). There were no differences in severity of cytopenia among the three above groups. However, the percentage of CD8 cells in the low Th1/Th2 group was significantly lower than those in the high group (P &lt; 0.01). These data suggest that Th1/Th2 imbalance induces CD4/CD8 imbalance, and serves as a marker of the biological interplay in immune regulation.",M1
18477214,"Characterization of myelodysplastic syndrome and aplastic anemia by immunostaining of p53 and hemoglobin F and karyotype analysis: differential diagnosis between refractory anemia and aplastic anemia.P53 mutation has been reported in various solid tumors, acute leukemia and myelodysplastic syndrome (MDS), but the diagnostic significance of p53 in MDS remains to be determined. The purpose of the present paper was to examine p53 mutation and immunostaining of the same patients, because there have been few reports of simultaneous analysis of these markers. Seven p53 mutations were observed among 37 MDS and 11 cases of overt leukemia transformed from MDS (MDS-OL). Mutated p53 mainly observed in high-risk MDS had more intense p53 staining than in MDS with wild-type p53 overexpression. Aplastic anemia (AA) produced no p53 staining. The percentage of p53 staining in MDS (71%) was higher than that of mutated p53 (11%) but did not reach 100% of MDS cases studied, therefore the authors attempted to differentiate MDS, especially refractory anemia (<e>RA</e>) and AA, using a combination of p53 immunostaining, hemoglobin F (HbF) immunostaining and chromosome abnormality, because HbF of erythroblasts was reportedly observed in MDS RA but not in AA. Most MDS/MDS-OL (47/48) had at least one positive marker. Among 11 AA cases, only two were positive for HbF. The present results suggest that the combination of these three markers is useful to discriminate MDS from AA.",M1
18476419,"[Effect of treatment for myelodysplastic syndrome by Qinghuang Powder combined with Chinese herbs for reinforcing shen and strenghening pi]OBJECTIVE: To observe the clinical efficacy of Qinghuang Powder combined with Chinese herbs for reinforcing Shen and strenghening Pi in treating myelodysplastic syndrome (MDS). METHODS: fifty-five patients with diagnosis fitting to MDS were treated with Qinghuang Powder and decoction for strengthening Pi and reinforcing Shen, in combination with Stanozololum. RESULTS: Eleven patients (20.0%) out of the 55 were completely remitted (CR), the total effective rate being 74.5% (41/55 cases). By FAB typing, 9 (26. 5%) in the 34 patients of type <e>RA</e>/RAS were CR, with the total effective rate of 82.4% (28/34 cases), and in the 21 patients of type RAEB, 9.5% (2/21 cases) were CR with the total effective rate of 61.9% (13/21 cases), showing insignificant statistical difference between the two types (P &gt; 0.05). By international prognostic scoring system (IPSS), the treatment was evaluated as CR in 10 patients, effective in 25 and ineffective in 11 in 36 patients of moderate risk group I , the responding numbers were 1, 4, 2 in 7 patients of moderate risk group II and 0, 3, 3 in 6 patients of high risk group, respectively, also showing insignificant difference between groups (P &gt; 0.05). Levels of Hb, WBC and platelet significantly increased after treatment (P &lt; 0. 05). By cytogenetics, the effective rate was 68.8% (11/16 cases) in patients with abnormal chromosome and 72.7% (24/33 cases) in those with normal chromosome, with insignificant difference (P &gt; 0.05). CONCLUSION: The comprehensive therapy with TCM treatment for reinforcing Shen and dissolving stasis in dominance has a definite clinical effect in treating MDS, it was not significantly associated with FAB typing, IPSS score, and chromosome abnormality of patients.",M1
