@RELATION C0086943_C0035236

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20435918,"Directionality of nucleocytoplasmic transport of the retroviral gag protein depends on sequential binding of karyopherins and viral RNA.Retroviral Gag polyproteins coopt host factors to traffic from cytosolic ribosomes to the plasma membrane, where virions are released. Before membrane transport, the multidomain Gag protein of Rous sarcoma virus (<e>RSV</e>) undergoes importin-mediated nuclear import and CRM1-dependent nuclear export, an intrinsic step in the assembly pathway. Transient nuclear trafficking of Gag is required for efficient viral RNA (vRNA) encapsidation, suggesting that Gag:vRNA binding might occur in the nucleus. Here, we show that Gag is imported into the nucleus through direct interactions of the Gag NC domain with importin-alpha (imp-alpha) and the MA domain with importin-11 (imp-11). The vRNA packaging signal, known as psi, inhibited imp-alpha binding to Gag, indicating that the NC domain does not bind to imp-alpha and vRNA simultaneously. Unexpectedly, vRNA binding also prevented the association of imp-11 with both the MA domain alone and with Gag, suggesting that the MA domain may bind to the vRNA genome. In contrast, direct binding of Gag to the nuclear export factor CRM1, via the CRM1-RanGTP heterodimer, was stimulated by psiRNA. These findings suggest a model whereby the genomic vRNA serves as a switch to regulate the ordered association of host import/export factors that mediate Gag nucleocytoplasmic trafficking for virion assembly. The Gag:vRNA interaction appears to serve multiple critical roles in assembly: specific selection of the vRNA genome for packaging, stimulating the formation of Gag dimers, and triggering export of viral ribonucleoprotein complexes from the nucleus.",M1
20392845,"An LYPSL late domain in the gag protein contributes to the efficient release and replication of Rous sarcoma virus.The efficient release of newly assembled retrovirus particles from the plasma membrane requires the recruitment of a network of cellular proteins (ESCRT machinery) normally involved in the biogenesis of multivesicular bodies and in cytokinesis. Retroviruses and other enveloped viruses recruit the ESCRT machinery through three classes of short amino acid consensus sequences termed late domains: PT/SAP, PPXY, and LYPX(n)L. The major late domain of Rous sarcoma virus (<e>RSV</e>) has been mapped to a PPPY motif in Gag that binds members of the Nedd4 family of ubiquitin ligases. RSV Gag also contains a second putative late domain motif, LYPSL, positioned 5 amino acids downstream of PPPY. LYPX(n)L motifs have been shown to support budding in other retroviruses by binding the ESCRT adaptor protein Alix. To investigate a possible role of the LYPSL motif in RSV budding, we constructed PPPY and LYPSL mutants in the context of an infectious virus and then analyzed the budding rates, spreading profiles, and budding morphology. The data imply that the LYPSL motif acts as a secondary late domain and that its role in budding is amplified in the absence of a fully functional PPPY motif. The LYPXL motif proved to be a stronger late domain when an aspartic acid was substituted for the native serine, recapitulating the properties of the LYPDL late domain of equine infectious anemia virus. The overexpression of human Alix in the absence of a fully functional PPPY late domain partially rescued both the viral budding rate and viral replication, supporting a model in which the RSV LYPSL motif mediates budding through an interaction with the ESCRT adaptor protein Alix.",M1
20387899,"NMR relaxation studies of an RNA-binding segment of the rous sarcoma virus gag polyprotein in free and bound states: a model for autoinhibition of assembly.Assembly of retrovirus particles is promoted by interaction of the Gag polyprotein with RNA. Nonspecific RNA association with the nucleocapsid domain (NC) of Gag induces the dimerization of Gag through protein-protein contacts in the capsid domain (CA), followed by higher order assembly to form the immature virus particle. NMR relaxation studies were conducted to investigate the initial steps of Rous sarcoma virus (<e>RSV</e>) assembly by examining the association with nucleic acid of a fragment of Gag comprising the C-terminal domain of CA (CTD) postulated to mediate Gag dimerization, the spacer region between CA and NC (SP), and NC. This fragment, CTD-SP-NC (residues 394-577), spans the critical SP region and allows assessment of this key Gag-nucleic acid interaction in the context of the Gag polyprotein rather than the isolated domains. Main-chain amide relaxation of CTD-SP-NC was measured in the absence and presence of (GT)(4), an 8-mer DNA oligonucleotide that binds tightly to the polyprotein but is too short to promote Gag dimerization. The results show that the CTD and NC domains tumble independently. In contrast, the two zinc finger domains within NC are rotationally coupled in both the unbound and bound states, even though only the first zinc finger appears to make direct contact with (GT)(4). In addition, the NMR data indicate that SP and flanking residues undergo a conformational exchange process that is slowed in the presence of (GT)(4). This region around SP where relaxation is strongly affected by (GT)(4) binding is nearly identical to the assembly domain defined previously by mutagenesis studies. Other changes in relaxation induced by (GT)(4) implicate conformational perturbations of helices 1 and 4 in CTD. On the basis of the combined data, we propose a model for the promotion of Gag dimerization by RNA association in which NC-RNA binding disrupts an assembly inhibitory, intramolecular interaction involving SP and CTD. Disruption of this intramolecular interaction is proposed to enhance the accessibility of the Gag dimer contact surface and release the assembly domain to promote intermolecular oligomerization.",M1
20308396,"Genotypes of chicken major histocompatibility complex B locus associated with regression of Rous sarcoma virus J-strain tumors.The chicken MHC-B locus affects the response to several strains of Rous sarcoma virus (<e>RSV</e>). We evaluated the association between haplotypes of the MHC-B locus and responses to the J strain of RSV by using an F(2) experimental resource family constructed with tumor-regressive (White Leghorn) and tumor-progressive (Rhode Island Red) chickens. The MHC-B haplotypes were determined by genotyping of the microsatellite marker LEI0258 and MHC-B locus class I alpha chain 2 (BF2). Two haplotypes in the resource family, one associated with tumor regression and one with progression, were defined by these 2 markers. To discriminate more precisely the regressive haplotype in this family, we further developed 35 SNP markers at the MHC-B locus. Information on the haplotypes revealed here should be useful for identifying chickens with regression and progression phenotypes of J-strain RSV-induced tumors.",M1
20228062,"Proton-driven assembly of the Rous Sarcoma virus capsid protein results in the formation of icosahedral particles.In a mature and infectious retroviral particle, the capsid protein (CA) forms a shell surrounding the genomic RNA and the replicative machinery of the virus. The irregular nature of this capsid shell precludes direct atomic resolution structural analysis. CA hexamers and pentamers are the fundamental building blocks of the capsid, however the pentameric state, in particular, remains poorly characterized. We have developed an efficient in vitro protocol for studying the assembly of Rous sarcoma virus (<e>RSV</e>) CA that involves mild acidification and produces structures modeling the authentic viral capsid. These structures include regular spherical particles with T = 1 icosahedral symmetry, built from CA pentamers alone. These particles were subject to cryoelectron microscopy (cryo-EM) and image processing, and a pseudo-atomic model of the icosahedron was created by docking atomic structures of the constituent CA domains into the cryo-EM-derived three-dimensional density map. The N-terminal domain (NTD) of CA forms pentameric turrets, which decorate the surface of the icosahedron, while the C-terminal domain (CTD) of CA is positioned underneath, linking the pentamers. Biophysical analysis of the icosahedral particle preparation reveals that CA monomers and icosahedra are the only detectable species and that these exist in reversible equilibrium at pH 5. These same acidic conditions are known to promote formation of a RSV CA CTD dimer, present within the icosahedral particle, which facilitates capsid assembly. The results are consistent with a model in which RSV CA assembly is a nucleation-limited process driven by very weak protein-protein interactions.",M1
19446529,"Proton-linked dimerization of a retroviral capsid protein initiates capsid assembly.In mature retroviral particles, the capsid protein (CA) forms a shell encasing the viral replication complex. Human immunodeficiency virus (HIV) CA dimerizes in solution, through its C-terminal domain (CTD), and this interaction is important for capsid assembly. In contrast, other retroviral capsid proteins, including that of Rous sarcoma virus (<e>RSV</e>), do not dimerize with measurable affinity. Here we show, using X-ray crystallography and other biophysical methods, that acidification causes RSV CA to dimerize in a fashion analogous to HIV CA, and that this drives capsid assembly in vitro. A pair of aspartic acid residues, located within the CTD dimer interface, explains why dimerization is linked to proton binding. Our results show that despite overarching structural similarities, the intermolecular forces responsible for forming and stabilizing the retroviral capsid differ markedly across retroviral genera. Our data further suggest that proton binding may regulate RSV capsid assembly, or modulate stability of the assembled capsid.",M1
19369339,"Genetic evidence for a connection between Rous sarcoma virus gag nuclear trafficking and genomic RNA packaging.The packaging of retroviral genomic RNA (gRNA) requires cis-acting elements within the RNA and trans-acting elements within the Gag polyprotein. The packaging signal psi, at the 5' end of the viral gRNA, binds to Gag through interactions with basic residues and Cys-His box RNA-binding motifs in the nucleocapsid. Although specific interactions between Gag and gRNA have been demonstrated previously, where and when they occur is not well understood. We discovered that the Rous sarcoma virus (<e>RSV</e>) Gag protein transiently localizes to the nucleus, although the roles of Gag nuclear trafficking in virus replication have not been fully elucidated. A mutant of RSV (Myr1E) with enhanced plasma membrane targeting of Gag fails to undergo nuclear trafficking and also incorporates reduced levels of gRNA into virus particles compared to those in wild-type particles. Based on these results, we hypothesized that Gag nuclear entry might facilitate gRNA packaging. To test this idea by using a gain-of-function genetic approach, a bipartite nuclear localization signal (NLS) derived from the nucleoplasmin protein was inserted into the Myr1E Gag sequence (generating mutant Myr1E.NLS) in an attempt to restore nuclear trafficking. Here, we report that the inserted NLS enhanced the nuclear localization of Myr1E.NLS Gag compared to that of Myr1E Gag. Also, the NLS sequence restored gRNA packaging to nearly wild-type levels in viruses containing Myr1E.NLS Gag, providing genetic evidence linking nuclear trafficking of the retroviral Gag protein with gRNA incorporation.",M1
19368128,"Adenovirus-mediated thymidine kinase gene therapy induces apoptosis in human epithelial ovarian cancer cells and damages PARP-1.Adenoviral (ADV) gene therapy with the thymidine kinase gene (TK) under control of the Rous sarcoma virus (<e>RSV</e>) promotor followed by the administration of acyclovir leads to replication errors in transcription and to cell death. This concept of ADV-RSV-TK has been established for the treatment of ovarian cancer cells. The purpose of this investigation was to clarify whether cell death after ADV-RSV-TK gene therapy and acyclovir administration is indeed due to apoptosis induction, whether the synergistic effect of ADV-RSV-TK gene therapy with chemotherapy was limited to the primary mechanism of action or whether the vector transduction itself exerted any pro-apoptotic effect was examined using the epithelial cell lines OVCAR-3 and MDAH-2774, established from human poorly differentiated serous ovarian cancer. Fluorimetric assay of caspase-3 activity was performed, as well as ELISA of the CK 18 split product M30. PARP cleavage was analysed by Western blotting. Apoptosis induction was established in this investigation as the mechanism of the ADV-RSV-TK gene therapy effect of acyclovir administration by caspase activity and subsequent CK 18 cleavage. Neither acyclovir nor vector administration alone showed any apoptotic activity. The synergistic effect of TK gene therapy and chemotherapeutic agents was shown to be TK induced. Significant anti-PARP 1 activity was found to be an ADV-RSV-TK treatment effect after acyclovir addition.",M1
19361521,"Retroviral capsid assembly: a role for the CA dimer in initiation.In maturing retroviral virions, CA protein assembles to form a capsid shell that is essential for infectivity. The structure of the two folded domains [N-terminal domain (NTD) and C-terminal domain (CTD)] of CA is highly conserved among various retroviruses, and the capsid assembly pathway, although poorly understood, is thought to be conserved as well. In vitro assembly reactions with purified CA proteins of the Rous sarcoma virus (<e>RSV</e>) were used to define factors that influence the kinetics of capsid assembly and provide insights into underlying mechanisms. CA multimerization was triggered by multivalent anions providing evidence that in vitro assembly is an electrostatically controlled process. In the case of RSV, in vitro assembly was a well-behaved nucleation-driven process that led to the formation of structures with morphologies similar to those found in virions. Isolated RSV dimers, when mixed with monomeric protein, acted as efficient seeds for assembly, eliminating the lag phase characteristic of a monomer-only reaction. This demonstrates for the first time the purification of an intermediate on the assembly pathway. Differences in the intrinsic tryptophan fluorescence of monomeric protein and the assembly-competent dimer fraction suggest the involvement of the NTD in the formation of the functional dimer. Furthermore, in vitro analysis of well-characterized CTD mutants provides evidence for assembly dependence on the second domain and suggests that the establishment of an NTD-CTD interface is a critical step in capsid assembly initiation. Overall, the data provide clear support for a model whereby capsid assembly within the maturing virion is dependent on the formation of a specific nucleating complex that involves a CA dimer and is directed by additional virion constituents.",M1
19224995,"Foreign glycoproteins can be actively recruited to virus assembly sites during pseudotyping.Retroviruses like human immunodeficiency virus type 1 (HIV-1), as well as many other enveloped viruses, can efficiently produce infectious virus in the absence of their own surface glycoprotein if a suitable glycoprotein from a foreign virus is expressed in the same cell. This process of complementation, known as pseudotyping, often can occur even when the glycoprotein is from an unrelated virus. Although pseudotyping is widely used for engineering chimeric viruses, it has remained unknown whether a virus can actively recruit foreign glycoproteins to budding sites or, alternatively, if a virus obtains the glycoproteins through a passive mechanism. We have studied the specificity of glycoprotein recruitment by immunogold labeling viral glycoproteins and imaging their distribution on the host plasma membrane using scanning electron microscopy. Expressed alone, all tested viral glycoproteins were relatively randomly distributed on the plasma membrane. However, in the presence of budding HIV-1 or Rous sarcoma virus (<e>RSV</e>) particles, some glycoproteins, such as those encoded by murine leukemia virus and vesicular stomatitis virus, were dramatically redistributed to viral budding sites. In contrast, the RSV Env glycoprotein was robustly recruited only to the homologous RSV budding sites. These data demonstrate that viral glycoproteins are not in preformed membrane patches prior to viral assembly but rather that glycoproteins are actively recruited to certain viral assembly sites.",M1
