@RELATION C0037231_C0037506

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
19901712,"Sjogren-larsson syndrome: case report and review of neurologic abnormalities and ichthyosis.INTRODUCTION: Sjogren-Larsson syndrome (<e>SLS</e>) is characterized by the triad of ichthyosis, mental retardation, and spastic diplegia or quadriplegia. The hallmark of SLS is ichthyosis. We report a case and review the major differential diagnosis of SLS. CASE REPORT: A 21-year-old woman presented with seizures, mental retardation, spastic diplegia, and ichthyosis since birth. Computed tomography scan revealed hypodense areas in the periventricular white matter. Skin biopsy demonstrated a lamellar ichthyosis. These findings were compatible with SLS. CONCLUSION: When ichthyosis is associated with spasticity and mental retardation, one should consider SLS. If hypogonadism, ataxia, retinitis, cardiomyopathy, or dwarfism is present, other diagnosis rather than SLS should be investigated.",M1
19656702,"MR spectroscopy and diffusion tensor imaging of the brain in Sjögren-Larsson syndrome.Diffusion tensor imaging (DTI) is reported for the first time in a patient with Sjögren-Larsson syndrome, an autosomal recessive neurocutaneous disorder. Magnetic resonance spectroscopy (MRS) revealed normal levels of choline, creatine and N-acetyl aspartate (NAA) and the characteristic lipid signals in the white matter brain tissue. Conventional MRI showed increased signal intensity around the lateral ventricles indicating abnormal myelination. DTI revealed normal apparent diffusion coefficient (ADC) values, but reduced fractional anisotropy (FA) in the white matter. After co-registration of the parameters obtained with DTI with the results of MRS (36 voxels), significant correlations were obtained of lipid content with FA (r=0.81), ADC (r=-0.62), choline (r=0.51), and NAA (r=0.44) (P&lt;0.01, all). These results suggest that in Sjögren-Larsson syndrome, the white matter lipid signals originate from the neurons, with NAA and choline reflecting neuron density and myelination. The comparatively high FA/low ADC values in these lipid-rich locations, indicate a loss of diffusion in directions perpendicular to the fibers. The overall loss of FA in the white matter may reflect a loss of brain tissue water content in <e>SLS</e> patients compared with controls and precede the formation of atrophy.",M1
19340663,"Speech-language performance in Sjögren-Larsson syndrome.OBJECTIVE: To describe speech-language pathology in patients with Sjögren-Larsson syndrome (<e>SLS</e>) in relation to their cognitive and motor impairment. DESIGN: Observational case series. METHODS: Cognitive functioning was assessed in 16 patients with SLS (nine males; seven females) using different neuropsychological tests. Speech-language pathology was studied focusing on dysarthria, oral motor functioning, speech intelligibility and language development. Potential correlations between speech-language pathology and other neurological symptoms (e.g. spasticity) were studied. RESULTS: The median cognitive developmental age was 5;8 (n = 13; range 3;5-8;0) years. A variable degree of mainly pseudobulbar dysarthria was found. Speech intelligibility was influenced by dysarthria, but was also related to language pathology. No correlation between motor functioning and dysarthria or cognitive development was observed. CONCLUSION: Dysarthria and language problems are important factors in daily life functioning of patients with SLS. Based upon the clinical profile found, early speech-language therapy is recommended in order to optimize their speech-language development.",M1
19197545,"Sjögren-larsson syndrome: a study of clinical symptoms and dermatological treatment in 34 Swedish patients.Sjögren-Larsson syndrome (<e>SLS</e>) is a recessively inherited disease with congenital ichthyosis, spastic diplegia or tetraplegia and mental retardation, caused by a deficiency of fatty aldehyde dehydrogenase. The aim of this study was to examine all 34 Swedish patients with SLS, emphasizing skin symptoms, dermatological treatment, and neurological symptoms (evaluated in some cases for more than 25 years by one and the same investigator). Structured interviews were conducted with the patients and their close relatives. All patients had generalized ichthyosis. The degree of scaling varied markedly inter-individually from moderate to severe, but there was no obvious change with age. Most patients had pruritus, suffered from hypohidrosis, and had palmo-plantar keratoderma. Nineteen patients (56%) were on oral acitretin and all patients were using some type of topical therapy. Motor disability with spasticity and muscular paresis was most pronounced in the legs and fairly slight in the arms. Twenty patients (59%) were dependent on a wheelchair for mobility. Poor blood circulation in the lower legs and oedematous feet were frequently found in adults. All patients had learning disability, which varied from slight to pronounced and was expressed in their speech disorders. Thirteen patients (38%) were being treated medically for epilepsy and all had photophobia. In conclusion, SLS is a chronic, severely disabling neurocutaneous disease in which optimal dermatological therapy is essential to relieve at least the patient's ichthyosis problem.",M1
19124283,"Enzymatic diagnosis of Sjögren-Larsson syndrome using electrospray ionization mass spectrometry.BACKGROUND: Sjögren-Larsson syndrome is a metabolic disorder characterized by accumulation of long-chain fatty alcohols in plasma of patients due to mutations in the ALDH3A2 gene, that codes for a microsomal fatty aldehyde dehydrogenase (FALDH). Recent studies have demonstrated that FALDH is involved in the last step of the conversion of 22-hydroxy-C22:0 into the dicarboxylic acid of C22:0 (C22:0-DCA). METHODS: FALDH activity was determined by incubating fibroblast homogenates with omega-hydroxy-C22:0 in the presence of NAD(+). Electrospray ionization mass spectrometry (ESI-MS) was used to quantify the amounts of C22:0-DCA produced. RESULTS: All <e>SLS</e> patients were deficient in C22:0-DCA productions with activities ranging from 3.2-26.3% of mean control. CONCLUSIONS: The new assay described in this paper has substantial advantages over previous assays, and allows for the easy, reliable and rapid diagnosis of SLS.",M1
18173629,"Sjögren-Larsson syndrome: motor performance and everyday functioning in 17 patients.Sjögren-Larsson syndrome (<e>SLS</e>) is an autosomal recessive neurometabolic disorder characterized by spasticity, learning disability, and ichthyosis. To our knowledge, there is no detailed report in the literature concerning the functional consequences of SLS. Therefore, we performed a cross-sectional study of motor performance and everyday functioning in 17 patients with this rare disorder. Nine female and eight male patients with SLS (age range 1-35y) were investigated. Data were obtained by structured interview with parents and patients with SLS, a telephone-conducted questionnaire, and physical examination. Motor performance was measured by the Gross Motor Function Measure; everyday functioning was assessed using the Pediatric Evaluation of Disability Inventory and the Vineland Adaptive Behavior Scale. In most patients, spasticity was bilaterally present in hamstrings, hip adductors, and gastrocnemic muscles. All participants above 7 years had contractures in the lower extremities. Limitations were present in all gross motor dimensions, except for lying and rolling. Participants had developmental ages far below their chronological age. This study revealed that patients with SLS have limitations in gross motor performance. Although some patients can reach a certain level of independence, most have activity limitations and restrictions in their participation in society.",M1
17971613,"Abnormal fatty alcohol metabolism in cultured keratinocytes from patients with Sjögren-Larsson syndrome.Sjögren-Larsson syndrome (<e>SLS</e>) is an inherited neurocutaneous disorder characterized by ichthyosis, mental retardation, spasticity, and deficient activity of fatty aldehyde dehydrogenase (FALDH). FALDH is an enzyme component of fatty alcohol:NAD oxidoreductase (FAO), which is necessary for fatty alcohol metabolism. To better understand the biochemical basis for the cutaneous symptoms in this disease, we investigated lipid metabolism in cultured keratinocytes from SLS patients. Enzyme activities of FALDH and FAO in SLS cells were &lt;10% of normal. SLS keratinocytes accumulated 45-fold more fatty alcohol (hexadecanol, octadecanol, and octadecenol) than normal, whereas wax esters and 1-O-alkyl-2,3-diacylglycerols were increased by 5.6-fold and 7.5-fold, respectively. SLS keratinocytes showed a reduced incorporation of radioactive octadecanol into fatty acid (24% of normal) and triglyceride (13% of normal), but incorporation into wax esters and 1-O-alkyl-2,3-diacylglycerol was increased by 2.5-fold and 2.8-fold, respectively. Our results indicate that FALDH deficiency in SLS keratinocytes causes the accumulation and diversion of fatty alcohol into alternative biosynthetic pathways. The striking lipid abnormalities in cultured SLS keratinocytes are distinct from those seen in fibroblasts and may be related to the stratum corneum dysfunction and ichthyosis in SLS.",M1
17902024,"Novel and recurrent ALDH3A2 mutations in Italian patients with Sjögren-Larsson syndrome.Sjögren-Larsson syndrome (<e>SLS</e>; MIM#270200) is an autosomal recessive neurocutaneous disease caused by mutations in the ALDH3A2 gene for fatty aldehyde dehydrogenase (FALDH), a microsomal enzyme that catalyzes the oxidation of medium- and long- chain aliphatic aldehydes fatty acids. We studied two unrelated Italian SLS patients with ichthyosis, developmental delay, spastic diplegia and brain white matter disease. One patient was homozygous for a novel ALDH3A2 insertion mutation (c.767insA) in exon 5. The other SLS patient was a compound heterozygote for two previously reported mutations: a slice site mutation (c.1094C &gt; T; S365L) in exon 7. Analysis of fibroblast RNA by RT-PCR indicated that the spice-site mutation caused skipping of exons 2 and 3. The c.1094C &gt; T mutation, previously associated with two ALDH3A2 haplotypes, was found on a third distinct haplotype in our patient, which indicates that arose independently in this kindred. These results add to understanding of the genetic basis of SLS and will be useful for DNA diagnosis of this disease.",M1
17826835,"Subclinical changes in the juvenile crystalline macular dystrophy in Sjögren-Larsson syndrome detected by optical coherence tomography.PURPOSE: To study morphologic changes in the macula by optical coherence tomography (OCT) in patients with a crystalline macular dystrophy due to the autosomal recessive neurocutaneous Sjögren-Larsson syndrome (<e>SLS</e>). DESIGN: Retrospective observational case series. PARTICIPANTS: Twenty-seven eyes of 14 patients, mean age 14.6 (range, 3-24) years, with biochemically and genetically proven SLS underwent clinical and OCT investigation between September 2004 and September 2006. METHODS: All patients underwent full ophthalmologic examination including slit-lamp biomicroscopy and binocular ophthalmoscopy. Optical coherence tomography of all eyes was performed using the macular thickness map protocol of Stratus OCT. MAIN OUTCOME MEASURES: Macular morphology in clinical examination and OCT. RESULTS: Beside clinically visible perimacular crystalline deposits in all eyes of all study participants, macular morphology and reflectivity were significantly changed on OCT compared with healthy eyes. We found focal hyperreflectivities in all study eyes within the perifoveal ganglion cell layer and the inner plexiform layer, corresponding to the clinical localization of retinal crystals. More interestingly, a cystoid foveal degeneration on OCT was present in the majority of patients with SLS (18/27 eyes, or 67% of all eyes studied), varying from multiple microcystoid spaces to cystoid foveal atrophy. In general, patients who were severely affected on OCT showed intense changes on previously performed cerebral magnetic resonance spectroscopy. CONCLUSIONS: Patients with SLS show a childhood-onset crystalline macular dystrophy with cystoid foveal atrophy on OCT in most cases. The intraretinal deposition of lipid metabolites may lead to Müller cell degeneration with subsequent formation of cystoid spaces or atrophic changes within the fovea. Because this macular dystrophy is present in all examined patients with SLS, familiarity with this maculopathy seems important for the diagnosis of this rare systemic disease.",M1
17302612,"Diagnosing Sjögren-Larsson syndrome in a 7-year-old Moroccan boy.Sjögren-Larsson syndrome (<e>SLS</e>) is an autosomal recessively inherited neurocutaneous disorder characterized by the triad of congenital ichthyosis, mental deficiency, and spastic diplegia or tetraplegia. Less common features are retinal changes, short stature, kyphoscoliosis, preterm birth, photophobia, reduction of visual acuity, seizures, and delayed speech. SLS is characterized by a genetic block in the oxidation of fatty alcohol to fatty acid because of deficient activity of fatty aldehyde dehydrogenase (FALDH), a component of the fatty alcohol: NAD oxidoreductase enzyme complex. As in other rare multisystem diseases, the diagnosis of SLS is often delayed. The definitive test for SLS is considered the measurement of FALDH or fatty alcohol: NAD oxidoreductase in cultured skin fibroblasts. Nevertheless, if specific FALDH activity test or DNA FALDH gene mutation tests are not available (as in our country), a reliable diagnosis of SLS is also possible when it is based on the matching of peculiar clinical, histologic and ultrastructural, laboratoristic, and imaging features. The simultaneous presence of cutaneous histologic features including hyperkeratosis, orthokeratosis, thickening of granular layer, abnormal lamellar inclusions in the cytoplasm of granular and horny cells (demonstrated by light and electron microscopy) in a child with ichthyosis, and typical neurologic abnormalities is highly suggestive of SLS. We describe the case of a young Moroccan boy presenting with ichthyosis, mental retardation, spastic diplegia, and peculiar skin histologic findings.",M1
