@RELATION C0164209_C0597731

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
18095097,"Substance P receptor in U373 MG human astrocytoma cells activates mitogen-activated protein kinases ERK1/2 through Src.Substance P (SP) acting through substance P receptor (<e>SPR</e>) increases the proliferation of glioblastoma cells. At the molecular level, stimulation of SPR in human U373 MG glioblastoma cells results in phosphorylation of mitogen-activated protein kinases ERK1/2. Examination of the underlying mechanism reveals that SPR mediates ERK1/2 phosphorylation in a calcium-dependent manner. Surprisingly, blockade of epidermal growth factor receptor (EGFR), which is transactivated by SPR, has a minimal effect on SPR-mediated ERK1/2 phosphorylation. However, SPR-mediated ERK1/2 phosphorylation is significantly reduced by the Src kinase inhibitor PP2. Interestingly, ERK1/2 in U373 MG cells is also activated by several other mitogenic G protein-coupled receptors (GPCRs) including alpha(1B)-adrenergic, M(3)-muscarinic, and H(1)-histaminergic in an Src-dependent manner. We conclude that c-Src is a mediator of SP-stimulated ERK1/2 phosphorylation in human U373 MG glioblastoma cells.",M1
17535226,"Neuropeptides and their receptors in psoriatic skin in relation to pruritus.BACKGROUND: Pruritus in patients with psoriasis has been reported to be more common than previously thought. OBJECTIVES: To determine the actual prevalence of pruritus in psoriasis according to severity of psoriasis and to verify the hypothesis of involvement of neuropeptides and their receptors in psoriatic pruritus. METHODS: We analysed questionnaire replies from 152 patients with chronic plaque-type psoriasis and we assayed the expression of neuropeptides and their receptors in lesional skin biopsies obtained from psoriatic patients with pruritus compared with those from psoriatic patients without pruritus, nonlesional skin of patients with pruritic psoriasis and normal controls by confocal laser scanning microscopy. RESULTS: Of the 152 patients with psoriasis, 112 (73.7%) had pruritus, and these patients had a higher mean Psoriasis Area and Severity Index (PASI) score than psoriatic patients without pruritus. There was positive correlation between the PASI score and the intensity of pruritus. Keratinocytes in the psoriatic plaques of patients with pruritus showed consistently increased expression of substance P receptor (<e>SPR</e>), high-affinity nerve growth factor receptor (TrkA) and calcitonin gene-related peptide receptor (CGRPR). CONCLUSIONS: Pruritus is a common feature in psoriasis. Considering the well-known roles of neuropeptides in pathogenesis of both psoriasis and pruritus, increased SPR, TrkA and CGRPR may be involved in the pathogenesis of pruritus in psoriasis and in the severity of psoriasis.",M1
16987216,"Hippocampal CA3 pyramidal cells selectively innervate aspiny interneurons.The specific connectivity among principal cells and interneurons determines the flow of activity in neuronal networks. To elucidate the connections between hippocampal principal cells and various classes of interneurons, CA3 pyramidal cells were intracellularly labelled with biocytin in anaesthetized rats and the three-dimensional distribution of their axon collaterals was reconstructed. The sections were double-stained for substance P receptor (<e>SPR</e>)- or metabotropic glutamate receptor 1alpha (mGluR-1alpha)-immunoreactivity to investigate interneuron targets of the CA3 pyramidal cells. SPR-containing interneurons represent a large portion of the GABAergic population, including spiny and aspiny classes. Axon terminals of CA3 pyramidal cells contacted SPR-positive interneuron dendrites in the hilus and in all hippocampal strata in both CA3 and CA1 regions (7.16% of all boutons). The majority of axons formed single contacts (87.5%), but multiple contacts (up to six) on single target neurons were also found. CA3 pyramidal cell axon collaterals innervated several types of morphologically different aspiny SPR-positive interneurons. In contrast, spiny SPR-interneurons or mGluR-1alpha-positive interneurons in the hilus, CA3 and CA1 regions were rarely contacted by the filled pyramidal cells. These findings indicate a strong target selection of CA3 pyramidal cells favouring the activation of aspiny classes of interneurons.",M1
16580093,"Differential co-expression of AMPA receptor subunits in substance P receptor-containing neurons of basal forebrain regions of C57/BL mice.We are interested in cellular co-expression patterns of alpha-amino-3-hydroxy-5-methyl-4-isoxazole-propionate (AMPA) receptor subunits 1-4 (GluR1-4) in substance P receptor (<e>SPR</e>)-containing neurons of the basal forebrain, which may act as a morphological basis for interaction between neurokinins and glutamate-driven neuronal signaling and excitotoxicity. Immunohistochemistry and laser scanning confocal microscopy in adult C57/BL mice revealed that distribution of SPR-positive neurons overlapped with that of GluR1-4-containing ones in most basal forebrain regions, i.e. the medial septal nucleus, nucleus of diagonal band of Broca, magnocellular preoptic nucleus and substantia innominata. Neurons showing both SPR and GluR1-4-immunoreactivities were found in above cholinergic neurons-rich containing basal forebrain regions. Semi-quantification analysis indicated that about 57-95% of SPR-positive neurons displayed GluR1-4-immunoreactivity. The percentages of AMPA receptor subunits co-localizing in SPR-positive neurons were GluR4 (48%), GluR1 (47%), GluR2 (26%) and GluR3 (20%), respectively. However, the neurons co-expressing SPR and GluR1-4 were hardly detected in the basal nucleus of Meynert of the basal forebrain. The co-localization of SPR and AMPA receptors has provided a molecular basis for functional interaction between neurokinins and AMPA receptors-mediated signaling in basal forebrain neurons. This study has also implied that glutamate-driven neuronal transmission and excitotoxicity can be modulated by neurokinin peptides in most basal forebrain regions but not in the basal nucleus of Meynert, suggesting that neurokinins or SP may play certain roles in determining neuronal functional properties or excitotoxic susceptibility in the various basal forebrain regions of mammals.",M1
16012865,"Signal transduction through substance P receptor in human glioblastoma cells: roles for Src and PKCdelta.Substance P receptor (<e>SPR</e>), a G protein-coupled receptor (GPCR), is found in human glioblastomas, and has been implicated in their growth. Consistent with a role for SPR in cell growth, activation of SPR in U373 MG human glioblastoma cells leads to the phosphorylation of mitogen-activated protein kinases [extracellular signal-regulated kinase 1 and 2 (ERK1/2)] and stimulation of cell proliferation. The purpose of the present study was to elucidate the pathway through which these actions occur. Using either the epidermal growth factor receptor (EGFR) kinase inhibitor, AG 1478, or a small-interfering RNA (siRNA) directed against human EGFR, we found that transactivation of EGFR by SPR is only marginally involved in SP-dependent ERK1/2 phosphorylation. Src, however, is shown to be a major component of SPR signaling because the Src kinase inhibitor, PP2, and a kinase-dead Src mutant both inhibit SP-dependent ERK1/2 phosphorylation. We also report that SPR stimulates the phosphorylation of protein kinase Cdelta(PKCdelta), and that this stimulation is blocked by PP2. SP-dependent ERK1/2 phosphorylation is also blocked by rottlerin, a PKCdelta inhibitor, and the calcium scavenger, BAPTA/AM. Finally, rottlerin and PP2 were both found to inhibit the growth of several glioblastoma cell lines, underscoring the potential of these agents to block glioblastoma growth.",M1
15754181,"Impairment of skilled forelimb use after ablation of striatal interneurons expressing substance P receptors in rats: an analysis using a pasta matrix reaching task.Local injection of substance P (SP)-saporin can cause selective ablation of striatal interneurons expressing SP receptors (<e>SPR</e>). In this study, we evaluated quantitatively the impairment of skilled forelimb use after unilateral ablation of the striatal interneurons using a pasta matrix reaching task in rats. We found a significant decrease of the number of the pasta pieces (uncooked spaghetti) retrieved using the paw of the experimental side contralateral to the ablation, whereas the number of the pasta pieces retrieved using the paw of the intact side increased significantly. These findings, with our previous reports, suggest that the modulation of the cortico-striato-entopeduncular direct pathway by striatal interneurons is important for maintaining normal basal-ganglia control for skilled forelimb movements.",M1
15196776,"Differential expression of AMPA receptor subunits in substance P receptor-containing neurons of the caudate-putamen of rats.Previous evidence has suggested that glutamate-driving neurotransmission and glutamate-excitotoxicity are modulated by substance P in the basal ganglia, but the assembly of glutamate receptors mediating this process remains to be delineated. By using a double immunofluorescence, cellular expression of alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate (AMPA) receptor subunits (GluR1-4) in substance P receptor (<e>SPR</e>)-containing neurons was examined in the striatum of rats. It revealed that distribution of SPR-immunoreactive neurons completely overlapped with that of GluR1, 2, 3 or 4-immunoreactive neurons in the caudate-putamen. Neurons showing both SPR and AMPA receptor subunits (except of GluR3)-immunoreactivity were observed: all (100%) of SPR-positive neurons displayed GluR1-, GluR2- or GluR4-immunoreactivity, and the double-labeled neurons constituted about 33, 3 or 29% of total GluR-positive ones. In contrast, the neurons exhibiting both SPR- and GluR3-immunoreactivity were not detected, though numerous GluR3-positive neurons were still distributed in the caudate-putamen regions. Co-localization of SPR and distinct AMPA receptor subunits in the striatal neurons has provided a basis for functional modulation of neuronal APMA receptors by substance P in the caudate-putamen of rodents. Taken together with previous observations, this study has also suggested that, through interaction with AMPA receptors composed of subunits 1, 2 and 4, substance P or neurokinin peptides may play important roles in regulating neuronal properties and protecting neurons from excitotoxicity in the basal ganglia of mammals.",M1
15195591,"[Expression of substance P receptor positive cells in the Corti's organ with acute middle ear infection in guinea pigs]OBJECTIVE: To investigate the expression of substance P receptor(<e>SPR</e>), SPR positive cells in the Corti's organ with acute middle ear infection in guinea pigs using the polyclonal antibody of SPR. METHODS: Twelve healthy guinea pigs were employed in the experiment. After general anesthesia, by injecting 1 x 10(8)/L staphylococcosis aureus into the middle cavity of right ear with the left ear serving as control, the acute middle ear infection model was established. Then three days later, immunohistochemical staining of SPR was performed in the Cochlear base membrane preparation. RESULTS: Microscopic examination of whole cochlear preparation revealed a number of SPR positive cells expression in the cochlear base membrane, these labeled cells usually did not exist in normal cochlear tissue. Obvious difference in morphology and distribution could be identified with inner hair cells, outer hair cells vascular endothelial cell and spiral ganglion neurons. Labeled SP receptor positive cells were similar to  neurons , scattering distributed in the free margin of cochlear base membrane, with larger size and multiple projections which was 6-12 times than the erythrocyte. There were the vesicle and granular substances in the cytoplasm of the labeled cells. CONCLUSIONS: Acute middle ear infection could induce the expression of SP receptor positive nonspecific cells in the Corti's organ of guinea pigs. These cells did not exist in the normal base membrane and might participate in initiating or inducing the immune response of inner ear.",M1
15011953,"Neurokinin peptides and neurokinin receptors as potential therapeutic intervention targets of basal ganglia in the prevention and treatment of Parkinson's disease.Parkinson's disease (PD) is a serious motor disorder and it is the second most common brain degenerative disease in human. PD is known to be caused by degeneration of dopamine neurons in the substantia nigra but the cause of cell death is largely unknown. Mammalian neurokinins [NKs] are a group of neuropeptides that include substance P (SP; neurokinin-1, NK-1), substance K (SK; NK-2; neurokinin A), and neuromedin K (NK; NK-3; neurokinin B). Their biological effects as neurotransmitters, neuromodulators, or neurotrophic-like factors are mediated by three distinct neurokinin receptors, namely SP receptor (<e>SPR</e>: NK-1 receptor, NK-1R), SKR (NK-2R), and NKR (NK-3R). Several lines of evidence have indicated that neurokinins are implicated in the pathogenesis of PD. First, decreases of SP level and SP-immunoreactivity have been found in nigral and striatal tissues of animals with PD and postmortem PD patients. Second, NKs exert neuroprotective effects on neurons. In addition, NK receptors, namely NK-1 and NK-3 receptors, are abundantly localized in dopaminergic and cholinergic neurons of the basal ganglia, indicating that these neurons are under the physiological regulation of NKs. Moreover, modulation in motor activity occurred in 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP)-treated mice, PD animal model, after systemic administration of NK receptor agonists. NKs and NK receptors, therefore, might be important molecules that are associated with functions and survival of neurons in the basal ganglia, in particular the dopamine neurons. Further studies should be devoted to elucidate the functional roles of NK systems in (a) the neuropathogenesis and neuroprotection during the course of PD, (b) the efficacy of NK receptor drugs towards PD, and (c) potential therapeutic intervention that targets at the prevention or treatment of PD.",M1
14664911,"Cytochrome oxidase activity in the monkey globus pallidus and subthalamic nucleus after ablation of striatal interneurons expressing substance P receptors.To understand functional roles of striatal interneurons in primate basal ganglia circuitry, we ablated interneurons expressing substance P (SP) receptors (<e>SPR</e>) in the putamen with SP-saporin, a SPR selective neurotoxin. The effect of SP-saporin injection into the putamen was evaluated by examining the loss of cholinergic interneurons and NADPHd-positive (nicotinamide adenine dinucleotide phosphate diaphorase positive) interneurons. We then analyzed regional metabolic changes using cytochrome oxidase (CO) histochemistry. CO activity in some regions of the internal and external segments of the globus pallidus (GP) in the lesioned hemisphere was lower than that in the contralateral or surrounding GP regions. CO activity in the subthalamic nucleus, however, showed no significant change. The present findings suggest that striatopallidal projection neurons exert enhanced inhibitory influence on the GP without modulatory control by the striatal SPR-expressing interneurons.",M1
