@RELATION C0039101_C0085077

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20198325,"Downregulation of SS18-SSX1 expression in synovial sarcoma by small interfering RNA enhances the focal adhesion pathway and inhibits anchorage-independent growth in vitro and tumor growth in vivo.Synovial sarcoma (<e>SS</e>) is an aggressive soft-tissue malignancy characterized by a unique t(X;18) translocation resulting in expression of SS18-SSX fusion protein. In order to investigate the biological function of this fusion protein and to develop a novel therapeutic option, we examined downregulation of SS18-SSX1 expression by small interfering RNA targeting SS18-SSX1 in three human SS cell lines. Microarray analysis comparing SS18-SSX1-silenced cells with control cells in three SS cell lines showed that SS18-SSX1 mainly affected the focal adhesion pathway. In accord with the array data, silencing of SS18-SSX1 enhances adhesion to the extracellular matrix through the induction of expression of myosin light-chain kinase. Furthermore, the silencing of SS18-SSX1 inhibits anchorage-independent growth in vitro and systemic delivery of siRNA against SS18-SSX1 using a nanoparticle system inhibited tumor growth in a nude mouse xenograft model. Our results demonstrate that siRNA targeting of SS18-SSX1 has therapeutic potential for the treatment of SS.",M1
19837269,"Novel SYT-SSX fusion transcript variants in synovial sarcoma.Synovial sarcoma (<e>SS</e>) is characterized by the t(X;18)(p11.2;q11.2) chromosomal translocation detected in &gt;95% of cases. Through this translocation, one of the SYT genes, SYT4 on chromosome 18, is fused to one of the SSX genes on chromosome X. SYT4-SSX1 is the most common fusion subtype, present in approximately two thirds of the cases, followed by SYT4-SSX2 and, very rarely, SYT4-SSX4. Variant fusion transcripts occur less often, and most of the reported cases are the result of small insertions. Described here is a novel fusion variant containing a small deletion resulting in an alternative reading frame of the SSX part of the fusion gene. This fusion transcript may provide further insight into the oncogenic function of the SSX partner of the fusion gene.",M1
19602458,"Molecular and immunohistochemical analyses of BCL2, KI-67, and cyclin D1 expression in synovial sarcoma.Synovial sarcoma (<e>SS</e>) is a highly aggressive soft tissue sarcoma that causes death in more than half of the affected patients. An immunohistochemical and molecular study of the BCL2, MKI67, and CCND1 genes (expressing the BCL2, KI-67, and cyclin D1 proteins, respectively) was performed to determine the expression profiles in correlation with mRNA levels, and to assess the possible utility of these genes as a potential target for the treatment. Cyclin D1 staining was identified in 18 of 30 cases (60%), and CCND1 mRNA was overexpressed in 15 of 32 cases (47%). KI-67 nuclear immunoreactivity was found in 14 of 29 cases (48%), and MKI67 mRNA was overexpressed in 12 of 32 cases (37.5%). The high level of MKI67 mRNA was observed predominantly in monophasic SS. BCL2, a negative regulator of apoptosis, was expressed in all 32 cases. The intensity of the BCL2 protein expression correlated well with the mRNA level (P&lt;0.0001). The high level of BCL2 mRNA correlated with a high level of CCND1 mRNA, but not with MKI67 mRNA level. Despite advances in therapy of sarcomas, the prognosis of patients with SS remains unfavorable, and a search for an improved therapy approach remains necessary. The strong immunopositivity of BCL2 in SS correlates well with a high level of BCL2 mRNA. Treatment with antisense BCL2 (G3139) may therefore represent an appropriate alternative therapy for patients with BCL2-positive synovial sarcomas.",M1
19559255,"A case of primary synovial sarcoma of the thorax with a variant SYT-SSX1 fusion transcript.With synovial sarcoma (<e>SS</e>) of the thorax, being exceptionally rare, its definite diagnosis is difficult, and the optimal therapy has not yet been established. An examination of our patient, a 64-year-old man with SS using a chest roentgenogram showed a large mass with homogeneous density in the lower two-thirds of the left hemithorax. A computed tomographic image of the chest revealed a large, heterogeneous, enhanced mass in the left hemithorax. Histologic examination of the resected tumor tissues suggested monophasic fibrous SS. A fragment of the SYT-SSX1 fusion transcript, which was smaller than the control, was amplified with reverse transcriptase polymerase chain reaction. Direct sequence analyses revealed the fusion between exon 9 of SYT and exon 5 of SSX1 instead of fusion between exon 10 of SYT and exon 6 of SSX1, which is found in most cases. Although the biological and clinical significance of this rare variant is not yet known, our data present another example of the usefulness of molecular analyses for making a definite diagnosis of SS in unusual sites.",M1
19514087,"Comparing children and adults with synovial sarcoma in the Surveillance, Epidemiology, and End Results program, 1983 to 2005: an analysis of 1268 patients.BACKGROUND: Synovial sarcoma (<e>SS</e>) is a typical soft tissue sarcoma subtype crosswise between the pediatric and the adult age groups. Less satisfactory overall outcome has been recorded in adult series. METHODS: This study compares clinical features and outcomes of SS across the different age groups, by analyzing 1268 cases, 213 children/adolescents (&lt;or=18 years) and 1055 adults, registered in the Surveillance, Epidemiology, and End Results (SEER) 17 database from 1983 to 2005. Cancer-specific survival estimates were compared with univariate and multivariate models. RESULTS: No major differences in stage distribution (localized, regional, and distant stage) were observed comparing the 2 age groups. The estimated 5-year cancer-specific survival was 83% for children/adolescents and 62% for adults (P&lt;.001). Female sex, nonblack race, tumors located in the extremities, localized tumors, and tumors &lt;5 cm in size were associated with better survival. In multivariate analysis, adult patients had significantly higher mortality rates than children after adjusting for other variables. CONCLUSIONS: Children and adults with SS have a similar clinical presentation but a dissimilar outcome, suggesting that factors other than unfavorable clinical features might be involved in the unsatisfactory outcome of adult SS patients. It remains to be ascertained whether this difference is related to biological variables or to historically different treatment approaches adopted in pediatric versus adult patients.",M1
19472813,"[Primary synovialosarcoma: a case of unusual location]AIM: Report a new case of primary Synovialosarcoma. CASE: We report a case of a 16 year old girl, who presented with a tumefaction on the right clavicle evolving for 3 months. Various explorations carried out, in particular thoracic scanner and imagery by magnetic resonance, showed a multilocular cystic formation of the seat and the clavicle reaching the mediastinum. A pathological examination of the part (piece) highlighted a biphasic synovialosarcoma of grade III. This diagnosis was validated by the immunohistochemistry study and the detection of transcribed specific fusion of the synovialosarcoma, SYT-SSX1. CONCLUSION: The unusual locations of the primitive <e>SS</e> must be known because the diversity of their microscopic aspects may cause confusion in the diagnosis. The immunohistochemistry, and more recently the cytogenetic studies, helps to solve these problems of differential diagnosis.",M1
19385976,"Prognostic implication of SYT-SSX fusion type and clinicopathological parameters for tumor-related death, recurrence, and metastasis in synovial sarcoma.The present study aimed to describe the distribution and features of the SYT-SSX fusion gene in Chinese patients with synovial sarcoma (<e>SS</e>), and to analyze the prognostic value of SYT-SSX fusion type and clinicopathological parameters for tumor-related death, recurrence, and metastasis in SS. SYT-SSX1 and SYT-SSX2 fusion transcripts were tested by reverse transcription-polymerase chain reaction in 141 formalin-fixed, paraffin-embedded SS. The prognostic implication of SYT-SSX fusion type and clinicopathological parameters were analyzed by univariate and multivariate survival analyses. SYT-SSX1 and SYT-SSX2 were detected in 50 (34.5%) and 91 (64.5%) tumors, respectively. SYT-SSX1 (risk ratio [RR] = 2.032, P = 0.004), larger tumor size (RR = 1.859, P = 0.008), and aggressive Fédération Nationale des Centers de Lutte Contre le Cancer grade (RR = 2.094, P = 0.001) were adverse predictors for disease-specific survival. However, SYT-SSX fusion type was not associated with local recurrence-free survival (P = 0.216). Patients with larger tumors (RR = 2.071, P = 0.005) and those who received marginal excision (RR = 2.556, P = 0.005) had poor local recurrence-free survival. Besides, SYT-SSX1 (RR = 1.859, P = 0.037), older age (RR = 1.799, P = 0.040), and aggressive International Union Against Cancer stage (RR = 3.690, P &lt; 0.001) proved to be adverse prognostic factors for metastasis-free survival. In conclusion, compared to SYT-SSX1, SYT-SSX2 was more frequent in Chinese patients with SS. Moreover, SYT-SSX1 was an adverse predictor for disease-specific survival and metastasis-free survival, but had no relation to local recurrence-free survival. In addition, histological grade and tumor size were also important prognostic factors for SS.",M1
19337641,"Primary monophasic synovial sarcoma of the duodenum confirmed by cytogenetic analysis with demonstration of t(X;18): a case report.Synovial sarcoma (<e>SS</e>) is an uncommon malignant neoplasm of the soft tissues. It mainly affects the periarticular tissues of the extremities in young adults, but has been described at nearly all sites; nevertheless, the gastrointestinal tract is an exceptional location. We report a case of a primary synovial sarcoma of the duodenum in a 69-year-old woman. Histological study showed a monophasic pattern. The tumor cells demonstrated diffuse vimentin and Bcl-2 expression, partial EMA expression and focal AE1/3 positivity. The differential diagnosis includes gastrointestinal stromal tumors. Cytogenetic analysis confirmed the diagnosis, with detection of the X;18 translocation. The patient presented postoperative complications and died one month following the intervention.",M1
19267417,"Synovial sarcoma: diagnosis on fine-needle aspiration by morphology and molecular analysis.BACKGROUND: Synovial sarcoma (<e>SS</e>) is characterized by the t(X; 18) (p11.2; q11.2) translocation resulting in the SYT-SSX fusion transcript, detectable by reverse transcriptase polymerase chain reaction (RT-PCR). Fine-needle aspiration (FNA) cytology diagnosis of SS is challenging. We evaluated the applicability of RT-PCR on FNAs and to perform a detailed cytomorphological analysis in unequivocal cases of SS. METHODS: A prospective and retrospective analysis was performed over 4 years (2003-2007). Prospectively, FNAs positive for the SYT-SSX fusion transcript by RT-PCR (n = 6) and, retrospectively, cases proven on histopathology and immunohistochemistry (ICC; positivity for vimentin and epithelial membrane antigen [EMA]/cytokeratin) as SS (n = 10) were included in the study. A detailed cytomorphological analysis was carried out. RESULTS: There were 9 biphasic and 7 monophasic tumors. The aspirates from both biphasic and monophasic tumors were richly cellular in all cases with micro tissue fragments. Pericapillary arrangement of tumor cells was present in most cases. Attempted gland formation was seen in 7 of 9 biphasic tumors. The individual tumor cells were round, ovoid, or spindle shaped. Pleomorphism was mild; monophasic tumors displayed lesser pleomorphism as compared with the biphasic ones. Nuclear chromatin was bland in all cases except 1 and nucleolar prominence was seen in just 3 biphasic tumors. Mast cells were seen in 3 biphasic and 2 monophasic tumors. Scanty to moderate extracellular matrix material was seen in 5 cases. CONCLUSIONS: FNA cytology of SS shows a spectrum of cytomorphological features; the diagnosis is confirmed by RT-PCR on the aspirated material for the SYT-SSX fusion transcript.",M1
19088169,"Neo/adjuvant chemotherapy does not improve outcome in resected primary synovial sarcoma: a study of the French Sarcoma Group.BACKGROUND: There are only scarce data about the benefit of adjunctive chemotherapy in patients with localized synovial sarcoma (<e>SS</e>). PATIENTS AND METHODS: Data from 237 SS patients recorded in the database of the French Sarcoma Group were retrospectively analyzed. The respective impact of radiotherapy, neo-adjuvant chemotherapy and adjuvant chemotherapy on overall survival (OS), local recurrence-free survival (LRFS) and distant recurrence-free survival (DRFS) were assessed after adjustment to prognostic factors. RESULTS: The median follow-up was 58 months (range 1-321). Adjuvant, neo-adjuvant chemotherapy and postoperative radiotherapy were administered in 112, 45 and 181 cases, respectively. In all, 59% of patients treated with chemotherapy received an ifosfamide-containing regimen. The 5-year OS, LRFS and DRFS rates were 64.0%, 70% and 57%, respectively. On multivariate analysis, age &gt;35 years old, grade 3 and not-R0 margins were highly significant independent predictors of worse OS. After adjustment to prognostic factors, radiotherapy significantly improved LRFS but not DRFS or OS. Neither neo-adjuvant nor adjuvant chemotherapy had significant impact on OS, LRFS or DRFS. CONCLUSION: As for other high-grade soft-tissue sarcomas, well-planned wide surgical excision with adjuvant radiotherapy remains the cornerstone of treatment for SS. Neo-adjuvant or adjuvant chemotherapy should not be delivered outside a clinical trial setting.",M1
