@RELATION C0039756_C0017375_C0039341

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2, M3}

@DATA
18481669,"Teaching inference in personality test interpretation: verbal abstract reasoning and the <e>TAT</e>.Instructors of personality assessment are challenged with teaching students how to execute the tacit thinking skills necessary to make sound test interpretations. The author provides a concrete tool for teaching students how to make interpretive inferences from verbal personality test data utilizing the construct of verbal abstract reasoning. Applied specifically to Thematic Apperception Test interpretation, the author discusses how the construct of verbal abstract reasoning can be utilized: as a model for providing explicit instruction on the implicit process of drawing inferences in test interpretation; for grounding students in data when constructing interpretations and avoiding making overpersonalized interpretations; as a means of basing interpretations on a convergence of data; as a means of gauging the level of confidence one can place in interpretations; and for understanding inferences drawn from other tests, such as the Rorschach.",M1
17214589,"Longitudinal study of defense mechanisms: late childhood to late adolescence.Based on longitudinal data from the Institute of Human Development Intergenerational Study, the use and change in defense mechanisms of more than 150 individuals, as assessed from <e>TAT</e> stories, was studied across ages 11, 12, and 18. The findings of this study, based on an earlier generation, were generally consistent with cross-sectional findings from current samples, showing that the defenses of projection and identification were used more frequently than denial at all three ages and that the use of projection and identification increased from early to late adolescence. However, unlike current findings, the 18-year-olds did not show greater use of identification than of projection, perhaps due to IQ differences between this community sample and the samples of more recent studies.",M1
16837057,"Processing of autobiographical memory retrieval cues in borderline personality disorder.BACKGROUND: Affective dysregulation in borderline personality disorder (BPD) in response to both external stimuli and memories has been shown to be associated with functional alterations of limbic and prefrontal brain areas. This study aimed to examine neuronal networks involved in autobiographical memory retrieval using standardized stimuli that gain autobiographical significance by illustrating marked solitary and social situations of human life. METHODS: Using event-related functional Magnetic Resonance Imaging (fMRI), we examined the processing of pictures from the Thematic Apperception Test (<e>TAT</e>) in 14 BPD patients and 14 controls. RESULTS: In both groups, TAT stimuli activated brain areas known to be involved in autobiographical memory retrieval. BPD subjects lacked differential amygdala, orbitofrontal and cingulate activations for TAT versus neutral stimuli. In the TAT condition, compared to controls, BPD subjects displayed increased BOLD responses in the bilateral orbitofrontal and insular regions, in the left anterior cingulate and medial prefrontal cortex, as well as in the parietal and parahippocampal areas, consistent with a more aversive and arousing experience assessed by self-reports. CONCLUSIONS: Increased BOLD responses during TAT processing in BPD subjects were in line with previously reported changes in anterior cingulate and orbitofrontal cortices, which are known to be involved in memory retrieval. However, BPD subjects displayed hyperactivation in these areas for both TAT and neutral stimuli. The deficit of selective activation of areas involved in autobiographical memory retrieval suggests a general tendency towards a self-referential mode of information processing in BPD, or a failure to switch between emotionally salient and neutral stimuli.",M1
16719985,"Dependent personality traits and information processing: assessing the interpretation of ambiguous information using the Thematic Apperception Test.OBJECTIVES: This study was designed to investigate interpretation bias in people with dependent personality traits. METHOD: Eight Thematic Apperception Test (<e>TAT</e>) cards were administered to participants (N=56) who scored high or low on DSM-III-R dependent personality pathology. Two independent judges rated the TAT stories using a rating list based on the cognitive model of the dependent and paranoid personality disorder. RESULTS: Controlling for self-esteem, the dependent interpretation bias appeared to be specific for dependent personality pathology. SEM analysis supported a mediation model in which beliefs mediate the relationship between DSM-III-R traits and interpretation bias. CONCLUSIONS: The findings in this study support the hypothesis that people with dependent traits are characterized by a schema-related interpretation bias and that this bias is mediated by dependent beliefs.",M1
16529585,"Motive congruence and interpersonal identity status.This article examines the relationship between interpersonal ego identity formation and congruence of self-attributed and implicit affiliation motives. A <e>TAT</e>-type picture-story test, the Personality Research Form, and the Extended Objective Measure of Ego Identity Status were administered to 177 participants to assess data on affiliation motivation and interpersonal identity formation. According to a scoring system developed by Winter, the picture stories were coded for need for Affiliation. Analyses revealed that motive congruence is significantly associated with participants' level of identity achievement and identity foreclosure in the interpersonal domain. Such a relationship could not be identified for identity diffusion and moratorium.",M1
16370791,"Defense mechanisms and self-reported violence toward strangers.College men who reported committing violence toward strangers (N = 30) and nonviolent college men (N = 30) completed Thematic Apperception Test cards (<e>TAT</e>) and responded to the Minnesota Multiphasic Personality Inventory-2 (MMPI-2). Defense mechanisms were coded from the TAT responses with the Defense Mechanism Manual (DMM). The men who reported violence toward strangers had higher DMM Denial scores and higher MMPI-2 Antisocial Practices scores than the nonviolent men. Student violence toward strangers seems to reflect immaturity rather than psychopathy.",M1
15666912,"Obsessiveness and a thematic apperception test-based measure of aggression.Freud (1909/1955) hypothesized a conflict between love and hate in obsessive neurosis. To test this relationship, we compared a Thematic Apperception Test-based measure of aggressive fantasies in college men who scored either high or low on the Obsessive-Compulsive Inventory-Revised. 64 undergraduate men from beginning classes in psychology participated. Their mean age was 19.4 yr. (SD= 1.7). 16 men with high scores had significantly higher scores on a <e>TAT</e>-based measure of aggressive fantasies toward parents, partners, and others than 15 men with low scores, which is consistent with Freud's hypothesis.",M1
12946920,"Origin and history of the  Series B  and  Series C  <e>TAT</e> pictures.I present the origin and history of the  Series B  and  Series C  pictures of the Thematic Apperception Test (TAT; White, Sanford, Murray, &amp; Bellak, 1941; Clark, 1944). I fill in the evolutionary gap between the  Series A  pictures (W. G. Morgan, 2002) and the 1943  Series D  (W. G. Morgan, 1995, 1999). Here one can observe which cards were retained from series to series, what new cards were experimentally introduced, and which cards were resurrected after a period of disuse. It would seem that only the world shattering events of WWII were enough to halt this evolution and freeze the content of the TAT at the time of Murray's departure from the Harvard Psychological Clinic to join the Office of Strategic Services.",M1
12511014,"Origin and history of the earliest Thematic Apperception Test pictures.I present the origin and history of the  Series A  pictures of the Thematic Apperception Test (<e>TAT</e>; Murray, 1943/1971). The TAT and its pictures evolved during the 1930s and early 1940s. The Series A pictures were probably never a distinct, fixed set of cards as the name seems to imply. The pictures used were in a constant state of flux with additions, deletions, and modifications common. In this article I describe the origins of the test and catalog its earliest pictures. It is hoped that familiarity with the test's development will increase appreciation for the efforts of the test's originators and add perspective and depth to one's awareness of the stimuli used.",M1
11781029,"Internal consistency of the object relations and social cognition scales for the Thematic Apperception Test.We examined 8 data sets to determine whether it is possible to attain acceptable levels of internal consistency (coefficient alpha) reliability for the 4 Object Relations and Social Cognition scales (ORSC; Westen, Lohr, Silk, Kerber, &amp; Goodrich, 1989) for the Thematic Apperception Test (<e>TAT</e>; Murray, 1943) when cards are considered as items in a scale. Number of cards used in the data sets ranged from 4 to 10, and the Spearman-Brown prophecy formula was applied to estimate the number of cards that would be required to attain alpha levels of different magnitudes. The two more structural subscales (Complexity of Representations and Understanding of Social Causality) have somewhat higher consistencies than the two more affective ones (Affect Tone and Capacity for Emotional Investment and Moral Standards). The results suggest that the use of 10 to 12 cards provides internal consistencies of alpha &gt; or = .70 across each of the 4 ORSC scales.",M1
