@RELATION C0678118_C0040975

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20499996,"Preparation of degradable polymeric nanocapsules from hyperbranched poly (amine ester) grafted nanosilica templates.A facile approach for the preparation of degradable crosslinked polymeric nanocapsules with hydroxyl functional groups was developed by polycondensation from the nanosilica templates. The hyperbranched poly (amine ester) grafted silica nanoparticles (SN-HPAE) were crosslinked with hexamethylene diisocyanate (HDI). Then the silica templates were removed by HF etching to produce the degradable polymeric nanocapsules. The inner diameter of polymeric nanocapsules is in the range of 20-100 nm, which is characterised by transmission electron microscopy (<e>TEM</e>). The strategy developed was confirmed with Fourier transform infrared, thermogravimetric analysis and TEM.",M1
20499995,"Synthesis, stabilisation and characterisation of rhamnolipid-capped ZnS nanoparticles in aqueous medium.Capping agents stabilise the size of the nanoparticles in the range of 1-10 nm. Microbial surfactants as capping agents are beneficial replacements for chemically synthesised ones because of lower toxicity. Rhamnolipids are surfactants produced by Pseudomonas aeruginosa, having high affinity for metal ions. In this study, the authors used rhamnolipids for capping ZnS nanoparticles. The capped particles were stabilised in aqueous environment and its characteristics were studied using Fourier transform infrared spectroscopy (FT-IR), small angle X-ray scattering (SAXS), high resolution transmission electron microscopy (HR-<e>TEM</e>) and ultraviolet-visible spectra, fluorescence spectra. The particle Bohr radius was found to be 4.5 nm both by SAXS and HRTEM, thus proving rhamnolipid to be an effective capping agent for the synthesis of uniform nanoparticles. SAXS study not only reveals the particle size and distribution but also its self-affined agglomeration behaviour. This work is a novel method for stabilising nanoparticles in aqueous condition using biosurfactant.",M1
20471605,"Catechol derivatives inhibit the fibril formation of amyloid-beta peptides.The inhibition of fibril formation of amyloid beta proteins (A beta) would be attractive therapeutic targets for the treatment of Alzheimer's disease (AD). Dopamine (DA) and other catechol derivatives were used as inhibitory factors for A beta fibril formation. The fibril formation of A beta was monitored by Thioflavin T fluorescence, a transmission electron microscopy (<e>TEM</e>) and a total internal reflection fluorescence microscopy (TIRFM). Catechol and its derivatives showed the dose-dependent inhibitory effects on the spontaneous A beta fibril formation. The inhibitory activity depended on the chemical structure of catechol derivatives both in the presence and absence of the liposome a model of biomembrane. Formation of catechol quinone-conjugated-A beta adduct by a Schiff-base is a key step for the inhibition effect of A beta fibril formation.",M1
20459055,"An efficient bismuth tungstate visible-light-driven photocatalyst for breaking down nitric oxide.This paper reports a photocatalytic removal of 400 ppb level of NO in air under visible light irradiation by utilizing three-dimensional (3D) hierarchical bismuth tungstate (Bi(2)WO(6)) microspheres. A facile microwave-assisted hydrothermal method involving bismuth nitrate and sodium wolframate was developed to synthesize the photocatalyst. The Bi(2)WO(6) samples were characterized by using X-ray diffraction (XRD), Brunauer-Emmett-Teller (BET), transmission electron microscopy (<e>TEM</e>), field emission scanning electron microscopy (FESEM), X-ray photoelectron spectroscopy (XPS), Raman and ultraviolet-visible reflectance (UV-vis) spectroscopy. The relationship between the physicochemical property and the photocatalytic performance of the as prepared samples is discussed. The present work demonstrates that the 3D hierarchical Bi(2)WO(6) microspheres are effective visible-light-driven photocatalytic functional materials for air purification.",M1
20443746,"Slipped capital femoral epiphysis: an ultrastructural study before and after osteosynthesis.BACKGROUND AND PURPOSE: Several different theories have been proposed to explain the pathogenesis of slipped capital femoral epiphysis (SCFE). Using transmission electron microscopy (<e>TEM</e>), we carried out an ultrastructural study of core biopsy specimens of the physis at various stages of the disease. METHODS: Core biopsies were performed in 6 patients with different forms of SCFE during the first operation, and in 3 of them when removing the osteosynthesis material before physeal closure. The specimens were prepared for TEM examination. RESULTS: In 6 specimens obtained at first surgery, a marked distortion of the physeal architecture was observed. In 2 of the 3 specimens obtained at removal of the osteosynthesis material, the physis showed a more normal organization. INTERPRETATION: The improvement of the pathological alterations observed in the 2 cases after surgical intervention leads us to consider the possibility that when the growth plate is stabilized directly by pinning or indirectly by creating more optimal loading conditions with an intertrochanteric osteotomy, the morpho-functional characteristics of the physis can be restored and its growth process may resume.",M1
20423134,"Polymer-derived ceramic composite fibers with aligned pristine multiwalled carbon nanotubes.Polymer-derived ceramic fibers with aligned multiwalled carbon nanotubes (MWCNTs) are fabricated through the electrospinning of polyaluminasilazane solutions with well-dispersed MWCNTs followed by pyrolysis. Poly(3-hexylthiophene)-b-poly (poly (ethylene glycol) methyl ether acrylate) (P3HT-b-PPEGA), a conjugated block copolymer compatible with polyaluminasilazane, is used to functionalize MWCNT surfaces with PPEGA, providing a noninvasive approach to disperse carbon nanotubes in polyaluminasilazane chloroform solutions. The electrospinning of the MWCNT/polyaluminasilazane solutions generates polymer fibers with aligned MWCNTs where MWCNTs are oriented along the electrospun jet by a sink flow. The subsequent pyrolysis of the obtained composite fibers produces ceramic fibers with aligned MWCNTs. The study of the effect of polymer and CNT concentration on the fiber structures shows that the fiber size increases with the increment of polymer concentration, whereas higher CNT content in the polymer solutions leads to thinner fibers attributable to the increased conductivity. Both the SEM and <e>TEM</e> characterization of the polymer and ceramic fibers demonstrates the uniform orientation of CNTs along the fibers, suggesting excellent dispersion of CNTs and efficient CNT alignment via the electrospinning. The electrical conductivity of a ceramic fibers with 1.2% aligned MWCNTs is measured to be 1.58 x 10(-6) S/cm, which is more than 500 times higher than that of bulk ceramic (3.43 x 10(-9) S/cm). Such an approach provides a versatile method to disperse CNTs in preceramic polymer solutions and offers a new approach to integrate aligned CNTs in ceramics.",M1
20423123,"Well-defined PMMA brush on silica particles fabricated by surface-initiated photopolymerization (SIPP).The photochemical method is a convenient and simple way to synthesize the polymer brush on surface. We presented here a facile approach to fabricate PMMA brush on silica particles (SPs) by combination of self-assembly monolayer of hyperbranched polymeric thioxanthone (HPTX) and surface-initiated photopolymerization (SIPP). HPTX was immobilized on the surface of silica particles (SPs) through nucleophilic addition between amine and epoxy groups, and then initiated photopolymerization of MMA to generate PMMA brush on SPs at room temperature. The whole process was well-traced by FT-IR, TGA, SEM, and <e>TEM</e>. The results show that it is easy to create PMMA brushes of tunable thickness under UV irradiation. Especially, TEM images reveal the obvious formation of well-defined hybrid particles with SPs as the core and PMMA layers as the shell. The obtained hybrid particles can be implanted into PMMA matrix to produce PMMA composite with enhanced thermal and mechanical properties.",M1
20409218,"Morphological sperm defects analyzed by light microscopy and transmission electron microscopy and their correlation with sperm motility.OBJECTIVES: To compare sperm defects as assessed by light microscopy (LM) and transmission electron microscopy (<e>TEM</e>), and to correlate them with sperm motility. METHODS: A cohort of 40 male partners of infertile couples was selected. Group 1 (n = 31) included subjects with motility &gt;5 and &lt;50%, group 2 (n = 9) included those with motility &lt;5% and the control group consisted of 10 normospermic subjects. Semen analysis of morphological parameters was carried out by LM and TEM. RESULTS: A linear correlation between LM and TEM regarding head defects and excess residual cytoplasm (r = 0.87 and 0.90) was found, whereas there was a poor correlation between tail and midpiece anomalies (r = 0.46 and 0.21). No significant variations were detected by LM and TEM regarding sperm head defects and excess residual cytoplasm, whereas TEM showed a significantly greater percentage of tail and midpiece alterations compared with LM in groups 1 and 2, as well as controls (P &lt; 0.05). The microtubular pattern '&lt;9 + 2' represented the most frequent axonemal morphological alteration. CONCLUSIONS: TEM might represent an additional diagnostic tool in the presence of severe sperm hypomotility or absence of motility.",M1
20407714,"Lipid coated mesoporous silica nanoparticles as photosensitive drug carriers.This paper presents a strategy for the biofunctionalization of novel photosensitizer carriers, mesoporous silica nanoparticles (MSNs). After being calcined and absorbed with photosensitizers (hypocrellin B, HB), MSNs can be coated with a lipid layer. Transmission electron microscopy (<e>TEM</e>) and confocal laser scanning microscopy (CLSM) results proved that HB molecules can be loaded into MSN porous and lipid can coated on the surface of the nanoparticles. When co-cultured with cancer cells (MCF-7), MSNs can transport HB molecules into cells and present low cytotoxicity. With the introduction of a lipid layer, the efficiency of MSN uptake by cells can be improved. These intracellular HB-loaded MSN materials also present cytotoxicity to MCF-7 cells after light irradiation which indicates the materials can be used as good photosensitizer carriers in photodynamic therapy.",M1
20398382,"Microvessel changes after post-ischemic benign and malignant hyperemia: experimental study in rats.BACKGROUND: The present investigation was designed to elucidate the use of dynamic contrast enhanced perfusion MR imaging (DCE pMRI) in characterizing hyperemia, including microvessel changes, and to examine whether DCE pMRI can predict benign or malignant hyperemia. METHODS: Sprague-Dawley rats underwent middle cerebral artery occlusion (MCAO) by intraluminal suture placement. All rats were randomized to 4 groups: MCAO for 0.5 hours followed by saline treatment (10 ml/kg; group 1); MCAO for 3 hours followed by treatment with saline (group 2) or urokinase (25000 IU/kg; group 3); and MCAO for 6 hours followed by urokinase treatment (group 4). Relative cerebral blood volume (rCBV) and relative maximum slope of increase of the signal intensity time curve (rMSI) were quantitatively analyzed from MRI. Microvessel diameter and blood-brain barrier disruption obtained by laser scanning confocal microscopy (LSCM) as well as transmission electron microscopy (<e>TEM</e>) were obtained for correlative study. RESULTS: Benign hyperemia was noticed only in group 1; malignant hyperemia was seen in group 3. Although the rCBV of malignant hyperemia was slightly higher than in benign hyperemia (P &gt; 0.05), the rMSI, on the other hand, was significantly lower (P &lt; 0.05). Fluoro-isothiocyanate dextran (FITC-dextran) extravasations, marked glial end-foot process swelling, and significant vasodilatation were seen in malignant hyperemia, while no or mild leakage of FITC-dextran and slight glial end-foot process swelling occurred in benign hyperemia. CONCLUSION: Our findings indicate that DCE pMRI can characterize post-ischemic hyperemia and correlates well with microvascular damage.",M1
