@RELATION C0040509_C0008569

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
19793355,"Accuracy of spirometry in diagnosing pulmonary restriction in elderly people.OBJECTIVES: To compare the accuracy of a diagnosis of pulmonary restriction made using forced vital capacity (FVC) less than the lower limit of normal (LLN) with the criterion standard diagnosis made using total lung capacity (<e>TLC</e>) less than the LLN in an elderly population. DESIGN: Retrospective analysis. SETTING: A teaching hospital. PARTICIPANTS: Five hundred sixty-four ambulatory and acute care hospital patients aged 65 to 96 underwent complete pulmonary function evaluation. MEASUREMENTS: Sensitivity, specificity, positive and negative predictive values (PPV, NPV) of diagnosis of pulmonary restriction defined as FVC less than the LLN were calculated in the overall sample and after stratification according to bronchial obstruction. Expected PPV and NPV at different background prevalence of true pulmonary restriction (5% and 15%) were calculated using the Bayes theorem. RESULTS: Low sensitivity (0.32) and high specificity (0.95) were found, with an area under the receiver operating characteristic curve (AUC) of 0.89. In participants without bronchial obstruction, specificity was even higher, although sensitivity decreased to 0.28 (AUC=0.92). The PPV was good (0.81), whereas with a low to moderate a priori probability (prevalence from 5% to 15%) the NPV was fair (&gt; or =0.89). CONCLUSION: A reduction in FVC below LLN cannot reliably identify true pulmonary restriction in elderly people, confirming previous findings in the adult population. Normal FVC, instead, can effectively exclude pulmonary restriction regardless of the presence of bronchial obstruction when the a priori probability is low or moderately high.",M1
19664729,"Marked pericardial inhomogeneity of specific ventilation at total lung capacity and beyond.We measured regional ventilation at 1l above functional residual capacity (FRC+1L) and total lung capacity (<e>TLC</e>) in three normal subjects and four elite breath-hold divers, and above TLC after glossopharyngeal insufflation (TLC+GI) in the divers. Hyperpolarized (3)He MRI was used to map the local ventilation per unit volume over the entire lung. At TLC and above, there was markedly increased regional ventilation of the lungs in the pericardial region compared with the relatively uniform ventilation throughout the rest of the lung. The distribution of fractional ventilation regionally was relatively uniform at FRC+1L, with a small non-gravitational cephalocaudal gradient of specific ventilation in the supine posture. Our observations at high lung volumes are consistent with the effect of high pleural tension in the concave pericardial region, which promotes expansion of the subjacent lung, leading to a higher local effective compliance and a higher specific ventilation.",M1
19664351,"Airway function and respiratory resistance in Taiwanese coal workers with simple pneumoconiosis.BACKGROUND: Occupational exposure to coalmine dust consisting of coal particles and free silica eventually results in massive lung fibrosis. However, clinical observations of patients with coal workers' pneumoconiosis (CWP) suggest that airway dysfunction may be a predominant feature in the initial development of the disease. METHODS: Forced expirogram, plethysmographic determination of lung volumes, and measurement of respiratory resistance (Rrs) by the forced oscillation technique at 3, 9, and 18 Hz were conducted in a sample of 71 coal miners with simple pneumoconiosis and 36 healthy subjects. RESULTS: The forced vital capacity (FVC) was well-preserved even in miners with category 2 and 3 CWP. There were no differences in the mean forced expiratory volume in 1 second (FEV1) values between healthy subjects and miners with category 1 disease. However, the level of airflow limitation in these miners increased with the transition from category 1 to category 2 and 3. The FEV1/FVC ratio fell below 70% in miners with category 2 and 3 disease, in both smokers and non-smokers. A consistent increase in the ratio of the residual volume to total lung capacity (RV/<e>TLC</e>) in the miners compared with that of the control workers was found. An abnormally high Rrs at 3 Hz (Rrs3) and frequency dependence in the flow resistance were also demonstrated in these subjects. There was an upward trend in the values of Rrs3 in the higher radiological categories. The correlation between respiratory conductance at this frequency (Grs3) and the RV/TLC ratio was good (r = - 0.763, p&lt; 0.001). CONCLUSION: Simple CWP is not associated with a clinically apparent reduction in lung volume. The Rrs3 appears to be a sensitive parameter for detecting airway obstruction in patients with simple CWP associated or not with a reduced FEV1.",M1
19639626,"FRC measurements using body plethysmography in young children.BACKGROUND: Measurement of FRC in whole body plethysmography (FRCpleth) is not performed in young children (aged 3-5 years) because it involves sitting alone in a closed box and breathing attempts against occlusion. OBJECTIVE: To assess the feasibility of measuring FRCpleth in young children. METHODS AND RESULTS: Seventy-one of 102 children (age range 3.3-6.9 years) performed spirometry and FRCpleth measurements. Twenty-six children had controlled asthma (Group-A); 26 children were tested during asthma exacerbation had uncontrolled asthma (Group-UA), and 19 children were tested after receiving chemotherapy treatment (Group-C). Tests according to adult recommendations were first taught outside the plethysmograph and then performed with minor technical adaptations. Each test included two consecutive FRC measurements obtained during 2-3 sec of occlusion. Total lung capacity (<e>TLC</e>) and residual volume (RV) were calculated. Values were compared to FRC measured by Helium-dilution (FRC-He) in healthy preschool children and to extrapolated FRCpleth values of school children, and between the groups. RESULTS: Group-A showed normal spirometry and normal TLC values, with mildly elevated FRCpleth and RV values (125 +/- 20 and 153 +/- 33 %predicted, respectively; P &lt; 0.0001 for both values). Group-UA showed obstructed flows combined with high FRCpleth and RV (146 +/- 26 and 189 +/- 38 %predicted; P &lt; 0.0001) and normal TLC. Group-C showed a restrictive spirometry pattern combined with lower than normal TLC (86 +/- 15 %predicted; P &lt; 0.0251). CONCLUSIONS: Measuring absolute lung volumes by plethysmography in young children is feasible and can detect abnormal lung volumes. It is essential to study a larger group of healthy children for reference values and to allow for standardization of the procedure.",M1
19630079,"Quantitative MRI measurement of lung density must account for the change in T(2) (*) with lung inflation.PURPOSE: To evaluate lung water density at three different levels of lung inflation in normal lungs using a fast gradient echo sequence developed for rapid imaging. MATERIALS AND METHODS: Ten healthy volunteers were imaged with a fast gradient echo sequence that collects 12 images alternating between two closely spaced echoes in a single 9-s breathhold. Data were fit to a single exponential to determine lung water density and T(2) (*). Data were evaluated in a single imaging slice at total lung capacity (<e>TLC</e>), functional residual capacity (FRC), and residual volume (RV). Analysis of variance for repeated measures was used to statistically evaluate changes in T(2) (*) and lung water density across lung volumes, imaging plane, and spatial locations in the lung. RESULTS: In normal subjects (n = 10), T(2) (*) (and [lung density/water density]) was 1.2 +/- 0.1 msec (0.10 +/- 0.02), 1.8 +/- 0.2 ms (0.25 +/- 0.04), and 2.0 +/- 0.2 msec (0.27 +/- 0.03) at TLC, FRC, and RV, respectively. Results also show that there is a considerable intersubject variability in the values of T(2) (*). CONCLUSION: Data show that T(2) (*) in the lung is very short, and varies considerably with lung volume. Thus, if quantitative assessment of lung density within a breathhold is to be measured accurately, then it is necessary to also determine T(2) (*).",M1
19481169,"A pilot comparison of helium dilution and plethysmographic lung volumes to assess the impact of a long-acting bronchodilator on lung hyperinflation in COPD.BACKGROUND: Currently, two methods for measuring <e>TLC</e>, RV, and FRC are used in clinical pulmonary function laboratories: body plethysmography and helium dilution. However, these methods are not interchangeable. In moderate-to-severe airflow obstruction, dilution method tends to underestimate and body plethysmography tends to overestimate RV. PURPOSE: In 21 patients suffering from COPD (basal FEV(1): 56.69+/-13.64), we investigated whether the two methods of measuring FRC and RV could respond differently to a 2-week treatment with tiotropium 18 microg/day. MAIN RESULTS: Tiotropium induced a significant increase in FEV(1) and FVC but not in IC. At baseline, FRC(pleth), RV(pleth) and TLC(pleth) were higher than FRC(He), RV(He) and TLC(He). At the end of the study FRC(pleth), RV(pleth) and TLC(pleth) decreased and FRC(He), RV(He) and TLC(He) increased but only changes in FRC(pleth) and RV(pleth) were statistically significant. CONCLUSION: The use of body plethysmography seems to be more appropriate in clinical trials aimed at assessing the impact of a therapeutic procedure in patients with COPD and lung hyperinflation.",M1
19476603,"Electrical impedance tomography is able to track changes in respiratory function in endotoxin-challenged rodents.BACKGROUND AND OBJECTIVE: In order to assess and optimize the effect of new therapies for acute lung injury (ALI) in rodent models, a monitoring technique that continuously assesses the functional state of the lung is mandatory. Electrical impedance tomography (EIT) has been suggested as a technique for quantifying lung inflammation in ALI. However, EIT has not been evaluated in a rodent model of ALI. METHODS: EIT measurements were compared in ventilated Sprague-Dawley rats (n = 14), randomly subjected to intratracheal administration of endotoxin (LPS) or saline (control). Lung mechanics, lung weight wet/dry ratio and inflammatory markers in bronchoalveolar lavage fluid were also evaluated. RESULTS: LPS caused a significant decrease in lung compliance and <e>TLC</e> as compared with control (-42.0%, P = 0.04, and -27.9%, P = 0.02, respectively). These changes were paralleled by differences in mean impedance changes as detected by EIT (Spearman's rank correlation coefficient: rho = 0.66 and 0.73, respectively, P &lt; 0.01). LPS increased the lung weight wet/dry ratio (6.35 +/- 0.42 vs 5.15 +/- 0.07, P = 0.003), and the bronchoalveolar lavage total WCC (8.96 +/- 1.87 vs 1.16 +/- 0.10 x 10(9)/L, P = 0.002) as compared with control. The lung weight wet/dry ratio was inversely related to the mean impedance change (rho = -0.76, P &lt; 0.01). CONCLUSIONS: This study has demonstrated for the first time that eight-electrode EIT readily tracks the inflammatory response of lung tissue in a rodent model of ALI. EIT may thus provide a promising, non-invasive technique for monitoring the time-course of ALI in rodent models, and for testing novel pharmacological strategies to counter it.",M1
19419494,"Plethysmographic lung volumes in children with sighing dyspnea.BACKGROUND: This study compared the plethysmographic lung volumes of children with sighing dyspnea with healthy children and tested the hypothesis that sighing children suffer from hyperinflation or gas trapping as a cause of dyspnea. METHODS: From January 2006 to December 2006, pediatric patients with sighing dyspnea presenting to the pulmonary clinic of a tertiary children's hospital who had no apparent cardiopulmonary diseases were prospectively enrolled; normal healthy children were invited to participate for comparison. Baseline pre-bronchodilator spirometry and post-inhaled bronchodilator spirometry were measured for the determination of bronchodilator response. Plethysmographic lung volumes were determined solely for total lung capacity, residual volume (RV) and functional residual capacity (FRC) without the use of inhaled bronchodilator according to standard procedure. RESULTS: Eighteen sighing children (10 boys) and 10 healthy subjects (six boys) were included in the present study. They had a median age of 13 years (range, 8-15 years) and 13 years (range, 8-17 years), respectively. The mean baseline forced vital capacity (FVC) of subjects with dyspnea was 79.4 +/- 16.7% of predicted, while that of the normal control children was 88.4 +/- 6.7%, which was not statistically significantly different. Forced expiratory volume in 1 s (FEV(1)), FEV(1)/FVC % of predicted were within normal limits and indicated no bronchodilator response. RV and RV/total lung capacity (<e>TLC</e>) were elevated in children with sighing dyspnea that were not measured by spirometry, but TLC and FRC measured on plethysmography (FRC(pleth)) were not increased. CONCLUSIONS: RV and RV/TLC were higher in children with sighing dyspnea that were not measured by spirometry, but TLC and FRC(pleth) were not increased. The causal link between dysfunctional breathing patterns and changes in static lung volumes was not able to be determined in the present study. The possibility of heterogeneity of patients with sighing dyspnea obscures the significance of lung volume discrepancy in this population; further subdivision of children with sighing dyspnea in a larger cohort of patients is required.",M1
19398372,"The influence of air pollution during intrauterine development and early childhood on respiratory functions at later age.AIM: The aim of this study is to estimate the influence of high levels of air pollution during intrauterine development and early childhood on the respiratory functions at a later stage in life. MATERIAL AND METHODS: The subjects were children from Dimitrovgrad - one of the most industrialized areas in Bulgaria. The transition to market economy (after 1989) was accompanied by a great drop in industrial production and levels of air pollutants respectively. A complete functional respiratory test of 122 clinically healthy ten-year-old children (48 boys and 74 girls) from Dimitrovgrad was carried out (MasterScreen Diffusion, Jaeger, Wuerzburg, Germany). The participants were distributed in 3 groups: First group (I), n=60 - born and lived to their fifth year of age under conditions of heavy air pollution, and whose mothers had their pregnancies in the same environment; Second group (II), n=39 - born and lived after the abrupt production drop, under considerably lower level of pollution, but whose mothers had their pregnancies prior to that; Third group (III), n=23 - born after the abrupt production drop, lived in conditions of considerably lower level of pollution, and whose mothers had their pregnancies in this more favorable environment. RESULTS: The lowest functional indicators of external breathing in the children from the first group were found. FEV(1%pred) - 100.41+/-12.05 (I), 107.38+/-12.55 (II), 111.56+/-11.08 (III), P(IvsII)=0.017, P(IvsIII)=0.001, P(IIvsIII)=0.57; <e>TLC</e>(%pred) - 89.85+/-8.54 (I), 102.76+/-11.57 (II), 102.83+/-11.47 (III), P(IvsII)&lt;0.0001, P(IvsIII)&lt;0.0001, P(IIvsIII)=1. CONCLUSION: The research makes an attempt to provide evidence for the negative influence of high levels of air pollution during the intrauterine development and during early childhood, manifested by respiratory limitations at a later stage of childhood. It is known that the influence of air pollution with TSPM and SO(2) during the first 5 years of life is more important than that in intrauterine development for the respiratory functions. Data is lacking with concern to intrauterine programing of respiratory function. Further research is necessary for a detailed elucidation of the problem.",M1
19394744,"[Relation between atherosclerotic calcifications detected in chest computed tomography and lung function]BACKGROUND AND OBJECTIVES: A few recent epidemiological findings indicate a link between atherosclerosis and some lung functions. We studied further the relation between calcified chest atherosclerosis as seen in computed tomography (CT) and several lung functional parameters. PATIENTS AND METHODS: Male construction workers originally screened for occupational lung cancer with CT had their chest atherosclerosis (aorta, the origins of its cervical branches, the coronary arteries and heart valves) visually classified. The relation between the atherosclerotic calcification scores and lung function (total lung capacity [<e>TLC</e>], forced expiratory volume in one second [FEV1%], forced vital capacity [FVC%], maximal expiratory flow when 50% of FVC remains to be exhaled, total and specific diffusing capacities; all above expressed as percent of predicted value, and the FEV1/FVC% ratio) were studied with the general linear model adjusted for smoking, exposure years for asbestos, and body mass index (n=432). RESULTS: All lung functions except TLC showed significant negative associations with calcifications in aorta and in its branches. TLC showed such association only with atherosclerosis in the ascending aorta. CONCLUSIONS: Aortic atherosclerosis seems to be related with poor lung function. This may be due to deteriorated bronchial circulation, but other mechanisms can also be involved. Lung function poorer than would be expected due to pulmonary reasons may indicate aortic atherosclerosis.",M1
