@RELATION C0041041_C0040079

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20007760,"Prevalence of trimethoprim resistance genes in Escherichia coli isolates of human and animal origin in Lithuania.A total of 456 non-repetitive Escherichia coli isolates from human clinical specimens (urinary, n=134; cervix, vagina and prostate, n=52; blood, pus and wounds, n=45), healthy animals (cattle, n=45; poultry, n=20) and diseased animals (cattle, n=53; swine, n=64; poultry, n=43) obtained in Lithuania during the period 2005-2008 were studied for trimethoprim (<e>TMP</e>) resistance and the prevalence of dfr genes. A TMP resistance rate in the range of 18-26 % respective to the origin was found in clinical isolates, 23-40 % in isolates from diseased animals and 9-20 % in isolates from healthy animals. Of 112 TMP-resistant isolates, 103 carried at least one of the six dfrA genes (dfrA1, dfrA5, dfrA8, dfrA12, dfrA14 and dfrA17) as determined by multiplex PCR and RFLP. The dfrA1 and dfrA17 genes were found most frequently in clinical isolates (17 and 19 isolates, respectively), whilst dfrA1 and dfrA14 genes dominated in isolates of animal origin (25 and 13 isolates, respectively). The dfrA5, dfrA12 and dfrA8 genes were detected at lower frequencies. The association with class 1/class 2 integrons was confirmed for 73-100 % of dfr genes found in most groups of isolates, except for the isolates from diseased swine. In this group, the majority of dfr-positive isolates (67 %, 8/12) carried dfrA8 (6/12) or dfrA14 genes (2/12) that were not associated with integrons. Non-integron location was also confirmed for the remaining dfrA8 genes (six clinical isolates and one isolate from diseased cattle) and for dfrA14 genes (two isolates from diseased cattle and swine each). All cassette-independent dfrA14 genes were found to be located within the strA gene. This study on the prevalence and distribution of TMP resistance genes among E. coli isolates of human and animal origin in Lithuania demonstrates that dfr genes are carried most frequently as gene cassettes within class 1 and/or class 2 integrons. However, TMP resistance in some of the isolates was found to be mediated by non-integron-associated dfrA8 and dfrA14 genes, indicating the existence of alternative sources for the spread of resistance.",M1
19950924,"Kinetic and structural characterization of dihydrofolate reductase from Streptococcus pneumoniae.Drug resistance associated with dihydrofolate reductase (DHFR) has emerged as a critical issue in the treatment of bacterial infections. In our efforts to understand the mechanism of a drug-resistant dihydrofolate reductase (DHFR) from a pathogenic bacterial source, we report the first kinetic characterization of Streptococcus pneumoniae DHFR (spDHFR) along with its X-ray structure. This study revealed that the kinetic properties of spDHFR were significantly different from those of Escherichia coli DHFR. The product (tetrahydrofolate) dissociation step that is the rate-limiting step in E. coli DHFR is significantly accelerated in spDHFR so that hydride transfer or a preceding step is rate-limiting. Comparison of the binding parameters of this enzyme to those of a mutant spDHFR (Sp9) confirmed that the Leu100 residue in spDHFR is the critical element for the trimethoprim (<e>TMP</e>) resistance. Steady-state kinetics exhibited a pH dependence in k(cat), which prompted us to elucidate the role of the new catalytic residue (His33) in the active site of spDHFR. Structural data of the Sp9 mutant in complex with NADPH and methotrexate confirmed the participation of His33 in a hydrogen bonding network involving a water molecule, the hydroxyl group of Thr119, and the carboxylate ion of Glu30. Sequence analysis of the DHFR superfamily revealed that the His residue is the major amino acid component at this position and is found mostly in pathogenic bacterial DHFRs. A mutation of Val100 to Leu demonstrated a steric clash of the leucine side chain with the side chains of Ile8 and Phe34, rationalizing weaker binding of trimethoprim to Leu100 DHFR. Understanding the role of specific amino acids in the active site coupled with detailed structural analysis will inform us on how to better design inhibitors targeting drug-resistant pathogenic bacterial DHFRs.",M1
19854343,"A multidimensional high performance liquid chromatography method coupled with amperometric detection using a boron-doped diamond electrode for the simultaneous determination of sulfamethoxazole and trimethoprim in bovine milk.The development and validation of a multidimensional HPLC method using an on-line clean-up column coupled with amperometric detection employing a boron-doped diamond (BDD) electrode for the simultaneous determination of sulfamethoxazole (SMX) and trimethoprim (<e>TMP</e>) in bovine milk are presented. Aliquots of pre-prepared skim-milk samples were directly injected into a RAM octyl-BSA column in order to remove proteins that otherwise would interfere with milk analysis. After exclusion of the milk proteins, SMX and TMP were transferred to the analytical column (an octyl column) and the separation of the compounds from one another and from other endogenous milk components was achieved. SMX and TMP were detected amperometrically at 1.25V vs. Ag/AgCl (3.0molL(-1) KCl). Results with good linearity in the concentration ranges 50-800 and 25-400microgL(-1) for SMX and TMP, respectively, were obtained and no fouling of the BDD electrode was observed within the experimental period of several hours. The intra- and inter-assay coefficients of variation were less than 10% for both drugs and the obtained LOD values for SMX and TMP were 25.0 and 15.0microgL(-1), respectively.",M1
19804872,"Improved trimethoprim-resistance cassette for prokaryotic selections.Many of the antibiotic resistance elements used in molecular biology have idiosyncratic limitations. For example, beta-lactam selections rely on antibiotics that are unstable to hydrolysis and allow satellite colonies to form upon extended incubation, and tetracycline selections typically give rise to widely varying colony sizes and lower transformation efficiencies. Although prokaryotic Type II dihydrofolate reductase (dfr) genes have long been considered to have potential utility for the selection of plasmids and mobile elements in bacteria, practical limitations to the quality of those selections, mostly relating to background and inefficiency, have led for the most part to their underuse. I describe here the construction of a Type IIa dfr prokaryotic expression cassette that confers strong resistance against trimethoprim (<e>Tmp</e>), a bactericidal dfr inhibiting antibiotic. The Tmp-resistance cassette provides consistent and efficient selections and plasmid transformation frequencies equivalent to those encountered with beta-lactamases.",M1
19762032,"Development and validation of a normal-phase high-performance thin layer chromatographic method for the analysis of sulfamethoxazole and trimethoprim in co-trimoxazole tablets.Pneumocystis carinii pneumonia (PCP) is often the ultimate mortal cause for immunocompromised individuals, such as HIV/AIDS patients. Currently, the most effective medicine for treatment and prophylaxis is co-trimoxazole, a synergistic combination of sulfamethoxazole (SMX) and trimethoprim (<e>TMP</e>). In order to ensure a continued availability of high quality co-trimoxazole tablets within resource-limited countries, Medicines Regulatory Authorities must perform quality control of these products. However, most pharmacopoeial methods are based on high-performance liquid chromatographic (HPLC) methods. Because of the lack of equipment, the Tanzania Food and Drugs Authority (TFDA) laboratory decided to develop and validate an alternative method of analysis based on the TLC technique with densitometric detection, for the routine quality control of co-trimoxazole tablets. SMX and TMP were separated on glass-backed silica gel 60 F(254) plates in a high-performance thin layer chromatograph (HPTLC). The mobile phase was comprised of toluene, ethylacetate and methanol (50:28.5:21.5, v:v:v). Detection wavelength was 254 nm. The R(f) values were 0.30 and 0.61 for TMP and SMX, respectively. This method was validated for linearity, precision, trueness, specificity and robustness. Cochran's criterion test indicated homoscedasticity of variances for the calibration data. The F-tests for lack-of-fit indicated that straight lines were adequate to describe the relationship between spot areas and concentrations for each compound. The percentage relative standard deviations for repeatability and time-different precisions were 0.98 and 1.32, and 0.83 and 1.64 for SMX and TMP, respectively. Percentage recovery values were 99.00%+/-1.83 and 99.66%+/-1.21 for SMX and TMP, respectively. The method was found to be robust and was then successfully applied to analyze co-trimoxazole tablet samples.",M1
19622858,"Inhibitory properties and X-ray crystallographic study of the binding of AR-101, AR-102 and iclaprim in ternary complexes with NADPH and dihydrofolate reductase from Staphylococcus aureus.Iclaprim is a novel dihydrofolate reductase (DHFR) inhibitor belonging to the 2,4-diaminopyrimidine class of antibiotics, of which trimethoprim (<e>TMP</e>) is the most well known representative. Iclaprim exhibits potent bactericidal activity against major Gram-positive pathogens, notably methicillin-sensitive Staphylococcus aureus (MSSA) and methicillin-resistant S. aureus (MRSA) phenotypes, including TMP-resistant strains. The inhibition properties of racemic iclaprim and of the two enantiomers, termed AR-101 and AR-102, towards S. aureus wild-type DHFR and TMP-resistant F98Y mutant DHFR were determined and compared. Similar to TMP, AR-101, AR-102 and iclaprim are all competitive inhibitors with respect to the substrate dihydrofolate. Iclaprim, AR-101 and AR-102 demonstrated little or no difference in activity towards these enzymes and were significantly more potent than TMP. The crystal structures of S. aureus DHFR and F98Y mutant DHFR were determined as ternary complexes with NADPH and either AR-101, AR-102 or iclaprim. The binding modes of the inhibitors were analysed and compared. The X-ray crystallographic data explain the binding modes of all molecules well and can be used to rationalize the equipotent affinity of AR-101, AR-102 and iclaprim, which is also reflected in their antibacterial properties.",M1
19620336,"Dosing regimens of cotrimoxazole (trimethoprim-sulfamethoxazole) for melioidosis.Melioidosis is an infectious disease with a propensity for relapse, despite prolonged antibiotic eradication therapy for 12 to 20 weeks. A pharmacokinetic (PK) simulation study was performed to determine the optimal dosing of cotrimoxazole (trimethoprim-sulfamethoxazole [<e>TMP</e>-SMX]) used in current eradication regimens in Thailand and Australia. Data for bioavailability, protein binding, and coefficients of absorption and elimination were taken from published literature. Apparent volumes of distribution were correlated with body mass and were estimated separately for Thai and Australian populations. In vitro experiments demonstrated concentration-dependent killing. In Australia, the currently used eradication regimen (320 [TMP]/1,600 [SMX] mg every 12 h [q12h]) was predicted to achieve the PK-pharmacodynamic (PD) target (an area under the concentration-time curve from 0 to 24 h/MIC ratio of &gt;25 for both TMP and SMX) for strains with the MIC90 of Australian strains (&lt; or = 1/19 mg/liter). In Thailand, the former regimen of 160/800 mg q12h would not be expected to attain the target for strains with an MIC of &gt; or = 1/19 mg/liter, but the recently implemented weight-based regimen (&lt;40 kg [body weight], 160/800 mg q12h; 40 to 60 kg, 240/1,200 mg q12h; &gt;60 kg, 320/1,600 mg q12h) would be expected to achieve adequate concentrations for strains with an MIC of &lt; or = 1/19 mg/liter. The results were sensitive to the variance of the PK parameters. Prospective PK-PD studies of Asian populations are needed to optimize TMP-SMX dosing in melioidosis.",M1
19528269,"In vitro activity of antifolate and polymorphism in dihydrofolate reductase of Plasmodium falciparum isolates from the Kenyan coast: emergence of parasites with Ile-164-Leu mutation.We have analyzed the activities of the antifolates pyrimethamine (PM), chlorcycloguanil (CCG), WR99210, trimethoprim (<e>TMP</e>), methotrexate (MTX), and trimetrexate (TMX) against Kenyan Plasmodium falciparum isolates adapted in vitro for long-term culture. We have also assessed the relationship between these drug activities and mutations in dihydrofolate reductase (dhfr), a domain of the gene associated with antifolate resistance. As expected, WR99210 was the most potent drug, with a median 50% inhibitory concentration (IC50) of &lt;0.075 nM, followed by TMX, with a median IC50 of 30 nM. The median IC50 of CCG was 37.80 nM, and that of MTX was 83.60 nM. PM and TMP were the least active drugs, with median IC50s of 733.26 nM and 29,656.04 nM, respectively. We analyzed parasite dhfr genotypes by the PCR-enzyme restriction technique. No wild-type dhfr parasite was found. Twenty-four of 33 parasites were triple mutants (mutations at codons 108, 51, and 59), and only 8/33 were double mutants (mutations at codons 108 and 51 or at codons 108 and 59). IC50s were 2.1-fold (PM) and 3.6-fold (TMP) higher in triple than in double mutants, though these differences were not statistically significant. Interestingly, we have identified a parasite harboring a mutation at codon 164 (Ile-164-Leu) in addition to mutations at codons 108, 51, and 59. This quadruple mutant parasite had the highest TMP IC50 and was in the upper 10th percentile against PM and CCG. We confirmed the presence of this mutation by sequencing. Thus, TMX and MTX are potent against P. falciparum, and quadruple mutants are now emerging in Africa.",M1
19492849,"An in vivo covalent <e>TMP</e>-tag based on proximity-induced reactivity.Chemical tags for live cell imaging are emerging as viable alternatives to the fluorescent proteins for labeling proteins with small molecule probes. Among reported chemical tags, trimethoprim (TMP)-tag stands out for having sufficient cell permeability and selectivity to allow imaging of intracellular proteins. TMP-tag provides a noncovalent label in which the protein of interest is fused to E. coli dihydrofolate reductase (DHFR) and then labeled with a cell-permeable TMP-probe heterodimer. To complement the utility of the noncovalent TMP-tag, we sought to render the TMP-tag covalent for applications such as single-molecule tracking and pulse-chase labeling that would benefit from a more permanent modification. On the basis of the long-standing use of proximity-induced reactivity for irreversible inhibitor design and its more recent application to in vitro chemical biology tools, we designed an eDHFR variant with a unique cysteine residue positioned to react with an acrylamide electrophile installed on the TMP-probe label. In vitro experiments show that the eDHFR:L28C nucleophile reacts rapidly and quantitatively with the TMP-acrylamide-probe. Most significantly, the balance in reactivity provided by the acrylamide electrophile allows intracellular proteins tagged with eDHFR:L28C to be labeled with a TMP-acrylamide-fluorescein heterotrimer in live cells with minimal background. Thus, the TMP electrophile described here can be used immediately as a covalent chemical tag in live cells. Moreover, proximity-induced reactivity is shown to be sufficiently selective for use in a living cell, suggesting a general approach for the development of orthogonal covalent chemical tags from existing noncovalent ligand-protein pairs.",M1
19481616,"A multi-biomarker assessment of the impact of the antibacterial trimethoprim on the non-target organism Zebra mussel (Dreissena polymorpha).A battery of eight biomarkers was applied in the freshwater mussel Dreissena polymorpha to evaluate potential sub-lethal effects of the antimicrobial trimethoprim (<e>TMP</e>, 5-[3,4,5-trimethoxybenzyl]pyrimidine-2,4-diamine). Mussels were exposed for 96 h to increasing concentrations (1, 3, 10 nM) of TMP in in vivo experiments. We determined the single cell gel electrophoresis (SCGE) assay, the micronucleus test (MN test), the apoptotic frequency (Halo assay) and the lysosomal membrane stability (Neutral Red Retention Assay) in mussel hemocytes. Moreover, to reveal whether the oxidative status was altered, measurements of the activity of superoxide dismutase (SOD), catalase (CAT), glutathione peroxidase (GPx) and the phase II detoxifying enzyme glutathione S-transferase (GST) were performed using the cytosolic fraction extracted from a pool of entire mussels. The biomarker battery pointed out only a moderate cyto- and genotoxicity on Zebra mussel hemocytes since only a slight increase in DNA damage was registered by apoptosis induction and MN frequency, while significant differences of lysosomal membrane stability from baseline levels were measured at 3 and 10 nM at the end of exposures only. Finally, TMP seems to have a very low induction capability or even an inhibitory effect on the activities of antioxidant enzymes, but a clear significant induction on GST.",M1
