@RELATION C0077404_C0041070

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20447532,"Copeptin improves early diagnosis of acute myocardial infarction.OBJECTIVES: Early identification of myocardial infarction in chest pain patients is crucial to identify patients at risk and to maintain a fast treatment initiation. BACKGROUND: The aim of the current investigation is to test whether determination of copeptin, an indirect marker for arginin-vasopressin, adds diagnostic information to cardiac troponin in early evaluation of patients with suspected myocardial infarction. METHODS: Between January 2007 and July 2008, patients with suspected acute coronary syndrome were consecutively enrolled in this multicenter study. Copeptin, troponin T (<e>TnT</e>), myoglobin, and creatine kinase-myocardial band were determined at admission and after 3 and 6 h. RESULTS: Of 1,386 (66.4% male) enrolled patients, 299 (21.6%) had the discharge diagnosis of acute myocardial infarction, 184 (13.3%) presented with unstable angina, and in 903 (65.2%) an acute coronary syndrome could be excluded. Combined measurement of copeptin and TnT on admission improved the c-statistic from 0.84 for TnT alone to 0.93 in the overall population and from 0.77 to 0.9 in patients presenting within 3 h after chest pain onset (CPO) (p &lt; 0.001). In this group the combination of copeptin with a conventional TnT provided a negative predictive value of 92.4%. CONCLUSIONS: In triage of chest pain patients, determination of copeptin in addition to troponin improves diagnostic performance, especially early after CPO. Combined determination of troponin and copeptin provides a remarkable negative predictive value virtually independent of CPO time and therefore aids in early and safe rule-out of myocardial infarction.",M1
20418479,"Coexistence of cardiac troponin T variants reduces heart efficiency.Corresponding to the synchronized contraction of the myocardium and rhythmic pumping function of the heart, a single form of cardiac troponin T (cTnT) is present in the adult cardiac muscle of humans and most other vertebrate species. Alternative splicing variants of cTnT are found in failing human hearts and animal dilated cardiomyopathies. Biochemical analyses have shown that these cTnT variants are functional and produce shifted myofilament Ca(2+) sensitivity. We proposed a hypothesis that the coexistence of two or more functionally distinct <e>TnT</e> variants in the adult ventricular muscle that is normally activated as a syncytium may decrease heart function and cause cardiomyopathy (Huang et al., Am J Physiol Cell Physiol 294: C213-C222, 2008). In the present study, we studied transgenic mouse hearts expressing one or two cTnT variants in addition to normal adult cTnT to investigate whether desynchronized myofilament activation decreases ventricular efficiency. The function of ex vivo working hearts was examined in the absence of systemic neurohumoral influence. The results showed that the transgenic mouse hearts produced lower maximum left ventricular pressure, slower contractile and relaxation velocities, and decreased stroke volume compared with wild-type controls. Ventricular pumping efficiency, calculated by the ejection integral versus total systolic integral and cardiac work versus oxygen consumption, was significantly lower in transgenic mouse hearts and corresponded to the number of cTnT variants present. The results indicated a pathogenic mechanism in which the coexistence of functionally different cTnT variants in cardiac muscle reduces myocardial efficiency due to desynchronized thin filament activation.",M1
20233242,"Prognostic efficacy of cardiac biomarkers for mortality in dialysis patients.BACKGROUND: The high prevalence of cardiovascular mortality in the end-stage renal disease population is well established. The aim of this current study was to document the relative prognostic significance of established cardiac biomarkers troponin T (<e>TnT</e>), troponin I (TnI), B-type natriuretic peptide (BNP) and N-terminal pro-BNP (NT-pro-BNP) in this population. METHODS: A prospective cohort study of dialysis patients undertaken in a single tertiary centre in Australia. Relevant clinical and biochemical information was collected at entry and all patients followed up prospectively without any loss to follow up. End-point of interest was all-cause mortality. Statistical analysis using Cox proportional hazards was used to study relationship between competing covariates and outcome. A total of 143 patients with a mean age of 59.67 +/- 15.49 years was followed up for a median duration of 30 months. Of these patients, 89.3% were white Australians of European ancestry. Twenty-seven per cent had an established diagnosis of diabetes mellitus. The mean concentrations (+/-SD) of TnT, TnI, BNP and N-terminal peptide pro-BNP (NT-pro-BNP) were 0.08 +/- 0.04 microg/L, 0.09 +/- 0.2 microg/L, 270 +/- 117 ng/L and 1434 +/- 591 ng/L respectively. RESULTS: Twenty-eight subjects died during the period of follow up. By univariate analysis, all cardiac markers (TnT, TnI, BNP, NT-pro-BNP and C-reactive protein) were significantly associated with an increase in mortality. On Cox proportionate hazards analysis, only albumin and NT-pro-BNP showed a significant association with mortality, with hazard ratios of 0.834, 95% confidence interval (CI) 0.779-0.893, P &lt; 0.001, and 1.585, 95%CI 1.160-20165, P = 0.004 respectively. CONCLUSION: In patients with end-stage renal failure on dialysis NT-pro-BNP provides greater prognostic information compared with TnT and TnI.",M1
20201171,"Admission creatine kinase as a prognostic marker in acute myocardial infarction.OBJECTIVES: To investigate the prognostic significance of creatine kinase (CK) in Pakistani patients suffering from acute myocardial infarction (AMI) and to find out if CK combined with troponin T (<e>TnT</e>) could be a better predictor for long-term adverse cardiac event. METHODS: One hundred and eighty six consecutive patients with AMI who were eligible for streptokinase (SK) treatment were included in this prospective cohort study. The relationship between their serum/plasma CK and TnT levels at the time of admission and clinical outcome was investigated over a mean follow up of 24.12 +/- 3.75 months. RESULTS: Admission CK was found to be associated with subsequent cardiac event and mortality (P &lt; 0.01 and P &lt; 0.04 respectively). Admission CK was also mildly associated with time interval between onset of symptoms to SK treatment (correlation coefficient 'r' = 0.23). Odds of encountering a cardiac event in AMI patients with above-normal CK levels (adjusted for gender) were 3.46 times higher than the odds in patients with normal CK levels. Similarly, odds of mortality in patients with positive TnT were 4.6 times the odds in patients with negative TnT. The two biochemical markers, CK and TnT, together did not provide any further information about prognosis of the disease. CONCLUSION: Admission CK is a better prognostic marker for a subsequent cardiac event, while TnT is a better predictor of mortality over a mean follow up of nearly 2 years. Together, they do not improve predictability of an adverse cardiac event.",M1
20129526,"The association between plaque characterization by CT angiography and post-procedural myocardial infarction in patients with elective stent implantation.OBJECTIVES: This study sought to evaluate the association between volumetric characterization of target lesions by multidetector computed tomography (MDCT) angiography and the risk of post-procedural myocardial injury after elective stent implantation. BACKGROUND: Previous reports have shown that plaque characterization of the target lesion may provide useful information for stratifying the risk of coronary stenting. METHODS: A total of 189 consecutive patients were enrolled; they underwent elective stent implantation after volumetric plaque analysis with 64-slice MDCT. Each plaque component and lumen (filled with dye) was defined as follows: 1) low-attenuation plaque (LAP) (&lt;50 HU); 2) moderate-attenuation plaque (MAP) (50 to 150 HU); 3) lumen (151 to 500 HU); and 4) high-attenuation plaque (HAP) (&gt;500 HU). The volume of each plaque component in the target lesion was calculated using Color Code Plaque. Post-procedural creatine kinase-MB isoform and troponin-T (<e>TnT</e>) at 18 h after percutaneous coronary intervention were also evaluated. RESULTS: The volumes of LAP (87.9+/-94.8 mm3 vs. 47.4+/-43.7 mm3, p&lt;0.01) and MAP (111.6+/-77.5 mm3 vs. 89.8+/-67.1 mm3, p&lt;0.05) were larger in patients with post-procedural myocardial injury (defined as positive TnT) than in those with negative TnT. The volumes of LAP and MAP and fraction of LAP in total plaque (LAP volume/total plaque volume) correlated with biomarkers; the MAP fraction was inversely correlated with biomarkers. The volume of LAP was an independent predictor of positive TnT after adjusting for patient background, conventional IVUS parameters, and procedural factors. CONCLUSIONS: Post-procedural myocardial injury was associated with the volume and fraction of LAP as detected by MDCT. The volume of LAP was an independent predictor of positive TnT. Plaque analysis by MDCT would be a useful method for predicting post-procedural myocardial injury after percutaneous coronary intervention.",M1
20093942,"Prognostic value of stable troponin T elevation in patients discharged from emergency department.OBJECTIVE: Troponin elevation in the absence of myocardial infarction is a challenging diagnostic problem in the emergency department (ED). Elevated troponin levels have a short-term negative prognostic value in critically ill patients hospitalized for all causes. No data are available about the short-term prognostic value of elevated troponin in ED patients discharged from hospital without clinical evidence of acute diseases. The aim of the study was to evaluate the short-term prognostic value of elevated stable troponin T (<e>TnT</e>) in ED patients discharged from hospital. METHODS: Two hundred and thirty-two consecutive adult individuals admitted to ED evaluation for all causes, with TnT test and without evidence of acute diseases requiring hospitalization, were evaluated. The patients with TnT positive tests, without dynamic changes during in-hospital observation and discharged from hospital, were considered as case patients. For each case patient enrolled, the consecutive patient of the same sex and similar age, admitted to the ED on the same day and discharged with normal plasma TnT values, was enrolled as her/his control. The incidence of adverse clinical events in both cases and controls assessed by a phone call at 24 h, 7 days and 30 days after the ED discharge was recorded. RESULTS: Ninety-four cases and 94 controls were finally considered. The 30-day adverse events (death, hospitalization and ED access) were 35 of the 94 (37.2%) in cases and 18 of the 94 (19.1%) in controls (P &lt; 0.01). CONCLUSION: The patients discharged from ED with stable elevated TnT levels, but without acute diseases, had a short-term prognosis worse than that of patients with similar clinical presentation but with normal TnT values.",M1
19959623,"Analytical validation of a high-sensitivity cardiac troponin T assay.BACKGROUND: We report the development of a novel high-sensitivity cardiac troponin T (hs-cTnT) assay, a modification of the Roche fourth-generation cTnT assay, and validation of the analytical performance of this assay. METHODS: Validation included testing of analytical sensitivity, specificity, interferences, and precision. We established the 99th percentile cutoff from healthy reference populations (n = 616). In addition, we studied differences in time to a positive result when using serial measurements of hs-cTnT vs cTnT in patients with a confirmed diagnosis of non-ST elevation myocardial infarction (non-STEMI). RESULTS: The hs-cTnT assay had an analytical range from 3 to 10 000 ng/L. At the 99th percentile value of 13.5 ng/L, the CV was 9% using the Elecsys 2010 analyzer. The assay was specific for cTnT without interferences from human cTnI or cTnC, skeletal muscle <e>TnT</e>, or hemoglobin concentrations up to 1000 mg/L, above which falsely lower values would be expected. When the assay was evaluated clinically, a hs-cTnT higher than the 99th percentile concentration identified a significantly higher number of patients with non-STEMI on presentation (45 vs 20 patients, P = 0.0004) compared with cTnT, and a final diagnosis of non-STEMI was made in 9 additional patients (55 vs 46 patients, P = 0.23) after serial sampling. Time to diagnosis was significantly shorter using hs-cTnT compared with cTnT [mean 71.5 (SD 108.7) min vs 246.9 (82.0) min, respectively; P &lt; 0.01]. CONCLUSIONS: The analytical performance of hs-cTnT complies with the ESC-ACCF-AHA-WHF Global Task Force recommendations for use in the diagnosis of MI.",M1
19952495,"Characteristics of troponins as myocardial damage biomarkers in cynomolgus monkeys.Recently, troponin T (<e>TnT</e>) and troponin I (TnI) have been reported as suitable biomarkers of myocardial injury for pre-clinical toxicity studies. The purpose of the present study was to investigate the characteristics of troponins as myocardial damage biomarkers in cynomolgus monkeys. Initially, tissue distribution of biomarkers was investigated in nine organs (including the heart, liver, and kidneys) collected from naive cynomolgus monkeys. The results showed that TnT and TnI were distributed specifically in the heart, and were not detected in other tissues. Secondly, changes in blood biomarker levels and histopathological changes in cardiac tissue were investigated following myocardial injury induced by concomitant administration of isoproterenol (ISO) and vasopressin (VASO). Compared with pre-dosing, TnT and TnI were markedly increased in the ISO + VASO groups, in which severe histopathological changes including necrosis and vacuolation of muscle fibers were observed. In order to investigate the relationship of biomarker levels with the severity of myocardial injury, Spearman's correlation coefficient was calculated between C(max) and AUC and necrosis and vacuolation scores in the heart. A high correlation between necrosis and vacuolation in the heart and TnT and TnI levels was noted. These results suggest that TnT and TnI possess high sensitivity and specificity for myocardial injury in cynomolgus monkeys, and are useful biomarkers for detection of drug-induced myocardial injury in cynomolgus monkeys.",M1
19944557,"ADAMTS4 level in patients with stable coronary artery disease and acute coronary syndromes.OBJECTIVE: A recent study indicates that ADAMTS4 (a disintegrin and metalloprotease with thrombospondin motifs 4) was expressed in macrophage rich areas of human atherosclerotic carotid plaques and coronary unstable plaques suggesting a pathogenic role in the development of acute coronary syndromes (ACS). The aim of the study was to compare ADAMTS4 across the entire spectrum of coronary artery disease (CAD) and to investigate the temporal profiles of ADAMTS4. METHODS: Plasma levels of ADAMTS4 were measured in patients with stable effort angina pectoris (SAP), ACS and in controls. Venous blood was sampled upon admission before angiography and drug administration. In patients with ACS who underwent medical treatment, serial blood samples were also collected on days 1, 2, 3, 5 and 7 after admission. ADAMTS4 was measured using an enzyme immunoassay. RESULTS: Plasma ADAMTS4 level in cases was significantly greater than in controls (P&lt;0.001). Higher levels of ADAMTS4 were found with progression of CAD from SAP to unstable angina pectoris (UAP) to non-ST-segment elevation acute myocardial infarction (NSTEMI) and to ST-segment elevation acute myocardial infarction (STEMI) (P&lt;0.001). Elevated ADAMTS4 level was associated with ACS with an area under receiver operating characteristic (ROC) curve of 0.753 (95% CI 0.654-0.851; P&lt;0.001). The pattern of ADAMTS4 release observed was clearly different in various forms of ACS. ADAMTS4 showed a weak correlation with high-sensitivity C-reactive protein (hs-CRP); however, no significant correlation was found between ADAMTS4 and troponin T (<e>TnT</e>) in ACS patients. CONCLUSIONS: Serial changes in plasma ADAMTS4 were documented in patients with ACS and may serve as a marker of plaque destabilization.",M1
19932239,"12-month outcome after cardiac surgery: prediction by troponin T in combination with the European system for cardiac operative risk evaluation.BACKGROUND: The prognostic value of troponin T for midterm outcome in cardiac surgery is insufficiently known. We aimed to assess the value of troponin T to predict 12-month outcome after cardiac surgery, as a single predictor and in combination with the European system for cardiac operative risk evaluation (EuroSCORE). METHODS: This cohort study included consecutive patients undergoing on-pump cardiac surgery between January 2005 and December 2006. We evaluated postoperative troponin T (<e>TNT</e>) on days 1 and 2 and the EuroSCORE as predictor variables. The primary composite endpoint was all-cause mortality or any major adverse cardiac event (MACE) at 12 months. Logistic regression was used to study the prognostic effect of TNT in a univariate analysis and after adjustment for EuroSCORE. The area under the receiver-operator curve (AUC) was calculated to report the discriminatory performance of the models. RESULTS: Seven hundred forty-one patients were available for analysis. Within 12 months after surgery, 92 (12.4%) patients had a MACE, 48 (6.5%) of whom died. A multivariate model of continuous TNT and the continuous logistic EuroSCORE showed a significant independent association between TNT and the composite endpoint (odds ratio [OR] 1.03, 95% confidence interval [CI] 1.02 to 1.04 per 0.1 microg/L increase in TNT). The AUC for the prediction of the composite endpoint of the model combining TNT and the EuroSCORE was 0.72; when based on EuroSCORE alone it was 0.64 (p &lt; 0.0001). CONCLUSIONS: Postoperative TNT increase (per 0.1 microg/L) is a strong independent predictor of 12-month outcome after on-pump cardiac surgery. Updating the preoperative EuroSCORE risk with postoperative TNT allows for better prediction of 12-month MACE and all-cause mortality.",M1
