@RELATION C0039654_C0032143

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20423347,"Shikonin reduces oedema induced by phorbol ester by interfering with IkappaBalpha degradation thus inhibiting translocation of NF-kappaB to the nucleus.BACKGROUND AND PURPOSE: In the present paper we studied the effect of shikonin on ear oedema induced by 12-O-tetradecanoylphorbol-13-acetate (<e>TPA</e>), and determined the mechanisms through which shikonin might exert its topical anti-inflammatory action. EXPERIMENTAL APPROACH: Acute ear oedema was induced in mice by topical application of TPA. The in vitro assays used macrophages RAW 264.7 cells stimulated with lipopolysaccharide. Cyclooxygenase-2, inducible nitric oxide synthase, protein kinase Calpha, extracellular signal-regulated protein kinase (ERK), phosphorylated ERK (pERK), c-Jun N-terminal kinase (JNK), pJNK, p38, p-p38, p65, p-p65, inhibitor protein of nuclear factor-kappaB (NF-kappaB) (IkappaBalpha) and pIkappaBalpha were measured by Western blotting, activation and binding of NF-kappaB to DNA was detected by reporter gene and electrophoretic mobility shift assay, respectively, and NF-kappaB p65 localization was detected by immunocytochemistry. KEY RESULTS: Shikonin reduced the oedema (inhibitory dose 50 = 1.0 mg per ear), the expression of cyclooxygenase-2 (70%) and of inducible nitric oxide synthase (100%) in vivo. It significantly decreased TPA-induced translocation of protein kinase Calpha, the phosphorylation and activation of ERK, the nuclear translocation of NF-kappaB and the TPA-induced NF-kappaB-DNA-binding activity in mouse skin. Moreover, in RAW 264.7 cells, shikonin significantly inhibited the binding of NF-kappaB to DNA in a dose-dependent manner and the nuclear translocation of p65. CONCLUSIONS AND IMPLICATIONS: Shikonin exerted its topical anti-inflammatory action by interfering with the degradation of IkappaBalpha, thus inhibiting the activation of NF-kappaB.",M1
20406988,"The tumor-suppressive function of Connexin43 in keratinocytes is mediated in part via interaction with caveolin-1.Connexin43 (Cx43) is known to have tumor-suppressive effects, but the underlying mechanisms are still poorly understood. In keratinocytes, we previously showed that the COOH-terminal domain of Cx43 directly interacts with the tumor suppressor Cav-1. We now show that rat epidermal keratinocytes (REK) that are reduced in Cx43 present features of epithelial-to-mesenchymal transition and are more invasive than their control counterparts, whereas overexpression of Cx43 inhibited the 12-O-tetradecanoyl-phorbol-13-acetate (<e>TPA</e>)- and epidermal growth factor (EGF)-induced invasive properties. Carbenoxolone did not alter the inhibitory effect of Cx43 against TPA- and EGF-induced cell invasion, indicating the involvement of a gap junctional intercellular communication-independent mechanism. Interestingly, the association of Cx43 with Cav-1 was found to be reduced after TPA and EGF treatment. Accordingly, the colocalization of Cx43 with Cav-1 was diminished in cells from a human epidermal squamous cell carcinoma, as well as in sections from human keratinocyte tumors, suggesting that Cx43/Cav-1 interaction plays a protective role against keratinocyte transformation. As opposed to cells that overexpress Cx43-GFP, invasion could be induced in rat epidermal keratinocytes that overexpressed a GFP-tagged truncated mutant of Cx43 (Delta244-GFP) that we previously showed not to interact with Cav-1, as well as in cells that overexpressed Cx43-GFP but were reduced in Cav-1. Our data show that Cx43 possesses tumor-suppressive properties in keratinocytes and provide the first evidence that the Cx43/Cav-1 interaction is altered in keratinocyte transformation processes, as well as in human keratinocyte tumors, and that this association might play a role in Cx43-mediated tumor suppression.",M1
20390770,"Cancer preventive agents 10. Prenylated dehydrozingerone analogs as potent chemopreventive agents.Dehydrozingerone analogs and related compounds were screened as potential antitumor promoters by using the in vitro short-term 12-O-tetradecanoylphorbol-13-acetate (<e>TPA</e>)-induced Epstein-Barr virus early antigen activation assay. Among the 40 synthesized compounds, the prenylated analogs 16 and 34-36 showed the most significant and promising activity (100% inhibition of activation at 1 x 10(3) mol ratio/TPA, and 82-80%, 37-35%, and 13-11% inhibition at 5 x 10(2), 1 x 10(2), and 1 x 10 mol ratio/TPA, respectively) in this screening. Their activity profiles were comparable to those of the reference standard curcumin. While a prenyl moiety conferred potent chemopreventive activity, an extended prenyl unit such as a farnesyl moiety did not improve activity. Because in vitro inhibitory effects in this assay generally correlate well with in vivo inhibitory effects on tumor promotion, our results strongly suggested that prenylated 16 and 34-36 are likely to be promising antitumor promoters.",M1
20388733,"Phosphorylation of paxillin at threonine 538 by PKCdelta regulates LFA1-mediated adhesion of lymphoid cells.We investigated the PKCdelta-mediated phosphorylation of paxillin within its LIM4 domain and the involvement of this phosphorylation in activation of LFA-1 integrins of the Baf3 pro-B lymphocytic cell line. Using phosphorylated-threonine-specific antibodies, phosphorylated amino acid analysis and paxillin phosphorylation mutants, we demonstrated that <e>TPA</e>, the pharmacological analog of the endogenous second messenger diacyl glycerol, stimulates paxillin phosphorylation at threonine 538 (T538). The TPA-responsive PKC isoform PKCdelta directly binds paxillin in a yeast two-hybrid assay and phosphorylates paxillin at T538 in vitro and also co-immunoprecipitates with paxillin and mediates phosphorylation of this residue in vivo. Recombinant wild-type paxillin, its phospho-inhibitory T538A or phospho-mimetic T538E mutants were expressed in the cells simultaneously with siRNA silencing of the endogenous paxillin. These experiments suggest that phosphorylation of paxillin T538 contributes to dissolution of the actin cytoskeleton, redistribution of LFA-1 integrins and an increase in their affinity. We also show that phosphorylation of T538 is involved in the activation of LFA-1 integrins by TPA.",M1
20384317,"Glutarimide alkaloids and a terpenoid benzoquinone from Cordia globifera.Three new compounds, a meroterpene (2) having a cyclopropane moiety named globiferane and glutarimide alkaloids named cordiarimides A (3) and B (4), were isolated from the roots of Cordia globifera. Compounds 2-4 exhibited weak cytotoxic activity. Cordiarimide B (4) exhibited radical scavenging activity, as it inhibited superoxide anion radical formation in the xanthine/xanthine oxidase (XXO) assay, and also suppressed superoxide anion generation in differentiated HL-60 human promyelocytic leukemia cells when induced by 12-O-tetradecanoylphorbol-13-acetate (<e>TPA</e>). This is the first report on the presence of glutarimide alkaloids in the genus Cordia.",M1
20383193,"Rac1 is crucial for Ras-dependent skin tumor formation by controlling Pak1-Mek-Erk hyperactivation and hyperproliferation in vivo.Rac1 has a role in proliferation and survival of tumor cells in vitro. The exact effects of Rac1 on growth, apoptosis and corresponding signaling pathways during tumorigenesis in vivo, however, have not been explored yet. Using mice with a keratinocyte-restricted deletion of the Rac1 gene, we found that Rac1 is essential for DMBA/<e>TPA</e>-induced skin tumor formation. This corresponded to a decreased keratinocyte hyperproliferation, although apoptosis was not detectably altered. Activated Rac1 promoted Erk-dependent hyperproliferation by Pak1-mediated Mek activation independent of Mek1 phosporylation at serine 298. Rac1 was furthermore required for Pak2-dependent hyperactivation of Akt, which under in vivo condition was restricted to the suprabasal cell layers corresponding to a suprabasal-specific expression of Pak2. It is surprising that none of these signaling pathways was altered in untreated Rac1-deficient skin, indicating a hyperproliferation-specific function of Rac1 in vivo. These data suggest that blocking of Rac1 function might allow tumor-specific growth repression, as Rac1 is not required for normal growth and growth signaling controlling pathways in skin in vivo.",M1
20362231,"Cytogenetic investigations of chronic lymphocytic leukemia.This study aimed to determine which culture method would yield the highest culture success rate, mitotic index, banding resolution, and abnormality rate in investigation of patients with chronic lymphocytic leukemia (CLL). A range of culture techniques for conventional cytogenetic (CC) analyses was compared: 24-hour unstimulated, 72 hours incubation with additional fetal calf serum, 72 hours stimulation with interleukin 4, 72 hours stimulation with lipopolysaccharide (LPS), 72 hours stimulation with <e>TPA</e> (12-O-tetradecanoylphorbol 13-acetate), and 72 hours stimulation with CpG-oligonucleotide DSP30 + Interleukin-2 (IL-2). CC abnormality rates were also compared to fluorescence in situ hybridization (FISH) results using probes for CLL (LSI D13S319/13q34/CEP 12: LSI ATM/p53). Forty-five samples from 24 patients (consisting of 11 newly diagnosed and 13 previously diagnosed patients) were included. For CC, a 100.0% culture success rate was achieved (n = 45) by means of an EDTA (ethylenediaminetetraacetic acid) peripheral blood sample with an associated 62.5% CC abnormality rate (n = 24). FISH detected an abnormality rate of 75.0% (n = 24). The combined CC and FISH abnormality rate was 87.5% (n = 24). This study demonstrates that CC that uses TPA and DSP30 + IL-2 on EDTA peripheral blood is effective in the investigation of CLL and may be used as a supplement to FISH studies.",M1
20338640,"Transactivators Zta and Rta of Epstein-Barr virus promote G0/G1 to S transition in Raji cells: a novel relationship between lytic virus and cell cycle.In the present study, we show that the treatment of Epstein-Barr virus (EBV) latently infected Raji cells with <e>TPA</e>/SB caused the cell growth arrest. The Zta-positive cells were predominantly enriched in G0/G1 phase of cell cycle. When Zta expression reached a maximal level, a fraction of Zta expressing cell population reentered S phase. Analysis of the expression pattern of a key set of cell cycle regulators revealed that the expression of Zta and Rta substantially interfered with the cell cycle regulatory machinery in Raji cells, strongly inhibiting the expression of Rb and p53 and inducing the expression of E2F1. Down-regulation of Rb was further demonstrated to be mediated by proteasomal degradation, and p53 and p21 affected at transcription level. The data indicate that both Zta and Rta promote entry into S phase of Raji cells. The important roles of Zta and Rta in EBV lytic reactivation were also demonstrated. Our finding suggests that these two transcriptional activators may act synergistically to govern the expression of downstream early and late genes as well as cellular genes and initiation of lytic cycle and manipulation of cell cycle regulatory mechanisms require the joint and interactive contributions of Rta and Zta.",M1
20332633,"Induction of LRF-1/ATF3 by vasopressin in hepatocytes: role of MAP kinases.BACKGROUND/AIMS: Liver regeneration factor 1 (LRF-1/ATF3) is an early response gene which is rapidly induced upon partial hepatectomy in rats, and by growth factors and G protein-coupled receptor (GPCR) agonists in cultured rat hepatocytes. The aim of the present study was to examine the mechanisms involved in induction of LRF-1/ATF3 by the GPCR agonist vasopressin. METHODS: Primary cultures of rat hepatocytes were treated with vasopressin, <e>TPA</e>, and the Ca2+-elevating agents thapsigargin and A23187. LRF-1/ATF3 mRNA and protein were measured by Northern blot analysis or RT-PCR and immunoblotting. Signalling pathways were examined by immunoblots and kinase assays. RESULTS: While elevation of intracellular calcium induced LRF-1/ATF3 expression, treatment with TPA did not. Inhibition of phospholipase C, protein kinase C, or pretreatment with calcium chelators did not affect vasopressin-induced expression of LRF-1/ATF3. Inhibition of each of the MAP kinases ERK1/2, JNK or p38 did not affect vasopressin-induced LRF-1/ATF3 expression. Combined inhibition of JNK and p38, and of ERK1/2 and either JNK or p38 suppressed vasopressin-induced expression of LRF-1/ATF3. CONCLUSION: Vasopressin induces LRF-1/ATF3 expression by mechanisms that differ from those activated by Ca2+-elevating agents. The results suggest that partly redundant, complex MAP kinase networks are involved in induction of LRF-1/ATF3 by vasopressin in hepatocytes.",M1
20308057,"RasGRP1 is essential for ras activation by the tumor promoter 12-O-tetradecanoylphorbol-13-acetate in epidermal keratinocytes.RasGRP1 is a guanine nucleotide exchange factor for Ras that binds with high affinity to diacylglycerol analogs like the phorbol esters. Recently, we demonstrated a role for RasGRP1 in skin carcinogenesis and suggested its participation in the action of tumor-promoting phorbol esters like 12-O-tetradecanoylphorbol-13-acetate (<e>TPA</e>) on Ras pathways in epidermal cells. Given the importance of Ras in carcinogenesis, we sought to discern whether RasGRP1 was a critical pathway in Ras activation, using a RasGRP1 knockout (KO) mouse model to examine the response of keratinocytes to TPA. In contrast to the effect seen in wild type keratinocytes, Ras(GTP) levels were barely detected in RasGRP1 KO cells even after 60 min of exposure to phorbol esters. The lack of response was rescued by enforced expression of RasGRP1. Furthermore, small hairpin RNA-induced silencing of RasGRP1 abrogated the effect of TPA on Ras. Analysis of Ras isoforms showed that both H-Ras and N-Ras depended on RasGRP1 for activation by TPA, whereas activation of K-Ras could not be detected. Although RasGRP1 was dispensable for ERK activation in response to TPA, JNK activation was reduced in the KO keratinocytes. Notably, TPA-induced phosphorylation of JNK2, but not JNK1, was reduced by RasGRP1 depletion. These data identify RasGRP1 as a critical molecule in the activation of Ras by TPA in primary mouse keratinocytes and suggest JNK2 as one of the relevant downstream targets. Given the role of TPA as a skin tumor promoter, our findings provide additional support for a role for RasGRP1 in skin carcinogenesis.",M1
