@RELATION C0040052_C0021965

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20008193,"Determinants of platelet number and regulation of thrombopoiesis.Our understanding of thrombopoiesis has improved greatly in the last two decades with the availability of in vitro assays of megakaryocyte progenitor cell growth, with the cloning and characterization of stem cell factor (SCF) and thrombopoietin (<e>Tpo</e>), the latter the primary humoral regulator of this process, and with the generation of genetically altered murine models of thrombopoietic failure and excess. While SCF affects developmentally early aspects of megakaryocyte growth, Tpo affects nearly all aspects of platelet production, from hematopoietic stem cell (HSC) self-renewal and expansion, through stimulation of megakaryocyte progenitor cell proliferation, to supporting their maturation into platelet-producing cells. The molecular and cellular mechanisms through which the marrow microenvironment and humoral mediators affect platelet production provide new insights into the interplay between intrinsic and extrinsic influences on hematopoiesis, and highlight new opportunities to translate basic biology into clinical advances.",M1
19997800,"Effect of thrombopoietin on platelet counts and liver regeneration after partial hepatectomy in a rat model.PURPOSE: We investigated the effects of thrombopoietin (<e>TPO</e>) on platelet counts and liver regeneration after partial hepatectomy in rats. METHODS: We performed 70% partial hepatectomy on 60 rats given either TPO or a vehicle (controls). The rats were killed 6 h, 24 h, 72 h, or 168 h after the procedure, and we examined the platelet counts, weight of the regenerated liver, hepatocyte proliferation by bromodeoxyuridine (BrdU) labeling index, and expression of hepatocyte growth factor (HGF) mRNA by reverse transcription-polymerase chain reaction. RESULTS: In the controls, the platelet counts were significantly lower than the basal levels, by about 20%, at 6, 24, and 72 h; then recovered to the basal level at 168 h. Conversely, in the TPO-treated rats, the platelet counts increased significantly by 17%, 35%, and 60%, at 24, 72, and 168 h, respectively. The regenerated liver regained 80% of the pre-hepatectomy weight by 72 h in the controls, whereas reconstitution of the liver was accomplished by 72 h in the TPO-treated rats. Thrombopoietin significantly enhanced the BrdU labeling index of hepatocytes and expression of HGF mRNA 24 h post hepatectomy in TPO-treated rats versus controls. CONCLUSION: Thrombopoietin increased platelet counts; thereby accelerating liver regeneration after partial hepatectomy with enhanced induction of HGF.",M1
19932428,"Thrombopoietin and platelet production in chronic immune thrombocytopenia.Since 1968, a greater understanding of platelet biology and its regulation by thrombopoietin (<e>TPO</e>) has emerged. It is now recognized that immune thrombocytopenic purpura (ITP) is a disorder of reduced platelet production as well as increased platelet destruction. New therapies for ITP have emerged that have exploited this new pathophysiologic understanding. This article reviews the biology of TPO, the regulation of its circulating level in ITP, the platelet kinetic data supporting inappropriate platelet production in ITP, and the TPO mimetic agents available to treat ITP.",M1
19891528,"Thrombopoietic cytokines and platelet count in multiple myeloma.Cytokines like interleukin (IL)-6 and IL-1beta are both implicated in multiple myeloma (MM) pathogenesis and megakaryopoiesis. The dynamic interaction between thrombopoiesis and thrombopoietic cytokines in MM may affect platelet (PLT) counts. Sixty-eight patients with MM (30 female, 38 male; median age 58 (40-79), 38 newly diagnosed, 15 in plateau, and 15 relapse and/or refractory patients) and 21 controls were included in the study. Plasma levels of thrombopoietin (<e>TPO</e>), IL-1beta, IL-11 and IL-6 were measured by ELISA. PLT counts were not different between the control group and MM patients with various disease stages and activity. IL-6 and TPO levels were higher in MM patients than healthy subjects (p &lt; 0.001). PLT counts were inversely correlated with TPO (r = -0.566; p &lt; 0.001) and positively correlated with IL-6 (r = 0.263; p = 0.04) levels in MM patients. TPO and IL-6 levels were significantly correlated (r = 0.305; p &lt; 0.001). Disease activity has no effect on plasma cytokine levels. TPO levels were higher in stage III than stage I (p = 0.05) and stage II (p = 0.03) patients in newly diagnosed MM. High TPO levels induced by IL-6 may sustain normal PLT counts despite bone marrow infiltration by plasma cells and decreased PLT half-life.",M1
19889150,"High platelet count associated with venous thromboembolism in cancer patients: results from the Vienna Cancer and Thrombosis Study (CATS).BACKGROUND: In cancer patients, laboratory parameters that predict venous thromboembolism (VTE) are scarce. Increased platelet count has been found to be a risk factor for VTE in cancer patients receiving chemotherapy (CHT). We have assessed high platelet count as a risk predictor for VTE in patients with cancer undergoing discriminative anti-cancer treatments and investigated whether platelet count correlates with thrombopoietin (<e>TPO</e>) levels. DESIGN AND METHODS: The Cancer and Thrombosis Study (CATS) is an ongoing prospective observational study of patients with newly diagnosed cancer or progression of disease, which started in October 2003. Occurrence of VTE and information on the patients' anti-cancer treatment during follow-up were recorded. RESULTS: Between October 2003 and February 2008, 665 patients with solid tumors were included (314 female/351 male, mean age 62 years). VTE occurred in 44 patients (18 female/26 male, mean age 62 years). The cumulative probability of VTE after 1 year was 34.3% in patients with a platelet count (PC) above the 95th percentile representing 443 x 10(9)/L compared with 5.9% in those below 443 x 10(9)/L. High platelet count [hazard ratio (HR): 3.50, 95% confidence interval (CI): 1.52-8.06, P = 0.0032], soluble P-selectin [HR: 2.66, 95% CI: 1.42-4.96, P = 0.0021] and surgery [HR: 4.05, 95% CI: 1.74-9.46, P = 0.0012] were statistically significant risk factors for VTE in multivariable analysis along with leucocyte count, age, gender, radio- and CHT. We found no correlation between platelet count and TPO levels. CONCLUSIONS: High PC is a clinically important, independent risk predictor for VTE in cancer patients. PC was not found to be associated with TPO levels.",M1
19880496,"Ubiquitination and degradation of the thrombopoietin receptor c-Mpl.Regulation of growth factor and cytokine signaling is essential for maintaining physiologic numbers of circulating hematopoietic cells. Thrombopoietin (<e>Tpo</e>), acting through its receptor c-Mpl, is required for hematopoietic stem cell maintenance and megakaryopoiesis. Therefore, the negative regulation of Tpo signaling is critical in many aspects of hematopoiesis. In this study, we determine the mechanisms of c-Mpl degradation in the negative regulation of Tpo signaling. We found that, after Tpo stimulation, c-Mpl is degraded by both the lysosomal and proteasomal pathways and c-Mpl is rapidly ubiquitinated. Using site-directed mutagenesis, we were able to determine that c-Mpl is ubiquitinated on both of its intracellular lysine (K) residues (K(553) and K(573)). By mutating these residues to arginine, ubiquitination and degradation were significantly reduced and caused hyperproliferation in cell lines expressing these mutated receptors. Using short interfering RNA and dominant negative overexpression, we also found that c-Cbl, which is activated by Tpo, acts as an E3 ubiquitin ligase in the ubiquitination of c-Mpl. Our findings identify a previously unknown negative regulatory pathway for Tpo signaling that may significantly impact our understanding of the mechanisms affecting the growth and differentiation of hematopoietic stem cells and megakaryocytes.",M1
19852692,"Thrombopoiesis in small for gestational age newborns.Thrombocytopenia in small for gestational age (SGA) newborns may be due to placental vascular pathology, fetal consumptive coagulopathy and platelet destruction, local imbalance of thromboxane A2 causing placental vasoconstriction and platelet aggregation. Thrombopoiesis in SGA newborns is poorly recognized. In 61 SGA newborns we evaluated thrombocytopoiesis in relation to gender and the rate maturity expressed as &lt;5th percentile and &lt;10th percentile. Female newborns demonstrated higher thrombopoietin (<e>TPO</e>) level at 92.06 pg/ml than male newborns at 79.81 pg/ml. Newborns less developed &lt;5th percentile, showed increased TPO level of 92.0 pg/ml in comparison to &lt;10th percentile of 78.0 pg/ml. This observation is more pronounced in female newborns. Contrary to our expectations we did not find any statistically significant differences in the percentage of reticulated platelets (PLRET) and platelets count in relation to gender and &lt;5th percentile or &lt;10th percentile. We can postulate intrauterine hypoxia is responsible for the increase of erythropoietin and impairment of thrombopoiesis in SGA newborns.",M1
19849948,"[Roles of platelet and its regulating factors in immune vasculitis in young rabbits]OBJECTIVE: To study the roles of platelet (PLT) and its regulating factors, megakaryocyte, thrombopoietin (<e>TPO</e>) and transforming growth factor beta1 (TGF-beta1), in immune vasculitis in young rabbits. METHODS: An experimental model of Kawasaki disease (KD) of weanling rabbits was reproduced by bovine serum. PLT count, total number and differentiating count of megakaryocyte, and serum TPO and TGF-beta1 levels were measured 0, 4, 8, 12, 16, 20, 24 and 28 days after KD induction. Pathological analysis of coronary artery, liver, spleen, kidney and brain was performed 17 and 28 days after KD induction. RESULTS: In the KD group, PLT count, the total number of megakaryocyte, and the middle board megakaryocyte percentage increased 12, 16, 20, 24 and 28 days; serum TPO level increased 8, 12, 16, 20, 24 and 28 days; serum TGF-beta1 level increased 16, 20, 24 and 28 days after KD induction compared with those in the normal control group (p&lt;0.05). The pathological examinations of coronary artery, liver, spleen, kidney and brain showed severe inflammatory injuries of tiny arteries and small/medium-sized arteries 17 and 28 days after KD induction, respectively in the KD group. The aortas were showed as mild inflammatory injuries. CONCLUSIONS: PLT, megakaryocyte, TPO and TGF-beta1 participate in the pathogenesis of KD, and they may play an important role in the injuries of immune vasculitis. This suggests that they may serve as markers for the assessment of severity in KD.",M1
19843480,"Romiplostim in chronic immune thrombocytopenic purpura.BACKGROUND: Immune thrombocytopenic purpura (ITP) is characterized by platelet deficiency due to platelet destruction and/or inadequate production. Initial therapy consists of corticosteroids or intravenous immunoglobulin (IVIg). Patients with chronic refractory disease might undergo splenectomy. Although there is no treatment of choice in those who do not respond to splenectomy, immunosuppressive agents are typically prescribed. Romiplostim is the first available drug in a recently developed class of agents that work through stimulation of the thrombopoietin (<e>TPO</e>) receptor (c-Mpl) to increase platelet production. OBJECTIVE: The aim of this report was to review the mechanism of action, pharmacology, clinical activity, and adverse events associated with the use of romiplostim for the treatment of thrombocytopenia in patients with chronic ITP. METHODS: MEDLINE, Google Scholar, International Pharmaceutical Abstracts, and Web of Science were searched for English-only clinical trials and reviews (publication dates: 2000-June 1, 2009; key terms: romiplostim, Nplate, ITP, and idiopathic and immune thrombocytopenic purpura). Abstracts from the 2000-2008 meetings of the American Society of Hematology and references from relevant articles were reviewed. RESULTS: A total of 6 studies were included. Romiplostim is the first marketed agent developed to directly stimulate the bone marrow to produce platelets. Produced in Escherichia coli using recombinant DNA technology, it is an Fc-peptide fusion protein. It works intracellularly in a manner similar to that of the naturally occurring TPO to activate the transcriptional pathways, leading to increased platelet production via stimulation of the c-Mpl receptor. Romiplostim was approved by the US Food and Drug Administration for the treatment of chronic ITP primarily based on the findings from 2 multicenter, randomized, placebo-controlled, parallel-group studies in 125 adult patients with chronic ITP and an insufficient response to corticosteroids, IVIg, and/or splenectomy. The most common prior treatments were corticosteroids (94%) and IVIg (80%). Sixty-three patients (50%) were splenectomized a median of 6.6 years earlier. Baseline platelet counts were &lt;30 x 10(9) cells/L. The initial dose of romiplostim was 1 microg/kg/wk SC, with adjustments to maintain platelet counts between 50 and 200 x 10(9) cells/L. The primary end point was a durable platelet response (&gt;or=50 x 10(9) cells/L for &gt;or=6 of the last 8 weeks of treatment). The proportion of patients in whom a durable platelet response was achieved was significantly greater with romiplostim than with placebo (49% vs 2%, respectively; P &lt; 0.001). Overall platelet responses (durable plus transient) were achieved in 83% (69/83) with romiplostim and 7% (3/42) with placebo (P &lt; 0.001). An interim report of findings from an ongoing extension study found that response was maintained for up to 156 weeks (median, 69 weeks) with romiplostim. The most common adverse events were headache (37%), nasopharyngitis (32%), contusion (30%), epistaxis (30%), fatigue (30%), arthralgia (25%), and diarrhea (25%). CONCLUSIONS: Based on the findings from this review, romiplostim administration has been associated with a durable platelet response in these patients with refractory chronic ITP. Romiplostim has been found to be generally well tolerated.",M1
19810084,"Modelling atypical small-molecule mimics of an important stem cell cytokine, thrombopoietin.We report the first comprehensive 3D QSAR study of a large, structurally diverse set of compounds that act as atypical thrombopoietin (<e>TPO</e>) mimics by interacting with the transmembrane domain of the TPO receptor, c-MPL. These agonists of c-MPL were superimposed according to a pharmacophore hypothesis, resulting in 3D QSAR models of high statistical significance. The pharmacophore-based superimposition and comparative molecular field analysis (CoMFA) and comparative molecular similarity indices analysis (CoMSIA) were used to derive the QSAR models relating structure to the published in vitro bioactivities of the TPO mimics. The CoMFA and CoMSIA models gave high correlation coefficients of the bioactivities with the derived fields, resulting in robust prediction of agonist activity of the superimposed compounds. The models have been interpreted in terms of the requirements for binding to the transmembrane domain of the TPO receptor.",M1
