@RELATION C0040162_C0021759

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
1901843,"Effect of human growth hormone-releasing factor and(or) thyrotropin-releasing factor on growth, carcass composition, diet digestibility, nutrient balance, and plasma constituents in dairy calves.Sixty male dairy grain-fed calves, raised from 70 to 223 kg BW in individual crates, were used in a 2 X 2 factorial arrangement to determine the effect of administration of human growth hormone-releasing factor (1-29)NH2 (GRF) and(or) thyrotropin-releasing factor (<e>TRF</e>). Calves received twice-daily s.c. injections of .9% NaCl (control), GRF (5 micrograms/kg BW), TRF (1 micrograms/kg BW) or GRF (5 micrograms/kg BW) plus TRF (1 micrograms/kg GTRF). Average daily gain and days on feed were not affected by treatments, but TRF treatment increased (P less than .05) total intake of dry matter (DM) and feed conversion ratio: 3.00, 3.02, 3.08, and 3.22 kg DM/kg weight gain for control, GRF, TRF, and GTRF, respectively. During two 7-d periods, after 66 and 75 d of treatment, feces and urine were collected from 40 calves (5 per treatment per period). Treatment with GRF increased (P less than .05) digestibility of DM, nitrogen (N), and energy and tended (P less than .20) to increase N retention. At slaughter, withers height was increased (P = .05) by GRF and carcass length was increased (P less than .05) by TRF. Pituitary and liver weights were increased (P less than .05) by TRF. The combination of GRF and TRF slightly increased (P less than .10) protein content and decreased (P less than .05) fat content of the 9-10-11th rib section. After d 1, GRF treatment chronically increased (P less than .05) insulin concentrations and also increased (P less than .10) IGF-I concentrations on d 29 and 57. In summary, chronic treatment with GRF and(or) TRF did not improve growth or efficiency, although GRF increased digestibility of DM, N, and energy and the GRF plus TRF combination resulted in slightly leaner carcasses.",M1
1901540,"Effect of long-term administration of human growth hormone-releasing factor and (or) thyrotropin-releasing factor on hormone concentrations in lactating dairy cows.Fifteen cows (87 +/- 8 d in lactation; 641 +/- 33 kg BW) were randomly assigned to treatment and then subjected for 182 d to daily sc injection (1000 hr), in the cervical area, of saline (control), thyrotropin-releasing factor (<e>TRF</e>: 1 micrograms/kg BW), growth hormone-releasing factor (1-29)NH2 (GRF; 10 micrograms/kg BW) or GRF plus TRF (10 and 1 micrograms/kg BW, respectively) according to a 2 x 2 factorial design. On days 1, 31, 88 and 179, jugular blood samples were collected from 2 hr before to 6 hr after injection. Samples were also collected for 5 consecutive days after cessation of treatment. GRF always induced growth hormone (GH) release (600 vs 7925 ng.min/ml) with augmentation of response with time (interaction GRF * day; P less than .001). TRF did not affect (P greater than .25) GH release; there was no interaction (P greater than .25) with time. There was no significant interaction (P greater than .25) between GRF and TRF on GH release. However, the amount of GH release with GRF plus TRF was always greater than with GRF alone (9419 vs 6431 ng.min/ml). TRF induced a significant release of prolactin (23769 vs 42175 ng.min/ml) but GRF reduced the amount of prolactin release on the last day of sampling. TRF induced thyroid stimulating hormone (TSH) release only on the first day of injection while triiodothyronine (T3) and thyroxine (T4) continued to respond to TRF throughout the treatment period. Concentrations of T3 and T4 fell below control levels after cessation of TRF injection. In conclusion, GRF-induced GH release and TRF-induced Prl and thyroid hormone release were maintained over a 6-mo treatment period. TRF induced TSH release only on the first day of injection. Overall, these results raised the possibility of a direct effect of TRF on the thyroid gland.",M1
2124532,"Dose effect of human growth hormone-releasing factor and thyrotropin-releasing factor on hormone concentrations in lactating dairy cows.Two experiments were conducted to study the effects of growth hormone-releasing factor (GRF) and thyrotropin-releasing factor (<e>TRF</e>) administration on hormone concentrations in dairy cows. In the first trial, 12 cows were used on 5 consecutive days to determine the effect of four sc doses of GRF (0, 1.1, 3.3 and 10 micrograms.kg-1 BW) and three sc doses of TRF (0, 1.1 and 3.3 micrograms.kg-1 BW) combined in a factorial arrangement. GRF and TRF acted in synergy (P = .02) on serum growth hormone (GH) concentration even at the lowest dose tested and GH response to the two releasing factors was higher than the maximal response observed with each factor alone. TRF increased (P less than .01) prolactin (Prl), thyrotropin (TSH), triiodothyronine (T3) and thyroxine (T4) concentrations similarly at the 1.1 and 3.3 micrograms.kg-1 doses and GRF did not interact (P greater than .40) with TRF on the release of these hormones. In the second trial, the effect of GRF (3.3 micrograms.kg-1 BW, sc) and TRF (1.1 micrograms.kg-1 BW, sc) was tested at three stages (18, 72 and 210 days) of lactation on serum Prl and TSH concentrations. Eighteen cows (n = 6 per stage of lactation) were used in two replicates of a 3 X 3 latin square. The TRF and GRF-TRF treatments were equipotent (P greater than .05) in increasing Prl and TSH concentrations. Prl and TSH responses were similar (P greater than .40) throughout lactation. In summary, GRF at doses ranging from 1.1 to 10.0 micrograms.kg-1 and TRF at doses ranging from 1.1 to 3.3 micrograms.kg-1 act in synergy on GH release and do not interact on Prl, TSH, T3 and T4 concentrations in dairy cows. Furthermore, Prl and TSH response to TRF are not affected by stage of lactation.",M1
2119375,"Effect of human growth hormone-releasing factor and(or) thyrotropin-releasing factor on hormone concentrations in dairy calves.To determine the effect of chronic treatment with human growth hormone-releasing factor (1-29)NH2 (GRF) and(or) thyrotropin-releasing factor (<e>TRF</e>), 20 calves averaging 70.2 kg BW were divided into four groups (n = 5) according to a 2 X 2 factorial design. For 86 d, calves in each group received twice daily s.c. injections of either .9% NaCl, GRF (5 micrograms/kg BW), TRF (1 microgram/kg BW) or GRF (5 micrograms/kg BW) plus TRF (1 microgram/kg BW). On d 87, all calves received a s.c. injection of GRF (5 micrograms/kg BW) plus TRF (1 microgram/kg BW). Blood samples were collected every 20 min for 18 h on d 1, 29, 57 and 85, and for 8 h on d 87. Hormone responses were measured as area under the hormone concentration curve over time. GRF and TRF acted in synergy (P less than .10) on GH release throughout the treatment period. Growth hormone responsiveness to GRF and(or) TRF decreased (P less than .01) with days of treatment, but this decrease was due to aging rather than to chronic treatment, because GH response to GRF plus TRF was similar (P greater than .10) between control and treated calves on d 87. TRF increased prolactin (Prl) concentration until the end of the treatment period (P less than .01). The response of thyroid-stimulating hormone (TSH) to TRF disappeared (P greater than .10) after 1 mo of treatment, whereas the thyroxine (T4) response decreased (P less than .01) throughout the treatment period. GRF did not induce nor did it interact with TRF on TSH and T4 release.(ABSTRACT TRUNCATED AT 250 WORDS)",M1
2163305,"Tumor necrosis factor alpha inhibits the hormonal response of the pituitary gland to hypothalamic releasing factors.Tumor necrosis factor alpha (TNF alpha), a monokine produced by activated macrophages and monocytes, may be an essential mediator of the pathogenesis and of the hormonal response to endotoxic shock. It has been suggested that an elevated level of TNF alpha is a marker for morbidity and mortality during septic shock, and that treatment with antibodies against TNF alpha decreases mortality. Because monokines have been shown to interact at the hypothalamic-pituitary level, we have studied the effect of TNF alpha on basal and stimulated hormone release from normal rat anterior pituitary cells. After 3 days of incubation, primary cultures of rat anterior pituitary cells were stimulated with either 0.5 ng/ml CRF, 3 ng/ml AVP, 10 ng/ml angiotensin II (AII), 10(-6) M <e>TRF</e>, 10(-8) M LHRH, or 10(-8) M GHRH, alone or in the presence of 20 or 50 ng/ml human or murine recombinant TNF alpha. The culture media were analyzed for ACTH, GH, LH, and PRL content. Each experiment was performed in triplicate and was repeated 3 to 8 times. Time-course experiments (n = 3) demonstrated that TNF alpha inhibited CRF-stimulated ACTH production over a period of 8, 16, and 24 h, but had no effect before a period of 4 h. At doses ranging from 1 to 100 ng/ml, TNF alpha did not affect basal ACTH secretion but inhibited CRF-stimulated ACTH release in a dose-dependent manner (ED50 approximately 10 ng/ml). At a dose of 50 ng/ml, TNF alpha inhibited AVP-stimulated ACTH release by 30% and blocked the effect of AII. TNF alpha (20 and 50 ng/ml) completely prevented the CRF-AVP potentiation of ACTH release. Similarly, TNF alpha inhibited the stimulated release of GH (100% inhibition), LH (35% inhibition), and PRL (100% inhibition). TNF alpha had no effect on the basal secretion of GH or LH but inhibited basal PRL in a dose-dependent manner. The administration of the monokine did not cause any cellular damage because 48 h after removal of the TNF alpha treatment the cells showed normal basal and stimulated hormone levels in response to their specific stimuli. Incubation of TNF alpha solutions with antibody to TNF alpha reversed all TNF alpha actions. These data suggest that TNF alpha inhibits the secretion of pituitary hormones and particularly suppresses the response of the corticotroph cells. This inhibitory effect may contribute to the increased mortality observed in cases of severe septic shock with high circulating TNF alpha levels.",M1
2105928,"Effect of long-term administration of porcine growth hormone-releasing factor and(or) thyrotropin-releasing factor on growth hormone, prolactin and thyroxine concentrations in growing pigs.Long-term administration of porcine growth hormone-releasing factor (pGRF(1-29)NH2) and(or) thyrotropin-releasing factor (<e>TRF</e>) was evaluated on serum concentrations of growth hormone (GH) thyroxine (T4) and prolactin (PRL). Twenty-four 12-wk-old female Yorkshire-Landrace pigs were injected at 1000 and 1600 for 12 wk with either saline, pGRF (15 micrograms/kg), TRF (6 micrograms/kg) or pGRF + TRF using a 2 x 2 factorial design. Blood samples were collected on d 1, 29, 57 and 85 of treatment from 0400 to 2200. Areas under the GH, T4 and PRL curves (AUC) for the 6 h (0400 to 1000) prior to injection were subtracted from the postinjection periods (1000 to 1600, 1600 to 2200) to calculate the net hormonal response. The AUC of GH for the first 6 h decreased similarly (P less than .05) with age for all treatments. The GH response to GRF remained unchanged (P greater than .10) across age. TRF alone did not stimulate (P less than .05) GH release but acted in synergy with GRF to increase (P less than .05) GH release. TRF stimulated (P less than .001) the net response of T4 on all sampling days. Animals treated with the combination of GRF + TRF showed a decreased T4 AUC during the first 6 h on the last three sampling days. Basal PRL decreased (P less than .05) with age. Over the four sampling days, animals injected with TRF alone showed (P less than .01) a reduction (linear effect; P less than .01) followed by an increase (quadratic effect; P less than .05) in total PRL concentration after injection; however, when GRF was combined with TRF, such effects were not observed (P greater than .10). Results showed that 1) chronic injections of GRF for 12 wk sustained GH concentration, 2) TRF and GRF acted synergistically to elevate GH AUC, 3) TRF increased T4 concentrations throughout the 12-wk treatment period, 4) chronic TRF treatment decreased the basal PRL concentration and 5) chronic GRF + TRF treatment decreased the basal concentration of T4.",M1
2551657,"Thyrotropin-releasing factor-induced adrenocorticotropin secretion is mediated by corticotropin-releasing factor.TSH-releasing factor (<e>TRF</e>), administered into the lateral cerebroventricle of adult male rats, elevated plasma concentrations of ACTH, epinephrine, and norepinephrine. TRF given iv was devoid of these activities. The CRF receptor antagonist, alpha-helical CRF9-41 (CRF9-41) given iv suppressed the TRF-induced increase in ACTH, but did not alter TRF-induced changes in plasma catecholamines. Intravenous administration of CRF antiserum totally blocked TRF-induced elevation of plasma ACTH concentrations. CRF receptor antagonists administered icv attenuated CRF-induced, but not TRF-induced elevation of plasma concentrations of ACTH, epinephrine, and norepinephrine. It is concluded from these results that TRF acts within the central nervous system to stimulate ACTH release through a CRF-dependent mechanism.",M1
3127084,"Thyrotroph function assessed by sensitive measurement of thyrotropin with three immunoradiometric assay kits: analytical evaluation and comparison with the thyroliberin stimulation test.We evaluated the analytical and clinical performance of three  sensitive  immunoradiometric assay (IRMA) kits (Tandem-R TSH HS, Hybritech, Inc.; EchoClonal TSH, Bio-Rad; Coat-A-Count TSH IRMA, Diagnostic Products Corp.) for measurement of thyrotropin (TSH) and compared their performance against a  regular  IRMA (ARIA-HT, Becton-Dickinson) to determine whether these assays might eliminate the need to perform the thyroliberin (<e>TRF</e>) stimulation test. We concluded that the Tandem and EchoClonal kits may obviate the need to perform TRF stimulation tests in some patients. Using only the basal TSH concentration to predict the TSH response to TRF, we found all three sensitive TSH assays to be useful for detecting abnormal thyrotroph function. Dose-response, linearity, analytical recovery, and specificity were acceptable for all kits, but intra-assay precision at very low TSH concentrations and analytical sensitivity differed considerably among the kits. Using the EchoClonal assay, we established a normal reference interval for TSH of 0.4-4.6 milli-int. units/L.",M1
2907311,"Synergism and diurnal variations of human growth hormone-releasing factor (1-29)NH2 and thyrotropin-releasing factor on growth hormone release in dairy calves.Sixteen male Holstein calves averaging 168 kg body weight (BW) were used to determine the effects of human growth hormone-releasing factor (1-29)NH2 (hGRF (1-29)NH2; .22 micrograms/kg BW), thyrotropin-releasing factor (<e>TRF</e>; .165 micrograms/kg BW) or hGRF (1-29)NH2 plus TRF (.22 and .165 micrograms/kg BW, respectively) on growth hormone (GH) release in animals exposed to 16 hr of light (L): 8 hr of dark (D) (lights on at 0100 hr) and hGRF plus TRF (.22 and .165 micrograms/kg BW, respectively) in animals exposed to 8L:16D (lights on at 0900 hr). For each treatment, times of iv injection were 0400, 1000, 1600 and 2200 hr. In animals exposed to 16L:8D, average GH peaks reached after hGRF (1-29)NH2 or TRF injections were 49.7 and 32.0 ng/ml while the area under the GH response curve (AUC) were 1247 and 1019 ng/ml.min, respectively. There was no significant effect of times of injection on GH release following the separate injection of hGRF(1-29)NH2 or TRF. In animals exposed to 16L:8D, GH peaks and AUC after hGRF plus TRF injections were 226.4, 189.2 and 116.8 ng/ml, and 4340, 3660 and 2415 ng/ml.min at 0400, 1000 and 1600 hr (lights on), respectively but only 42.3 ng/ml and 1692 ng/ml.min at 2200 hr (lights off). In animals exposed to 8L:16D, GH levels and AUC after hGRF plus TRF injections reached 177.5 and 180.5 ng/ml, and 2759 and 3704 ng/ml.min at 1000 and 1600 hr (lights on) but only 84.0 and 72.7 ng/ml, and 1544 and 1501 ng/ml.min at 0400 and 2200 hr (lights off), respectively.(ABSTRACT TRUNCATED AT 250 WORDS)",M1
3128159,"[TeBG and thyrotoxicosis in the hot thyroid nodule]The binding capacity of serum TeBG (testosterone-estradiol binding globulin), the plasma concentrations of thyroid hormones and the TSH response to <e>TRF</e> (200 micrograms i.v.) have been measured in female patients with a solitary autonomously functioning thyroid nodule (n = 26) or with a cold thyroid nodule (n = 20). It was found that TeBG was higher than the upper limit for normal (1.77 micrograms/dl) in the patients (n = 10) with increased serum concentrations of thyroid hormones and in 5 patients among 16 with normal thyroid hormone levels. After surgical removal of the nodule, the increased TeBG levels fell down within the normal, while the response of TSH to TRF which was suppressed before surgery, was recovered. In patients with a cold nodule, the administration of dl-Thyroxine (200-300 micrograms/daily) suppressed the response of TSH to TRF and increased slightly TeBG from 0.97 +/- 0.08 to 1.29 +/- 0.10 micrograms/dl (p less than 0.05) with a value higher than 1.77 micrograms/dl in 5. These data suggested that the pituitary secretion of TSH and the liver production of TeBG have a different threshold of sensitivity to thyroid hormones action. It is proposed that the measure of TeBG is a tool for the diagnosis of thyrotoxicosis in patients with autonomous thyroid nodules.",M1
