@RELATION C0040052_C0021756

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
8327658,"Thrombopoietin from human embryonic kidney cells stimulates an increase in megakaryocyte size of sublethally irradiated mice.Previous work showed that treatment of irradiated mice with a thrombocytopoiesis-stimulating factor (<e>TSF</e> or thrombopoietin) decreased the degree and duration of thrombocytopenia in the period after irradiation. In an attempt to elucidate the radio-protective effects of TSF, femoral megakaryocyte sizes and numbers were measured in mice treated with 3.0 Gy of 137Cs gamma rays and TSF. For controls, other irradiated mice were given human serum albumin (HSA), the carrier protein for TSF, rabbit anti-mouse platelet serum (RAMPS), or normal rabbit serum (NRS); megakaryocyte sizes and numbers were studied on Days 7-14. The results showed that irradiated, TSF-treated mice had significantly larger megakaryocytes on all days assessed compared to HSA-treated control mice. Likewise, RAMPS-treated mice had significantly larger megakaryocytes 14 days after irradiation compared to NRS-treated mice. Megakaryocyte numbers were significantly depressed in TSF-treated mice on Days 7-10 and 14 and on Day 10 in RAMPS-treated mice, compared to their respective controls. Therefore, irradiated mice treated with TSF yielded results similar to RAMPS-treated mice. Megakaryocyte sizes and numbers were also determined for mice treated with 40,000 U/mouse of interleukin-6 (IL-6), 227 U/mouse of granulocyte-macrophage colony-stimulating factor (GM-CSF), or a combination of both cytokines; bovine serum albumin (BSA) was used as a control for these cytokine treatments. Unlike TSF treatment, GM-CSF significantly increased megakaryocyte numbers on both Days 10 and 14; the combination of both growth factors also increased megakaryocyte numbers on Day 14 compared to BSA-treated control mice. However, megakaryocyte size was decreased in GM-CSF-treated mice and in mice treated with both growth factors on Day 10. High levels of IL-6 failed to affect megakaryocyte size or number significantly on any day evaluated. The data of the present report, showing that TSF significantly increases megakaryocyte sizes and platelet counts of sublethally irradiated mice, indicate that thrombopoietin will be useful in treating patients undergoing bone marrow transplantation and/or patients with platelet production problems.",M1
1410278,"Thrombopoietin from human embryonic kidney cells causes increased thrombocytopoiesis in sublethally irradiated mice.Previous work showed that mice treated with platelet-specific antiserum prior to whole-body irradiation did not suffer the degree or duration of thrombocytopenia as did irradiated control mice. We now report that a partially purified preparation of a thrombocytopoiesis-stimulating factor (<e>TSF</e> or thrombopoietin) mimics the biological effects of platelet-specific antiserum treatment in hematopoietically suppressed mice. Male C3H mice were exposed to 3.0 or 4.5 Gy of 137Cs gamma radiation and injected with a total dose of 4 units (U) of TSF. Human serum albumin (HSA) and rabbit anti-mouse platelet serum-injected mice, along with unirradiated mice, served as controls. Packed cell volumes (PCV), RBC counts, WBC counts, platelet counts, and percentage 35S incorporation into platelets were measured in mice at various days (7-14) following treatment. The results showed that irradiated mice treated with TSF had increased 35S uptake into platelets and higher platelet counts than HSA-treated controls. Also, PCV, RBC counts, and WBC counts of irradiated mice treated with TSF were significantly higher than values for HSA-treated mice. Additional experiments using 40,000 U/mouse of Interleukin-6 (IL-6), 227 U/mouse of granulocyte macrophage-colony stimulating factor (GM-CSF), or a combination of GM-CSF and IL-6 did not show increased platelet counts or 35S incorporation into platelets on Days 10 and 14 when compared to other mice treated with control substances. These results suggest that the radioprotective effects of platelet antibodies reported previously may be due to the release and action of thrombopoietin. These studies also demonstrate that thrombopoietin therapy will modulate the severe thrombocytopenia that occurs in radiation-induced bone marrow suppression.",M1
1550268,"Thrombopoietin. Its biology, clinical aspects, and possibilities.Thrombopoietin or thrombocytopoiesis-stimulating factor (<e>TSF</e>) is known to be the natural stimulator of megakaryocytopoiesis and, thus, stimulates thrombocytopoiesis. In the past 15 years, new assay technology and sources of the hormone have made possible partial characterization of the molecule and clarification of the biologic role of thrombopoietin. Experiments describing the biology and characterization of TSF are reviewed. In addition, a brief history of the molecule, its biology, and the effects of thrombopoietin on both thrombocytopoiesis and megakaryocytopoiesis are discussed, including the effects of thrombopoietin on platelet counts, platelet sizes, and incorporation of isotopes. In the discussion of thrombopoietin's control of megakaryocytopoiesis there is specific information showing that thrombopoietin stimulates an increase in megakaryocyte size and number, DNA content, endomitosis, and maturation. Thrombopoietin also increases the number of early precursor cells of the megakaryocytic series, that is, small acetyl-cholinesterase-positive cells. New information is given on the chemistry of thrombopoietin, along with present assays and the relationship of thrombopoietin to interleukin-6. The clinical aspects of thrombopoietin, with detailed descriptions of several disease states in which decreases and excesses of the hormone have been found, are presented. The potential uses of thrombopoietin in clinical medicine are reviewed. In the near future, it appears that successful gene cloning of the hormone will be achieved, which will allow production of large amounts of recombinant thrombopoietin. The pure material will be helpful in clarifying the hormone's mode of action. Thrombopoietin will no doubt prove to be useful in treating patients with various hematologic disorders, such as patients undergoing bone marrow transplantation, chemotherapy, or radiotherapy, and other patients with various types of marrow hypoplasia.",M1
1993216,"Comparative effects of thrombopoietin and interleukin-6 on murine megakaryocytopoiesis and platelet production.A thrombocytopoiesis-stimulating factor (<e>TSF</e> or thrombopoietin) derived from human embryonic kidney (HEK) cells is known to increase platelet production and to increase the number of morphologically unrecognizable early megakaryocytes, ie, small acetylcholinesterase-positive (SAChE+) cells in mice. Other recent studies have concluded that interleukin-6 (IL-6) also stimulates murine megakaryocytopoiesis both in vitro and in vivo. Some workers have suggested that IL-6 is thrombopoietin. Therefore, the purpose of this study was to compare the effects of TSF and IL-6 on percent 35S incorporation into platelets, platelet sizes, and the percentages of SAChE+ cells in C3H mice, and to determine if they produce the same or different responses. The results showed that two or four injections of a partially purified TSF (total dose of 2 or 4 units (U) over a 1- or 2-day period) increased percent 35S incorporation into platelets (P less than .005) and platelet sizes (P less than .005) of both normal and rebound-thrombocytotic mice when compared with values from other mice treated with human serum albumin, the carrier protein for both TSF and IL-6. In eight separate experiments, it was shown that IL-6 (40,000 U, 4 micrograms), when given to rebound-thrombocytotic mice in four injections over a 2-day period, produced a small but significant (P less than .005) increase in percent 35S incorporation into platelets. Additional studies showed that negative results were obtained when similar high doses of IL-6 were administered in two doses over a 1-day period. TSF, but not IL-6, stimulated an increase in platelet sizes of normal mice (P less than .005 to 0.0005); however, IL-6 increased platelet sizes of rebound-thrombocytotic mice when given in two of four injections (P less than .05 to .0005). Also, IL-6, but not TSF, caused anemia in normal mice (P less than .0005) that were given two injections and tested 3 days later. TSF stimulated an increase (P less than .005) in the percentage of SA-ChE+ cells; whereas IL-6, even at high doses, did not. Because of the observed differences in biologic responses of these two cytokines, we conclude that TSF and IL-6 are separate entities.",M1
2199205,"Thrombopoietin derived from human embryonic kidney cells stimulates an increase in DNA content of murine megakaryocytes in vivo.A thrombocytopoiesis-stimulating factor (<e>TSF</e> or thrombopoietin) is known to increase the size and number of mouse bone marrow megakaryocytes, to increase the proportion of megakaryocytes in endomitosis, and to increase the number of small acetylcholinesterase-positive cells. Megakaryocyte ploidy values have not previously been measured in mice treated with TSF from human embryonic kidney (HEK) cells. Therefore, in the present study C3H mice were injected with approximately 4 U of step II TSF; platelet production indices and megakaryocyte ploidy values were measured 1-5 days after treatment. For controls, other mice were injected with saline, human serum albumin (HSA), normal rabbit serum (NRS), or rabbit anti-mouse platelet serum (RAMPS). Platelet counts, platelet sizes, and percent 35S incorporation into platelets were measured using standard techniques. For measurement of megakaryocyte DNA content, bone marrow cells were collected into CATCH medium and incubated with RAMPS, followed by labeling with a saturating concentration of fluorescein-conjugated goat anti-rabbit immunoglobulin F(ab')2 fragment. After washing, the cells were resuspended in propidium iodide, and DNA content was measured by flow cytometry. When compared to suitable control values, the results showed that TSF caused a significant (p less than 0.025) increase in platelet counts of treated mice by 3 days; both TSF and RAMPS caused significant (p less than 0.0005) increases in platelet sizes and percent 35S incorporation into platelets of mice at 2 and 3 days after treatment. The most frequent polyploid DNA class of megakaryocytes from untreated C3H mice was 32N, confirming our previous observation. Both TSF and RAMPS caused significant (p less than 0.0005) increases in the average polyploid megakaryocyte DNA content, with peak values on days 2 and 3. These data show that TSF administered in vivo significantly increases DNA content of mouse bone marrow megakaryocytes.",M1
2199204,"Thrombopoiesis-stimulating factor: its effects on megakaryocyte colony formation in vitro and its relation to human granulocyte-macrophage colony-stimulating factor.The effects of thrombopoiesis-stimulating factor (<e>TSF</e>) on human marrow megakaryocyte colony formation in vitro were studied by the plasma clot method. TSF was found to stimulate megakaryocyte as well as granulocyte-macrophage colony formation in vitro at optimal concentrations of 200-300 pg/ml of medium containing 2.5% horse serum. This colony-stimulating effect of TSF was not affected by polyclonal antibodies to human (h) interleukin 3 (IL-3) or to granulocyte colony-stimulating factor (G-CSF) but was neutralized by monoclonal or polyclonal antibodies to human granulocyte-macrophage colony-stimulating factor (hGM-CSF). In order to differentiate among cross-reactivity between TSF and hGM-CSF, induction of colony growth via release of GM-CSF, and presence of hGM-CSF in TSF preparations, TSF was tested on murine marrow cells, which are not responsive to hGM-CSF. TSF induced growth of murine megakaryocyte colony-forming units (CFU-MK) and granulocyte-macrophage colony-forming units (CFU-GM) in vitro with a dose response similar to that observed on human marrow cells; however, this effect could not be neutralized by antibodies to either human or murine GM-CSF. Using a double-antibody enzyme-linked immunosorbent assay, TSF preparations were found to contain 36 +/- 4 U of hGM-CSF per picogram of TSF protein. These findings indicate that hGM-CSF is responsible for the megakaryocyte colony-promoting effects of TSF on human marrow cells in vitro.",M1
2684680,"Effects of thrombocytopoiesis-stimulating factor on terminal cytoplasmic maturation of human megakaryocytes.Aplastic anemia serum (AAS) contains humoral factors that alter both proliferation and maturation of human megakaryocytes (MK). The ability of AAS to augment MK colony formation (colony-forming unit, CFU-MK) was neutralized by an antiserum against MK colony-stimulating factor (MK-CSF), a glycoprotein isolated from AAS. The adsorbed AAS still retained the ability to accelerate cytoplasmic maturation of recognizable MK. Similar experiments were done with thrombocytopoiesis-stimulating factor (<e>TSF</e>) and an anti-TSF antiserum to further define the activity in AAS responsible for accelerating cytoplasmic maturation. Bone marrow fractions enriched for recognizable human MK, but devoid of CFU-MK, were obtained by centrifugal elutriation and placed in short-term liquid cultures. MK progressed through identifiable maturation stages (1-4) more quickly in the presence of either TSF or AAS. TSF slightly enhanced the cloning efficiencies of CFU-MK, but did not alter the number of MK in individual colonies derived from non-adherent, low-density, T-cell-depleted bone marrow. In contrast, granulocyte-macrophage colony-stimulating factor (GM-CSF), interleukin 3 (IL-3), and crude AAS substantially augmented both MK colony formation and cells per colony. TSF also doubled the percent 35S incorporation into platelets of immunothrombocythemic mice, but stimulation was completely abolished by anti-TSF. Anti-TSF antiserum was then used to analyze the promotion of MK colony formation by cytokines. Cloning efficiencies of CFU-MK were reduced to baseline values when TSF was pretreated with anti-TSF; however, the MK colony-stimulating activity (MK-CSA) of GM-CSF, IL-3, or AAS was not altered by adsorption with anti-TSF. In contrast, the cytoplasmic maturation of recognizable MK was slower, and fewer mature stage-4 cells were present at days 1-3 in AAS adsorbed with anti-TSF than MK cultured in AAS treated with normal rabbit serum or untreated AAS. Therefore, TSF appears to be a major factor in AAS that accelerates terminal maturation of human MK. TSF primarily affects megakaryocytopoiesis by promoting MK maturation rather than enhancing CFU-MK proliferation.",M1
2767181,"A four-step procedure for the purification of thrombopoietin.The present work reports the preparation of a highly bioactive and stable thrombocytopoiesis-stimulating factor (<e>TSF</e> or thrombopoietin) by a four-step purification procedure, i.e., Sephadex column chromatography, ethanol precipitation, sodium dodecyl sulfate-polyacrylamide gel electrophoresis (SDS-PAGE), and reverse phase-high performance liquid chromatography. The molecular weight (MW) of the purified product depended upon the method of purification, i.e., using denaturing buffers at 56 degrees C for 10 min, the MW was approximately 30,000 daltons; whereas, after preparing in denaturing buffers and heating to 100 degrees C for 10 min, the purified protein had an apparent MW of approximately 15 kd. Both moieties had significant biological activity. The data indicate that TSF may exist normally as a dimer (30 kd), but can disassociate to 15 kd without loss of bioactivity. The present work illustrates that the purified TSF has an isoelectric pH of 4.47 and exists in trace amounts in human embryonic kidney (HEK) cell culture media. The final product prepared in the presence of Tween-20 had a specific activity of approximately 21,000 U of TSF per mg of protein, representing a purification factor of approximately 164,000. Using this four-step purification procedure, a homogeneous product was obtained as judged by SDS-PAGE and chromatofocusing. This purified material will be suitable for further studies, including amino acid sequencing.",M1
3261250,"Comparative effects of thrombopoietic-stimulatory factor and spleen cell-conditioned medium on megakaryocytopoiesis in a short-term bone marrow liquid culture system.The effect of partially purified thrombopoietic stimulatory factor (<e>TSF</e>) on megakaryocytopoiesis was studied using the soft-gel colony-forming assay and a short-term marrow liquid culture system (STLC) and compared to the effects of megakaryocyte colony-stimulating activity present in pokeweed mitogen-stimulated spleen cell-conditioned medium (PWCM). Nonadherent cells from STLC were sampled daily for acetylcholinesterase-positive cells and megakaryocyte progenitor cells (CFU-M). CFU-M were assayed in the soft-gel colony-forming system using PWCM as a source of colony-stimulating activity. Proliferative capacity of CFU-M obtained from liquid culture was determined from megakaryocyte colony size (number of megakaryocytes per colony) following plating of cells in a secondary colony-forming assay. Megakaryocytes were grouped into four maturation classes and megakaryocyte diameter was determined on acetylcholinesterase-stained cytocentrifuged cells using an eye-piece micrometer. TSF produced no CFU-M-derived colonies in the soft-gel colony-forming assay. Addition of TSF to STLC had no effect on the total number of CFU-M, megakaryocyte colony size, or total number of megakaryocytes compared to unstimulated STLC. However, on days 4-9 there was a significant increase in megakaryocyte diameter and the proportion of mature (stage III, IV) megakaryocytes obtained from TSF containing STLC compared to unstimulated STLC. In contrast, 5 days after addition of PWCM to STLC a sixfold increase in the total number of CFU-M per flask and a threefold increase in megakaryocytes was observed compared to unstimulated STLC. However, megakaryocyte colony size and megakaryocyte size were significantly reduced and a greater number of immature (stage I, II) megakaryocytes were present in STLC containing PWCM compared to unstimulated STLC. These results indicate that TSF accelerates the maturation of megakaryocytes in vitro and that a factor or factors present in spleen cell-conditioned medium, in addition to influencing megakaryocyte progenitor cell proliferation, also affect(s) megakaryocyte size.",M1
2453373,"Effect of recombinant and purified hematopoietic growth factors on human megakaryocyte colony formation.The effect of a number of purified or recombinant hematopoietic growth factors, including recombinant erythropoietin (rEpo), thrombocytopoiesis stimulating factor (<e>TSF</e>), recombinant interleukin 1 alpha (rIL-1 alpha), recombinant granulocyte colony-stimulating factor (rG-CSF), macrophage colony-stimulating factor (CSF-1), recombinant interleukin 3 (rIL-3), and recombinant granulocyte-macrophage colony-stimulating factor (rGM-CSF), on megakaryocyte (MK) colony formation by normal human marrow cells in a serum-depleted assay system was determined. Neither rEpo, TSF, CSF-1, rIL-1 alpha, nor rG-CSF alone augmented MK colony formation. Both rGM-CSF and rIL-3 at optimal doses increased MK colony formation eightfold and tenfold, respectively, above baseline values. Addition of increasing amounts of either rGM-CSF or rIL-3 led to progressively greater numbers of MK colonies formed until plateau levels were reached. Both rGM-CSF and rIL-3 also led to a dose-related increase in the number of cells per MK colony formed in culture. These molecules were equivalent stimulators of MK colony formation when their effects at optimal concentrations were compared. The effects of rGM-CSF and rIL-3 were additive at suboptimal concentrations of rIL-3 in that colony formation by a combination of the two growth factors approximated the sum of colony formation by each growth factor alone. These data suggest that rGM-CSF and rIL-3 alone and in combination are important regulators of in vitro megakaryocytopoiesis at the progenitor cell level.",M1
