@RELATION C0175702_C0004903

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20403157,"Essential role of the N-terminal region of TFII-I in viability and behavior.BACKGROUND: GTF2I codes for a general intrinsic transcription factor and calcium channel regulator TFII-I, with high and ubiquitous expression, and a strong candidate for involvement in the morphological and neuro-developmental anomalies of the Williams-Beuren syndrome (<e>WBS</e>). WBS is a genetic disorder due to a recurring deletion of about 1,55-1,83 Mb containing 25-28 genes in chromosome band 7q11.23 including GTF2I. Completed homozygous loss of either the Gtf2i or Gtf2ird1 function in mice provided additional evidence for the involvement of both genes in the craniofacial and cognitive phenotype. Unfortunately nothing is now about the behavioral characterization of heterozygous mice. METHODS: By gene targeting we have generated a mutant mice with a deletion of the first 140 amino-acids of TFII-I. mRNA and protein expression analysis were used to document the effect of the study deletion. We performed behavioral characterization of heterozygous mutant mice to document in vivo implications of TFII-I in the cognitive profile of WBS patients. RESULTS: Homozygous and heterozygous mutant mice exhibit craniofacial alterations, most clearly represented in homozygous condition. Behavioral test demonstrate that heterozygous mutant mice exhibit some neurobehavioral alterations and hyperacusis or odynacusis that could be associated with specific features of WBS phenotype. Homozygous mutant mice present highly compromised embryonic viability and fertility. Regarding cellular model, we documented a retarded growth in heterozygous MEFs respect to homozygous or wild-type MEFs. CONCLUSION: Our data confirm that, although additive effects of haploinsufficiency at several genes may contribute to the full craniofacial or neurocognitive features of WBS, correct expression of GTF2I is one of the main players. In addition, these findings show that the deletion of the fist 140 amino-acids of TFII-I altered it correct function leading to a clear phenotype, at both levels, at the cellular model and at the in vivo model.",M1
20186780,"Pulmonary function and emphysema in Williams-Beuren syndrome.Williams-Beuren syndrome (<e>WBS</e>) is caused by a submicroscopic deletion on chromosome 7q11.23 that encompasses the entire elastin (ELN) gene. Elastin, a key component of elastic fibers within the lung, is progressively destroyed in emphysema. Defects in the elastin gene have been associated with increased susceptibility towards developing chronic obstructive pulmonary disease (COPD) and emphysema in both humans and mice. We postulate that hemizygosity at the elastin gene locus may increase susceptibility towards the development of COPD and emphysema in subjects with WBS. We describe an adult subject with WBS who was a lifelong non-smoker and was found to have moderate emphysema. We also examined the pulmonary function of a separate cohort of adolescents and young adults with WBS. Although no significant spirometric abnormalities were identified, a significant proportion of subjects reported respiratory symptoms. Thus, while significant obstructive disease does not appear to be common in relatively young adults with WBS, subclinical emphysema and lung disease may exist which possibly could worsen with advancing age. Further investigation may elucidate the pathogenesis of non-smoking-related emphysema.",M1
20146355,"Zebrafish gene knockdowns imply roles for human YWHAG in infantile spasms and cardiomegaly.Williams-Beuren syndrome (<e>WBS</e>) is a neurodevelopmental disorder presenting with an elfin-like face, supravalvular aortic stenosis, a specific cognitive-behavioral profile, and infantile hypercalcemia. We encountered two WBS patients presenting with infantile spasms, which is extremely rare in WBS. Array comparative genomic hybridization (aCGH) and fluorescent in situ hybridization (FISH) analyses revealed atypical 5.7-Mb and 4.1-Mb deletions at 7q11.23 in the two patients, including the WBS critical region and expanding into the proximal side and the telomeric side, respectively. On the proximal side, AUTS2 and CALN1 may contribute to the phenotype. On the telomeric side, there are two candidate genes HIP1 and YWHAG. Because detailed information of them was unavailable, we investigated their functions using gene knockdowns of zebrafish. When zebrafish ywhag1 was knocked down, reduced brain size and increased diameter of the heart tube were observed, indicating that the infantile spasms and cardiomegaly seen in the patient with the telomeric deletion may be derived from haploinsufficiency of YWHAG.",M1
20007321,"Negative autoregulation of GTF2IRD1 in Williams-Beuren syndrome via a novel DNA binding mechanism.The GTF2IRD1 gene is of principal interest to the study of Williams-Beuren syndrome (<e>WBS</e>). This neurodevelopmental disorder results from the hemizygous deletion of a region of chromosome 7q11.23 containing 28 genes including GTF2IRD1. WBS is thought to be caused by haploinsufficiency of certain dosage-sensitive genes within the deleted region, and the feature of supravalvular aortic stenosis (SVAS) has been attributed to reduced elastin caused by deletion of ELN. Human genetic mapping data have implicated two related genes GTF2IRD1 and GTF2I in the cause of some the key features of WBS, including craniofacial dysmorphology, hypersociability, and visuospatial deficits. Mice with mutations of the Gtf2ird1 allele show evidence of craniofacial abnormalities and behavioral changes. Here we show the existence of a negative autoregulatory mechanism that controls the level of GTF2IRD1 transcription via direct binding of the GTF2IRD1 protein to a highly conserved region of the GTF2IRD1 promoter containing an array of three binding sites. The affinity for this protein-DNA interaction is critically dependent upon multiple interactions between separate domains of the protein and at least two of the DNA binding sites. This autoregulatory mechanism leads to dosage compensation of GTF2IRD1 transcription in WBS patients. The GTF2IRD1 promoter represents the first established in vivo gene target of the GTF2IRD1 protein, and we use it to model its DNA interaction capabilities.",M1
19880526,"Williams-Beuren syndrome-associated transcription factor TFII-I regulates osteogenic marker genes.Williams-Beuren syndrome (<e>WBS</e>), an autosomal dominant genetic disorder, is characterized by a unique cognitive profile and craniofacial defects. WBS results from a microdeletion at the chromosomal location 7q11.23 that encompasses the genes encoding the members of TFII-I family of transcription factors. Given that the haploinsufficiency for TFII-I is causative to the craniofacial phenotype in humans, we set out to analyze the effect of post-transcriptional silencing of TFII-I during BMP-2-driven osteoblast differentiation in the C2C12 cell line. Our results show that TFII-I plays an inhibitory role in regulating genes that are essential in osteogenesis and intersects with the bone-specific transcription factor Runx2 and the retinoblastoma protein, pRb. Identification of pathways regulated by TFII-I family transcription factors may begin to shed light on the molecular determinants of WBS.",M1
19815602,"Clinical features and management of arterial hypertension in children with Williams-Beuren syndrome.BACKGROUND: Hypertension is a common finding in children with Williams-Beuren syndrome (<e>WBS</e>). METHODS: The aim of this retrospective study was to review the clinical presentation of systemic hypertension in WBS children, its origin and management. We included 41 children with confirmed WBS who were referred to the paediatric nephrology or cardiology unit for hypertension. RESULTS: The mean age at diagnosis of hypertension was 4.7 years. Out of 41, 24 patients had systolic blood pressure (BP) between +10 and +30 mmHg above the 95th percentile (1.645 SD), and 20/41 patients had diastolic BP between the 95th percentile (1.645 SD) and &gt;10 mmHg. Thirty-nine patients were asymptomatic. Arteriography, performed in 17/41 patients, revealed a renal artery stenosis (RAS) in 10 patients (58%). Echocardiography was performed in all patients and showed isthmic coarctation in four patients (9%). Calcium channel blockers were used in half of the patients (22/41) and seemed to control hypertension in most cases. Interventional treatment of RAS was performed in five patients (three angioplasty and two surgical bypass). It controlled hypertension in one patient but remained ineffective in the four others. CONCLUSIONS: Medical treatment essentially calcium blockers improved hypertension in most cases. Interventional treatment of RAS has not been encouraging.",M1
19629319,"Speech fluency profile in Williams-Beuren syndrome: a preliminary study.BACKGROUND: the speech fluency pattern attributed to individuals with Williams-Beuren syndrome (<e>WBS</e>) is supported by the effectiveness of the phonological loop. Some studies have reported the occurrence of speech disruptions caused by lexical and semantic deficits. However, the type and frequency of such speech disruptions has not been well elucidated. AIM: to determine the speech fluency profile of individuals with WBS and to compare the speech performance of these individuals to a control group matched by gender and mental age. METHOD: Twelve subjects with Williams-Beuren syndrome, chronologically aged between 6.6 and 23.6 years and mental age ranging from 4.8 to 14.3 years, were evaluated. They were compared with another group consisting of 12 subjects with similar mental age and with no speech or learning difficulties. Speech fluency parameters were assessed according to the ABFW Language Test: type and frequency of speech disruptions and speech rate. The obtained results were compared between the groups. RESULTS: In comparison with individuals of similar mental age and typical speech and language development, the group with Williams-Beuren syndrome showed a greater percentage of speech discontinuity, and an increased frequency of common hesitations and word repetition. CONCLUSION: The speech fluency profile presented by individuals with WBS in this study suggests that the presence of disfluencies can be caused by deficits in the lexical, semantic, and syntactic processing of verbal information. The authors stress that further systematic investigations on the subject are warranted.",M1
19568270,"An atypical 7q11.23 deletion in a normal IQ Williams-Beuren syndrome patient.Williams-Beuren syndrome (<e>WBS</e>; OMIM no. 194050) is a multisystemic neurodevelopmental disorder caused by a hemizygous deletion of 1.55 Mb on chromosome 7q11.23 spanning 28 genes. Haploinsufficiency of the ELN gene was shown to be responsible for supravalvular aortic stenosis and generalized arteriopathy, whereas LIMK1, CLIP2, GTF2IRD1 and GTF2I genes were suggested to be linked to the specific cognitive profile and craniofacial features. These insights for genotype-phenotype correlations came from the molecular and clinical analysis of patients with atypical deletions and mice models. Here we report a patient showing mild WBS physical phenotype and normal IQ, who carries a shorter 1 Mb atypical deletion. This rearrangement does not include the GTF2IRD1 and GTF2I genes and only partially the BAZ1B gene. Our results are consistent with the hypothesis that hemizygosity of the GTF2IRD1 and GTF2I genes might be involved in the facial dysmorphisms and in the specific motor and cognitive deficits observed in WBS patients.",M1
19109438,"Essential functions of the Williams-Beuren syndrome-associated TFII-I genes in embryonic development.GTF2I and GTF2IRD1 encoding the multifunctional transcription factors TFII-I and BEN are clustered at the 7q11.23 region hemizygously deleted in Williams-Beuren syndrome (<e>WBS</e>), a complex multisystemic neurodevelopmental disorder. Although the biochemical properties of TFII-I family transcription factors have been studied in depth, little is known about the specialized contributions of these factors in pathways required for proper embryonic development. Here, we show that homozygous loss of either Gtf2ird1 or Gtf2i function results in multiple phenotypic manifestations, including embryonic lethality; brain hemorrhage; and vasculogenic, craniofacial, and neural tube defects in mice. Further analyses suggest that embryonic lethality may be attributable to defects in yolk sac vasculogenesis and angiogenesis. Microarray data indicate that the Gtf2ird1 homozygous phenotype is mainly caused by an impairment of the genes involved in the TGFbetaRII/Alk1/Smad5 signal transduction pathway. The effect of Gtf2i inactivation on this pathway is less prominent, but downregulation of the endothelial growth factor receptor-2 gene, resulting in the deterioration of vascular signaling, most likely exacerbates the severity of the Gtf2i mutant phenotype. A subset of Gtf2ird1 and Gtf2i heterozygotes displayed microcephaly, retarded growth, and skeletal and craniofacial defects, therefore showing that haploinsufficiency of TFII-I proteins causes various developmental anomalies that are often associated with WBS.",M1
19097873,"[Williams-Beuren syndrome: a multidisciplinary approach]Williams-Beuren syndrome (<e>WBS</e>) (OMIM# 194050) is a rare, most often sporadic, genetic disease caused by a chromosomal microdeletion at locus 7q11.23 involving 28 genes. Among these, the elastin gene codes for the essential component of the arterial extracellular matrix. Developmental disorders usually associate an atypical face, cardiovascular malformations (most often supravalvular aortic stenosis and/or pulmonary artery stenosis) and a unique neuropsychological profile. This profile is defined by moderate mental retardation, relatively well-preserved language skills, visuospatial deficits and hypersociability. Other less known or rarer features, such as neonatal hypercalcemia, nutrition problems in infancy, ophthalmological anomalies, hypothyroidism, growth retardation, joint disturbances, dental anomalies and hypertension arising in adolescence or adulthood, should be treated. The aim of this paper is to summarize the major points of WBS regarding: (i) the different genes involved in the deletion and their function, especially the elastin gene and recent reports of rare forms of partial WBS or of an opposite syndrome stemming from a microduplication of the 7q11.23 locus, (ii) the clinical features in children and adults with a focus on cardiovascular injury, and (iii) the specific neuropsychological profile of people with WBS through its characteristics, the brain structures involved, and learning.",M1
