@RELATION C0018064_C1623258

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20080296,"Equine chorionic gonadotropin and gonadotropin-releasing hormone enhance fertility in a norgestomet-based, timed artificial insemination protocol in suckled Nelore (Bos indicus) cows.Two experiments were conducted to investigate the effects of equine chorionic gonadotropin (<e>eCG</e>) at progestin removal and gonadotropin-releasing hormone (GnRH) at timed artificial insemination (TAI) on ovarian follicular dynamics (Experiment 1) and pregnancy rates (Experiment 2) in suckled Nelore (Bos indicus) cows. Both experiments were 2x2 factorials (eCG or No eCG, and GnRH or No GnRH), with identical treatments. In Experiment 1, 50 anestrous cows, 134.5+/-2.3 d postpartum, received a 3mg norgestomet ear implant sc, plus 3mg norgestomet and 5mg estradiol valerate im on Day 0. The implant was removed on Day 9, with TAI 54 h later. Cows received 400 IU eCG or no further treatment on Day 9 and GnRH (100 microg gonadorelin) or no further treatment at TAI. Treatment with eCG increased the growth rate of the largest follicle from Days 9 to 11 (means+/-SEM, 1.53+/-0.1 vs. 0.48+/-0.1mm/d; P&lt;0.0001), its diameter on Day 11 (11.4+/-0.6 vs. 9.3+/-0.7 mm; P=0.03), as well as ovulation rate (80.8% vs. 50.0%, P=0.02), whereas GnRH improved the synchrony of ovulation (72.0+/-1.1 vs. 71.1+/-2.0 h). In Experiment 2 (n=599 cows, 40 to 120 d postpartum), pregnancy rates differed (P=0.004) among groups (27.6%, 40.1%, 47.7%, and 55.7% for Control, GnRH, eCG, and eCG+GnRH groups). Both eCG and GnRH improved pregnancy rates (51.7% vs. 33.8%, P=0.002; and 48.0% vs 37.6%, P=0.02, respectively), although their effects were not additive (no significant interaction). In conclusion, eCG at norgestomet implant removal increased the growth rate of the largest follicle (LF) from implant removal to TAI, the diameter of the LF at TAI, and rates of ovulation and pregnancy rates. Furthermore, GnRH at TAI improved the synchrony of ovulations and pregnancy rates in postpartum Nelore cows treated with a norgestomet-based TAI protocol.",M1
20074876,"Progesterone-based estrous synchronization protocols in non-suckled and suckled primiparous Bos indicus beef cows.In Experiment 1, effects of an intravaginal progesterone insert (CIDR) for synchronization of estrus in non-suckled cycling primiparous Bos indicus beef cows were evaluated. Cows received either no treatment (Control), prostaglandin F(2alpha) (PGF), or CIDR (6 d) + prostaglandin F(2alpha) (CIDR + PGF). There were greater (P &lt; 0.05) percentages of cows inseminated and pregnant in 4 d of breeding season in CIDR + PGF (81.6%; 48.7%) than in PGF (53.8%; 32.5%) and Control cows (14.6%; 8.5%). In Experiment 2, efficacy of a treatment with CIDR (6 d) + prostaglandin F(2alpha) + 48 h temporary weaning (CIDR + PGF + TW) associated or not with equine chorionic gonadotropin (<e>eCG</e>) for synchronization of estrus in suckled primiparous B. indicus beef cows was evaluated. Cows were assigned to receive either no treatment (Control), CIDR + PGF + TW, CIDR + PGF + TW + 200 IU of eCG, or CIDR + PGF + TW + 400 IU of eCG. There were greater (P &lt; 0.05) percentages of insemination and pregnancy in 4 d of breeding season in treatment groups (47.0%; 27.5%) than in Control cows (4.5%; 3.0%) and in cows treated with eCG (50.9%; 29.4%) than in cows treated only with CIDR + PGF + TW (39.4%; 23.7%). No effects of eCG dosage were detected. The percentage of cows inseminated and pregnant in a 30 d breeding season were greater (P &lt; 0.05) in cows assigned to synchronization treatments (53.3%; 37.2%) than in Control cows (35.3%; 21.4%). In the beginning of the BS, non-suckled primiparous cows treated with CIDR + PGF with estrous cycles having been initiated following calving had greater estrous detection and pregnancy rates than PGF and Control cows, and suckled primiparous cows had improved estrous detection and pregnancy rates when eCG was associated with CIDR + PGF + TW.",M1
20031196,"Effect of equine chorionic gonadotropin on the efficiency of superovulation induction for in vivo and in vitro embryo production in the cat.The effects of various dosages of equine chorionic gonadotropin (<e>eCG</e>) on superovulation induction for in vivo and in vitro embryo production were examined in stray cats (Felis catus). Cats (n=286) were allocated into five treatment groups with 0, 50, 100, 200, or 400 IU eCG, followed by 100 IU human chorionic gonadotropin (hCG). In vivo- and in vitro-produced blastocysts were obtained by artificial insemination (AI) and in vitro fertilization (IVF), somatic cell nucleus transfer (SCNT), or parthenogenetic activation (PA). The percentage of cats that developed mature follicles, the percentage of cats with collected embryos, and the mean number of in vivo blastocysts per cat were higher in the 200 IU treatment group (43.9%, 31.8%, and 1.53, respectively) compared with those of the other groups (P&lt;0.05). The percentage of follicular developed cats, the percentage of cumulus-expanded oocytes, and the mean number of collected cumulus-oocyte complexes per cat in the 200 IU (56.7%, 67.8%, and 26.2, respectively) and 400 IU (53.3%, 64.2%, and 26.7, respectively) groups were higher than those in the other groups (P&lt;0.05). Furthermore, the percentage of in vitro-produced blastocyst per cleaved embryos and the average cell number of the blastocysts from IVF (52.7% and 125.8, respectively) was higher than those of the blastocysts from PA (30.1% and 85.2) and higher than those of the blastocysts from SCNT (15.3% and 37.5; P&lt;0.05). In conclusion, the current study demonstrated that in vivo and in vitro embryo production were affected by the dosage of eCG; the best results were obtained with 200 IU.",M1
19874219,"Follicular development in pregnant cows after the administration of equine chorionic gonadotropin (<e>eCG</e>): a new insight.The follicular development in the cow occurs in a wave-like pattern, and it takes place also during pregnancy. In the cow, Equine Chorionic Gonadotropin (eCG) is used for superovulation, but a decrease in total fertility has been reported, likely because of its immunogenic properties in species other than equine. In this regard, immune response has been implicated in follicular growth, ovulation, and placental development. So, aims of our study are to test the safety of eCG administered during pregnancy and characterize the ovarian activity, the quality of oocytes, the hormonal status, and interleukin levels in eCG-treated pregnant cows.",M1
19703990,"Gonadotropin stimulation increases the expression of angiotensin-(1--7) and MAS receptor in the rat ovary.We have previously shown the presence of immunoreactive angiotensin-(1-7) [Ang-(1-7)] in rat ovary homogenate and its stimulatory effect on estradiol and progesterone production in vitro. In the current study, we investigated the presence and cellular distribution of Ang-(1-7) and the Mas receptor, the expression of Mas and angiotensin-converting enzyme 2 (ACE2) messenger RNA (mRNA), and the enzymatic activity in the rat ovary following gonadotropin stimulation in vivo. Immature female Wistar rats (25 days old) were injected subcutaneously (SC) with equine chorionic gonadotropin (<e>eCG</e>, 20 IU in 0.2 mL) or vehicle 48 hours before euthanasia. Tissue distributions of Ang-(1-7), Mas receptor, and ACE2 were evaluated by immunohistochemistry, along with angiotensin II (Ang II) localization, while the mRNA expression levels of Mas receptor and ACE2 were evaluated by real-time polymerase chain reaction (PCR). In addition, we determined the activity of neutral endopeptidase (NEP), prolyl endopeptidase (PEP), and ACE by fluorometric assays. After eCG treatment, we found strong immunoreactivity for Ang-(1-7) and Mas primarily in the theca-interstitial cells, while Ang II appeared in the granulosa but not in the thecal layer. Equine chorionic gonadotropin treatment increased Mas and ACE2 mRNA expression compared with control animals (3.3- and 2.1-fold increase, respectively; P &lt; .05). Angiotensin-converting enzyme and NEP activities were lower, while PEP activity was higher in the eCG-treated rats (P &lt; .05). These data show gonadotropin-induced changes in the ovarian expression of Ang-(1-7), Mas receptor, and ACE2. These findings suggest that the renin-angiotensin system (RAS) branch formed by ACE2/Ang-(1-7)/Mas, fully expressed in the rat ovary and regulated by gonadotropic hormones, could play a role in the ovarian physiology.",M1
19559472,"Strategies to improve fertility in Bos indicus postpubertal heifers and nonlactating cows submitted to fixed-time artificial insemination.Two experiments were designed to evaluate strategies to increase fertility of Bos indicus postpubertal heifers and nonlactating cows submitted to a fixed-time artificial insemination (TAI) protocol consisting of an intravaginal device containing 1.9 g of progesterone (CIDR) insertion+estradiol benzoate on Day 0, CIDR withdrawal+estradiol cypionate on Day 9, and TAI on Day 11. In Experiment 1, heifers (n=1153) received a new or an 18-d previously used CIDR and, on Day 9, prostaglandin F(2 alpha) (PGF(2 alpha))+0, 200, or 300 IU equine chorionic gonadotropin (<e>eCG</e>). Heifers treated with a new CIDR had greater (least squares means+/-SEM) serum concentration of progesterone on Day 9 (3.06+/-0.09 ng/mL vs. 2.53+/-0.09 ng/mL; P&lt;0.05) and a smaller follicle at TAI (11.61+/-0.11 mm vs. 12.05+/-0.12 mm; P&lt;0.05). Heifers with smaller follicles at TAI had lesser serum progesterone concentrations on Day 18 and reduced rates of ovulation, conception, and pregnancy (P&lt;0.05). Treatment with eCG improved (P&lt;0.05) follicle diameter at TAI (11.50+/-0.10mm, 11.90+/-0.11 mm, and 12.00+/-0.10mm for 0, 100, and 200 IU, respectively), serum progesterone concentration on Day 18 (2.77+/-0.11 ng/mL, 3.81+/-0.11 ng/mL, and 4.87+/-0.11 ng/mL), and rates of ovulation (83.8%, 88.5%, and 94.3%) and pregnancy (41.3%, 47.0%, and 46.7%). In Experiment 2, nonlactating Nelore cows (n=702) received PGF(2 alpha) treatment on Days 7 or 9 and, on Day 9, 0 or 300 IU eCG. Cows receiving PGF(2 alpha) on Day 7 had lesser serum progesterone concentrations on Day 9 (3.05+/-0.21 ng/mL vs. 4.58+/-0.21 ng/mL; P&lt;0.05), a larger follicle at TAI (11.54+/-0.21 mm vs. 10.84+/-0.21 mm; P&lt;0.05), and improved (P&lt;0.05) rates of ovulation (85.4% vs. 77.0%), conception (60.9% vs. 47.2%), and pregnancy (52.0% vs. 36.4%). Treatment with eCG improved (P&lt;0.05) serum progesterone concentration on Day 18 (3.24+/-0.14 ng/mL vs. 4.55+/-0.14 ng/mL) and the rates of ovulation (72.4% vs. 90.0%) and pregnancy (37.5% vs. 50.8%). In conclusion, giving PGF(2 alpha) earlier in the protocol in nonlactating cows and eCG treatment in postpubertal heifers and nonlactating cows improved fertility in response to a TAI (progesterone+estradiol) protocol.",M1
19477500,"Progesterone concentrations, exogenous equine chorionic gonadotropin, and timing of prostaglandin F(2alpha) treatment affect fertility in postpuberal Nelore heifers.Two experiments were performed to test the hypothesis that elevated progesterone concentrations impair pregnancy rate to timed artificial insemination (TAI) in postpuberal Nelore heifers. In Experiment 1, postpuberal Nelore heifers (n=398) received 2mg estradiol benzoate (EB) and either a new progesterone-releasing intravaginal device containing 1.9g of progesterone (CIDR) (first use) or a CIDR previously used for 9 d (second use) or for 18 d (third use) on Day 0, 12.5mg prostaglandin F(2alpha) (PGF(2alpha)) on Day 7, 0.5mg estradiol cypionate (ECP) and CIDR withdrawal on Day 9, and TAI on Day 11. Largest ovarian follicle diameter was determined on Day 11. The third-use CIDR treatment increased largest ovarian follicle diameter and pregnancy rate. Conception to TAI was reduced in heifers with smaller follicles in the first- and second-use CIDR treatments, but not in the third-use CIDR treatment. In Experiment 2, postpuberal Nelore heifers received the synchronization treatment described in Experiment 1 or received 12.5mg PGF(2alpha) on Day 9 rather than Day 7. In addition, 50% of heifers received 300 IU equine chorionic gonadotropin (<e>eCG</e>) on Day 9. Heifers were either TAI (Experiment 2a; n=199) or AI after detection of estrus (Experiment 2b; n=125 of 202). In Experiment 2a, treatment with eCG increased pregnancy rate to TAI in heifers that received PGF(2alpha) on Day 9 but not on Day 7 and in heifers that received a first-use CIDR but not in heifers that received a third-use CIDR. Treatments did not influence reproductive performance in Experiment 2b. In summary, pregnancy rate to TAI in postpuberal Nelore heifers was optimized when lower concentrations of exogenous progesterone were administered, and eCG treatment was beneficial in heifers expected to have greater progesterone concentrations.",M1
19328472,"Intrabursal injection of vascular endothelial growth factor trap in <e>eCG</e>-treated prepubertal rats inhibits proliferation and increases apoptosis of follicular cells involving the PI3K/AKT signaling pathway.OBJECTIVE: To investigate the effects of local inhibition of vascular endothelial growth factor A (VEGFA) on proliferation and apoptosis of follicular cells in rat ovaries. To analyze the role of the PI3K/AKT signaling pathway on VEGFA effects. DESIGN: Experimental study. SETTING: Research laboratory. ANIMAL(S): Female Sprague Dawley rats, 21 days old, treated with equine chorionic gonadotropin (eCG). MAIN OUTCOME MEASURE(S): Follicular cell proliferation, apoptosis, and activation of the PI3K/AKT signaling pathway after intrabursal injection of a VEGFA inhibitor. RESULT(S): Inhibition of VEGFA leads to a decrease in the expression of the proliferation marker proliferating cell nuclear antigen (PCNA) in theca and granulosa cells (GC) and an increase in the activation of caspase 3 in antral follicles. Furthermore, we observed a decrease in the phosphorylation of RAC-alpha serine/threonine-protein kinase (AKT) and its target Bcl2 antagonist of cell death (BAD). No differences were found in the levels of kinase insert domain receptor (KDR) protein or in endothelial cell density. CONCLUSION(S): The VEGFA prevents apoptosis and stimulates proliferation of follicular cells, regulating follicular growth and development. The PI3K/AKT signaling pathway is one of the pathways involved in this mechanism. Therefore, VEGFA has a role as an antiapoptotic and proliferative factor in follicular cells from the rat ovary.",M1
19269685,"Effects of equine chorionic gonadotropin and type of ovulatory stimulus in a timed-AI protocol on reproductive responses in dairy cows.The objectives were to evaluate the effects of equine chorionic gonadotropin (<e>eCG</e>) supplementation (with or without eCG) and type of ovulatory stimulus (GnRH or ECP) on ovarian follicular dynamics, luteal function, and pregnancies per AI (P/AI) in Holstein cows receiving timed artificial insemination (TAI). On Day 0, 742 cows in a total of 782 breedings, received 2mg of estradiol benzoate (EB) and one intravaginal progesterone (P4) insert (CIDR). On Day 8, the CIDR was removed, and all cows were given PGF2 alpha and assigned to one of four treatments in a 2 x 2 factorial arrangement: (1) CG: GnRH 48 h later; (2) CE: ECP; (3) EG: eCG+GnRH 48 h later; (4) EE: eCG+ECP. There were significant interactions for eCG x ovulatory stimulus and eCG x BCS. Cows in the CG group were less likely (28.9% vs. 33.8%; P&lt;0.05) to become pregnant compared with those in the EG group (odds ratio [OR]=0.28). There were no differences in P/AI between CE and EE cows (30.9% vs. 29.1%; OR=0.85; P=0.56), respectively. Thinner cows not receiving eCG had lower P/AI than thinner cows receiving eCG (15.2% vs. 38.0%; OR=0.20; P&lt;0.01). Treatment with eCG tended to increase serum progestesterone concentrations during the diestrus following synchronized ovulation (P&lt;0.10). However, the treatment used to induce ovulation did not affect CL volume or serum progesterone concentrations. In conclusion, both ECP and GnRH yielded comparable P/AI. However, eCG treatment at CIDR removal increased pregnancy rate in cows induced to ovulate with GnRH and in cows with lower BCS.",M1
19202320,"Dexamethasone enhances fertility and preovulatory serum prolactin levels in <e>eCG</e>/hCG primed immature rats.Glucocorticoids have heterogeneous effects on reproductive function. We used a gonadotropin-primed, immature rat model to study the influence of dexamethasone (1 mg/kg), given during the latter stages of follicular development, on litter size, the number of oocytes released, and pituitary hormone levels. Dexamethasone-treated females released a larger number of oocytes at ovulation and gave birth to larger litters indicating the oocytes were viable. Survival to weaning age was not affected but average weight at weaning was lower for pups born to DEX-treated females. Serum FSH and LH were assayed at 12, 24 and 48 h following eCG and did not differ between dexamethasone-treated and control animals, but prolactin showed a prolonged pattern of elevation in DEX-treated females. Prolactin, which normally exhibits an elevation on proestrous, may modulate follicular development. Dexamethasone enhances fertility and fecundity possible through an effect of prolactin on follicle development, or by other direct effects on the ovary. These results may improve our understanding of the usefulness of DEX in assisted reproductive therapies for women.",M1
