DocID,Title,WikiID,In,Out
1,Dennis Sullivan,7349608,,"Ph.D.;philosophiae doctor
MIT;massachusetts institute of technology
B.A.;bachelor of arts"
2,Cray MTA,25458359,,"MTA;multi-threaded architecture
OS;operating system
T3E;toxicomanie europe echanges etudes
CPU;central processing unit
ALU;arithmetic logic unit
FORTRAN;formula translation"
3,Azubu,53159565,,"eSports;electronic sports
CJ;cheil jedang
USD;united states dollar
T1;team one
CEO;chief executive officer
SKT;sk telecom"
4,Digital citizen,20726862,"MSD;marjory stoneman douglas
FTC;federal trade commission
U.S.;united states
IT;information technology","B2C;business-to-consumer
NTIA;national telecommunications and information administration
TV;television
ICT;information and communications technology
OECD;organisation for economic co-operation and development
ISP;internet service provider
ACT;american college testing
eIDs;electronic identifications
K-12;kindergarten-twelve
B2B;business-to-business"
5,Get Online Week,28686799,,"MLA;museums, libraries and archives council
ICT;information and communications technology
BT;british telecom
BBC;british broadcasting corporation
UK;united kingdom
EE;everything everywhere"
6,Flash memory emulator,33810267,FET;flash emulation tool,"IP;intellectual property
TI;texas instruments
MSP430;mixed signal processor 430
PC;personal computer
RAM;random-access memory
ROM;read-only memory"
7,InterMapper,22881511,,"CPU;central processing unit
SNMP;simple network management protocol
http;hypertext transfer protocol
IP;internet protocol"
8,Ecological indicator,4833901,"OSS;observatoire du sahara et du sahel
CCD;convention to combat desertification
ROSELT;réseau d'observatoires du sahara et du sahel",
9,STC104,51050694,,"HCMOS4;high-density cmos four
Mbit/s;megabit per second
mm;millimetre
SGS-Thomson;società generale semiconduttori-thomson
DS-Link;data strobe link
CMOS;complementary metal–oxide–semiconductor
Mhz;megahertz
MIMD;multiple instruction, multiple data
W;watt"
10,History of computer animation,30797574,"US;united states
AMAS;academy of machinima arts & sciences
CGI;computer-generated imagery
MIT;massachusetts institute of technology
CGL;computer graphics laboratory
NBS;national bureau of standards
ACM;association for computing machinery
NYIT;new york institute of technology
CA;california
SD;standard definition
IRIS;integrated raster imaging system
RGB;red, green & blue
DVE;digital video effect
NUK;nippon univac kaisha
Lab;laboratory
DRAM;dynamic random-access memory
SGI;silicon graphics, inc
JPL;jet propulsion laboratory
CAPS/ink;computer animation production system ink
CG;computer graphics
AKA;also known as
NHK;nippon hoso kyokai
OSU;ohio state university
SICGRAPH;special interest committee on computer graphics
ARPA;advanced research projects agency
NFBC;national film board of canada
Beflix;bell flicks
IEEE;institute of electrical and electronics engineers
ILM;industrial light & magic
SUN;stanford university network
SEAC;standards eastern automatic computer
TV;television
MOS;metal-oxide-semiconductor
Mocap;motion capture","APT;advanced production technologies
BESK;binär elektronisk sekvenskalkylator
Antics;animated technicolor-image computer system
RISC;reduced instruction set computer
NFB;national film board
VLSI;very large-scale integration
UK;united kingdom
DVM8000/1;digital video manipulator 8000/1
USC;university of southern california
AMPAS;academy of motion picture arts and sciences
APT;automatically programmed tool
BESM-4;bolshaya elektronno-schetnaya mashina-4
BBC;british broadcasting corporation
2D;two dimensions
3D;three dimensions
VAX;virtual address extension
DSV;deep submergence vehicle
NASA;national aeronautics and space administration
RF;radio frequency
CD;compact disk
PARC;palo alto research center
CPB;corporation for public broadcasting
DFS;digital framestore synchroniser
LEDs;light emitting diodes
2-D;two dimensions
VTR;video tape recorder
MB;megabyte
CAD;computer-aided design
DC;district capital
SIGGRAPH;special interest group on computer graphics and interactive techniques
4D;four dimensions
IMAX;image maximum
USA;united states of america
3-D;three dimensions
NTSC;national television system committee"
11,DU Ad Platform,50789048,Ad;advertising,"SDK;software development kit
Inc;incorporated"
12,OCCAID,9631095,OCCAID;open contributors corporation for advanced internet development,IPv6;internet protocol version six
13,Dōkyūsei 2,1271969,,
14,Web hosting service,157465,"SSL;secure sockets layer
SLA;service level agreement
DDoS;distributed denial of service
VPS;virtual private server
LAMP;linux, apache, mysql, and php/perl/python
ISPs;internet service providers
FTP;file transfer protocol","USENET;unix user network
RAM;random access memory
ASP;active server page
DNS;domain name system
URL;uniform resource locator
PHP;php hypertext preprocessor
MySQL;my structured query language
PC;personal computer
email;electronic mail
IP;internet protocol
TCP;transmission control protocol
CPU;central processing unit"
15,Alibaba Cloud,51100188,"PB;petabyte
IaaS;infrastructure as a service
CDN;content delivery networks
RDBMS;relational database management system
OLAP;online analytical processing
DAG;directed acyclic graph
SUSS;singapore university of social sciences","TPC-DS;transaction processing performance council decision support
IoT;internet of things
US;united states
SaaS;software as a service
MySQL;my structured query language
PolarFS;polar file system
DBaaS;database as service
TPC;transaction processing performance council
POLARDB;polar data base
VLDB;very large data bases
e-commerce;electronic commerce
AnalyticDB;analytic data base
OOS;object storage service
vCPUs;virtual central processing units
SIGMOD;special interest group on management of data
PaaS;platform as a service
GB;gigabyte
TB;terabyte
C5;cloud computing compliance controls catalog
Aug.;august
Anti-DDoS;anti-distributed denial of service
PostgreSQL;postgre structured query language"
16,Partition (database),1983101,,
17,Location transparency,1959320,,
18,Rugged smartphone,61537795,,"M;meter
C;celcius
cm;centimeter
L/min;liters per minute
IP;ingress protection
MIL-STD-810G;military-standard-810g
U.S.;united states
IEC;international electrotechnical commission
psi;pound force per square inch"
19,Relay network,24711058,TOR;the onion router,e.g.;exempli gratia
20,Information and communications technology in agriculture,10552308,"GKP;global knowledge partnership
IFAD;international fund for agricultural development
FAO-ITU;food and agriculture organization-international telecommunication union
UNDESA;united nations department of economic and social affairs
ITU;international telecommunication union
ODI;overseas development institute
GIS;geographic information system
IICA;inter-american institute for cooperation on agriculture
UN;united nations
IICD;international centre for communication for development
ICTs;information and communications technologies
DFID;department for international development
GFAR;global forum on agricultural research
WSIS;world summit on the information society
SMS;short message service
FAO;food and agriculture organization
GIZ;gesellschaft für internationale zusammenarbeit
NAL;national agricultural library
CTA;centre technique de coopération agricole et rurale
GiS;geographic information system
GPS;global positioning system
IAALD;international association of agricultural information specialists
CGIAR;consultative group on international agricultural research","e-agriculture;electronic agriculture
ICT;information and communications technology
RFID;radio-frequency identification
E-agriculture;electronic agriculture
UK;united kingdom
GAID;global alliance for information and communication technologies and development"
21,Outline of human–computer interaction,904443,HCI;human–computer interaction,
22,IRC services,487229,"IRC;internet relay chat
CS;chanserv","G-line;global line
K-line;kill line
IRCd;internet relay chat daemon
OpenNap;open-source napster
EFnet;eris-free network"
