DocID,Title,WikiID,U1 In,U1 Out,U2 In,U2 Out
1,Dennis Sullivan,7349608,,MIT;massachusetts institute of technology,,"B.A.;bachelor of arts
Ph.D.;philosophiae doctor
MIT;massachusetts institute of technology"
2,Cray MTA,25458359,,"CPU;central process unit
ALU;arithmetic logic unit
FORTRAN;formula translation
OS;operating system",,"ALU;arithmetic logic unit
T3E;toxicomanie europe echanges etudes
OS;operating system
FORTRAN;formula translation/translator (high-level programming language)
MTA;multi-threaded architecture
CPU;central processing unit"
3,Azubu,53159565,,"SKT;sk telecom
USD;united states dollar
CEO;chief executive officer
CJ;cheil jedang",,"CEO;chief executive officer
eSports;electronic sports
SKT;south korean telecom
T1;team one
USD;united states dollar"
4,Digital citizen,20726862,"MSD;marjory stoneman douglas
FTC;federal trade commission
IT;information technology","U.S;united states
eIDs;electronic identifications
ISP;internet service provider
B2C;business-to-consumer
ICT;information and communications technology
K-12;kindergarten to 12th grade
OECD;organisation for economic co-operation and development
NTIA;national telecommunications and information administration
B2B;business-to-business
ACT;american college testing","U.S.;united states
MSD;marjory stoneman douglas
FTC;federal trade commission
IT;information technology","ISP;internet service provider
B2C;business-to-consumer
ACT;american college testing
ICT;information and communications technology
TV;television
OECD;organisation for economic co-operation and development
NTIA;national telecommunications and information administration
B2B;business-to-business
K-12;k through twelve
eIDs;electronic identifications"
5,Get Online Week,28686799,,"MLA;museums, libraries and archives council
EE;everything everywhere
ICT;information and communications technology
UK;united kingdom
BBC;british broadcasting corporation
BT;british telecom",,"EE;everything everywhere
ICT;information and communications technology
UK;united kingdom
BBC;british broadcasting corporation
BT;british telecom
MLA;member of the legislative assembly"
6,Flash memory emulator,33810267,FET;flash emulation tool,"PC;personal computer
IP;intellectual property
TI;texas instruments
MSP430;mixed signal processor 430
ROM;read-only memory
RAM;random-access memory",FET;flash emulation tool,"IP;internet protocol
ROM;read-only memory
RAM;random-access memory
PC;personal computer"
7,InterMapper,22881511,,"IP;internet protocol
http;hypertext transfer protocol
SNMP;simple network management protocol
CPU;central process unit",,"IP;internet protocol
SNMP;simple network management protocol
CPU;central processing unit
HTTP;hypertext transfer protocol"
8,Ecological indicator,4833901,"ROSELT;réseau d'observatoires du sahara et du sahel
OSS;observatoire du sahara et du sahel
CCD;convention to combat desertification",,"ROSELT;réseau d'observatoires du sahara et du sahel
OSS;observatoire du sahara et du sahel
CCD;chemical control division",
9,STC104,51050694,,"DS-Link;data strobe link
SGS-Thomson;società generale semiconduttori thomson
DS-Link;data strobe link
MIMD;multiple instruction, multiple data
CMOS;complementary metal–oxide–semiconductor",,"HCMOS4;high-speed cmos
W;watt
Mbit/s;megabit per second
mm;millimetre
MIMD;multiple instruction, multiple data
CMOS;complementary metal–oxide–semiconductor
DS-Link;data strobe link
Mhz;megahertz
SGS-Thomson;società generale semiconduttori-thomson"
10,History of computer animation,30797574,"OSU;ohio state university
ILM;industrial light & magic
NBS;national bureau of standards
JPL;jet propulsion laboratory
MOS;metal-oxide-semiconductor
CGL;computer graphics laboratory
ARPA;advanced research projects agency
SGI;silicon graphics inc
CGI;computer-generated imagery
IEEE;institute of electrical and electronics engineers
DVE;digital video effect
CA;california
DRAM;dynamic random-access memory
SEAC;standards eastern automatic computer
MIT;massachusetts institute of technology
IRIS;integrated raster imaging system
NYIT;new york institute of technology
RGB;red blue green
TV;television
AMAS;academy of machinima arts & sciences
Lab;laboratory
CG;computer graphics
SUN;stanford university network
SD;standard definition
Beflix;bell flicks
ACM;association for computing machinery
SICGRAPH;special interest committee on computer graphics
DVM8000/1;digital video manipulator 8000/1","VAX;virtual address extension
MB;megabyte
NFB;national film board
NTSC;national television system committee
BESM-4;bolshaya elektronno-schetnaya mashina
APT;automatically programmed tool
CPB;corporation for public broadcasting
VTR;video tape recorder
UK;united kingdom
3D;3 dimensions
2D;two dimensions
Antics;animated technicolor-image computer system
4D;4 dimensions
NASA;national aeronautics and space administration
SIGGRAPH;special interest group on computer graphics and interactive techniques
VLSI;very large-scale integration
CAD;computer-aided design","OSU;ohio state university
ILM;industrial light & magic
Mocap;motion capture
NFBC;national film board of canada
NBS;national bureau of standards
JPL;jet propulsion laboratory
MOS;metal-oxide-semiconductor
CGL;computer graphics laboratory
ARPA;advanced research projects agency
CGI;computer-generated imagery
IEEE;institute of electrical and electronics engineers
DVE;digital video effect
CA;california
DRAM;dynamic random-access memory
SEAC;standards eastern automatic computer
MIT;massachusetts institute of technology
IRIS;integrated raster imaging system
SGI;silicon graphics, inc
NYIT;new york institute of technology
AKA;also known as
TV;television
US;united states
AMAS;academy of machinima arts & sciences
CG;computer graphics
RGB;red, green & blue
SUN;stanford university network
NHK;nippon hoso kyokai
SD;standard definition
ACM;association for computing machinery
NUK;nippon univac kaisha
SICGRAPH;special interest committee on computer graphics
CAPS/ink;computer animation production system ink","APT;advanced production technologies
BESM-4;bolshaya elektronno-schetnaya mashina 4
NASA;national aeronautics and space administration
2-D;two dimensions
CD;compact disk
PARC;palo alto research center
4D;four dimensions
USA;united states of america
BBC;british broadcasting corporation
CAD;computer-aided design
BESK;binär elektronisk sekvenskalkylator
VAX;virtual address extension,
VTR;video tape recorder
CPB;congress in the public broadcasting
3D;three dimensions
DSV;deep submergence vehicle
AMPAS;academy of motion picture arts and sciences
RISC;reduced instruction set computer
NFB;national film board of canada
RF;radio frequency
DC;district capital
UK;united kingdom
IMAX;image maximum
3-D;three dimensions
USC;university of southern california
DFS;digital framestore synchroniser
Antics;animated technicolor-image computer system
LEDs;light emitting diodes
DVM8000/1;digital video manipulator 8000/1"
11,DU Ad Platform,50789048,,"Inc;incorporated
SDK;software development kit",Ad;advertising,"SDK;software development kit
Inc;incorporation"
12,OCCAID,9631095,OCCAID;open contributors corporation for advanced internet development,IPv6;internet protocol version 6,OCCAID;open contributors corporation for advanced internet development,IPv6;internet protocol version 6
13,Dōkyūsei 2,1271969,,,,
14,Web hosting service,157465,"FTP;file transfer protocol
SSL;secure sockets layer
VPS;virtual private server
LAMP;linux apache mysql php
SLA;service lever agreement
ISP;internet service provider
DDoS;distributed denial of service","ASP;active server page
PC;personal computer
email;electronic mail
RAM;random access memory
DNS;domain name system
PHP;hypertext preprocessor
CPU;central process unit
IP;internet protocol
TCP;transmission control protocol
URL;uniform resource locator","FTP;file transfer protocol
SSL;secure sockets layer
VPS;virtual private server
LAMP;linux, apache, mysql, and php/perl/python
DDoS;distributed denial of service attack
SLA;service level agreement
ISPs;internet service providers","PC;personal computer
RAM;random access memory
DNS;domain name system
USENET;unix user network
IP;internet protocol
URL;uniform resource locator
CPU;central processing unit"
15,Alibaba Cloud,51100188,"IaaS;infrastructure as a service
RDBMS;relational database management system
SUSS;singapore university of social sciences
OLAP;online analytical processing
PB;petabyte
CDN;content delivery networks
DAG;directed acyclic graph","OOS;object storage
VLDB;very large data bases
C5;cloud computing compliance controls catalogue
DBaaS;database as a service
TPC;transaction processing performance council
e-commerce;electronic commerce
vCPUs;virtual central processing units
IoT;internet of things
GB;gigabyte
SIGMOD;special interest group on management of data
US;united states
SaaS;software as a service
Aug.;august
TB;terabyte
PaaS;platform as a service
TPC-DS;transaction processing performance council-decision support
Anti-DdoS;anti-distributed denial of service","RDBMS;relational database management system
SUSS;singapore university of social sciences
OLAP;online analytical processing
PB;petabyte
CDN;content delivery networks
DAG;directed acyclic graph
IaaS;infrastructure as a service","OOS;object storage
TPC;transaction processing performance council
VLDB;very large data base
e-commerce;electronic commerce
GB;gigabyte
SIGMOD;special interest group on management of data
US;united states
TB;terabyte
PaaS;platform as a service
DBaaS;database as service
SaaS;software as a service
IoT;internet of things
vCPUs;virtual central processing units"
16,Partition (database),1983101,,,,
17,Location transparency,1959320,,,,
18,Rugged smartphone,61537795,,"psi;pound force per square inch
C;celcius
IP;ingress protection
M;meter
IEC;international electrotechnical commission
cm;centimeter
U.S.;united states
L/min;liter per minute",,"IP;international protection
IEC;international electrotechnical commission"
