@RELATION C0001942_C0003779

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20336794,"A single nucleotide polymorphism in the alcohol dehydrogenase 7 gene (alanine to glycine substitution at amino acid 92) is associated with the risk of squamous cell carcinoma of the head and neck.BACKGROUND: The authors conducted a hospital-based study of 1110 patients with squamous cell carcinoma of the head and neck (SCCHN) and a control group of 1129 patients to replicate the associations reported by a recent, large European study between 2 potentially functional single nucleotide polymorphisms (SNPs) of the alcohol dehydrogenase (<e>ADH</e>) genes, a substitution in ADH1B at amino acid 48 from arginine to histidine (R48H) (reference SNP number [rs]1229984; guanine to adenine [G--&gt;A]) and a substitution in ADH7 at amino acid 92 from alanine to glycine (A92G) (rs1573496; cytosine to guanine [C--&gt;G]), and the risk of squamous cell carcinoma of the head and neck (SCCHN). METHODS: Multivariate logistic regression was used to calculate adjusted odds ratios (ORs) and 95% confidence intervals (CIs). False-positive report probabilities (FPRPs) also were calculated for significant findings. RESULTS: The ADH7 A92G GG and combined CG + GG genotypes were associated with a decreased risk of SCCHN (GG: adjusted OR, 0.32; 95% CI, 0.13-0.82; CG + GG: adjusted OR, 0.74; 95% CI, 0.59-0.94; FPRP, .098) compared with the CC genotype. This association was also evident in subgroups of older patients (aged &gt;57 years), men, former smokers, patients with oral cancer, and patients with N) lymph node status (P &lt; .05 for all); however, such associations were not observed for the ADH1B R48H SNP. CONCLUSIONS: The current results support the ADH7 A92G SNP as a marker for the risk of SCCHN in non-Hispanic white populations.",M1
20204218,"Biocatalysed concurrent production of enantioenriched compounds through parallel interconnected kinetic asymmetric transformations.Parallel interconnected kinetic asymmetric transformations were performed in order to obtain enantioenriched derivatives starting from a set of racemic or prochiral compounds. Thus, in a one-pot reaction using two redox biocatalysts (a BVMO and an <e>ADH</e>) and a catalytic amount of cofactor that acts as a mediator, enantioenriched ketones, sulfoxides, and sec-alcohols were concurrently obtained in a strict parallel way, minimising the quantity of reagents employed. By selecting the appropriate biocatalysts, this methodology represents a potential tool for performing stereodivergent transformations.",M1
20193044,"Inhibition kinetics of catabolic dehydrogenases by elevated moieties of ATP and ADP--implication for a new regulation mechanism in Lactococcus lactis.ATP and ADP inhibit, in varying degrees, several dehydrogenases of the central carbon metabolism of Lactococcus lactis ATCC 19435 in vitro, i.e. glyceraldehyde-3-phosphate dehydrogenase (GAPDH), lactate dehydrogenase (LDH) and alcohol dehydrogenase (<e>ADH</e>). Here we demonstrate mixed inhibition for GAPDH and competitive inhibition for LDH and ADH by adenine nucleotides in single inhibition studies. The nonlinear negative co-operativity was best modelled with Hill-type kinetics, showing greater flexibility than the usual parabolic inhibition equation. Because these natural inhibitors are present simultaneously in the cytoplasm, multiple inhibition kinetics was determined for each dehydrogenase. For ADH and LDH, the inhibitor combinations ATP plus NAD and ADP plus NAD are indifferent to each other. Model discrimination suggested that the weak allosteric inhibition of GAPDH had no relevance when multiple inhibitors are present. Interestingly, with ADH and GAPDH the combination of ATP and ADP exhibits lower dissociation constants than with either inhibitor alone. Moreover, the concerted inhibition of ADH and GAPDH, but not of LDH, shows synergy between the two nucleotides. Similar kinetics, but without synergies, were found for horse liver and yeast ADHs, indicating that dehydrogenases can be modulated by these nucleotides in a nonlinear manner in many organisms. The action of an elevated pool of ATP and ADP may effectively inactivate lactococcal ADH, but not GAPDH and LDH, providing leverage for the observed metabolic shift to homolactic acid formation in lactococcal resting cells on maltose. Therefore, we interpret these results as a regulation mechanism contributing to readjusting the flux of ATP production in L. lactis.",M1
20188915,"Metal-protein binding losses in proteomic studies by PAGE-LA-ICP-MS.Some experiments to study the influence of electrophoresis conditions and subsequent LA-ICP-MS (laser ablation-inductively coupled plasma mass spectrometry) determination of two metal-binding proteins with different metal-protein affinities (superoxide dismutase, containing Cu and Zn, and alcohol dehydrogenase, containing Zn) are performed. In metal-binding proteins with weak metal-protein affinities, metal losses can happen during electrophoretic separation. It has been demonstrated that the detection of these metals bound to the proteins depends, not only on the nature of the electrophoretic process (naturing or non-denaturing) and post-separation gel treatment, but also on the trailing ion chosen and current applied in the electrophoretic method used. Non-denaturing methods are preferred to denaturing ones in the case of alcohol dehydrogenase being BN-PAGE (Blue Native-Polyacrylamide Gel Electrophoresis) with the use of Tricine as trailing ion the most recommended method. The concentration obtained for Zn in <e>ADH</e> applying BN-PAGE-LA-ICP-MS was 2.6+/-0.30 mg g(-1) very close to the one obtained for ADH solution by ICP-MS (3+/-0.23 mg g(1)). For superoxide dismutase either denaturing or non-denaturing electrophoresis conditions can be used, but a denaturing method based on the use of Tricine as trailing ion is recommended to preserve metals-protein binding when the use of non-denaturing conditions must be avoided. The found concentration for Cu and Zn in SOD after applying SDS-Tris-Tricine-PAGE-LA-ICP-MS was 2.5+/-0.33 and 2.4+/-0.37 mg g(-1) respectively, more or less close (especially for Cu) to the one obtained in SOD solution by ICP-MS (3+/-0.21 and 3.7+/-0.32 mg g(-1) for Cu and Zn). We observe that as higher current is applied the possibility of metal-protein binding losses is higher. In all cases staining of the gel prior to LA-ICP-MS is not recommended.",M1
20158305,"Associations between <e>ADH</e> gene variants and alcohol phenotypes in Dutch adults.Recently, Macgregor et al. (2009) demonstrated significant associations of ADH polymorphisms with reactions to alcohol and alcohol consumption measures in an Australian sample. The aim of the present study was to replicate these findings in a Dutch sample. Survey data on alcohol phenotypes came from 1,754 unrelated individuals registered with the Netherlands Twin Register. SNPs in the ADH gene cluster located on chromosome 4q (n = 491) were subdivided in seven gene sets: ADH5, ADH4, ADH6, ADH1A, ADH1B, ADH1C and ADH7. Within these sets associations of SNPs with alcohol consumption measures, age at onset variables, reactions to alcohol and problem drinking liability were examined. Of the original 38 SNPs studied by Macgregor et al. (2009), six SNPs were not available in our dataset, because one of them had a minor allele frequency &lt; .01 (rs1229984) and five could not be imputed. The remaining SNP associations with alcohol phenotypes as identified by Macgregor et al. (2009) were not replicated in the Dutch sample, after correcting for multiple genotype and phenotype testing. Significant associations were found however, for reactions to alcohol with a SNP in ADH5 (rs6827292, p = .001) and a SNP just upstream of ADH5 (rs6819724, p = .0007) that is in strong LD with rs6827292. Furthermore, an association between age at onset of regular alcohol use and a SNP just upstream of ADH7 (rs2654849, p = .003) was observed. No significant associations were found for alcohol consumption and problem drinking liability. Although these findings do not replicate the earlier findings at the SNP level, the results confirm the role of the ADH gene cluster in alcohol phenotypes.",M1
20148520,"The membrane-bound quinohemoprotein alcohol dehydrogenase from Gluconacetobacter diazotrophicus PAL5 carries a [2Fe-2S] cluster.Gluconacetobacter diazotrophicus stands out among the acetic acid bacteria as it fixes dinitrogen and is a true endophyte. It has a set of constitutive enzymes to oxidize ethanol and acetaldehyde which is upregulated during N(2)-dependent growth. The membrane-bound alcohol dehydrogenase (<e>ADH</e>) is a heterodimer (subunit I approximately 72 kDa, subunit II approximately 44 kDa) and constitutes an important component of this organism. ADH of Ga. diazotrophicus is a typical quinohemoprotein with one pyrroloquinoline quinone (PQQ) and four c-type cytochromes. For the first time, a [2Fe-2S] cluster has been identified by EPR spectroscopy in this type of enzyme. This finding is supported by quantitative chemical analysis, revealing 5.90 +/- 0.15 Fe and 2.06 +/- 0.10 acid-labile sulfurs per ADH heterodimer. The X-band EPR spectrum of ADH (as isolated in the presence of dioxygen, 20 K) showed three broad resonances at g 2.007, 1.941, and 1.920 (g(av) 1.956), as well as an intense narrow line centered at g = 2.0034. The latter signal, which was still detected at 100 K, was attributed to the PQQ semiquinone radical (PQQ(sq)). The broad resonances observed at lower temperature were assigned to the [2Fe-2S] cluster in the one-electron reduced state. The oxidation-reduction potentials E(m) (pH 6.0 vs SHE) of the four c-type cytochromes were estimated to E(m1) = -64 (+/-2) mV, E(m2) = -8 (+/-2) mV, E(m3) = +185 (+/-15) mV, and E(m4) = +210 (+/-10) mV (spectroelectrochemistry), E(mFeS) = -250 (+/-5) mV for the [2Fe-2S] cluster, and E(mPQQ) = -210 (+/-5) mV for the PQQ/PQQH(2) couple (EPR spectroscopy). We propose a model for the membrane-bound ADH of Ga. diazotrophicus showing hypothetical intra- and intermolecular electron pathways. Subunit I binds the PQQ cofactor, the [2Fe-2S] cluster, and one c-type cytochrome. Subunit II harbors three c-type cytochromes, thus providing an efficient electron transfer route to quinones located in the cytoplasmic membrane.",M1
20141418,"Oikopleura dioica alcohol dehydrogenase class 3 provides new insights into the evolution of retinoic acid synthesis in chordates.Enzymes that synthesize retinoic acid (RA) constitute the first level of regulation of RA action. In vertebrates, enzymes of the medium-chain alcohol dehydrogenase (MDR-<e>Adh</e>) family catalyze the first step of the RA synthetic pathway by oxidizing retinol. Among MDR-Adh enzymes, Adh3 is the only member present in non-vertebrates, and whether Adh3 is actually involved in RA biosynthesis remains uncertain. Here, we investigate the MDR-Adh family in Oikopleura dioica, a urochordate representing the sister group to vertebrates. Oikopleura is of special interest because it has lost the classical RA role in development, which relaxed evolutionary constraints to preserve the RA-genetic machinery, leading to the loss of RA-system components. The hypothesis that Adh3 plays a role in RA synthesis predicts that the relaxation of selection in Oikopleura should have led to the loss of Adh3, or changes in residues related to retinol oxidation. The hypothesis also predicts changes in the expression pattern of Oikopleura Adh3 compared to other chordates that preserved RA-signaling. Our results, however, revealed the presence of a highly conserved Adh3 gene in Oikopleura, with no significant changes in functional residues. Our results also revealed that the Oikopleura Adh3 expression remains unchanged in comparison to other non-vertebrate chordates, restricted to specific compartments of the digestive system. Because Adh3 has been highly conserved in an animal that has dismantled the RA system, we conclude that Adh3 preservation is not due to a conserved role in RA synthesis. Thereby, if Adh3 plays a role in RA synthesis in vertebrates, it might be a lineage-specific neofunctionalization.",M1
20116195,"The role of ethanol metabolism in development of alcoholic steatohepatitis in the rat.The importance of ethanol metabolism in the development of alcoholic liver disease remains controversial. The present study examined the effects of selective inhibition of the cytochrome P450 enzyme CYP2E1 compared with the inhibition of overall ethanol metabolism on the development of alcoholic steatohepatitis. Adult male Sprague-Dawley rats were fed via total enteral nutrition for 45 days with or without 10-12g/kg/d ethanol. Some groups were given 200mg/kg/d of the CYP2E1 inhibitor diallyl sulfide (DAS). Other groups were treated with 164mg/kg/d of the alcohol dehydrogenase (<e>ADH</e>) inhibitor 4-methylpyrazole (4-MP) and dosed at 2-3g/kg/d ethanol to maintain similar average urine ethanol concentrations. Liver pathology scores and levels of apoptosis were elevated by ethanol (P&lt;.05) but did not differ significantly on cotreatment with DAS or 4-MP. However, liver triglycerides were lower when ethanol-fed rats were treated with DAS or 4-MP (P&lt;.05). Serum alanine aminotransferase values were significantly lower in ethanol-fed 4-MP-treated rats indicating reduced necrosis. Hepatic oxidative stress and the endoplasmic reticulum (ER) stress marker tribbles-related protein 3 were increased after ethanol (P&lt;.05); further increased by DAS but partly attenuated by 4-MP. Both DAS and 4-MP reversed ethanol increases in the cytokine, tumor necrosis factor-alpha (TNF-alpha), and the chemokine CXCL-2 (P&lt;.05). However, neither inhibitors prevented ethanol suppression of interleukins IL-4 or IL-12. Moreover, neither inhibitors prevented ethanol increases in tumor growth factor-beta mRNA. Ethanol and DAS additively induced hepatic hyperplasia (P&lt;.05). These data suggest that a significant proportion of hepatic injury after ethanol exposure is independent of alcohol metabolism. Ethanol metabolism by CYP2E1 may be linked in part to triglyceride accumulation, to induction of TNF-alpha, and to chemokine production. Ethanol metabolism by ADH may be linked in part to oxidative and ER stress and necrotic injury.",M1
20090911,"Alcohol dehydrogenase accentuates ethanol-induced myocardial dysfunction and mitochondrial damage in mice: role of mitochondrial death pathway.OBJECTIVES: Binge drinking and alcohol toxicity are often associated with myocardial dysfunction possibly due to accumulation of the ethanol metabolite acetaldehyde although the underlying mechanism is unknown. This study was designed to examine the impact of accelerated ethanol metabolism on myocardial contractility, mitochondrial function and apoptosis using a murine model of cardiac-specific overexpression of alcohol dehydrogenase (<e>ADH</e>). METHODS: ADH and wild-type FVB mice were acutely challenged with ethanol (3 g/kg/d, i.p.) for 3 days. Myocardial contractility, mitochondrial damage and apoptosis (death receptor and mitochondrial pathways) were examined. RESULTS: Ethanol led to reduced cardiac contractility, enlarged cardiomyocyte, mitochondrial damage and apoptosis, the effects of which were exaggerated by ADH transgene. In particular, ADH exacerbated mitochondrial dysfunction manifested as decreased mitochondrial membrane potential and accumulation of mitochondrial O(2) (*-). Myocardium from ethanol-treated mice displayed enhanced Bax, Caspase-3 and decreased Bcl-2 expression, the effect of which with the exception of Caspase-3 was augmented by ADH. ADH accentuated ethanol-induced increase in the mitochondrial death domain components pro-caspase-9 and cytochrome C in the cytoplasm. Neither ethanol nor ADH affected the expression of ANP, total pro-caspase-9, cytosolic and total pro-caspase-8, TNF-alpha, Fas receptor, Fas L and cytosolic AIF. CONCLUSIONS: Taken together, these data suggest that enhanced acetaldehyde production through ADH overexpression following acute ethanol exposure exacerbated ethanol-induced myocardial contractile dysfunction, cardiomyocyte enlargement, mitochondrial damage and apoptosis, indicating a pivotal role of ADH in ethanol-induced cardiac dysfunction possibly through mitochondrial death pathway of apoptosis.",M1
20078057,"Pharmacophore mapping via cross-relaxation during adiabatic fast passage.A novel NMR method is demonstrated for the investigation of protein ligand interactions. In this approach an adiabatic fast passage pulse, i.e. a long, weak pulse with a linear frequency sweep, is used to probe (1)H-(1)H NOEs. During the adiabatic fast passage the effective rotating-frame NOE is a weighted average of transverse and longitudinal cross-relaxation contributions that can be tuned by pulse power and frequency sweep rate. It is demonstrated that the occurrence of spin diffusion processes leads to sizable deviations from the theoretical relationship between effective relaxation rate and effective tilt angle in the spin lock frame and can be used to probe protein-ligand binding. This methodology comprises high sensitivity and ease of implementation. The feasibility of this technique is demonstrated with two protein complexes, vanillic acid bound to the quail lipocalin Q83 and NAD(+) and AMP binding to alcohol dehydrogenase (<e>ADH</e>).",M1
