@RELATION C0085298_C0002895

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20417344,"The risk of cardiovascular events during leisure time activities at altitude.Annually, more than 100 million tourists are attracted by the mountainous areas around the world. On the one hand, leisure time activities at altitude may well contribute to the well-established beneficial effects of exercise; on the other hand, these activities are also associated with a relatively high risk of death. Sudden cardiac death (<e>SCD</e>) is the most frequent cause of nontraumatic death in males older than 34 years at altitude during leisure time activities such as downhill skiing and hiking. Whereas prior myocardial infarction is the most important risk factor for SCD, particularly relevant in downhill skiers, the unusual physical activity during the first days at altitude and the prolonged abstinence from food and fluid intake during exercise at altitude are the most important triggers. Unaccustomed physical activity seems more likely to trigger SCD than altitude per se. The detection of subjects at risk, evidence-based therapy, and advice on adequate behavior during the altitude sojourn will help to prevent SCD and to increase the health benefits generated by mountaineering activities.",M1
20384763,"Too long or too short? New insights into abnormal cardiac repolarization in people with chronic epilepsy and its potential role in sudden unexpected death.SUMMARY: Sudden unexpected death in epilepsy (SUDEP) is probably caused by periictal cardiorespiratory alterations such as central apnea, bradyarrhythmia, and neurogenic pulmonary edema. These alterations may occur in people with epilepsy and vary in duration and severity. Seizure-related ventricular tachyarrhythmias have also been hypothesized to be involved in SUDEP, but compelling evidence of these, or of predisposition to these, is lacking. Ventricular tachyarrhythmias are facilitated by pathologic cardiac repolarization. Electrocardiography (ECG) indicators of pathologic cardiac repolarization, such as prolongation or shortening of QT intervals as well as increased QT dispersion, are established risk factors for life-threatening tachyarrhythmia and sudden cardiac death (SDC). Abnormalities in cardiac repolarization have recently been described in people with epilepsy. Importantly, periictal ventricular tachycardia and fibrillation have also been reported in the absence of any underlying cardiac disease. Therefore, pathologic cardiac repolarization could promote <e>SCD</e> in people with epilepsy and could be one plausible cause for SUDEP. Herein, we review abnormal cardiac repolarization in people with epilepsy, describe the putative contribution of antiepileptic drugs, and discuss the potential role of pathologic cardiac repolarization in SUDEP. Based on these, measures to reduce the risk of or prevent SUDEP may include antiarrhythmic medication and implantation of cardiac combined pacemaker-defibrillator devices.",M1
20375931,"Sudden cardiac death in a 20-year-old male swimmer.In young adults, hypertrophic obstructive cardiomyopathy (HOCM) is an acknowledged risk factor for sudden cardiac death (<e>SCD</e>) in an otherwise healthy and active patient. While the incidence of SCD in young people is not high enough for extensive, wide-scale examinations, the potential for prevention of some deaths via pre-exercise imaging may be beneficial in certain patient populations, such as those with a family history of SCD or professional athletes. We present the case of a healthy 20-year-old man with no past medical history who died while swimming in a river, likely secondary to cardiac arrest in the setting of HOCM.",M1
20362726,"Predictors for short-term progressive heart failure death in New York Heart Association II patients implanted with a cardioverter defibrillator--the EVADEF study.BACKGROUND: Sudden cardiac death (<e>SCD</e>) is the predominant cause of mortality in patients with mild heart failure (HF). This 2-year follow-up, multicenter, cohort study aimed to assess the extent to which implantable cardioverter defibrillators (ICDs), by reducing SCD, lead to predominant progressive HF death in mildly symptomatic HF patients at baseline in daily medical practice. METHODS: Between June 2001 and June 2003, 1,030 New York Heart Association II patients received an ICD in 22 French centers. Sudden cardiac death and progressive HF mortality rates were assessed using competing risk methodology, and predictors for progressive HF at baseline were tested in a multivariate regression model. RESULTS: During a mean follow-up of 22 +/- 6 months, 114 deaths occurred: 12 (10.5%) due to SCD and 52 (45.6%) due to progressive HF (24-month cause-specific mortality rates of 1.2% [95% CI 0.6-1.9] and 5.4% [95% CI 4.0-6.8], respectively). Diuretics use (hazard ratio [HR] 2.8, 95% CI 1.5-5.5, P = .002), history of atrial fibrillation (HR 2.09, 95% CI 1.2-3.65, P = .01), and low ejection fraction (HR 2.7, 95% CI 1.4-4.8, P = .0008) were independent predictors for progressive HF death, whereas beta-blocker therapy was a protector (HR 0.6, 95% CI 0.3-0.9, P = .04). Half of the patients (48%) who died from progressive HF within 2 years of ICD implant initially presented with enlarged QRS (&gt; or =120 milliseconds). CONCLUSIONS: Because of ICD efficiency, progressive HF is the main cause of death within 2 years of implant, although these patients are only mildly symptomatic at implantation. In addition to optimal pharmacologic therapy, these results raise the question of systematically implanting ICDs with cardiac resynchronization therapy in patients with electrical asynchronism at baseline.",M1
20233980,"Cystatin C and sudden cardiac death risk in the elderly.BACKGROUND: Recent studies have demonstrated an association between moderate kidney dysfunction and sudden cardiac death in people with cardiovascular disease. METHODS AND RESULTS: The study was a longitudinal analysis among 4465 participants from the Cardiovascular Health Study without prevalent cardiovascular disease at baseline. Cystatin C and creatinine were measured from baseline sera. Sudden cardiac death (<e>SCD</e>) was defined as a sudden pulseless condition from a cardiac origin in a previously stable individual that occurred out of the hospital or in the emergency room. The association between cystatin C tertiles and SCD was determined with multivariate Cox proportional hazards. A similar analysis compared SCD incidence across creatinine-based estimated glomerular filtration rate (eGFR) tertiles. Over a median follow-up of 11.2 years, 91 adjudicated SCD events occurred. The annual incidence of SCD events increased across cystatin C tertiles: 10 events per 10 000 person years in tertile 1, 25 events per 10 000 person years in tertile 2, and 32 events per 10 000 person-years in the highest cystatin C tertile. These associations persisted after multivariate adjustment: hazards ratio=2.72; 95% confidence interval, 1.44 to 5.16 in tertile 2 and hazards ratio=2.67; 95% confidence interval, 1.33 to 5.35 in tertile 3. After multivariate adjustment, the rate of SCD also increased in a linear distribution across creatinine-based eGFR tertiles: 15 events per 10 000 person-years in tertile 1, 22 events per 10 000 person-years in tertile 2, and 27 events per 10 000 person-years in tertile 3. No significant associations, however, remained between creatinine-based eGFR and SCD after multivariable adjustment. CONCLUSIONS: Impaired kidney function, as measured by cystatin C, has an independent association with SCD risk among elderly persons without clinical cardiovascular disease.",M1
20212277,"Modeled economic evaluation of alternative strategies to reduce sudden cardiac death among children treated for attention deficit/hyperactivity disorder.BACKGROUND: Stimulants are widely used to treat children with attention deficit/hyperactivity disorder and may increase the risk for sudden cardiac death (<e>SCD</e>). We examined the cost-effectiveness of pretreatment screening with ECG for reducing SCD risk in children diagnosed with attention deficit/hyperactivity disorder who are candidates for stimulant medication. Method and Results- We constructed a state-transition Markov model with 10 annual cycles spanning 7 to 17 years of age. Taking a societal perspective, we compared the cost-effectiveness of 3 screening strategies: (1) performing a history and physical examination with cardiology referral if abnormal (current standard of care); (2) performing a history and physical examination plus ECG after negative history and physical examination, with cardiology referral if either is abnormal; and (3) performing a history and physical examination plus ECG, with cardiology referral only if ECG is abnormal. Children identified with SCD-associated cardiac abnormalities would be restricted from stimulants and from playing competitive sports. The expected incremental cost-effectiveness over strategy 1 was $39,300 and $27,200 per quality-adjusted life-year for strategies 2 and 3, respectively. Monte Carlo simulation found that the chance of incremental cost-effectiveness was 55% for strategy 2 and 71% for strategy 3 (willingness to pay &lt; or =$50,000 per quality-adjusted life-year). Both strategies 2 and 3 would avert 13 SCDs per 400,000 children seeking stimulant treatment for ADHD, for a cost of $1.6 million per life for strategy 2 and $1.2 million per life for strategy 3. CONCLUSIONS: Relative to current practice, adding ECG screening to history and physical examination pretreatment screening for children with attention deficit/hyperactivity disorder has borderline cost-effectiveness for preventing SCD. Relative cost-effectiveness may be improved by basing cardiology referral on ECG alone. Benefits of ECG screening arise primarily by restricting children identified with SCD risk from competitive sports.",M1
20210726,"QT alterations in psychopharmacology: proven candidates and suspects.Psychotropics are among the most common causes of drug induced acquired long QT syndrome. Blockage of Human ether-a-go-go-related gene (HERG) potassium channel by psychoactive drugs appears to be related to this adverse effect. Antipsychotics such as haloperidol, thioridazine, sertindole, pimozide, risperidone, ziprasidone, quetiapine, olanzapine and antidepressants such as amitriptyline, imipramine, doxepin, trazadone, fluoxetine depress the delayed rectifier potassium current (IKr) in a dose dependent manner in experimental models. The frequency of QTc prolongation (more than 456 ms) in psychiatric patients is estimated to be 8%. Age over 65 years, tricyclic antidepressants (TCA), thioridazine, droperidol, olanzapine, and higher antipsychotic doses were predictors of significant QTc prolongation. In large epidemiological controlled studies a dose dependent increased risk of sudden death has been identified in current users of antipsychotics (conventional and atypical) and of TCA. Thioridazine and haloperidol shared a similar relative risk of <e>SCD</e>. Lower doses of risperidone had a higher relative risk than haloperidol for cardiac arrest and ventricular arrhythmia. No increased risk was identified in current users of selective serotonin reuptake inhibitors (SSRI). Cases of TdP have been reported with thioridazine, haloperidol, ziprazidone, olanzapine and TCA. Evidence of QTc prolongation with sertindole is significant and this drug has not been approved by the Food and Drugs Administration (FDA). A large trial is ongoing to evaluate the cardiac risk profile of ziprazidone and olanzapine. Selective serotonin reuptake inhibitors have been associated with QTc prolongation but no cases of TdP have been reported with the use of these agents. There are no reported cases of lithium induced TdP. Risk factors for drug induced LQT syndrome and TdP include: female gender, concomitant cardiovascular disease, substance abuse, drug interactions, bradychardia, electrolyte disorders, anorexia nervosa, and congenital Long QT syndrome. Careful selection of the psychotropic and identification of patient's risk factors for QTc prolongation is applicable in current clinical practice.",M1
20196976,"N-3 fatty acids and cardiac autonomic function in humans.Studies suggest that marine n-3 polyunsaturated fatty acids (PUFA) offer some protection against sudden cardiac death (<e>SCD</e>). The autonomic nervous system is involved in the pathogenesis of SCD and due to the fact that n-3 PUFA is abundant in the brain and other nervous tissue it is likely that n-3 PUFA might modulate autonomic control of the heart. Heart rate variability (HRV) is a non-invasive marker of cardiac autonomic function and an attenuated HRV is a predictor for SCD and arrhythmic events. Studies on HRV and n-3 PUFA have been performed in several populations such as patients with ischaemic heart disease, patients with diabetes mellitus, patients with chronic renal failure, and in healthy subjects. Many studies have demonstrated a positive association between cellular content of n-3 PUFA and HRV as well as supplementation with n-3 PUFA seems to increase HRV and thereby decreasing the risk of arrhythmic events and SCD.",M1
20185000,"Relation of body mass index to sudden cardiac death and the benefit of implantable cardioverter-defibrillator in patients with left ventricular dysfunction after healing of myocardial infarction.Obesity has been identified as a risk factor for cardiovascular disease and heart failure. However, data regarding the relation of body mass index (BMI) to outcome in patients with established heart failure are conflicting. We examined the risk of all-cause mortality and sudden cardiac death (<e>SCD</e>) in 1,231 patients after myocardial infarction with left ventricular dysfunction enrolled the Multicenter Automatic Defibrillator Implantation Trial-II (MADIT-II). Interaction-term analysis was used to assess the benefit of the implantable cardioverter-defibrillator (ICD) in upper (obese &gt; or =30 kg/m(2), n = 361) and lower (nonobese &lt;30 kg/m(2), n = 870) BMI categories. Mean BMI in the study population was 27.9 +/- 5.1 kg/m(2). In multivariate analysis, decreased BMI was shown to be independently associated with an increase in the risk of all-cause mortality (23% risk increase per 5-U BMI decreased, p = 0.009) and SCD (41% risk increase per 5-U BMI decrease, p = 0.01). Consistently, patients with BMI &lt;30 kg/m(2) exhibited 46% (p = 0.03) and 76% (p = 0.04) increases in risk of all-cause mortality and SCD, respectively, compared to patients who had higher BMI values. The benefit of the ICD was pronounced in higher-risk patients with BMI &lt;30 kg/m(2) (hazard ratio 0.68, p = 0.017) and maintained in the lower-risk subgroup of patients with BMI &gt; or =30 kg/m(2) (hazard ratio 0.73, p = 0.32; p = 0.86 for ICD-by-BMI interaction). In conclusion, our findings suggest an independent inverse association between BMI values and risk of all-cause mortality and SCD in patients after myocardial infarction with left ventricular dysfunction enrolled in the MADIT-II trial.",M1
20142817,"Sudden cardiac death: epidemiology and risk factors.Sudden cardiac death (<e>SCD</e>) is an important public-health problem with multiple etiologies, risk factors, and changing temporal trends. Substantial progress has been made over the past few decades in identifying markers that confer increased SCD risk at the population level. However, the quest for predicting the high-risk individual who could be a candidate for an implantable cardioverter-defibrillator, or other therapy, continues. In this article, we review the incidence, temporal trends, and triggers of SCD, and its demographic, clinical, and genetic risk factors. We also discuss the available evidence supporting the use of public-access defibrillators.",M1
