@RELATION C0027100_C0024518

@ATTRIBUTE PMID integer
@ATTRIBUTE citation string
@ATTRIBUTE class {M1, M2}

@DATA
20359464,"Carbonylation of myosin heavy chains in rat heart during diabetes.Cardiac inotropy progressively declines during diabetes mellitus. To date, the molecular mechanisms underlying this defect remain incompletely characterized. This study tests the hypothesis that ventricular myosin heavy chains (<e>MHC</e>) undergo carbonylation by reactive carbonyl species (RCS) during diabetes and these modifications contribute to the inotropic decline. Male Sprague-Dawley rats were injected with streptozotocin (STZ). Fourteen days later the animals were divided into two groups: one group was treated with the RCS blocker aminoguanidine for 6 weeks, while the other group received no treatment. After 8 weeks of diabetes, cardiac ejection fraction, fractional shortening, left ventricular pressure development (+dP/dt) and myocyte shortening were decreased by 9%, 16%, 34% and 18%, respectively. Ca(2+)- and Mg(2+)-actomyosin ATPase activities and peak actomyosin syneresis were also reduced by 35%, 28%, and 72%. MHC-alpha to MHC-beta ratio was 12:88. Mass spectrometry and Western blots revealed the presence of carbonyl adducts on MHC-alpha and MHC-beta. Aminoguanidine treatment did not alter MHC composition, but it blunted formation of carbonyl adducts and decreases in actomyosin Ca(2+)-sensitive ATPase activity, syneresis, myocyte shortening, cardiac ejection fraction, fractional shortening and +dP/dt induced by diabetes. From these new data it can be concluded that in addition to isozyme switching, modification of MHC by RCS also contributes to the inotropic decline seen during diabetes.",M1
20347979,"Estradiol and genistein antagonize the ovariectomy effects on skeletal muscle myosin heavy chain expression via ER-beta mediated pathways.The age-related decline in ovarian sex hormone production following the onset of menopause alters skeletal muscle metabolic, structural and functional characteristics. The myosin heavy chain (<e>MHC</e>) expression pattern defines skeletal muscle contraction velocity and is therefore an important factor in skeletal muscle function. The present study was designed to examine the effects of 17beta estradiol (E2), estrogen receptor (ER) subtype selective agonists (ERalpha, ERbeta) or genistein (Gen) following ovary removal (OVX) in female Wistar rats in combination with a high intensity treadmill-based exercise protocol (Ex) or normal cage-based activity (NoEx) on MHC protein expression patterns in the slow fiber type m.Soleus (Sol) and the fast fiber type m.Gastrocnemius (Gas). Gen and E2 in the Sol significantly stimulated MHC-I expression relative to OVX only in the absence of exercise (NoEx). MHC-IIb expression in the Gas was significantly increased relative to OVX in Gen Ex and E2 Ex and NoEx groups. The estrogenic effects in the Sol and Gas were both predominantly mediated via ERbeta pathways, since the ERbeta agonist induced greater MHC increases than OVX or ERalpha. We therefore propose that high intensity exercise in combination with exposure to E2, Gen, ERalpha or ERbeta agonists in OVX rats exerts differential effects on MHC expression in skeletal muscles composed of mainly slow type I MHC (Sol) or fast type II MHC (Gas). In summary, the data shows that MHC composition is affected by estrogens and exercise in a fiber type specific manner and that these effects are mainly mediated by ER-beta. This is of great importance with respect to skeletal muscle health and potential treatment with ER selective agonists.",M1
20226094,"Myosin individualized: single nucleotide polymorphisms in energy transduction.BACKGROUND: Myosin performs ATP free energy transduction into mechanical work in the motor domain of the myosin heavy chain (<e>MHC</e>). Energy transduction is the definitive systemic feature of the myosin motor performed by coordinating in a time ordered sequence: ATP hydrolysis at the active site, actin affinity modulation at the actin binding site, and the lever-arm rotation of the power stroke. These functions are carried out by several conserved sub-domains within the motor domain. Single nucleotide polymorphisms (SNPs) affect the MHC sequence of many isoforms expressed in striated muscle, smooth muscle, and non-muscle tissue. The purpose of this work is to provide a rationale for using SNPs as a functional genomics tool to investigate structurefunction relationships in myosin. In particular, to discover SNP distribution over the conserved sub-domains and surmise what it implies about sub-domain stability and criticality in the energy transduction mechanism. RESULTS: An automated routine identifying human nonsynonymous SNP amino acid missense substitutions for any MHC gene mined the NCBI SNP data base. The routine tested 22 MHC genes coding muscle and non-muscle isoforms and identified 89 missense mutation positions in the motor domain with 10 already implicated in heart disease and another 8 lacking sequence homology with a skeletal MHC isoform for which a crystallographic model is available. The remaining 71 SNP substitutions were found to be distributed over MHC with 22 falling outside identified functional sub-domains and 49 in or very near to myosin sub-domains assigned specific crucial functions in energy transduction. The latter includes the active site, the actin binding site, the rigid lever-arm, and regions facilitating their communication. Most MHC isoforms contained SNPs somewhere in the motor domain. CONCLUSIONS: Several functional-crucial sub-domains are infiltrated by a large number of SNP substitution sites suggesting these domains are engineered by evolution to be too-robust to be disturbed by otherwise intrusive sequence changes. Two functional sub-domains are SNP-free or relatively SNP-deficient but contain many disease implicated mutants. These sub-domains are apparently highly sensitive to any missense substitution suggesting they have failed to evolve a robust sequence paradigm for performing their function.",M1
20201828,"Cyclic mechanical strain promotes transforming-growth-factor-beta1-mediated cardiomyogenic marker expression in bone-marrow-derived mesenchymal stem cells in vitro.Cardiomyocytes in the heart reside in mechanically dynamic environments, such as those subject to cyclic mechanical strain. TGF-beta1 (transforming growth factor-beta1) stimulates cardiomyogenic marker expression of BMMSCs (bone-marrow-derived mesenchymal stem cells). In the present study, we tested the hypothesis that cyclic mechanical strain promotes TGF-beta1-mediated cardiomyogenic marker expression in BMMSCs in vitro. The mRNA expression of cardiac-specific genes was more up-regulated in BMMSCs cultured with a TGF-beta1 supplement and subjected to cyclic strain for 1 week than in BMMSCs cultured statically with a TGF-beta1 supplement. Immunocytochemical analyses and flow cytometric analysis showed that the proportions of cardiac troponin-I-positive cells and cardiac <e>MHC</e> (myosin heavy chain)-positive cells and the proportions of cells expressing tropomyosin respectively were increased to a greater extent by TGF-beta1with cyclic strain than by TGF-beta1 alone. These results showed that cyclic strain promotes TGF-beta1mediated cardiomyogenic marker expression in BMMSCs in vitro.",M1
20090419,"Cardiac ventricular chambers are epigenetically   distinguishable.The left and right ventricles are muscular chambers of the heart that differ significantly in the extent of pressure work-load. The regional and differential distribution of gene expression patterns is critical not only for heart development, but, also in the establishment of cardiac hypertrophy phenotypes. the cells of the myocardium employ elaborate regulatory mechanisms to establish changes in chromatin structure and function, yet, the role of epigenetic modifications and specific gene expression patterns in cardiac ventricles remains poorly understood. We have examined gene expression changes and studied histone H3 and H4 acetylation as well as dimethylation of lysine 4 on histone H3 on promoters of alpha-Myosin heavy chain gene (alpha-<e>MHC</e>), beta-Myosin heavy chain gene (beta-MHC), Atrial natriuretic peptide gene (ANp), B-type natriuretic peptide gene (BNP) and Sarcoplasmic reticulum Ca(2+) ATPase gene (SERCA2a). The recruitment of histone acetyltransferase (HAT) enzyme p300, which is a transcriptional coactivator, was also studied on the hyperacetylated promoters using immunopurification of soluble chromatin in the left and right ventricles of the mouse. We present evidence for the first time that the pattern of gene expression is closely linked with histone modifications and propose the left and right chambers of the heart are epigenetically distinguishable.",M1
20071689,"Passive mechanical forces upregulate the fast myosin heavy chain IId/x via integrin and p38 MAP kinase activation in a primary muscle cell culture.We have studied the mechanism by which a previously described primary muscle culture growing on microcarriers predominantly expresses fast myosin heavy chain (<e>MHC</e>) IId/x. We have measured MHC IId/x mRNA and protein levels, mRNA of MHC I and markers of muscle metabolism, insulin-like growth factor (IGF)-1 and mechano-growth factor (MGF) transcripts, indicators of the activation of the Akt-mammalian target of rapamycin (mTOR) axis, the p38-, ERK1/2-, and JNK-mitogen-activated protein kinase (MAP) kinase pathways, and of protein phosphatase PP2A, and we have assessed the involvement of integrin. By placing the culture flasks on a rotary shaker, we induce a continuous motion of the culture medium in which the carrier-myotube aggregates are suspended. This motion exerts passive forces on the myotubes that are decisive for the predominance of MHC II expression. These forces act via integrin, which transduces the mechanical signal into activation of PP2A and of p38 MAP-Kinase. The latter presumably is directly responsible for a drastic upregulation of MHC IId/x, whereas MHC I and metabolic markers remain unaffected. At the same time, despite an elevated level of IGF-1 transcription under passive forces, the IGF-1 receptor-Akt-mTOR axis is switched off as evident from the lack of an effect of inhibition of the IGF-1 receptor and from the PP2A-mediated low degree of phosphorylation of Akt and 4E-BP1. Similarly, the ERK1/2- and JNK-MAP kinase pathways are repressed. We conclude that passive stretch exerted on the myotubes by the rotary fluid motion induces a rather selective upregulation of fast MHC II, which goes along with a mild muscle hypertrophy as judged from the amount of protein per cell and is caused by p38 MAP kinase activity elevated via integrin sensing. The direct link between passive stretch and MHC II expression constitutes a novel mechanism, which is expected to become effective physiologically under passive stretch and eccentric contractions of skeletal muscles.",M1
20070732,"Blunting effect of hypoxia on the proliferation and differentiation of human primary and rat L6 myoblasts is not counteracted by Epo.OBJECTIVES: The aim of this study was to evaluate whether hypoxia and/or erythropoietin would be able to modulate proliferation/differentiation processes of rat and human myoblasts. MATERIALS AND METHODS: Rat L6 and primary human myoblasts were grown in 21% or 1% O(2) in the presence or absence of recombinant human erythropoietin (RhEpo). Presence of erythropoietin receptors (EpoR) was assayed using RT-PCR and Western blotting techniques. Cell proliferation was evaluated by determining the doubling time and kinetics of cultures by counting cells. Cell differentiation was analysed by determining myogenic fusion index using antibodies against the myosin heavy chain. Expression of myogenin and myosin heavy chain (<e>MHC</e>) proteins were evaluated using the Western blotting technique. RESULTS: After 96 h culture in growth medium for 2.5 and 9 h, doubling time of L6 and human primary myoblasts respectively, had increased in 1% O(2) conditions (P &lt; 0.01). Kinetics of culture showed alteration in proliferation at 72 h in L6 myoblast cultures and at 4 days in human primary myoblasts. The myogenic fusion index had reduced by 30% in L6 myoblasts and by 20% in human myoblasts (P &lt; 0.01). Expression of myogenin and MHC had reduced by around 50%. Despite presence of EpoR mRNA and protein, RhEpo did not counteract the effects of hypoxia either in L6 cells or in human myoblasts. CONCLUSIONS: The data show that exposure to hypoxic conditions (1% O(2)) of rat and human myoblasts altered their proliferation and differentiation processes. They also show that Epo is not an efficient growth factor to counteract this deleterious effect.",M1
20065164,"Rescue of cardiomyopathy in peroxisome proliferator-activated receptor-alpha transgenic mice by deletion of lipoprotein lipase identifies sources of cardiac lipids and peroxisome proliferator-activated receptor-alpha activators.BACKGROUND: Emerging evidence in obesity and diabetes mellitus demonstrates that excessive myocardial fatty acid uptake and oxidation contribute to cardiac dysfunction. Transgenic mice with cardiac-specific overexpression of the fatty acid-activated nuclear receptor peroxisome proliferator-activated receptor-alpha (myosin heavy chain [<e>MHC</e>]-PPARalpha mice) exhibit phenotypic features of the diabetic heart, which are rescued by deletion of CD36, a fatty acid transporter, despite persistent activation of PPARalpha gene targets involved in fatty acid oxidation. METHODS AND RESULTS: To further define the source of fatty acid that leads to cardiomyopathy associated with lipid excess, we crossed MHC-PPARalpha mice with mice deficient for cardiac lipoprotein lipase (hsLpLko). MHC-PPARalpha/hsLpLko mice exhibit improved cardiac function and reduced myocardial triglyceride content compared with MHC-PPARalpha mice. Surprisingly, in contrast to MHC-PPARalpha/CD36ko mice, the activity of the cardiac PPARalpha gene regulatory pathway is normalized in MHC-PPARalpha/hsLpLko mice, suggesting that PPARalpha ligand activity exists in the lipoprotein particle. Indeed, LpL mediated hydrolysis of very-low-density lipoprotein activated PPARalpha in cardiac myocytes in culture. The rescue of cardiac function in both models was associated with improved mitochondrial ultrastructure and reactivation of transcriptional regulators of mitochondrial function. CONCLUSIONS: MHC-PPARalpha mouse hearts acquire excess lipoprotein-derived lipids. LpL deficiency rescues myocyte triglyceride accumulation, mitochondrial gene regulatory derangements, and contractile function in MHC-PPARalpha mice. Finally, LpL serves as a source of activating ligand for PPARalpha in the cardiomyocyte.",M1
20060953,"Beta2-adrenergic agonist-induced hypertrophy of the quadriceps skeletal muscle does not modulate disease severity in the rodent meniscectomy model of osteoarthritis.OBJECTIVE: To examine whether beta2-adrenergic agonist-induced hypertrophy of the quadriceps skeletal muscle can modulate the severity of osteoarthritis (OA) in the rodent meniscectomy (MNX) model. METHODS: Male Lewis rats were subcutaneously administered with 1.5 mg/kg/day clenbuterol hydrochloride (n=15) or saline vehicle (n=20) for 14 days. Following pre-treatment, five animals from each group were sacrificed to assess the immediate effects of clenbuterol. The remaining animals underwent either invasive knee surgery (clenbuterol pre-treated n=10; saline pre-treated n=10) or a sham control surgical procedure (saline pre-treated n=5). During disease initiation and progression, weight bearing was assessed by hindlimb loading. Myosin heavy chain (<e>MHC</e>) protein isoforms were quantified by silver stained SDS PAGE. OA severity was graded by assessment of toluidine blue stained step coronal sections of the total knee joint. RESULTS: Clenbuterol treatment resulted in an increase in total bodyweight, growth rate and in quadriceps skeletal muscle mass. Meniscal surgery resulted in the development of OA-like lesions, changes to weight bearing, and changes in MHC protein expression in the quadriceps. Clenbuterol-induced skeletal muscle hypertrophy had no effect on either weight bearing or articular pathology following MNX surgery. CONCLUSIONS: Our data reveal that clenbuterol-induced skeletal muscle hypertrophy is unable to mimic the beneficial clinical effects of increased musculature derived through targeted strength training in humans, in a rodent model of MNX-induced OA. In addition we observed fibre-type switching to  slow twitch  in the quadriceps muscle during the induction of OA that warrants further investigation as to its relationship to joint stability.",M1
20056853,"Role(s) of gravitational loading during developing period on the growth of rat soleus muscle fibers.Effects of gravitational loading or unloading on the gain of the characteristics in soleus muscle fibers were studied in rats. The tail suspension was performed in newborn rats from postnatal day 4 to month 3, and the reloading was allowed for 3 mo in some rats. Single expression of type I myosin heavy chain (<e>MHC</e>) was observed in approximately 82% of fibers in 3-mo-old controls, but the fibers expressing multiple MHC isoforms were noted in the unloaded rats. Although 97% of fibers in 3-mo-old controls had a single neuromuscular junction at the central region of fiber, fibers with multiple nerve endplates were seen in the unloaded group. Faster contraction speed and lower maximal tension development, even after normalization with fiber size, were observed in the unloaded pure type I MHC fibers. These parameters generally returned to the age-matched control levels after reloading. It was suggested that antigravity-related tonic activity plays an important role in the gain of single neural innervation and of slow contractile properties and phenotype in soleus muscle fibers.",M1
